	TCGA.AN.A0AL.01A.11R.A00Z.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.11DXY.2026.SM.5N9CZ	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.13SLW.2826.SM.5Q5ES	GTEX.ZTTD.2626.SM.57WEX	GTEX.ZVT4.2626.SM.5N9GJ	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.ZXG5.0826.SM.5GID6	GTEX.N7MT.0126.SM.2D7VT	TCGA.KK.A59Z.01A.12R.A26U.07	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.11EI6.2426.SM.5PNVS	GTEX.1313W.2826.SM.5P9G1
CDC73	500.46	429.54	718.08	571.05	265.87	351.14	444.72	368.65	334.46	339.14	190.34	197.09	223.41	63.89	157.68	105.15	180.02	127.89	108.14	130.6	150.17	97.36	139.07	197.09	105.89	128.79	208.38	81.14	246.28	177.53	111.21	748.61	403.5	312.0	503.95	429.54	551.56	356.05
CHIC2	555.41	713.11	878.17	728.11	490.14	209.84	612.11	595.34	441.64	579.04	525.39	406.31	470.14	343.89	260.38	237.86	392.44	444.72	128.79	318.57	366.09	265.87	346.29	466.88	406.31	144.01	389.72	325.29	423.61	316.37	493.56	660.68	507.46	371.22	738.29	547.75	521.76	426.57
COPS2	1008.9	1605.83	2400.97	2090.03	769.69	1008.9	1119.56	1407.55	819.3	1143.1	518.15	480.04	575.03	343.89	387.02	435.55	518.15	376.41	480.04	395.18	503.95	358.54	480.04	540.19	432.53	400.71	507.46	312.0	457.25	493.56	346.29	2061.24	3690.52	616.37	1628.26	1662.49	1331.57	1870.53
CXorf36	241.19	1059.11	1295.13	2682.69	228.13	98.04	307.69	454.09	221.86	204.07	6.36	15.45	13.42	5.45	6.78	6.26	43.02	14.45	4.54	14.24	6.11	4.82	15.22	10.96	11.13	4.58	9.93	4.78	12.09	14.14	7.57	1104.13	791.35	155.5	769.69	769.69	536.45	1963.57
DARS	1331.57	1529.73	1806.78	2119.22	974.5	1268.46	1127.35	1407.55	1111.82	995.0	1225.22	595.34	967.76	599.49	703.28	559.28	884.29	633.73	607.87	575.03	633.73	595.34	536.45	743.43	536.45	633.73	669.92	571.05	567.1	656.11	432.53	1199.98	1685.71	708.18	2032.85	1628.26	1781.89	1651.0
DOCK9	819.3	1844.76	1407.55	3325.99	866.07	836.53	909.17	1199.98	848.22	1081.39	209.84	231.32	303.44	808.0	318.57	190.34	423.61	128.79	53.57	136.19	115.16	109.66	167.9	281.09	115.16	130.6	223.41	140.04	136.19	271.48	170.25	1857.6	4268.94	507.46	1685.71	1628.26	1819.35	988.12
EFEMP1	1331.57	11345.82	11584.24	5329.3	1551.09	616.37	7081.29	7081.29	1519.15	2018.8	75.64	860.08	212.78	37.05	36.01	69.52	555.41	152.28	39.5	40.07	74.58	49.21	141.02	102.25	53.95	53.57	339.14	34.75	214.27	189.02	48.18	27174.14	15824.9	860.08	8191.0	11745.96	3372.43	3768.09
ENTPD1	579.04	642.59	567.1	679.29	387.02	571.05	595.34	356.05	260.38	444.72	27.64	111.21	84.04	80.01	53.95	41.52	325.29	118.43	40.36	39.22	63.89	50.98	185.11	64.34	19.11	22.1	100.13	127.89	56.28	62.12	46.5	1651.0	1151.06	178.77	759.08	921.88	848.22	563.18
FAM20B	575.03	551.56	738.29	836.53	417.77	435.55	457.25	432.53	551.56	429.54	169.07	186.4	198.47	143.01	115.97	223.41	256.78	173.85	180.02	119.26	244.57	134.3	167.9	146.03	130.6	177.53	241.19	155.5	88.26	193.01	127.89	1277.29	563.18	346.29	656.11	723.08	728.11	432.53
FGFR1OP2	748.61	947.83	1286.18	819.3	738.29	718.08	915.51	848.22	775.05	981.29	381.68	361.04	483.38	258.57	327.56	293.07	525.39	414.87	348.71	325.29	318.57	201.25	348.71	473.41	293.07	301.33	587.13	281.09	379.04	518.15	144.01	1733.13	1233.75	486.75	1340.84	1295.13	1135.2	1111.82
FLT1	256.78	412.0	1081.39	1883.54	61.68	63.89	185.11	309.83	178.77	145.02	75.11	162.14	43.94	27.05	20.41	31.9	59.55	53.19	46.5	47.84	24.46	14.35	53.95	55.89	68.07	24.11	29.48	12.64	38.4	69.52	35.76	902.89	651.58	371.22	215.77	241.19	166.73	392.44
GIPC3	70.01	111.21	105.89	113.56	43.02	24.46	81.71	59.13	29.06	70.01	18.97	24.46	21.78	10.08	6.01	10.96	19.53	36.79	13.83	21.01	10.55	13.12	26.28	9.27	26.67	21.94	26.1	18.97	19.25	27.84	11.91	146.03	187.71	143.01	76.17	67.59	66.65	78.89
HDAC9	325.29	149.12	988.12	309.83	176.29	88.88	269.6	220.32	113.56	151.22	18.16	77.79	42.71	46.84	24.99	27.25	45.53	17.0	11.38	28.04	6.41	16.15	148.09	3.63	25.72	13.93	49.56	29.06	61.25	36.53	1.66	1023.0	567.1	112.77	470.14	417.77	429.54	486.75
IQGAP1	3257.52	3515.68	3847.29	5791.62	2075.59	1757.34	2645.74	3280.18	2303.12	2417.67	204.07	529.06	371.22	92.7	100.13	112.77	642.59	351.14	110.43	126.12	172.65	165.57	463.65	147.06	241.19	165.57	708.18	96.01	239.52	363.56	163.28	5219.6	4210.15	1477.58	3303.0	3372.43	2351.53	2104.58
IRAK3	98.73	140.04	151.22	373.81	64.8	28.86	126.12	109.66	48.52	128.79	20.71	47.84	14.67	4.39	5.92	8.45	25.54	9.85	4.74	10.55	4.54	6.94	7.63	32.13	24.11	8.25	16.51	6.84	9.7	23.93	37.05	111.99	450.94	27.64	87.65	159.9	44.57	52.82
JAK1	1242.34	2400.97	2573.36	3874.05	642.59	825.0	1111.82	1870.53	1051.79	1259.69	575.03	738.29	642.59	423.61	507.46	529.06	612.11	620.67	819.3	595.34	674.59	638.15	878.17	329.84	909.17	616.37	723.08	599.49	435.55	921.88	748.61	1923.14	3325.99	665.29	1639.59	1709.26	1001.93	1268.46
KDELC2	607.87	595.34	842.36	830.75	400.71	358.54	587.13	551.56	305.55	486.75	132.44	114.36	119.26	51.35	123.5	94.67	178.77	161.02	122.64	139.07	81.14	81.71	195.72	138.1	78.34	82.29	181.28	56.28	98.04	74.06	62.12	753.83	591.22	241.19	1277.29	1044.52	764.36	941.27
MAN1A2	287.01	334.46	327.56	400.71	205.5	195.72	223.41	283.05	221.86	229.72	156.59	150.17	185.11	136.19	194.36	148.09	277.2	146.03	157.68	108.9	185.11	138.1	197.09	217.27	128.79	138.1	215.77	167.9	120.1	154.42	166.73	334.46	279.14	171.45	435.55	307.69	291.04	279.14
MCPH1	197.09	256.78	332.14	336.79	165.57	146.03	237.86	234.57	228.13	129.69	58.3	99.43	98.04	74.06	28.65	46.5	218.79	55.49	72.52	82.29	76.71	96.68	100.83	72.01	42.71	58.71	149.12	44.89	96.01	80.57	54.72	376.41	409.15	193.01	334.46	253.23	283.05	559.28
MED21	974.5	791.35	854.13	759.08	525.39	483.38	780.44	674.59	536.45	595.34	221.86	267.73	231.32	85.22	137.14	138.1	258.57	158.79	130.6	135.24	232.94	105.89	149.12	253.23	145.02	173.85	241.19	85.82	234.57	193.01	206.94	2303.12	808.0	423.61	1457.23	1159.07	1167.14	1044.52
METTL9	1617.0	2004.85	2816.11	2796.65	1457.23	1167.14	2193.99	1721.16	1594.73	1175.27	215.77	346.29	299.25	92.05	187.71	143.01	397.93	237.86	226.54	187.71	154.42	176.29	199.85	299.25	277.2	182.55	299.25	195.72	348.71	305.55	124.37	2104.58	2664.15	1551.09	2956.17	1896.65	2451.44	2400.97
MIB1	205.5	353.59	363.56	559.28	133.36	146.03	204.07	271.48	181.28	208.38	96.01	95.34	85.82	50.27	71.5	68.07	141.02	72.01	93.35	103.69	73.03	67.12	116.78	76.71	88.88	88.26	195.72	88.88	60.39	83.45	95.34	384.34	358.54	195.72	371.22	249.73	182.55	217.27
MOB1A	1286.18	1322.37	1583.71	1594.73	802.41	866.07	1199.98	1073.91	1268.46	872.1	320.8	371.22	327.56	220.32	205.5	221.86	392.44	323.03	297.17	260.38	314.17	237.86	327.56	307.69	314.17	255.0	381.68	237.86	373.81	307.69	229.72	1467.37	1508.65	679.29	1437.15	1388.16	1044.52	854.13
MSN	2468.49	4972.34	11424.74	13872.08	2133.97	2075.59	3540.14	2796.65	2895.31	2682.69	954.43	1216.75	1081.39	343.89	426.57	563.18	1183.45	587.13	341.51	423.61	595.34	525.39	493.56	669.92	848.22	323.03	1030.12	409.15	698.41	688.78	872.1	10585.95	7230.1	1991.0	3589.58	3874.05	3124.78	2133.97
MTMR2	423.61	457.25	909.17	1088.92	353.59	361.04	536.45	444.72	400.71	389.72	62.56	55.89	88.88	17.13	14.14	24.46	90.77	69.03	33.3	27.25	56.28	36.53	59.97	29.06	32.36	30.56	60.82	20.86	51.35	57.89	22.75	878.17	620.67	389.72	656.11	599.49	547.75	679.29
NAB1	860.08	764.36	1378.57	961.07	486.75	503.95	540.19	466.88	511.0	529.06	414.87	239.52	718.08	218.79	283.05	166.73	483.38	320.8	248.0	339.14	414.87	264.03	356.05	373.81	376.41	199.85	444.72	229.72	246.28	497.0	470.14	1135.2	607.87	325.29	1304.15	947.83	753.83	1662.49
NPC2	7537.18	8538.88	6471.02	5517.27	3901.01	2915.45	12076.21	8718.32	2875.3	3982.99	1769.57	3325.99	2148.82	1909.85	947.83	1963.57	2645.74	2303.12	2119.22	1225.22	1870.53	1769.57	1923.14	2720.15	1883.54	1407.55	2555.58	1369.04	2485.67	2148.82	2061.24	10733.74	21320.18	7749.1	16383.0	10368.08	8191.0	9606.86
PDGFRB	1963.57	2777.33	2193.99	2287.2	902.89	414.87	1519.15	2417.67	656.11	1651.0	116.78	363.56	583.07	156.59	193.01	285.03	748.61	348.71	189.02	301.33	87.65	356.05	332.14	72.01	154.42	273.37	656.11	169.07	366.09	185.11	116.78	2627.46	6607.01	1073.91	2997.45	3081.75	2104.58	2537.92
PDS5A	607.87	647.07	928.3	848.22	392.44	435.55	529.06	497.0	599.49	567.1	237.86	384.34	450.94	283.05	341.51	368.65	536.45	403.5	381.68	444.72	255.0	248.0	438.59	426.57	218.79	460.44	466.88	307.69	218.79	447.82	267.73	753.83	921.88	470.14	698.41	656.11	507.46	486.75
PLVAP	3349.13	5711.87	6516.03	8078.22	1427.22	587.13	3589.58	4802.93	3372.43	2104.58	52.08	332.14	175.07	95.34	117.6	88.88	267.73	239.52	115.16	202.66	76.71	98.04	169.07	87.65	162.14	58.3	173.85	74.58	454.09	194.36	81.14	5403.7	3443.31	2319.15	3564.78	4181.07	1529.73	2209.26
PLXND1	1909.85	3349.13	3146.52	2875.3	1832.01	733.19	3280.18	1674.06	1286.18	1216.75	500.46	748.61	825.0	438.59	435.55	638.15	1286.18	1467.37	660.68	679.29	329.84	555.41	974.5	529.06	417.77	486.75	1096.5	563.18	454.09	1313.23	229.72	2240.11	4903.87	909.17	3742.05	2645.74	2178.83	5751.61
PPP1R2	954.43	1030.12	1674.06	1447.15	802.41	802.41	769.69	1066.48	941.27	1030.12	397.93	395.18	281.09	186.4	212.78	251.48	356.05	237.86	256.78	191.67	285.03	191.67	215.77	255.0	303.44	237.86	318.57	223.41	211.31	332.14	248.0	1617.0	954.43	674.59	1498.22	1437.15	1295.13	1001.93
PRKAR1A	2664.15	3982.99	6381.92	13681.08	1769.57	1519.15	2384.37	2468.49	1950.0	2148.82	1844.76	1259.69	1745.2	536.45	909.17	775.05	1844.76	902.89	884.29	753.83	1583.71	1119.56	1199.98	1662.49	1369.04	1044.52	1605.83	708.18	1529.73	1340.84	1844.76	7230.1	4239.45	1936.53	4123.49	2664.15	2915.45	2520.38
PTPN12	934.76	1896.65	2555.58	2075.59	954.43	947.83	947.83	1447.15	1277.29	1407.55	441.64	343.89	521.76	151.22	183.82	140.04	361.04	301.33	172.65	155.5	177.53	193.01	194.36	262.2	214.27	127.0	420.68	120.94	176.29	291.04	153.34	2224.63	1870.53	848.22	2303.12	1551.09	1628.26	1233.75
QKI	733.19	1322.37	3874.05	3325.99	769.69	511.0	1127.35	1119.56	595.34	860.08	368.65	423.61	587.13	194.36	314.17	212.78	480.04	281.09	241.19	248.0	297.17	171.45	363.56	444.72	275.28	323.03	547.75	260.38	529.06	397.93	262.2	2835.7	3491.39	629.35	3303.0	1963.57	2224.63	616.37
RAB8B	277.2	454.09	791.35	612.11	209.84	169.07	429.54	409.15	229.72	318.57	145.02	165.57	111.99	38.95	49.56	54.33	156.59	59.55	49.91	72.52	63.89	74.58	77.79	104.42	100.13	64.8	159.9	48.87	163.28	83.45	71.0	866.07	1073.91	181.28	684.02	647.07	497.0	356.05
RB1	460.44	599.49	1467.37	1437.15	400.71	532.74	802.41	607.87	486.75	607.87	114.36	123.5	228.13	43.94	92.05	74.58	260.38	173.85	61.25	60.82	84.04	44.57	105.15	153.34	82.87	93.35	215.77	60.82	155.5	98.73	93.35	813.63	890.44	236.21	1594.73	813.63	884.29	400.71
RBMS2	171.45	490.14	587.13	1081.39	226.54	211.31	336.79	341.51	223.41	351.14	44.89	68.07	57.49	41.81	21.63	38.12	110.43	65.26	33.06	25.72	37.05	29.06	55.1	45.21	39.22	13.52	66.18	23.08	47.84	129.69	18.84	525.39	872.1	131.51	420.68	587.13	521.76	334.46
RIN2	642.59	872.1	808.0	941.27	547.75	363.56	633.73	769.69	381.68	525.39	48.18	131.51	105.89	102.97	66.18	65.72	187.71	190.34	66.18	55.1	57.89	97.36	92.7	37.05	67.12	78.34	176.29	111.21	121.79	205.5	32.82	1037.29	2367.9	231.32	1175.27	1008.9	579.04	332.14
SCRN1	703.28	642.59	813.63	624.99	392.44	363.56	500.46	567.1	353.59	583.07	35.25	61.68	30.12	26.1	22.43	17.64	101.54	152.28	14.24	12.83	14.14	12.74	64.8	2.89	11.82	10.96	101.54	15.45	23.59	31.9	4.13	1159.07	872.1	403.5	1008.9	1135.2	780.44	264.03
SWAP70	607.87	1233.75	2555.58	3665.02	253.23	251.48	559.28	713.11	473.41	435.55	82.29	180.02	132.44	42.11	33.78	48.18	117.6	74.58	33.54	43.02	61.68	45.85	61.68	66.65	87.65	46.84	115.97	50.27	94.01	80.01	78.89	2119.22	1175.27	438.59	884.29	1030.12	708.18	532.74
TRPV2	525.39	334.46	356.05	450.94	426.57	153.34	656.11	432.53	217.27	329.84	65.26	170.25	140.04	153.34	122.64	85.22	361.04	187.71	121.79	94.01	106.63	87.65	102.25	88.88	73.03	65.72	217.27	173.85	162.14	96.68	100.83	1008.9	1159.07	193.01	656.11	435.55	351.14	214.27
TWSG1	341.51	624.99	981.29	1088.92	363.56	483.38	476.71	647.07	503.95	591.22	37.59	106.63	92.7	31.22	30.12	41.22	195.72	53.19	39.5	40.64	66.18	45.53	90.14	55.89	66.65	32.59	136.19	26.28	66.65	71.0	75.11	1605.83	1167.14	368.65	1378.57	1059.11	764.36	780.44
