	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.C5.A1BL.01A.11R.A13Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7446.01A.11R.2232.07	TCGA.QK.A8Z8.01A.11R.A39I.07	TCGA.66.2742.01A.01R.0980.07	TCGA.77.7338.01A.11R.2045.07	TCGA.96.7544.01A.11R.2045.07	TCGA.92.8065.01A.11R.2247.07	TCGA.66.2790.01A.01R.0980.07	TCGA.18.3419.01A.01R.0980.07
IKZF5	133.36	127.89	79.45	145.02	171.45	57.89	181.28	260.38	157.68	102.25	157.68	148.09	93.35	159.9	162.14	206.94	172.65	267.73	136.19	194.36	183.82	199.85	163.28	490.14	171.45	334.46	232.94	285.03	176.29	281.09	221.86
KIAA1430	109.66	80.01	77.25	123.5	90.14	84.04	420.68	595.34	156.59	163.28	361.04	124.37	135.24	187.71	334.46	271.48	189.02	500.46	178.77	307.69	366.09	395.18	248.0	934.76	229.72	332.14	395.18	262.2	209.84	567.1	429.54
KIF2A	75.11	117.6	97.36	100.13	83.45	85.82	444.72	633.73	215.77	91.41	191.67	162.14	249.73	190.34	332.14	190.34	256.78	376.41	248.0	264.03	341.51	246.28	293.07	595.34	389.72	351.14	444.72	486.75	518.15	463.65	366.09
KLHL24	182.55	214.27	248.0	237.86	205.5	82.29	260.38	346.29	156.59	217.27	59.55	121.79	141.02	132.44	307.69	163.28	264.03	620.67	161.02	703.28	241.19	137.14	236.21	1832.01	368.65	854.13	2434.5	866.07	842.36	995.0	607.87
KPNA1	297.17	316.37	242.88	384.34	327.56	228.13	1001.93	1806.78	902.89	559.28	647.07	660.68	679.29	764.36	620.67	813.63	728.11	1286.18	698.41	1159.07	1183.45	791.35	708.18	1870.53	1427.22	1191.69	1583.71	1572.76	1540.37	1651.0	1832.01
KPNA4	153.34	348.71	215.77	226.54	244.57	147.06	723.08	1104.13	703.28	387.02	384.34	336.79	348.71	381.68	620.67	579.04	532.74	723.08	493.56	473.41	647.07	379.04	454.09	1963.57	567.1	1119.56	1322.37	981.29	1073.91	1066.48	764.36
LANCL1	205.5	277.2	166.73	132.44	246.28	358.54	329.84	470.14	289.02	221.86	397.93	400.71	220.32	309.83	329.84	236.21	470.14	612.11	277.2	353.59	341.51	420.68	521.76	1806.78	753.83	567.1	575.03	1331.57	303.44	988.12	713.11
LPHN3	5.77	3.82	0.99	7.51	20.41	30.12	67.12	162.14	4.5	25.35	11.73	9.34	7.46	14.03	70.01	11.91	3.11	118.43	4.9	29.27	74.06	1.99	7.17	283.05	30.12	258.57	98.73	165.57	100.13	68.55	48.52
LRRC58	63.45	190.34	56.28	128.79	96.01	72.01	511.0	595.34	195.72	170.25	336.79	170.25	151.22	156.59	248.0	214.27	169.07	503.95	173.85	299.25	299.25	198.47	116.78	890.44	426.57	363.56	463.65	547.75	336.79	532.74	417.77
MAPK8	165.57	239.52	156.59	255.0	177.53	139.07	599.49	902.89	723.08	285.03	295.11	244.57	253.23	384.34	361.04	376.41	616.37	842.36	483.38	320.8	397.93	356.05	684.02	796.86	928.3	563.18	591.22	703.28	551.56	1001.93	866.07
MCMBP	291.04	426.57	289.02	426.57	414.87	457.25	1268.46	1605.83	785.88	684.02	890.44	620.67	718.08	1008.9	454.09	954.43	665.29	1199.98	698.41	1001.93	1159.07	1044.52	679.29	1477.58	1015.93	1757.34	1051.79	1183.45	825.0	1662.49	1127.35
MFN1	312.0	348.71	260.38	258.57	616.37	156.59	1081.39	1051.79	529.06	441.64	612.11	483.38	327.56	642.59	878.17	429.54	693.58	1030.12	647.07	698.41	848.22	591.22	595.34	1909.85	1066.48	1540.37	1477.58	941.27	1304.15	928.3	974.5
NAA50	371.22	802.41	463.65	656.11	470.14	490.14	3847.29	7081.29	1519.15	1059.11	1457.23	780.44	1030.12	1487.87	1066.48	1388.16	1340.84	3395.89	1467.37	1909.85	2855.44	1721.16	1295.13	4298.64	4836.35	3303.0	3419.52	4512.4	5112.16	3349.13	3168.41
NHLRC2	34.02	36.53	21.63	46.84	52.08	31.22	92.05	101.54	63.0	44.25	71.0	44.25	48.18	64.34	73.54	57.89	63.89	170.25	62.12	72.52	77.25	65.72	63.45	267.73	97.36	148.09	115.97	99.43	87.65	152.28	131.51
OPA1	279.14	325.29	197.09	368.65	341.51	181.28	2163.77	1498.22	633.73	616.37	392.44	387.02	297.17	547.75	493.56	525.39	647.07	1304.15	559.28	988.12	1199.98	647.07	547.75	4972.34	1427.22	1923.14	2468.49	1322.37	2682.69	1331.57	1991.0
OSBPL11	100.13	94.01	75.11	114.36	84.63	50.63	269.6	376.41	223.41	113.56	158.79	178.77	116.78	134.3	161.02	178.77	195.72	293.07	144.01	214.27	202.66	149.12	162.14	511.0	283.05	255.0	262.2	329.84	332.14	320.8	299.25
PAK2	291.04	444.72	368.65	444.72	371.22	295.11	1662.49	1561.89	802.41	878.17	688.78	420.68	555.41	660.68	629.35	551.56	571.05	1023.0	656.11	738.29	1350.18	480.04	426.57	2976.74	1119.56	2018.8	2796.65	1447.15	1721.16	1709.26	1617.0
PDP2	17.64	20.11	24.11	24.11	29.06	17.77	77.25	76.71	34.02	42.11	59.13	30.12	30.78	52.08	29.48	16.39	74.06	115.16	48.52	94.67	63.0	91.41	108.14	279.14	85.22	88.26	107.38	105.89	61.25	111.21	73.54
PDZD8	46.84	80.57	41.81	72.01	62.12	72.01	234.57	181.28	109.66	113.56	131.51	127.0	199.85	177.53	111.21	112.77	279.14	239.52	190.34	155.5	169.07	185.11	246.28	723.08	273.37	297.17	336.79	348.71	312.0	373.81	341.51
PIK3CA	56.68	117.6	78.89	97.36	118.43	46.5	587.13	500.46	341.51	162.14	155.5	152.28	104.42	181.28	325.29	170.25	201.25	521.76	185.11	269.6	275.28	175.07	229.72	1359.57	400.71	620.67	1151.06	473.41	457.25	571.05	320.8
PLEKHA1	299.25	291.04	177.53	339.14	277.2	229.72	802.41	1721.16	665.29	759.08	802.41	890.44	426.57	633.73	633.73	890.44	665.29	1175.27	656.11	1096.5	559.28	1088.92	679.29	2417.67	1127.35	1832.01	1594.73	1183.45	738.29	896.64	775.05
POGLUT1	293.07	248.0	183.82	195.72	397.93	106.63	295.11	363.56	151.22	112.77	155.5	153.34	145.02	164.42	217.27	214.27	215.77	414.87	152.28	293.07	260.38	209.84	209.84	470.14	406.31	277.2	327.56	318.57	400.71	336.79	511.0
PRKCI	244.57	297.17	199.85	144.01	332.14	128.79	759.08	1037.29	423.61	409.15	507.46	351.14	289.02	339.14	693.58	426.57	486.75	713.11	497.0	583.07	536.45	376.41	400.71	2240.11	738.29	1286.18	1709.26	780.44	947.83	748.61	674.59
PSMD2	1427.22	1923.14	2047.0	1662.49	1991.0	3690.52	8305.36	7642.41	7537.18	4802.93	3124.78	4152.18	3614.55	5255.91	4066.71	4543.8	4450.27	8191.0	4298.64	6607.01	7589.61	3982.99	3901.01	9344.14	9673.69	13776.25	15824.9	7433.4	13033.07	8658.09	10808.41
PSME3	764.36	1407.55	1127.35	1030.12	995.0	1044.52	2520.38	2777.33	791.35	1378.57	1769.57	1208.34	1467.37	2090.03	1037.29	1295.13	1508.65	2032.85	2400.97	3212.66	2895.31	2627.46	1594.73	3168.41	2935.74	2875.3	2796.65	1794.29	1313.23	2193.99	2537.92
RAB21	325.29	525.39	397.93	414.87	275.28	353.59	1159.07	1529.73	836.53	674.59	872.1	723.08	507.46	703.28	733.19	555.41	884.29	974.5	860.08	738.29	854.13	866.07	842.36	2816.11	1417.35	1051.79	1651.0	1745.2	1030.12	1119.56	1417.35
RABL3	97.36	120.94	104.42	131.51	120.94	129.69	466.88	536.45	164.42	133.36	214.27	144.01	236.21	228.13	163.28	178.77	236.21	358.54	236.21	273.37	307.69	258.57	221.86	450.94	312.0	518.15	511.0	476.71	400.71	444.72	490.14
REEP3	153.34	241.19	223.41	289.02	114.36	111.21	432.53	540.19	483.38	239.52	426.57	281.09	221.86	190.34	376.41	363.56	255.0	373.81	239.52	212.78	470.14	264.03	201.25	486.75	400.71	642.59	738.29	486.75	454.09	547.75	429.54
RNF138	111.21	123.5	94.01	129.69	159.9	114.36	480.04	587.13	249.73	450.94	271.48	167.9	246.28	242.88	244.57	273.37	253.23	438.59	244.57	251.48	329.84	199.85	201.25	669.92	447.82	412.0	314.17	514.56	332.14	327.56	414.87
RNF41	248.0	483.38	251.48	269.6	334.46	397.93	529.06	629.35	264.03	341.51	327.56	470.14	305.55	555.41	314.17	454.09	358.54	651.58	612.11	503.95	503.95	551.56	503.95	753.83	521.76	674.59	583.07	703.28	587.13	802.41	679.29
RPRD1A	473.41	521.76	483.38	633.73	624.99	220.32	703.28	1119.56	830.75	353.59	620.67	842.36	432.53	432.53	500.46	599.49	507.46	909.17	423.61	703.28	366.09	684.02	438.59	624.99	884.29	896.64	1073.91	1051.79	866.07	738.29	1015.93
RSRC1	161.02	438.59	206.94	255.0	224.97	201.25	1023.0	1487.87	753.83	764.36	518.15	376.41	559.28	373.81	1143.1	633.73	353.59	1143.1	397.93	688.78	718.08	309.83	287.01	1594.73	1066.48	2895.31	1529.73	1359.57	1745.2	1295.13	921.88
S100A11	212926.09	223512.12	155870.75	208544.12	256748.15	40621.74	93325.55	90773.53	951601.81	1187913.85	925580.18	443937.41	411347.03	394590.4	610654.84	731246.37	636586.81	33455.53	711250.37	397335.0	42054.3	800198.39	1100706.72	58655.36	77934.88	155870.75	63742.91	102836.01	82951.62	46019.85	45386.27
SENP2	100.13	293.07	111.21	124.37	205.5	198.47	1127.35	656.11	358.54	293.07	327.56	277.2	281.09	334.46	423.61	379.04	361.04	616.37	356.05	521.76	563.18	389.72	395.18	2367.9	718.08	1159.07	1378.57	915.51	1135.2	981.29	769.69
SHOC2	255.0	295.11	206.94	412.0	267.73	231.32	457.25	444.72	500.46	356.05	583.07	334.46	325.29	323.03	429.54	381.68	473.41	435.55	432.53	348.71	438.59	381.68	358.54	1135.2	450.94	723.08	563.18	759.08	507.46	599.49	525.39
SHOX2	0.69	0.72	0.34	1.91	0.39	29.48	105.15	40.36	26.1	58.71	33.78	58.3	5.5	15.11	88.26	30.34	3.06	172.65	3.69	76.71	34.75	40.93	0.0	81.71	71.5	395.18	139.07	110.43	120.1	55.89	17.51
SLC18A2	37.05	64.34	26.28	33.06	43.63	50.98	95.34	89.51	90.14	78.34	77.25	73.03	107.38	76.17	75.11	78.89	108.14	101.54	72.52	78.34	55.49	96.01	100.13	212.78	75.11	112.77	154.42	108.9	96.01	120.1	109.66
SLC35A5	158.79	226.54	198.47	157.68	234.57	155.5	486.75	587.13	241.19	201.25	191.67	172.65	199.85	212.78	267.73	260.38	318.57	571.05	334.46	429.54	384.34	239.52	323.03	728.11	521.76	759.08	595.34	638.15	555.41	688.78	708.18
SMAD5	176.29	267.73	177.53	224.97	226.54	145.02	392.44	409.15	242.88	204.07	463.65	279.14	412.0	327.56	395.18	226.54	343.89	447.82	305.55	555.41	287.01	397.93	387.02	728.11	629.35	429.54	575.03	318.57	432.53	669.92	616.37
SMNDC1	258.57	283.05	220.32	336.79	299.25	246.28	647.07	902.89	884.29	473.41	579.04	426.57	450.94	339.14	660.68	629.35	435.55	620.67	571.05	603.67	571.05	466.88	381.68	1051.79	759.08	1167.14	713.11	934.76	587.13	902.89	848.22
SNX4	283.05	470.14	299.25	381.68	208.38	193.01	518.15	836.53	271.48	220.32	376.41	231.32	255.0	305.55	289.02	343.89	312.0	387.02	327.56	392.44	429.54	291.04	273.37	723.08	656.11	819.3	532.74	607.87	647.07	954.43	866.07
TBCCD1	77.25	115.16	140.04	117.6	114.36	109.66	454.09	334.46	158.79	148.09	204.07	141.02	119.26	166.73	242.88	171.45	162.14	353.59	147.06	223.41	253.23	135.24	172.65	718.08	283.05	633.73	490.14	329.84	463.65	444.72	503.95
TMEM39A	153.34	366.09	130.6	166.73	201.25	138.1	587.13	728.11	176.29	258.57	189.02	291.04	176.29	334.46	409.15	267.73	237.86	684.02	371.22	591.22	423.61	301.33	256.78	967.76	854.13	1519.15	995.0	769.69	723.08	802.41	890.44
TRUB1	120.94	124.37	76.17	144.01	166.73	77.25	258.57	267.73	182.55	149.12	177.53	88.88	107.38	81.71	147.06	146.03	112.77	309.83	107.38	140.04	106.63	249.73	94.01	540.19	363.56	571.05	312.0	332.14	248.0	480.04	525.39
UBA5	466.88	392.44	307.69	412.0	559.28	361.04	693.58	607.87	460.44	314.17	441.64	269.6	356.05	403.5	454.09	403.5	414.87	591.22	389.72	555.41	567.1	438.59	406.31	660.68	1104.13	967.76	796.86	896.64	660.68	1030.12	769.69
VPS26A	397.93	555.41	633.73	547.75	429.54	457.25	1350.18	1295.13	1427.22	947.83	1081.39	1023.0	753.83	713.11	698.41	1081.39	1143.1	1199.98	934.76	1572.76	981.29	934.76	860.08	2032.85	1175.27	1437.15	1844.76	1819.35	1111.82	1340.84	1350.18
ZBTB11	123.5	128.79	96.01	111.99	177.53	49.91	177.53	201.25	206.94	136.19	187.71	163.28	101.54	155.5	305.55	198.47	190.34	366.09	159.9	258.57	202.66	172.65	181.28	529.06	267.73	358.54	320.8	312.0	351.14	237.86	264.03
ZMAT3	76.17	57.08	41.81	64.8	82.29	35.5	169.07	111.99	87.03	76.71	74.58	81.14	43.63	71.0	149.12	48.87	78.34	178.77	75.64	111.99	76.17	83.45	96.01	723.08	98.04	281.09	373.81	164.42	256.78	150.17	111.21
ZNF148	84.63	134.3	76.17	90.77	93.35	55.1	327.56	454.09	113.56	134.3	144.01	93.35	108.14	157.68	177.53	148.09	195.72	339.14	170.25	258.57	246.28	161.02	171.45	909.17	318.57	567.1	518.15	532.74	406.31	463.65	395.18
