	TCGA.DM.A28G.01A.11R.A16W.07	GTEX.13111.0726.SM.5DUVE	GTEX.Y9LG.1526.SM.4WWDR	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.145LU.1326.SM.5LU9N	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13112.1426.SM.5EGH8	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.HU.A4H2.01A.11R.A251.31	TCGA.BR.8483.01A.31R.2402.13	GTEX.VJYA.1026.SM.4KL21	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
BRCA2	30.34	50.27	71.0	63.89	52.08	70.51	46.84	56.28	31.9	65.26	50.63	40.93	45.21	31.67	32.82	48.18	37.05	52.45	38.12	70.01	102.97	16.51	8.0	0.47	0.93	8.51	0.79	9.85	0.87	11.91	12.27	8.19	7.06	2.39	9.56	15.8	9.48	18.97	16.51	8.51	11.47	14.35	4.78	15.68	15.45	17.77	4.24	0.54	9.7	0.0	11.47	7.34	0.48	1.33	0.84	5.96	262.2	105.89	215.77	151.22	314.17	53.19	0.99	41.81	8.0
BRIP1	28.24	44.57	61.25	36.79	40.07	30.56	24.28	38.12	28.45	57.08	33.78	28.65	46.84	38.4	38.95	35.5	36.27	40.93	36.01	57.89	64.8	27.05	2.68	1.45	1.41	4.46	2.78	2.84	1.31	5.96	2.84	1.95	3.53	2.81	3.76	6.62	13.93	14.56	17.77	3.59	11.13	7.17	14.35	24.81	18.7	7.28	11.55	5.77	6.41	8.92	16.15	8.78	22.92	10.0	11.91	35.0	29.91	70.01	123.5	52.82	66.18	18.7	8.92	10.63	2.1
BTBD10	395.18	426.57	429.54	432.53	397.93	417.77	395.18	497.0	275.28	555.41	429.54	429.54	514.56	376.41	480.04	536.45	457.25	507.46	450.94	483.38	389.72	417.77	246.28	329.84	260.38	368.65	141.02	307.69	248.0	361.04	275.28	312.0	336.79	387.02	379.04	307.69	166.73	295.11	341.51	234.57	273.37	260.38	368.65	193.01	161.02	264.03	118.43	77.25	128.79	58.3	101.54	100.13	80.57	111.21	93.35	110.43	303.44	466.88	397.93	368.65	397.93	395.18	327.56	379.04	343.89
BUB1	55.1	129.69	232.94	107.38	182.55	109.66	97.36	116.78	152.28	279.14	205.5	119.26	236.21	190.34	162.14	141.02	158.79	218.79	258.57	318.57	175.07	69.03	10.79	38.4	15.11	21.63	25.54	38.4	9.56	39.22	26.67	47.17	12.83	7.22	30.12	70.01	45.21	56.28	33.3	18.56	16.03	15.34	20.26	65.72	18.97	38.95	11.38	3.86	5.82	5.19	3.08	1.99	0.55	3.96	8.92	5.73	909.17	224.97	684.02	647.07	303.44	57.89	17.38	50.27	49.56
BUB1B	147.06	217.27	289.02	133.36	209.84	191.67	111.99	138.1	149.12	293.07	223.41	169.07	244.57	232.94	166.73	187.71	171.45	215.77	249.73	336.79	197.09	120.94	16.51	12.0	19.68	8.06	42.71	23.08	18.56	41.22	29.91	26.1	15.0	13.93	18.29	50.27	24.46	46.84	28.04	15.34	17.9	18.84	26.28	55.1	38.95	37.59	6.36	8.13	5.54	0.49	9.48	0.43	14.89	8.71	0.8	8.65	466.88	152.28	373.81	198.47	164.42	40.64	23.08	30.12	20.71
BZW2	2047.0	2032.85	1781.89	1605.83	1427.22	1135.2	1487.87	1605.83	1127.35	1896.65	1806.78	1605.83	2148.82	1427.22	1745.2	1697.45	1832.01	2047.0	2018.8	1745.2	1457.23	1259.69	543.96	624.99	941.27	660.68	323.03	579.04	723.08	587.13	329.84	575.03	638.15	819.3	341.51	457.25	384.34	1008.9	551.56	476.71	866.07	400.71	825.0	429.54	769.69	603.67	518.15	218.79	246.28	215.77	123.5	180.02	162.14	155.5	201.25	171.45	4704.07	1322.37	2895.31	2739.08	2835.7	2004.85	1259.69	743.43	1059.11
C11orf82	24.63	32.36	31.9	22.75	45.85	29.91	9.93	33.3	37.59	27.05	39.79	19.25	38.67	27.64	23.25	30.12	18.84	28.45	30.12	64.8	39.79	18.97	7.51	3.82	0.93	7.22	5.54	8.45	9.85	19.82	11.3	14.45	7.46	7.94	3.72	13.52	10.39	7.46	12.64	7.17	7.88	7.57	13.83	21.94	29.27	27.44	7.94	4.24	5.68	5.11	6.21	3.44	4.86	16.88	7.11	1.45	155.5	80.57	208.38	136.19	80.01	24.63	10.16	26.47	21.32
C1orf112	115.16	67.12	50.63	43.02	47.5	48.87	49.91	49.21	69.52	71.5	51.71	45.85	79.45	55.89	48.52	53.57	52.45	69.03	68.55	118.43	78.89	35.25	15.22	64.34	20.71	15.8	25.17	24.11	13.83	35.5	24.11	26.1	41.52	25.54	38.4	45.53	15.56	36.79	41.22	26.1	31.0	13.52	36.53	127.0	60.82	76.71	27.25	20.11	40.93	12.83	24.46	13.32	67.59	77.79	13.03	33.54	147.06	129.69	318.57	211.31	208.38	38.95	49.91	78.89	40.93
C3orf52	248.0	403.5	283.05	543.96	500.46	551.56	327.56	521.76	305.55	587.13	409.15	684.02	325.29	460.44	518.15	497.0	447.82	417.77	417.77	432.53	483.38	466.88	140.04	256.78	232.94	202.66	36.27	228.13	215.77	151.22	281.09	125.24	107.38	293.07	202.66	157.68	52.82	74.06	7.28	34.51	53.95	32.13	135.24	1.14	0.61	9.41	0.72	1.17	11.04	0.14	10.79	19.82	4.03	0.0	0.0	38.67	275.28	389.72	514.56	454.09	239.52	231.32	97.36	71.5	157.68
CAPZA1	1340.84	2400.97	2287.2	2193.99	2032.85	2163.77	2104.58	2090.03	1757.34	1991.0	2148.82	2193.99	2319.15	1936.53	2255.7	2061.24	1991.0	2061.24	2075.59	2148.82	2178.83	2573.36	555.41	476.71	336.79	928.3	339.14	684.02	432.53	713.11	400.71	624.99	1127.35	633.73	1208.34	802.41	947.83	825.0	1059.11	981.29	981.29	1208.34	1225.22	665.29	813.63	1295.13	603.67	384.34	669.92	420.68	780.44	493.56	607.87	480.04	825.0	473.41	1447.15	2133.97	1397.83	1233.75	651.58	1662.49	830.75	1628.26	1059.11
CCDC138	118.43	84.63	86.43	70.01	66.18	57.08	73.54	59.13	46.18	64.34	85.22	52.82	67.59	98.04	76.17	72.52	61.25	87.03	58.3	45.85	75.11	60.82	3.59	6.73	14.03	6.89	4.82	11.82	1.75	11.21	2.86	7.75	18.43	15.11	1.68	14.14	25.35	28.04	90.14	13.52	24.11	39.22	38.67	40.07	33.54	70.01	23.25	2.92	29.27	28.65	18.43	40.93	67.12	51.35	50.98	40.07	77.25	38.95	190.34	112.77	107.38	48.52	26.86	29.48	15.68
CCNA2	256.78	269.6	334.46	206.94	285.03	144.01	120.1	158.79	251.48	470.14	283.05	180.02	389.72	309.83	217.27	239.52	264.03	309.83	457.25	540.19	285.03	114.36	20.56	30.34	17.77	16.27	64.8	31.22	11.55	66.65	33.78	31.22	24.46	11.55	34.02	90.77	46.5	108.14	34.02	12.55	29.27	36.79	41.22	133.36	58.71	88.26	19.97	2.81	11.64	11.91	15.45	12.36	13.93	23.42	16.03	19.39	583.07	341.51	674.59	417.77	267.73	80.57	32.59	48.18	55.49
CCNB2	183.82	669.92	698.41	460.44	684.02	406.31	384.34	420.68	563.18	1037.29	753.83	514.56	947.83	688.78	500.46	647.07	651.58	698.41	884.29	1051.79	656.11	366.09	28.65	57.89	21.63	22.75	104.42	63.45	33.06	105.15	62.56	63.45	30.12	12.45	47.17	112.77	61.68	113.56	64.8	21.78	37.59	53.95	58.3	114.36	113.56	97.36	12.64	4.35	6.41	2.86	4.7	1.48	8.99	22.92	3.76	9.34	1477.58	165.57	1088.92	813.63	329.84	132.44	74.58	113.56	38.95
CCNE2	96.01	63.45	111.21	71.5	65.26	159.9	49.21	73.03	59.13	83.45	108.9	45.21	69.52	70.01	68.07	161.02	66.18	83.45	60.82	78.34	90.77	57.89	5.02	5.41	10.96	4.98	18.56	10.55	5.77	25.54	4.86	21.63	10.31	5.32	11.47	31.22	16.75	27.25	13.42	12.36	7.34	14.67	37.32	50.63	39.5	24.11	11.3	4.7	20.56	10.31	8.78	28.04	7.51	14.14	13.52	16.88	118.43	64.8	220.32	63.89	124.37	83.45	30.56	71.5	16.51
CCSAP	55.49	78.89	54.33	55.89	54.72	35.76	85.82	46.84	60.82	43.94	62.56	36.27	53.57	42.41	51.35	26.1	46.5	47.84	30.56	59.97	71.0	31.67	16.03	28.24	22.43	29.48	23.42	30.56	13.03	30.56	22.26	27.05	46.84	31.0	68.55	67.59	6.01	18.56	31.0	30.12	14.67	23.25	28.65	102.25	14.14	42.71	25.72	11.82	24.28	15.45	24.99	17.64	73.03	42.11	31.22	38.67	111.21	127.0	262.2	120.94	155.5	46.18	103.69	60.82	54.72
CDC25A	146.03	122.64	127.89	57.89	109.66	88.88	74.58	100.83	71.0	81.71	108.14	94.01	99.43	110.43	87.03	128.79	92.7	130.6	113.56	100.83	127.89	75.64	32.13	26.67	18.16	12.93	26.1	21.94	22.43	24.99	13.62	32.13	19.68	49.21	11.64	28.04	8.99	21.94	12.27	11.21	24.81	15.68	32.82	27.25	16.88	23.25	2.86	7.4	8.92	0.0	2.43	11.82	7.94	5.59	5.68	9.41	92.05	62.12	205.5	100.13	44.89	29.27	122.64	13.83	194.36
CDC6	92.7	187.71	171.45	127.0	131.51	124.37	70.51	126.12	95.34	151.22	156.59	90.77	158.79	157.68	149.12	158.79	110.43	232.94	193.01	147.06	173.85	135.24	6.31	5.82	5.23	8.19	18.03	19.39	4.82	26.86	12.93	11.73	9.34	24.99	23.42	20.86	47.17	77.79	68.55	21.32	48.87	19.39	87.65	73.03	74.58	127.89	24.11	12.83	43.32	3.63	1.83	13.72	6.11	15.11	18.03	4.54	429.54	217.27	674.59	356.05	12676.65	95.34	92.7	61.25	20.56
CDCA3	295.11	366.09	420.68	246.28	432.53	318.57	169.07	195.72	320.8	497.0	409.15	241.19	426.57	463.65	277.2	291.04	287.01	348.71	532.74	599.49	432.53	139.07	38.12	31.45	45.53	24.11	107.38	63.0	30.12	81.14	58.71	52.08	17.64	57.08	33.06	106.63	88.88	143.01	44.57	40.07	62.56	52.45	77.79	175.07	90.77	116.78	46.18	25.17	19.53	14.45	13.42	17.64	40.07	41.52	8.85	43.32	1268.46	480.04	947.83	836.53	698.41	163.28	55.49	90.14	95.34
CDK1	293.07	518.15	656.11	429.54	511.0	414.87	202.66	346.29	470.14	830.75	563.18	373.81	679.29	595.34	447.82	543.96	500.46	595.34	723.08	866.07	497.0	242.88	58.71	49.91	24.81	33.06	55.1	65.26	49.91	100.13	61.25	62.12	63.89	30.56	80.57	130.6	111.99	127.0	88.26	23.42	64.34	80.57	87.03	265.87	86.43	162.14	27.84	16.03	30.34	5.36	20.41	6.73	23.42	12.09	8.65	13.03	1088.92	409.15	967.76	1127.35	607.87	146.03	82.87	85.82	97.36
CDKN3	269.6	373.81	392.44	339.14	441.64	234.57	124.37	202.66	297.17	587.13	409.15	307.69	503.95	412.0	246.28	275.28	309.83	423.61	629.35	764.36	368.65	149.12	34.26	72.01	40.36	53.19	94.01	110.43	25.35	110.43	93.35	108.14	44.57	36.79	82.87	182.55	113.56	165.57	91.41	32.82	69.03	94.67	125.24	301.33	74.06	199.85	46.5	5.96	25.17	14.14	14.56	16.27	25.54	10.63	22.43	9.63	2701.35	420.68	2255.7	1477.58	256.78	164.42	102.97	232.94	166.73
CENPA	35.25	171.45	226.54	108.9	177.53	113.56	88.26	94.67	151.22	236.21	217.27	129.69	244.57	175.07	100.83	154.42	136.19	183.82	212.78	264.03	181.28	67.12	8.06	31.45	3.76	7.75	34.51	15.22	11.38	31.9	11.47	17.51	8.0	2.01	24.81	42.41	37.32	38.12	14.56	20.86	9.2	16.75	25.72	61.25	34.02	27.05	3.86	2.03	2.43	0.0	3.72	0.0	0.0	3.53	9.56	3.06	961.07	103.69	332.14	688.78	269.6	34.26	16.03	27.44	14.35
CENPE	53.19	28.65	48.87	26.67	38.12	24.63	21.32	24.28	32.36	70.01	39.22	31.67	58.3	39.79	36.53	33.78	32.59	55.49	44.89	116.78	38.67	14.89	4.9	13.42	4.7	4.46	7.94	8.92	4.31	14.35	8.99	9.63	4.39	3.59	0.41	10.96	7.0	12.27	7.22	0.0	2.78	6.26	5.73	18.29	9.48	22.92	2.23	0.0	0.64	0.42	1.87	6.41	0.39	0.82	0.32	12.27	151.22	48.52	148.09	224.97	89.51	11.91	2.14	15.56	6.52
CENPF	165.57	303.44	406.31	221.86	325.29	206.94	170.25	223.41	285.03	595.34	373.81	253.23	518.15	295.11	258.57	291.04	275.28	341.51	447.82	633.73	295.11	102.25	31.67	71.5	17.9	28.86	81.71	53.57	21.32	67.12	50.27	36.79	37.05	16.75	5.02	80.01	103.69	109.66	65.26	9.48	33.78	58.71	28.86	108.9	150.17	63.89	9.93	6.52	5.63	13.72	12.93	13.62	0.82	4.54	3.79	3.35	559.28	329.84	884.29	902.89	785.88	87.03	29.48	74.06	58.71
CENPL	71.0	63.45	113.56	79.45	61.68	65.72	69.52	66.65	94.67	127.0	79.45	45.53	78.89	86.43	91.41	73.54	75.64	90.14	93.35	147.06	84.63	62.56	40.64	58.71	41.81	46.84	40.64	47.84	59.55	59.13	58.71	61.68	57.49	58.3	80.01	47.84	23.93	62.56	46.18	30.12	40.07	49.21	27.25	71.5	60.39	71.5	12.55	11.38	19.97	7.0	11.47	1.11	5.59	11.3	19.82	17.25	260.38	128.79	214.27	253.23	175.07	72.01	53.57	66.18	65.26
CENPN	297.17	215.77	318.57	162.14	303.44	116.78	89.51	187.71	154.42	368.65	220.32	173.85	316.37	228.13	175.07	182.55	172.65	193.01	536.45	500.46	209.84	163.28	127.0	167.9	93.35	114.36	155.5	131.51	138.1	215.77	201.25	171.45	76.17	89.51	115.16	189.02	71.5	157.68	143.01	147.06	73.54	153.34	164.42	173.85	189.02	201.25	132.44	81.71	99.43	79.45	106.63	66.18	46.84	105.89	70.01	71.0	1151.06	285.03	813.63	1066.48	529.06	217.27	117.6	89.51	277.2
CENPO	79.45	176.29	212.78	175.07	191.67	226.54	128.79	149.12	152.28	158.79	171.45	149.12	181.28	195.72	186.4	194.36	157.68	189.02	134.3	231.32	195.72	134.3	64.34	70.01	70.01	61.25	66.18	40.64	97.36	53.19	47.17	54.72	56.28	85.22	74.58	66.18	44.89	97.36	88.88	92.7	54.33	130.6	100.83	74.06	48.18	189.02	45.21	55.1	41.81	15.8	20.26	25.54	19.97	29.91	50.27	48.18	260.38	244.57	483.38	540.19	249.73	60.39	87.03	103.69	61.25
CEP55	78.89	180.02	204.07	120.94	206.94	104.42	74.06	117.6	131.51	307.69	195.72	112.77	248.0	191.67	102.97	153.34	165.57	197.09	249.73	363.56	161.02	54.33	8.85	18.16	4.21	8.85	20.26	17.9	12.09	28.24	14.14	15.45	20.26	13.12	12.0	35.25	44.89	64.34	26.28	8.51	25.35	31.0	48.18	29.91	12.45	35.0	1.48	0.85	2.63	4.98	3.06	5.06	14.35	19.53	2.76	1.01	890.44	208.38	567.1	748.61	232.94	50.63	18.03	49.91	24.11
CHAMP1	255.0	253.23	283.05	229.72	158.79	205.5	202.66	291.04	194.36	190.34	255.0	214.27	248.0	241.19	236.21	234.57	205.5	281.09	232.94	289.02	295.11	176.29	116.78	88.26	98.73	105.15	90.14	78.34	112.77	136.19	59.13	133.36	156.59	285.03	143.01	189.02	99.43	157.68	133.36	164.42	111.99	136.19	158.79	120.94	389.72	115.97	85.82	120.1	145.02	137.14	159.9	120.94	111.99	146.03	204.07	120.1	669.92	555.41	669.92	412.0	444.72	397.93	114.36	186.4	190.34
CORO2A	161.02	1104.13	836.53	1044.52	723.08	1059.11	848.22	854.13	571.05	848.22	1081.39	836.53	1030.12	878.17	1127.35	1081.39	878.17	860.08	813.63	890.44	728.11	1023.0	20.11	36.01	35.25	33.3	6.84	8.58	18.7	23.59	3.82	8.32	33.54	2.03	47.5	18.97	6.57	85.82	6.01	19.39	56.68	18.03	80.01	13.72	7.4	75.64	49.21	22.43	44.57	145.02	18.43	57.08	50.63	24.63	25.54	127.89	241.19	277.2	460.44	229.72	187.71	420.68	11.55	146.03	16.15
DEPDC1	25.54	73.54	117.6	96.68	91.41	74.06	46.18	57.89	67.12	158.79	102.97	74.58	115.16	110.43	71.0	88.26	96.01	90.14	96.01	164.42	72.52	36.27	1.79	4.82	1.89	2.03	9.56	4.24	2.61	7.94	3.32	2.43	4.43	1.6	2.1	11.38	11.47	7.88	6.36	0.91	3.2	6.26	10.0	13.93	20.41	16.27	3.66	0.49	1.16	0.0	0.54	0.52	0.0	1.01	0.96	1.75	180.02	62.56	269.6	125.24	37.85	18.97	6.84	9.13	5.45
DHX15	2335.28	2090.03	2209.26	2287.2	2163.77	2351.53	2224.63	2417.67	1936.53	2224.63	2090.03	2451.44	2061.24	2417.67	2520.38	2104.58	2319.15	2004.85	1950.0	2271.4	2271.4	1794.29	954.43	1259.69	1023.0	1259.69	974.5	1304.15	748.61	1369.04	941.27	1286.18	1216.75	780.44	1233.75	1674.06	567.1	988.12	915.51	941.27	915.51	733.19	1023.0	1183.45	599.49	1369.04	567.1	406.31	540.19	674.59	493.56	470.14	497.0	583.07	708.18	529.06	1896.65	2609.3	3874.05	1651.0	1757.34	1015.93	1151.06	915.51	1073.91
