	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.DK.A1AD.01A.11R.A13Y.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.ZF.AA51.01A.21R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.DK.A6B6.01A.11R.A30C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1497J.0826.SM.5NQAJ	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.11P81.0126.SM.5HL5Y	GTEX.1211K.0726.SM.5FQUW
C16orf62	612.11	341.51	521.76	848.22	379.04	44.89	571.05	616.37	251.48	162.14	318.57	559.28	105.15	255.0	567.1	371.22	555.41	559.28	647.07	368.65	423.61	612.11	323.03	420.68	753.83	500.46	791.35	616.37	967.76	896.64	441.64	764.36	713.11	651.58	738.29	854.13	802.41	753.83	819.3	753.83	693.58	915.51	796.86	941.27	748.61	753.83	638.15	769.69	753.83	733.19	808.0	825.0	647.07	819.3	791.35	718.08	738.29	718.08	791.35	796.86	769.69	743.43	909.17	738.29	836.53	392.44	563.18	642.59	688.78	500.46
C16orf86	42.71	27.05	32.36	102.97	23.42	9.2	43.32	6.57	34.51	36.27	34.02	76.17	83.45	31.67	27.05	62.12	42.41	28.04	32.13	26.67	69.03	41.22	23.59	54.33	204.07	178.77	136.19	158.79	156.59	72.01	135.24	126.12	116.78	111.99	101.54	103.69	138.1	83.45	109.66	94.01	117.6	78.89	137.14	96.68	107.38	80.01	164.42	132.44	135.24	121.79	72.01	109.66	161.02	154.42	134.3	133.36	154.42	173.85	162.14	137.14	148.09	183.82	92.7	191.67	130.6	94.01	376.41	182.55	147.06	110.43
CASC4	860.08	759.08	743.43	1369.04	387.02	1216.75	571.05	679.29	842.36	738.29	753.83	1096.5	723.08	624.99	1167.14	612.11	607.87	1111.82	872.1	400.71	1268.46	1498.22	417.77	551.56	1304.15	988.12	1143.1	1119.56	1350.18	1322.37	2451.44	1350.18	1159.07	1304.15	1388.16	1447.15	1369.04	1268.46	1250.98	1225.22	1250.98	1617.0	1295.13	1369.04	1216.75	1369.04	1417.35	1259.69	1191.69	1350.18	1639.59	1467.37	1167.14	1369.04	1304.15	967.76	1143.1	1159.07	1199.98	1104.13	1313.23	1167.14	1437.15	1216.75	1295.13	571.05	1662.49	1685.71	1447.15	1477.58
CCDC50	373.81	209.84	358.54	299.25	297.17	79.45	309.83	220.32	409.15	343.89	334.46	441.64	112.77	389.72	529.06	480.04	371.22	353.59	273.37	447.82	423.61	389.72	555.41	336.79	728.11	599.49	743.43	656.11	444.72	764.36	802.41	587.13	679.29	607.87	802.41	638.15	738.29	785.88	629.35	738.29	713.11	669.92	684.02	708.18	656.11	780.44	616.37	669.92	674.59	769.69	819.3	642.59	669.92	665.29	616.37	493.56	665.29	603.67	575.03	525.39	616.37	665.29	718.08	466.88	620.67	988.12	1304.15	830.75	934.76	764.36
CCPG1	273.37	156.59	127.0	299.25	47.5	99.43	180.02	348.71	165.57	241.19	346.29	205.5	124.37	241.19	373.81	339.14	267.73	211.31	287.01	140.04	447.82	356.05	363.56	106.63	1477.58	1183.45	1331.57	1359.57	1295.13	1498.22	4066.71	1143.1	1369.04	1519.15	1250.98	1561.89	1388.16	1617.0	1498.22	1628.26	1242.34	1794.29	1359.57	1477.58	1487.87	1508.65	1369.04	1359.57	1617.0	1709.26	1950.0	1529.73	1225.22	1191.69	1295.13	1199.98	1151.06	1167.14	1151.06	1216.75	1340.84	1143.1	1331.57	1051.79	1199.98	825.0	1277.29	1242.34	1151.06	1088.92
CDC42SE2	536.45	312.0	470.14	244.57	379.04	490.14	555.41	392.44	547.75	351.14	327.56	346.29	299.25	327.56	759.08	457.25	307.69	423.61	555.41	339.14	684.02	507.46	674.59	450.94	1059.11	884.29	1268.46	941.27	1119.56	1051.79	2915.45	884.29	988.12	878.17	1059.11	1143.1	1023.0	1008.9	909.17	1096.5	1081.39	1127.35	1135.2	1030.12	934.76	1015.93	1001.93	915.51	1066.48	1119.56	1467.37	1044.52	718.08	1066.48	748.61	703.28	775.05	718.08	743.43	708.18	785.88	775.05	974.5	713.11	808.0	473.41	1008.9	981.29	748.61	669.92
CEP19	14.56	6.31	13.72	34.51	2.97	26.1	12.74	22.1	13.32	12.45	17.64	17.9	6.31	29.06	34.51	28.04	16.63	15.45	19.53	16.63	33.3	8.32	19.11	28.86	63.89	30.12	58.71	48.52	70.01	63.45	69.52	54.72	72.52	48.52	42.11	59.97	45.21	45.21	55.1	56.28	44.89	68.55	66.18	54.33	55.89	63.89	44.57	48.52	50.27	62.56	77.25	59.97	42.11	59.13	49.21	42.71	43.63	54.72	40.64	58.3	58.71	44.57	43.63	48.18	37.59	34.26	49.56	68.55	68.55	40.07
CMKLR1	9.63	2.05	1.77	29.7	1.68	53.19	4.54	24.28	6.57	9.56	26.86	5.87	18.16	52.08	9.63	15.56	63.89	1.25	10.79	24.28	57.49	26.47	22.92	15.8	185.11	71.5	135.24	77.25	55.1	108.9	132.44	96.68	87.65	124.37	129.69	226.54	139.07	150.17	214.27	149.12	116.78	157.68	155.5	170.25	277.2	173.85	68.07	102.97	112.77	303.44	181.28	204.07	95.34	218.79	106.63	149.12	123.5	142.01	93.35	109.66	92.05	120.1	239.52	111.21	110.43	95.34	29.06	82.29	143.01	108.14
CTTNBP2	11.13	5.36	0.33	140.04	1.01	2.61	4.82	47.5	1.75	16.51	30.34	0.96	1.36	76.71	12.83	74.06	3.11	1.23	7.22	27.44	64.34	220.32	90.77	1.77	147.06	209.84	181.28	164.42	124.37	470.14	46.18	195.72	241.19	130.6	180.02	185.11	206.94	169.07	248.0	220.32	305.55	211.31	152.28	111.21	221.86	175.07	155.5	154.42	164.42	334.46	198.47	127.89	236.21	197.09	312.0	117.6	91.41	127.89	181.28	169.07	171.45	158.79	142.01	118.43	141.02	65.26	18.43	162.14	166.73	78.89
CX3CL1	215.77	334.46	38.67	85.22	15.11	45.85	674.59	75.64	153.34	209.84	176.29	55.49	74.06	161.02	56.28	206.94	87.03	86.43	49.91	15.22	166.73	318.57	21.78	74.58	1457.23	890.44	1583.71	1096.5	738.29	1605.83	3280.18	1286.18	995.0	1340.84	830.75	1794.29	915.51	1175.27	1081.39	1369.04	1127.35	961.07	1159.07	1199.98	1304.15	1159.07	866.07	1268.46	1819.35	1721.16	1242.34	1167.14	2047.0	1277.29	961.07	1508.65	1183.45	1369.04	1350.18	1519.15	1059.11	1268.46	1388.16	1427.22	1175.27	182.55	1529.73	872.1	409.15	287.01
DCDC2	1.62	0.0	3.76	30.12	0.67	0.0	27.44	11.91	2.41	6.62	72.52	0.64	20.26	6.36	16.51	69.52	4.78	0.62	1.33	1.95	11.64	5.54	3.35	0.89	1159.07	332.14	1151.06	642.59	289.02	941.27	183.82	447.82	583.07	934.76	759.08	1008.9	669.92	684.02	563.18	629.35	540.19	802.41	854.13	961.07	693.58	954.43	361.04	698.41	679.29	1304.15	1268.46	872.1	540.19	780.44	466.88	551.56	651.58	674.59	414.87	483.38	599.49	633.73	854.13	514.56	607.87	808.0	92.05	90.14	108.9	70.01
EFCAB6	5.68	3.63	5.41	10.55	0.0	1.16	15.45	1.39	0.37	3.66	2.53	0.33	0.35	22.59	14.56	25.91	1.04	0.0	1.66	0.0	20.71	2.78	1.01	0.0	59.55	41.22	57.89	43.94	56.28	31.45	67.59	41.22	39.22	40.64	53.19	37.85	48.18	56.28	50.98	57.49	59.13	66.65	55.49	48.52	41.52	48.52	47.17	50.98	40.36	50.27	53.19	49.91	55.89	52.82	48.52	42.11	45.85	38.12	52.82	40.64	41.52	54.33	37.59	54.72	57.08	12.0	157.68	112.77	107.38	153.34
ENDOD1	208.38	412.0	493.56	256.78	281.09	99.43	169.07	397.93	98.73	563.18	202.66	214.27	281.09	108.9	127.0	246.28	226.54	392.44	205.5	239.52	253.23	228.13	121.79	68.55	579.04	412.0	591.22	420.68	260.38	713.11	1769.57	500.46	679.29	638.15	633.73	642.59	872.1	775.05	620.67	642.59	500.46	660.68	595.34	878.17	647.07	791.35	500.46	656.11	571.05	934.76	848.22	775.05	525.39	583.07	532.74	503.95	759.08	669.92	559.28	529.06	638.15	529.06	1030.12	583.07	665.29	497.0	241.19	571.05	275.28	186.4
FAM110B	5.45	8.0	2.63	25.17	0.37	6.31	6.73	11.64	5.87	11.38	13.32	4.94	3.35	70.51	36.79	40.07	16.03	4.82	5.92	1.97	40.64	3.23	2.05	5.23	325.29	214.27	346.29	366.09	173.85	167.9	14.67	205.5	262.2	346.29	295.11	314.17	205.5	145.02	314.17	301.33	201.25	299.25	329.84	400.71	361.04	334.46	217.27	305.55	277.2	346.29	400.71	486.75	229.72	423.61	141.02	356.05	314.17	363.56	275.28	139.07	150.17	356.05	256.78	246.28	181.28	195.72	279.14	271.48	165.57	111.21
FGF13	11.73	4.31	2.32	13.62	12.0	7.11	3.2	8.92	8.19	13.12	13.62	6.73	9.85	11.21	25.35	22.43	17.25	8.32	17.13	5.45	37.85	38.12	2.36	3.47	285.03	212.78	260.38	208.38	150.17	43.63	7.63	183.82	190.34	295.11	249.73	341.51	185.11	175.07	180.02	199.85	170.25	199.85	206.94	226.54	241.19	234.57	161.02	172.65	232.94	242.88	376.41	239.52	201.25	221.86	189.02	146.03	171.45	197.09	128.79	193.01	142.01	205.5	181.28	195.72	190.34	32.59	108.14	111.21	265.87	108.14
FGF2	4.17	1.68	0.89	15.0	1.33	7.11	1.62	6.52	3.11	24.99	15.34	4.58	4.31	24.63	8.0	15.11	7.17	2.41	2.97	0.99	18.16	17.64	3.99	2.63	112.77	37.59	65.72	53.57	33.06	45.53	236.21	43.02	70.01	76.71	78.89	115.16	75.64	139.07	65.26	128.79	68.07	81.71	111.21	87.03	105.15	115.16	70.51	96.01	78.34	114.36	87.03	90.77	57.49	64.34	33.78	73.54	87.65	49.56	57.49	39.22	45.53	53.95	90.77	43.94	50.63	17.25	47.5	52.08	22.92	30.56
FZD8	4.82	11.55	11.13	42.11	9.78	10.24	20.56	34.51	11.3	19.68	18.56	20.56	36.27	54.33	49.91	38.4	42.41	7.46	12.36	21.32	46.18	21.63	6.31	5.77	332.14	101.54	277.2	181.28	57.49	303.44	164.42	148.09	221.86	232.94	228.13	295.11	189.02	214.27	232.94	201.25	135.24	212.78	309.83	256.78	265.87	291.04	153.34	283.05	241.19	269.6	206.94	229.72	438.59	336.79	164.42	348.71	351.14	343.89	244.57	186.4	185.11	228.13	303.44	312.0	242.88	107.38	58.3	291.04	563.18	195.72
GLIS2	136.19	120.94	38.67	612.11	51.71	123.5	46.18	130.6	25.54	75.11	67.12	40.64	153.34	144.01	34.51	255.0	159.9	39.22	57.08	17.13	260.38	81.14	15.8	43.02	1242.34	493.56	928.3	599.49	595.34	1304.15	371.22	934.76	713.11	688.78	698.41	555.41	738.29	587.13	1001.93	743.43	656.11	866.07	1066.48	909.17	902.89	1051.79	830.75	1088.92	896.64	567.1	473.41	1008.9	1073.91	1467.37	743.43	988.12	1277.29	1769.57	1322.37	1001.93	860.08	1268.46	1388.16	1709.26	1030.12	133.36	339.14	297.17	540.19	426.57
GNB4	8.0	6.36	1.79	35.25	5.92	34.02	1.97	53.19	7.63	24.99	24.11	19.82	6.36	47.17	28.04	22.26	25.91	2.76	9.2	12.27	53.57	17.77	11.04	11.55	178.77	65.72	122.64	87.65	49.91	93.35	237.86	96.68	130.6	172.65	131.51	171.45	142.01	175.07	140.04	166.73	95.34	165.57	141.02	140.04	173.85	148.09	92.05	125.24	138.1	236.21	181.28	202.66	114.36	167.9	94.01	97.36	147.06	106.63	88.26	92.05	102.97	107.38	189.02	81.14	102.97	54.72	120.1	153.34	122.64	38.67
GPC4	102.97	59.13	89.51	99.43	99.43	77.79	116.78	144.01	55.49	60.39	75.11	56.28	232.94	220.32	226.54	277.2	214.27	126.12	226.54	52.08	112.77	176.29	102.25	80.57	1216.75	429.54	1487.87	780.44	384.34	1369.04	1242.34	785.88	684.02	536.45	674.59	1208.34	1340.84	842.36	954.43	825.0	802.41	988.12	1135.2	1135.2	878.17	947.83	708.18	825.0	1151.06	1277.29	1286.18	866.07	679.29	1417.35	872.1	775.05	872.1	884.29	808.0	995.0	791.35	743.43	1417.35	743.43	1001.93	120.1	205.5	246.28	232.94	283.05
GPC6	2.27	1.36	0.91	47.17	0.69	13.32	0.36	32.82	6.21	17.9	39.22	10.96	8.92	35.5	6.11	43.32	32.36	0.93	5.92	2.61	65.72	16.51	4.03	2.92	223.41	147.06	197.09	191.67	281.09	271.48	90.77	285.03	299.25	224.97	242.88	403.5	212.78	312.0	244.57	242.88	323.03	417.77	262.2	299.25	397.93	239.52	154.42	264.03	239.52	480.04	353.59	358.54	157.68	262.2	301.33	224.97	305.55	193.01	262.2	229.72	279.14	246.28	262.2	267.73	309.83	44.89	6.73	128.79	9.2	49.56
GPX3	320.8	780.44	3280.18	135693.24	11035.54	275.28	198.47	19618.49	212.78	187.71	199.85	56265.94	10808.41	289.02	961.07	540.19	738.29	241.19	2119.22	129.69	703.28	130165.62	166.73	397.93	353168.2	783730.52	391864.76	394590.4	417089.23	378516.38	492579.5	736332.6	434801.29	334117.42	434801.29	450134.56	641014.63	327241.36	417089.23	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	561916.97	318292.9	400098.69	383800.28	389157.95	472513.8	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	320506.81	546551.29	499455.67	405683.88	513497.31
GULP1	9.63	17.0	7.82	67.12	12.09	22.75	14.14	49.21	30.78	64.34	32.13	23.76	9.34	106.63	23.76	56.68	25.91	5.45	10.88	10.0	87.65	38.12	6.06	14.24	603.67	954.43	624.99	896.64	1111.82	299.25	86.43	698.41	647.07	638.15	733.19	684.02	603.67	591.22	660.68	607.87	743.43	660.68	669.92	624.99	753.83	629.35	836.53	591.22	603.67	629.35	947.83	591.22	599.49	642.59	525.39	389.72	447.82	500.46	493.56	457.25	507.46	703.28	612.11	438.59	532.74	132.44	441.64	503.95	371.22	157.68
GYPC	90.77	64.34	28.45	289.02	22.1	180.02	59.97	161.02	58.71	236.21	256.78	107.38	201.25	353.59	85.22	242.88	460.44	41.52	91.41	86.43	500.46	226.54	181.28	133.36	1151.06	753.83	878.17	1088.92	384.34	403.5	1457.23	563.18	575.03	921.88	1023.0	1359.57	954.43	825.0	753.83	674.59	1066.48	490.14	884.29	785.88	842.36	775.05	974.5	759.08	884.29	1794.29	1143.1	1015.93	872.1	1369.04	624.99	1030.12	1167.14	902.89	656.11	656.11	607.87	934.76	1295.13	974.5	896.64	1427.22	708.18	616.37	366.09	624.99
IQCA1	10.16	0.69	14.56	149.12	50.27	2.32	4.17	7.94	4.5	7.0	12.64	1.25	8.92	52.82	6.73	29.48	41.81	5.41	0.69	9.63	50.27	11.47	2.36	1.77	190.34	75.11	159.9	111.21	48.87	262.2	403.5	65.72	94.01	64.34	82.87	102.25	121.79	141.02	116.78	144.01	92.7	156.59	161.02	186.4	113.56	87.03	138.1	112.77	114.36	144.01	167.9	142.01	82.87	145.02	112.77	111.21	140.04	93.35	102.25	98.04	105.15	130.6	115.97	41.22	105.15	14.67	441.64	884.29	848.22	579.04
ITGA1	86.43	58.71	35.5	111.21	26.1	111.99	35.0	158.79	57.49	167.9	79.45	85.22	55.49	127.0	127.89	126.12	100.83	29.06	35.25	35.25	94.67	193.01	42.71	52.45	738.29	232.94	473.41	409.15	239.52	318.57	759.08	450.94	660.68	457.25	607.87	698.41	656.11	928.3	638.15	603.67	460.44	743.43	500.46	603.67	796.86	728.11	363.56	575.03	387.02	1151.06	896.64	974.5	318.57	679.29	444.72	341.51	624.99	368.65	376.41	450.94	583.07	486.75	974.5	438.59	536.45	351.14	579.04	297.17	341.51	423.61
