	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.X15G.1626.SM.3NMB3	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y5V5.1626.SM.4VDSG	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.146FH.1726.SM.5QGQ2	GTEX.P4QS.0626.SM.3NMD1	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.8552.01A.11R.2403.07	GTEX.X5EB.0426.SM.46MVY	GTEX.X3Y1.0626.SM.3P5YS	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CP	872.1	872.1	325.29	56.28	194.36	25.54	111.21	223.41	1427.22	2935.74	197.09	2148.82	460.44	53.95	0.0	3614.55	4210.15	2976.74	14361.31	2720.15	63.0	12.64	137.14	318.57	88.88	51.71	149.12
CTD-3193O13.9	91.41	91.41	74.58	47.17	8.51	7.88	10.39	12.27	72.01	133.36	4.28	18.84	15.91	10.16	0.0	191.67	198.47	104.42	432.53	27.44	2.81	0.12	3.69	21.78	5.5	13.93	1.13
CUBN	11.38	11.38	33.06	3.99	4.98	4.03	4.21	5.59	24.99	27.25	6.36	12.55	5.28	0.67	0.0	16.03	21.63	24.11	53.57	19.39	0.14	1.38	3.08	1.83	0.72	1.3	0.19
DACH2	5.41	5.41	5.77	0.0	0.0	0.0	0.0	0.0	42.11	12.64	2.61	2.61	1.66	0.0	0.0	3.03	2.58	0.78	1.1	1.03	0.8	0.0	0.29	1.31	0.0	0.0	0.0
DCDC2	15.56	15.56	384.34	15.8	0.8	0.0	0.0	2.2	43.94	12.0	0.0	5.02	1.11	0.0	0.0	46.18	162.14	111.99	890.44	43.63	2.43	0.0	2.34	3.17	0.0	4.39	0.0
DMBT1	6.62	6.62	5.77	6.46	30.34	0.88	3.5	39.22	25179.16	11267.44	62.56	7911.95	4123.49	0.0	0.0	1950.0	9344.14	476.71	255.0	1674.06	0.46	0.0	88.26	94.01	37.32	8.78	8.65
DNAH10OS	26.86	26.86	8.19	0.39	6.57	6.16	3.69	6.67	9.78	31.0	7.28	13.93	4.5	1.55	0.0	8.51	22.59	24.46	24.11	8.38	0.0	0.67	0.29	2.1	0.46	1.73	2.53
DSCAML1	4.66	4.66	13.42	0.0	8.38	3.96	0.68	4.58	20.56	34.75	1.75	21.32	3.06	2.89	0.0	24.11	58.3	49.91	103.69	22.43	0.0	1.68	0.12	5.41	2.56	0.93	0.0
EFCAB4A	947.83	947.83	3124.78	23.93	82.87	26.28	76.71	665.29	12676.65	10883.59	341.51	2303.12	99.43	34.26	0.0	1883.54	3928.15	7382.04	13681.08	1151.06	15.0	14.03	86.43	194.36	55.1	109.66	26.28
ENO4	12.45	12.45	26.1	2.12	4.24	2.71	3.14	10.79	37.05	27.84	5.54	8.13	8.58	3.5	0.0	105.89	155.5	54.33	158.79	116.78	0.0	1.73	0.0	3.11	2.32	3.0	2.76
ERN2	2.71	2.71	0.23	3.26	4.13	0.0	0.33	221.86	5791.62	2895.31	25.91	1143.1	31.67	9.7	0.0	248.0	684.02	915.51	1757.34	669.92	1.93	0.0	9.56	23.42	5.06	13.42	1.83
EXOC3L4	13.93	13.93	15.45	24.81	19.11	4.86	15.45	46.18	187.71	473.41	114.36	55.49	8.32	5.28	0.0	82.87	127.0	435.55	403.5	124.37	3.26	36.27	5.5	0.84	47.5	4.94	0.0
FAM135B	76.71	76.71	1.01	0.36	0.0	0.0	0.0	1.14	5.28	10.79	0.68	1.11	0.48	0.0	0.0	2.23	0.39	12.09	0.89	1.27	1.19	0.92	0.0	2.05	1.39	0.31	0.35
FAM211A	47.5	47.5	54.33	6.01	48.18	8.58	12.36	19.97	28.45	178.77	19.11	42.41	13.03	6.94	0.0	73.54	70.51	173.85	167.9	25.17	8.85	15.56	17.25	3.72	9.34	4.28	4.9
FIGF	224.97	224.97	934.76	16.03	104.42	6.36	10.55	35.0	70.51	155.5	29.91	28.65	21.63	3.82	0.0	183.82	802.41	102.25	4328.55	111.21	23.42	32.82	10.31	6.26	21.94	16.15	10.39
FLJ14816	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.42	11.21	37.59	0.0	5.23	0.0	0.77	0.0	3.32	2.29	9.2	32.59	1.83	0.13	0.0	0.0	1.77	0.26	0.85	0.39
FMO6P	0.42	0.42	8.58	0.0	0.0	0.0	0.14	1.28	1.08	121.79	1.23	8.51	0.78	0.0	0.0	35.76	24.28	43.02	147.06	58.71	0.0	0.0	1.33	19.68	1.0	7.4	0.0
FN3K	361.04	361.04	674.59	64.8	173.85	63.0	96.01	236.21	395.18	371.22	228.13	249.73	108.14	52.08	0.0	493.56	708.18	529.06	1111.82	262.2	19.68	33.54	28.04	109.66	59.13	67.59	12.0
FOLR1	341.51	341.51	890.44	0.0	2.81	0.0	4.9	135.24	7180.15	2032.85	81.14	1572.76	218.79	10.16	0.0	8963.45	3257.52	15075.35	46662.28	1561.89	1.3	0.0	50.98	48.18	6.57	46.84	2.05
FOXD4L5	0.0	0.0	0.64	0.0	1.39	0.0	0.0	1.87	2.23	7.0	0.0	3.59	0.0	0.0	0.0	2.05	0.92	0.0	0.88	0.41	0.34	0.0	0.0	0.53	0.17	0.0	0.08
FP15737	275.28	275.28	480.04	78.34	81.71	83.45	94.67	146.03	536.45	780.44	67.59	318.57	111.99	9.85	0.0	191.67	267.73	79.45	260.38	193.01	18.16	10.63	34.51	71.0	35.5	41.81	27.25
FREM2	32.59	32.59	3.96	0.83	0.91	0.0	0.0	0.0	3.14	77.25	0.0	2.23	4.82	0.0	0.0	26.1	70.01	69.03	31.67	28.86	3.99	15.34	13.52	2.66	1.83	1.64	1.81
FXYD4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.66	0.0	85.82	2.78	0.0	0.0	6.11	43.32	51.35	172.65	18.84	2.71	3.23	6.67	4.24	4.66	0.0	4.58
GJC3	215.77	215.77	493.56	23.25	2.36	2.1	1.33	2.53	49.91	23.93	2.78	12.45	2.1	3.08	0.0	14.78	13.03	9.7	6.01	11.73	0.71	0.0	0.92	1.53	1.51	4.17	3.76
GPER1	208.38	208.38	165.57	16.88	9.93	8.06	12.74	44.89	53.95	269.6	82.87	106.63	7.69	4.94	0.0	56.28	718.08	181.28	293.07	43.94	8.58	18.56	2.73	23.08	11.04	18.43	8.99
GPRASP1	120.1	120.1	316.37	9.2	63.89	34.26	53.95	57.49	172.65	180.02	62.12	153.34	37.59	5.02	0.0	75.11	67.12	209.84	175.07	90.14	1.35	5.45	17.13	17.13	8.85	8.99	4.24
GRIA2	49.21	49.21	33.06	0.0	0.19	0.0	0.0	5.11	116.78	17.9	0.54	7.75	3.38	0.0	0.0	4.66	0.59	2.14	0.55	2.61	0.0	0.08	0.27	0.42	0.0	0.65	0.0
GRIN1	14.78	14.78	50.27	11.04	6.36	11.82	2.23	26.1	98.04	74.58	8.25	34.02	8.58	3.17	0.0	15.22	28.65	18.97	34.02	16.03	0.0	0.8	1.6	4.39	0.97	3.17	0.0
GTF2IRD2B	642.59	642.59	1143.1	108.14	318.57	228.13	363.56	389.72	1037.29	733.19	497.0	769.69	356.05	397.93	215.77	872.1	941.27	1059.11	1286.18	587.13	155.5	143.01	48.87	295.11	166.73	228.13	140.04
GYPB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44	0.0	6.21	0.0	0.0	0.0	0.0	0.0	5.77	6.06	0.0	12.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HEPACAM2	39.79	39.79	63.0	0.0	0.68	0.0	0.0	4.82	99.43	173.85	2.1	2.1	3.89	0.0	0.0	14.14	12.09	24.63	74.58	52.45	0.0	1.62	2.27	4.31	0.99	0.39	0.47
HEXDC	323.03	323.03	961.07	253.23	540.19	466.88	409.15	775.05	1096.5	3589.58	974.5	1397.83	381.68	146.03	0.0	1721.16	1119.56	1551.09	1936.53	1015.93	145.02	153.34	373.81	343.89	185.11	262.2	164.42
HID1	490.14	490.14	1583.71	19.82	104.42	62.56	79.45	197.09	1745.2	2591.27	199.85	872.1	156.59	31.0	0.0	988.12	1250.98	703.28	1104.13	633.73	15.8	9.27	32.13	94.67	33.54	53.57	11.38
IGDCC3	67.59	67.59	86.43	1.99	0.0	0.0	0.0	1.93	0.47	6.06	0.52	0.52	0.0	0.0	0.0	0.0	0.0	2.63	2.25	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGSF5	1.46	1.46	6.16	0.0	0.0	0.31	0.35	1.39	19.11	14.67	5.15	11.13	2.73	0.0	0.0	4.86	1.0	7.0	37.05	3.86	0.64	0.0	2.73	1.25	0.0	0.0	0.66
IQCK	547.75	547.75	703.28	75.64	130.6	82.87	87.03	102.97	269.6	351.14	122.64	242.88	120.94	100.83	0.0	521.76	1023.0	633.73	2018.8	796.86	144.01	154.42	59.13	139.07	59.13	65.26	79.45
KIAA1984	29.06	29.06	105.89	24.11	22.59	15.45	31.0	16.39	111.99	116.78	5.59	54.33	18.43	5.41	0.0	100.83	85.82	92.05	120.94	65.26	0.19	3.89	4.39	5.23	5.19	5.36	4.78
KIF12	624.99	624.99	988.12	26.86	8.32	0.58	0.1	6.52	116.78	214.27	23.25	51.35	3.53	1.31	0.0	190.34	97.36	204.07	90.77	23.08	0.0	0.0	10.0	1.57	2.39	3.89	0.0
KRT4	181.28	181.28	13.32	3.697379928E7	1.810644424E7	2.276004283E7	3.109113511E7	195931.88	46986.85	122293.5	156954.93	51417.5	411347.03	951601.81	0.0	87.65	301.33	1769.57	2303.12	53.95	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
KRTAP5-2	1.53	1.53	3.11	2.78	0.18	0.21	0.0	0.0	0.0	19.82	0.0	15.56	0.0	0.43	0.0	12.0	1.22	3.66	16.75	14.56	3.63	0.0	0.0	0.0	1.19	0.0	0.0
LZTS3	119.26	119.26	262.2	21.47	76.71	34.02	32.82	93.35	323.03	275.28	91.41	251.48	68.07	12.09	0.0	759.08	612.11	400.71	1151.06	234.57	13.42	5.63	32.82	94.67	22.26	56.68	8.51
MARC2	743.43	743.43	406.31	48.87	159.9	90.14	193.01	194.36	536.45	339.14	271.48	358.54	85.82	84.04	0.0	616.37	878.17	642.59	1794.29	563.18	17.77	70.01	35.5	107.38	29.91	30.34	10.47
MIA	780.44	780.44	3257.52	2.18	23.08	27.05	145.02	115.97	1519.15	1963.57	74.06	1340.84	163.28	10.31	0.0	92.7	125.24	299.25	151.22	473.41	13.62	4.43	303.44	24.63	8.0	2.61	5.59
MLPH	4388.98	4388.98	17927.91	1745.2	91.41	43.94	76.17	684.02	16843.62	23492.92	529.06	3515.68	171.45	100.83	0.0	6079.61	9088.59	3690.52	4972.34	1806.78	27.84	4.9	60.82	275.28	58.71	201.25	44.57
MOGAT2	28.65	28.65	397.93	0.89	5.5	0.13	1.81	14.78	95.34	256.78	5.06	123.5	0.0	0.0	0.0	14.45	2.84	83.45	21.63	9.13	0.0	5.45	2.63	9.27	0.53	8.92	0.51
MSLNL	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	6.73	10.88	0.0	4.35	0.0	0.0	0.0	7.69	5.28	0.24	2.66	2.89	0.0	0.0	0.0	0.33	0.0	0.14	0.0
MUC16	65.72	65.72	28.04	15.68	4.06	5.41	13.83	40.93	358.54	854.13	8.58	169.07	5.54	5.73	314.17	248.0	928.3	651.58	1216.75	555.41	7.11	8.19	8.85	36.01	2.32	33.3	1.91
MYO15B	1088.92	1088.92	2682.69	224.97	2777.33	1909.85	2178.83	1551.09	5041.77	13586.57	2090.03	5479.15	738.29	190.34	1225.22	3955.48	4769.75	3124.78	6207.38	3303.0	28.86	293.07	373.81	260.38	101.54	105.89	82.87
NCMAP	44.89	44.89	165.57	0.0	0.68	0.0	0.32	4.21	198.47	63.45	4.06	66.18	18.56	1.41	241.19	395.18	150.17	129.69	23.25	48.52	6.84	0.0	0.52	5.54	4.24	9.27	1.57
NKX3-1	108.14	108.14	163.28	6.36	21.32	13.22	18.43	25.91	1561.89	307.69	20.71	72.52	173.85	12.74	21.01	38.67	15.8	22.1	19.68	183.82	24.46	11.91	18.7	47.17	22.26	51.35	22.92
NOTCH4	607.87	607.87	830.75	152.28	236.21	145.02	158.79	175.07	368.65	1909.85	327.56	414.87	93.35	14.14	82.29	295.11	2032.85	432.53	872.1	693.58	30.34	157.68	70.51	88.88	58.3	72.01	59.13
NPDC1	1407.55	1407.55	4639.29	130.6	1030.12	708.18	743.43	1073.91	4210.15	5479.15	1407.55	2895.31	796.86	153.34	0.0	1844.76	2682.69	1651.0	2133.97	2555.58	108.14	178.77	392.44	412.0	170.25	208.38	249.73
NXF3	22.1	22.1	5.96	9.2	5.54	8.65	37.85	13.12	100.13	115.97	16.75	62.56	4.46	0.75	0.0	44.57	121.79	23.93	206.94	206.94	2.43	2.48	34.26	6.57	3.92	4.86	4.13
OMG	22.43	22.43	10.24	84.04	13.52	13.72	6.31	46.18	34.02	738.29	88.26	51.35	7.11	4.66	0.0	1143.1	3690.52	4298.64	15715.58	2061.24	215.77	13.52	24.11	11.3	17.25	7.22	17.64
OSBPL7	84.04	84.04	232.94	26.47	62.12	36.27	50.63	172.65	559.28	791.35	262.2	387.02	38.4	12.64	0.0	361.04	693.58	780.44	384.34	285.03	5.41	10.16	42.41	34.02	22.92	16.39	10.08
PALM3	19.82	19.82	187.71	7.11	0.49	0.0	0.42	21.78	135.24	275.28	22.59	35.0	7.82	1.79	0.0	511.0	373.81	571.05	221.86	91.41	0.69	4.06	2.12	10.08	2.63	16.63	1.81
PCDHA2	4.28	4.28	22.43	0.0	0.68	1.13	0.75	3.99	6.41	9.2	0.61	0.61	0.53	0.49	0.0	2.03	11.91	7.34	20.86	4.5	0.06	0.0	0.06	1.41	0.67	0.0	0.0
PCDHA5	3.38	3.38	11.47	0.0	0.0	0.58	0.48	1.31	3.53	6.06	0.0	2.32	0.96	0.0	0.0	1.23	1.45	2.05	2.1	2.29	0.0	0.69	0.0	0.74	0.0	0.0	0.0
PDE1A	134.3	134.3	111.21	8.32	73.54	21.63	43.32	57.49	175.07	299.25	51.35	108.14	24.63	52.45	0.0	49.56	32.82	125.24	91.41	165.57	30.34	37.05	17.25	17.9	29.7	5.77	16.39
PDE2A	1397.83	1397.83	529.06	46.5	293.07	111.21	262.2	327.56	327.56	2367.9	327.56	796.86	81.71	41.81	0.0	138.1	417.77	1519.15	775.05	170.25	46.18	165.57	123.5	115.16	18.97	73.54	111.99
PHKA2	490.14	490.14	616.37	190.34	368.65	332.14	376.41	444.72	866.07	1096.5	387.02	669.92	231.32	121.79	363.56	703.28	616.37	665.29	791.35	387.02	53.95	140.04	137.14	242.88	135.24	137.14	99.43
PIBF1	231.32	231.32	253.23	178.77	190.34	155.5	116.78	148.09	381.68	381.68	251.48	264.03	183.82	199.85	0.0	327.56	180.02	234.57	624.99	275.28	239.52	154.42	159.9	239.52	80.57	96.68	126.12
PIGR	1066.48	1066.48	1794.29	149.12	18.84	4.03	15.56	1073.91	62865.33	14262.1	206.94	13215.02	1572.76	14.89	454.09	8840.04	16496.96	17681.08	13681.08	4575.41	2.07	0.0	18.03	145.02	29.27	182.55	12.83
PLCXD3	38.67	38.67	17.38	5.92	2.34	0.0	0.77	7.06	52.45	76.17	12.27	37.59	4.9	1.41	0.0	8.71	8.71	51.71	15.0	30.78	4.58	4.7	4.06	1.23	2.81	2.05	1.89
PLEKHS1	967.76	967.76	733.19	8.38	19.53	0.0	6.26	175.07	1977.24	1844.76	48.52	624.99	47.5	0.0	0.0	1242.34	2758.13	1259.69	5255.91	1127.35	2.92	0.0	2.34	48.18	9.7	28.24	0.0
PNPLA7	139.07	139.07	450.94	36.79	32.13	41.22	72.52	101.54	441.64	629.35	85.22	339.14	76.17	29.27	0.0	161.02	559.28	500.46	387.02	127.0	5.41	18.43	29.27	50.98	14.14	20.41	22.26
POU6F1	251.48	251.48	281.09	21.47	172.65	75.64	97.36	129.69	373.81	563.18	117.6	228.13	102.25	23.08	0.0	329.84	295.11	371.22	412.0	251.48	6.57	34.51	27.84	39.5	12.74	20.26	19.68
PPM1H	75.11	75.11	131.51	7.0	16.51	2.86	2.61	11.64	155.5	115.16	8.45	56.68	23.93	2.43	135.24	119.26	164.42	176.29	325.29	186.4	19.53	0.0	3.5	33.78	6.52	30.12	3.59
PPWD1	525.39	525.39	718.08	220.32	447.82	536.45	426.57	432.53	995.0	872.1	514.56	884.29	403.5	248.0	0.0	759.08	629.35	1081.39	624.99	540.19	140.04	186.4	144.01	255.0	229.72	195.72	217.27
PROM1	813.63	813.63	1498.22	17.77	82.87	5.06	32.13	91.41	2271.4	2367.9	19.25	928.3	136.19	0.0	0.0	791.35	1044.52	967.76	5555.65	967.76	13.93	0.0	0.73	45.53	21.63	77.79	3.96
PRR15	351.14	351.14	181.28	48.18	30.12	2.39	3.23	38.4	371.22	256.78	30.34	144.01	16.51	21.16	0.0	392.44	1417.35	493.56	1769.57	791.35	48.87	0.33	11.47	107.38	23.76	39.5	7.11
PRR18	1.5	1.5	1.27	5.02	1.01	0.0	0.0	0.0	1.41	6.21	0.97	3.17	1.36	0.0	0.0	46.5	144.01	24.63	51.71	60.39	7.63	1.91	0.0	0.97	0.0	0.0	0.25
PTPRT	42.41	42.41	236.21	0.0	0.0	0.0	0.19	0.93	45.21	45.53	0.91	14.67	1.6	0.0	0.0	49.56	215.77	149.12	314.17	85.82	1.3	0.0	3.32	9.63	0.0	6.46	0.0
PYROXD2	351.14	351.14	532.74	75.11	71.0	47.84	59.97	148.09	289.02	476.71	163.28	260.38	34.02	12.0	0.0	325.29	423.61	651.58	669.92	187.71	2.58	25.72	33.06	51.35	16.15	38.4	6.84
RFPL3S	26.67	26.67	21.32	2.97	27.05	13.22	13.42	17.77	70.51	132.44	17.13	42.11	13.12	1.79	0.0	30.56	35.25	28.65	9.41	29.91	0.0	0.83	1.36	2.03	3.17	0.65	2.78
RGL3	241.19	241.19	173.85	9.93	45.85	9.93	29.7	21.94	476.71	1143.1	76.17	392.44	19.39	1.13	0.0	1151.06	2133.97	748.61	688.78	202.66	0.15	1.5	5.54	10.96	3.23	7.17	0.88
