	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	TCGA.KM.8639.01A.11R.2403.07	TCGA.CZ.4862.01A.01R.1305.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.W5X1.0426.SM.3GILB	GTEX.OIZI.0726.SM.2XCEI
LINS	291.04	395.18	381.68	470.14	348.71	297.17	158.79	426.57	164.42	277.2	177.53	248.0	194.36	129.69	49.21	119.26	81.14	139.07	202.66	277.2	110.43	102.25	169.07	124.37	128.79	223.41	171.45	88.88	120.94	111.99	136.19	140.04	67.12	258.57	90.14	176.29	110.43	143.01	307.69	131.51	182.55	100.83	145.02	251.48	81.14	314.17	51.71	65.26	511.0	525.39
LUC7L3	1857.6	1427.22	2935.74	2997.45	3491.39	3325.99	1059.11	1594.73	1051.79	1870.53	934.76	1277.29	1167.14	1304.15	447.82	813.63	450.94	638.15	1551.09	1447.15	928.3	412.0	743.43	878.17	915.51	1407.55	884.29	353.59	947.83	860.08	1159.07	684.02	117.6	607.87	281.09	1963.57	836.53	1498.22	2976.74	490.14	842.36	842.36	281.09	1073.91	493.56	2104.58	111.99	332.14	5112.16	3060.45
MIER3	307.69	279.14	373.81	336.79	373.81	353.59	74.58	224.97	96.01	182.55	214.27	325.29	126.12	128.79	53.19	90.14	69.52	68.07	103.69	208.38	85.82	57.08	65.72	59.55	118.43	109.66	84.04	57.08	183.82	98.04	217.27	141.02	26.67	100.13	110.43	190.34	132.44	101.54	260.38	64.34	143.01	94.67	63.45	170.25	29.7	183.82	49.56	72.01	211.31	343.89
MON2	397.93	708.18	785.88	723.08	1066.48	733.19	228.13	490.14	103.69	353.59	262.2	325.29	231.32	234.57	127.89	236.21	285.03	139.07	297.17	299.25	135.24	88.88	232.94	141.02	211.31	346.29	134.3	135.24	182.55	221.86	205.5	239.52	71.0	190.34	120.94	267.73	301.33	193.01	435.55	181.28	135.24	269.6	90.77	295.11	87.03	318.57	158.79	100.13	1250.98	890.44
MORC3	713.11	624.99	718.08	647.07	1051.79	738.29	169.07	463.65	147.06	299.25	267.73	343.89	201.25	144.01	97.36	158.79	249.73	171.45	271.48	241.19	141.02	97.36	159.9	170.25	206.94	285.03	129.69	94.67	165.57	209.84	218.79	258.57	35.76	146.03	103.69	316.37	143.01	169.07	356.05	122.64	220.32	215.77	79.45	273.37	74.06	301.33	89.51	100.13	521.76	480.04
NEMF	718.08	842.36	848.22	884.29	1015.93	728.11	457.25	647.07	303.44	532.74	507.46	555.41	420.68	417.77	218.79	334.46	389.72	265.87	525.39	441.64	373.81	193.01	318.57	336.79	376.41	500.46	248.0	178.77	447.82	470.14	420.68	463.65	61.25	242.88	138.1	480.04	343.89	450.94	450.94	251.48	384.34	480.04	111.21	454.09	314.17	708.18	66.18	156.59	872.1	954.43
NFXL1	214.27	348.71	212.78	232.94	283.05	170.25	77.79	155.5	68.07	133.36	111.99	94.67	80.57	151.22	44.25	48.52	47.17	53.19	91.41	124.37	119.26	49.56	77.79	77.79	105.15	102.25	26.86	38.12	74.06	156.59	132.44	149.12	40.36	86.43	51.71	125.24	81.71	163.28	211.31	58.3	52.08	113.56	42.41	116.78	105.15	120.94	36.27	40.93	297.17	264.03
PCF11	599.49	764.36	967.76	785.88	947.83	890.44	301.33	497.0	224.97	341.51	285.03	389.72	392.44	381.68	93.35	279.14	158.79	241.19	312.0	353.59	114.36	83.45	242.88	176.29	164.42	163.28	158.79	80.57	221.86	265.87	339.14	476.71	115.97	131.51	64.8	392.44	229.72	381.68	543.96	175.07	226.54	921.88	93.35	221.86	129.69	275.28	51.35	76.17	813.63	473.41
PRPF39	514.56	486.75	728.11	660.68	860.08	819.3	176.29	371.22	136.19	273.37	180.02	234.57	241.19	273.37	96.01	232.94	118.43	84.63	316.37	205.5	176.29	85.82	211.31	120.1	153.34	173.85	94.01	75.64	148.09	163.28	223.41	132.44	33.06	165.57	45.53	253.23	223.41	214.27	417.77	158.79	176.29	190.34	74.06	214.27	138.1	363.56	27.64	47.17	808.0	540.19
PRPF4B	1030.12	1023.0	1250.98	1242.34	1151.06	1127.35	559.28	759.08	368.65	612.11	532.74	718.08	493.56	435.55	183.82	170.25	521.76	314.17	551.56	563.18	376.41	187.71	409.15	373.81	379.04	708.18	334.46	138.1	503.95	463.65	563.18	466.88	59.97	332.14	120.1	679.29	339.14	426.57	941.27	329.84	376.41	438.59	173.85	532.74	246.28	738.29	85.22	171.45	1295.13	1143.1
RBM25	1104.13	1037.29	1551.09	1467.37	1551.09	1250.98	500.46	848.22	363.56	490.14	555.41	780.44	540.19	638.15	223.41	348.71	518.15	305.55	748.61	728.11	429.54	209.84	366.09	283.05	633.73	525.39	264.03	171.45	441.64	583.07	579.04	379.04	95.34	379.04	211.31	591.22	514.56	503.95	791.35	265.87	493.56	441.64	144.01	633.73	198.47	928.3	79.45	185.11	2032.85	2032.85
SON	2935.74	3665.02	4268.94	3901.01	3820.7	3235.01	1991.0	3168.41	1322.37	2319.15	2255.7	2701.35	1806.78	1806.78	860.08	1081.39	2701.35	1295.13	2224.63	2240.11	1685.71	974.5	1331.57	1066.48	1594.73	2351.53	1350.18	974.5	1794.29	1977.24	1709.26	2032.85	603.67	1340.84	1199.98	2451.44	1639.59	1487.87	3540.14	1159.07	1572.76	1745.2	988.12	2400.97	974.5	2609.3	665.29	674.59	3955.48	3491.39
SPP1	93974.69	75280.1	291.04	1936.53	1651.0	1225.22	517068.97	80125.95	405683.88	654483.73	348306.01	263966.36	363097.14	422911.59	165904.25	343510.77	492579.5	402881.61	275175.93	318292.9	614902.29	170568.48	397335.0	368165.8	509950.32	305326.92	271387.49	179048.63	408505.64	414208.18	520665.48	358098.26	95286.54	292889.12	292889.12	301123.38	450134.56	822695.06	472513.8	241220.67	383800.28	499455.67	84109.6	405683.88	422911.59	221968.2	122.64	951601.81	713.11	1397.83
SREK1	1030.12	1059.11	1407.55	1628.26	1617.0	1561.89	579.04	967.76	295.11	748.61	571.05	738.29	587.13	503.95	180.02	356.05	363.56	339.14	825.0	708.18	397.93	180.02	327.56	358.54	507.46	473.41	248.0	123.5	612.11	674.59	616.37	579.04	43.94	271.48	155.5	684.02	521.76	518.15	928.3	275.28	555.41	575.03	96.68	647.07	164.42	981.29	66.65	147.06	1709.26	2004.85
SRSF10	2255.7	1909.85	2271.4	2240.11	1909.85	1651.0	728.11	1350.18	718.08	1096.5	1208.34	1397.83	915.51	780.44	679.29	713.11	808.0	703.28	1175.27	947.83	629.35	563.18	713.11	728.11	902.89	1208.34	607.87	571.05	896.64	759.08	941.27	791.35	346.29	1175.27	698.41	1073.91	830.75	698.41	1051.79	595.34	703.28	753.83	414.87	1119.56	303.44	1617.0	514.56	780.44	2739.08	2434.5
SUV420H1	669.92	1119.56	1119.56	1001.93	1286.18	1350.18	379.04	559.28	299.25	397.93	567.1	583.07	521.76	248.0	170.25	312.0	551.56	267.73	262.2	511.0	166.73	190.34	312.0	314.17	320.8	373.81	180.02	130.6	307.69	356.05	403.5	426.57	95.34	281.09	169.07	521.76	329.84	376.41	429.54	232.94	248.0	379.04	173.85	400.71	202.66	536.45	111.99	199.85	1008.9	1191.69
TAF1	373.81	493.56	595.34	718.08	583.07	791.35	141.02	450.94	151.22	295.11	267.73	295.11	218.79	161.02	109.66	165.57	320.8	170.25	287.01	301.33	127.89	111.21	154.42	154.42	323.03	289.02	135.24	85.22	231.32	228.13	343.89	273.37	75.11	165.57	170.25	316.37	172.65	195.72	291.04	102.97	113.56	251.48	77.25	316.37	70.01	341.51	39.79	54.33	718.08	616.37
TARDBP	2271.4	2468.49	3060.45	2591.27	2956.17	2895.31	1208.34	2090.03	1781.89	1709.26	1844.76	2434.5	1806.78	1745.2	1151.06	1950.0	1977.24	1119.56	1844.76	1733.13	1427.22	1498.22	1674.06	1477.58	2119.22	2004.85	1508.65	1208.34	1572.76	1794.29	1991.0	1286.18	1191.69	1397.83	1350.18	1674.06	1487.87	1769.57	3081.75	1639.59	1977.24	1467.37	1417.35	1794.29	1397.83	2163.77	1277.29	1498.22	3665.02	3467.27
TBCCD1	256.78	275.28	299.25	297.17	356.05	327.56	171.45	246.28	181.28	182.55	239.52	244.57	161.02	117.6	194.36	93.35	143.01	175.07	136.19	273.37	136.19	140.04	139.07	120.1	142.01	183.82	147.06	124.37	143.01	201.25	147.06	218.79	119.26	181.28	149.12	215.77	199.85	182.55	141.02	136.19	178.77	181.28	120.94	170.25	56.68	244.57	92.7	248.0	289.02	325.29
TET2	178.77	239.52	228.13	279.14	312.0	215.77	41.22	173.85	48.52	75.64	126.12	138.1	91.41	61.68	37.32	20.26	91.41	50.27	87.65	130.6	34.26	27.44	40.07	64.8	56.68	100.13	26.47	16.88	57.89	94.67	99.43	79.45	10.39	41.81	18.84	128.79	45.53	66.65	125.24	37.85	67.12	54.33	32.59	100.83	19.53	155.5	9.85	25.17	177.53	173.85
THUMPD2	229.72	493.56	293.07	381.68	389.72	293.07	96.68	199.85	80.01	170.25	111.21	167.9	85.22	129.69	46.84	94.67	93.35	131.51	127.0	109.66	152.28	65.26	169.07	88.26	112.77	145.02	139.07	56.28	100.83	37.05	166.73	120.94	32.59	169.07	46.84	109.66	105.15	161.02	249.73	95.34	148.09	193.01	78.89	131.51	101.54	239.52	22.75	50.98	387.02	389.72
USP47	808.0	909.17	1008.9	1159.07	981.29	1674.06	454.09	728.11	332.14	511.0	559.28	684.02	507.46	400.71	248.0	403.5	703.28	368.65	426.57	521.76	387.02	178.77	343.89	314.17	423.61	447.82	297.17	187.71	432.53	346.29	567.1	660.68	75.11	384.34	183.82	575.03	693.58	373.81	551.56	269.6	332.14	551.56	152.28	514.56	186.4	723.08	172.65	348.71	974.5	974.5
VMAC	86.43	87.03	121.79	131.51	117.6	123.5	35.25	94.01	42.41	69.03	41.81	39.5	70.51	57.49	25.17	63.0	32.13	32.13	70.51	65.72	39.22	60.39	71.5	22.43	41.81	50.27	41.81	36.53	63.0	43.32	95.34	45.21	53.57	33.06	45.85	74.58	23.76	76.71	190.34	34.26	38.95	63.45	50.63	53.19	33.06	80.01	36.53	16.27	122.64	94.01
WDR33	470.14	748.61	769.69	764.36	1030.12	723.08	403.5	432.53	301.33	423.61	555.41	612.11	403.5	361.04	229.72	289.02	406.31	312.0	441.64	473.41	316.37	283.05	447.82	361.04	438.59	457.25	403.5	248.0	406.31	426.57	397.93	420.68	246.28	397.93	293.07	414.87	320.8	473.41	551.56	307.69	429.54	363.56	264.03	441.64	381.68	603.67	275.28	361.04	775.05	802.41
WDR53	232.94	293.07	279.14	267.73	373.81	414.87	162.14	218.79	162.14	242.88	155.5	189.02	157.68	186.4	150.17	185.11	135.24	155.5	178.77	232.94	156.59	152.28	155.5	119.26	161.02	182.55	182.55	129.69	144.01	120.94	140.04	198.47	98.73	191.67	134.3	202.66	162.14	190.34	236.21	177.53	242.88	187.71	143.01	133.36	115.97	232.94	66.65	158.79	295.11	309.83
ZBED5	591.22	791.35	1008.9	878.17	1191.69	1023.0	470.14	743.43	363.56	728.11	579.04	583.07	514.56	543.96	134.3	289.02	387.02	287.01	493.56	629.35	289.02	218.79	397.93	305.55	277.2	466.88	202.66	202.66	346.29	351.14	567.1	480.04	117.6	267.73	223.41	679.29	267.73	450.94	1295.13	320.8	323.03	450.94	197.09	518.15	215.77	718.08	37.85	86.43	1350.18	1277.29
ZBTB1	753.83	684.02	830.75	629.35	915.51	967.76	323.03	684.02	291.04	563.18	389.72	521.76	470.14	366.09	129.69	271.48	291.04	273.37	417.77	414.87	194.36	154.42	309.83	183.82	269.6	289.02	115.97	131.51	301.33	406.31	412.0	371.22	78.89	220.32	165.57	493.56	305.55	376.41	438.59	293.07	429.54	397.93	117.6	473.41	106.63	511.0	59.13	115.16	808.0	769.69
ZFP30	178.77	156.59	197.09	166.73	190.34	217.27	64.8	182.55	52.45	75.11	111.21	118.43	123.5	77.79	27.64	55.89	59.13	30.78	96.01	152.28	51.71	18.03	46.84	50.27	55.89	57.08	18.29	26.86	73.54	59.97	120.94	90.77	18.97	57.49	17.51	126.12	80.01	71.5	123.5	26.1	50.63	66.18	14.35	82.87	22.92	99.43	6.46	11.91	166.73	214.27
ZFX	647.07	521.76	583.07	518.15	595.34	748.61	75.64	237.86	134.3	156.59	206.94	242.88	175.07	98.04	34.26	81.71	305.55	95.34	148.09	194.36	90.77	44.25	127.0	99.43	176.29	127.89	88.26	50.27	143.01	108.9	271.48	241.19	27.44	79.45	63.89	358.54	180.02	76.17	299.25	72.52	96.68	166.73	52.08	152.28	42.11	271.48	29.48	66.18	493.56	403.5
ZMYM2	1023.0	988.12	1051.79	954.43	1561.89	1088.92	387.02	612.11	314.17	616.37	616.37	718.08	647.07	426.57	555.41	253.23	251.48	325.29	507.46	559.28	447.82	224.97	397.93	444.72	251.48	567.1	279.14	206.94	412.0	417.77	486.75	521.76	128.79	438.59	348.71	438.59	511.0	450.94	819.3	358.54	476.71	444.72	217.27	493.56	171.45	620.67	98.73	198.47	1340.84	1015.93
ZNF112	108.14	124.37	137.14	112.77	146.03	155.5	55.1	94.01	41.22	73.03	88.26	86.43	50.98	54.33	19.25	29.7	31.22	33.06	74.06	77.79	31.67	15.11	33.54	24.63	27.44	44.57	14.35	19.39	35.0	18.56	52.82	65.26	12.55	53.19	20.86	66.18	27.84	62.56	82.87	29.7	49.91	60.39	12.18	53.57	21.94	96.01	3.96	2.78	102.97	169.07
ZNF134	208.38	373.81	329.84	381.68	660.68	521.76	152.28	309.83	127.0	158.79	234.57	273.37	224.97	171.45	58.71	97.36	273.37	136.19	202.66	264.03	123.5	65.26	138.1	101.54	150.17	137.14	82.29	96.01	108.14	177.53	167.9	218.79	100.83	132.44	112.77	248.0	171.45	137.14	214.27	102.25	153.34	177.53	115.97	208.38	74.58	232.94	38.95	97.36	281.09	371.22
ZNF136	182.55	316.37	289.02	323.03	392.44	299.25	96.01	226.54	98.73	113.56	135.24	181.28	150.17	115.97	45.53	59.55	102.97	87.03	147.06	162.14	71.0	51.71	102.25	99.43	79.45	156.59	45.21	41.22	117.6	96.01	126.12	108.9	23.42	60.39	54.72	150.17	53.19	100.13	171.45	75.11	104.42	100.13	29.7	130.6	43.02	195.72	18.16	53.57	258.57	376.41
ZNF17	92.05	205.5	214.27	185.11	232.94	217.27	121.79	101.54	60.39	110.43	58.3	96.01	90.77	83.45	21.78	32.13	46.5	49.21	73.54	100.83	48.18	35.5	59.97	63.89	48.87	59.55	46.84	34.75	66.18	66.65	87.65	103.69	19.25	58.3	36.27	65.72	55.1	98.73	141.02	47.5	61.68	66.18	36.01	75.64	35.25	112.77	15.91	35.0	190.34	208.38
ZNF175	113.56	163.28	231.32	258.57	212.78	269.6	81.71	173.85	56.28	130.6	127.0	134.3	164.42	89.51	44.89	44.25	78.89	59.55	113.56	189.02	59.97	37.32	75.11	70.51	60.39	79.45	41.81	39.5	104.42	84.04	144.01	119.26	28.86	64.8	58.71	109.66	73.03	81.71	185.11	72.01	68.07	78.89	55.89	120.1	39.79	167.9	20.41	3.41	325.29	309.83
ZNF180	145.02	229.72	228.13	197.09	373.81	293.07	111.21	149.12	47.5	76.17	130.6	120.94	69.52	64.34	26.1	34.51	62.56	57.49	82.87	88.26	49.21	19.82	56.68	52.82	65.26	46.5	24.11	28.65	48.18	47.17	98.73	120.94	14.24	66.18	26.28	104.42	77.25	85.82	102.97	40.07	62.12	92.05	33.06	75.11	27.05	120.94	15.0	30.78	183.82	224.97
ZNF211	155.5	279.14	395.18	466.88	507.46	540.19	186.4	214.27	94.01	205.5	108.9	157.68	194.36	185.11	56.28	42.11	103.69	85.82	221.86	172.65	80.01	60.82	133.36	92.05	77.25	87.65	69.03	76.71	45.21	146.03	57.49	242.88	98.73	154.42	100.13	211.31	150.17	170.25	327.56	106.63	116.78	159.9	87.03	187.71	64.34	211.31	28.04	21.16	674.59	532.74
ZNF234	142.01	169.07	183.82	173.85	218.79	281.09	52.08	112.77	46.84	95.34	76.17	86.43	65.72	79.45	27.25	38.12	44.57	33.78	77.25	83.45	45.21	30.12	49.21	41.52	50.27	61.25	19.97	26.1	50.63	44.25	73.54	71.5	17.13	47.17	38.95	102.97	69.03	55.89	124.37	20.11	42.11	76.71	26.1	74.06	21.47	92.7	15.91	10.31	209.84	141.02
ZNF253	256.78	336.79	301.33	287.01	368.65	289.02	129.69	248.0	127.0	139.07	224.97	162.14	140.04	104.42	44.25	33.3	115.16	63.45	138.1	217.27	56.68	25.54	99.43	104.42	74.58	104.42	49.21	32.36	129.69	76.71	141.02	171.45	10.71	85.82	33.54	155.5	48.52	127.89	173.85	52.08	75.64	115.16	24.11	141.02	37.05	166.73	13.32	21.63	351.14	409.15
ZNF285	85.82	134.3	131.51	76.71	232.94	162.14	49.56	70.51	33.3	56.28	40.36	48.87	46.5	63.89	18.7	17.51	19.68	39.22	28.86	69.03	33.78	5.63	41.52	75.11	40.93	29.48	10.47	19.39	24.63	28.24	30.34	72.01	7.4	51.71	21.94	33.06	34.51	61.25	69.03	16.75	28.86	54.33	24.63	46.18	28.24	68.07	1.97	0.54	102.97	99.43
ZNF304	139.07	260.38	248.0	249.73	409.15	409.15	107.38	172.65	79.45	115.16	142.01	163.28	94.67	120.1	33.54	60.39	111.99	74.06	141.02	147.06	63.89	21.47	78.34	79.45	75.11	75.64	52.45	52.08	48.52	89.51	104.42	127.0	45.85	107.38	70.51	127.0	81.71	92.05	143.01	52.08	94.67	94.01	50.98	109.66	30.56	134.3	20.86	28.04	224.97	283.05
ZNF326	529.06	381.68	518.15	679.29	688.78	759.08	209.84	397.93	181.28	209.84	305.55	314.17	289.02	503.95	96.68	143.01	201.25	175.07	260.38	267.73	123.5	113.56	217.27	180.02	256.78	301.33	132.44	83.45	297.17	237.86	291.04	190.34	53.95	255.0	79.45	264.03	281.09	237.86	583.07	189.02	175.07	236.21	70.51	287.01	175.07	463.65	93.35	167.9	688.78	457.25
ZNF37A	236.21	253.23	283.05	244.57	283.05	295.11	142.01	212.78	76.71	190.34	173.85	180.02	142.01	106.63	32.59	40.07	113.56	52.82	112.77	195.72	56.68	21.63	94.67	78.89	79.45	155.5	80.57	25.54	109.66	81.71	175.07	151.22	21.63	90.14	37.05	232.94	115.97	132.44	152.28	31.22	67.12	91.41	27.84	170.25	58.71	175.07	20.41	29.27	334.46	379.04
ZNF420	223.41	329.84	332.14	295.11	435.55	346.29	92.7	173.85	65.72	94.67	169.07	129.69	91.41	95.34	45.53	50.98	96.01	102.97	86.43	127.89	48.18	58.3	91.41	74.58	77.79	91.41	48.18	61.25	88.88	64.8	126.12	162.14	44.25	92.05	64.8	132.44	89.51	98.04	101.54	62.56	80.01	122.64	50.27	92.05	44.89	157.68	39.79	37.05	262.2	260.38
ZNF431	262.2	384.34	397.93	432.53	314.17	447.82	75.11	244.57	49.91	134.3	115.97	89.51	137.14	94.67	42.41	48.18	94.67	52.82	134.3	142.01	56.28	72.01	90.77	88.26	100.83	111.21	49.21	28.86	114.36	88.26	157.68	98.73	24.11	74.06	26.28	149.12	87.65	98.73	287.01	64.34	75.11	117.6	23.08	122.64	65.72	167.9	5.15	17.51	629.35	351.14
