	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	TCGA.B8.4621.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.1211K.0726.SM.5FQUW
AKAP5	11.21	4.06	2.56	12.83	6.94	5.82	5.45	19.97	13.32	7.4	63.45	28.45	14.78	55.1	46.5	29.7	44.89	10.88	16.39	19.82	19.68	11.64	36.27	41.81	40.93	27.64	18.7	13.12	13.83	17.77	35.76	62.56	19.25	17.51	16.39	18.84	21.78	16.88	25.72	40.93	29.27	25.54	36.79	42.71	42.71	16.51	26.86	63.45	18.16	28.86	38.12	30.78	147.06	80.57	124.37	43.63	153.34	155.5	111.99	223.41	72.01	128.79	57.89	69.03	85.82	149.12	193.01	70.51	129.69	249.73	110.43	201.25	27.05	13.72	53.57	19.68	16.39	21.94	28.65	19.97	24.63	45.85	16.39	18.84	31.9	24.99	27.25	24.28	0.0	0.05	13.22	13.03	9.78
ALG1	483.38	329.84	507.46	371.22	423.61	409.15	271.48	358.54	395.18	493.56	599.49	575.03	490.14	624.99	493.56	616.37	353.59	738.29	403.5	256.78	432.53	329.84	688.78	693.58	796.86	785.88	525.39	389.72	555.41	426.57	514.56	563.18	651.58	470.14	511.0	624.99	392.44	567.1	514.56	575.03	583.07	490.14	483.38	511.0	525.39	540.19	638.15	674.59	575.03	591.22	555.41	579.04	780.44	890.44	769.69	759.08	463.65	559.28	1369.04	490.14	1208.34	674.59	954.43	1059.11	909.17	947.83	457.25	836.53	842.36	1104.13	808.0	878.17	693.58	595.34	587.13	583.07	647.07	738.29	441.64	612.11	633.73	651.58	607.87	575.03	559.28	599.49	595.34	698.41	0.0	0.0	353.59	567.1	540.19
AP1S3	34.75	157.68	100.83	62.12	460.44	113.56	52.45	241.19	244.57	26.86	267.73	258.57	162.14	208.38	414.87	251.48	157.68	108.14	129.69	463.65	131.51	148.09	156.59	447.82	559.28	258.57	212.78	162.14	159.9	177.53	134.3	218.79	228.13	265.87	187.71	120.94	327.56	204.07	217.27	181.28	175.07	224.97	237.86	199.85	309.83	215.77	120.94	305.55	137.14	189.02	165.57	181.28	291.04	633.73	417.77	397.93	674.59	743.43	356.05	583.07	728.11	389.72	379.04	921.88	1437.15	713.11	764.36	348.71	579.04	848.22	463.65	759.08	199.85	152.28	162.14	145.02	214.27	193.01	392.44	185.11	231.32	279.14	122.64	186.4	173.85	232.94	80.01	106.63	0.0	0.0	208.38	267.73	291.04
AP2B1	733.19	808.0	743.43	981.29	854.13	825.0	555.41	902.89	902.89	679.29	2133.97	1896.65	1081.39	2209.26	1857.6	1594.73	1923.14	3018.3	1540.37	2047.0	1407.55	1540.37	2163.77	3564.78	2777.33	1498.22	1697.45	2148.82	2434.5	2104.58	2555.58	2434.5	1963.57	2468.49	2178.83	1977.24	2303.12	1651.0	2434.5	2520.38	2591.27	2520.38	2351.53	2104.58	1561.89	2090.03	2255.7	2915.45	2193.99	2400.97	2335.28	2351.53	2520.38	3303.0	2627.46	2555.58	2935.74	3491.39	4836.35	2502.97	3665.02	2224.63	2758.13	3257.52	3589.58	3325.99	2701.35	2758.13	2555.58	4671.57	3081.75	3146.52	1331.57	1674.06	2032.85	1991.0	1977.24	2018.8	2224.63	2061.24	2047.0	2287.2	1923.14	2119.22	1781.89	2335.28	1819.35	2163.77	0.0	0.97	1295.13	1605.83	1628.26
ARHGEF38	1.03	1.25	0.96	3.32	3.63	5.77	0.35	0.31	8.99	9.34	62.56	50.27	27.64	67.59	60.39	35.76	3.5	22.92	83.45	6.84	2.63	31.9	60.39	163.28	120.1	15.68	33.78	57.49	35.5	53.95	53.19	75.11	56.68	53.19	44.25	27.44	49.91	44.25	57.89	57.49	54.72	50.27	54.72	55.1	32.82	47.84	45.85	91.41	42.41	49.21	50.27	52.45	199.85	143.01	87.65	76.17	153.34	223.41	40.36	20.71	38.12	82.87	74.06	231.32	202.66	78.89	163.28	104.42	107.38	327.56	100.83	72.01	24.99	36.79	28.65	27.64	41.81	37.05	84.04	46.18	34.75	84.63	25.91	32.59	49.91	47.17	21.01	29.7	0.0	0.11	11.91	142.01	17.77
ARMC9	223.41	18.16	57.49	159.9	138.1	78.34	158.79	85.22	79.45	109.66	181.28	167.9	110.43	155.5	155.5	135.24	314.17	98.04	183.82	75.64	164.42	84.63	68.55	209.84	236.21	220.32	118.43	133.36	137.14	128.79	178.77	154.42	137.14	163.28	125.24	122.64	182.55	124.37	189.02	187.71	164.42	163.28	178.77	162.14	109.66	155.5	153.34	255.0	155.5	176.29	137.14	163.28	246.28	251.48	295.11	318.57	299.25	264.03	329.84	316.37	346.29	132.44	253.23	314.17	514.56	275.28	392.44	269.6	228.13	325.29	253.23	309.83	113.56	137.14	156.59	149.12	173.85	176.29	191.67	133.36	137.14	189.02	156.59	141.02	140.04	183.82	161.02	194.36	0.0	0.0	148.09	195.72	124.37
ATF7	327.56	353.59	205.5	151.22	420.68	229.72	295.11	392.44	493.56	454.09	450.94	406.31	406.31	447.82	450.94	368.65	409.15	287.01	269.6	397.93	417.77	318.57	473.41	373.81	511.0	447.82	429.54	432.53	403.5	490.14	423.61	444.72	426.57	551.56	457.25	373.81	447.82	426.57	503.95	426.57	441.64	507.46	426.57	447.82	463.65	389.72	441.64	497.0	473.41	480.04	476.71	423.61	571.05	540.19	540.19	802.41	698.41	909.17	555.41	575.03	486.75	373.81	629.35	493.56	587.13	334.46	651.58	567.1	511.0	529.06	271.48	450.94	314.17	351.14	473.41	379.04	351.14	389.72	400.71	327.56	363.56	447.82	373.81	412.0	363.56	417.77	305.55	368.65	0.0	0.57	476.71	435.55	343.89
BCAR1	1096.5	500.46	1519.15	1167.14	988.12	896.64	802.41	607.87	669.92	480.04	1583.71	1378.57	674.59	1427.22	1561.89	1073.91	785.88	902.89	2895.31	954.43	819.3	1051.79	1561.89	1199.98	1844.76	808.0	1119.56	878.17	1088.92	974.5	974.5	1199.98	1208.34	536.45	1159.07	1233.75	921.88	934.76	819.3	1216.75	928.3	1259.69	1286.18	1143.1	902.89	1259.69	836.53	1437.15	1073.91	1159.07	713.11	1119.56	2664.15	2319.15	2895.31	3540.14	2090.03	1225.22	2537.92	3665.02	1950.0	2855.44	3146.52	3690.52	2240.11	3540.14	2502.97	2384.37	2645.74	3443.31	3564.78	2591.27	1397.83	1457.23	1628.26	1051.79	1519.15	1605.83	2119.22	1628.26	1745.2	2018.8	1119.56	1286.18	1781.89	1977.24	1617.0	1259.69	0.0	0.57	708.18	555.41	669.92
BCHE	6.46	4.06	0.34	25.91	17.77	12.27	7.82	1.51	1.99	11.38	223.41	40.36	76.71	133.36	38.95	79.45	157.68	108.14	66.65	1883.54	111.21	44.57	156.59	75.64	1015.93	1.03	75.11	36.53	82.87	145.02	82.29	178.77	351.14	85.82	87.03	70.01	27.05	199.85	105.89	53.57	63.0	53.19	77.25	242.88	94.67	54.33	441.64	279.14	127.89	126.12	144.01	127.0	543.96	1044.52	358.54	563.18	109.66	209.84	753.83	255.0	540.19	143.01	878.17	109.66	679.29	555.41	86.43	525.39	387.02	141.02	988.12	234.57	82.29	55.1	84.04	165.57	42.11	118.43	101.54	40.07	75.11	55.89	142.01	77.25	85.22	271.48	63.0	102.97	0.0	0.19	2.97	104.42	2.89
BCL2L1	2816.11	1936.53	1977.24	1781.89	3018.3	2287.2	2163.77	1896.65	3395.89	2303.12	3081.75	3665.02	2720.15	3690.52	3039.3	3124.78	4328.55	3103.19	2090.03	5751.61	2855.44	1896.65	3820.7	4298.64	6250.56	3564.78	3235.01	3443.31	3540.14	2739.08	2777.33	2997.45	2855.44	2816.11	3124.78	3212.66	2997.45	2609.3	2835.7	3349.13	3018.3	3168.41	3349.13	3257.52	3190.46	3540.14	2855.44	3614.55	2701.35	3280.18	2645.74	2935.74	3955.48	7280.4	7433.4	7911.95	4512.4	4736.79	9474.59	4010.71	6887.62	3257.52	6079.61	2935.74	6294.04	7485.11	3325.99	2956.17	6294.04	6294.04	4328.55	5791.62	2701.35	3235.01	2895.31	2816.11	2976.74	3515.68	3589.58	3639.7	2816.11	2915.45	3235.01	2935.74	3491.39	2997.45	3280.18	3103.19	0.0	0.61	995.0	1135.2	1721.16
BFAR	629.35	733.19	848.22	703.28	872.1	796.86	400.71	587.13	878.17	796.86	961.07	941.27	1350.18	1096.5	921.88	1208.34	915.51	825.0	629.35	825.0	842.36	1151.06	775.05	1008.9	1467.37	1104.13	1159.07	1051.79	915.51	802.41	974.5	1073.91	1044.52	974.5	1015.93	915.51	890.44	1167.14	866.07	842.36	842.36	928.3	819.3	988.12	1151.06	842.36	1225.22	1088.92	995.0	1015.93	1030.12	896.64	1417.35	1359.57	813.63	1313.23	988.12	1151.06	1605.83	866.07	1540.37	1487.87	1259.69	1508.65	1378.57	1088.92	791.35	1427.22	1447.15	3257.52	974.5	1551.09	791.35	872.1	934.76	1023.0	698.41	796.86	921.88	743.43	791.35	866.07	848.22	819.3	819.3	830.75	775.05	872.1	1044.52	143.01	1277.29	1044.52	934.76
BICC1	37.59	1.3	9.27	20.26	23.42	9.56	33.78	0.0	287.01	55.49	921.88	665.29	397.93	1015.93	638.15	607.87	612.11	1427.22	156.59	830.75	329.84	119.26	3039.3	2739.08	2573.36	1369.04	713.11	902.89	830.75	890.44	1037.29	1119.56	928.3	1051.79	607.87	954.43	1037.29	738.29	1242.34	1286.18	1111.82	941.27	836.53	1030.12	866.07	1191.69	1073.91	1883.54	791.35	954.43	1111.82	928.3	1709.26	1685.71	2417.67	1151.06	3395.89	2720.15	1857.6	1709.26	3589.58	1674.06	2255.7	3190.46	2287.2	2835.7	2976.74	1407.55	2032.85	3419.52	1977.24	2739.08	616.37	679.29	890.44	587.13	743.43	974.5	860.08	796.86	656.11	1286.18	836.53	872.1	753.83	1104.13	575.03	896.64	36.53	141.02	56.68	67.59	42.41
BLMH	244.57	470.14	305.55	297.17	334.46	571.05	866.07	656.11	447.82	450.94	633.73	656.11	480.04	769.69	559.28	607.87	587.13	693.58	1044.52	473.41	363.56	547.75	607.87	825.0	884.29	587.13	624.99	708.18	842.36	684.02	733.19	884.29	612.11	607.87	703.28	764.36	780.44	599.49	748.61	679.29	764.36	656.11	780.44	723.08	567.1	679.29	684.02	866.07	819.3	764.36	748.61	733.19	1183.45	836.53	1119.56	947.83	1340.84	1143.1	1857.6	896.64	1159.07	808.0	1001.93	884.29	1015.93	1037.29	921.88	1059.11	1286.18	713.11	1111.82	1199.98	688.78	624.99	684.02	713.11	555.41	547.75	669.92	633.73	674.59	723.08	669.92	718.08	642.59	575.03	679.29	660.68	0.0	0.95	500.46	490.14	403.5
BLVRA	748.61	555.41	1037.29	507.46	1359.57	547.75	866.07	825.0	842.36	559.28	1191.69	1388.16	1467.37	1594.73	1651.0	1594.73	1733.13	2367.9	878.17	1477.58	1088.92	842.36	1388.16	1781.89	2664.15	2319.15	1008.9	1151.06	1250.98	1135.2	1277.29	1304.15	1519.15	1037.29	1388.16	1519.15	1127.35	1437.15	1304.15	1242.34	1322.37	1143.1	1250.98	1508.65	1250.98	1088.92	1639.59	1806.78	1685.71	1540.37	1857.6	1250.98	2915.45	2573.36	3303.0	2485.67	3874.05	2627.46	2163.77	2240.11	2956.17	4937.99	2739.08	3190.46	3212.66	3372.43	3280.18	3589.58	3742.05	2224.63	3794.3	3018.3	1583.71	1259.69	1437.15	1397.83	1259.69	1216.75	1167.14	1388.16	1208.34	1819.35	1407.55	1127.35	1259.69	1233.75	1388.16	1467.37	0.0	0.78	808.0	947.83	669.92
