	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CCSER2	2224.63	529.06	429.54	242.88	373.81	232.94	409.15	334.46	583.07	275.28	285.03	620.67	454.09	842.36	981.29	665.29	1359.57	866.07	1250.98	684.02	713.11	896.64	0.0	0.45	543.96	318.57	733.19	507.46	603.67
COQ9	5292.48	1250.98	1388.16	1037.29	599.49	1529.73	1304.15	988.12	1540.37	1447.15	1135.2	1733.13	2609.3	3168.41	2895.31	3018.3	3955.48	1651.0	2090.03	2224.63	1709.26	4419.52	0.0	0.1	1487.87	1457.23	1457.23	1639.59	1259.69
DCUN1D2	2664.15	84.04	215.77	153.34	202.66	148.09	236.21	178.77	156.59	171.45	135.24	189.02	540.19	780.44	896.64	665.29	1369.04	599.49	854.13	536.45	295.11	934.76	0.0	0.75	77.79	88.88	112.77	108.9	117.6
DEPTOR	3349.13	12.09	84.63	12.0	64.34	51.35	61.25	56.28	70.01	59.13	19.97	156.59	1143.1	1529.73	1008.9	1175.27	2645.74	928.3	1268.46	693.58	607.87	2777.33	0.0	0.16	66.18	102.25	119.26	131.51	51.71
DUSP13	5183.54	521.76	120.1	0.0	18.16	19.82	73.54	21.01	198.47	31.22	0.0	204.07	3146.52	2417.67	5112.16	2271.4	5183.54	1721.16	3280.18	2163.77	974.5	3395.89	0.0	0.54	177.53	890.44	438.59	327.56	180.02
DUSP28	703.28	115.16	131.51	66.18	56.68	92.05	90.77	79.45	89.51	98.73	44.57	98.73	287.01	327.56	358.54	299.25	379.04	162.14	223.41	177.53	161.02	277.2	0.0	0.24	103.69	43.02	102.97	105.89	118.43
ERBB4	63.45	0.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.12	19.97	25.17	26.67	17.51	31.0	38.95	18.97	20.86	5.59	62.12	0.0	0.0	0.0	1.28	3.32	6.84	0.4
ETFDH	2627.46	536.45	483.38	312.0	444.72	409.15	473.41	336.79	688.78	435.55	325.29	1023.0	1175.27	1923.14	1467.37	1896.65	2075.59	1313.23	1037.29	941.27	1175.27	1340.84	234.57	132.44	748.61	679.29	941.27	688.78	1313.23
FAM189A2	1350.18	140.04	149.12	19.39	32.59	83.45	104.42	67.12	104.42	98.04	10.39	351.14	563.18	441.64	802.41	490.14	769.69	320.8	555.41	486.75	432.53	693.58	0.0	0.26	616.37	291.04	387.02	126.12	470.14
FITM1	5366.37	49.21	16.75	8.32	9.78	23.25	9.41	12.09	12.27	13.12	5.73	17.0	1857.6	3467.27	3280.18	3928.15	5219.6	1447.15	2075.59	1295.13	785.88	5329.3	0.0	0.25	43.02	450.94	40.36	45.53	51.35
FOXO4	896.64	264.03	332.14	73.54	291.04	138.1	229.72	189.02	262.2	195.72	95.34	348.71	507.46	723.08	591.22	521.76	1051.79	507.46	728.11	420.68	412.0	525.39	0.0	0.31	246.28	260.38	392.44	473.41	275.28
FYCO1	4123.49	334.46	500.46	239.52	291.04	406.31	343.89	205.5	493.56	309.83	159.9	493.56	1519.15	2004.85	2163.77	1508.65	3060.45	1498.22	2645.74	1135.2	872.1	2133.97	201.25	48.52	536.45	587.13	403.5	638.15	373.81
GAMT	12415.75	11992.79	156.59	67.59	43.94	127.89	122.64	117.6	221.86	87.65	52.45	283.05	3372.43	4481.23	5831.91	6607.01	10512.82	3060.45	4152.18	3665.02	1977.24	10883.59	0.0	0.49	334.46	1870.53	1350.18	607.87	503.95
GPD1L	3982.99	234.57	559.28	133.36	271.48	226.54	366.09	187.71	532.74	356.05	98.73	785.88	1769.57	2240.11	1757.34	1709.26	3794.3	1572.76	1487.87	1051.79	759.08	2384.37	0.0	0.29	624.99	603.67	567.1	599.49	902.89
GPT	1572.76	104.42	21.63	0.0	9.06	24.46	15.8	9.48	24.81	32.82	5.23	30.56	738.29	1259.69	860.08	583.07	1233.75	679.29	780.44	281.09	229.72	1001.93	0.0	0.58	15.91	53.95	23.08	86.43	28.24
HAGH	3018.3	1111.82	785.88	480.04	299.25	733.19	460.44	599.49	738.29	679.29	323.03	981.29	2004.85	2004.85	2468.49	2502.97	3124.78	1437.15	2367.9	1304.15	1447.15	2555.58	1286.18	381.68	703.28	830.75	791.35	848.22	981.29
HIF1AN	1561.89	309.83	400.71	267.73	205.5	277.2	307.69	305.55	320.8	241.19	281.09	384.34	603.67	718.08	769.69	642.59	1088.92	575.03	825.0	651.58	497.0	909.17	0.0	0.01	314.17	500.46	348.71	463.65	228.13
HINT3	1745.2	329.84	275.28	146.03	234.57	181.28	309.83	267.73	329.84	244.57	120.94	309.83	612.11	769.69	780.44	775.05	1143.1	703.28	753.83	587.13	493.56	967.76	0.0	0.37	231.32	205.5	301.33	460.44	325.29
IDH2	21919.61	6792.79	1769.57	995.0	1781.89	1605.83	1295.13	1397.83	2319.15	1709.26	954.43	3146.52	15285.81	13306.94	21768.19	14765.09	23009.42	11745.96	14065.74	9876.98	9088.59	18560.17	1427.22	463.65	6607.01	6164.49	12943.04	5791.62	7180.15
IP6K3	1697.45	0.0	32.82	3.23	1.66	21.94	2.46	48.52	4.1	2.36	0.0	5.11	384.34	769.69	708.18	764.36	1183.45	149.12	387.02	206.94	239.52	665.29	0.0	0.56	5.28	264.03	13.93	43.63	5.02
IQSEC2	406.31	182.55	242.88	185.11	158.79	201.25	169.07	158.79	223.41	229.72	194.36	258.57	426.57	540.19	432.53	591.22	660.68	341.51	397.93	373.81	309.83	633.73	0.0	0.45	147.06	143.01	139.07	194.36	106.63
KCNJ11	947.83	54.33	6.73	1.51	4.06	1.25	2.16	1.55	3.23	2.46	0.99	12.74	353.59	507.46	426.57	348.71	733.19	262.2	373.81	289.02	221.86	718.08	0.0	0.03	3.5	228.13	16.27	73.54	7.82
KIAA1737	2004.85	629.35	529.06	202.66	241.19	295.11	351.14	312.0	473.41	353.59	175.07	587.13	543.96	860.08	775.05	713.11	947.83	738.29	708.18	629.35	441.64	928.3	0.0	0.47	406.31	209.84	287.01	363.56	447.82
LSMEM1	1233.75	18.43	53.95	23.08	63.0	35.76	47.84	42.11	35.76	52.82	55.89	27.25	232.94	241.19	381.68	384.34	463.65	120.94	339.14	220.32	115.16	226.54	0.0	0.59	12.74	36.01	13.22	23.93	28.04
MACROD1	3928.15	684.02	507.46	110.43	503.95	412.0	400.71	309.83	486.75	397.93	336.79	703.28	3168.41	2976.74	3716.2	3372.43	4671.57	1870.53	1923.14	1628.26	1183.45	4607.24	0.0	0.62	486.75	603.67	368.65	842.36	780.44
MAPT	1127.35	244.57	102.97	12.0	7.22	66.18	172.65	26.67	113.56	17.9	9.56	307.69	1015.93	995.0	934.76	796.86	1572.76	555.41	1167.14	567.1	738.29	1259.69	0.0	0.13	171.45	656.11	283.05	599.49	387.02
MLYCD	1605.83	93.35	151.22	56.68	50.98	146.03	87.03	60.39	73.03	100.83	95.34	132.44	679.29	808.0	447.82	934.76	1583.71	403.5	532.74	454.09	323.03	1304.15	0.0	0.0	85.82	226.54	132.44	166.73	115.16
MPC1	4937.99	974.5	693.58	454.09	595.34	612.11	563.18	571.05	713.11	642.59	466.88	1143.1	2335.28	4298.64	3515.68	2701.35	5403.7	2193.99	2351.53	2555.58	1594.73	5791.62	0.0	0.75	1250.98	1508.65	884.29	1159.07	1457.23
MTFR1L	3690.52	366.09	808.0	642.59	450.94	638.15	688.78	629.35	825.0	723.08	336.79	743.43	1963.57	2032.85	2434.5	1628.26	3395.89	1583.71	2240.11	1594.73	878.17	3280.18	0.0	0.69	503.95	466.88	595.34	703.28	493.56
MTUS1	3190.46	1286.18	656.11	567.1	403.5	587.13	872.1	500.46	708.18	563.18	698.41	785.88	1551.09	2319.15	1844.76	1477.58	2935.74	1685.71	2255.7	1477.58	1594.73	2816.11	921.88	251.48	563.18	119.26	890.44	1008.9	607.87
NDUFS2	7589.61	1208.34	1883.54	1857.6	1806.78	1617.0	1936.53	1963.57	1674.06	2133.97	1388.16	1883.54	4512.4	5403.7	4575.41	5403.7	6121.9	2720.15	3491.39	3303.0	2645.74	7433.4	1697.45	1135.2	1832.01	1819.35	1909.85	1883.54	1757.34
PACSIN3	4972.34	1733.13	1331.57	1397.83	423.61	1250.98	928.3	1051.79	1250.98	1250.98	1127.35	1447.15	4736.79	4869.99	4328.55	6037.61	5954.47	2816.11	3589.58	2555.58	2090.03	5831.91	0.0	0.77	2193.99	2104.58	2502.97	2287.2	2209.26
PAIP2B	1216.75	193.01	54.33	11.47	11.55	21.47	51.71	43.94	65.72	42.71	17.25	166.73	172.65	277.2	248.0	277.2	332.14	366.09	212.78	209.84	232.94	226.54	0.0	0.12	183.82	43.94	153.34	120.1	116.78
PARK2	351.14	3.89	16.63	1.36	2.12	12.27	13.32	8.99	10.16	6.46	0.88	25.35	98.04	119.26	141.02	134.3	271.48	101.54	152.28	82.87	50.98	194.36	0.0	0.12	13.03	10.16	8.13	19.39	3.89
PCM1	3303.0	974.5	988.12	808.0	785.88	808.0	1313.23	1008.9	1081.39	909.17	698.41	1104.13	2061.24	1857.6	1991.0	1721.16	2609.3	1674.06	2032.85	1674.06	1457.23	2351.53	0.0	0.99	981.29	753.83	860.08	669.92	974.5
PCNT	1923.14	269.6	412.0	327.56	279.14	363.56	470.14	480.04	435.55	318.57	361.04	514.56	1733.13	1832.01	1233.75	1023.0	2319.15	813.63	1250.98	718.08	791.35	2468.49	0.0	0.77	438.59	796.86	356.05	460.44	500.46
PDE7B	98.04	1.57	18.16	13.32	4.54	10.55	17.64	10.31	8.65	10.31	5.59	18.43	48.87	110.43	53.19	46.18	108.9	42.71	110.43	93.35	21.16	229.72	0.0	0.09	7.88	10.71	3.14	8.32	7.69
PDK2	6207.38	514.56	884.29	125.24	248.0	432.53	497.0	173.85	616.37	486.75	540.19	551.56	2895.31	4038.61	3325.99	3419.52	7081.29	2193.99	3419.52	2240.11	1304.15	5995.9	0.0	0.0	872.1	921.88	878.17	872.1	802.41
PHKA1	1369.04	46.84	102.97	96.68	127.0	85.22	88.26	73.03	84.63	87.65	87.03	108.14	493.56	775.05	559.28	363.56	981.29	289.02	647.07	483.38	260.38	808.0	0.0	0.39	94.01	191.67	84.04	140.04	84.63
PINK1	9025.81	1709.26	1674.06	728.11	693.58	1037.29	1208.34	934.76	1551.09	1159.07	974.5	2018.8	4210.15	6561.36	6471.02	6745.86	10296.45	4010.71	4328.55	2664.15	3081.75	9025.81	0.0	0.47	2061.24	1685.71	2502.97	2816.11	2287.2
PPARGC1A	575.03	0.0	28.86	1.68	1.95	17.77	13.72	10.39	6.06	16.88	1.16	22.1	111.21	490.14	218.79	251.48	483.38	150.17	267.73	197.09	60.39	738.29	0.0	0.27	79.45	47.5	11.21	25.91	19.53
PRADC1	2163.77	529.06	438.59	237.86	180.02	312.0	312.0	244.57	376.41	409.15	305.55	591.22	1286.18	1304.15	1457.23	1561.89	2104.58	1030.12	1111.82	1096.5	836.53	2061.24	0.0	0.13	579.04	915.51	753.83	866.07	825.0
RGS9BP	79.45	11.21	4.74	0.53	0.08	2.16	3.96	1.07	6.36	3.56	0.3	9.13	22.92	36.27	24.99	16.27	42.71	19.53	23.42	23.42	6.94	38.95	0.0	0.0	5.19	2.84	4.17	11.47	5.82
RILP	1127.35	110.43	158.79	63.0	170.25	186.4	84.63	82.87	119.26	202.66	80.01	129.69	599.49	579.04	890.44	529.06	1127.35	525.39	679.29	334.46	279.14	995.0	0.0	0.35	108.14	109.66	164.42	202.66	108.14
RNF123	3018.3	197.09	473.41	497.0	417.77	511.0	363.56	409.15	480.04	483.38	246.28	551.56	1208.34	1447.15	1781.89	1259.69	2502.97	995.0	1551.09	1015.93	890.44	2664.15	0.0	0.62	476.71	587.13	473.41	559.28	476.71
RORC	981.29	4358.66	15.0	0.72	0.28	15.34	14.56	10.16	27.44	37.32	0.0	29.7	503.95	842.36	764.36	607.87	988.12	723.08	825.0	507.46	297.17	1242.34	0.0	0.19	51.35	34.02	26.86	180.02	12.55
SEC14L5	84.04	5.77	5.5	0.45	0.77	2.81	5.96	2.84	8.78	6.57	0.44	7.11	131.51	293.07	142.01	93.35	82.29	80.57	72.52	17.13	16.51	189.02	0.0	0.09	13.93	10.08	15.68	13.22	6.11
SLC25A30	1216.75	132.44	100.83	140.04	73.54	100.13	114.36	124.37	92.7	86.43	66.18	78.34	127.89	199.85	371.22	186.4	463.65	320.8	305.55	256.78	177.53	258.57	0.0	0.27	103.69	120.1	91.41	72.01	83.45
SMDT1	3955.48	2255.7	2573.36	1331.57	1159.07	1977.24	1721.16	1407.55	2148.82	1508.65	1183.45	3372.43	4038.61	3901.01	3665.02	5219.6	3540.14	3589.58	2682.69	2875.3	3820.7	4419.52	2287.2	283.05	3190.46	1794.29	2855.44	2956.17	4607.24
SUCLA2	4298.64	775.05	813.63	674.59	507.46	579.04	708.18	616.37	738.29	595.34	476.71	684.02	1417.35	2148.82	2485.67	2018.8	3039.3	1277.29	1806.78	1540.37	1015.93	2468.49	0.0	0.49	830.75	890.44	848.22	866.07	1135.2
TCEA3	10296.45	2935.74	463.65	16.03	96.01	305.55	361.04	265.87	571.05	529.06	163.28	624.99	4802.93	4639.29	5633.22	5219.6	8247.98	3589.58	4543.8	3349.13	1407.55	6037.61	0.0	0.58	387.02	307.69	373.81	438.59	202.66
TMEM143	1857.6	90.77	110.43	53.95	42.11	115.97	178.77	78.34	105.15	100.13	79.45	118.43	679.29	902.89	1127.35	1030.12	1498.22	547.75	866.07	529.06	309.83	1073.91	0.0	0.3	85.22	110.43	98.73	132.44	97.36
TRAK1	4268.94	1350.18	432.53	334.46	674.59	343.89	325.29	295.11	368.65	379.04	279.14	473.41	1721.16	3124.78	2400.97	1896.65	3515.68	1467.37	2434.5	1651.0	947.83	3716.2	218.79	94.67	808.0	536.45	860.08	612.11	674.59
TRAPPC9	842.36	356.05	358.54	223.41	249.73	346.29	303.44	291.04	325.29	336.79	198.47	368.65	444.72	346.29	483.38	447.82	703.28	547.75	503.95	397.93	406.31	728.11	307.69	198.47	353.59	346.29	379.04	518.15	248.0
UBE2QL1	366.09	4.94	1.16	1.16	0.36	2.39	0.99	12.55	0.79	0.53	1.95	2.89	120.1	161.02	149.12	151.22	289.02	108.14	133.36	111.99	75.11	205.5	0.0	0.22	4.31	63.0	6.01	7.82	3.99
ZCWPW2	114.36	12.0	5.92	7.75	4.17	2.53	7.75	4.28	9.63	2.56	1.93	5.41	24.28	35.5	40.07	37.59	81.71	42.71	46.5	22.59	15.0	45.85	0.0	0.06	7.75	10.24	2.84	6.67	6.16
ZER1	1066.48	567.1	915.51	356.05	412.0	642.59	660.68	543.96	866.07	559.28	486.75	1073.91	836.53	995.0	860.08	796.86	1322.37	995.0	1001.93	813.63	836.53	1350.18	0.0	0.39	579.04	348.71	909.17	703.28	514.56
