	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.AA.3660.01A.01R.1723.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.G3.A5SJ.01A.11R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.52.7809.01A.21R.2125.07	TCGA.DC.4745.01A.01R.A32Z.07	TCGA.BR.8295.01A.11R.2343.13	TCGA.N5.A4RD.01A.11R.A28V.07
DKC1	2271.4	1991.0	2451.44	2271.4	785.88	438.59	1350.18	1617.0	836.53	1044.52	466.88	703.28	896.64	231.32	339.14	348.71	305.55	299.25	363.56	389.72	373.81	323.03	237.86	293.07	314.17	195.72	258.57	351.14	140.04	2720.15	2417.67	1250.98	1350.18
DPM2	4802.93	1175.27	1870.53	2018.8	1059.11	1023.0	1073.91	3589.58	1447.15	1508.65	947.83	1143.1	1407.55	490.14	309.83	454.09	497.0	463.65	587.13	480.04	642.59	723.08	470.14	412.0	379.04	583.07	518.15	441.64	275.28	2075.59	1832.01	2796.65	2351.53
EXOSC2	669.92	599.49	866.07	1044.52	400.71	275.28	444.72	1457.23	348.71	429.54	339.14	397.93	426.57	251.48	187.71	218.79	318.57	208.38	320.8	206.94	159.9	183.82	309.83	249.73	285.03	132.44	229.72	212.78	104.42	1023.0	1127.35	941.27	808.0
EXOSC8	748.61	620.67	1135.2	1023.0	521.76	463.65	563.18	1127.35	563.18	698.41	341.51	651.58	660.68	305.55	669.92	417.77	353.59	246.28	571.05	291.04	283.05	353.59	285.03	178.77	249.73	289.02	454.09	312.0	156.59	941.27	1870.53	872.1	909.17
FAM206A	497.0	295.11	457.25	540.19	197.09	180.02	228.13	480.04	152.28	234.57	127.0	373.81	414.87	201.25	209.84	178.77	129.69	228.13	153.34	100.83	175.07	68.55	110.43	147.06	130.6	125.24	158.79	111.99	72.52	954.43	679.29	551.56	647.07
GJC1	470.14	212.78	43.94	63.89	264.03	74.58	17.38	119.26	14.56	104.42	19.25	35.5	31.0	8.45	13.32	18.29	0.0	10.63	16.75	3.11	9.7	8.32	4.54	3.41	13.42	5.06	10.71	7.06	2.03	267.73	100.13	127.0	183.82
GNG10	1674.06	2645.74	974.5	1685.71	1008.9	1697.45	947.83	764.36	748.61	860.08	665.29	1044.52	934.76	665.29	532.74	693.58	607.87	723.08	536.45	785.88	665.29	638.15	500.46	540.19	718.08	629.35	633.73	476.71	638.15	1051.79	848.22	1044.52	1769.57
GTF3C5	1923.14	1407.55	1896.65	1857.6	1286.18	878.17	902.89	2682.69	1081.39	1037.29	854.13	1059.11	961.07	457.25	733.19	638.15	587.13	447.82	921.88	493.56	830.75	660.68	679.29	389.72	500.46	813.63	728.11	633.73	403.5	2119.22	1806.78	2303.12	1963.57
HN1	12943.04	6699.25	8191.0	9673.69	5594.3	1769.57	2701.35	5555.65	4268.94	3982.99	3039.3	2209.26	4543.8	1208.34	454.09	830.75	665.29	1030.12	265.87	595.34	579.04	551.56	660.68	1030.12	884.29	1008.9	603.67	890.44	878.17	3168.41	4481.23	6426.31	9876.98
HNRNPK	11827.67	10959.3	9740.98	11827.67	7803.01	6337.83	7280.4	9808.75	6121.9	8901.53	5329.3	6337.83	8363.13	5633.22	5255.91	4836.35	3540.14	6840.04	4704.07	5041.77	4607.24	4358.66	4836.35	6792.79	6792.79	3901.01	4704.07	4736.79	3794.3	10585.95	9344.14	12076.21	10585.95
IARS	842.36	819.3	1832.01	1457.23	915.51	540.19	660.68	1519.15	819.3	1508.65	334.46	693.58	738.29	161.02	269.6	332.14	273.37	256.78	314.17	309.83	325.29	208.38	183.82	285.03	206.94	205.5	206.94	327.56	159.9	866.07	2609.3	3564.78	1081.39
INPP5E	454.09	248.0	343.89	279.14	246.28	368.65	127.0	384.34	103.69	145.02	102.25	108.14	117.6	76.17	155.5	56.28	77.25	64.8	122.64	100.83	84.04	78.89	89.51	61.25	91.41	43.32	91.41	95.34	78.34	220.32	228.13	358.54	332.14
LIN37	2119.22	454.09	289.02	301.33	1151.06	500.46	291.04	813.63	397.93	429.54	579.04	242.88	348.71	208.38	253.23	180.02	136.19	96.01	224.97	185.11	269.6	204.07	164.42	125.24	172.65	264.03	120.1	181.28	125.24	796.86	384.34	371.22	934.76
MAPKAP1	3515.68	1963.57	2367.9	1551.09	1388.16	1639.59	1477.58	2739.08	1259.69	1662.49	1977.24	1769.57	1111.82	947.83	441.64	775.05	1151.06	896.64	808.0	854.13	934.76	713.11	753.83	1183.45	872.1	616.37	825.0	796.86	848.22	2119.22	3212.66	1977.24	1819.35
MED22	698.41	435.55	785.88	457.25	624.99	490.14	237.86	1044.52	237.86	392.44	170.25	277.2	248.0	63.89	107.38	84.04	87.65	94.01	118.43	69.52	94.01	74.06	86.43	117.6	82.29	92.05	68.07	54.33	26.47	532.74	708.18	1023.0	348.71
MED27	902.89	551.56	748.61	591.22	444.72	381.68	325.29	830.75	373.81	325.29	327.56	320.8	339.14	170.25	165.57	175.07	118.43	152.28	139.07	142.01	144.01	155.5	126.12	115.16	190.34	156.59	142.01	206.94	108.9	703.28	1151.06	902.89	1088.92
MMP1	120.1	98.73	226.54	748.61	41.81	3.92	13.52	120.94	26.28	36.79	6.62	11.21	187.71	0.74	1.83	0.0	0.0	0.0	0.0	43.63	6.57	0.0	0.0	0.79	4.21	0.0	1.6	13.22	0.0	414.87	547.75	181.28	90.14
MRPL50	363.56	363.56	392.44	466.88	267.73	285.03	368.65	543.96	199.85	444.72	194.36	318.57	346.29	170.25	307.69	191.67	145.02	229.72	187.71	66.65	126.12	120.94	155.5	142.01	149.12	154.42	150.17	145.02	127.0	220.32	642.59	813.63	356.05
NCBP2	6607.01	1639.59	1806.78	1427.22	896.64	1151.06	1001.93	2701.35	536.45	1437.15	529.06	738.29	974.5	309.83	435.55	432.53	444.72	466.88	563.18	363.56	429.54	426.57	429.54	397.93	607.87	277.2	397.93	379.04	197.09	5292.48	1378.57	1977.24	4328.55
NELFB	2119.22	1208.34	1605.83	1295.13	1143.1	967.76	836.53	928.3	723.08	1159.07	988.12	1073.91	780.44	486.75	299.25	417.77	417.77	483.38	466.88	366.09	629.35	353.59	463.65	417.77	441.64	483.38	503.95	420.68	450.94	1216.75	1745.2	1844.76	1685.71
NUP205	1369.04	796.86	1008.9	1066.48	307.69	429.54	651.58	1030.12	575.03	583.07	373.81	426.57	525.39	218.79	299.25	242.88	198.47	191.67	264.03	166.73	197.09	251.48	206.94	186.4	204.07	172.65	169.07	178.77	94.67	947.83	995.0	1639.59	1233.75
PIAS3	733.19	444.72	457.25	567.1	381.68	457.25	226.54	713.11	229.72	246.28	209.84	392.44	334.46	68.55	194.36	114.36	57.08	99.43	125.24	56.28	212.78	84.63	93.35	115.97	127.89	88.26	95.34	68.07	28.24	1794.29	267.73	967.76	995.0
POLE3	2133.97	1540.37	2400.97	1963.57	842.36	647.07	961.07	1350.18	1605.83	1151.06	836.53	884.29	1059.11	532.74	343.89	579.04	536.45	595.34	444.72	417.77	403.5	339.14	463.65	587.13	591.22	366.09	384.34	392.44	327.56	1781.89	3419.52	1870.53	1540.37
POLR1D	4802.93	1794.29	4543.8	5366.37	2104.58	1674.06	2701.35	4181.07	2119.22	2224.63	1044.52	1697.45	2520.38	1923.14	902.89	1044.52	1159.07	941.27	2119.22	2148.82	1059.11	1242.34	1781.89	796.86	1191.69	1225.22	1059.11	759.08	995.0	3690.52	9540.5	2997.45	5255.91
POLR3F	281.09	177.53	172.65	176.29	182.55	128.79	204.07	256.78	153.34	163.28	127.89	147.06	141.02	70.01	87.03	75.64	61.25	74.06	105.89	60.82	91.41	55.49	76.17	56.28	97.36	47.5	66.65	52.82	30.56	323.03	403.5	206.94	358.54
PPAT	249.73	157.68	223.41	201.25	100.13	57.49	134.3	166.73	120.1	115.97	53.19	100.83	133.36	31.45	36.53	74.58	45.21	69.52	55.89	59.13	46.18	21.47	41.81	49.21	50.98	44.25	34.02	27.64	27.05	327.56	185.11	226.54	258.57
PRMT3	435.55	265.87	412.0	412.0	148.09	169.07	131.51	242.88	287.01	414.87	124.37	135.24	104.42	47.84	87.65	72.52	67.59	84.04	87.65	48.87	63.45	75.11	58.71	45.21	71.0	48.52	38.67	46.84	37.59	351.14	460.44	429.54	231.32
QSOX2	638.15	178.77	363.56	334.46	173.85	91.41	271.48	532.74	151.22	223.41	115.97	129.69	166.73	57.49	104.42	47.5	72.52	50.27	109.66	49.91	83.45	80.57	82.87	40.07	63.89	51.35	62.12	76.17	30.78	728.11	373.81	547.75	318.57
RABL6	1883.54	1529.73	2224.63	1697.45	551.56	1359.57	480.04	1794.29	525.39	514.56	511.0	507.46	420.68	267.73	563.18	197.09	136.19	189.02	351.14	159.9	234.57	301.33	215.77	208.38	281.09	118.43	279.14	217.27	85.82	1369.04	3039.3	1844.76	1745.2
REXO4	1378.57	493.56	934.76	1639.59	571.05	353.59	693.58	1540.37	395.18	813.63	493.56	532.74	483.38	281.09	182.55	312.0	228.13	258.57	327.56	260.38	392.44	220.32	258.57	287.01	169.07	305.55	256.78	264.03	136.19	723.08	860.08	1059.11	1030.12
SET	19348.38	5041.77	7695.57	12676.65	3190.46	2835.7	3794.3	6294.04	3928.15	5076.84	2271.4	2573.36	4481.23	1936.53	1277.29	2148.82	1437.15	2895.31	1397.83	1651.0	1605.83	1551.09	1369.04	2591.27	2537.92	1651.0	1369.04	1359.57	1651.0	9606.86	7911.95	8598.28	7382.04
SH3GLB2	1388.16	1037.29	2591.27	2224.63	1350.18	1277.29	830.75	1151.06	1639.59	1001.93	981.29	909.17	1135.2	693.58	1096.5	559.28	796.86	420.68	759.08	384.34	1001.93	878.17	684.02	412.0	738.29	1023.0	902.89	674.59	329.84	2178.83	2384.37	995.0	1467.37
SMU1	1183.45	1191.69	1277.29	1417.35	967.76	796.86	780.44	1304.15	647.07	733.19	941.27	647.07	808.0	540.19	480.04	559.28	551.56	759.08	429.54	511.0	444.72	521.76	551.56	753.83	733.19	460.44	551.56	543.96	476.71	2400.97	1745.2	1340.84	1936.53
SRP72	1508.65	1151.06	1304.15	1407.55	1159.07	759.08	1044.52	890.44	1277.29	764.36	607.87	1073.91	1233.75	563.18	759.08	947.83	651.58	830.75	624.99	693.58	656.11	518.15	551.56	748.61	642.59	511.0	532.74	603.67	599.49	1551.09	1477.58	1175.27	1127.35
SSNA1	2664.15	3168.41	3212.66	3325.99	2193.99	2434.5	2148.82	4066.71	1757.34	2367.9	2537.92	2032.85	2240.11	1259.69	1529.73	1477.58	1498.22	915.51	1359.57	1242.34	1175.27	1242.34	1233.75	733.19	896.64	1781.89	1498.22	1388.16	1037.29	2047.0	4268.94	3146.52	3124.78
SUPT16H	3515.68	1639.59	1769.57	1721.16	1001.93	896.64	934.76	2451.44	884.29	974.5	791.35	780.44	896.64	258.57	314.17	454.09	435.55	438.59	665.29	395.18	417.77	490.14	518.15	361.04	426.57	318.57	267.73	412.0	204.07	1832.01	1104.13	2451.44	3467.27
SURF6	1286.18	514.56	981.29	1199.98	559.28	473.41	500.46	2061.24	444.72	629.35	511.0	559.28	511.0	291.04	476.71	417.77	260.38	271.48	320.8	215.77	387.02	232.94	262.2	248.0	242.88	251.48	271.48	346.29	151.22	796.86	791.35	1286.18	1199.98
TAF1A	320.8	167.9	193.01	98.73	96.68	66.18	92.05	185.11	73.54	89.51	41.22	75.11	100.13	20.71	52.45	36.53	23.25	40.07	13.62	27.64	34.26	27.64	21.01	23.42	22.59	15.68	22.1	13.32	11.91	293.07	157.68	283.05	301.33
TBC1D13	679.29	412.0	406.31	339.14	336.79	435.55	567.1	785.88	291.04	728.11	376.41	665.29	224.97	146.03	193.01	126.12	244.57	177.53	204.07	241.19	138.1	149.12	129.69	205.5	194.36	159.9	125.24	102.97	50.98	599.49	397.93	780.44	830.75
TEX10	896.64	218.79	483.38	642.59	251.48	291.04	224.97	450.94	172.65	343.89	110.43	215.77	193.01	142.01	175.07	128.79	74.58	145.02	183.82	208.38	114.36	115.97	144.01	68.07	140.04	73.03	134.3	137.14	36.79	426.57	764.36	679.29	679.29
TMEM132A	3303.0	457.25	612.11	1015.93	842.36	88.88	80.01	1216.75	63.0	287.01	78.89	432.53	206.94	17.38	45.85	63.89	34.51	53.57	21.94	33.3	35.0	14.35	45.21	37.05	70.51	26.28	14.24	9.06	6.46	1662.49	316.37	842.36	2682.69
TRIM59	223.41	109.66	128.79	73.03	78.89	19.82	38.95	79.45	67.12	65.72	32.13	44.89	57.89	9.34	16.39	12.0	19.39	9.41	20.11	5.82	11.91	8.65	3.14	13.32	16.51	7.75	12.36	8.19	2.23	262.2	234.57	438.59	82.87
URM1	2835.7	2664.15	2777.33	3168.41	1685.71	1832.01	1540.37	2555.58	1183.45	2148.82	1350.18	2133.97	1794.29	813.63	595.34	995.0	1119.56	708.18	836.53	884.29	1277.29	633.73	928.3	813.63	660.68	1015.93	934.76	665.29	693.58	1950.0	3716.2	2701.35	3168.41
WDR5	1322.37	723.08	1175.27	1313.23	981.29	466.88	551.56	1583.71	723.08	921.88	587.13	753.83	444.72	267.73	209.84	242.88	358.54	275.28	289.02	275.28	575.03	150.17	191.67	262.2	297.17	138.1	187.71	226.54	161.02	866.07	1277.29	1991.0	1135.2
XPNPEP1	921.88	947.83	974.5	1037.29	1001.93	688.78	575.03	1008.9	842.36	612.11	470.14	490.14	518.15	373.81	412.0	389.72	275.28	387.02	341.51	336.79	403.5	332.14	305.55	303.44	303.44	329.84	228.13	299.25	211.31	769.69	1233.75	1030.12	1073.91
YAE1D1	995.0	536.45	723.08	429.54	356.05	417.77	463.65	921.88	400.71	353.59	316.37	318.57	567.1	241.19	279.14	194.36	106.63	138.1	251.48	122.64	165.57	140.04	211.31	143.01	143.01	183.82	162.14	154.42	49.91	1044.52	2816.11	518.15	1111.82
YEATS4	884.29	412.0	500.46	555.41	420.68	176.29	389.72	368.65	638.15	414.87	224.97	470.14	395.18	176.29	113.56	220.32	229.72	208.38	186.4	189.02	185.11	231.32	161.02	182.55	389.72	133.36	140.04	195.72	167.9	769.69	802.41	656.11	486.75
ZCCHC7	332.14	194.36	417.77	463.65	193.01	136.19	246.28	447.82	206.94	258.57	157.68	189.02	314.17	152.28	189.02	127.89	131.51	111.99	218.79	63.0	169.07	161.02	125.24	113.56	100.13	117.6	84.04	143.01	84.04	441.64	684.02	429.54	420.68
ZMYND19	2004.85	551.56	1250.98	1369.04	543.96	387.02	599.49	1059.11	486.75	500.46	563.18	507.46	493.56	164.42	231.32	226.54	197.09	166.73	258.57	265.87	295.11	183.82	194.36	119.26	145.02	145.02	221.86	190.34	154.42	981.29	1242.34	1745.2	1135.2
