	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.5665.11A.01R.1653.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.139T6.0826.SM.5J1O2	GTEX.13111.1126.SM.5GCMZ	GTEX.13FTW.1926.SM.5K7Y4	GTEX.WH7G.1026.SM.4LVML	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.YEC3.1926.SM.4WWF5	GTEX.W5WG.1526.SM.4LMIG	GTEX.RM2N.0626.SM.48FD6	GTEX.ZDYS.0926.SM.4WWCS	GTEX.ZZPU.1826.SM.5E43L	GTEX.OIZI.1326.SM.3NB1B	GTEX.ZVT2.1226.SM.5GU5H	GTEX.11EQ9.0826.SM.5986Y	GTEX.11P82.0626.SM.5PNYK	GTEX.11DXX.1026.SM.5H11E
CCDC58	320.8	612.11	688.78	334.46	1135.2	830.75	909.17	1551.09	1051.79	1015.93	738.29	988.12	1023.0	1066.48	1407.55	1167.14	1023.0	1081.39	1340.84	808.0	890.44	791.35	629.35	902.89	718.08	514.56	1119.56	1001.93	1175.27	536.45	825.0	1119.56	1277.29	915.51	1015.93	954.43	1159.07	738.29	674.59	698.41	1001.93	890.44	688.78	1250.98	974.5	1313.23	808.0	802.41	988.12	890.44	1111.82	995.0	1127.35	947.83	1233.75	825.0	607.87	848.22	947.83	785.88	890.44	660.68	808.0	1111.82	947.83	890.44	1030.12	791.35	947.83	802.41	486.75	1313.23	693.58	769.69	647.07	961.07	813.63	1268.46	791.35	872.1	780.44	791.35	988.12	201.25	262.2	316.37	283.05	269.6	387.02	332.14	236.21	287.01	312.0	239.52	316.37	473.41	297.17	301.33	295.11	293.07
CCL24	103.69	161.02	236.21	25.17	723.08	902.89	1225.22	532.74	830.75	1806.78	525.39	183.82	470.14	638.15	988.12	1216.75	1242.34	483.38	748.61	353.59	1331.57	147.06	269.6	842.36	825.0	796.86	1059.11	988.12	836.53	81.14	961.07	693.58	1143.1	460.44	1199.98	466.88	1066.48	543.96	819.3	638.15	1883.54	249.73	1175.27	1208.34	241.19	708.18	679.29	1883.54	759.08	551.56	507.46	854.13	836.53	934.76	483.38	703.28	318.57	1059.11	1819.35	603.67	674.59	194.36	872.1	915.51	500.46	934.76	599.49	638.15	1175.27	988.12	34.26	536.45	258.57	723.08	759.08	967.76	2119.22	460.44	764.36	373.81	414.87	1208.34	1242.34	6.94	2.84	36.53	7.57	0.0	7.11	0.0	0.0	3.92	24.11	0.0	0.0	0.0	8.51	5.87	0.0	0.0
CYC1	2351.53	4152.18	7537.18	3742.05	9606.86	8247.98	11584.24	12415.75	9409.14	9606.86	9088.59	8598.28	10440.2	8963.45	7280.4	10733.74	12589.08	10154.69	10959.3	6294.04	8479.89	7749.1	8191.0	10808.41	7537.18	6840.04	10368.08	11189.6	13776.25	2591.27	9215.48	9808.75	10296.45	10084.54	10014.87	8778.97	8134.41	7803.01	7966.99	6426.31	7966.99	7180.15	7966.99	8247.98	6337.83	9945.68	6792.79	9088.59	8840.04	9474.59	10808.41	8305.36	9876.98	9945.68	7433.4	8247.98	8022.41	5751.61	9215.48	9474.59	7180.15	6887.62	12943.04	9945.68	10659.59	7180.15	10808.41	8022.41	9409.14	8247.98	6471.02	13492.72	5479.15	6337.83	6935.54	10368.08	8022.41	11424.74	6887.62	6935.54	8538.88	6561.36	10659.59	3443.31	3639.7	2796.65	3168.41	2997.45	3564.78	3325.99	3395.89	4328.55	3372.43	3794.3	2895.31	2485.67	2485.67	3665.02	3349.13	3742.05
DAP	2777.33	1208.34	1359.57	1427.22	2384.37	2133.97	2468.49	2163.77	2271.4	2573.36	1977.24	2319.15	2061.24	2287.2	2627.46	2451.44	2451.44	2148.82	2367.9	1745.2	2434.5	1572.76	1909.85	2777.33	1757.34	1617.0	2367.9	2609.3	2555.58	1745.2	2209.26	2682.69	2193.99	1977.24	2591.27	2032.85	2400.97	2271.4	1769.57	1674.06	2119.22	1757.34	1857.6	2935.74	1819.35	2609.3	2609.3	2384.37	2434.5	2502.97	2451.44	3081.75	2555.58	2720.15	2367.9	2271.4	2193.99	1583.71	2485.67	2163.77	2303.12	1477.58	2287.2	2915.45	2451.44	2119.22	2090.03	1733.13	3168.41	2104.58	1819.35	2796.65	1583.71	1781.89	1397.83	2627.46	2075.59	2271.4	1909.85	1697.45	2400.97	2178.83	1819.35	728.11	1378.57	988.12	1467.37	1066.48	688.78	769.69	842.36	915.51	1242.34	1883.54	1096.5	1023.0	848.22	728.11	1199.98	848.22
DCTPP1	503.95	808.0	2018.8	967.76	3325.99	1977.24	2997.45	4972.34	3146.52	3325.99	2976.74	2627.46	3146.52	2573.36	3018.3	4038.61	3303.0	2777.33	3794.3	2591.27	2664.15	2468.49	2573.36	2468.49	1709.26	1561.89	3124.78	3103.19	3589.58	1233.75	2434.5	2777.33	3982.99	3540.14	3280.18	3372.43	3443.31	2319.15	2555.58	2075.59	2555.58	2224.63	2119.22	3349.13	2367.9	3564.78	2104.58	2537.92	2664.15	2796.65	3168.41	2895.31	2976.74	2627.46	2682.69	2163.77	2075.59	2163.77	3103.19	2573.36	2384.37	1639.59	3212.66	3564.78	3103.19	2796.65	2816.11	2895.31	2739.08	2485.67	1104.13	3768.09	1950.0	1991.0	1923.14	3491.39	2367.9	4450.27	2335.28	2319.15	3235.01	2240.11	2915.45	406.31	373.81	409.15	332.14	435.55	529.06	379.04	454.09	466.88	441.64	395.18	450.94	346.29	376.41	414.87	547.75	532.74
DHRS4	791.35	902.89	1639.59	860.08	1662.49	2193.99	2004.85	2148.82	1781.89	2384.37	1709.26	1216.75	1991.0	1259.69	1151.06	1561.89	1685.71	1617.0	1896.65	1350.18	1870.53	1397.83	1127.35	1477.58	1427.22	1259.69	1745.2	1819.35	2720.15	995.0	1551.09	3081.75	2104.58	1561.89	1561.89	2303.12	1487.87	1617.0	1268.46	1427.22	1427.22	1331.57	1250.98	1388.16	1674.06	2502.97	1417.35	1242.34	1540.37	1304.15	2104.58	1561.89	2133.97	1407.55	1388.16	1088.92	2018.8	1617.0	2451.44	1268.46	1427.22	1304.15	1151.06	1745.2	1529.73	1745.2	1651.0	1369.04	1467.37	1277.29	1769.57	2384.37	1467.37	1088.92	1369.04	2976.74	2133.97	2061.24	1250.98	1487.87	1001.93	2047.0	1605.83	1023.0	785.88	1250.98	1175.27	1051.79	1721.16	1304.15	1487.87	1143.1	1397.83	1322.37	1242.34	854.13	941.27	1233.75	1073.91	1250.98
DHRS4L2	669.92	796.86	1259.69	642.59	1651.0	1651.0	1583.71	2061.24	1519.15	1844.76	1233.75	688.78	1605.83	1286.18	866.07	1313.23	1447.15	1313.23	1950.0	759.08	1388.16	1127.35	1199.98	1159.07	1096.5	775.05	1407.55	1551.09	2417.67	638.15	1331.57	2451.44	1167.14	1572.76	1617.0	1561.89	1167.14	1104.13	1096.5	1277.29	1151.06	1008.9	988.12	1225.22	1295.13	3540.14	1066.48	1159.07	1277.29	1242.34	2133.97	1111.82	1199.98	981.29	1143.1	909.17	1487.87	1030.12	1447.15	1059.11	909.17	748.61	1081.39	1322.37	1322.37	1583.71	1457.23	1143.1	1295.13	1096.5	1044.52	2148.82	988.12	988.12	1051.79	1674.06	1540.37	1397.83	909.17	1208.34	1096.5	1277.29	1225.22	656.11	532.74	830.75	785.88	507.46	1111.82	620.67	780.44	718.08	753.83	620.67	684.02	616.37	571.05	728.11	718.08	796.86
DNAJC11	406.31	921.88	896.64	624.99	1331.57	1304.15	1242.34	1369.04	1551.09	1277.29	1096.5	1208.34	1572.76	1135.2	1467.37	1674.06	1457.23	1508.65	1540.37	915.51	1191.69	995.0	728.11	1397.83	995.0	934.76	1225.22	1467.37	1498.22	563.18	1135.2	1135.2	1457.23	1199.98	1617.0	1143.1	1295.13	1151.06	1183.45	988.12	1008.9	974.5	1081.39	1437.15	1096.5	1340.84	1059.11	1407.55	1359.57	1143.1	1388.16	1277.29	1457.23	1208.34	1208.34	1051.79	1111.82	1001.93	1457.23	1044.52	1111.82	1001.93	1583.71	1378.57	1369.04	1295.13	1628.26	1119.56	1159.07	1259.69	703.28	1508.65	988.12	1008.9	1059.11	1340.84	1242.34	1242.34	1015.93	1225.22	1151.06	1044.52	1407.55	507.46	518.15	460.44	450.94	507.46	607.87	476.71	518.15	624.99	620.67	656.11	575.03	665.29	579.04	599.49	633.73	651.58
EFCAB4B	46.5	128.79	154.42	94.01	656.11	603.67	395.18	387.02	423.61	327.56	397.93	323.03	314.17	503.95	361.04	529.06	493.56	555.41	363.56	450.94	583.07	279.14	297.17	693.58	525.39	211.31	521.76	525.39	473.41	121.79	381.68	688.78	616.37	358.54	460.44	356.05	353.59	348.71	890.44	339.14	329.84	226.54	457.25	521.76	381.68	555.41	381.68	503.95	500.46	447.82	547.75	536.45	412.0	466.88	836.53	514.56	343.89	253.23	450.94	583.07	567.1	208.38	371.22	444.72	660.68	555.41	612.11	387.02	656.11	480.04	159.9	651.58	371.22	267.73	301.33	819.3	521.76	371.22	363.56	353.59	473.41	563.18	435.55	11.38	24.28	41.81	24.28	21.47	20.26	17.77	22.59	19.39	25.91	25.17	30.34	25.17	18.97	15.56	21.78	29.48
EMC10	1477.58	1697.45	2627.46	1628.26	3190.46	2682.69	3280.18	3639.7	2915.45	2875.3	3280.18	2555.58	3168.41	2739.08	3303.0	3235.01	3212.66	3018.3	3372.43	2384.37	3146.52	2163.77	2178.83	2835.7	2555.58	1936.53	3235.01	3372.43	3081.75	1819.35	2915.45	2720.15	3742.05	3103.19	3060.45	2417.67	3103.19	2997.45	2935.74	2255.7	2609.3	2720.15	2434.5	2976.74	2287.2	3467.27	2573.36	3103.19	2609.3	3018.3	3589.58	2976.74	2956.17	3060.45	2335.28	2758.13	2485.67	2303.12	3235.01	3443.31	2796.65	2224.63	3372.43	3467.27	3303.0	2855.44	3039.3	2739.08	3146.52	2537.92	2018.8	3716.2	2417.67	1896.65	1963.57	3515.68	2720.15	4038.61	2816.11	2520.38	2997.45	2627.46	2895.31	1081.39	1963.57	1175.27	1059.11	1111.82	1044.52	884.29	1073.91	1233.75	1216.75	1781.89	1159.07	1487.87	1030.12	1023.0	1427.22	1030.12
