	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.RVPV.1726.SM.5SI8C	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.11TT1.1626.SM.5EQL7	GTEX.145LU.0526.SM.5O9AT	GTEX.ZY6K.0326.SM.5SIBB	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ASNA1	0.21	2090.03	2502.97	2271.4	1819.35	2682.69	2816.11	1216.75	1950.0	769.69	454.09	2485.67	2319.15	2976.74	2224.63	995.0	2075.59	2956.17	1059.11	1313.23	2061.24	1127.35	1697.45	1883.54	2400.97	2178.83	836.53	2609.3	2609.3	718.08	2816.11	2720.15	1508.65	2319.15	1733.13	1551.09
ASS1	0.99	2758.13	5076.84	9215.48	1977.24	5112.16	8022.41	1437.15	1208.34	733.19	1950.0	2875.3	2627.46	15392.14	5555.65	1268.46	547.75	2417.67	5479.15	2451.44	4607.24	1159.07	1023.0	1909.85	1685.71	3190.46	307.69	3491.39	14065.74	551.56	5403.7	9740.98	934.76	3982.99	1023.0	2351.53
ATP2C2	0.32	915.51	884.29	1216.75	921.88	1697.45	1639.59	830.75	1794.29	796.86	143.01	2032.85	1167.14	1304.15	1059.11	64.8	674.59	1081.39	854.13	2271.4	796.86	457.25	679.29	1208.34	1073.91	1540.37	97.36	1397.83	660.68	642.59	2104.58	1697.45	255.0	974.5	647.07	454.09
ATP5G3	642.59	3665.02	4704.07	4671.57	2758.13	8305.36	10368.08	2240.11	4972.34	2956.17	1923.14	5147.73	7911.95	7749.1	5872.48	1991.0	3794.3	8840.04	4066.71	4152.18	4639.29	3690.52	4704.07	3395.89	3716.2	8022.41	2468.49	10084.54	9740.98	2537.92	7382.04	7130.55	3349.13	7230.1	2178.83	3955.48
BOLA2B	0.3	974.5	1096.5	2502.97	647.07	1991.0	2384.37	511.0	1529.73	438.59	339.14	1794.29	2209.26	2148.82	1594.73	518.15	825.0	1617.0	1066.48	808.0	1259.69	603.67	902.89	1378.57	679.29	2351.53	688.78	1088.92	1551.09	403.5	1477.58	2224.63	1073.91	1447.15	341.51	1183.45
BOLA3	0.28	412.0	547.75	1447.15	406.31	1216.75	1233.75	412.0	638.15	214.27	139.07	1030.12	1001.93	921.88	536.45	543.96	753.83	1167.14	423.61	379.04	860.08	303.44	555.41	764.36	555.41	1388.16	212.78	1151.06	1350.18	214.27	1059.11	1081.39	525.39	947.83	525.39	607.87
C11orf24	221.86	423.61	400.71	1059.11	417.77	679.29	669.92	551.56	403.5	376.41	314.17	575.03	595.34	785.88	470.14	490.14	412.0	624.99	358.54	341.51	638.15	323.03	397.93	529.06	395.18	547.75	536.45	866.07	599.49	323.03	521.76	813.63	361.04	521.76	361.04	612.11
C17orf89	0.54	616.37	819.3	2351.53	518.15	2255.7	1583.71	723.08	1628.26	454.09	769.69	1199.98	1617.0	1909.85	909.17	341.51	624.99	836.53	493.56	1199.98	902.89	336.79	836.53	928.3	684.02	1369.04	493.56	1857.6	1447.15	239.52	1081.39	1561.89	1104.13	1340.84	718.08	753.83
C19orf10	0.46	3146.52	2682.69	6381.92	2032.85	3124.78	5366.37	2997.45	2976.74	2163.77	1313.23	3349.13	4388.98	5112.16	2520.38	961.07	2520.38	4802.93	3874.05	3146.52	4298.64	2976.74	2335.28	2417.67	2502.97	5006.93	1757.34	4066.71	3874.05	1457.23	4802.93	6699.25	1909.85	3639.7	2193.99	3395.89
C19orf70	0.47	1143.1	1628.26	3168.41	1350.18	2240.11	2701.35	884.29	1806.78	928.3	397.93	2004.85	2271.4	2119.22	1561.89	769.69	1487.87	1963.57	1037.29	1159.07	1806.78	819.3	1477.58	1781.89	1583.71	2367.9	693.58	2758.13	2777.33	384.34	2287.2	2417.67	967.76	1977.24	1143.1	1242.34
C21orf33	0.52	1733.13	2271.4	2701.35	1697.45	2835.7	2384.37	947.83	1883.54	1001.93	525.39	2400.97	2816.11	2335.28	2240.11	890.44	1844.76	2468.49	1233.75	1674.06	2104.58	1151.06	1819.35	1857.6	1662.49	2209.26	1119.56	2240.11	2485.67	902.89	2485.67	2976.74	1674.06	1923.14	1936.53	1359.57
CCDC167	0.06	323.03	297.17	595.34	242.88	842.36	884.29	87.03	490.14	279.14	223.41	642.59	532.74	612.11	366.09	275.28	299.25	660.68	237.86	358.54	791.35	212.78	348.71	309.83	366.09	708.18	248.0	785.88	718.08	218.79	748.61	1001.93	366.09	441.64	228.13	476.71
CD63	974.5	36357.37	43537.38	52497.92	22072.07	53601.03	76861.91	45072.75	37639.55	23169.48	21026.65	47974.16	52497.92	85876.94	43840.21	12764.83	38966.94	51417.5	40621.74	34876.28	41763.8	34396.12	36610.26	29327.18	27174.14	58655.36	16960.78	62431.08	78476.96	21172.91	57847.82	53230.77	21617.82	50359.33	16045.82	32540.65
CHCHD2	1.35	5112.16	4972.34	11267.44	3589.58	8305.36	12076.21	6792.79	4769.75	5366.37	2018.8	7966.99	7642.41	8479.89	4450.27	3212.66	5112.16	9540.5	10733.74	6164.49	7857.29	5633.22	5292.48	5995.9	4802.93	8247.98	4123.49	6840.04	13586.57	2520.38	8305.36	7966.99	2739.08	6471.02	4210.15	7331.05
CLN6	0.0	638.15	693.58	1175.27	620.67	1167.14	1044.52	361.04	848.22	249.73	239.52	848.22	848.22	1167.14	633.73	406.31	688.78	1030.12	264.03	400.71	759.08	320.8	521.76	629.35	543.96	1001.93	273.37	1225.22	759.08	186.4	954.43	1233.75	642.59	995.0	616.37	555.41
CLPB	0.16	162.14	201.25	283.05	181.28	309.83	373.81	56.28	221.86	177.53	170.25	157.68	251.48	414.87	208.38	101.54	161.02	325.29	211.31	180.02	191.67	146.03	127.89	120.94	116.78	363.56	164.42	314.17	242.88	143.01	211.31	351.14	205.5	223.41	110.43	169.07
CNPY2	0.53	2133.97	2758.13	3794.3	1794.29	3395.89	5441.3	1088.92	2895.31	1447.15	941.27	3639.7	3467.27	3639.7	2935.74	1081.39	2701.35	3103.19	1561.89	2384.37	2555.58	1870.53	2119.22	3235.01	2816.11	4066.71	1340.84	3716.2	4607.24	1030.12	4607.24	5831.91	2935.74	3168.41	2148.82	2061.24
COPE	0.91	3395.89	3146.52	7032.37	2468.49	6699.25	7081.29	4010.71	3146.52	1936.53	1457.23	5076.84	4481.23	5913.33	3124.78	1697.45	2537.92	5441.3	3235.01	2796.65	5633.22	2271.4	2739.08	3081.75	2537.92	5594.3	2287.2	6164.49	5441.3	1119.56	5672.41	7537.18	1529.73	3982.99	2537.92	2956.17
COPG1	2163.77	3212.66	3039.3	4543.8	2591.27	3847.29	5147.73	2895.31	2915.45	1896.65	2240.11	3589.58	4268.94	4972.34	2720.15	1794.29	3060.45	4066.71	2451.44	2739.08	3982.99	2720.15	2777.33	2400.97	2451.44	3901.01	2004.85	4836.35	4066.71	2119.22	4328.55	5633.22	2701.35	3928.15	2451.44	2796.65
COPS6	928.3	1561.89	2032.85	3168.41	1378.57	2701.35	3060.45	780.44	2133.97	1685.71	1697.45	2520.38	2351.53	2502.97	1519.15	1551.09	1477.58	2417.67	1369.04	1662.49	2061.24	1417.35	1407.55	1733.13	1605.83	1977.24	1963.57	2451.44	2997.45	1427.22	2468.49	3257.52	1923.14	2224.63	1936.53	1794.29
CYC1	1.03	2271.4	2090.03	5255.91	1427.22	2720.15	3982.99	1605.83	1806.78	896.64	612.11	2119.22	3039.3	4388.98	2193.99	638.15	1769.57	4210.15	1487.87	1487.87	2193.99	1015.93	1721.16	2133.97	2104.58	4010.71	748.61	3928.15	3168.41	543.96	2956.17	5041.77	1259.69	2935.74	1250.98	2468.49
DAK	0.43	647.07	1286.18	854.13	974.5	1697.45	1199.98	334.46	836.53	379.04	291.04	1175.27	866.07	1250.98	1208.34	575.03	688.78	1151.06	547.75	764.36	836.53	480.04	493.56	872.1	587.13	902.89	490.14	1268.46	1388.16	366.09	1340.84	1268.46	743.43	848.22	825.0	529.06
DCPS	0.01	281.09	299.25	521.76	312.0	438.59	583.07	128.79	441.64	147.06	101.54	454.09	457.25	483.38	239.52	309.83	275.28	521.76	177.53	212.78	420.68	126.12	232.94	329.84	273.37	514.56	206.94	466.88	463.65	110.43	438.59	514.56	289.02	447.82	323.03	329.84
DDOST	988.12	3564.78	4239.45	5076.84	3614.55	4736.79	6699.25	3235.01	3190.46	2255.7	1936.53	5255.91	4038.61	5006.93	4607.24	2351.53	3124.78	6037.61	3540.14	2777.33	4802.93	3146.52	3168.41	3060.45	3716.2	5366.37	2502.97	5112.16	6250.56	2468.49	6471.02	6887.62	3081.75	4903.87	3257.52	3742.05
DHDDS	954.43	647.07	674.59	785.88	579.04	909.17	836.53	457.25	660.68	289.02	244.57	713.11	764.36	954.43	728.11	483.38	656.11	743.43	417.77	426.57	688.78	348.71	679.29	490.14	457.25	802.41	351.14	866.07	665.29	242.88	884.29	967.76	660.68	830.75	559.28	563.18
ELOVL1	0.3	2682.69	2997.45	4736.79	3235.01	3847.29	3716.2	2240.11	3639.7	1721.16	1313.23	4419.52	3235.01	4512.4	3018.3	1167.14	3467.27	3690.52	2104.58	2255.7	4095.0	2319.15	2627.46	2701.35	2627.46	3467.27	1259.69	3901.01	4575.41	1923.14	3614.55	5041.77	3212.66	3235.01	3280.18	2796.65
ERAL1	0.34	733.19	723.08	819.3	688.78	1030.12	1008.9	500.46	669.92	271.48	493.56	909.17	941.27	902.89	674.59	432.53	748.61	878.17	414.87	473.41	842.36	336.79	563.18	607.87	825.0	743.43	493.56	915.51	902.89	334.46	796.86	860.08	764.36	759.08	775.05	718.08
FAM173B	0.0	159.9	220.32	299.25	170.25	348.71	414.87	40.93	241.19	120.94	87.03	381.68	226.54	241.19	169.07	189.02	258.57	241.19	119.26	139.07	258.57	106.63	153.34	162.14	204.07	260.38	101.54	307.69	295.11	100.13	316.37	307.69	218.79	242.88	262.2	202.66
FERMT3	854.13	2075.59	813.63	1697.45	486.75	2682.69	2720.15	974.5	2240.11	529.06	872.1	2502.97	2758.13	1662.49	1437.15	1015.93	748.61	1883.54	830.75	1685.71	2976.74	896.64	1183.45	1015.93	698.41	5255.91	1250.98	3235.01	2193.99	397.93	2400.97	6250.56	1104.13	1781.89	1023.0	1340.84
FIBP	0.39	1159.07	1350.18	2047.0	1051.79	1896.65	2018.8	579.04	1277.29	684.02	660.68	1639.59	1605.83	1909.85	1199.98	884.29	1167.14	1870.53	599.49	633.73	1721.16	633.73	1111.82	1417.35	872.1	1651.0	679.29	2178.83	2047.0	521.76	1794.29	2485.67	1066.48	1427.22	1233.75	1088.92
FUT3	0.0	275.28	303.44	529.06	193.01	426.57	688.78	226.54	256.78	51.71	5.41	265.87	532.74	559.28	314.17	3.99	327.56	460.44	165.57	314.17	381.68	96.01	181.28	137.14	256.78	718.08	15.68	633.73	325.29	57.08	500.46	947.83	127.0	555.41	312.0	155.5
G6PC3	0.51	1417.35	2119.22	3081.75	2018.8	2555.58	3372.43	1096.5	1896.65	633.73	563.18	2271.4	2133.97	2956.17	1519.15	620.67	1769.57	2047.0	1208.34	1268.46	2090.03	780.44	1242.34	1044.52	1127.35	3372.43	571.05	3018.3	3564.78	540.19	2758.13	3235.01	1286.18	2875.3	1477.58	1378.57
GALE	0.31	1950.0	1685.71	2720.15	1175.27	2739.08	2875.3	591.22	2163.77	738.29	511.0	2351.53	2384.37	2956.17	1709.26	146.03	1331.57	2573.36	1119.56	2148.82	2573.36	808.0	928.3	1233.75	1216.75	3060.45	348.71	2573.36	1685.71	463.65	2682.69	3955.48	896.64	2451.44	1331.57	1183.45
GCAT	0.21	231.32	226.54	348.71	190.34	346.29	429.54	49.56	193.01	80.57	48.52	312.0	258.57	409.15	312.0	92.7	163.28	320.8	131.51	229.72	269.6	67.59	136.19	262.2	417.77	423.61	51.35	511.0	384.34	73.03	532.74	423.61	130.6	339.14	182.55	161.02
GYLTL1B	0.53	44.25	165.57	309.83	281.09	267.73	656.11	59.13	135.24	128.79	98.04	301.33	190.34	346.29	221.86	26.1	111.21	271.48	123.5	281.09	170.25	170.25	125.24	172.65	197.09	122.64	84.04	215.77	389.72	100.83	511.0	902.89	51.71	173.85	159.9	172.65
HKDC1	0.0	223.41	157.68	316.37	69.03	503.95	480.04	62.12	109.66	120.1	3.79	189.02	379.04	575.03	231.32	4.03	195.72	152.28	103.69	33.3	343.89	14.67	138.1	82.87	96.01	669.92	29.27	1044.52	295.11	11.04	204.07	764.36	177.53	497.0	271.48	54.33
HMBS	0.0	395.18	420.68	764.36	348.71	633.73	674.59	277.2	325.29	255.0	88.88	454.09	579.04	603.67	303.44	162.14	305.55	543.96	267.73	289.02	651.58	273.37	348.71	301.33	232.94	579.04	169.07	748.61	486.75	124.37	486.75	1030.12	279.14	583.07	293.07	356.05
HSD17B10	0.46	1769.57	1883.54	3847.29	1685.71	2520.38	2935.74	1322.37	1498.22	1199.98	551.56	2777.33	2271.4	3018.3	1819.35	842.36	1407.55	2758.13	1208.34	1540.37	2434.5	1175.27	1685.71	2061.24	1519.15	2627.46	708.18	2816.11	3235.01	567.1	2976.74	4575.41	1540.37	2555.58	1135.2	1883.54
ICT1	0.0	651.58	743.43	733.19	518.15	954.43	974.5	363.56	808.0	199.85	229.72	860.08	961.07	941.27	688.78	420.68	748.61	884.29	420.68	409.15	688.78	312.0	708.18	703.28	688.78	1015.93	281.09	961.07	961.07	190.34	974.5	988.12	616.37	915.51	665.29	660.68
IMPDH2	0.83	2555.58	1936.53	7280.4	1397.83	2915.45	4481.23	1369.04	1457.23	2018.8	1037.29	2255.7	3039.3	4239.45	2133.97	1340.84	1295.13	2976.74	2148.82	1594.73	2739.08	1233.75	1437.15	2664.15	3589.58	4481.23	1617.0	4481.23	3639.7	1081.39	4095.0	6983.79	1457.23	3742.05	1457.23	2090.03
IRAK1	0.83	1119.56	872.1	2855.44	703.28	1909.85	2018.8	1073.91	995.0	620.67	559.28	836.53	1745.2	2400.97	1183.45	808.0	743.43	1806.78	738.29	1167.14	1427.22	660.68	941.27	890.44	463.65	1883.54	595.34	2384.37	1135.2	438.59	941.27	2758.13	825.0	1628.26	647.07	1015.93
ITPA	0.32	967.76	866.07	1199.98	480.04	1857.6	1757.34	743.43	866.07	287.01	389.72	1359.57	1295.13	1721.16	928.3	616.37	1023.0	1015.93	633.73	669.92	1369.04	651.58	878.17	1104.13	947.83	1268.46	486.75	1923.14	1529.73	281.09	1447.15	1561.89	842.36	1096.5	941.27	854.13
KIAA0930	202.66	1183.45	1037.29	1340.84	486.75	1427.22	1721.16	406.31	1175.27	669.92	775.05	1127.35	1477.58	1794.29	954.43	167.9	713.11	1259.69	679.29	808.0	1340.84	607.87	830.75	688.78	547.75	1896.65	473.41	1806.78	1175.27	454.09	1662.49	2133.97	981.29	1008.9	759.08	1388.16
LAMTOR1	0.39	3190.46	4450.27	5112.16	3235.01	4298.64	5006.93	2935.74	4095.0	1457.23	1225.22	4512.4	4836.35	5633.22	4298.64	1378.57	3901.01	4903.87	2417.67	2895.31	4298.64	1991.0	3419.52	3768.09	3103.19	5076.84	1529.73	5292.48	5479.15	1721.16	4607.24	5711.87	3235.01	4575.41	3372.43	2895.31
LMAN2	255.0	3303.0	3955.48	6381.92	4010.71	3372.43	6426.31	2178.83	4358.66	2434.5	1896.65	7230.1	4419.52	5791.62	4671.57	2758.13	3515.68	6935.54	4358.66	3212.66	5183.54	2816.11	2573.36	3235.01	3589.58	6121.9	2075.59	3768.09	5995.9	2609.3	7331.05	7433.4	3280.18	4512.4	2796.65	4328.55
LSM7	0.79	1437.15	866.07	3982.99	780.44	2591.27	3081.75	1397.83	1963.57	1437.15	1088.92	2018.8	2090.03	2758.13	1628.26	947.83	988.12	1709.26	1662.49	1498.22	2451.44	995.0	1001.93	2209.26	1331.57	2485.67	1437.15	2384.37	3168.41	543.96	2555.58	3443.31	1487.87	1977.24	1250.98	1769.57
MECR	0.06	395.18	463.65	713.11	341.51	555.41	551.56	314.17	395.18	202.66	101.54	444.72	595.34	432.53	343.89	293.07	339.14	490.14	212.78	320.8	490.14	208.38	273.37	406.31	232.94	480.04	228.13	497.0	551.56	185.11	733.19	536.45	351.14	521.76	351.14	307.69
MED8	0.52	825.0	660.68	1397.83	543.96	1135.2	995.0	684.02	890.44	379.04	583.07	842.36	1259.69	1081.39	723.08	201.25	954.43	981.29	713.11	633.73	1023.0	532.74	703.28	595.34	647.07	1407.55	460.44	1208.34	1104.13	500.46	1104.13	1498.22	802.41	1159.07	703.28	693.58
MMAB	0.0	1225.22	1870.53	1832.01	1378.57	1923.14	2400.97	450.94	1662.49	620.67	305.55	1936.53	2032.85	1721.16	1167.14	575.03	1167.14	1304.15	860.08	1268.46	1991.0	559.28	1295.13	1233.75	1498.22	2209.26	483.38	2133.97	1991.0	503.95	2485.67	2701.35	1051.79	2271.4	1242.34	1183.45
MON1A	0.0	172.65	190.34	339.14	201.25	293.07	314.17	84.04	267.73	107.38	63.0	242.88	255.0	264.03	167.9	139.07	237.86	260.38	98.73	125.24	264.03	105.89	173.85	217.27	198.47	297.17	88.26	312.0	228.13	71.0	242.88	312.0	177.53	205.5	218.79	255.0
MRPL12	0.27	1051.79	921.88	2417.67	684.02	1662.49	1936.53	563.18	1127.35	540.19	389.72	1081.39	2047.0	2004.85	791.35	356.05	915.51	1572.76	713.11	684.02	1498.22	511.0	848.22	947.83	698.41	1896.65	547.75	1819.35	1277.29	318.57	1350.18	2573.36	733.19	1216.75	713.11	1397.83
MRPL20	0.71	3639.7	2976.74	5872.48	2271.4	4836.35	4181.07	2935.74	3060.45	1709.26	1407.55	3639.7	4328.55	4181.07	2664.15	1551.09	3280.18	3212.66	2417.67	2335.28	3955.48	1605.83	3280.18	3847.29	2351.53	3564.78	2075.59	4038.61	4358.66	819.3	4512.4	6164.49	2875.3	3443.31	3325.99	3419.52
MRPL27	0.0	1417.35	1477.58	2255.7	1277.29	2739.08	2271.4	470.14	2104.58	599.49	567.1	1628.26	2133.97	2163.77	1183.45	1059.11	1745.2	2032.85	842.36	802.41	1594.73	547.75	1233.75	1437.15	1378.57	1936.53	703.28	2271.4	2209.26	540.19	1896.65	2119.22	1457.23	1936.53	1268.46	1447.15
MRPL37	0.21	1037.29	1407.55	1540.37	981.29	1794.29	1781.89	753.83	995.0	507.46	303.44	1127.35	1437.15	1721.16	1397.83	660.68	1051.79	1936.53	688.78	738.29	1208.34	591.22	884.29	1001.93	1159.07	1551.09	450.94	1594.73	1639.59	529.06	1498.22	1832.01	921.88	1359.57	1066.48	947.83
MRPL40	0.27	878.17	1111.82	961.07	599.49	1331.57	1508.65	429.54	981.29	316.37	162.14	1304.15	1159.07	1044.52	866.07	532.74	878.17	1111.82	587.13	571.05	1001.93	348.71	733.19	1023.0	915.51	1066.48	293.07	1081.39	1540.37	215.77	1477.58	1225.22	884.29	1037.29	791.35	743.43
MRPS11	0.21	647.07	890.44	1167.14	738.29	1407.55	1350.18	497.0	878.17	379.04	312.0	947.83	1037.29	1199.98	830.75	463.65	764.36	1175.27	525.39	511.0	934.76	518.15	674.59	785.88	764.36	915.51	551.56	1216.75	1388.16	299.25	1119.56	1225.22	718.08	902.89	780.44	703.28
MRPS15	215.77	1167.14	1950.0	2451.44	1135.2	2835.7	2739.08	1242.34	1651.0	884.29	703.28	1551.09	2935.74	2400.97	2209.26	656.11	1745.2	2451.44	1745.2	1388.16	1721.16	974.5	1572.76	1662.49	1551.09	2537.92	764.36	2451.44	2701.35	1044.52	2193.99	3212.66	1594.73	2555.58	1304.15	1340.84
MRPS16	1844.76	1407.55	1467.37	2335.28	1135.2	2148.82	2537.92	819.3	1498.22	748.61	693.58	1540.37	2061.24	2240.11	1572.76	708.18	1295.13	2287.2	1037.29	1175.27	1685.71	896.64	1250.98	1369.04	1369.04	2468.49	633.73	2451.44	2075.59	620.67	2032.85	2537.92	1540.37	1605.83	1447.15	1487.87
MRPS7	0.52	1617.0	1651.0	2591.27	1159.07	2075.59	1757.34	808.0	1508.65	559.28	490.14	1844.76	2193.99	1991.0	1467.37	563.18	1551.09	2032.85	1135.2	1191.69	1605.83	688.78	1081.39	1594.73	1233.75	1844.76	698.41	1991.0	1923.14	607.87	2133.97	2520.38	1388.16	1628.26	1044.52	1806.78
MTCH2	0.0	1583.71	1757.34	2240.11	1096.5	2224.63	2537.92	769.69	1594.73	612.11	417.77	1685.71	2104.58	2573.36	1685.71	713.11	1639.59	2520.38	921.88	860.08	1561.89	890.44	1508.65	1183.45	1104.13	2573.36	660.68	2895.31	2271.4	559.28	1883.54	2319.15	1322.37	2018.8	1183.45	1508.65
NDUFA9	0.64	1183.45	1104.13	2133.97	819.3	2061.24	1883.54	1551.09	1159.07	403.5	334.46	1427.22	2119.22	2224.63	1208.34	397.93	1015.93	2075.59	629.35	1059.11	1388.16	928.3	1159.07	872.1	825.0	1709.26	642.59	2090.03	1697.45	395.18	1427.22	1936.53	1051.79	1628.26	866.07	1081.39
NDUFS3	0.32	1605.83	2417.67	2303.12	1225.22	3325.99	3124.78	2133.97	2193.99	941.27	802.41	2468.49	2485.67	2240.11	2018.8	1096.5	2148.82	2319.15	1225.22	1304.15	1883.54	1167.14	2032.85	2240.11	1923.14	2335.28	1313.23	3257.52	3168.41	928.3	2777.33	2591.27	1950.0	2255.7	1651.0	1111.82
NDUFV3	303.44	633.73	616.37	540.19	575.03	651.58	759.08	346.29	684.02	307.69	281.09	733.19	679.29	660.68	591.22	497.0	579.04	748.61	373.81	400.71	595.34	366.09	543.96	591.22	587.13	698.41	444.72	780.44	733.19	260.38	819.3	759.08	555.41	748.61	486.75	624.99
