	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.BT.A20J.01A.11R.A14Y.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.LN.A8HZ.01A.11R.A36D.31	TCGA.L5.A88Z.01A.11R.A36D.31	GTEX.11NV4.1326.SM.5HL6V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13N11.0926.SM.5IJG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.131XE.0326.SM.5LZVO	GTEX.11DXZ.0126.SM.5EGGY	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07
CERS2	3794.3	3564.78	3955.48	1529.73	3901.01	3372.43	1819.35	1977.24	9945.68	14163.58	7280.4	22692.63	9474.59	19754.96	13681.08	7180.15	15824.9	25354.3	23009.42	4802.93
CMBL	166.73	137.14	253.23	275.28	318.57	177.53	126.12	49.21	8247.98	4095.0	1135.2	7589.61	1605.83	12853.63	3540.14	301.33	10014.87	1498.22	7803.01	579.04
CPPED1	463.65	193.01	199.85	79.45	507.46	42.41	206.94	191.67	435.55	775.05	518.15	660.68	559.28	1127.35	733.19	167.9	708.18	884.29	1304.15	0.0
CPT2	559.28	204.07	435.55	229.72	248.0	579.04	94.67	124.37	1183.45	3847.29	3168.41	2287.2	1991.0	2537.92	1794.29	373.81	1037.29	2148.82	3491.39	0.0
CRYL1	356.05	753.83	547.75	387.02	743.43	1519.15	237.86	224.97	4607.24	9344.14	9945.68	7642.41	3349.13	9409.14	10084.54	567.1	7857.29	5219.6	6935.54	0.0
CRYZ	1350.18	1119.56	379.04	483.38	334.46	417.77	242.88	256.78	3103.19	4575.41	2004.85	3901.01	3419.52	4481.23	4836.35	1008.9	4836.35	6652.97	6337.83	0.0
CTAGE5	497.0	567.1	409.15	674.59	480.04	603.67	579.04	366.09	2816.11	2400.97	2417.67	1594.73	1709.26	1519.15	1304.15	1175.27	1709.26	1388.16	1447.15	0.0
DDC	8.45	0.0	0.0	2.34	15.0	2.34	5.45	10.71	3168.41	1081.39	1023.0	2335.28	1037.29	2075.59	2133.97	40.07	2287.2	1233.75	3124.78	0.0
DHRS4-AS1	220.32	104.42	87.65	167.9	221.86	199.85	97.36	62.56	1081.39	312.0	187.71	723.08	147.06	483.38	514.56	90.77	420.68	253.23	500.46	0.0
DHRSX	197.09	197.09	206.94	137.14	146.03	941.27	112.77	105.15	327.56	420.68	155.5	647.07	249.73	486.75	371.22	185.11	447.82	555.41	698.41	0.0
DMRTA1	12.27	0.69	9.48	0.89	0.0	0.0	5.02	6.46	403.5	212.78	109.66	231.32	28.45	158.79	65.72	118.43	59.13	144.01	211.31	0.0
DNAJC16	242.88	127.0	138.1	67.59	107.38	220.32	114.36	144.01	368.65	358.54	153.34	896.64	320.8	518.15	387.02	140.04	351.14	348.71	279.14	110.43
DNAJC22	37.59	5.73	3.41	5.23	20.56	2.03	0.01	0.0	1044.52	332.14	366.09	547.75	624.99	500.46	265.87	119.26	329.84	579.04	299.25	49.91
ECH1	7537.18	5517.27	6792.79	7803.01	9088.59	7382.04	3982.99	2758.13	13681.08	13586.57	26067.14	24321.43	23656.34	25005.23	11827.67	4607.24	20451.65	13968.57	35363.15	0.0
ENTPD5	813.63	536.45	297.17	98.73	142.01	529.06	132.44	108.9	2351.53	3257.52	1583.71	4802.93	684.02	8305.36	1709.26	267.73	5479.15	2835.7	15715.58	0.0
ETFDH	612.11	559.28	299.25	483.38	279.14	384.34	189.02	262.2	2287.2	6607.01	5255.91	5366.37	3060.45	4095.0	1733.13	688.78	2855.44	2591.27	8305.36	234.57
F5	368.65	13.22	256.78	36.53	40.36	255.0	3.2	4.21	6471.02	30785.28	3018.3	15392.14	3060.45	13399.51	39237.98	1467.37	14065.74	11992.79	11584.24	0.0
FAM47E	518.15	96.01	183.82	59.97	156.59	156.59	5.63	30.12	172.65	490.14	343.89	825.0	1127.35	579.04	400.71	665.29	688.78	587.13	988.12	0.0
FAM47E-STBD1	426.57	43.63	170.25	47.5	87.65	209.84	25.72	78.34	1250.98	329.84	473.41	1427.22	1857.6	1073.91	376.41	249.73	842.36	607.87	4328.55	0.0
FDX1	198.47	234.57	490.14	242.88	130.6	314.17	147.06	155.5	647.07	753.83	967.76	1051.79	392.44	1208.34	796.86	346.29	603.67	633.73	1233.75	0.0
GALM	848.22	279.14	239.52	521.76	656.11	642.59	95.34	59.55	1551.09	1313.23	1167.14	2609.3	884.29	2287.2	860.08	141.02	1721.16	1216.75	3349.13	2032.85
GATM	5995.9	59.13	1159.07	1832.01	961.07	559.28	92.05	82.87	53230.77	13681.08	11035.54	31650.8	16496.96	50359.33	51775.15	4268.94	55491.3	6745.86	29531.18	0.0
GLUD2	29.48	9.06	12.83	5.82	199.85	20.71	6.21	4.17	29.48	381.68	285.03	575.03	55.89	518.15	224.97	108.9	281.09	139.07	368.65	0.0
GLYATL1	4.94	2.01	0.0	0.3	0.69	1.33	0.13	0.0	34396.12	42054.3	1051.79	30361.44	5441.3	67377.47	46986.85	287.01	38164.99	16960.78	78476.96	0.0
GNE	669.92	156.59	228.13	73.03	209.84	361.04	232.94	265.87	1572.76	2075.59	253.23	2148.82	1151.06	2384.37	3257.52	314.17	2895.31	2739.08	2720.15	115.16
HADH	2133.97	1259.69	995.0	1883.54	2417.67	2739.08	587.13	376.41	4639.29	5791.62	3303.0	5872.48	3190.46	6381.92	4123.49	802.41	3589.58	3665.02	9740.98	0.0
HADHB	1733.13	1277.29	1963.57	2104.58	1651.0	2835.7	1277.29	1417.35	3103.19	8191.0	7280.4	9945.68	6561.36	5633.22	4152.18	2193.99	3820.7	5329.3	9876.98	0.0
HIBCH	318.57	486.75	1350.18	738.29	540.19	518.15	182.55	256.78	2209.26	2855.44	947.83	2627.46	769.69	2303.12	1437.15	1015.93	934.76	1096.5	2178.83	0.0
HOGA1	5.32	116.78	21.32	10.16	7.94	34.75	45.21	74.58	1685.71	2018.8	1721.16	1950.0	941.27	1175.27	1143.1	64.8	2287.2	616.37	3395.89	0.0
HPR	0.0	1.36	0.0	0.0	1.73	2.34	1.08	0.0	641014.63	1131651.83	1212874.47	4023444.33	258533.99	39510.91	6813665.95	450134.56	900270.11	4312220.94	6207.38	0.0
HSDL2	1073.91	289.02	860.08	547.75	220.32	791.35	299.25	356.05	1378.57	2935.74	2835.7	3039.3	1936.53	2935.74	1794.29	397.93	866.07	1617.0	5672.41	0.0
LACTB	183.82	152.28	318.57	450.94	289.02	480.04	199.85	307.69	450.94	1397.83	934.76	954.43	518.15	1066.48	785.88	339.14	947.83	698.41	967.76	0.0
LPIN2	318.57	88.26	64.34	92.05	334.46	161.02	43.02	42.41	748.61	1870.53	476.71	2609.3	2520.38	2319.15	1540.37	429.54	4481.23	2287.2	1721.16	0.0
MAN1A1	507.46	84.63	529.06	239.52	140.04	251.48	164.42	75.64	909.17	3491.39	497.0	2627.46	603.67	4481.23	3443.31	2303.12	2520.38	2739.08	3955.48	0.0
MAN2A1	234.57	267.73	423.61	158.79	262.2	511.0	214.27	229.72	486.75	808.0	323.03	860.08	314.17	1119.56	819.3	884.29	981.29	679.29	796.86	463.65
MBNL3	503.95	68.07	119.26	41.52	113.56	83.45	40.36	46.5	260.38	1044.52	285.03	1225.22	265.87	2119.22	1709.26	334.46	1447.15	1159.07	2777.33	53.19
MFAP3L	224.97	332.14	53.57	529.06	8.85	466.88	43.32	70.51	221.86	1295.13	55.49	1023.0	80.57	3372.43	595.34	102.97	848.22	967.76	2956.17	0.0
MIA2	1.19	5.36	0.0	0.0	0.0	1.01	0.0	0.0	91.41	432.53	47.84	309.83	54.33	476.71	271.48	97.36	438.59	283.05	327.56	0.0
MLYCD	93.35	145.02	244.57	194.36	157.68	256.78	64.34	198.47	679.29	1685.71	1322.37	2271.4	1167.14	1199.98	947.83	256.78	567.1	1175.27	2816.11	0.0
MMAA	287.01	366.09	91.41	99.43	146.03	176.29	73.03	87.65	486.75	447.82	457.25	438.59	669.92	518.15	575.03	285.03	389.72	769.69	536.45	0.0
MSRA	57.49	447.82	228.13	441.64	183.82	194.36	84.04	130.6	2032.85	2090.03	1794.29	2682.69	1066.48	2018.8	1388.16	693.58	1685.71	1135.2	3018.3	0.0
MUT	435.55	121.79	234.57	187.71	248.0	305.55	169.07	232.94	2119.22	3467.27	1909.85	5995.9	1844.76	4704.07	2855.44	579.04	5517.27	2758.13	5594.3	0.0
NADK2	775.05	212.78	224.97	454.09	241.19	599.49	438.59	142.01	3794.3	5076.84	1359.57	6699.25	1832.01	6516.03	3847.29	567.1	6250.56	4419.52	6792.79	229.72
PAIP2B	101.54	12.64	80.01	58.3	101.54	39.5	16.15	13.03	79.45	642.59	33.54	775.05	287.01	1001.93	358.54	202.66	414.87	1674.06	1208.34	0.0
PCBD1	3039.3	2555.58	5076.84	2895.31	3443.31	5255.91	1757.34	1639.59	9808.75	11035.54	7032.37	18950.18	8778.97	15075.35	7485.11	7032.37	11504.21	12076.21	24832.5	0.0
PDZK1	23.59	9.78	78.89	5.87	2.46	3.03	3.35	11.73	3103.19	2163.77	3928.15	4769.75	1331.57	3540.14	1437.15	323.03	2591.27	2032.85	4639.29	0.0
PGM1	460.44	351.14	305.55	796.86	988.12	764.36	384.34	215.77	3665.02	11745.96	2178.83	9088.59	5594.3	11345.82	7485.11	1769.57	8022.41	6561.36	13306.94	0.0
PIK3AP1	6.84	5.82	43.94	58.3	603.67	9.06	49.56	170.25	307.69	1037.29	1583.71	954.43	1259.69	1883.54	1304.15	1295.13	2255.7	988.12	2335.28	0.0
PPARA	137.14	66.18	106.63	25.17	140.04	82.87	122.64	101.54	334.46	738.29	1477.58	1143.1	583.07	884.29	688.78	104.42	379.04	748.61	1331.57	138.1
PPID	473.41	514.56	555.41	638.15	967.76	543.96	420.68	567.1	1651.0	2018.8	1030.12	2573.36	974.5	1745.2	1044.52	1467.37	1331.57	1508.65	2777.33	0.0
PRDX6	4639.29	3039.3	6471.02	6207.38	8479.89	3103.19	15715.58	14971.21	10225.32	33455.53	24321.43	22535.88	15180.22	17197.56	22850.48	9025.81	17317.18	24660.96	23820.89	9740.98
RBP5	208.38	164.42	63.0	40.93	4903.87	55.49	41.22	77.79	23820.89	9740.98	12589.08	13681.08	4010.71	28923.41	10512.82	127.89	17804.06	3103.19	19892.37	0.0
RNASE4	738.29	42.11	775.05	153.34	194.36	155.5	44.89	55.1	4736.79	14461.21	543.96	13492.72	7857.29	14461.21	11035.54	3491.39	12589.08	19482.97	9876.98	0.0
RP11-407N17.3	6.46	3.03	0.0	0.0	0.0	0.0	0.0	0.0	78.89	314.17	66.18	277.2	170.25	358.54	269.6	17.38	291.04	172.65	201.25	0.0
SEPSECS	105.89	77.79	35.76	29.48	38.67	63.45	60.39	48.87	414.87	633.73	373.81	379.04	417.77	371.22	507.46	88.26	435.55	438.59	417.77	0.0
SFXN2	567.1	66.18	177.53	135.24	346.29	249.73	96.68	49.56	647.07	819.3	518.15	384.34	351.14	890.44	836.53	103.69	669.92	934.76	343.89	0.0
SHMT1	507.46	172.65	616.37	379.04	466.88	373.81	1096.5	802.41	9025.81	32767.0	19082.0	11267.44	7966.99	28723.62	20593.91	1617.0	14561.8	25708.25	9808.75	0.0
SLC25A20	346.29	175.07	339.14	178.77	332.14	221.86	87.03	98.73	4152.18	3280.18	4239.45	3955.48	1674.06	3124.78	2303.12	334.46	1397.83	2319.15	4575.41	0.0
SLC35D1	80.57	96.68	126.12	53.57	34.02	177.53	70.51	70.51	902.89	1583.71	381.68	1662.49	607.87	1757.34	1685.71	305.55	1066.48	1119.56	1685.71	0.0
SLC41A2	140.04	7.51	397.93	63.0	234.57	81.71	10.31	6.57	1044.52	1457.23	228.13	1340.84	244.57	3690.52	3349.13	181.28	2104.58	1757.34	1561.89	248.0
SLC6A12	8.0	2.41	7.4	14.03	24.11	129.69	3.72	3.86	7280.4	2591.27	409.15	3103.19	287.01	5711.87	1167.14	82.29	3820.7	981.29	4543.8	0.0
SPPL2A	1104.13	854.13	1073.91	674.59	748.61	1268.46	540.19	540.19	1044.52	1674.06	1044.52	995.0	1457.23	1832.01	1119.56	1088.92	1794.29	1936.53	2468.49	0.0
SPR	129.69	507.46	1225.22	830.75	878.17	866.07	698.41	532.74	1477.58	1639.59	1594.73	2796.65	1662.49	2075.59	1551.09	2178.83	1397.83	1498.22	3212.66	0.0
STRADB	325.29	256.78	285.03	102.97	236.21	186.4	265.87	417.77	1844.76	2400.97	1350.18	2777.33	1015.93	1806.78	1457.23	733.19	2303.12	1617.0	3190.46	0.0
SUCLG2	1044.52	466.88	934.76	743.43	813.63	1051.79	221.86	197.09	4512.4	5831.91	2777.33	7695.57	1561.89	6840.04	5041.77	1457.23	6745.86	4210.15	6745.86	0.0
THNSL1	52.82	38.4	13.93	45.53	94.67	73.03	42.41	46.5	249.73	376.41	191.67	414.87	183.82	403.5	206.94	106.63	211.31	150.17	480.04	0.0
TMBIM6	12415.75	5954.47	15824.9	12502.12	17927.91	16960.78	7081.29	6079.61	21026.65	35609.13	19482.97	42346.82	21919.61	46019.85	34635.37	16045.82	36864.92	34635.37	51062.33	13586.57
TPRG1L	928.3	563.18	708.18	444.72	1259.69	785.88	599.49	791.35	1709.26	2061.24	1651.0	1662.49	1397.83	1977.24	1832.01	320.8	1023.0	2591.27	2133.97	0.0
UGP2	1268.46	688.78	1313.23	2061.24	1216.75	1806.78	1286.18	1199.98	13123.73	10733.74	5954.47	16157.44	5751.61	19754.96	3847.29	4328.55	13776.25	8778.97	26800.01	1437.15
UGT1A9	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	2271.4	1259.69	2224.63	500.46	5711.87	223.41	0.0	3955.48	543.96	14461.21	0.0
UGT3A1	0.29	0.0	0.0	0.0	2.39	0.0	0.99	0.0	620.67	624.99	5479.15	4388.98	49.21	2875.3	2502.97	159.9	1427.22	1331.57	3395.89	0.0
UHRF1BP1L	153.34	73.03	163.28	122.64	218.79	305.55	144.01	117.6	172.65	412.0	314.17	334.46	236.21	473.41	346.29	299.25	400.71	447.82	507.46	180.02
UPP2	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	167.9	37.59	62.12	19.68	1896.65	11.64	4639.29	0.46	260.38	3018.3	444.72	0.0
ZBED1	133.36	193.01	194.36	127.0	234.57	373.81	164.42	133.36	358.54	450.94	194.36	327.56	215.77	426.57	323.03	289.02	353.59	363.56	312.0	0.0
