	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WZTO.1726.SM.4PQYV	GTEX.VUSG.1026.SM.4KKZN	GTEX.11GSP.1726.SM.5A5LI	GTEX.11EI6.0826.SM.5985V	GTEX.117YW.0526.SM.5H11C	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A3WA.01A.11R.A22L.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13FTW.0626.SM.5IFEX
CSTF1	141.02	153.34	229.72	193.01	193.01	208.38	346.29	368.65	346.29	397.93	275.28	457.25	255.0	426.57	260.38	285.03	332.14	237.86	429.54	414.87	305.55	435.55	460.44	444.72	435.55	441.64	426.57	500.46	346.29	275.28	287.01	454.09	525.39	305.55	244.57	429.54	497.0	265.87	406.31	441.64	454.09	305.55	466.88	429.54	466.88	279.14	476.71	414.87	426.57	483.38	426.57	473.41	336.79	307.69	381.68	303.44	463.65
DBR1	146.03	120.94	124.37	120.1	157.68	241.19	186.4	199.85	178.77	228.13	133.36	269.6	206.94	256.78	204.07	150.17	173.85	183.82	241.19	251.48	229.72	269.6	273.37	253.23	260.38	279.14	289.02	299.25	208.38	193.01	217.27	251.48	289.02	211.31	224.97	248.0	279.14	189.02	251.48	281.09	281.09	262.2	251.48	265.87	275.28	180.02	265.87	256.78	226.54	273.37	283.05	260.38	255.0	169.07	237.86	170.25	273.37
DCLRE1B	27.05	53.19	42.71	33.78	44.25	42.71	48.87	39.22	31.22	74.58	32.13	70.01	50.27	51.71	43.02	44.25	30.56	41.22	58.71	60.39	43.94	54.33	68.07	78.34	59.55	60.39	65.26	67.59	59.13	27.64	29.91	74.58	71.5	51.71	29.27	57.49	66.65	34.51	65.26	66.65	59.55	48.18	55.1	64.34	76.17	36.27	54.72	71.5	48.18	59.13	67.12	71.5	53.19	39.22	54.72	45.53	61.25
DDX28	18.7	35.0	58.3	55.89	50.98	62.12	82.87	137.14	37.05	132.44	100.83	195.72	91.41	153.34	92.7	63.45	119.26	70.51	170.25	132.44	104.42	159.9	172.65	206.94	195.72	180.02	185.11	223.41	121.79	127.89	95.34	153.34	218.79	108.9	74.58	175.07	221.86	88.26	185.11	186.4	177.53	88.26	185.11	195.72	209.84	98.73	176.29	147.06	153.34	185.11	194.36	212.78	114.36	117.6	128.79	85.22	220.32
DOLK	48.18	108.14	127.0	120.1	133.36	127.0	231.32	318.57	156.59	221.86	156.59	351.14	158.79	318.57	139.07	137.14	172.65	98.04	291.04	221.86	217.27	258.57	307.69	318.57	332.14	309.83	289.02	376.41	205.5	145.02	138.1	334.46	353.59	205.5	92.7	277.2	366.09	151.22	307.69	323.03	339.14	186.4	289.02	287.01	361.04	165.57	316.37	295.11	361.04	303.44	361.04	295.11	214.27	224.97	260.38	195.72	368.65
DTD1	323.03	414.87	241.19	414.87	343.89	363.56	708.18	934.76	536.45	941.27	525.39	915.51	764.36	928.3	723.08	825.0	669.92	507.46	1167.14	769.69	808.0	748.61	808.0	728.11	915.51	854.13	961.07	981.29	791.35	836.53	733.19	808.0	928.3	1030.12	463.65	961.07	1088.92	753.83	1066.48	928.3	974.5	775.05	981.29	902.89	825.0	764.36	954.43	748.61	1081.39	981.29	921.88	813.63	638.15	733.19	775.05	981.29	1183.45
EIF2S2	713.11	733.19	947.83	813.63	866.07	830.75	995.0	995.0	665.29	961.07	902.89	1250.98	679.29	921.88	620.67	1037.29	764.36	629.35	1322.37	808.0	819.3	1023.0	1073.91	759.08	1051.79	872.1	961.07	1477.58	764.36	848.22	733.19	830.75	974.5	813.63	688.78	1208.34	1233.75	764.36	1119.56	981.29	1216.75	713.11	1313.23	1015.93	1023.0	848.22	1167.14	698.41	1023.0	934.76	1015.93	1059.11	748.61	836.53	819.3	915.51	1081.39
ELAC1	78.34	70.01	58.3	69.03	92.7	83.45	318.57	353.59	327.56	503.95	171.45	457.25	329.84	420.68	366.09	379.04	228.13	251.48	381.68	309.83	432.53	518.15	480.04	371.22	423.61	493.56	540.19	463.65	389.72	283.05	234.57	483.38	547.75	441.64	209.84	432.53	587.13	242.88	414.87	507.46	555.41	309.83	450.94	336.79	447.82	260.38	327.56	412.0	466.88	480.04	414.87	454.09	423.61	307.69	384.34	363.56	532.74
EMC4	1617.0	1286.18	1529.73	1216.75	1794.29	1561.89	2061.24	2240.11	1757.34	2935.74	1963.57	2682.69	2555.58	2573.36	2303.12	2855.44	2104.58	1769.57	2468.49	2287.2	2303.12	2468.49	2645.74	2537.92	2573.36	2609.3	2573.36	2627.46	2367.9	2400.97	2451.44	2502.97	2573.36	2645.74	1832.01	2664.15	3103.19	2148.82	2609.3	3018.3	2895.31	2485.67	2555.58	2591.27	3039.3	2400.97	2682.69	2061.24	2720.15	3060.45	3124.78	2627.46	2319.15	2627.46	2555.58	2835.7	3103.19
EPRS	651.58	995.0	796.86	769.69	567.1	603.67	1233.75	1119.56	802.41	961.07	642.59	1551.09	819.3	1111.82	842.36	1023.0	802.41	902.89	1628.26	842.36	890.44	1457.23	1233.75	1096.5	1378.57	1447.15	1023.0	1709.26	1081.39	842.36	872.1	1304.15	1259.69	1151.06	684.02	1594.73	1295.13	825.0	1242.34	1359.57	1561.89	974.5	1674.06	884.29	1151.06	878.17	1551.09	902.89	1135.2	1111.82	1037.29	1350.18	988.12	1044.52	1051.79	1151.06	1561.89
FAM32A	902.89	1151.06	1242.34	1015.93	1167.14	947.83	1135.2	1508.65	612.11	1844.76	1073.91	1806.78	1081.39	1467.37	1216.75	1551.09	1111.82	1313.23	1769.57	1561.89	1923.14	1628.26	1806.78	1572.76	1617.0	1781.89	1769.57	2004.85	1963.57	1697.45	1208.34	2004.85	1896.65	2032.85	1104.13	1870.53	1870.53	1407.55	1806.78	1721.16	1605.83	1467.37	1844.76	1806.78	2032.85	1286.18	1709.26	1369.04	1832.01	1806.78	2133.97	1870.53	1498.22	1628.26	1651.0	1832.01	1781.89
GSPT2	52.45	51.35	52.08	64.34	69.03	25.35	111.99	154.42	100.13	193.01	81.14	159.9	100.83	153.34	119.26	105.15	84.63	77.79	162.14	122.64	146.03	155.5	177.53	156.59	163.28	191.67	186.4	218.79	144.01	130.6	104.42	232.94	226.54	114.36	78.34	165.57	186.4	99.43	159.9	159.9	162.14	115.97	204.07	167.9	221.86	107.38	169.07	149.12	145.02	154.42	162.14	191.67	144.01	96.01	169.07	144.01	190.34
GTF2A2	1639.59	1397.83	1628.26	1508.65	1081.39	1304.15	1794.29	1936.53	1651.0	2935.74	2018.8	2645.74	1561.89	2104.58	1757.34	3257.52	1159.07	1662.49	2400.97	1950.0	2591.27	2451.44	3190.46	1508.65	2520.38	2061.24	2609.3	2875.3	2335.28	2609.3	1498.22	2075.59	2835.7	2796.65	1857.6	2367.9	2976.74	1806.78	2335.28	2875.3	2609.3	2047.0	2287.2	2451.44	2976.74	2351.53	2163.77	1870.53	3103.19	2104.58	2997.45	2434.5	2240.11	2555.58	2520.38	2796.65	2351.53
HPS6	57.89	68.07	137.14	91.41	88.88	106.63	151.22	246.28	91.41	180.02	132.44	248.0	120.94	224.97	142.01	125.24	149.12	115.97	236.21	176.29	132.44	279.14	234.57	281.09	271.48	241.19	244.57	269.6	185.11	152.28	169.07	275.28	287.01	151.22	95.34	221.86	281.09	119.26	239.52	273.37	223.41	119.26	256.78	242.88	332.14	121.79	264.03	218.79	260.38	220.32	289.02	232.94	178.77	195.72	155.5	123.5	249.73
IMP3	403.5	529.06	470.14	638.15	373.81	379.04	693.58	1088.92	470.14	988.12	753.83	1199.98	665.29	1088.92	703.28	802.41	559.28	529.06	928.3	684.02	915.51	1088.92	1208.34	1044.52	1015.93	947.83	1175.27	1259.69	878.17	728.11	490.14	1143.1	1477.58	723.08	476.71	947.83	1388.16	785.88	1088.92	1167.14	1104.13	759.08	1135.2	928.3	1467.37	708.18	808.0	848.22	1111.82	1127.35	1467.37	1268.46	866.07	708.18	1037.29	825.0	1216.75
KEAP1	791.35	684.02	934.76	808.0	529.06	450.94	1104.13	1208.34	423.61	1119.56	738.29	1662.49	954.43	1487.87	934.76	988.12	896.64	1008.9	1781.89	1044.52	1104.13	1388.16	1331.57	1769.57	1639.59	1508.65	1427.22	1651.0	1313.23	995.0	738.29	1769.57	1781.89	1225.22	954.43	1806.78	1757.34	1073.91	1651.0	1883.54	1605.83	1088.92	1662.49	1806.78	1781.89	902.89	1685.71	1457.23	1832.01	1350.18	1572.76	1896.65	947.83	1378.57	1167.14	1111.82	1508.65
KIAA0196	423.61	438.59	368.65	332.14	255.0	339.14	543.96	497.0	441.64	629.35	258.57	599.49	486.75	575.03	463.65	591.22	260.38	476.71	629.35	500.46	518.15	642.59	620.67	514.56	612.11	603.67	656.11	543.96	629.35	454.09	395.18	595.34	525.39	759.08	381.68	603.67	638.15	511.0	656.11	642.59	567.1	490.14	616.37	616.37	713.11	521.76	651.58	497.0	551.56	616.37	642.59	591.22	575.03	514.56	587.13	612.11	728.11
KTI12	47.17	90.14	83.45	77.25	70.01	73.54	95.34	142.01	67.59	139.07	105.89	189.02	82.29	154.42	109.66	98.73	128.79	72.52	166.73	121.79	105.15	156.59	151.22	186.4	183.82	170.25	165.57	217.27	122.64	147.06	148.09	190.34	246.28	94.01	98.73	173.85	226.54	90.14	173.85	193.01	155.5	96.68	181.28	162.14	211.31	126.12	194.36	170.25	180.02	155.5	193.01	177.53	137.14	113.56	129.69	93.35	189.02
MAGOH	629.35	698.41	759.08	896.64	507.46	384.34	1044.52	1295.13	1427.22	2004.85	1250.98	1819.35	1313.23	1304.15	1651.0	2255.7	1073.91	1159.07	1794.29	1277.29	1870.53	1437.15	1447.15	1388.16	1794.29	1561.89	1950.0	2104.58	1286.18	1437.15	1135.2	1674.06	1832.01	1628.26	1008.9	1883.54	2287.2	1407.55	1977.24	2075.59	1594.73	1447.15	1857.6	1437.15	1896.65	1437.15	1540.37	1407.55	1662.49	2061.24	2032.85	1572.76	1819.35	1378.57	1757.34	1883.54	2193.99
MFAP1	234.57	283.05	441.64	314.17	307.69	221.86	511.0	595.34	579.04	780.44	454.09	842.36	476.71	669.92	540.19	642.59	500.46	480.04	688.78	647.07	551.56	775.05	842.36	836.53	866.07	842.36	890.44	1088.92	603.67	486.75	476.71	878.17	961.07	587.13	381.68	808.0	890.44	521.76	825.0	688.78	759.08	555.41	802.41	813.63	947.83	583.07	934.76	738.29	713.11	808.0	974.5	785.88	728.11	460.44	656.11	684.02	890.44
MOCS3	20.26	29.27	34.75	26.86	31.9	48.52	85.82	93.35	33.78	145.02	56.28	120.94	75.64	120.94	90.77	68.55	90.14	58.71	137.14	119.26	81.71	130.6	146.03	137.14	115.16	129.69	142.01	152.28	84.63	84.04	66.18	159.9	161.02	61.25	55.49	118.43	149.12	56.68	150.17	144.01	105.89	82.87	145.02	145.02	161.02	82.87	110.43	127.89	100.83	129.69	149.12	134.3	105.89	78.34	104.42	73.03	133.36
MRPL15	521.76	525.39	371.22	444.72	281.09	363.56	514.56	551.56	379.04	878.17	555.41	995.0	587.13	624.99	490.14	713.11	543.96	490.14	947.83	579.04	698.41	866.07	1081.39	947.83	1508.65	1081.39	921.88	1304.15	559.28	674.59	612.11	733.19	1135.2	909.17	500.46	780.44	1151.06	543.96	830.75	1151.06	947.83	612.11	848.22	848.22	1167.14	587.13	1104.13	988.12	1111.82	921.88	1059.11	1151.06	796.86	775.05	665.29	896.64	1331.57
MRPL39	368.65	323.03	353.59	379.04	111.21	144.01	444.72	368.65	351.14	547.75	246.28	432.53	361.04	543.96	412.0	540.19	283.05	389.72	470.14	406.31	454.09	435.55	438.59	450.94	679.29	551.56	599.49	638.15	358.54	389.72	325.29	429.54	470.14	470.14	381.68	559.28	575.03	450.94	529.06	624.99	543.96	466.88	490.14	470.14	575.03	525.39	551.56	368.65	532.74	480.04	555.41	571.05	423.61	514.56	432.53	521.76	703.28
MRPL44	128.79	183.82	175.07	201.25	228.13	246.28	341.51	381.68	283.05	483.38	277.2	454.09	316.37	384.34	389.72	381.68	341.51	307.69	438.59	457.25	406.31	384.34	543.96	435.55	507.46	500.46	521.76	511.0	387.02	351.14	353.59	486.75	490.14	361.04	275.28	423.61	503.95	291.04	441.64	507.46	497.0	297.17	420.68	466.88	571.05	336.79	454.09	409.15	420.68	480.04	591.22	525.39	366.09	376.41	432.53	323.03	521.76
MRPL46	281.09	262.2	289.02	293.07	297.17	307.69	525.39	511.0	483.38	503.95	341.51	660.68	414.87	567.1	395.18	392.44	403.5	400.71	651.58	532.74	466.88	612.11	607.87	890.44	896.64	633.73	713.11	738.29	395.18	361.04	444.72	583.07	791.35	529.06	339.14	638.15	693.58	476.71	642.59	796.86	638.15	540.19	620.67	638.15	713.11	460.44	656.11	591.22	759.08	665.29	651.58	808.0	624.99	447.82	536.45	497.0	728.11
MRPS17	246.28	150.17	221.86	242.88	122.64	69.52	173.85	205.5	171.45	275.28	150.17	281.09	134.3	264.03	142.01	244.57	141.02	159.9	239.52	198.47	164.42	223.41	301.33	241.19	351.14	244.57	314.17	307.69	185.11	204.07	150.17	273.37	376.41	208.38	162.14	258.57	343.89	167.9	223.41	412.0	320.8	175.07	255.0	246.28	343.89	173.85	281.09	226.54	285.03	221.86	320.8	285.03	190.34	229.72	241.19	217.27	318.57
MRPS18C	450.94	403.5	583.07	674.59	384.34	287.01	583.07	713.11	579.04	878.17	529.06	988.12	575.03	915.51	651.58	679.29	559.28	836.53	1096.5	802.41	981.29	638.15	872.1	854.13	1127.35	896.64	934.76	1051.79	595.34	928.3	759.08	842.36	1259.69	866.07	567.1	1023.0	1073.91	718.08	1008.9	1225.22	1023.0	718.08	848.22	759.08	1104.13	579.04	1073.91	703.28	1225.22	802.41	808.0	1277.29	878.17	738.29	890.44	703.28	1044.52
MRPS22	532.74	503.95	447.82	536.45	363.56	271.48	669.92	748.61	620.67	842.36	579.04	878.17	728.11	890.44	713.11	808.0	723.08	688.78	928.3	713.11	698.41	769.69	934.76	830.75	1073.91	808.0	995.0	1066.48	638.15	651.58	684.02	728.11	974.5	738.29	567.1	884.29	1015.93	607.87	842.36	947.83	1015.93	679.29	780.44	854.13	915.51	854.13	981.29	785.88	842.36	860.08	1088.92	928.3	872.1	669.92	693.58	728.11	1111.82
MRPS23	525.39	409.15	633.73	525.39	543.96	373.81	1277.29	1081.39	1037.29	1397.83	1551.09	2178.83	1259.69	1794.29	1295.13	1427.22	1923.14	947.83	1950.0	1832.01	1151.06	1674.06	2061.24	1923.14	1883.54	1697.45	2271.4	2287.2	1066.48	1242.34	1427.22	1508.65	2240.11	1936.53	1081.39	2303.12	2090.03	1081.39	2104.58	2004.85	1745.2	1143.1	2148.82	2119.22	1991.0	1111.82	1870.53	1844.76	1936.53	2090.03	2209.26	1721.16	1350.18	1605.83	1259.69	1561.89	2193.99
MRPS36	441.64	299.25	555.41	480.04	1059.11	307.69	1096.5	934.76	612.11	934.76	830.75	1369.04	497.0	764.36	698.41	1175.27	854.13	466.88	1096.5	909.17	854.13	1073.91	1159.07	738.29	1250.98	753.83	1119.56	1159.07	884.29	802.41	915.51	872.1	981.29	1286.18	679.29	1191.69	1277.29	679.29	921.88	1388.16	1508.65	860.08	947.83	1250.98	1066.48	785.88	1175.27	660.68	1191.69	1388.16	1350.18	1104.13	878.17	1331.57	713.11	1008.9	1073.91
NDUFAF1	159.9	258.57	208.38	171.45	182.55	189.02	325.29	361.04	435.55	514.56	205.5	532.74	371.22	466.88	363.56	444.72	249.73	299.25	493.56	400.71	409.15	483.38	620.67	466.88	633.73	543.96	547.75	583.07	417.77	279.14	358.54	480.04	575.03	490.14	251.48	483.38	503.95	373.81	470.14	587.13	579.04	363.56	500.46	507.46	591.22	379.04	483.38	571.05	473.41	571.05	579.04	473.41	500.46	376.41	389.72	395.18	514.56
NIF3L1	173.85	214.27	215.77	176.29	220.32	209.84	293.07	441.64	414.87	423.61	178.77	483.38	323.03	559.28	348.71	373.81	253.23	309.83	483.38	392.44	376.41	476.71	567.1	521.76	559.28	525.39	587.13	518.15	368.65	236.21	343.89	454.09	567.1	368.65	273.37	540.19	587.13	299.25	518.15	521.76	599.49	353.59	460.44	457.25	575.03	384.34	540.19	473.41	532.74	525.39	559.28	571.05	409.15	301.33	450.94	379.04	591.22
NUBP1	555.41	543.96	703.28	612.11	540.19	441.64	688.78	796.86	743.43	1277.29	575.03	909.17	775.05	909.17	878.17	796.86	674.59	728.11	890.44	743.43	934.76	884.29	780.44	921.88	1015.93	928.3	830.75	1059.11	896.64	791.35	518.15	988.12	1175.27	1268.46	567.1	1008.9	1104.13	848.22	934.76	1081.39	1008.9	759.08	934.76	902.89	1066.48	764.36	909.17	753.83	1313.23	848.22	1081.39	1008.9	896.64	753.83	981.29	884.29	1135.2
PDCD10	571.05	647.07	463.65	547.75	307.69	177.53	733.19	738.29	728.11	1183.45	693.58	961.07	665.29	902.89	638.15	1088.92	540.19	620.67	1051.79	785.88	902.89	713.11	1059.11	764.36	802.41	764.36	866.07	1216.75	665.29	775.05	603.67	708.18	928.3	848.22	759.08	921.88	1073.91	708.18	921.88	902.89	988.12	743.43	928.3	1044.52	967.76	718.08	967.76	748.61	988.12	1023.0	981.29	981.29	830.75	896.64	713.11	909.17	1104.13
PEX11B	277.2	293.07	336.79	403.5	325.29	532.74	713.11	775.05	507.46	698.41	1044.52	1023.0	599.49	981.29	738.29	616.37	764.36	656.11	866.07	974.5	633.73	674.59	819.3	819.3	954.43	775.05	1023.0	981.29	579.04	607.87	684.02	902.89	902.89	769.69	674.59	921.88	866.07	693.58	878.17	928.3	928.3	813.63	974.5	902.89	802.41	674.59	884.29	836.53	921.88	1059.11	961.07	825.0	748.61	665.29	896.64	791.35	890.44
POP4	669.92	470.14	698.41	738.29	599.49	490.14	1322.37	1583.71	1883.54	1628.26	884.29	1870.53	1331.57	1857.6	1295.13	1427.22	1066.48	1437.15	1806.78	1397.83	1540.37	1685.71	1733.13	1583.71	1950.0	1832.01	1857.6	2032.85	1447.15	1594.73	1233.75	1709.26	1769.57	1594.73	1023.0	1745.2	1745.2	1437.15	1540.37	1733.13	2240.11	1259.69	1745.2	1769.57	1963.57	1242.34	1639.59	1551.09	1757.34	1806.78	2075.59	1697.45	1639.59	1268.46	1427.22	1674.06	1896.65
