	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.FE.A238.01A.11R.A16R.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A4KG.01A.11R.A250.07	GTEX.133LE.0326.SM.5P9G4	GTEX.RWS6.0626.SM.2XCAS	GTEX.OOBJ.2626.SM.2I3F6	GTEX.Q2AH.0726.SM.2I3EA	GTEX.Q734.0526.SM.2I3EH	GTEX.111YS.0726.SM.5GZY8	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13QBU.1626.SM.5LU4S
DCDC2B	269.6	2090.03	1.55	0.0	0.0	0.0	0.18	3.99	3.29	3.89	3.41	3.99	4.9	2.68	3.79	13.12	16.63	18.7	6.36	11.55	6.52	14.56
DDX23	1447.15	1477.58	540.19	616.37	575.03	743.43	571.05	1104.13	1127.35	1015.93	967.76	921.88	1104.13	1044.52	1175.27	1594.73	1477.58	1551.09	1369.04	1277.29	1529.73	1259.69
DGCR8	373.81	490.14	137.14	183.82	228.13	182.55	111.99	470.14	406.31	320.8	251.48	343.89	532.74	384.34	497.0	599.49	571.05	579.04	532.74	547.75	651.58	521.76
DOT1L	129.69	108.9	87.03	114.36	63.89	59.55	63.45	165.57	163.28	78.89	87.65	113.56	150.17	111.99	307.69	295.11	253.23	285.03	234.57	305.55	285.03	178.77
DSN1	180.02	279.14	117.6	83.45	103.69	78.34	89.51	348.71	170.25	206.94	87.65	237.86	246.28	299.25	248.0	291.04	232.94	236.21	201.25	181.28	237.86	151.22
EBF4	708.18	642.59	19.11	163.28	151.22	132.44	154.42	182.55	142.01	185.11	2555.58	143.01	158.79	137.14	759.08	1104.13	2104.58	4450.27	718.08	1781.89	2682.69	1369.04
FAN1	287.01	281.09	118.43	115.97	104.42	125.24	75.11	191.67	154.42	128.79	120.94	157.68	197.09	165.57	301.33	339.14	629.35	497.0	579.04	323.03	575.03	265.87
GRAMD2	848.22	1066.48	50.27	0.0	2.46	0.0	0.27	41.52	23.93	38.67	69.03	40.93	55.1	58.3	229.72	156.59	483.38	567.1	173.85	228.13	291.04	6.06
HELZ	130.6	197.09	73.03	57.89	85.82	63.0	75.64	74.06	96.01	59.97	65.26	68.55	78.34	61.68	116.78	248.0	273.37	178.77	242.88	202.66	208.38	90.77
HIATL2	82.29	85.82	27.64	22.43	42.41	31.45	32.36	94.01	77.79	54.72	75.64	39.22	52.45	68.55	108.9	76.71	169.07	153.34	144.01	116.78	208.38	106.63
KDM3B	802.41	1037.29	281.09	128.79	164.42	134.3	75.64	511.0	551.56	447.82	438.59	543.96	473.41	423.61	669.92	860.08	842.36	738.29	780.44	708.18	708.18	785.88
KHDC1L	0.0	25.91	0.0	0.0	0.0	0.0	0.0	2.84	3.47	3.53	0.0	1.64	3.99	1.14	4.31	2.25	10.16	13.72	2.29	4.7	7.82	2.32
KHNYN	587.13	579.04	181.28	201.25	154.42	154.42	88.88	603.67	480.04	454.09	397.93	466.88	684.02	514.56	647.07	733.19	708.18	728.11	708.18	718.08	825.0	559.28
KIAA0355	316.37	248.0	71.0	64.34	85.82	87.03	135.24	221.86	209.84	165.57	234.57	212.78	223.41	162.14	273.37	343.89	336.79	368.65	392.44	387.02	348.71	279.14
LINC00923	14.03	3.92	0.0	0.0	0.64	1.81	0.0	0.0	2.51	0.0	1.91	2.97	0.0	0.0	6.21	6.78	12.45	2.86	5.82	2.53	2.48	0.48
LINC00999	36.27	94.67	14.14	14.24	20.71	12.18	9.85	34.75	41.22	19.25	19.11	47.84	33.54	13.72	62.56	85.82	59.13	94.01	83.45	49.21	86.43	45.85
LRIG2	83.45	133.36	31.67	15.56	33.54	26.47	23.93	73.54	96.68	81.71	84.63	84.04	103.69	81.14	175.07	181.28	291.04	242.88	167.9	180.02	231.32	185.11
MAN2A2	651.58	429.54	371.22	406.31	316.37	493.56	198.47	896.64	665.29	470.14	463.65	660.68	947.83	473.41	921.88	1191.69	1104.13	1175.27	961.07	1081.39	1407.55	368.65
MDC1	403.5	376.41	215.77	189.02	262.2	159.9	105.15	460.44	341.51	332.14	287.01	417.77	435.55	314.17	718.08	988.12	738.29	825.0	860.08	896.64	848.22	656.11
MGA	140.04	211.31	40.93	29.7	44.89	35.0	23.42	74.58	92.05	46.18	60.39	74.06	80.57	74.06	151.22	217.27	217.27	214.27	275.28	178.77	189.02	110.43
MGME1	397.93	400.71	215.77	122.64	208.38	137.14	115.97	309.83	171.45	277.2	149.12	271.48	314.17	327.56	353.59	543.96	429.54	332.14	363.56	307.69	525.39	183.82
MKRN1	2591.27	2835.7	825.0	612.11	599.49	633.73	551.56	1313.23	1331.57	1208.34	1191.69	1242.34	1350.18	1167.14	1561.89	1508.65	1721.16	1540.37	1561.89	1350.18	1457.23	1286.18
MMS22L	55.89	65.72	12.0	5.92	5.92	6.52	5.73	39.22	39.79	19.39	11.91	31.22	21.01	25.54	34.02	49.56	38.12	19.97	53.19	49.21	37.32	57.08
MOK	476.71	1037.29	267.73	76.17	97.36	96.68	114.36	218.79	251.48	265.87	412.0	236.21	400.71	291.04	599.49	808.0	764.36	872.1	638.15	896.64	1397.83	376.41
MPL	3.0	5.87	0.49	0.0	0.0	1.06	0.0	1.04	1.57	0.1	0.41	1.35	2.18	0.93	4.31	3.41	11.47	8.58	3.89	5.02	5.73	4.54
MYO9A	121.79	117.6	84.04	15.91	21.16	14.56	17.25	106.63	108.14	68.07	73.03	113.56	94.67	72.01	175.07	336.79	283.05	237.86	373.81	366.09	334.46	154.42
NR2C2	125.24	123.5	27.64	21.78	28.24	37.59	30.78	127.0	153.34	106.63	59.55	106.63	141.02	92.05	197.09	305.55	325.29	277.2	180.02	297.17	327.56	115.16
NUP43	316.37	329.84	202.66	76.71	119.26	120.1	105.15	229.72	277.2	202.66	153.34	255.0	221.86	208.38	264.03	327.56	336.79	381.68	305.55	301.33	361.04	356.05
PAX8	223512.12	273275.14	3168.41	14.89	4.1	15.0	5.36	13123.73	12943.04	11992.79	16496.96	11424.74	14163.58	10808.41	31432.17	38430.46	53601.03	50359.33	36106.23	37121.34	57051.4	137.14
PDE6B	1088.92	785.88	6.67	6.01	5.54	6.62	12.18	106.63	234.57	231.32	229.72	155.5	256.78	209.84	389.72	476.71	647.07	429.54	392.44	283.05	660.68	88.88
PDPR	102.25	138.1	114.36	38.12	46.5	46.18	17.51	100.13	115.16	69.52	84.04	82.87	67.12	55.1	358.54	185.11	460.44	332.14	316.37	255.0	543.96	83.45
PIAS1	429.54	575.03	132.44	97.36	151.22	99.43	150.17	297.17	307.69	205.5	231.32	273.37	285.03	275.28	486.75	738.29	890.44	796.86	638.15	733.19	616.37	336.79
PLEKHM3	14.89	21.78	8.38	14.35	11.55	15.11	29.06	18.43	26.86	12.83	13.32	17.64	15.8	13.12	58.71	74.06	89.51	76.17	122.64	78.34	102.97	27.05
POM121	353.59	414.87	146.03	312.0	176.29	224.97	141.02	325.29	371.22	244.57	361.04	206.94	287.01	239.52	480.04	607.87	536.45	603.67	638.15	595.34	669.92	353.59
PPP1R13B	713.11	854.13	220.32	191.67	220.32	157.68	193.01	616.37	802.41	599.49	1030.12	769.69	808.0	595.34	1721.16	1769.57	1745.2	2004.85	1369.04	1745.2	2816.11	341.51
PTCD1	90.77	124.37	117.6	76.71	92.7	70.51	87.65	104.42	119.26	114.36	111.99	111.21	130.6	119.26	109.66	144.01	158.79	143.01	149.12	148.09	149.12	127.89
PTPN1	414.87	503.95	796.86	215.77	182.55	215.77	291.04	450.94	441.64	332.14	366.09	323.03	409.15	392.44	591.22	638.15	603.67	769.69	423.61	591.22	532.74	454.09
RABL2A	656.11	1159.07	336.79	119.26	117.6	127.89	103.69	420.68	371.22	397.93	358.54	400.71	503.95	368.65	629.35	1037.29	1208.34	915.51	1073.91	599.49	1286.18	529.06
RDH13	1081.39	981.29	76.17	165.57	181.28	132.44	202.66	289.02	336.79	255.0	332.14	293.07	293.07	307.69	409.15	450.94	607.87	595.34	466.88	412.0	738.29	217.27
RINT1	206.94	218.79	105.89	151.22	152.28	146.03	154.42	190.34	186.4	175.07	166.73	215.77	199.85	187.71	253.23	283.05	341.51	332.14	241.19	277.2	307.69	249.73
RP11-1105G2.3	22.1	154.42	9.34	0.0	9.56	0.0	9.06	20.11	27.05	17.51	14.14	44.25	43.94	7.34	38.95	86.43	35.5	58.3	11.3	33.54	10.16	153.34
RPUSD4	490.14	521.76	191.67	325.29	267.73	325.29	193.01	277.2	307.69	323.03	314.17	289.02	291.04	295.11	356.05	417.77	406.31	435.55	470.14	412.0	521.76	616.37
RXRB	1183.45	915.51	366.09	417.77	373.81	403.5	346.29	954.43	1001.93	791.35	1030.12	769.69	1030.12	921.88	1427.22	1651.0	1457.23	1662.49	1268.46	1498.22	1844.76	1407.55
SART3	559.28	708.18	229.72	181.28	189.02	195.72	163.28	669.92	612.11	483.38	493.56	518.15	620.67	529.06	563.18	785.88	723.08	830.75	759.08	723.08	830.75	503.95
SEC22A	158.79	218.79	129.69	175.07	232.94	175.07	218.79	269.6	314.17	246.28	241.19	289.02	220.32	262.2	361.04	320.8	417.77	320.8	441.64	305.55	426.57	368.65
SETD1B	258.57	307.69	63.89	87.65	111.99	70.51	76.71	193.01	201.25	134.3	155.5	181.28	197.09	176.29	336.79	325.29	312.0	371.22	253.23	353.59	348.71	412.0
SETDB1	603.67	813.63	392.44	206.94	265.87	195.72	166.73	638.15	525.39	412.0	450.94	559.28	703.28	473.41	647.07	836.53	830.75	808.0	759.08	698.41	1073.91	703.28
SF1	3820.7	4450.27	1183.45	1617.0	1529.73	1487.87	1407.55	3349.13	3639.7	2627.46	2255.7	3103.19	3491.39	2976.74	3820.7	6037.61	5995.9	6079.61	5441.3	5255.91	6250.56	4210.15
SLC9A8	323.03	325.29	84.04	140.04	80.01	123.5	100.13	155.5	212.78	185.11	208.38	169.07	194.36	209.84	253.23	348.71	392.44	343.89	202.66	256.78	444.72	236.21
SMG1	167.9	237.86	128.79	88.88	102.97	70.01	45.85	186.4	229.72	132.44	88.26	159.9	226.54	166.73	231.32	454.09	460.44	366.09	595.34	381.68	432.53	239.52
SPATA5L1	248.0	226.54	139.07	151.22	153.34	130.6	121.79	199.85	176.29	187.71	90.77	186.4	175.07	226.54	209.84	241.19	262.2	241.19	318.57	211.31	236.21	163.28
SPDYE1	8.19	7.46	2.03	1.51	0.96	0.97	0.0	4.74	3.69	2.1	2.56	4.74	4.17	2.39	7.11	6.16	12.45	16.88	13.93	10.24	15.8	3.69
SRSF1	2591.27	2520.38	1143.1	1088.92	1250.98	1015.93	1233.75	1950.0	1806.78	1340.84	1437.15	1628.26	2224.63	1551.09	2434.5	2701.35	3124.78	2997.45	2720.15	2935.74	3467.27	2609.3
SSBP3-AS1	11.64	22.59	1.57	0.0	0.0	3.82	3.17	1.64	3.08	1.6	6.31	1.64	6.89	2.03	4.7	7.88	9.48	12.74	9.56	7.4	7.46	24.63
STK25	3372.43	3665.02	1857.6	1233.75	1044.52	1397.83	941.27	2895.31	2468.49	2434.5	3847.29	2555.58	2935.74	2193.99	3901.01	4802.93	4328.55	4639.29	3039.3	4769.75	5329.3	2502.97
STRIP1	559.28	587.13	113.56	112.77	129.69	152.28	94.67	429.54	432.53	409.15	325.29	358.54	389.72	444.72	379.04	447.82	525.39	470.14	518.15	555.41	555.41	417.77
TAF1	214.27	320.8	67.12	63.45	82.87	67.59	38.95	241.19	314.17	182.55	182.55	201.25	244.57	189.02	318.57	435.55	397.93	551.56	497.0	373.81	444.72	343.89
TECTA	4.1	5.92	3.56	2.89	3.11	3.17	5.06	6.73	6.41	4.66	10.31	3.63	9.34	3.72	14.35	21.63	26.86	18.16	13.32	24.99	34.26	16.03
TFIP11	693.58	571.05	587.13	583.07	599.49	497.0	607.87	612.11	769.69	665.29	665.29	603.67	728.11	669.92	723.08	836.53	819.3	1023.0	941.27	842.36	753.83	713.11
TMEM8B	429.54	480.04	166.73	63.0	47.84	99.43	66.18	348.71	400.71	307.69	507.46	373.81	387.02	387.02	708.18	796.86	884.29	647.07	866.07	603.67	748.61	1001.93
TNRC18	543.96	860.08	246.28	242.88	182.55	173.85	167.9	684.02	698.41	429.54	473.41	384.34	555.41	417.77	915.51	1051.79	967.76	1111.82	1167.14	830.75	1111.82	1617.0
TOM1L2	269.6	199.85	223.41	136.19	101.54	106.63	153.34	728.11	813.63	708.18	1508.65	842.36	723.08	718.08	1540.37	1721.16	2271.4	1909.85	2367.9	1745.2	2133.97	1073.91
TRIM4	813.63	988.12	361.04	239.52	323.03	264.03	218.79	381.68	346.29	358.54	395.18	358.54	414.87	395.18	547.75	616.37	684.02	713.11	928.3	575.03	555.41	381.68
TRMT2B	384.34	493.56	97.36	64.34	71.0	102.97	69.52	148.09	143.01	153.34	191.67	149.12	136.19	144.01	193.01	253.23	341.51	255.0	316.37	287.01	299.25	81.71
TSSK4	36.27	58.3	15.68	0.0	3.5	4.28	1.03	23.08	21.16	5.23	18.97	19.68	25.72	7.88	43.63	71.0	85.22	102.25	60.39	64.34	60.39	37.85
TTC34	36.27	88.88	9.2	0.88	3.47	1.58	0.06	11.91	4.86	12.45	20.11	8.99	12.36	9.2	48.52	76.17	58.71	47.5	19.68	42.41	131.51	42.71
UBN2	117.6	132.44	27.25	24.81	35.25	23.25	25.91	69.03	63.89	41.81	43.32	72.52	85.82	59.55	102.97	177.53	147.06	150.17	190.34	138.1	209.84	85.22
UIMC1	616.37	525.39	195.72	137.14	206.94	172.65	204.07	466.88	466.88	438.59	336.79	507.46	514.56	412.0	563.18	642.59	651.58	521.76	476.71	638.15	633.73	624.99
USP11	1388.16	1639.59	392.44	206.94	258.57	269.6	253.23	1583.71	1191.69	1477.58	1617.0	1508.65	1617.0	1313.23	1950.0	2255.7	3039.3	2701.35	2400.97	2004.85	3639.7	1594.73
USP19	802.41	802.41	486.75	363.56	329.84	371.22	224.97	591.22	674.59	514.56	723.08	480.04	660.68	543.96	988.12	974.5	1259.69	1250.98	1208.34	1151.06	1191.69	738.29
USP36	547.75	540.19	381.68	336.79	267.73	285.03	397.93	651.58	819.3	503.95	376.41	567.1	708.18	460.44	638.15	928.3	988.12	902.89	878.17	954.43	1023.0	620.67
USP48	759.08	1151.06	187.71	194.36	206.94	264.03	215.77	579.04	460.44	432.53	356.05	463.65	559.28	470.14	819.3	860.08	825.0	902.89	688.78	796.86	785.88	457.25
USP49	53.95	67.59	21.16	7.17	10.47	7.82	8.92	31.0	27.25	19.25	14.14	30.78	40.93	23.93	84.04	232.94	248.0	113.56	92.05	110.43	167.9	46.5
VPS39	1242.34	1104.13	454.09	201.25	217.27	249.73	175.07	764.36	866.07	595.34	791.35	743.43	842.36	679.29	1001.93	1183.45	1143.1	1216.75	954.43	1167.14	1225.22	1008.9
WFDC2	1.736886224E7	2.009035788E7	842.36	45.85	29.48	334.46	591.22	10440.2	5076.84	10883.59	231394.29	7081.29	9876.98	12502.12	83528.61	3901.01	5292.48	9344.14	4836.35	8305.36	7695.57	2965819.8
WRAP53	287.01	511.0	169.07	99.43	148.09	104.42	75.64	154.42	118.43	199.85	157.68	167.9	177.53	145.02	232.94	149.12	199.85	265.87	206.94	206.94	221.86	323.03
WWP2	567.1	738.29	429.54	277.2	251.48	260.38	271.48	579.04	684.02	665.29	563.18	551.56	497.0	688.78	543.96	842.36	733.19	733.19	698.41	698.41	785.88	603.67
YTHDF1	647.07	647.07	373.81	423.61	414.87	420.68	579.04	688.78	547.75	595.34	460.44	575.03	591.22	511.0	738.29	718.08	981.29	748.61	825.0	775.05	836.53	616.37
YY1AP1	1331.57	1225.22	435.55	638.15	688.78	656.11	669.92	1015.93	1073.91	974.5	1001.93	995.0	1135.2	995.0	1259.69	1397.83	1350.18	1277.29	1216.75	1340.84	1477.58	1286.18
ZBTB40	197.09	198.47	55.49	21.47	24.63	20.56	21.94	128.79	118.43	92.05	94.01	94.67	139.07	115.16	224.97	265.87	183.82	215.77	248.0	234.57	239.52	173.85
ZKSCAN1	995.0	1745.2	199.85	291.04	325.29	283.05	226.54	234.57	277.2	175.07	133.36	201.25	242.88	208.38	307.69	395.18	314.17	366.09	381.68	293.07	414.87	329.84
ZMIZ1	1651.0	1697.45	339.14	115.16	119.26	166.73	190.34	651.58	921.88	669.92	688.78	684.02	733.19	460.44	1023.0	1583.71	1208.34	1628.26	1143.1	1199.98	1242.34	842.36
ZNF12	486.75	591.22	159.9	136.19	89.51	104.42	151.22	246.28	260.38	208.38	204.07	195.72	242.88	223.41	285.03	336.79	400.71	301.33	381.68	403.5	351.14	303.44
ZNF26	126.12	195.72	38.95	39.22	52.82	47.84	65.26	161.02	148.09	146.03	65.72	127.0	157.68	108.9	156.59	159.9	202.66	163.28	147.06	197.09	234.57	166.73
ZNF34	260.38	195.72	48.87	56.68	73.03	47.84	51.71	148.09	120.94	143.01	152.28	140.04	117.6	115.16	175.07	218.79	249.73	195.72	186.4	255.0	269.6	215.77
ZNF343	151.22	127.0	61.25	77.25	74.06	68.07	60.39	125.24	108.9	126.12	134.3	119.26	135.24	111.21	159.9	198.47	171.45	177.53	217.27	166.73	237.86	218.79
ZNF396	244.57	258.57	29.27	10.79	19.68	13.62	11.55	76.17	61.68	53.19	92.7	65.26	54.72	63.89	138.1	180.02	175.07	145.02	170.25	177.53	262.2	39.5
ZNF512B	316.37	371.22	172.65	126.12	85.82	97.36	78.89	256.78	262.2	169.07	221.86	208.38	258.57	236.21	450.94	417.77	559.28	429.54	351.14	444.72	642.59	289.02
ZNF554	151.22	158.79	16.03	37.85	51.71	24.63	30.12	83.45	63.45	84.04	52.82	84.63	85.22	79.45	91.41	104.42	143.01	105.89	126.12	103.69	164.42	88.88
ZNF655	1008.9	1397.83	473.41	420.68	559.28	420.68	258.57	567.1	791.35	532.74	490.14	583.07	713.11	525.39	647.07	995.0	941.27	1001.93	884.29	1008.9	1119.56	1015.93
ZNF740	454.09	447.82	134.3	81.71	71.0	70.01	65.72	406.31	384.34	305.55	409.15	291.04	387.02	303.44	483.38	603.67	518.15	551.56	624.99	616.37	497.0	629.35
ZZEF1	220.32	204.07	76.17	72.52	57.49	66.65	70.51	232.94	187.71	152.28	149.12	193.01	204.07	156.59	358.54	457.25	373.81	441.64	301.33	490.14	503.95	264.03
