	TCGA.CV.7183.11A.01R.2016.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CJ.4912.01A.01R.1426.07	GTEX.YB5E.0326.SM.5IFHU	TCGA.95.A4VK.01A.11R.A262.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7156.01A.11R.2039.07	TCGA.44.2666.01A.01R.A278.07	TCGA.MP.A4TH.01A.31R.A262.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4675.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.55.8512.01A.11R.2403.07	TCGA.73.7498.01A.12R.2187.07	TCGA.78.7537.01A.11R.2066.07	TCGA.44.2666.01A.01R.0946.07	TCGA.78.7152.01A.11R.2039.07	TCGA.97.A4M5.01A.11R.A24X.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.86.7713.01A.11R.2066.07	TCGA.49.4512.11A.01R.1858.07	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.SE5C.0526.SM.2XCE1	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.WH7G.0726.SM.3NMBM	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.ZQG8.2126.SM.4YCF1
NBPF24	8.06	3.69	5.96	0.0	24.28	4.06	45.85	39.5	32.59	108.9	60.39	0.0	13.72	0.49	20.71	12.74	77.79	77.79	46.84	21.63	26.86	34.26	70.01	343.89	8.13	36.27	57.08	8.06	19.25	56.68	25.35	37.59	15.0	8.32	61.68	0.0
NEURL4	62.56	169.07	117.6	24.28	503.95	52.45	426.57	409.15	258.57	379.04	651.58	0.0	157.68	0.87	334.46	143.01	642.59	503.95	320.8	346.29	244.57	420.68	633.73	503.95	100.13	236.21	356.05	248.0	232.94	363.56	251.48	228.13	264.03	260.38	403.5	57.89
NOP2	237.86	149.12	301.33	42.71	616.37	323.03	769.69	967.76	547.75	429.54	915.51	0.0	426.57	0.79	743.43	417.77	713.11	665.29	624.99	460.44	775.05	1191.69	785.88	1487.87	164.42	571.05	409.15	575.03	341.51	341.51	236.21	237.86	426.57	289.02	444.72	438.59
PIDD	68.07	45.21	86.43	127.0	429.54	109.66	563.18	220.32	195.72	314.17	457.25	0.0	209.84	1.01	275.28	100.83	559.28	403.5	275.28	457.25	301.33	363.56	703.28	703.28	65.72	156.59	120.1	180.02	66.18	208.38	133.36	242.88	110.43	211.31	205.5	35.76
PLXNA3	30.34	65.26	135.24	17.64	733.19	43.94	583.07	358.54	371.22	470.14	1044.52	0.0	107.38	1.01	400.71	92.05	688.78	583.07	346.29	599.49	239.52	532.74	1183.45	733.19	105.89	156.59	470.14	198.47	127.89	251.48	171.45	228.13	134.3	105.15	151.22	19.11
PPP4R1L	16.75	36.79	49.91	36.27	127.89	51.71	134.3	91.41	105.15	118.43	236.21	0.0	73.03	0.71	18.16	44.89	156.59	109.66	110.43	98.73	226.54	376.41	139.07	463.65	37.59	61.25	80.57	48.52	76.71	78.34	61.68	139.07	56.28	66.18	59.97	28.04
RAD52	69.03	62.56	49.21	11.82	651.58	16.75	271.48	172.65	209.84	205.5	289.02	0.0	73.03	0.23	129.69	96.68	246.28	242.88	143.01	139.07	145.02	249.73	299.25	514.56	52.45	80.01	214.27	52.45	92.05	74.58	65.26	103.69	79.45	64.34	104.42	36.79
RNF207	41.52	15.68	32.82	8.99	285.03	27.84	1151.06	215.77	271.48	234.57	414.87	0.0	82.29	0.83	291.04	13.03	674.59	368.65	109.66	208.38	150.17	244.57	450.94	651.58	40.93	118.43	102.25	152.28	51.35	130.6	62.12	77.79	63.0	57.89	145.02	12.27
RP11-1055B8.7	17.51	22.92	69.52	4.39	165.57	14.67	229.72	144.01	156.59	127.89	309.83	0.0	48.52	0.64	153.34	87.03	236.21	327.56	144.01	159.9	136.19	224.97	237.86	406.31	34.02	172.65	205.5	65.72	83.45	40.93	82.87	212.78	97.36	87.65	115.97	8.58
RP11-468E2.4	3.92	2.61	3.44	1.23	12.74	5.54	31.67	5.45	8.0	63.89	36.53	0.0	2.1	0.57	10.24	4.46	32.59	21.63	8.65	21.47	8.65	30.34	28.24	51.71	7.69	15.11	18.03	6.36	9.93	13.32	9.13	17.25	8.19	7.63	20.71	5.23
SEC61A2	34.26	22.92	31.45	23.08	94.01	87.65	180.02	56.68	58.71	121.79	123.5	0.0	51.71	0.82	54.72	64.8	152.28	114.36	92.7	104.42	76.17	138.1	149.12	244.57	23.76	52.08	43.02	58.71	42.41	53.19	39.79	87.03	35.0	95.34	99.43	34.26
SFI1	64.8	77.79	122.64	60.82	896.64	27.64	620.67	287.01	255.0	571.05	872.1	0.0	171.45	0.84	389.72	126.12	854.13	532.74	316.37	389.72	220.32	507.46	848.22	497.0	154.42	175.07	273.37	244.57	122.64	277.2	197.09	220.32	146.03	202.66	239.52	19.53
SNAPC4	31.9	34.51	64.8	10.63	78.34	42.71	182.55	165.57	120.94	102.25	186.4	0.0	68.07	0.64	89.51	78.89	253.23	163.28	128.79	121.79	140.04	234.57	236.21	406.31	47.5	108.9	96.68	108.14	57.08	81.14	102.97	105.89	113.56	92.7	115.97	21.78
SS18L1	78.34	201.25	80.57	34.02	170.25	71.0	224.97	231.32	143.01	291.04	575.03	0.0	87.03	0.84	197.09	120.94	316.37	232.94	595.34	209.84	199.85	287.01	283.05	389.72	87.65	100.13	144.01	159.9	88.26	229.72	116.78	193.01	86.43	159.9	195.72	50.98
TBC1D3F	59.97	12.64	51.35	0.0	555.41	5.23	348.71	176.29	237.86	199.85	265.87	0.0	106.63	1.08	156.59	11.47	307.69	231.32	162.14	190.34	164.42	226.54	353.59	379.04	18.29	84.04	104.42	45.21	63.89	89.51	70.51	117.6	71.0	206.94	54.72	10.24
TCERG1	226.54	104.42	202.66	190.34	1073.91	119.26	967.76	791.35	819.3	872.1	1088.92	414.87	435.55	289.02	583.07	320.8	872.1	785.88	629.35	703.28	587.13	830.75	890.44	1242.34	255.0	305.55	381.68	429.54	432.53	547.75	314.17	273.37	285.03	490.14	463.65	197.09
THOC1	277.2	116.78	181.28	91.41	674.59	140.04	1059.11	497.0	444.72	802.41	723.08	0.0	285.03	0.85	366.09	226.54	703.28	493.56	525.39	420.68	312.0	620.67	769.69	1066.48	287.01	221.86	320.8	224.97	234.57	450.94	239.52	339.14	202.66	299.25	269.6	88.88
TMCO6	129.69	91.41	194.36	66.18	400.71	102.97	185.11	199.85	198.47	217.27	334.46	0.0	305.55	0.33	249.73	170.25	392.44	409.15	181.28	368.65	246.28	228.13	423.61	426.57	141.02	175.07	255.0	221.86	198.47	170.25	161.02	152.28	204.07	149.12	209.84	114.36
TNRC18	173.85	412.0	353.59	47.17	995.0	191.67	1199.98	928.3	1199.98	1111.82	1350.18	543.96	454.09	285.03	1104.13	866.07	1350.18	1304.15	890.44	909.17	1151.06	1639.59	974.5	2451.44	189.02	1199.98	1167.14	1037.29	748.61	995.0	808.0	1037.29	1059.11	791.35	1467.37	201.25
TOP3B	138.1	79.45	114.36	59.97	373.81	87.03	579.04	320.8	316.37	466.88	511.0	0.0	127.0	0.77	307.69	119.26	412.0	525.39	283.05	366.09	242.88	642.59	540.19	825.0	96.68	153.34	231.32	218.79	171.45	251.48	220.32	143.01	131.51	167.9	195.72	67.59
USP35	45.21	30.78	27.84	21.16	223.41	29.91	209.84	57.89	84.63	138.1	134.3	0.0	45.53	0.52	52.45	50.63	90.14	153.34	78.89	124.37	59.13	144.01	136.19	251.48	32.82	70.51	57.49	99.43	49.21	37.59	48.52	72.52	44.57	53.57	52.82	31.9
ZFC3H1	109.66	45.21	98.73	35.5	583.07	38.4	769.69	371.22	514.56	808.0	825.0	0.0	155.5	0.84	287.01	164.42	642.59	497.0	389.72	497.0	267.73	738.29	748.61	379.04	98.73	212.78	197.09	191.67	172.65	273.37	206.94	262.2	143.01	361.04	198.47	32.59
ZMYM3	91.41	281.09	166.73	38.12	325.29	85.22	417.77	343.89	435.55	341.51	429.54	0.0	265.87	0.34	368.65	244.57	441.64	493.56	336.79	435.55	346.29	429.54	438.59	486.75	154.42	303.44	334.46	223.41	223.41	363.56	303.44	223.41	305.55	291.04	329.84	78.89
ZNF276	157.68	48.87	114.36	55.1	543.96	68.55	860.08	371.22	435.55	595.34	748.61	0.0	271.48	1.0	389.72	283.05	718.08	708.18	514.56	457.25	260.38	571.05	1023.0	902.89	166.73	248.0	303.44	273.37	275.28	295.11	193.01	351.14	167.9	236.21	258.57	82.87
ZNF335	71.0	91.41	95.34	19.82	215.77	60.82	244.57	301.33	241.19	221.86	327.56	0.0	128.79	0.91	201.25	147.06	283.05	381.68	199.85	208.38	143.01	387.02	395.18	878.17	65.26	195.72	228.13	293.07	150.17	169.07	159.9	136.19	177.53	194.36	277.2	77.25
