	TCGA.KL.8335.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	GTEX.1497J.0726.SM.5Q5D1
LUC7L3	665.29	1529.73	693.58	660.68	1340.84	1487.87	1709.26	1331.57	397.93	878.17	1304.15	167.9	4607.24	2485.67	2090.03	5366.37	4038.61	4869.99	6792.79	2875.3	2178.83	2816.11	463.65
LY6G5B	22.43	21.78	19.53	37.85	43.94	7.51	132.44	60.82	17.25	32.13	95.34	2.97	358.54	198.47	171.45	679.29	343.89	376.41	532.74	244.57	76.17	161.02	16.88
MAN2C1	1721.16	1143.1	1617.0	2468.49	915.51	764.36	2193.99	884.29	684.02	1407.55	2400.97	698.41	4869.99	3716.2	3639.7	3467.27	4123.49	3467.27	6381.92	3372.43	2758.13	2935.74	1498.22
MAP3K1	163.28	167.9	358.54	379.04	447.82	144.01	157.68	316.37	102.97	236.21	91.41	66.65	1066.48	802.41	307.69	775.05	660.68	769.69	1037.29	633.73	529.06	620.67	119.26
MCM3AP	616.37	500.46	642.59	514.56	703.28	363.56	397.93	403.5	155.5	395.18	748.61	260.38	836.53	738.29	836.53	748.61	775.05	1119.56	1001.93	1023.0	518.15	753.83	583.07
MDM4	81.71	127.89	65.72	75.64	97.36	17.51	104.42	77.25	26.67	92.05	150.17	15.8	236.21	173.85	153.34	780.44	373.81	267.73	309.83	197.09	142.01	173.85	48.52
MGEA5	988.12	688.78	780.44	854.13	612.11	500.46	921.88	1340.84	312.0	981.29	1159.07	366.09	2018.8	1572.76	1832.01	3589.58	1950.0	1950.0	2090.03	2384.37	1709.26	2520.38	400.71
MIB2	325.29	540.19	368.65	665.29	450.94	237.86	248.0	275.28	92.7	246.28	808.0	215.77	928.3	624.99	830.75	1135.2	1313.23	1208.34	1697.45	1540.37	1023.0	1051.79	384.34
MSANTD2	96.01	102.25	67.59	117.6	249.73	78.34	117.6	104.42	57.08	115.97	115.16	19.25	325.29	220.32	187.71	532.74	281.09	395.18	438.59	242.88	281.09	275.28	34.02
MSH5	32.59	96.01	29.7	75.11	128.79	12.93	126.12	92.05	53.95	43.94	241.19	13.03	713.11	532.74	529.06	1685.71	813.63	791.35	1119.56	679.29	287.01	536.45	39.22
NBPF20	6.62	9.7	2.03	11.3	9.41	1.06	9.93	26.28	1.53	5.32	33.3	0.42	69.03	39.79	41.81	167.9	82.29	77.25	92.05	39.79	24.99	31.9	17.0
NEK3	62.12	155.5	130.6	122.64	169.07	94.67	211.31	281.09	260.38	39.5	194.36	142.01	400.71	271.48	400.71	414.87	490.14	723.08	665.29	351.14	295.11	409.15	264.03
NEURL4	163.28	293.07	177.53	295.11	277.2	169.07	358.54	358.54	88.88	126.12	417.77	24.28	890.44	660.68	718.08	688.78	764.36	981.29	1008.9	902.89	470.14	587.13	204.07
NME9	5.23	5.23	2.81	2.63	36.79	6.73	5.92	20.86	17.77	1.53	18.84	0.0	158.79	111.21	80.57	151.22	126.12	119.26	114.36	141.02	52.45	76.71	0.0
OBSL1	500.46	2032.85	603.67	397.93	9025.81	1081.39	579.04	1572.76	607.87	79.45	1697.45	152.28	2351.53	2520.38	1832.01	3443.31	3419.52	3349.13	2434.5	2816.11	2591.27	2178.83	536.45
OSBPL7	39.5	110.43	60.39	111.21	134.3	49.21	104.42	232.94	37.85	23.76	129.69	4.86	387.02	361.04	381.68	633.73	363.56	567.1	466.88	426.57	312.0	327.56	100.83
PAN3	134.3	139.07	275.28	154.42	303.44	115.16	279.14	231.32	74.06	103.69	343.89	59.13	466.88	406.31	312.0	559.28	551.56	743.43	624.99	457.25	346.29	444.72	46.84
PARP6	665.29	718.08	466.88	808.0	884.29	693.58	688.78	423.61	283.05	473.41	954.43	173.85	1216.75	995.0	909.17	1605.83	934.76	1268.46	1662.49	1191.69	1167.14	1159.07	460.44
PASK	52.08	75.64	66.18	57.89	92.05	21.32	58.3	60.39	25.72	26.1	52.08	7.22	242.88	206.94	186.4	587.13	329.84	329.84	260.38	199.85	180.02	159.9	43.63
PCSK4	125.24	107.38	47.5	187.71	85.22	29.06	59.55	99.43	54.33	87.03	146.03	18.7	236.21	285.03	309.83	473.41	258.57	438.59	403.5	480.04	358.54	258.57	50.63
PDGFA	145.02	769.69	171.45	158.79	928.3	177.53	121.79	802.41	147.06	320.8	1023.0	7.17	3564.78	2163.77	1662.49	1832.01	3564.78	2335.28	3325.99	1286.18	1427.22	4419.52	102.25
PHC1	152.28	368.65	123.5	126.12	567.1	239.52	223.41	376.41	138.1	95.34	406.31	17.38	708.18	785.88	368.65	1498.22	854.13	941.27	764.36	728.11	279.14	547.75	113.56
POGZ	289.02	361.04	258.57	237.86	674.59	229.72	256.78	316.37	53.19	262.2	376.41	38.12	769.69	693.58	684.02	1963.57	1030.12	1250.98	1477.58	866.07	698.41	878.17	133.36
PPT2-EGFL8	10.79	27.84	21.94	23.76	37.59	7.46	59.55	28.24	25.54	15.45	51.71	2.1	253.23	211.31	186.4	157.68	327.56	389.72	521.76	249.73	142.01	201.25	18.03
PRICKLE1	29.27	23.25	33.06	22.59	165.57	73.03	2.66	12.45	12.18	76.71	63.0	5.87	426.57	1119.56	366.09	244.57	444.72	665.29	836.53	406.31	265.87	277.2	70.51
PSMC3IP	85.82	82.87	32.59	90.14	87.03	44.25	175.07	69.52	108.14	46.84	87.65	18.84	376.41	246.28	206.94	414.87	400.71	295.11	251.48	214.27	169.07	244.57	35.0
PSORS1C2	0.0	0.78	0.84	0.0	0.37	0.15	3.69	0.0	0.0	0.41	1.1	0.0	25.54	39.79	5.96	27.44	51.35	67.59	76.71	8.0	12.18	26.86	1.79
PXDN	281.09	45.21	426.57	74.06	80.01	28.24	66.18	36.27	37.59	103.69	260.38	9.93	769.69	1030.12	1250.98	764.36	1594.73	1977.24	1745.2	934.76	651.58	1832.01	555.41
RAD52	95.34	141.02	98.04	100.13	180.02	62.56	146.03	130.6	69.03	71.5	122.64	11.82	426.57	373.81	205.5	890.44	389.72	647.07	346.29	371.22	341.51	258.57	75.64
RBM19	341.51	361.04	366.09	454.09	400.71	161.02	379.04	318.57	42.71	320.8	373.81	39.5	647.07	567.1	423.61	825.0	679.29	575.03	872.1	764.36	514.56	438.59	301.33
RBM33	283.05	164.42	198.47	275.28	119.26	92.7	249.73	244.57	91.41	309.83	241.19	72.52	825.0	490.14	660.68	947.83	872.1	860.08	1135.2	624.99	486.75	536.45	147.06
RGS17	4.82	2.27	1.22	2.27	13.42	0.0	3.0	2.46	2.27	0.78	2.14	0.0	34.02	22.92	12.74	48.87	19.97	23.25	24.63	17.9	6.26	26.67	4.31
RHPN1	466.88	165.57	150.17	150.17	406.31	38.12	193.01	95.34	156.59	55.1	170.25	126.12	1066.48	1378.57	753.83	1529.73	1216.75	1151.06	1561.89	1457.23	1096.5	669.92	173.85
RIC3	0.51	124.37	175.07	144.01	135.24	1.6	122.64	277.2	101.54	231.32	135.24	0.46	486.75	334.46	397.93	529.06	547.75	665.29	928.3	423.61	262.2	1096.5	6.62
RIF1	47.17	39.22	55.49	44.89	136.19	30.34	38.95	56.28	50.27	48.52	59.13	17.77	185.11	145.02	120.1	295.11	189.02	246.28	157.68	134.3	137.14	167.9	73.54
RNF217	66.65	37.32	36.79	36.79	53.57	28.24	75.64	60.39	23.42	62.12	70.51	12.45	204.07	122.64	120.94	260.38	189.02	232.94	178.77	195.72	85.82	127.0	74.58
RP4-583P15.15	20.71	31.67	31.67	33.06	41.52	24.63	33.06	35.25	7.63	18.7	49.91	1.25	202.66	148.09	133.36	99.43	190.34	283.05	264.03	120.1	134.3	117.6	167.9
S100PBP	81.71	129.69	67.12	80.57	190.34	67.12	117.6	140.04	50.98	103.69	205.5	35.76	318.57	231.32	299.25	493.56	329.84	314.17	403.5	332.14	303.44	325.29	57.08
SACS	6.62	10.88	13.62	26.1	14.56	14.24	28.65	57.49	41.52	7.57	56.28	6.67	303.44	176.29	114.36	297.17	273.37	295.11	265.87	231.32	135.24	236.21	42.71
SBK1	26.86	88.88	10.55	12.09	169.07	19.39	5.87	49.56	7.34	5.92	9.7	0.4	151.22	172.65	165.57	221.86	191.67	229.72	159.9	147.06	148.09	156.59	4.35
SCN8A	0.0	0.0	3.2	0.0	2.34	0.52	2.01	0.43	0.4	0.4	2.48	0.0	39.22	23.59	18.03	131.51	27.44	22.59	51.71	27.25	9.2	30.12	5.73
SETDB1	231.32	336.79	269.6	287.01	373.81	244.57	303.44	329.84	187.71	293.07	409.15	177.53	665.29	518.15	470.14	791.35	543.96	571.05	718.08	579.04	511.0	521.76	277.2
SIN3B	366.09	309.83	395.18	435.55	297.17	167.9	341.51	325.29	119.26	358.54	457.25	56.28	607.87	575.03	579.04	660.68	825.0	967.76	1015.93	775.05	688.78	708.18	186.4
SLC35E2B	232.94	361.04	275.28	285.03	693.58	269.6	320.8	348.71	115.97	153.34	389.72	40.36	693.58	660.68	603.67	1104.13	988.12	866.07	941.27	791.35	713.11	780.44	171.45
SPDYE1	3.06	0.77	1.99	5.59	3.72	0.0	4.94	2.03	1.5	3.0	1.77	0.4	28.24	8.92	9.85	17.64	14.89	11.64	19.39	12.36	5.23	9.7	1.87
SRRM1	483.38	480.04	441.64	318.57	728.11	579.04	620.67	438.59	169.07	543.96	612.11	105.89	1225.22	1088.92	902.89	1508.65	1295.13	1594.73	1870.53	848.22	813.63	1259.69	361.04
SRSF11	769.69	1331.57	595.34	620.67	1295.13	466.88	791.35	796.86	351.14	808.0	1427.22	325.29	2915.45	1896.65	1639.59	3124.78	2720.15	3212.66	3928.15	1909.85	1721.16	2240.11	314.17
STK36	143.01	397.93	166.73	161.02	688.78	68.07	212.78	312.0	126.12	110.43	616.37	26.28	1216.75	825.0	872.1	3742.05	1936.53	1857.6	921.88	902.89	1066.48	559.28	177.53
STOX2	3.5	0.77	9.48	4.1	85.22	14.14	20.86	2.86	4.86	0.78	17.13	1.58	110.43	62.56	80.57	251.48	122.64	126.12	137.14	100.13	75.64	77.79	4.31
STX16-NPEPL1	5.59	108.14	14.67	32.82	2.27	4.39	8.78	56.68	6.73	24.81	27.84	0.0	171.45	74.06	79.45	198.47	299.25	283.05	329.84	127.0	114.36	194.36	9.63
SUPT20H	218.79	511.0	438.59	283.05	441.64	231.32	579.04	599.49	406.31	220.32	414.87	170.25	1104.13	743.43	616.37	1477.58	1199.98	1216.75	928.3	665.29	629.35	753.83	161.02
TBC1D3G	28.24	27.25	26.28	39.5	6.11	0.01	87.03	41.52	8.13	23.25	110.43	0.0	231.32	447.82	529.06	435.55	389.72	389.72	518.15	193.01	164.42	255.0	11.82
TENM1	8.38	1.55	0.44	0.42	4.86	0.21	0.0	6.21	0.42	0.42	32.36	0.0	49.21	103.69	51.35	202.66	108.14	115.16	124.37	121.79	93.35	36.79	7.0
TIA1	309.83	559.28	291.04	283.05	769.69	108.14	406.31	397.93	244.57	293.07	764.36	78.89	2796.65	1639.59	1096.5	5219.6	4239.45	3081.75	2956.17	1628.26	1508.65	1721.16	183.82
TIGD4	3.82	7.94	2.71	6.16	24.99	14.45	5.15	9.41	27.05	3.29	5.45	0.75	24.11	19.97	19.97	24.28	25.72	33.78	27.05	27.05	11.47	16.39	3.35
TRRAP	273.37	163.28	244.57	220.32	158.79	87.65	156.59	183.82	40.93	154.42	180.02	20.26	348.71	466.88	400.71	283.05	361.04	441.64	450.94	450.94	214.27	559.28	81.71
TTC18	17.64	114.36	9.27	8.0	563.18	64.8	52.45	146.03	41.22	15.56	37.85	11.13	327.56	114.36	305.55	693.58	351.14	435.55	665.29	595.34	139.07	297.17	16.15
TUBG1	466.88	674.59	325.29	587.13	497.0	813.63	551.56	1250.98	780.44	260.38	567.1	193.01	1378.57	1467.37	1159.07	1572.76	1378.57	1378.57	1313.23	1208.34	1159.07	1023.0	713.11
UCN	9.85	14.89	4.13	4.28	0.0	5.68	0.73	4.62	1.97	3.53	29.7	0.0	48.87	68.07	46.84	224.97	80.01	83.45	103.69	112.77	52.08	58.71	46.18
UPF3A	490.14	1104.13	563.18	376.41	1051.79	718.08	748.61	1044.52	486.75	403.5	974.5	525.39	1359.57	1096.5	802.41	921.88	1662.49	1417.35	1183.45	884.29	1023.0	733.19	361.04
VWA5B2	12.55	0.77	4.78	5.96	21.32	1.22	9.2	20.11	0.39	3.38	2.48	0.0	37.05	23.25	7.75	66.18	33.06	26.67	16.27	17.77	10.47	13.42	3.06
WDR27	59.55	191.67	89.51	150.17	212.78	41.81	256.78	166.73	69.03	61.25	194.36	8.99	780.44	486.75	483.38	1233.75	1183.45	1059.11	1437.15	825.0	309.83	775.05	77.25
WDR35	27.05	64.8	20.41	24.63	236.21	96.68	30.34	111.21	119.26	34.02	117.6	9.27	206.94	175.07	140.04	327.56	283.05	264.03	211.31	186.4	126.12	183.82	24.81
WDR60	182.55	312.0	329.84	251.48	297.17	65.26	175.07	616.37	187.71	303.44	262.2	107.38	775.05	547.75	583.07	409.15	555.41	599.49	669.92	536.45	447.82	547.75	229.72
WRAP53	88.26	228.13	92.7	152.28	111.21	156.59	183.82	262.2	260.38	55.89	149.12	64.34	525.39	376.41	363.56	236.21	503.95	583.07	412.0	397.93	368.65	336.79	152.28
XPO5	114.36	291.04	143.01	154.42	241.19	194.36	239.52	194.36	112.77	88.88	224.97	47.17	583.07	529.06	420.68	961.07	665.29	684.02	551.56	450.94	395.18	353.59	204.07
ZNF19	70.01	113.56	80.57	79.45	175.07	70.01	81.14	152.28	85.22	78.89	71.0	84.04	314.17	228.13	289.02	493.56	320.8	466.88	420.68	220.32	220.32	239.52	36.53
ZNF250	334.46	279.14	197.09	162.14	182.55	167.9	204.07	104.42	107.38	142.01	215.77	120.1	283.05	412.0	327.56	389.72	406.31	406.31	483.38	212.78	356.05	348.71	46.18
ZNF251	142.01	148.09	161.02	109.66	303.44	97.36	159.9	129.69	87.03	42.71	175.07	70.01	299.25	236.21	198.47	361.04	220.32	529.06	409.15	249.73	271.48	237.86	90.14
ZNF789	147.06	206.94	96.01	122.64	199.85	123.5	182.55	197.09	157.68	95.34	209.84	61.68	693.58	540.19	674.59	1159.07	743.43	759.08	1151.06	941.27	371.22	551.56	96.01
ZNF862	164.42	146.03	176.29	208.38	198.47	85.82	220.32	303.44	133.36	102.25	111.99	37.85	567.1	532.74	480.04	738.29	669.92	607.87	830.75	718.08	269.6	713.11	39.79
