	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13NZ9.0926.SM.5KM12	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.QXCU.0626.SM.2TC69	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OOBJ.0526.SM.48TDK	GTEX.Y111.1026.SM.4TT22	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.WK11.0526.SM.3NB3O	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.146FH.1226.SM.5NQB6	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ	GTEX.YFC4.2826.SM.5P9FR	GTEX.1313W.2826.SM.5P9G1
CCDC116	0.0	0.49	0.42	1.91	0.92	0.0	0.45	2.32	4.74	3.66	1.89	1.2	18.03	7.51	12.27	2.25	2.81	5.06	7.11	20.71	0.79	1.83	10.08	1.68	4.9	14.45	0.67	5.68	6.21	13.83	7.4	1.25	2.18	6.11	2.16	4.54	1.62	1.45	9.34	5.59	6.84	2.56	10.16	2.61	18.84	4.39	8.99	1.25	12.55	3.99	10.96	7.63	3.56	9.7	2.46	0.82	2.63	1.93	0.73	1.75	14.89	34.02
CCM2L	45.53	20.41	26.1	24.28	13.72	0.0	0.04	444.72	277.2	995.0	525.39	412.0	1051.79	674.59	521.76	40.64	389.72	813.63	1096.5	813.63	73.03	82.87	432.53	170.25	460.44	995.0	129.69	152.28	684.02	947.83	848.22	31.45	183.82	299.25	299.25	543.96	63.89	158.79	511.0	273.37	460.44	47.84	187.71	166.73	1104.13	273.37	656.11	126.12	703.28	336.79	743.43	629.35	457.25	224.97	291.04	130.6	144.01	208.38	49.91	214.27	493.56	890.44
CEP89	132.44	63.89	58.71	48.52	34.26	0.0	0.39	197.09	229.72	651.58	295.11	221.86	301.33	293.07	351.14	85.22	223.41	316.37	316.37	341.51	212.78	82.87	201.25	234.57	289.02	414.87	70.01	116.78	332.14	420.68	312.0	59.13	81.71	295.11	289.02	336.79	93.35	217.27	620.67	234.57	260.38	108.9	199.85	215.77	457.25	185.11	406.31	125.24	470.14	220.32	395.18	417.77	191.67	293.07	186.4	148.09	162.14	138.1	64.8	229.72	381.68	525.39
CLCN2	31.9	29.06	15.0	17.77	30.56	0.0	0.69	42.11	19.25	65.26	55.1	40.64	122.64	68.55	35.76	66.18	33.3	28.45	145.02	65.26	13.93	22.43	80.57	38.95	80.57	57.49	20.26	70.01	66.18	84.04	63.89	26.28	13.32	15.68	60.39	105.89	24.46	41.52	63.89	17.38	37.05	28.24	28.04	29.48	144.01	50.63	63.89	24.99	161.02	105.89	42.41	71.0	35.5	65.72	60.39	24.28	24.99	21.63	14.78	24.11	82.29	109.66
CROCC	6.46	30.56	18.56	32.59	40.93	0.0	0.74	202.66	363.56	2915.45	228.13	395.18	638.15	503.95	551.56	105.89	387.02	258.57	336.79	591.22	135.24	171.45	198.47	327.56	323.03	878.17	169.07	206.94	348.71	563.18	511.0	189.02	54.33	291.04	249.73	420.68	94.01	153.34	2537.92	124.37	269.6	73.03	170.25	363.56	723.08	122.64	738.29	102.25	733.19	258.57	389.72	518.15	316.37	194.36	518.15	144.01	110.43	97.36	122.64	100.83	1096.5	974.5
DFFB	8.32	16.15	18.43	30.34	20.86	0.0	0.2	45.21	63.45	86.43	57.08	74.58	145.02	82.29	88.88	30.12	60.82	72.01	115.16	100.83	76.71	18.84	72.52	59.55	84.04	144.01	30.78	29.27	79.45	145.02	108.9	19.25	23.42	66.65	48.18	107.38	28.04	38.67	140.04	53.95	65.26	27.44	32.82	65.26	159.9	75.11	130.6	40.64	114.36	88.88	96.01	94.67	62.12	69.52	45.85	28.45	43.94	36.01	34.51	40.36	208.38	283.05
DNAJC17	206.94	420.68	273.37	314.17	441.64	0.0	0.59	409.15	583.07	743.43	470.14	460.44	454.09	547.75	909.17	139.07	656.11	287.01	457.25	612.11	327.56	111.99	503.95	275.28	444.72	518.15	303.44	363.56	507.46	587.13	603.67	384.34	353.59	366.09	466.88	420.68	429.54	269.6	603.67	466.88	591.22	376.41	432.53	343.89	536.45	607.87	669.92	343.89	684.02	381.68	563.18	571.05	412.0	607.87	476.71	262.2	303.44	432.53	183.82	412.0	759.08	878.17
DNASE1L2	0.0	0.31	0.74	0.0	0.0	0.0	0.39	1.0	3.69	15.91	1.13	17.0	41.22	14.56	19.68	0.0	8.19	12.45	28.86	15.45	10.16	1.23	4.43	3.92	6.89	16.39	0.0	1.73	5.36	33.3	27.64	2.29	1.2	5.92	4.35	18.56	2.29	1.81	28.65	1.79	6.26	0.43	3.89	6.52	19.97	7.0	11.64	1.62	14.67	7.22	19.25	12.83	4.7	5.82	2.76	3.17	4.7	0.43	0.74	5.32	45.85	26.86
FAM194B	0.0	3.32	10.96	2.18	1.5	0.0	0.66	3.41	9.27	10.88	1.87	31.0	22.26	18.56	21.47	8.06	26.86	12.18	8.58	8.65	11.04	11.55	11.21	10.24	23.08	27.84	2.61	23.76	1.77	42.41	31.0	4.24	3.79	12.0	2.39	14.24	6.52	6.78	11.3	4.94	2.36	3.5	11.38	8.19	56.68	0.96	17.0	1.35	4.58	6.11	17.64	8.92	21.47	11.04	10.63	6.84	11.3	4.06	2.03	4.13	35.5	28.65
FBXO46	31.9	68.55	82.29	51.35	105.89	0.0	0.57	173.85	105.89	316.37	198.47	334.46	460.44	429.54	239.52	85.22	289.02	215.77	444.72	224.97	108.9	103.69	283.05	135.24	195.72	202.66	169.07	71.5	124.37	384.34	124.37	173.85	105.89	127.0	137.14	217.27	115.97	114.36	441.64	122.64	253.23	115.97	133.36	105.15	432.53	134.3	371.22	130.6	312.0	134.3	265.87	281.09	224.97	265.87	121.79	129.69	94.01	80.01	98.04	81.14	603.67	483.38
GAL3ST4	8.99	7.69	22.1	10.79	0.35	0.0	0.07	132.44	117.6	204.07	112.77	145.02	258.57	361.04	140.04	29.7	56.28	154.42	175.07	212.78	42.41	35.76	123.5	71.0	125.24	228.13	43.63	48.18	205.5	285.03	173.85	62.56	24.99	100.13	98.04	193.01	15.11	73.54	198.47	40.36	134.3	23.42	49.91	144.01	409.15	126.12	193.01	36.53	265.87	74.06	400.71	190.34	129.69	142.01	61.25	112.77	59.13	58.71	17.13	74.06	232.94	389.72
GJC2	0.41	1.16	3.47	1.57	2.71	0.0	0.17	54.72	69.52	241.19	115.97	114.36	191.67	197.09	217.27	6.31	108.9	100.83	295.11	204.07	49.91	59.97	56.68	80.01	175.07	209.84	30.34	12.64	103.69	149.12	176.29	101.54	21.01	64.34	69.52	120.1	15.11	34.75	256.78	46.18	100.83	23.08	74.06	84.63	220.32	28.24	134.3	18.16	223.41	77.79	258.57	165.57	143.01	82.87	32.13	83.45	72.01	34.26	8.65	38.4	651.58	587.13
GPR161	7.75	7.75	8.0	4.13	3.69	0.0	0.56	159.9	124.37	153.34	264.03	139.07	172.65	108.14	157.68	7.4	149.12	104.42	190.34	226.54	125.24	50.63	248.0	162.14	269.6	358.54	57.08	39.22	199.85	329.84	127.89	121.79	37.59	255.0	182.55	232.94	22.43	193.01	71.0	89.51	99.43	23.08	191.67	204.07	260.38	40.36	153.34	52.82	595.34	90.14	173.85	147.06	176.29	211.31	123.5	152.28	40.64	64.8	22.1	81.71	819.3	153.34
GPS2	567.1	954.43	603.67	651.58	1015.93	0.0	0.73	1111.82	1950.0	2434.5	915.51	2018.8	2895.31	1819.35	2555.58	1001.93	1745.2	1628.26	2555.58	1709.26	1378.57	902.89	1417.35	1268.46	1295.13	2485.67	713.11	1378.57	1540.37	2485.67	2739.08	1447.15	684.02	1781.89	1242.34	2119.22	961.07	1096.5	2104.58	1639.59	1733.13	1044.52	1498.22	1639.59	2591.27	1806.78	2367.9	1498.22	1806.78	1268.46	2451.44	2209.26	1397.83	1175.27	2090.03	1008.9	872.1	1208.34	775.05	974.5	1709.26	1781.89
ID3	3103.19	848.22	483.38	563.18	309.83	0.0	0.39	1832.01	1498.22	10084.54	6699.25	5219.6	9474.59	7382.04	2032.85	1059.11	1909.85	4298.64	10296.45	4388.98	1594.73	1225.22	3303.0	2720.15	8658.09	13776.25	2777.33	1498.22	1605.83	6840.04	4769.75	2701.35	1175.27	10296.45	3372.43	6294.04	2537.92	1572.76	3742.05	3060.45	6164.49	1066.48	1322.37	1111.82	9474.59	2119.22	9279.58	1073.91	10084.54	2895.31	7382.04	5076.84	3564.78	3820.7	1369.04	2591.27	5183.54	1651.0	1639.59	1561.89	8134.41	1378.57
JRKL	25.91	26.67	37.59	14.24	7.22	0.0	0.0	99.43	146.03	202.66	96.68	178.77	220.32	178.77	154.42	16.51	120.1	193.01	150.17	228.13	113.56	70.51	75.64	94.01	194.36	187.71	28.45	48.87	150.17	223.41	244.57	24.63	28.04	72.52	80.01	195.72	45.85	81.71	224.97	94.01	139.07	40.64	51.35	131.51	166.73	98.73	182.55	64.34	223.41	65.72	214.27	148.09	105.89	98.04	68.55	92.05	65.72	62.56	44.25	100.83	450.94	273.37
KIAA1009	7.46	18.7	33.06	18.29	16.63	0.0	0.15	85.22	206.94	351.14	96.01	122.64	208.38	256.78	199.85	41.22	115.16	389.72	206.94	224.97	106.63	18.7	74.58	100.13	143.01	185.11	28.45	87.65	212.78	265.87	176.29	19.11	38.67	94.01	107.38	176.29	55.1	88.26	417.77	94.01	130.6	44.25	81.14	142.01	232.94	72.01	218.79	71.0	224.97	92.05	126.12	241.19	90.77	96.68	70.01	43.94	76.71	56.28	46.5	46.5	651.58	429.54
LFNG	10.55	41.22	52.08	61.25	32.82	0.0	0.65	444.72	674.59	1963.57	470.14	1572.76	1350.18	521.76	169.07	17.0	209.84	579.04	2485.67	753.83	356.05	384.34	665.29	334.46	1806.78	718.08	206.94	43.32	2047.0	1378.57	1225.22	295.11	77.79	785.88	497.0	486.75	470.14	476.71	759.08	157.68	775.05	237.86	409.15	208.38	3039.3	1674.06	441.64	132.44	1359.57	412.0	753.83	529.06	1081.39	176.29	112.77	525.39	902.89	780.44	309.83	256.78	6037.61	842.36
LIN37	470.14	171.45	85.82	157.68	114.36	0.0	0.56	167.9	173.85	217.27	262.2	242.88	454.09	256.78	483.38	166.73	381.68	161.02	490.14	244.57	172.65	173.85	358.54	173.85	124.37	277.2	146.03	229.72	150.17	336.79	264.03	223.41	208.38	166.73	269.6	295.11	112.77	149.12	351.14	204.07	287.01	106.63	170.25	301.33	363.56	303.44	267.73	212.78	497.0	208.38	299.25	414.87	154.42	314.17	143.01	149.12	234.57	185.11	204.07	209.84	525.39	651.58
NACAD	29.27	0.27	14.78	0.4	0.42	0.0	0.38	48.52	66.65	101.54	96.01	223.41	106.63	141.02	153.34	23.08	149.12	81.14	117.6	107.38	84.63	56.28	122.64	177.53	193.01	105.89	61.68	98.73	53.95	212.78	70.51	40.36	38.12	39.22	183.82	173.85	12.55	49.91	101.54	14.24	55.1	75.11	30.12	229.72	253.23	15.11	148.09	40.64	403.5	48.87	147.06	166.73	101.54	183.82	75.64	142.01	23.08	61.68	46.5	65.26	281.09	327.56
NOTCH4	112.77	124.37	141.02	135.24	138.1	82.29	157.68	780.44	1023.0	1857.6	836.53	733.19	2047.0	1001.93	2502.97	267.73	1991.0	1359.57	2224.63	1540.37	612.11	723.08	1225.22	941.27	1977.24	3060.45	878.17	679.29	1250.98	1909.85	2895.31	769.69	493.56	878.17	1015.93	2417.67	228.13	1268.46	872.1	470.14	1225.22	444.72	1628.26	379.04	3190.46	693.58	1331.57	583.07	1594.73	674.59	1313.23	1844.76	1175.27	1001.93	764.36	796.86	718.08	559.28	497.0	1295.13	603.67	1143.1
NRBP1	205.5	1605.83	1427.22	1369.04	1467.37	0.0	1.17	1059.11	1143.1	1857.6	1081.39	1909.85	1883.54	2875.3	2032.85	928.3	1628.26	2178.83	2163.77	2591.27	995.0	759.08	1225.22	2119.22	1277.29	1697.45	830.75	1295.13	1757.34	2502.97	1340.84	1832.01	988.12	1561.89	2090.03	1991.0	866.07	1313.23	1819.35	1709.26	1111.82	780.44	1286.18	1896.65	2468.49	1529.73	2287.2	1096.5	2875.3	1769.57	2303.12	2367.9	1529.73	1208.34	1037.29	1651.0	1397.83	1151.06	698.41	819.3	2178.83	2319.15
OBSCN	50.27	2.23	6.46	2.84	6.01	0.0	0.89	178.77	423.61	444.72	249.73	153.34	743.43	447.82	802.41	86.43	607.87	244.57	507.46	329.84	215.77	154.42	318.57	269.6	303.44	620.67	158.79	106.63	241.19	638.15	514.56	181.28	70.01	218.79	409.15	490.14	78.34	258.57	514.56	17.0	373.81	90.77	376.41	353.59	684.02	135.24	450.94	162.14	447.82	473.41	543.96	785.88	285.03	307.69	132.44	209.84	91.41	132.44	98.73	107.38	438.59	866.07
PCDHB13	1.55	2.07	24.63	5.87	24.46	0.0	0.37	24.28	25.54	61.68	34.02	48.52	44.57	139.07	82.87	22.26	48.87	64.8	35.76	113.56	17.38	53.57	11.04	38.12	46.84	93.35	56.28	24.99	92.05	166.73	41.22	21.32	28.24	53.95	29.48	46.5	30.56	18.84	32.36	41.22	30.56	7.46	64.34	83.45	177.53	8.0	33.3	21.78	75.64	13.12	83.45	52.08	55.49	30.12	19.97	65.72	24.63	13.93	22.92	28.24	72.52	58.71
PGBD2	9.7	46.84	45.53	60.39	39.22	0.0	0.0	44.89	62.56	128.79	61.68	113.56	149.12	134.3	90.14	16.75	76.17	132.44	165.57	181.28	45.85	23.42	106.63	55.1	88.26	136.19	14.03	32.59	105.15	158.79	108.14	21.63	27.44	46.84	45.53	120.94	23.08	41.52	140.04	57.08	105.15	24.11	34.51	54.33	177.53	92.7	157.68	34.51	130.6	49.91	148.09	106.63	68.55	69.52	50.98	37.32	32.59	33.06	32.82	57.49	147.06	221.86
PPT2-EGFL8	2.1	2.61	8.0	3.53	6.11	0.0	0.83	13.52	17.77	135.24	15.91	97.36	157.68	85.82	148.09	8.65	34.26	34.51	64.34	104.42	27.25	27.25	22.1	37.05	87.03	94.01	16.51	12.74	79.45	89.51	141.02	33.54	10.63	60.82	27.44	89.51	10.71	11.13	116.78	9.48	25.91	5.82	30.34	43.32	105.89	14.35	99.43	18.16	140.04	15.56	76.17	89.51	72.01	16.27	27.44	38.67	35.25	25.54	12.74	12.45	186.4	291.04
RAG1	4.21	5.59	18.29	1.69	0.0	0.0	0.0	17.38	18.29	28.24	17.25	10.31	45.53	33.54	11.55	1.27	16.51	17.13	12.45	35.5	7.46	8.13	23.76	7.11	49.21	38.12	2.29	8.51	29.91	50.27	72.01	1.69	2.51	14.45	15.91	46.84	0.82	6.31	48.52	38.12	32.13	2.61	10.96	11.47	30.56	8.25	39.79	9.34	59.13	24.28	44.25	23.59	19.39	22.59	34.51	22.75	2.16	3.11	0.8	15.0	9.78	33.54
RANBP10	48.87	120.94	126.12	109.66	195.72	0.0	0.47	159.9	248.0	769.69	297.17	361.04	441.64	438.59	669.92	177.53	373.81	371.22	295.11	334.46	320.8	202.66	265.87	366.09	180.02	518.15	97.36	183.82	273.37	698.41	633.73	123.5	130.6	343.89	181.28	381.68	164.42	379.04	743.43	217.27	287.01	127.89	316.37	277.2	579.04	208.38	473.41	145.02	551.56	156.59	325.29	476.71	376.41	232.94	127.89	198.47	152.28	189.02	130.6	177.53	463.65	373.81
RBM10	77.79	336.79	341.51	265.87	277.2	0.0	0.87	429.54	366.09	961.07	490.14	616.37	915.51	808.0	1208.34	303.44	928.3	567.1	890.44	890.44	629.35	265.87	575.03	381.68	660.68	909.17	255.0	417.77	414.87	995.0	514.56	348.71	283.05	379.04	612.11	674.59	279.14	170.25	1191.69	743.43	503.95	212.78	417.77	595.34	1119.56	473.41	775.05	273.37	947.83	684.02	961.07	748.61	583.07	1104.13	379.04	289.02	429.54	318.57	242.88	633.73	1313.23	1340.84
RHEBL1	4.31	12.09	4.74	1.04	6.26	0.0	0.11	15.22	80.01	191.67	16.15	15.11	35.76	28.04	31.67	17.0	18.7	14.14	76.17	58.3	29.06	22.59	49.91	33.54	40.07	70.01	13.93	9.2	35.25	58.71	87.65	83.45	17.9	61.25	22.75	69.03	10.16	34.02	145.02	18.16	32.13	6.26	23.93	40.64	114.36	35.0	61.68	6.36	56.28	19.97	68.55	37.85	27.25	21.94	19.25	21.78	63.89	22.26	12.27	19.53	65.72	40.93
RP4-583P15.15	1.25	55.49	28.45	27.25	15.8	0.0	0.75	8.71	31.67	52.82	9.27	73.03	124.37	80.57	108.14	32.13	92.05	31.9	60.39	66.18	40.36	35.76	23.93	32.59	30.12	67.59	5.73	10.0	23.59	94.01	74.58	27.64	10.0	29.7	18.56	43.02	3.59	15.45	80.57	25.72	50.27	9.7	19.97	34.75	80.01	21.94	75.11	28.65	57.89	22.92	44.25	53.95	17.13	10.96	44.25	18.56	9.41	9.93	26.28	20.71	127.89	57.08
SIGIRR	4671.57	1639.59	503.95	1225.22	1104.13	0.0	0.74	1001.93	2875.3	3794.3	1167.14	2104.58	6207.38	2935.74	2287.2	291.04	1417.35	2193.99	4869.99	3982.99	1378.57	902.89	1487.87	1487.87	1857.6	5112.16	967.76	473.41	1733.13	3589.58	4419.52	2090.03	551.56	1225.22	854.13	2303.12	490.14	563.18	6471.02	708.18	1359.57	406.31	1208.34	2417.67	5441.3	1081.39	2682.69	743.43	3280.18	1697.45	3540.14	5006.93	2935.74	1037.29	1781.89	1427.22	819.3	1127.35	559.28	551.56	4066.71	3212.66
