	GTEX.145MF.1526.SM.5LU95	GTEX.13O61.1226.SM.5KM21	GTEX.OIZG.0926.SM.3LK5Y	TCGA.VQ.AA6B.01A.11R.A414.31	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.HU.A4GP.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.VQ.AA6G.01A.11R.A414.31	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.12WSG.2026.SM.5FQUU	GTEX.13QJ3.2726.SM.5SI6L
C1QTNF9	19.97	18.03	14.56	2.51	0.48	1.75	3.03	15.91	2.07	0.93	1.57	0.91	0.92	22.75	3.17	3.23	1.31	103.69	0.0	7.94	33.06	13.32	31.45	4.98	4.94	21.78	24.81	24.11	21.32	13.42
C4orf3	2485.67	1844.76	2335.28	785.88	808.0	543.96	698.41	1417.35	808.0	571.05	723.08	1143.1	656.11	1250.98	571.05	486.75	571.05	830.75	295.11	1617.0	2271.4	988.12	1745.2	902.89	1175.27	1685.71	1685.71	3190.46	1572.76	4210.15
CCL2	2224.63	753.83	1883.54	1216.75	698.41	275.28	206.94	5329.3	1498.22	83.45	507.46	414.87	441.64	4639.29	1259.69	157.68	59.55	507.46	2075.59	1378.57	21919.61	753.83	4869.99	397.93	1183.45	4388.98	1388.16	2682.69	4358.66	2367.9
CD302	679.29	409.15	397.93	215.77	52.45	441.64	483.38	688.78	616.37	353.59	147.06	135.24	358.54	656.11	381.68	166.73	325.29	249.73	65.26	423.61	638.15	343.89	660.68	503.95	249.73	426.57	947.83	743.43	738.29	1857.6
CDH20	1.69	3.96	9.63	1.2	0.0	0.0	0.0	8.65	2.23	0.68	0.79	0.0	0.0	1.3	1.31	2.25	0.0	0.73	0.65	2.51	4.1	0.58	2.97	1.53	5.36	0.68	7.46	3.0	5.32	14.35
CDPF1	392.44	316.37	336.79	102.25	134.3	125.24	111.99	202.66	211.31	126.12	220.32	111.21	83.45	234.57	239.52	171.45	107.38	156.59	151.22	224.97	376.41	251.48	307.69	165.57	251.48	271.48	283.05	366.09	239.52	325.29
CELF4	34.26	21.94	43.94	0.0	2.34	3.11	2.41	23.42	7.51	4.66	2.2	100.13	1.41	17.64	5.59	7.06	2.53	10.79	9.13	33.54	75.64	22.75	71.5	35.0	76.71	50.27	65.26	78.89	93.35	24.63
CFH	4903.87	1127.35	2032.85	229.72	237.86	351.14	214.27	1950.0	860.08	285.03	483.38	366.09	271.48	1369.04	429.54	163.28	104.42	358.54	95.34	1044.52	1340.84	961.07	1397.83	723.08	629.35	934.76	2163.77	3257.52	1883.54	5954.47
CNIH3	53.95	27.64	128.79	21.32	16.75	14.89	48.87	41.81	50.27	22.59	51.71	26.67	19.68	29.06	59.55	33.3	25.17	77.79	25.91	41.52	67.12	54.72	75.11	43.32	50.63	57.89	127.0	76.71	115.97	145.02
CNTN4	438.59	32.82	134.3	15.91	6.31	35.76	32.82	142.01	45.53	22.43	56.28	37.05	27.44	201.25	36.27	23.93	17.13	52.08	13.42	84.04	232.94	81.71	181.28	81.14	55.49	76.17	212.78	237.86	173.85	723.08
COLQ	158.79	78.34	116.78	17.0	11.55	4.7	12.0	48.87	18.7	9.7	20.71	11.91	16.63	29.27	26.86	29.06	25.35	24.46	23.76	44.89	80.01	20.71	71.0	19.25	43.63	35.5	40.36	33.78	94.01	83.45
CPA3	921.88	988.12	728.11	82.29	34.02	187.71	232.94	1151.06	371.22	241.19	351.14	88.26	212.78	866.07	571.05	88.26	65.26	108.9	26.47	1498.22	166.73	1073.91	1487.87	1250.98	753.83	1151.06	1250.98	5112.16	2271.4	1073.91
CPEB1	295.11	124.37	316.37	1.99	3.56	6.73	7.51	38.67	12.27	4.78	13.52	7.17	2.34	69.03	13.72	2.36	2.36	19.68	0.71	58.71	275.28	42.11	251.48	11.47	34.26	69.03	215.77	397.93	42.11	616.37
CUTC	454.09	728.11	698.41	293.07	198.47	148.09	85.22	514.56	329.84	212.78	242.88	229.72	211.31	318.57	121.79	406.31	175.07	162.14	262.2	285.03	587.13	281.09	334.46	204.07	242.88	511.0	323.03	514.56	361.04	543.96
DPT	21320.18	2451.44	10733.74	10.0	13.32	23.93	28.45	688.78	215.77	54.33	133.36	54.33	8.25	269.6	149.12	6.78	4.86	72.52	3.5	2609.3	6294.04	2018.8	6840.04	525.39	674.59	3168.41	1781.89	7433.4	2240.11	46019.85
ECI2	1519.15	1857.6	1697.45	395.18	144.01	532.74	764.36	1437.15	819.3	620.67	921.88	802.41	633.73	1104.13	2645.74	1572.76	884.29	493.56	791.35	1857.6	1331.57	1250.98	1277.29	1950.0	2004.85	2351.53	2537.92	1340.84	1832.01	698.41
ECM1	1909.85	299.25	791.35	178.77	753.83	287.01	175.07	228.13	325.29	234.57	521.76	1487.87	303.44	514.56	283.05	85.82	169.07	351.14	269.6	361.04	688.78	403.5	514.56	231.32	356.05	206.94	486.75	3146.52	921.88	5147.73
EDIL3	397.93	172.65	466.88	224.97	43.32	314.17	253.23	575.03	376.41	167.9	208.38	189.02	171.45	674.59	249.73	130.6	223.41	463.65	88.88	426.57	595.34	403.5	603.67	457.25	312.0	323.03	567.1	579.04	620.67	934.76
EFCAB6	45.53	22.43	26.86	8.32	12.36	6.16	5.59	36.01	21.94	7.22	7.63	8.45	19.11	8.65	24.46	17.13	7.88	20.56	15.56	14.24	54.72	35.25	37.59	35.0	17.38	21.01	44.57	17.38	26.67	24.28
EFS	1088.92	271.48	780.44	31.45	17.13	21.16	35.0	91.41	74.58	31.67	44.89	27.44	16.75	120.94	40.07	12.45	19.11	65.26	17.9	205.5	406.31	134.3	665.29	90.14	72.01	154.42	185.11	493.56	221.86	1286.18
EMC4	2133.97	2351.53	2485.67	1378.57	1857.6	1594.73	2075.59	2520.38	1437.15	1388.16	1991.0	1697.45	1583.71	2303.12	1991.0	1794.29	1883.54	2451.44	1551.09	1950.0	2255.7	2351.53	2319.15	1909.85	2555.58	2976.74	2591.27	2485.67	2855.44	2875.3
ENDOV	514.56	353.59	507.46	237.86	176.29	148.09	194.36	309.83	253.23	211.31	281.09	299.25	234.57	255.0	293.07	156.59	376.41	162.14	111.21	256.78	450.94	305.55	312.0	220.32	323.03	265.87	414.87	406.31	387.02	387.02
ERVFRD-1	11.64	24.99	17.13	0.57	1.58	2.2	1.28	9.06	2.92	2.18	2.1	1.71	0.96	10.39	1.95	1.75	1.36	1.93	0.55	11.64	5.41	9.27	16.75	6.16	0.0	10.0	29.91	39.79	19.97	14.89
FAM135B	27.05	6.21	17.13	0.0	0.4	5.63	1.38	18.43	4.28	6.78	12.45	3.29	0.44	1.6	0.48	8.92	0.44	1.6	20.86	35.76	13.03	10.63	13.83	15.11	8.78	5.36	43.94	11.3	43.94	46.18
GARNL3	368.65	312.0	559.28	118.43	61.68	79.45	46.18	129.69	76.17	35.0	76.71	37.59	63.0	101.54	61.68	63.45	69.52	100.83	34.75	123.5	336.79	100.13	323.03	109.66	97.36	169.07	260.38	253.23	178.77	423.61
GLTP	669.92	571.05	493.56	214.27	348.71	373.81	447.82	525.39	521.76	529.06	470.14	450.94	392.44	743.43	412.0	351.14	444.72	417.77	303.44	447.82	854.13	551.56	587.13	543.96	567.1	571.05	612.11	1175.27	802.41	1191.69
GNG7	309.83	211.31	409.15	12.27	8.85	29.48	11.73	237.86	72.52	33.3	144.01	20.71	11.38	68.07	56.68	34.02	10.47	81.71	14.24	177.53	307.69	165.57	303.44	199.85	217.27	275.28	289.02	454.09	258.57	629.35
GNPTG	2271.4	1769.57	2417.67	947.83	620.67	954.43	1427.22	1350.18	1242.34	1216.75	1127.35	1277.29	1268.46	1277.29	1844.76	819.3	1001.93	1605.83	1233.75	1477.58	1447.15	2047.0	1896.65	1322.37	1605.83	2417.67	2777.33	1628.26	2047.0	2319.15
GPRASP2	236.21	175.07	244.57	27.84	14.67	21.63	37.59	118.43	61.68	19.68	42.41	40.36	20.11	87.65	62.56	27.44	20.86	63.45	7.75	129.69	279.14	93.35	283.05	66.65	39.22	82.29	154.42	303.44	109.66	273.37
HBCBP	0.0	2.61	5.36	0.0	2.32	0.0	1.14	2.36	1.23	1.73	0.0	0.0	0.0	4.06	3.0	2.63	0.0	0.0	0.0	0.0	4.06	0.0	7.63	2.53	0.0	8.32	11.3	5.82	3.82	10.55
HDAC11	571.05	483.38	595.34	289.02	142.01	167.9	199.85	117.6	358.54	223.41	158.79	420.68	182.55	215.77	954.43	460.44	214.27	323.03	591.22	423.61	457.25	323.03	571.05	253.23	267.73	289.02	532.74	559.28	503.95	791.35
HOXC5	55.49	16.15	43.02	2.97	5.77	3.82	16.03	7.34	7.06	13.32	31.9	109.66	4.46	29.91	4.98	20.86	13.42	40.36	12.55	46.5	140.04	51.35	147.06	44.57	32.36	73.54	67.59	135.24	195.72	42.41
ISL1	503.95	325.29	603.67	18.16	43.94	8.85	56.28	239.52	88.88	57.08	90.14	236.21	64.34	195.72	62.56	25.72	14.35	45.85	4.31	162.14	400.71	177.53	195.72	178.77	139.07	140.04	325.29	267.73	229.72	470.14
KRT24	3.99	2.66	3.44	0.0	0.0	1.46	0.91	0.68	1.87	0.0	0.0	0.51	0.0	1.07	0.0	0.0	0.0	0.0	0.0	20.26	20.71	56.68	106.63	0.0	0.0	20.71	84.63	314.17	50.98	70.01
LIAS	186.4	153.34	209.84	120.94	224.97	110.43	105.15	209.84	236.21	156.59	172.65	171.45	125.24	158.79	113.56	161.02	239.52	185.11	78.89	177.53	239.52	186.4	209.84	189.02	147.06	242.88	435.55	293.07	253.23	198.47
LINC00908	29.48	11.21	40.64	0.0	0.0	1.6	0.39	7.82	0.79	0.82	1.91	0.41	0.41	8.06	3.03	2.32	0.0	0.89	0.0	15.56	24.81	10.16	40.07	2.92	10.47	11.55	19.97	30.56	27.05	55.89
LRRC3B	20.41	13.42	11.91	0.8	0.0	1.2	0.39	13.32	0.0	1.58	0.49	0.4	0.0	22.92	1.73	1.55	0.0	1.71	0.0	14.03	15.11	14.89	26.86	3.5	45.21	4.82	21.78	17.77	34.51	21.78
MAGEE1	70.01	54.33	126.12	2.53	2.66	6.84	5.92	42.41	19.39	10.31	14.03	29.91	3.29	48.52	53.19	8.0	7.0	40.93	11.04	35.5	121.79	35.76	79.45	22.1	27.05	39.22	126.12	155.5	35.5	81.71
MAMSTR	92.7	53.95	195.72	22.92	19.11	12.27	29.7	27.44	17.77	11.47	29.7	16.03	11.13	62.12	52.82	16.39	8.06	23.93	18.7	40.64	119.26	40.07	146.03	28.45	32.13	74.06	66.18	182.55	148.09	242.88
MAPK10	551.56	285.03	759.08	45.53	12.27	50.63	46.5	180.02	100.13	30.34	62.12	26.28	16.51	214.27	72.52	66.18	14.89	55.49	9.48	217.27	587.13	194.36	612.11	108.9	71.0	293.07	336.79	616.37	323.03	1151.06
MFAP4	47974.16	3820.7	20170.07	890.44	142.01	830.75	848.22	4972.34	2004.85	703.28	1870.53	624.99	540.19	6294.04	2075.59	285.03	297.17	1498.22	150.17	9279.58	18689.27	6079.61	18689.27	3564.78	3280.18	7485.11	5041.77	18304.63	8134.41	67846.12
MGAT4C	15.91	3.38	5.15	0.0	0.0	0.24	2.94	1.23	0.88	0.0	1.91	0.0	0.0	4.62	0.0	0.23	0.0	0.0	0.0	2.76	16.75	1.3	7.57	0.91	4.43	1.16	2.92	10.88	5.11	44.25
MMD2	2.66	0.91	3.76	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	8.51	0.0	5.02	0.0	0.0	0.42	0.0	2.18	2.78	3.59
MMP27	51.71	3.06	4.58	0.25	0.0	2.63	1.45	11.55	0.66	0.0	1.99	0.0	1.55	0.77	0.0	0.0	0.67	0.77	0.0	5.77	25.35	7.88	11.91	1.31	0.0	0.1	6.06	10.47	5.59	21.01
MOG	3.08	4.03	10.08	0.0	11.55	0.0	0.0	5.02	0.0	0.0	0.0	2.58	42.11	1.3	0.47	0.0	0.0	0.0	0.0	1.43	7.28	0.45	4.31	0.0	0.0	2.84	3.0	1.71	8.51	10.16
MRPL34	2163.77	1923.14	2664.15	1378.57	1572.76	1119.56	902.89	1794.29	2104.58	1561.89	2502.97	2104.58	1001.93	2796.65	1001.93	1519.15	934.76	1697.45	1295.13	2520.38	2555.58	2240.11	2796.65	1757.34	3467.27	3928.15	3039.3	3467.27	3614.55	2163.77
MS4A2	141.02	66.18	180.02	1.81	1.62	13.72	13.12	191.67	43.32	4.5	22.59	2.51	6.57	85.22	41.22	2.56	2.94	7.69	0.59	143.01	21.47	140.04	108.9	116.78	59.55	75.64	186.4	305.55	175.07	212.78
MYH2	11.47	3.35	2.05	0.0	0.0	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	3.06	2.18	1.77	2.89	2.51	0.0	1.13	3.47	5.32	5.41	1.53
N4BP2L1	693.58	536.45	540.19	412.0	105.89	91.41	98.73	486.75	336.79	82.29	151.22	101.54	95.34	189.02	154.42	96.01	61.68	201.25	47.84	361.04	435.55	289.02	493.56	217.27	291.04	603.67	629.35	480.04	332.14	1487.87
NDN	1832.01	780.44	1508.65	83.45	60.39	88.88	87.03	334.46	215.77	105.89	149.12	88.26	55.49	607.87	191.67	34.75	42.11	183.82	49.91	463.65	1540.37	460.44	1199.98	281.09	287.01	647.07	679.29	1498.22	493.56	2148.82
NGFR	379.04	389.72	995.0	3.86	4.66	8.71	7.22	138.1	42.11	25.17	66.65	7.11	2.43	94.67	14.67	6.78	3.82	11.13	6.16	88.88	341.51	52.45	228.13	18.97	39.22	129.69	89.51	764.36	199.85	1059.11
NMUR1	73.03	66.65	63.89	4.31	0.78	2.51	2.84	46.5	20.86	7.06	8.78	2.07	3.03	46.5	10.71	4.54	5.19	5.36	3.5	36.79	34.51	34.75	77.79	13.52	7.0	18.29	66.18	161.02	50.98	194.36
NUTM2A	37.05	42.11	44.89	7.22	14.89	9.93	16.75	4.06	17.77	8.13	24.46	10.24	5.82	27.25	15.45	8.38	25.17	18.97	12.83	42.71	62.56	29.06	49.56	47.17	17.13	10.0	38.95	73.54	68.07	41.81
PAMR1	1896.65	157.68	269.6	30.34	10.79	45.21	26.67	111.99	44.57	49.56	93.35	36.27	47.5	147.06	97.36	28.45	46.84	69.52	44.89	218.79	329.84	190.34	358.54	90.77	100.83	115.16	223.41	638.15	194.36	476.71
PAQR7	172.65	137.14	186.4	39.79	36.01	44.57	70.01	112.77	75.11	67.59	112.77	96.68	51.35	244.57	209.84	78.89	33.78	201.25	323.03	339.14	147.06	118.43	191.67	164.42	130.6	120.1	341.51	336.79	351.14	205.5
PDE1A	483.38	139.07	316.37	28.45	16.39	35.76	38.67	237.86	94.67	32.36	77.25	61.68	46.84	325.29	57.08	19.53	27.84	81.71	16.51	156.59	358.54	125.24	281.09	128.79	122.64	215.77	269.6	476.71	373.81	1950.0
PEG3	80.01	56.28	120.1	6.78	1.73	4.46	5.02	44.57	16.15	3.72	10.08	6.84	3.63	44.57	11.82	1.57	1.58	7.75	2.53	75.64	269.6	38.67	201.25	16.63	9.85	84.04	66.65	189.02	71.0	199.85
PET112	273.37	239.52	283.05	246.28	171.45	193.01	194.36	195.72	152.28	166.73	205.5	177.53	152.28	212.78	265.87	177.53	155.5	157.68	159.9	231.32	287.01	206.94	273.37	305.55	275.28	283.05	339.14	329.84	277.2	242.88
PGC	1583.71	8046889.67	68.55	40.36	1277.29	71219.26	400098.69	2310861.52	2310861.52	535303.41	2310861.52	3200796.55	55491.3	1916442.45	1.011504819E7	1131651.83	805764.22	5128124.01	757033.75	672883.8	1662.49	1851161.35	659036.03	5690009.96	4885245.74	2654482.97	205673.01	60304.42	509950.32	633.73
PHYHD1	1015.93	1378.57	1923.14	32.82	318.57	72.52	40.64	454.09	108.9	143.01	281.09	30.12	46.5	384.34	87.65	33.78	273.37	194.36	40.36	493.56	934.76	536.45	1030.12	693.58	802.41	748.61	1662.49	1594.73	1119.56	1127.35
PINLYP	521.76	348.71	363.56	25.72	20.86	13.62	31.67	147.06	65.72	64.34	80.01	23.76	11.64	201.25	37.59	26.28	16.63	32.82	25.35	158.79	441.64	167.9	277.2	98.04	183.82	232.94	186.4	503.95	205.5	785.88
PKNOX2	131.51	77.79	147.06	3.76	4.39	12.83	11.13	51.35	17.25	11.38	36.53	5.11	2.89	73.03	16.75	5.19	8.45	19.11	4.66	74.06	159.9	39.5	166.73	42.41	47.5	53.57	78.89	81.71	128.79	258.57
PLP1	1104.13	351.14	830.75	0.97	1.55	10.47	0.56	113.56	42.11	7.06	24.63	3.08	0.0	36.27	23.08	0.0	0.0	1.89	0.0	265.87	1769.57	185.11	921.88	46.84	120.1	281.09	361.04	698.41	417.77	6607.01
PPM1M	1051.79	842.36	1023.0	147.06	98.73	117.6	194.36	432.53	450.94	138.1	255.0	275.28	111.21	329.84	490.14	98.73	121.79	175.07	182.55	473.41	536.45	435.55	796.86	329.84	291.04	866.07	620.67	866.07	343.89	1529.73
PRKAG3	2.58	0.0	6.06	0.0	0.0	0.0	0.38	1.13	0.0	0.0	0.0	0.39	0.0	0.92	0.45	0.0	0.0	0.0	0.0	2.05	1.08	0.0	2.46	0.0	0.0	0.51	13.03	0.4	1.77	0.91
PRPH2	38.95	22.1	29.7	5.59	5.77	7.46	5.63	29.91	23.25	6.52	27.64	6.26	7.63	33.78	9.48	7.22	4.24	57.49	4.9	14.35	46.18	9.78	49.91	24.63	10.0	21.32	10.39	34.51	31.9	107.38
PTHLH	5219.6	48.18	111.99	21.94	11.55	11.64	7.75	167.9	40.64	7.11	17.25	22.43	20.11	91.41	36.79	0.0	2.23	15.8	5.36	40.07	206.94	114.36	109.66	27.84	21.01	65.72	110.43	348.71	135.24	728.11
PTN	813.63	127.89	571.05	25.72	24.99	65.26	100.13	158.79	58.3	40.07	88.26	57.89	29.91	156.59	58.3	14.03	31.45	70.51	11.64	356.05	620.67	312.0	669.92	180.02	122.64	389.72	371.22	808.0	665.29	2367.9
RP11-279O9.4	115.16	71.0	57.89	0.0	3.29	0.0	4.66	15.11	4.62	4.43	19.82	0.0	2.97	22.26	0.0	5.28	7.94	0.0	9.48	30.56	58.3	26.28	35.0	19.97	64.8	23.25	0.0	60.82	53.19	149.12
S100A12	78.89	21.63	40.64	8.38	12.18	42.41	5.73	20.26	9.7	40.36	38.67	79.45	40.36	25.91	77.79	27.84	14.56	2.18	127.0	105.15	136.19	172.65	177.53	29.48	28.45	981.29	69.52	101.54	273.37	547.75
S100A4	26431.04	3190.46	14361.31	1073.91	16843.62	1216.75	651.58	4268.94	1857.6	902.89	1030.12	1583.71	708.18	1477.58	1508.65	2104.58	642.59	1572.76	1883.54	2701.35	6381.92	2956.17	3443.31	915.51	2664.15	4298.64	2796.65	15180.22	4388.98	21768.19
SALL2	256.78	232.94	470.14	11.38	5.28	13.72	16.75	68.55	32.13	21.16	27.84	14.45	5.41	94.01	39.22	14.67	8.78	44.89	11.21	180.02	567.1	121.79	291.04	49.91	82.29	113.56	293.07	633.73	131.51	551.56
SCUBE2	483.38	86.43	493.56	36.53	5.15	19.11	43.02	124.37	44.25	45.21	98.73	67.59	13.32	105.89	87.65	26.28	37.85	224.97	26.28	536.45	656.11	145.02	567.1	293.07	194.36	260.38	860.08	181.28	607.87	353.59
SFRP1	3716.2	158.79	3325.99	4.24	2.58	10.63	3.63	143.01	121.79	6.94	50.98	7.57	3.5	87.03	32.36	5.5	2.53	23.93	3.72	684.02	2335.28	651.58	1697.45	45.53	143.01	351.14	1183.45	4937.99	872.1	7695.57
SFTPD	41.22	59.97	61.25	0.0	0.0	1.97	14.24	13.32	7.51	2.73	8.65	9.34	1.14	32.82	17.13	11.13	15.56	12.55	0.0	37.32	44.25	18.43	47.84	8.25	31.45	28.24	69.03	82.29	42.71	39.5
SGSM1	53.19	61.68	111.99	7.34	7.0	25.35	40.93	49.56	39.5	58.3	54.72	18.97	51.35	51.71	20.86	90.14	21.63	114.36	3.14	42.11	98.04	96.01	113.56	76.17	48.52	35.76	132.44	107.38	102.25	133.36
SIGLEC6	106.63	41.52	88.88	4.54	1.25	6.11	8.78	101.54	48.18	9.2	36.53	3.2	8.13	47.17	22.75	3.56	3.29	9.34	1.03	117.6	13.72	82.29	112.77	61.25	46.5	74.58	100.13	325.29	155.5	52.45
SLC17A7	256.78	35.5	123.5	1.75	2.73	3.5	2.25	15.22	6.57	3.47	6.89	1.36	0.37	35.5	4.9	0.37	0.37	2.66	2.94	48.87	112.77	32.59	76.71	11.47	11.82	18.7	72.01	180.02	40.07	318.57
SLC26A4	18.7	20.71	8.92	1.68	1.51	2.58	3.14	7.17	6.16	1.68	11.3	2.86	17.25	19.53	3.23	14.67	8.65	8.58	2.01	17.38	7.63	8.38	36.53	10.47	5.54	17.64	24.11	7.82	26.86	36.27
SLC2A11	603.67	277.2	423.61	102.25	118.43	46.5	73.03	334.46	102.25	62.56	157.68	155.5	87.03	186.4	132.44	147.06	101.54	176.29	59.13	171.45	384.34	183.82	395.18	149.12	163.28	356.05	412.0	358.54	529.06	318.57
SNRPN	540.19	497.0	684.02	100.83	19.39	44.57	16.88	255.0	123.5	88.88	98.04	41.22	33.54	139.07	34.26	39.22	23.25	38.67	24.81	299.25	669.92	218.79	629.35	161.02	325.29	679.29	1015.93	629.35	356.05	616.37
SNX3	4388.98	3768.09	3742.05	2224.63	2555.58	2835.7	2816.11	3564.78	2758.13	2701.35	2520.38	2104.58	2255.7	3325.99	3018.3	1991.0	1806.78	2816.11	2209.26	2935.74	5041.77	3325.99	3325.99	2835.7	3349.13	4937.99	3955.48	5112.16	3467.27	6607.01
