	GTEX.13OVI.1126.SM.5KLZF	GTEX.1399S.0526.SM.5IJG8	GTEX.13FTX.0326.SM.5J2NG	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	TCGA.FY.A2QD.01A.11R.A19O.07	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.11I78.0526.SM.5986A	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.YB5E.0626.SM.4VDSE	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
GNA15	43.02	81.71	373.81	244.57	201.25	4.66	13.32	11.82	30.12	48.52	60.82	124.37	24.81	27.05	25.17	22.92	36.27	11.21	16.15	42.41	10.79	15.68	12.93
HAVCR2	172.65	426.57	193.01	412.0	389.72	13.93	12.93	17.51	22.43	69.03	126.12	110.43	21.63	17.0	63.89	21.16	138.1	10.39	37.59	43.94	11.47	10.16	15.22
HDHD1	490.14	563.18	638.15	373.81	660.68	248.0	232.94	260.38	277.2	269.6	273.37	366.09	190.34	341.51	307.69	189.02	291.04	258.57	269.6	361.04	208.38	299.25	218.79
HNRNPA0	2555.58	2609.3	2119.22	2004.85	2240.11	1832.01	2047.0	1437.15	2193.99	2047.0	2384.37	1991.0	1733.13	2434.5	2018.8	1819.35	1936.53	1896.65	2148.82	2148.82	1572.76	1388.16	1407.55
HNRNPUL2-BSCL2	921.88	928.3	934.76	1051.79	1388.16	373.81	555.41	420.68	656.11	647.07	529.06	728.11	540.19	616.37	713.11	497.0	679.29	226.54	226.54	764.36	309.83	514.56	318.57
HOXA3	289.02	226.54	102.97	72.01	23.76	7.46	32.59	10.0	38.4	33.3	23.76	43.32	27.64	10.96	8.19	22.26	23.76	11.73	11.82	48.52	11.3	8.92	10.79
IL10	33.54	105.89	44.57	12.64	39.5	0.8	1.79	2.84	15.34	25.91	48.18	27.84	5.63	18.16	16.03	6.94	23.42	1.5	10.63	22.1	1.38	1.2	1.62
IL10RA	540.19	591.22	748.61	753.83	1268.46	14.03	55.89	53.19	113.56	154.42	299.25	209.84	65.72	52.08	224.97	111.99	144.01	40.93	79.45	228.13	21.78	32.13	52.08
IRF2BPL	1051.79	947.83	967.76	595.34	954.43	493.56	567.1	417.77	493.56	791.35	884.29	679.29	540.19	674.59	785.88	486.75	693.58	543.96	480.04	651.58	563.18	525.39	356.05
ITGAM	125.24	170.25	819.3	480.04	420.68	5.68	38.12	32.36	37.05	74.58	185.11	106.63	18.56	23.08	52.82	31.9	66.18	6.31	32.59	61.25	1.46	18.29	18.29
KCNAB2	507.46	466.88	1088.92	1340.84	612.11	51.71	87.03	43.94	105.15	223.41	297.17	316.37	157.68	121.79	141.02	171.45	309.83	59.13	70.01	279.14	62.56	96.68	100.83
KIF1C	2520.38	3039.3	4268.94	5954.47	4937.99	2075.59	1923.14	1529.73	1794.29	2835.7	2701.35	2224.63	1832.01	2287.2	2163.77	1745.2	2720.15	1151.06	1044.52	3325.99	1832.01	1369.04	1331.57
LILRB4	113.56	170.25	381.68	629.35	612.11	16.88	51.35	43.02	61.68	142.01	172.65	291.04	22.92	100.13	138.1	50.98	351.14	14.35	140.04	155.5	13.22	35.25	32.13
LILRB5	143.01	164.42	182.55	102.97	329.84	20.11	8.99	14.24	37.32	57.89	61.25	44.89	20.26	23.42	33.54	19.11	22.26	4.21	16.63	78.89	5.92	2.71	12.27
LRP10	4123.49	3690.52	4419.52	4972.34	4671.57	1870.53	1936.53	941.27	2417.67	2682.69	2255.7	2915.45	2178.83	2018.8	2351.53	1977.24	2434.5	1639.59	1467.37	2335.28	1781.89	1369.04	1457.23
LRRC71	0.0	5.41	221.86	66.18	10.47	0.0	0.73	0.97	1.66	4.06	8.19	2.1	2.36	4.43	3.53	2.63	4.39	2.16	1.14	3.76	3.44	0.29	0.0
MAPK3	3168.41	2777.33	2555.58	2303.12	1583.71	1477.58	1883.54	1781.89	1977.24	1909.85	1757.34	2047.0	1757.34	1923.14	1977.24	1883.54	2193.99	1745.2	1551.09	2224.63	1662.49	1721.16	1769.57
MASP1	1427.22	165.57	66.65	246.28	191.67	10.96	51.35	10.71	24.28	145.02	139.07	100.13	24.28	81.71	80.01	29.91	80.57	34.26	87.65	111.21	10.79	9.06	34.51
MLLT1	769.69	713.11	1104.13	1066.48	703.28	373.81	620.67	412.0	813.63	791.35	902.89	1023.0	674.59	738.29	775.05	633.73	1104.13	232.94	301.33	1081.39	309.83	532.74	438.59
MS4A4A	620.67	679.29	1167.14	2502.97	2976.74	29.7	61.25	81.71	133.36	195.72	239.52	265.87	99.43	114.36	167.9	85.22	358.54	42.11	148.09	202.66	44.57	49.21	52.82
MS4A6A	2502.97	2163.77	3081.75	4607.24	6164.49	67.59	249.73	327.56	403.5	934.76	813.63	1242.34	303.44	521.76	791.35	293.07	728.11	157.68	429.54	647.07	123.5	109.66	197.09
MS4A7	825.0	536.45	1427.22	2573.36	3018.3	55.49	82.29	93.35	150.17	159.9	258.57	229.72	68.55	115.97	198.47	127.89	183.82	49.21	125.24	251.48	40.36	87.65	68.55
MYO1F	157.68	277.2	884.29	483.38	438.59	21.63	43.32	26.67	108.14	118.43	190.34	221.86	35.76	45.21	148.09	86.43	121.79	22.26	50.63	116.78	19.11	55.89	46.18
NACC2	309.83	303.44	320.8	217.27	139.07	147.06	161.02	121.79	186.4	185.11	228.13	229.72	193.01	138.1	149.12	177.53	201.25	171.45	122.64	198.47	128.79	141.02	124.37
NEO1	1322.37	1135.2	884.29	1697.45	1519.15	412.0	521.76	463.65	450.94	764.36	470.14	599.49	540.19	638.15	603.67	500.46	813.63	285.03	348.71	775.05	366.09	283.05	273.37
NFE2L1	8191.0	5403.7	2701.35	4869.99	7081.29	2627.46	3168.41	2956.17	3540.14	2997.45	3395.89	3820.7	2682.69	2627.46	3081.75	2384.37	4210.15	2193.99	2434.5	5006.93	2335.28	2591.27	2319.15
NFIC	2133.97	1870.53	1295.13	3665.02	2976.74	1008.9	1277.29	921.88	1467.37	1628.26	2133.97	2193.99	1417.35	1388.16	1437.15	1447.15	2384.37	1051.79	1119.56	2609.3	1088.92	1225.22	1175.27
NFIX	1757.34	1250.98	1991.0	5751.61	3742.05	511.0	1104.13	921.88	915.51	1359.57	1857.6	1733.13	1467.37	1088.92	995.0	848.22	1806.78	525.39	620.67	1685.71	543.96	583.07	603.67
OPTN	2400.97	1583.71	1023.0	947.83	1225.22	387.02	493.56	361.04	723.08	791.35	693.58	764.36	332.14	423.61	540.19	423.61	954.43	376.41	256.78	1561.89	368.65	366.09	395.18
PARVG	301.33	392.44	1359.57	647.07	620.67	16.63	71.5	75.11	48.87	126.12	172.65	204.07	52.82	69.03	111.21	119.26	119.26	31.45	94.67	141.02	9.13	42.11	61.68
PEX5	785.88	848.22	1037.29	825.0	860.08	426.57	651.58	518.15	607.87	660.68	583.07	629.35	595.34	633.73	579.04	567.1	612.11	441.64	397.93	743.43	441.64	616.37	463.65
PIGS	1977.24	2434.5	1487.87	2468.49	1277.29	1286.18	1250.98	1286.18	1295.13	954.43	1437.15	1467.37	1331.57	1417.35	1508.65	1081.39	1540.37	961.07	1277.29	1639.59	1044.52	1081.39	1111.82
PIK3R5	111.21	143.01	423.61	325.29	316.37	8.85	38.12	25.54	52.08	87.03	155.5	89.51	22.59	25.91	81.14	82.29	93.35	6.73	24.46	50.98	10.0	16.39	19.97
PLEKHF1	139.07	175.07	343.89	444.72	187.71	18.84	112.77	40.64	122.64	189.02	84.04	159.9	137.14	24.63	45.85	69.03	127.89	97.36	58.71	346.29	51.35	44.57	44.57
PRELP	6079.61	2573.36	3690.52	2133.97	9474.59	25.91	571.05	571.05	733.19	2047.0	2895.31	934.76	341.51	753.83	1437.15	620.67	1697.45	138.1	1529.73	1397.83	67.59	81.14	743.43
PRRT2	63.89	27.05	59.13	36.79	35.25	23.42	22.43	21.63	21.78	42.71	39.22	48.87	14.78	21.47	35.5	28.24	48.18	12.74	15.91	50.98	13.72	20.56	28.45
PSMF1	3257.52	3372.43	4298.64	4704.07	6294.04	2287.2	2384.37	2400.97	2485.67	2573.36	2777.33	3018.3	2956.17	2855.44	2502.97	2451.44	3081.75	2682.69	2777.33	2997.45	2816.11	2384.37	2104.58
RASGRP4	34.75	48.18	199.85	102.97	84.63	2.89	9.85	5.77	22.1	20.11	24.63	22.75	8.65	7.51	11.73	10.24	23.42	8.65	9.13	20.26	3.23	5.28	5.87
RNASE2	21.01	33.78	265.87	43.32	105.89	0.0	12.0	8.45	30.34	17.0	31.9	28.86	16.39	11.55	11.73	17.0	28.04	4.78	15.68	18.43	10.47	5.77	4.82
RXRA	1216.75	1617.0	1331.57	2047.0	1697.45	842.36	1242.34	860.08	1051.79	1111.82	1242.34	1378.57	967.76	1030.12	1242.34	981.29	1191.69	909.17	819.3	1477.58	896.64	981.29	988.12
SEMA4D	1191.69	1073.91	830.75	444.72	890.44	279.14	547.75	417.77	417.77	540.19	616.37	642.59	376.41	473.41	603.67	441.64	555.41	368.65	361.04	638.15	283.05	316.37	341.51
SIRPB2	66.18	90.14	325.29	195.72	211.31	5.96	18.43	10.31	20.41	38.95	33.78	36.53	13.22	21.94	32.36	23.59	32.13	5.68	16.51	53.57	2.1	17.25	7.57
SMAP2	1757.34	1991.0	1781.89	1662.49	1639.59	323.03	463.65	466.88	457.25	665.29	785.88	733.19	438.59	454.09	656.11	612.11	743.43	423.61	536.45	567.1	400.71	384.34	497.0
SORBS3	4095.0	3190.46	3564.78	6294.04	4704.07	2090.03	2255.7	1605.83	2104.58	2645.74	3443.31	3443.31	2163.77	2018.8	1781.89	1896.65	3235.01	1781.89	2287.2	2319.15	2163.77	1950.0	2255.7
SPEN	890.44	775.05	813.63	1313.23	1295.13	518.15	759.08	525.39	860.08	884.29	1088.92	1015.93	848.22	723.08	802.41	848.22	928.3	638.15	684.02	884.29	759.08	647.07	713.11
SPI1	429.54	733.19	2303.12	2119.22	1015.93	63.0	134.3	88.88	260.38	395.18	389.72	802.41	144.01	163.28	178.77	153.34	361.04	70.01	202.66	307.69	76.17	67.12	81.14
STAB1	1572.76	1697.45	1191.69	1096.5	1250.98	291.04	283.05	483.38	738.29	769.69	954.43	791.35	435.55	483.38	718.08	454.09	457.25	397.93	612.11	1340.84	343.89	406.31	435.55
SZRD1	2240.11	2875.3	2047.0	2485.67	2255.7	1467.37	1870.53	1769.57	1977.24	2209.26	1991.0	2255.7	1870.53	2240.11	1697.45	1963.57	2047.0	1950.0	1529.73	2061.24	1896.65	1794.29	1757.34
TBC1D25	309.83	334.46	320.8	361.04	297.17	206.94	239.52	146.03	255.0	285.03	248.0	320.8	236.21	226.54	217.27	248.0	301.33	301.33	236.21	363.56	291.04	208.38	255.0
THEMIS2	500.46	607.87	1427.22	1388.16	1268.46	80.57	177.53	275.28	265.87	384.34	813.63	603.67	237.86	281.09	348.71	432.53	624.99	119.26	373.81	603.67	246.28	299.25	309.83
TMEM86A	947.83	503.95	193.01	248.0	154.42	45.53	145.02	78.89	141.02	146.03	130.6	128.79	147.06	150.17	115.97	102.97	143.01	121.79	94.01	159.9	126.12	78.89	74.06
TNXB	1104.13	1259.69	2664.15	1119.56	1806.78	16.75	507.46	551.56	429.54	866.07	941.27	934.76	409.15	536.45	392.44	684.02	830.75	246.28	629.35	647.07	277.2	253.23	490.14
TPO	4.66	2.86	4.13	5.15	6.78	39785.74	757033.75	619179.28	751804.53	402881.61	585779.24	828417.36	716197.51	1078054.48	687022.54	672883.8	443937.41	485798.0	919186.72	492579.5	1890058.21	875652.15	2111737.85
TYROBP	2701.35	3820.7	11504.21	10883.59	5594.3	204.07	567.1	389.72	974.5	1605.83	1551.09	1950.0	567.1	759.08	961.07	624.99	2209.26	329.84	1259.69	1378.57	289.02	301.33	248.0
VSIG4	1073.91	1242.34	6037.61	9344.14	12676.65	25.35	209.84	215.77	334.46	480.04	493.56	579.04	248.0	201.25	343.89	224.97	642.59	107.38	314.17	514.56	113.56	92.05	113.56
WAS	373.81	500.46	830.75	529.06	518.15	21.94	59.97	35.25	82.29	127.0	201.25	320.8	42.41	90.14	75.64	76.71	120.1	24.81	84.04	132.44	22.1	27.44	42.71
ZNF503	1030.12	791.35	463.65	406.31	242.88	153.34	172.65	111.21	246.28	271.48	202.66	356.05	214.27	293.07	141.02	164.42	147.06	151.22	147.06	265.87	100.83	100.13	94.01
ZRSR1	21.47	9.78	18.7	25.72	34.51	18.03	15.68	0.0	13.32	14.45	36.53	22.1	11.64	11.21	29.27	14.14	24.81	8.06	1.91	20.41	0.62	5.63	12.0
ZSWIM1	226.54	199.85	181.28	164.42	170.25	111.99	163.28	154.42	167.9	171.45	175.07	217.27	162.14	189.02	176.29	163.28	182.55	171.45	172.65	189.02	115.16	135.24	136.19
