	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.BA.5149.01A.01R.1514.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CN.5363.01A.01R.1436.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4427.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BK.A4ZD.01A.11R.A27V.07
ETNK2	4543.8	409.15	409.15	205.5	214.27	41.52	9.34	423.61	316.37	688.78	1191.69	780.44	438.59	599.49	775.05	3060.45	4575.41	9876.98	14867.79	5441.3	15824.9	8305.36	5076.84	9025.81	6164.49	5954.47	2739.08	12502.12	7642.41	5517.27	19482.97	10959.3	6652.97	13215.02	8022.41	4095.0	3874.05	2319.15	11267.44	2997.45	4607.24	11909.94	0.0	289.02	0.66	389.72
FXYD1	11664.82	12.45	12.45	1.81	802.41	72.01	10.39	181.28	23.76	251.48	11992.79	1923.14	7911.95	2895.31	4543.8	16269.83	11992.79	69753.56	77934.88	38430.46	106462.55	58250.19	52497.92	68318.04	85283.74	53973.86	40904.3	85283.74	74243.68	83528.61	68793.23	71714.63	70238.75	90773.53	33688.23	39785.74	43537.38	36106.23	38430.46	50011.46	65535.0	45386.27	0.0	67.12	0.34	44.25
FXYD7	21.47	8.92	8.92	3.66	6.67	0.0	1.75	3.11	6.11	6.21	30.12	1.43	12.93	9.48	5.68	3.59	13.72	14.03	43.32	12.55	20.41	36.79	16.75	35.5	18.56	24.81	29.27	28.04	29.06	25.54	23.93	24.81	19.25	51.35	17.38	13.62	21.63	21.63	28.04	13.22	25.35	30.12	0.0	3.08	0.3	0.92
G6PC	12244.81	0.0	0.0	0.33	0.0	0.0	0.38	0.0	0.0	8479.89	8598.28	4450.27	1923.14	921.88	1059.11	8247.98	11745.96	16383.0	23656.34	16269.83	15715.58	31215.04	6381.92	23169.48	75280.1	215898.44	16269.83	28923.41	114103.8	3372.43	40.36	5831.91	37121.34	13776.25	46986.85	22072.07	25005.23	1167.14	1277.29	26431.04	40341.14	11189.6	0.0	0.0	0.0	0.0
GPX4	14065.74	6337.83	6337.83	3639.7	7032.37	4450.27	6983.79	5872.48	6983.79	15075.35	8022.41	17197.56	9740.98	14163.58	11112.3	14867.79	16383.0	21919.61	22692.63	15285.81	23009.42	23492.92	20030.74	24321.43	21468.49	22072.07	20030.74	23820.89	25005.23	28723.62	16383.0	24153.43	17197.56	21768.19	18819.27	19482.97	17681.08	14361.31	18052.61	17437.64	21617.82	20310.37	0.0	8247.98	1.0	10585.95
HAAO	5517.27	60.82	60.82	15.11	15.34	7.82	3.92	34.02	11.04	1259.69	3515.68	878.17	1159.07	249.73	738.29	10225.32	6164.49	10368.08	29943.43	17804.06	33455.53	21919.61	14065.74	33922.56	15392.14	21320.18	12160.22	27363.16	28328.16	24490.61	26248.46	19482.97	27553.49	35363.15	11345.82	19618.49	15075.35	13215.02	21468.49	16960.78	21026.65	21617.82	0.0	52.82	0.35	106.63
HAGH	8022.41	305.55	305.55	547.75	612.11	808.0	417.77	389.72	293.07	4419.52	1561.89	1447.15	1467.37	1407.55	1322.37	7589.61	7642.41	13399.51	10084.54	7130.55	11827.67	8901.53	12415.75	11827.67	15607.02	18560.17	9215.48	11827.67	11664.82	21026.65	10883.59	10084.54	14765.09	10084.54	15392.14	15934.98	12076.21	11745.96	12329.98	7537.18	9215.48	12853.63	1286.18	872.1	381.68	309.83
HOGA1	928.3	26.47	26.47	1.17	17.25	1.79	2.63	4.31	3.44	141.02	679.29	441.64	327.56	187.71	283.05	743.43	1059.11	1977.24	3103.19	1870.53	5292.48	1991.0	1794.29	3515.68	2645.74	1096.5	2875.3	3564.78	2682.69	2434.5	4239.45	3018.3	3589.58	2591.27	1498.22	1909.85	1331.57	974.5	3039.3	1208.34	2032.85	2627.46	0.0	15.34	0.31	11.47
HSPB9	90.14	2.68	2.68	3.82	3.69	4.66	5.77	0.0	2.66	54.72	149.12	60.82	38.95	44.57	64.8	287.01	50.27	521.76	351.14	107.38	351.14	336.79	246.28	381.68	146.03	197.09	733.19	267.73	441.64	312.0	358.54	275.28	420.68	379.04	176.29	136.19	297.17	147.06	170.25	267.73	289.02	348.71	0.0	5.92	0.09	2.12
IGSF23	141.02	0.0	0.0	0.62	0.73	2.61	0.0	1.6	0.0	24.28	71.5	6.57	65.72	23.42	105.89	334.46	164.42	214.27	187.71	1104.13	1088.92	1044.52	58.71	825.0	61.68	190.34	90.77	769.69	1388.16	988.12	842.36	518.15	231.32	1369.04	466.88	189.02	314.17	84.04	1447.15	72.52	281.09	249.73	0.0	0.0	0.0	2.97
LIMS2	624.99	178.77	178.77	81.71	143.01	48.18	16.39	164.42	52.45	397.93	884.29	642.59	143.01	551.56	366.09	1008.9	1175.27	1407.55	1437.15	1977.24	1498.22	2178.83	974.5	2758.13	866.07	941.27	2133.97	1721.16	4639.29	1073.91	1685.71	1583.71	1540.37	1583.71	1427.22	1540.37	866.07	1151.06	2075.59	860.08	2400.97	1662.49	0.0	483.38	0.59	366.09
LYRM9	332.14	33.54	33.54	20.71	32.36	47.84	16.75	44.57	14.56	185.11	334.46	136.19	66.65	105.89	231.32	220.32	305.55	392.44	379.04	368.65	397.93	363.56	412.0	366.09	547.75	400.71	314.17	532.74	420.68	152.28	511.0	435.55	540.19	656.11	379.04	301.33	228.13	318.57	279.14	142.01	327.56	373.81	0.0	102.25	0.16	56.28
MPND	1359.57	229.72	229.72	242.88	269.6	297.17	444.72	334.46	346.29	571.05	1427.22	941.27	571.05	567.1	1225.22	981.29	1030.12	995.0	2104.58	1745.2	1769.57	2047.0	1457.23	1977.24	1519.15	1857.6	1111.82	2148.82	2075.59	1757.34	2119.22	1572.76	1378.57	1295.13	947.83	1369.04	1037.29	1388.16	1350.18	1457.23	1685.71	1733.13	0.0	438.59	0.16	624.99
NAGA	583.07	435.55	435.55	307.69	403.5	166.73	426.57	540.19	271.48	139.07	122.64	723.08	361.04	579.04	384.34	624.99	633.73	902.89	575.03	532.74	1199.98	587.13	748.61	571.05	995.0	1477.58	651.58	514.56	674.59	1242.34	620.67	616.37	866.07	693.58	981.29	713.11	647.07	674.59	738.29	603.67	743.43	575.03	0.0	490.14	0.44	490.14
NR1I3	3325.99	17.25	17.25	1.89	3.99	4.9	8.19	7.69	1.36	231.32	1037.29	470.14	595.34	142.01	363.56	4607.24	3665.02	7911.95	19214.73	15285.81	26067.14	25887.07	6426.31	39785.74	6607.01	9279.58	6561.36	16496.96	29327.18	5672.41	10959.3	17317.18	22072.07	37121.34	10883.59	12415.75	3257.52	10733.74	16960.78	5076.84	23169.48	10368.08	0.0	25.72	0.17	10.47
PARD6A	105.89	8.25	8.25	8.32	26.47	7.0	18.03	19.25	39.22	11.91	19.68	54.33	25.35	46.18	40.93	105.89	126.12	115.16	316.37	104.42	135.24	156.59	119.26	114.36	223.41	441.64	170.25	111.99	175.07	185.11	85.22	124.37	132.44	155.5	120.1	91.41	173.85	71.5	91.41	476.71	211.31	135.24	0.0	36.53	0.32	19.68
PLCG2	366.09	63.45	63.45	98.73	102.25	84.04	70.01	102.97	113.56	77.79	99.43	262.2	127.0	209.84	96.68	277.2	361.04	329.84	426.57	872.1	503.95	703.28	287.01	759.08	483.38	1037.29	368.65	947.83	1216.75	665.29	384.34	616.37	571.05	669.92	825.0	532.74	441.64	612.11	1508.65	329.84	642.59	414.87	0.0	131.51	0.59	148.09
POLR2E	4769.75	3901.01	3901.01	2796.65	3190.46	2701.35	3467.27	2956.17	4239.45	4268.94	4481.23	4736.79	4123.49	3467.27	2915.45	4123.49	6037.61	4671.57	6607.01	3955.48	5633.22	6121.9	4671.57	5995.9	5183.54	5441.3	6037.61	7280.4	5479.15	5555.65	4607.24	5366.37	5255.91	7642.41	4419.52	4736.79	4903.87	4038.61	3614.55	3955.48	4869.99	4937.99	4181.07	2701.35	316.37	2875.3
PRG2	16.15	1.33	1.33	2.76	9.85	0.0	4.58	0.0	4.03	20.41	11.3	9.78	6.52	9.85	0.0	16.27	17.0	10.55	54.72	14.45	40.07	27.84	7.0	27.84	11.91	18.43	8.65	48.52	27.05	25.17	23.08	22.43	11.3	38.12	11.91	17.38	28.45	14.24	31.67	97.36	16.15	30.56	0.0	5.19	0.18	2.1
PRR22	90.77	31.67	31.67	9.06	18.03	9.7	35.5	12.55	12.74	61.25	59.97	41.81	35.25	48.52	23.59	81.14	91.41	74.06	96.68	65.72	82.29	104.42	62.12	88.26	90.77	154.42	82.29	204.07	162.14	73.54	94.01	121.79	64.8	242.88	46.84	53.57	128.79	77.79	87.03	226.54	72.01	63.89	0.0	9.85	0.29	41.81
PSD4	753.83	381.68	381.68	368.65	620.67	775.05	417.77	164.42	361.04	579.04	563.18	575.03	366.09	309.83	988.12	988.12	1001.93	759.08	896.64	941.27	981.29	1313.23	299.25	1167.14	684.02	575.03	1088.92	1417.35	674.59	791.35	1313.23	1111.82	1208.34	1617.0	571.05	656.11	1397.83	656.11	1199.98	748.61	616.37	890.44	246.28	361.04	108.9	547.75
RBP5	6792.79	94.67	94.67	8.65	37.85	8.71	6.41	24.28	11.91	1250.98	3928.15	138.1	1295.13	316.37	543.96	10296.45	6840.04	18560.17	21468.49	13968.57	65535.0	24490.61	22535.88	20593.91	19618.49	12160.22	15285.81	21026.65	25530.66	19892.37	22692.63	28328.16	50011.46	36864.92	10733.74	18819.27	7485.11	15715.58	18950.18	10084.54	25887.07	29531.18	0.0	118.43	0.27	38.12
RP11-343C2.12	285.03	44.25	44.25	23.25	78.34	205.5	64.34	120.94	195.72	269.6	177.53	118.43	178.77	269.6	197.09	339.14	180.02	348.71	490.14	444.72	483.38	400.71	144.01	287.01	201.25	215.77	267.73	409.15	237.86	212.78	450.94	334.46	246.28	356.05	417.77	529.06	273.37	356.05	414.87	264.03	420.68	384.34	0.0	137.14	0.0	51.71
RP11-434D12.1	115.16	21.16	21.16	0.0	3.99	4.58	15.45	22.59	12.27	0.0	60.39	0.0	24.81	4.28	57.89	115.97	113.56	178.77	368.65	175.07	183.82	277.2	12.93	185.11	23.08	100.83	57.89	246.28	218.79	159.9	312.0	204.07	103.69	351.14	105.89	221.86	71.5	31.45	120.1	53.95	466.88	329.84	0.0	0.0	0.13	9.27
RP11-872D17.8	119.26	10.71	10.71	33.06	20.56	7.75	1.81	8.0	26.47	39.79	33.06	35.0	49.56	144.01	22.75	125.24	198.47	124.37	314.17	132.44	769.69	244.57	137.14	117.6	507.46	183.82	251.48	665.29	182.55	463.65	205.5	409.15	221.86	713.11	363.56	320.8	759.08	507.46	325.29	97.36	283.05	197.09	0.0	15.0	0.18	6.16
SIRT5	718.08	217.27	217.27	267.73	187.71	182.55	232.94	269.6	323.03	473.41	612.11	507.46	521.76	314.17	587.13	638.15	718.08	1044.52	819.3	1151.06	1233.75	1096.5	941.27	1088.92	1175.27	1250.98	1277.29	1498.22	1242.34	947.83	896.64	1295.13	1397.83	1697.45	1295.13	995.0	928.3	1151.06	1350.18	1023.0	1350.18	1135.2	0.0	111.99	0.0	289.02
SLC27A5	15392.14	72.52	72.52	40.64	36.53	59.97	109.66	102.25	368.65	2104.58	4512.4	559.28	2090.03	460.44	1008.9	28723.62	24832.5	109455.64	82951.62	61999.83	217400.14	114103.8	59063.35	172949.54	93325.55	79022.82	57051.4	177811.84	92680.9	143430.26	100719.65	94628.34	126606.21	119776.72	51062.33	102836.01	65082.31	46339.95	95949.32	53601.03	115696.65	95949.32	0.0	47.84	0.52	281.09
TMEM205	6887.62	1277.29	1277.29	1477.58	872.1	872.1	1066.48	1191.69	2133.97	3325.99	4671.57	4181.07	4937.99	5479.15	6037.61	11112.3	9025.81	18689.27	5791.62	6792.79	22692.63	7537.18	15180.22	10733.74	15180.22	6792.79	16960.78	8479.89	6887.62	20451.65	7695.57	7749.1	16383.0	8538.88	20737.16	19754.96	12853.63	9876.98	9474.59	6426.31	6745.86	7911.95	0.0	1096.5	0.95	2739.08
TOB1	3235.01	599.49	599.49	323.03	536.45	1508.65	460.44	325.29	616.37	1304.15	915.51	4769.75	1268.46	1183.45	2018.8	2997.45	3419.52	2816.11	2915.45	4639.29	2555.58	6471.02	3039.3	4066.71	2997.45	3168.41	4123.49	3928.15	6607.01	3690.52	2627.46	3443.31	3928.15	2468.49	6294.04	3820.7	2997.45	2468.49	2875.3	1073.91	6983.79	3491.39	384.34	409.15	1066.48	854.13
TTC36	2976.74	3.14	3.14	3.03	3.92	0.0	0.0	1.33	0.0	12.18	50.98	6.73	8.25	2.71	2.05	4181.07	3742.05	14163.58	36106.23	8658.09	34876.28	23986.58	22072.07	29736.59	18178.19	21172.91	8363.13	34876.28	30361.44	36864.92	28328.16	24153.43	32315.87	50359.33	8078.22	22692.63	26986.43	5872.48	10733.74	22380.2	24490.61	13968.57	0.0	1.6	0.0	2.03
ZNF511	1628.26	713.11	713.11	769.69	642.59	423.61	813.63	878.17	651.58	884.29	1685.71	1015.93	1397.83	1331.57	1073.91	2555.58	1437.15	2591.27	5329.3	2591.27	3768.09	2193.99	1870.53	2335.28	1594.73	3540.14	1322.37	3060.45	2935.74	2875.3	4181.07	2915.45	3690.52	3742.05	2209.26	2178.83	2645.74	1963.57	2591.27	2835.7	3103.19	3303.0	1143.1	866.07	293.07	651.58
ZNF688	275.28	318.57	318.57	186.4	218.79	178.77	120.1	140.04	123.5	91.41	194.36	146.03	255.0	151.22	158.79	361.04	381.68	551.56	447.82	389.72	450.94	669.92	356.05	426.57	346.29	480.04	738.29	575.03	543.96	242.88	389.72	507.46	384.34	559.28	397.93	361.04	353.59	314.17	351.14	237.86	389.72	457.25	0.0	209.84	0.21	121.79
