	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A411.01A.11R.A24H.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.CR.7374.01A.11R.2016.07	TCGA.HD.8314.01A.11R.2403.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.55.7724.01A.11R.2170.07	TCGA.85.7697.01A.11R.2125.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A3VI.01A.11R.A23N.07	TCGA.EL.A4JX.01A.12R.A250.07
ATP11B	8598.28	1832.01	642.59	1540.37	1407.55	2645.74	1583.71	921.88	0.0	1417.35	1447.15	289.02	283.05	189.02	316.37	231.32	228.13	228.13	279.14	305.55
ATP1B3	17078.76	13123.73	5255.91	10440.2	11584.24	29124.6	15607.02	18950.18	0.0	11664.82	16157.44	3146.52	3768.09	2627.46	3467.27	5441.3	3847.29	3372.43	3168.41	3190.46
ATP2B1	309.83	642.59	234.57	1242.34	1111.82	620.67	909.17	928.3	713.11	775.05	571.05	197.09	211.31	103.69	158.79	112.77	124.37	144.01	142.01	176.29
B3GNT5	9409.14	7433.4	1073.91	1051.79	2104.58	1498.22	1359.57	638.15	0.0	1119.56	1066.48	102.25	126.12	98.04	146.03	116.78	96.01	163.28	92.05	132.44
BCL11A	3716.2	3235.01	75.11	497.0	325.29	603.67	409.15	389.72	0.0	423.61	412.0	39.22	11.64	22.75	25.54	41.81	31.0	32.59	16.63	42.71
BICD2	9740.98	6561.36	361.04	1991.0	1457.23	780.44	1628.26	1216.75	0.0	974.5	718.08	295.11	255.0	226.54	271.48	198.47	241.19	229.72	291.04	223.41
BPIFB1	0.0	13.52	1.62	111755.56	31432.17	1268.46	10883.59	8598.28	0.0	16727.26	39510.91	23.59	2.53	31.0	12.74	10.08	4.03	8.0	2.23	16.15
C3orf58	316.37	466.88	325.29	1304.15	902.89	1001.93	1781.89	351.14	0.0	902.89	575.03	102.25	116.78	68.55	102.25	107.38	85.82	95.34	99.43	108.14
C7orf76	0.0	0.0	0.0	4.43	1.31	1.97	1.58	2.94	0.0	1.87	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNA1B	44.89	12.93	0.37	191.67	123.5	61.25	31.22	73.03	0.0	27.25	17.9	11.91	2.07	0.48	6.94	1.85	2.48	0.84	1.11	3.53
CAPNS2	1514068.5	1890058.21	246.28	470.14	189.02	1605.83	1015.93	215.77	0.0	473.41	1259.69	12.09	5.19	1.73	9.06	5.06	4.98	1.62	3.66	3.44
CLDN17	1709.26	2319.15	1.93	83.45	24.28	9.27	50.98	12.93	0.0	13.83	24.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMSS1	273.37	607.87	500.46	808.0	1081.39	808.0	684.02	890.44	0.0	728.11	1151.06	435.55	500.46	307.69	353.59	529.06	470.14	358.54	579.04	373.81
CNTN1	65.26	181.28	47.17	629.35	435.55	212.78	334.46	267.73	258.57	189.02	124.37	1.85	23.25	0.89	10.88	0.44	0.77	0.46	2.03	0.0
COQ3	271.48	255.0	318.57	343.89	368.65	334.46	273.37	320.8	0.0	373.81	417.77	161.02	198.47	120.94	148.09	183.82	165.57	172.65	178.77	136.19
CTSV	18689.27	3303.0	242.88	836.53	1104.13	713.11	1437.15	1388.16	0.0	1781.89	371.22	61.25	44.89	20.41	58.71	61.25	36.79	44.25	56.28	20.11
CYP2C18	35363.15	62431.08	58.3	297.17	363.56	195.72	769.69	169.07	0.0	183.82	94.01	1.23	0.62	0.0	0.0	0.55	0.54	0.59	0.54	0.0
DEFB103A	239554.43	954.43	1.04	423.61	438.59	30.78	13.83	98.73	0.0	31.45	68.07	0.82	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0
DEFB103B	11112.3	353.59	1.0	94.01	121.79	33.3	15.11	206.94	0.0	31.0	67.59	0.82	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0
DIP2B	1561.89	575.03	281.09	1015.93	748.61	665.29	476.71	825.0	0.0	723.08	343.89	126.12	125.24	113.56	138.1	85.22	94.01	102.25	129.69	119.26
DNAJA4	591.22	954.43	872.1	890.44	981.29	1030.12	1447.15	476.71	0.0	1044.52	825.0	293.07	183.82	260.38	209.84	150.17	341.51	281.09	264.03	309.83
DPF1	4.86	0.0	21.01	86.43	86.43	44.57	71.0	368.65	0.0	24.81	84.04	1.04	0.0	2.81	3.99	0.55	0.99	2.61	0.99	0.0
DSC3	1.09164457E7	1.018540392E7	1175.27	5555.65	2875.3	3768.09	2537.92	1583.71	0.0	1427.22	1991.0	116.78	59.55	16.75	94.67	29.48	13.83	8.85	6.36	19.25
DYNLT3	2682.69	2240.11	660.68	1037.29	2075.59	1037.29	2287.2	2303.12	0.0	1977.24	1268.46	412.0	633.73	358.54	511.0	587.13	476.71	525.39	500.46	473.41
EIF5	1605.83	1745.2	2090.03	3540.14	4210.15	4481.23	2816.11	2061.24	2956.17	3820.7	3212.66	1605.83	1685.71	1467.37	1457.23	890.44	836.53	1857.6	1685.71	1745.2
EMP2	13872.08	4268.94	3589.58	2061.24	3124.78	2573.36	3303.0	2720.15	1233.75	6207.38	2148.82	2148.82	1427.22	1286.18	1896.65	1340.84	1594.73	1104.13	764.36	1111.82
ESRP1	8247.98	7081.29	1508.65	967.76	1519.15	2178.83	2209.26	1896.65	0.0	1697.45	1088.92	890.44	796.86	813.63	934.76	988.12	813.63	860.08	878.17	723.08
FAM135A	1417.35	1242.34	271.48	759.08	693.58	283.05	830.75	470.14	0.0	703.28	361.04	86.43	79.45	118.43	78.89	110.43	76.71	125.24	105.15	125.24
FAM25A	1034138.94	59474.18	156.59	854.13	688.78	248.0	974.5	1519.15	0.0	633.73	738.29	15.56	22.92	9.13	38.12	32.13	8.45	0.0	3.47	9.48
FAM83B	25887.07	18689.27	94.01	928.3	291.04	507.46	153.34	1250.98	0.0	289.02	316.37	41.22	29.48	18.16	38.95	14.67	10.39	18.97	25.91	35.76
FAT2	402881.61	171754.88	214.27	1769.57	551.56	703.28	547.75	381.68	0.0	253.23	764.36	80.57	13.03	5.96	37.32	9.93	5.15	4.13	5.45	50.63
FBXO27	3124.78	5006.93	323.03	660.68	486.75	376.41	563.18	400.71	0.0	400.71	214.27	13.72	20.26	28.45	17.51	14.14	31.45	21.94	18.43	28.45
FBXO45	429.54	400.71	343.89	423.61	748.61	426.57	674.59	361.04	0.0	438.59	674.59	80.57	94.67	87.03	98.04	73.03	61.68	95.34	63.45	73.54
FKBP4	3349.13	2664.15	1104.13	2816.11	4095.0	3982.99	5751.61	5672.41	0.0	3419.52	4239.45	1369.04	1037.29	1397.83	1250.98	909.17	1457.23	1030.12	1437.15	1191.69
FKSG61	0.29	2.97	14.14	28.45	38.67	58.71	135.24	90.77	0.0	42.11	176.29	16.63	25.72	15.56	0.0	0.0	0.0	0.0	0.0	0.0
FRMD6	1369.04	339.14	620.67	2178.83	1551.09	743.43	1191.69	1183.45	0.0	780.44	1572.76	133.36	142.01	74.06	115.16	52.45	62.56	68.55	61.68	113.56
FST	197.09	81.71	139.07	819.3	1233.75	239.52	457.25	928.3	0.0	384.34	1216.75	20.11	77.25	17.64	45.85	15.0	13.83	12.27	7.17	24.46
FUT1	208.38	118.43	58.71	170.25	135.24	100.83	120.1	158.79	96.68	152.28	115.97	47.84	52.08	52.45	48.87	61.25	75.11	65.26	42.41	26.86
FYTTD1	1250.98	808.0	1127.35	1628.26	2573.36	1857.6	2555.58	1583.71	0.0	1870.53	2796.65	842.36	693.58	547.75	1015.93	529.06	480.04	620.67	591.22	698.41
FZD7	19.39	36.01	154.42	454.09	281.09	2537.92	587.13	583.07	0.0	470.14	356.05	167.9	154.42	133.36	127.0	72.01	128.79	95.34	72.01	75.64
GBP6	9975791.32	1123834.93	44.57	1477.58	928.3	674.59	2351.53	1651.0	0.0	684.02	1259.69	10.39	2.07	6.62	5.02	1.58	3.89	13.42	4.1	14.45
GLTP	55877.28	23656.34	1936.53	7537.18	5076.84	2875.3	2739.08	4769.75	802.41	3349.13	4512.4	1617.0	1119.56	1088.92	1447.15	1127.35	1073.91	1119.56	1104.13	791.35
GLYATL2	0.0	3.41	41.22	283.05	713.11	403.5	277.2	39.79	0.0	48.52	145.02	3.32	2.1	0.0	0.24	1.41	0.59	0.0	0.0	0.0
GMPS	1498.22	981.29	1883.54	2468.49	2163.77	3665.02	3589.58	1857.6	0.0	1936.53	1674.06	547.75	450.94	457.25	665.29	483.38	454.09	387.02	503.95	438.59
HAS3	251464.33	11827.67	490.14	2018.8	4704.07	1594.73	3235.01	2758.13	201.25	808.0	1745.2	53.57	51.35	28.04	139.07	14.56	111.99	209.84	85.82	64.8
HMCES	3742.05	1794.29	2163.77	2018.8	2163.77	1447.15	5441.3	1950.0	0.0	2119.22	2163.77	890.44	941.27	1001.93	890.44	941.27	860.08	860.08	878.17	848.22
HNRNPK	9673.69	9740.98	8191.0	10296.45	10084.54	9409.14	11035.54	10296.45	6561.36	11035.54	8191.0	7485.11	7695.57	6935.54	7695.57	7180.15	6887.62	7749.1	7857.29	6699.25
HOMEZ	500.46	376.41	299.25	536.45	387.02	457.25	403.5	348.71	180.02	620.67	591.22	323.03	253.23	336.79	248.0	262.2	226.54	258.57	265.87	198.47
HSPB3	24.99	38.12	4.28	175.07	21.32	25.72	264.03	9.93	0.0	67.12	24.11	5.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISY1	567.1	629.35	1081.39	836.53	872.1	830.75	2351.53	1104.13	728.11	1073.91	1250.98	579.04	483.38	579.04	486.75	563.18	607.87	563.18	660.68	447.82
KLF5	30151.71	20170.07	2796.65	5366.37	3564.78	6887.62	8363.13	4181.07	0.0	2758.13	2720.15	1044.52	476.71	518.15	1001.93	684.02	988.12	642.59	591.22	525.39
KLK13	3478417.29	602247.76	13.72	3190.46	5112.16	265.87	698.41	1015.93	0.0	447.82	13033.07	23.76	48.52	34.26	42.71	64.34	71.5	43.02	17.51	12.36
KPRP	4972.34	299.25	0.85	351.14	19.82	17.77	165.57	74.58	0.0	241.19	26.86	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KRT6A	2.01760973986E9	2.41604469791E9	19618.49	91404.92	143430.26	46339.95	80683.28	120609.84	0.0	47313.67	64186.29	493.56	6.84	30.12	72.52	17.0	202.66	16.63	10.16	66.18
KRTAP19-1	0.0	0.0	2.97	115.97	1.04	25.91	19.39	42.71	0.0	12.18	15.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCE3D	2375828.71	402881.61	19.82	3081.75	2061.24	397.93	503.95	1883.54	0.0	896.64	607.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPAR3	4268.94	2835.7	6.73	98.73	127.89	150.17	94.67	115.16	0.0	125.24	279.14	2.23	3.76	1.89	2.2	3.59	2.07	2.29	0.24	0.31
LRRC4	204.07	163.28	24.99	3589.58	723.08	351.14	1081.39	551.56	0.0	361.04	217.27	44.57	17.64	9.93	12.09	4.82	18.03	15.56	8.99	8.38
LY6G6C	81809.59	59063.35	51.35	1030.12	540.19	759.08	848.22	785.88	0.0	1044.52	341.51	256.78	100.13	41.22	127.89	269.6	161.02	187.71	71.0	34.02
MARK1	43.63	183.82	237.86	224.97	368.65	392.44	305.55	224.97	0.0	248.0	232.94	91.41	62.56	48.52	87.65	54.72	82.87	56.68	54.72	125.24
MCCC1	339.14	769.69	660.68	713.11	1135.2	2384.37	1963.57	854.13	0.0	1250.98	1369.04	463.65	718.08	507.46	376.41	555.41	551.56	583.07	651.58	514.56
MRPL3	1378.57	1794.29	2032.85	2090.03	3325.99	2018.8	2835.7	2335.28	0.0	2485.67	2816.11	1447.15	1551.09	1119.56	1529.73	1697.45	1304.15	1407.55	1674.06	1242.34
MRPS22	1088.92	1073.91	1191.69	921.88	1369.04	1674.06	1769.57	1216.75	1250.98	1208.34	1551.09	559.28	759.08	583.07	591.22	753.83	540.19	647.07	620.67	559.28
NDRG4	4639.29	4575.41	150.17	575.03	457.25	738.29	674.59	854.13	0.0	339.14	373.81	61.68	53.19	63.89	31.67	43.63	48.87	75.64	27.64	84.63
NFE2L2	8963.45	8901.53	2303.12	10014.87	2997.45	6745.86	4181.07	3874.05	0.0	6607.01	4802.93	1832.01	1991.0	1572.76	1685.71	1594.73	1991.0	1806.78	1936.53	1572.76
NOS1	309.83	583.07	1.01	15.8	35.0	242.88	40.93	17.0	0.0	37.32	8.25	0.29	0.69	0.0	0.29	0.0	0.27	0.0	0.0	0.0
P2RY1	587.13	209.84	82.29	525.39	353.59	301.33	607.87	161.02	0.0	285.03	312.0	8.32	3.76	4.35	5.87	3.76	2.92	5.68	3.29	4.06
PABPC1	164758.26	102836.01	32092.64	24832.5	42937.97	41188.81	40062.48	42937.97	26986.43	50011.46	40062.48	22225.61	14262.1	17317.18	17317.18	17804.06	14065.74	16383.0	13872.08	15180.22
PAK7	31.67	19.68	0.0	115.16	36.79	23.08	1.38	15.22	0.0	2.94	16.75	0.0	0.0	0.0	0.16	0.15	0.14	0.0	0.0	0.61
PAX9	113315.62	4268.94	14.35	988.12	376.41	73.03	444.72	305.55	0.0	624.99	381.68	41.81	37.59	29.91	45.85	135.24	31.22	68.55	10.96	88.88
PGAP1	218.79	299.25	46.84	450.94	108.9	229.72	144.01	289.02	0.0	299.25	182.55	55.1	52.45	29.48	78.34	36.53	69.03	33.3	62.12	39.22
PI3	1656835.72	1482909.4	271.48	46019.85	120609.84	14361.31	57051.4	8598.28	0.0	18950.18	59063.35	24.81	0.0	68.07	12.0	76.71	19.82	18.16	0.0	138.1
PIGX	457.25	351.14	591.22	884.29	1286.18	802.41	1015.93	785.88	329.84	995.0	1519.15	251.48	226.54	157.68	193.01	212.78	175.07	229.72	325.29	289.02
PIP	25.72	0.0	8.45	16611.71	764.36	31.9	583.07	909.17	0.0	866.07	1540.37	14.14	1.28	0.61	3.44	1.43	1.1	3.26	0.0	0.0
PKP1	3.003205688E7	2.49061716E7	2875.3	18178.19	8658.09	10014.87	15499.21	6121.9	0.0	5147.73	8778.97	127.0	23.08	6.01	18.16	13.03	27.44	8.92	5.15	18.03
PLD1	5255.91	3614.55	329.84	1127.35	1096.5	1111.82	2451.44	688.78	0.0	884.29	1044.52	91.41	62.12	52.82	52.82	44.57	46.5	51.71	47.84	92.05
POLE3	1073.91	1313.23	1111.82	1721.16	1870.53	1191.69	2255.7	1709.26	0.0	1651.0	1143.1	808.0	738.29	656.11	854.13	579.04	607.87	698.41	753.83	647.07
PP13439	3.86	10.63	2.58	6.73	8.65	11.04	24.99	2.94	0.0	15.34	6.94	0.88	0.93	3.79	0.0	0.0	0.84	0.91	0.84	1.0
PPARGC1B	105.89	77.79	22.26	75.64	69.52	54.33	93.35	45.85	7.82	64.8	55.89	8.19	4.74	4.9	3.86	4.78	5.19	12.83	3.17	15.56
PTPRZ1	6652.97	7331.05	100.13	3768.09	1088.92	327.56	1437.15	1225.22	0.0	1561.89	1322.37	4.39	31.9	2.14	13.93	10.24	5.23	1.41	1.35	50.63
PVRL1	36106.23	13776.25	1023.0	5672.41	3874.05	2701.35	1001.93	2796.65	201.25	1467.37	3742.05	218.79	65.72	63.45	110.43	82.87	104.42	53.57	65.26	76.71
RAB3D	1651.0	1844.76	444.72	651.58	954.43	1023.0	753.83	579.04	336.79	642.59	563.18	312.0	190.34	206.94	305.55	144.01	171.45	199.85	145.02	186.4
RCOR1	2090.03	624.99	420.68	507.46	583.07	612.11	423.61	334.46	251.48	660.68	563.18	223.41	152.28	151.22	226.54	131.51	149.12	199.85	146.03	153.34
RNF168	947.83	476.71	343.89	703.28	587.13	651.58	1208.34	480.04	0.0	454.09	514.56	111.21	91.41	119.26	121.79	76.71	97.36	98.04	73.54	136.19
RP11-93B14.6	120.1	25.91	1.04	5.41	4.46	1.64	23.25	3.59	0.0	10.0	2.27	0.0	0.93	1.48	0.85	0.83	0.8	1.36	1.64	4.35
RPTN	18819.27	6745.86	15.11	325.29	146.03	114.36	158.79	31.9	0.0	279.14	205.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RRM1	5633.22	3039.3	1037.29	2739.08	1794.29	2104.58	1073.91	974.5	1529.73	1081.39	974.5	476.71	460.44	389.72	591.22	417.77	379.04	466.88	642.59	429.54
S100A7A	1.68	0.0	3.89	220.32	389.72	109.66	0.44	8.78	0.0	24.46	279.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBSN	1.66613263E7	5057523.59	53.19	6079.61	4607.24	2682.69	2855.44	2468.49	0.0	1322.37	3372.43	50.63	12.09	20.41	23.25	45.21	14.14	33.78	4.54	190.34
SENP2	198.47	229.72	470.14	1096.5	1417.35	1369.04	1407.55	660.68	346.29	848.22	915.51	325.29	291.04	289.02	389.72	182.55	285.03	303.44	387.02	297.17
SERPINA3	46.84	83.45	255.0	10808.41	2956.17	115.97	1508.65	3168.41	0.0	4575.41	14461.21	260.38	49.91	43.02	120.1	226.54	59.97	35.25	9.93	305.55
SETD8	842.36	753.83	1135.2	1909.85	1551.09	1508.65	1819.35	1832.01	575.03	1519.15	1721.16	780.44	603.67	551.56	748.61	486.75	647.07	620.67	748.61	470.14
SH3GL3	242.88	45.85	31.45	10.71	18.03	99.43	50.27	34.26	0.0	25.72	10.16	1.13	1.22	0.44	2.58	0.0	7.51	0.79	2.43	0.0
SIAH2	1104.13	2104.58	703.28	1977.24	1561.89	1991.0	2502.97	1457.23	0.0	830.75	1159.07	295.11	241.19	312.0	291.04	273.37	256.78	320.8	251.48	320.8
SLC13A4	638.15	172.65	6.73	23.25	49.56	18.29	134.3	28.24	0.0	63.0	22.75	6.73	10.16	12.45	2.25	3.26	10.0	6.36	5.82	4.54
SLC22A23	1437.15	802.41	289.02	1088.92	336.79	343.89	567.1	303.44	0.0	395.18	325.29	94.01	42.41	42.11	53.19	39.22	45.21	38.12	38.12	50.63
SLC5A1	23009.42	3303.0	11.82	224.97	460.44	85.22	163.28	79.45	0.0	206.94	95.34	1.81	0.46	0.0	0.79	0.42	0.0	1.53	1.07	2.86
SLPI	726195.27	469249.9	9151.82	149521.18	68318.04	12589.08	59474.18	29124.6	12853.63	114897.47	55107.99	25179.16	16383.0	19482.97	50359.33	17078.76	15824.9	28525.2	12244.81	23330.64
SOWAHC	18819.27	4607.24	41.52	490.14	764.36	514.56	529.06	603.67	57.08	490.14	356.05	93.35	131.51	68.55	94.01	65.26	90.14	82.87	72.01	76.71
SOX2	8022.41	2835.7	785.88	3820.7	3103.19	3982.99	5255.91	4268.94	0.0	1030.12	1519.15	1.46	12.0	0.99	0.0	0.0	2.94	1.51	1.39	2.29
SOX21	139508.13	217400.14	2.89	450.94	743.43	529.06	967.76	327.56	0.0	249.73	138.1	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.39	0.0
SPAST	215.77	158.79	215.77	400.71	583.07	400.71	503.95	426.57	0.0	314.17	215.77	161.02	127.0	114.36	173.85	101.54	119.26	122.64	136.19	139.07
SPINK7	288856.81	360589.03	59.55	1378.57	329.84	47.84	17.77	476.71	0.0	191.67	167.9	47.5	7.22	1.69	25.54	34.51	7.51	2.48	5.92	7.88
SPRR4	12244.81	819.3	5.68	198.47	332.14	217.27	253.23	178.77	0.0	152.28	450.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STEAP1B	825.0	363.56	142.01	237.86	262.2	98.04	346.29	190.34	0.0	297.17	229.72	3.86	5.11	5.87	5.63	4.1	4.03	7.82	4.9	18.7
TFRC	473.41	493.56	1437.15	3515.68	3716.2	2935.74	3820.7	7130.55	0.0	2367.9	3235.01	299.25	194.36	215.77	224.97	133.36	178.77	267.73	95.34	332.14
TGM7	70.51	2163.77	1.3	15.8	3.63	2.43	5.28	1.19	0.0	2.92	0.0	0.39	0.42	0.0	0.0	2.68	0.0	0.0	0.0	0.0
THEM5	1208.34	2367.9	24.46	63.89	47.5	262.2	420.68	24.99	0.0	111.21	65.26	0.84	1.64	2.48	0.0	2.12	1.45	1.95	0.79	3.72
TMEM154	18560.17	2664.15	36.01	172.65	194.36	106.63	497.0	169.07	76.17	211.31	199.85	19.82	20.11	16.88	14.45	20.86	18.97	28.04	15.8	34.51
TMPRSS11F	74760.09	10225.32	4.17	99.43	71.5	7.63	40.07	30.56	0.0	21.94	96.68	2.03	2.16	0.0	7.28	1.04	0.72	2.1	2.73	0.0
TP63	3290783.22	3313672.43	303.44	5006.93	3874.05	2956.17	3419.52	3742.05	0.0	1639.59	2720.15	52.82	4.43	10.08	17.51	5.19	17.25	10.16	24.81	27.05
TPRG1	15934.98	8718.32	126.12	256.78	356.05	156.59	447.82	275.28	0.0	327.56	921.88	72.01	15.8	43.02	35.76	37.32	108.14	59.55	37.32	54.33
TSEN15	318.57	400.71	642.59	872.1	1015.93	1111.82	961.07	1001.93	0.0	866.07	802.41	579.04	547.75	397.93	532.74	514.56	435.55	543.96	620.67	703.28
TSLP	119.26	57.08	4.5	34.26	40.64	116.78	10.71	18.97	0.0	92.7	39.79	11.21	11.38	3.86	10.08	10.47	9.34	10.24	4.06	9.93
UBXN7	212.78	169.07	178.77	555.41	507.46	518.15	633.73	283.05	116.78	412.0	476.71	148.09	141.02	140.04	177.53	113.56	127.89	147.06	159.9	144.01
UMPS	486.75	896.64	796.86	928.3	896.64	753.83	2018.8	1191.69	0.0	1104.13	1199.98	583.07	420.68	366.09	400.71	406.31	397.93	406.31	403.5	392.44
UNG	1697.45	1059.11	954.43	1350.18	1277.29	1199.98	1111.82	1159.07	0.0	934.76	624.99	525.39	497.0	392.44	483.38	353.59	470.14	361.04	503.95	384.34
VDAC2	26614.89	17317.18	4358.66	3665.02	8191.0	6294.04	6426.31	5913.33	0.0	7749.1	6745.86	3395.89	3257.52	2720.15	3768.09	3081.75	2573.36	2816.11	2875.3	2255.7
VSNL1	649962.87	122293.5	218.79	1322.37	967.76	314.17	638.15	1857.6	0.0	728.11	665.29	18.16	12.64	2.89	13.62	11.64	2.14	4.62	0.53	12.36
XXYLT1	587.13	713.11	316.37	738.29	1030.12	1096.5	1286.18	503.95	176.29	529.06	1183.45	148.09	120.1	92.7	102.97	100.83	114.36	104.42	112.77	124.37
ZDHHC3	1639.59	1561.89	860.08	1583.71	1936.53	3491.39	2835.7	1447.15	0.0	2895.31	974.5	1457.23	836.53	909.17	1304.15	802.41	1127.35	860.08	825.0	947.83
ZNF57	325.29	995.0	92.7	142.01	85.82	110.43	323.03	112.77	0.0	187.71	108.9	70.01	59.97	63.89	85.82	57.08	57.08	67.59	68.07	69.03
