	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A2.A3XX.01A.21R.A239.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.AC.A6IW.01A.12R.A33J.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A42T.01A.11R.A24H.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.E9.A3QA.01A.61R.A22K.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.W5X1.2326.SM.3GIL6	GTEX.T2IS.1526.SM.32QPR	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.A6.5656.01A.21R.1839.07	TCGA.N9.A4Q7.01A.11R.A28V.07
FCF1	289.02	470.14	503.95	297.17	796.86	688.78	334.46	1208.34	525.39	579.04	1096.5	392.44	728.11	753.83	423.61	753.83	620.67	728.11	884.29	339.14	796.86	426.57	909.17	947.83	473.41	376.41	1015.93	802.41	307.69	444.72	518.15	1250.98	988.12	1359.57	665.29	878.17	1350.18	954.43	1936.53	1457.23	1127.35	674.59	1519.15	909.17	1286.18	269.6	237.86
GABPA	103.69	289.02	176.29	76.71	236.21	287.01	258.57	267.73	212.78	173.85	361.04	129.69	325.29	332.14	241.19	348.71	186.4	205.5	293.07	202.66	234.57	165.57	269.6	423.61	130.6	193.01	265.87	226.54	65.72	236.21	239.52	476.71	420.68	647.07	246.28	356.05	575.03	486.75	1088.92	511.0	323.03	262.2	718.08	368.65	669.92	204.07	108.14
GMFB	128.79	500.46	353.59	109.66	633.73	748.61	285.03	791.35	665.29	412.0	693.58	209.84	743.43	981.29	376.41	447.82	466.88	928.3	693.58	248.0	497.0	454.09	551.56	743.43	273.37	392.44	698.41	447.82	149.12	438.59	480.04	674.59	698.41	1183.45	329.84	878.17	638.15	830.75	1268.46	738.29	599.49	236.21	1477.58	480.04	1015.93	172.65	211.31
GOLGA5	674.59	921.88	693.58	457.25	1378.57	1008.9	669.92	1008.9	620.67	647.07	1709.26	400.71	1081.39	941.27	684.02	909.17	1143.1	1088.92	1674.06	466.88	947.83	748.61	860.08	1044.52	500.46	836.53	909.17	830.75	432.53	1037.29	780.44	808.0	785.88	1286.18	995.0	753.83	902.89	1127.35	1259.69	642.59	1111.82	1119.56	1519.15	1397.83	1322.37	332.14	507.46
GSKIP	208.38	281.09	197.09	125.24	543.96	409.15	182.55	312.0	358.54	208.38	599.49	162.14	540.19	358.54	327.56	500.46	414.87	521.76	351.14	157.68	392.44	171.45	373.81	507.46	208.38	305.55	490.14	271.48	133.36	336.79	339.14	409.15	490.14	738.29	379.04	329.84	753.83	351.14	511.0	368.65	256.78	497.0	536.45	941.27	575.03	173.85	183.82
GTF2A1	78.89	205.5	141.02	68.07	275.28	371.22	175.07	414.87	199.85	104.42	341.51	105.89	303.44	253.23	191.67	287.01	185.11	291.04	305.55	111.21	226.54	142.01	262.2	395.18	181.28	191.67	389.72	165.57	73.54	186.4	176.29	409.15	381.68	497.0	209.84	417.77	551.56	291.04	1023.0	346.29	208.38	198.47	679.29	185.11	660.68	84.63	73.03
KLHL28	17.64	68.07	20.41	14.67	114.36	89.51	34.02	190.34	81.14	38.95	116.78	20.56	123.5	170.25	62.12	93.35	64.8	85.82	83.45	27.64	90.77	46.84	82.29	176.29	35.76	45.85	95.34	35.25	36.01	56.28	82.29	145.02	159.9	251.48	80.01	1322.37	236.21	170.25	379.04	153.34	63.89	70.51	190.34	115.16	186.4	33.78	15.34
KTN1	1467.37	2777.33	1119.56	1135.2	3955.48	2133.97	1757.34	2855.44	1594.73	1427.22	2758.13	1963.57	2758.13	4450.27	2271.4	2796.65	1909.85	6699.25	3690.52	242.88	1963.57	1467.37	3257.52	3467.27	1322.37	2209.26	2915.45	1977.24	785.88	2255.7	2573.36	2895.31	2935.74	4152.18	2720.15	5076.84	4066.71	3690.52	4419.52	5041.77	3257.52	3168.41	3768.09	2468.49	3716.2	1159.07	1340.84
LATS1	58.71	155.5	71.5	62.12	241.19	190.34	103.69	239.52	201.25	100.83	305.55	76.17	206.94	249.73	148.09	189.02	173.85	165.57	215.77	97.36	178.77	85.22	197.09	287.01	146.03	105.15	182.55	137.14	57.08	191.67	255.0	320.8	275.28	480.04	149.12	295.11	406.31	371.22	808.0	387.02	301.33	138.1	435.55	154.42	629.35	110.43	71.0
LYSMD3	33.3	187.71	76.17	25.54	237.86	258.57	130.6	197.09	131.51	71.0	265.87	57.89	329.84	248.0	171.45	226.54	146.03	167.9	256.78	103.69	215.77	76.71	177.53	318.57	134.3	130.6	283.05	103.69	34.02	152.28	287.01	307.69	285.03	514.56	141.02	303.44	329.84	279.14	802.41	258.57	218.79	177.53	679.29	253.23	575.03	114.36	52.45
METTL14	70.01	214.27	150.17	129.69	363.56	323.03	218.79	312.0	258.57	166.73	409.15	144.01	325.29	283.05	157.68	318.57	269.6	241.19	343.89	206.94	202.66	153.34	361.04	435.55	228.13	156.59	244.57	194.36	117.6	234.57	265.87	400.71	466.88	591.22	363.56	327.56	595.34	500.46	830.75	389.72	226.54	299.25	466.88	307.69	521.76	108.9	100.13
MGP	1119.56	469249.9	64632.75	6121.9	998912.34	1139523.1	231394.29	659036.03	593956.43	109455.64	736332.6	2047.0	623486.02	716197.51	360589.03	546551.29	489177.0	569761.05	1196176.45	113315.62	539026.74	443937.41	623486.02	434801.29	40062.48	402881.61	706337.4	405683.88	21768.19	687022.54	417089.23	453265.5	800198.39	397335.0	509950.32	598087.73	585779.24	1524599.69	107948.72	565825.41	869603.57	1100706.72	845824.19	1308968.45	614902.29	1268.46	5219.6
MPP5	109.66	253.23	98.04	93.35	273.37	376.41	115.97	297.17	135.24	125.24	483.38	81.71	312.0	503.95	191.67	332.14	249.73	269.6	480.04	70.51	224.97	138.1	323.03	373.81	105.15	118.43	490.14	214.27	81.14	221.86	150.17	444.72	406.31	473.41	212.78	780.44	599.49	698.41	379.04	612.11	208.38	167.9	780.44	249.73	417.77	86.43	82.29
MPP7	77.25	172.65	29.27	16.51	583.07	738.29	130.6	45.53	343.89	6.62	289.02	86.43	242.88	559.28	193.01	301.33	138.1	122.64	381.68	33.78	91.41	82.87	279.14	457.25	63.45	35.25	62.12	127.0	90.77	94.01	166.73	269.6	432.53	348.71	265.87	698.41	738.29	540.19	3372.43	417.77	187.71	341.51	896.64	954.43	246.28	108.9	41.52
MSH3	127.89	129.69	62.56	30.56	193.01	269.6	98.73	119.26	100.13	74.06	314.17	102.25	249.73	237.86	149.12	262.2	173.85	162.14	329.84	111.21	87.65	63.89	177.53	234.57	72.52	90.77	214.27	97.36	53.95	281.09	269.6	253.23	217.27	273.37	187.71	295.11	373.81	303.44	234.57	381.68	159.9	112.77	224.97	134.3	432.53	78.89	94.67
MTX3	8.38	44.25	13.93	7.63	66.18	148.09	42.41	69.03	47.17	20.86	138.1	14.35	120.1	195.72	30.34	89.51	45.85	68.55	103.69	35.0	59.13	18.29	73.54	127.89	25.17	16.39	102.97	16.03	8.25	42.71	35.25	146.03	113.56	159.9	50.63	133.36	281.09	289.02	332.14	108.14	56.68	19.25	112.77	75.11	229.72	37.59	9.63
NAA30	47.5	172.65	96.68	57.49	297.17	183.82	99.43	289.02	128.79	107.38	316.37	116.78	237.86	366.09	153.34	181.28	148.09	171.45	273.37	67.12	154.42	123.5	236.21	275.28	143.01	142.01	209.84	125.24	63.45	201.25	178.77	323.03	299.25	470.14	209.84	384.34	480.04	373.81	785.88	457.25	181.28	226.54	728.11	206.94	543.96	75.11	70.51
NAA35	91.41	262.2	229.72	277.2	412.0	246.28	180.02	555.41	214.27	236.21	551.56	356.05	376.41	575.03	309.83	511.0	371.22	387.02	507.46	138.1	348.71	170.25	346.29	348.71	289.02	232.94	320.8	473.41	115.97	309.83	239.52	353.59	366.09	476.71	312.0	567.1	525.39	540.19	638.15	291.04	316.37	239.52	503.95	299.25	420.68	199.85	175.07
NEK1	42.71	87.65	63.0	24.81	115.16	134.3	82.87	105.89	64.8	42.11	220.32	63.45	123.5	111.99	68.55	99.43	100.13	85.82	87.03	63.89	96.68	52.45	143.01	185.11	74.06	43.94	111.21	51.71	34.51	82.87	104.42	246.28	159.9	244.57	141.02	299.25	269.6	244.57	353.59	167.9	98.04	93.35	262.2	112.77	332.14	48.18	40.64
NUBPL	65.72	159.9	89.51	30.56	229.72	158.79	101.54	229.72	199.85	57.08	214.27	43.02	159.9	332.14	69.52	129.69	199.85	187.71	228.13	111.21	134.3	98.04	156.59	224.97	49.21	40.07	128.79	87.03	78.89	138.1	154.42	241.19	237.86	309.83	198.47	341.51	420.68	239.52	518.15	463.65	95.34	103.69	435.55	108.14	379.04	112.77	80.57
NUMB	348.71	723.08	314.17	283.05	718.08	567.1	366.09	825.0	473.41	373.81	842.36	303.44	1023.0	780.44	307.69	808.0	660.68	884.29	988.12	275.28	878.17	376.41	967.76	848.22	466.88	429.54	1529.73	480.04	406.31	543.96	591.22	1191.69	928.3	1225.22	748.61	1529.73	1051.79	1183.45	1639.59	1225.22	698.41	518.15	1498.22	612.11	1295.13	409.15	206.94
PAPOLA	1477.58	1477.58	954.43	961.07	2178.83	1467.37	981.29	1350.18	1388.16	921.88	2417.67	802.41	1757.34	1733.13	1651.0	1467.37	1572.76	1936.53	2468.49	947.83	1628.26	1127.35	1977.24	2271.4	1051.79	1331.57	1709.26	2627.46	842.36	1340.84	1519.15	2335.28	1977.24	3018.3	1870.53	2664.15	2209.26	1733.13	4181.07	2287.2	2193.99	1909.85	2875.3	1437.15	2573.36	1378.57	1175.27
PJA2	164.42	679.29	341.51	105.15	1051.79	1896.65	733.19	748.61	420.68	271.48	1794.29	129.69	1268.46	1794.29	397.93	1233.75	884.29	748.61	1268.46	395.18	665.29	301.33	1096.5	1721.16	392.44	543.96	1359.57	567.1	314.17	1369.04	547.75	2090.03	1709.26	2591.27	909.17	2451.44	1844.76	2502.97	5594.3	2573.36	1487.87	1167.14	4123.49	1350.18	2573.36	353.59	183.82
PPP2R5C	1081.39	1250.98	1498.22	1259.69	2193.99	1883.54	1030.12	2451.44	1447.15	1167.14	2303.12	1277.29	2255.7	1733.13	1340.84	1477.58	1896.65	1757.34	1923.14	872.1	1605.83	1199.98	1685.71	2004.85	1519.15	1781.89	1844.76	1498.22	1167.14	1242.34	1378.57	2468.49	1857.6	3124.78	1685.71	1896.65	1769.57	2777.33	2591.27	3146.52	1508.65	2335.28	3419.52	2451.44	2537.92	1037.29	1127.35
PPP2R5E	114.36	214.27	128.79	142.01	368.65	463.65	135.24	579.04	267.73	190.34	483.38	145.02	435.55	575.03	348.71	348.71	239.52	429.54	457.25	101.54	309.83	144.01	392.44	460.44	187.71	236.21	595.34	273.37	86.43	239.52	287.01	497.0	397.93	642.59	327.56	490.14	441.64	567.1	1167.14	490.14	447.82	177.53	718.08	295.11	540.19	102.25	92.7
PSMC6	1127.35	1639.59	1096.5	1037.29	1806.78	1769.57	1044.52	1832.01	2417.67	1369.04	2224.63	1225.22	1757.34	2163.77	1594.73	1709.26	1709.26	1508.65	1794.29	733.19	1832.01	1378.57	1781.89	1794.29	1233.75	1417.35	1397.83	1447.15	665.29	1447.15	1540.37	1870.53	1977.24	2303.12	1896.65	1963.57	1963.57	2400.97	3614.55	2434.5	2520.38	1628.26	2645.74	2032.85	2287.2	1135.2	1143.1
RAB14	490.14	830.75	624.99	703.28	1561.89	1151.06	1044.52	1242.34	693.58	647.07	1870.53	728.11	1313.23	1963.57	915.51	1674.06	1191.69	1096.5	1397.83	460.44	860.08	579.04	1508.65	1561.89	603.67	693.58	1304.15	1167.14	728.11	791.35	723.08	1651.0	1617.0	2209.26	1175.27	1819.35	1662.49	2075.59	2875.3	2335.28	1561.89	1350.18	3039.3	1242.34	2502.97	595.34	353.59
RAB18	1104.13	1417.35	1457.23	947.83	3928.15	3018.3	1721.16	2417.67	1583.71	1477.58	3614.55	1233.75	2148.82	5791.62	5633.22	2255.7	2303.12	1832.01	4095.0	1322.37	2609.3	2367.9	2520.38	2645.74	2133.97	2209.26	2032.85	1909.85	836.53	1923.14	2384.37	2627.46	2935.74	3081.75	2240.11	4388.98	4358.66	3349.13	4543.8	2720.15	2915.45	1378.57	6699.25	2209.26	3742.05	769.69	698.41
RCOR1	135.24	218.79	151.22	178.77	293.07	387.02	128.79	395.18	177.53	141.02	400.71	246.28	303.44	262.2	242.88	208.38	258.57	287.01	373.81	134.3	231.32	177.53	332.14	373.81	166.73	131.51	312.0	189.02	133.36	159.9	242.88	351.14	371.22	438.59	214.27	444.72	483.38	500.46	343.89	361.04	187.71	144.01	718.08	156.59	441.64	95.34	90.77
SCAMP1	239.52	490.14	275.28	96.01	599.49	1216.75	547.75	426.57	366.09	351.14	866.07	229.72	753.83	651.58	660.68	669.92	320.8	660.68	728.11	353.59	395.18	221.86	567.1	872.1	190.34	387.02	679.29	303.44	159.9	842.36	693.58	866.07	743.43	1208.34	392.44	1030.12	775.05	825.0	1923.14	1044.52	748.61	551.56	1745.2	571.05	1551.09	256.78	171.45
SCFD1	1037.29	1250.98	759.08	511.0	1359.57	974.5	902.89	1233.75	1498.22	961.07	1757.34	896.64	1304.15	1896.65	1127.35	1088.92	1286.18	1111.82	2255.7	638.15	1295.13	1030.12	1242.34	1340.84	728.11	1030.12	1127.35	1015.93	507.46	1216.75	1277.29	1457.23	1304.15	2004.85	1427.22	1322.37	1216.75	1709.26	2004.85	1628.26	1498.22	1081.39	1709.26	1437.15	1508.65	507.46	854.13
SEL1L	164.42	460.44	251.48	122.64	713.11	1143.1	358.54	961.07	397.93	202.66	1322.37	145.02	1175.27	928.3	303.44	836.53	555.41	764.36	928.3	194.36	665.29	260.38	633.73	860.08	381.68	423.61	1295.13	277.2	154.42	353.59	518.15	921.88	748.61	1088.92	543.96	813.63	1977.24	1081.39	1437.15	620.67	743.43	217.27	1088.92	447.82	1233.75	193.01	152.28
SERINC3	1104.13	1037.29	1001.93	587.13	1936.53	2417.67	1096.5	1073.91	1417.35	819.3	2133.97	733.19	1617.0	2537.92	1015.93	2777.33	1322.37	1183.45	2434.5	1191.69	1674.06	1313.23	1733.13	2240.11	848.22	902.89	2485.67	599.49	896.64	1857.6	1457.23	2555.58	2148.82	3257.52	1662.49	2502.97	2032.85	1594.73	3665.02	1427.22	1259.69	1037.29	3564.78	1781.89	2627.46	2061.24	529.06
SETD3	376.41	693.58	432.53	521.76	884.29	703.28	476.71	624.99	540.19	460.44	896.64	563.18	1059.11	656.11	591.22	866.07	769.69	738.29	785.88	435.55	902.89	518.15	842.36	995.0	571.05	540.19	915.51	642.59	543.96	713.11	684.02	1037.29	896.64	1259.69	848.22	1015.93	1044.52	1225.22	1498.22	1127.35	1304.15	1388.16	1407.55	1104.13	1088.92	356.05	409.15
SNW1	651.58	1081.39	988.12	1066.48	1143.1	1001.93	854.13	1572.76	928.3	1104.13	1950.0	819.3	1322.37	1104.13	902.89	1286.18	1159.07	1340.84	1277.29	743.43	974.5	902.89	1286.18	1477.58	830.75	974.5	1096.5	928.3	1008.9	1467.37	995.0	1388.16	1340.84	1369.04	1447.15	1066.48	1417.35	1617.0	2758.13	2061.24	1977.24	1388.16	2816.11	1407.55	1819.35	693.58	934.76
SNX6	543.96	819.3	796.86	483.38	1066.48	1051.79	555.41	3235.01	1268.46	1151.06	1819.35	808.0	1340.84	1417.35	954.43	1030.12	1135.2	1594.73	1208.34	483.38	1467.37	860.08	1331.57	1407.55	974.5	878.17	1350.18	1008.9	575.03	1096.5	934.76	1757.34	1388.16	2468.49	1191.69	1397.83	1733.13	1467.37	3467.27	1870.53	1295.13	1733.13	2319.15	1605.83	2664.15	379.04	764.36
