	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.T6MO.0326.SM.32QOK	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.13X6I.2726.SM.5Q5ET	GTEX.13OW7.1926.SM.5LUB4	GTEX.11GSP.1726.SM.5A5LI	GTEX.YECK.0926.SM.4W214	GTEX.XMD2.1026.SM.4WWE8	GTEX.117YW.0526.SM.5H11C	GTEX.SIU8.0926.SM.5SI87	GTEX.QEG4.0526.SM.48TZD	GTEX.13NYB.0626.SM.5MR47
CYB561D1	191.67	162.14	111.99	154.42	154.42	144.01	114.36	283.05	164.42	226.54	170.25	195.72	167.9	157.68	138.1	114.36	64.34	88.88	71.5	59.55	96.01	100.83	62.56	55.89	55.1
DCAF10	460.44	555.41	412.0	368.65	406.31	406.31	567.1	2303.12	603.67	633.73	848.22	511.0	460.44	674.59	389.72	239.52	229.72	194.36	220.32	170.25	118.43	248.0	164.42	232.94	181.28
DHX33	127.0	133.36	96.68	108.9	132.44	118.43	140.04	153.34	159.9	264.03	215.77	90.77	265.87	221.86	223.41	120.1	70.01	103.69	126.12	54.33	52.45	54.33	37.85	75.11	49.21
DNAJC11	599.49	476.71	651.58	511.0	599.49	620.67	555.41	599.49	543.96	651.58	819.3	595.34	665.29	591.22	559.28	563.18	551.56	476.71	521.76	444.72	346.29	289.02	289.02	339.14	246.28
DPH2	291.04	194.36	228.13	176.29	283.05	206.94	180.02	262.2	291.04	547.75	587.13	232.94	429.54	429.54	329.84	242.88	148.09	287.01	301.33	173.85	90.77	248.0	133.36	145.02	234.57
EIF3M	5041.77	5441.3	5791.62	5831.91	4066.71	4802.93	5872.48	4543.8	7130.55	8658.09	6381.92	5441.3	4704.07	8718.32	8305.36	5183.54	4543.8	2485.67	2591.27	2520.38	3103.19	1963.57	2915.45	2682.69	2997.45
EXTL3	387.02	236.21	221.86	269.6	285.03	271.48	262.2	521.76	277.2	518.15	480.04	381.68	688.78	647.07	387.02	251.48	116.78	368.65	379.04	209.84	181.28	220.32	126.12	171.45	145.02
FABP4	174152.51	386469.83	394590.4	201440.3	327241.36	358098.26	489177.0	716197.51	602247.76	324980.94	558035.51	906531.99	1078054.48	1838374.44	394590.4	636586.81	12329.98	5791.62	7382.04	733.19	2609.3	11345.82	54349.29	4802.93	20737.16
FAM168B	1447.15	1225.22	1208.34	1199.98	1340.84	1359.57	1295.13	1909.85	1519.15	1923.14	1883.54	1757.34	1477.58	1135.2	1216.75	884.29	514.56	878.17	872.1	521.76	587.13	603.67	490.14	785.88	638.15
FBXL18	64.8	43.94	33.06	68.07	58.3	61.25	60.39	85.22	52.82	74.58	66.65	54.72	78.34	70.51	68.07	44.57	18.7	35.5	23.59	13.52	20.11	23.25	20.11	16.03	14.14
GAREM	142.01	156.59	90.14	100.83	140.04	183.82	234.57	205.5	206.94	363.56	587.13	490.14	379.04	532.74	191.67	141.02	95.34	60.39	124.37	161.02	88.88	368.65	163.28	78.34	91.41
GART	974.5	842.36	995.0	708.18	825.0	819.3	1015.93	802.41	1295.13	1427.22	2018.8	1340.84	1313.23	1551.09	1044.52	656.11	698.41	444.72	511.0	381.68	466.88	595.34	532.74	351.14	616.37
GCN1L1	723.08	450.94	503.95	543.96	723.08	563.18	497.0	525.39	567.1	1135.2	995.0	587.13	764.36	1127.35	559.28	363.56	320.8	387.02	444.72	228.13	256.78	507.46	239.52	269.6	260.38
GFPT1	796.86	1111.82	796.86	647.07	947.83	1001.93	1674.06	1467.37	1540.37	1519.15	1909.85	1909.85	1721.16	1167.14	728.11	665.29	441.64	320.8	366.09	262.2	137.14	267.73	267.73	193.01	334.46
HIPK2	406.31	753.83	507.46	441.64	647.07	780.44	633.73	1104.13	813.63	1044.52	2319.15	1561.89	902.89	947.83	1081.39	813.63	325.29	96.68	151.22	206.94	356.05	264.03	409.15	295.11	275.28
HIRA	392.44	297.17	334.46	329.84	341.51	371.22	343.89	486.75	403.5	473.41	603.67	376.41	480.04	366.09	384.34	323.03	186.4	221.86	204.07	195.72	151.22	145.02	185.11	201.25	366.09
HSPD1	4268.94	4388.98	5633.22	4095.0	2777.33	3443.31	5112.16	5831.91	7230.1	7180.15	8078.22	6983.79	6037.61	6471.02	4543.8	2609.3	3372.43	2720.15	2895.31	2090.03	1883.54	2335.28	1857.6	2855.44	2335.28
KARS	2367.9	2224.63	2417.67	2645.74	1923.14	2240.11	2502.97	2417.67	3212.66	3589.58	3235.01	2485.67	2537.92	4937.99	2591.27	1721.16	1572.76	941.27	1127.35	909.17	1127.35	1051.79	1001.93	848.22	1594.73
KCTD21	214.27	287.01	208.38	279.14	251.48	307.69	248.0	529.06	301.33	307.69	318.57	346.29	253.23	226.54	248.0	171.45	92.7	87.65	164.42	96.68	57.08	59.97	64.8	134.3	84.63
KIAA0100	1359.57	1447.15	1175.27	1313.23	1487.87	1605.83	1233.75	1769.57	1427.22	2255.7	1950.0	2400.97	1250.98	1322.37	1519.15	665.29	493.56	624.99	813.63	642.59	486.75	791.35	718.08	629.35	366.09
LDLRAD3	371.22	470.14	320.8	307.69	376.41	334.46	521.76	563.18	384.34	2485.67	1950.0	642.59	591.22	753.83	934.76	148.09	123.5	68.07	75.11	42.71	48.52	169.07	109.66	22.1	51.35
LDOC1L	361.04	303.44	318.57	293.07	403.5	318.57	269.6	532.74	486.75	493.56	647.07	571.05	429.54	329.84	470.14	258.57	114.36	161.02	161.02	112.77	152.28	149.12	72.52	156.59	136.19
MRPS2	802.41	583.07	693.58	679.29	543.96	599.49	902.89	738.29	967.76	1208.34	1388.16	909.17	836.53	928.3	974.5	679.29	595.34	423.61	599.49	587.13	511.0	320.8	180.02	432.53	381.68
NAA50	1259.69	1617.0	1313.23	1286.18	1639.59	1508.65	1561.89	1519.15	1950.0	2573.36	4769.75	2777.33	1617.0	1447.15	1467.37	981.29	708.18	392.44	525.39	511.0	447.82	890.44	1151.06	656.11	947.83
NANP	57.89	88.88	61.68	78.34	75.11	68.55	69.52	119.26	115.97	107.38	118.43	110.43	108.14	102.97	98.73	39.5	66.18	24.63	63.89	28.86	36.53	43.63	44.89	30.56	43.02
NIPA1	127.89	142.01	90.77	169.07	151.22	125.24	114.36	191.67	191.67	195.72	176.29	124.37	169.07	177.53	115.97	117.6	71.0	33.78	153.34	111.21	84.63	22.75	74.06	100.83	87.65
NLE1	237.86	166.73	234.57	236.21	197.09	205.5	202.66	339.14	348.71	389.72	258.57	242.88	547.75	356.05	289.02	159.9	93.35	209.84	165.57	140.04	129.69	105.15	57.89	99.43	79.45
NOB1	988.12	603.67	808.0	928.3	738.29	825.0	785.88	780.44	1286.18	1936.53	1340.84	718.08	1191.69	988.12	1151.06	967.76	748.61	599.49	633.73	500.46	507.46	409.15	381.68	373.81	525.39
NOP14	366.09	295.11	460.44	358.54	387.02	384.34	353.59	381.68	476.71	532.74	759.08	361.04	525.39	563.18	599.49	297.17	361.04	237.86	232.94	180.02	258.57	206.94	145.02	177.53	228.13
OPA3	122.64	108.9	102.25	105.15	138.1	115.16	120.94	169.07	143.01	171.45	193.01	161.02	146.03	176.29	137.14	180.02	68.55	113.56	119.26	94.67	80.57	90.14	101.54	81.14	83.45
PAK1IP1	277.2	305.55	255.0	221.86	277.2	267.73	256.78	341.51	703.28	353.59	656.11	277.2	587.13	441.64	406.31	231.32	108.9	194.36	198.47	101.54	90.77	100.83	100.13	85.82	111.21
PARS2	61.25	62.12	51.71	54.72	54.33	60.39	53.57	80.01	78.89	110.43	87.03	69.52	83.45	85.22	77.79	59.55	42.71	29.7	31.9	34.26	16.39	13.03	19.68	38.95	25.91
PHB2	3639.7	2645.74	3589.58	3443.31	2976.74	3235.01	4481.23	3639.7	3564.78	6294.04	4607.24	4152.18	4543.8	3928.15	4607.24	3103.19	2956.17	2997.45	3081.75	5479.15	2701.35	3443.31	2956.17	2997.45	3419.52
POM121	521.76	591.22	466.88	325.29	540.19	480.04	669.92	819.3	595.34	713.11	1183.45	698.41	532.74	567.1	656.11	480.04	279.14	457.25	447.82	170.25	212.78	376.41	309.83	511.0	412.0
POP1	43.63	45.21	38.12	76.71	43.02	35.25	44.25	46.84	69.52	84.63	117.6	81.71	105.15	85.82	51.35	31.45	19.25	31.45	32.36	31.9	21.32	28.24	19.25	23.25	20.71
PRKAR2A	521.76	547.75	616.37	423.61	493.56	536.45	551.56	660.68	808.0	836.53	896.64	808.0	595.34	674.59	633.73	441.64	186.4	214.27	246.28	237.86	126.12	164.42	122.64	239.52	131.51
PTPRG	603.67	780.44	438.59	688.78	620.67	638.15	928.3	417.77	878.17	616.37	1233.75	954.43	323.03	454.09	713.11	575.03	175.07	215.77	297.17	226.54	327.56	269.6	167.9	291.04	173.85
PUS3	171.45	220.32	155.5	163.28	180.02	139.07	178.77	244.57	291.04	384.34	283.05	139.07	420.68	348.71	275.28	158.79	129.69	92.05	84.63	90.14	72.52	98.73	120.1	77.25	106.63
RNMTL1	297.17	246.28	289.02	255.0	234.57	281.09	289.02	348.71	373.81	438.59	457.25	293.07	301.33	224.97	301.33	224.97	180.02	186.4	223.41	141.02	158.79	85.82	154.42	98.04	178.77
RPL7L1	1397.83	1388.16	1350.18	1143.1	1233.75	1250.98	1427.22	1709.26	2224.63	2193.99	2032.85	1909.85	1639.59	2032.85	1781.89	866.07	409.15	529.06	555.41	595.34	473.41	507.46	412.0	638.15	540.19
RPUSD4	490.14	423.61	511.0	470.14	400.71	514.56	543.96	567.1	521.76	728.11	503.95	447.82	400.71	460.44	429.54	283.05	236.21	249.73	305.55	157.68	199.85	176.29	162.14	167.9	138.1
RRP1B	295.11	283.05	271.48	264.03	246.28	246.28	303.44	480.04	341.51	450.94	358.54	309.83	387.02	248.0	323.03	201.25	180.02	228.13	177.53	137.14	103.69	112.77	108.9	123.5	86.43
SCAP	974.5	698.41	688.78	733.19	836.53	638.15	775.05	796.86	607.87	1119.56	884.29	780.44	1143.1	988.12	954.43	836.53	540.19	738.29	733.19	665.29	450.94	532.74	409.15	684.02	447.82
SENP3	995.0	1313.23	1001.93	954.43	890.44	1167.14	1225.22	1233.75	1199.98	1936.53	1498.22	1277.29	1322.37	1331.57	1175.27	651.58	490.14	921.88	825.0	698.41	555.41	660.68	669.92	638.15	753.83
SFXN4	371.22	417.77	599.49	403.5	348.71	363.56	603.67	483.38	669.92	947.83	669.92	476.71	435.55	457.25	329.84	291.04	267.73	327.56	271.48	178.77	224.97	178.77	143.01	206.94	100.13
ST3GAL1	493.56	884.29	460.44	511.0	693.58	674.59	860.08	1023.0	813.63	1001.93	1896.65	1819.35	1081.39	1651.0	1037.29	417.77	336.79	327.56	191.67	141.02	808.0	567.1	466.88	155.5	191.67
SYNCRIP	1551.09	1709.26	1388.16	1388.16	1594.73	1551.09	1447.15	1733.13	1529.73	2335.28	3325.99	1572.76	2255.7	1745.2	2193.99	1104.13	587.13	679.29	738.29	620.67	540.19	473.41	503.95	642.59	500.46
TBRG4	713.11	551.56	669.92	591.22	728.11	571.05	703.28	525.39	656.11	1199.98	1127.35	651.58	884.29	854.13	921.88	688.78	703.28	624.99	842.36	381.68	414.87	384.34	420.68	438.59	406.31
TCEB3	624.99	591.22	813.63	607.87	543.96	547.75	796.86	748.61	791.35	708.18	1030.12	896.64	738.29	796.86	633.73	555.41	351.14	323.03	343.89	341.51	297.17	429.54	486.75	397.93	764.36
TMED5	775.05	1447.15	967.76	878.17	1175.27	1104.13	1313.23	1498.22	1096.5	1437.15	2104.58	1457.23	1015.93	1225.22	954.43	1015.93	616.37	303.44	373.81	366.09	348.71	507.46	733.19	406.31	420.68
TMEM177	145.02	77.25	115.16	84.63	78.34	86.43	81.14	112.77	153.34	253.23	155.5	135.24	218.79	143.01	110.43	148.09	144.01	77.79	70.51	84.63	65.26	51.35	48.52	72.52	64.34
TSR1	353.59	343.89	379.04	318.57	356.05	379.04	299.25	329.84	400.71	603.67	708.18	325.29	575.03	651.58	514.56	267.73	152.28	199.85	256.78	144.01	167.9	156.59	137.14	135.24	127.0
UBE3C	872.1	941.27	759.08	743.43	825.0	854.13	791.35	954.43	1051.79	1037.29	1286.18	854.13	808.0	947.83	941.27	647.07	389.72	450.94	414.87	412.0	295.11	312.0	366.09	351.14	341.51
UBIAD1	215.77	181.28	159.9	156.59	229.72	172.65	193.01	226.54	242.88	348.71	414.87	231.32	381.68	271.48	329.84	202.66	82.29	127.89	151.22	112.77	134.3	85.22	63.45	120.1	108.9
USB1	723.08	647.07	718.08	674.59	616.37	532.74	493.56	679.29	591.22	921.88	961.07	808.0	1051.79	896.64	521.76	612.11	480.04	460.44	579.04	403.5	551.56	473.41	503.95	476.71	521.76
VAPB	819.3	775.05	915.51	808.0	748.61	848.22	813.63	1233.75	921.88	884.29	981.29	988.12	769.69	764.36	1135.2	463.65	271.48	607.87	796.86	346.29	293.07	346.29	267.73	454.09	551.56
WDR3	358.54	307.69	256.78	264.03	363.56	279.14	316.37	373.81	616.37	599.49	1030.12	660.68	420.68	403.5	500.46	139.07	42.71	55.1	65.72	71.5	78.89	31.9	50.63	100.13	46.84
ZBED4	82.29	76.17	63.89	71.0	87.03	63.45	71.0	147.06	103.69	169.07	187.71	96.68	139.07	158.79	172.65	122.64	113.56	76.71	74.58	73.54	45.85	69.52	93.35	51.71	31.9
ZDHHC18	536.45	1001.93	599.49	660.68	759.08	480.04	642.59	728.11	708.18	872.1	1143.1	785.88	1051.79	638.15	463.65	392.44	212.78	334.46	307.69	251.48	559.28	486.75	486.75	476.71	332.14
ZDHHC5	769.69	802.41	647.07	708.18	890.44	802.41	791.35	1175.27	674.59	1277.29	1407.55	896.64	1427.22	1259.69	974.5	848.22	532.74	660.68	684.02	511.0	518.15	454.09	529.06	633.73	450.94
ZNF354A	153.34	202.66	154.42	144.01	148.09	134.3	140.04	318.57	234.57	353.59	234.57	109.66	262.2	312.0	223.41	110.43	141.02	143.01	208.38	148.09	100.83	148.09	84.04	92.7	69.03
