	GTEX.14AS3.1626.SM.5S2OY	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.ZYT6.2826.SM.5GICX	GTEX.U4B1.1126.SM.4DXV3	GTEX.147JS.2526.SM.5S2Q8	GTEX.WQUQ.2626.SM.4MVNP	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XV7Q.2126.SM.4BRVX	GTEX.11O72.2226.SM.5PNW2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.ZAB4.2226.SM.5HL97	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.64.1678.01A.01R.0946.07	TCGA.B5.A1MS.01B.11R.A22K.07	GTEX.1399U.1326.SM.5IJET	GTEX.ZV6S.1526.SM.5NQ7O
CCDC68	3.38	571.05	713.11	106.63	934.76	503.95	185.11	896.64	1023.0	429.54	1143.1	1135.2	591.22	518.15	490.14	638.15	723.08	500.46	91.41	164.42	55.1	59.13	175.07	98.04
CCDC88C	193.01	723.08	665.29	163.28	629.35	728.11	397.93	764.36	941.27	406.31	791.35	708.18	723.08	785.88	341.51	540.19	532.74	674.59	10.88	8.65	170.25	339.14	191.67	152.28
CCR2	279.14	314.17	271.48	22.75	194.36	384.34	242.88	194.36	312.0	80.57	514.56	559.28	429.54	248.0	82.87	348.71	96.01	450.94	7.63	0.0	19.39	2.73	34.75	10.0
CCR9	0.12	12.55	13.72	1.79	11.91	12.09	10.0	42.41	16.15	3.86	9.93	11.64	3.32	13.32	9.56	15.0	10.63	26.28	1.08	0.0	0.0	0.87	1.6	0.0
CD209	115.16	366.09	444.72	4.03	273.37	397.93	139.07	511.0	376.41	58.71	518.15	267.73	346.29	291.04	45.21	373.81	108.14	356.05	2.61	0.79	2.34	4.46	13.22	6.73
CD27	571.05	1477.58	1008.9	63.89	848.22	1950.0	1023.0	1066.48	1437.15	480.04	2133.97	1529.73	1857.6	1583.71	473.41	1159.07	1119.56	1331.57	3.72	5.45	120.1	14.89	6.26	13.72
CD40LG	119.26	94.67	53.95	7.06	46.18	136.19	35.5	147.06	138.1	37.59	85.22	48.87	113.56	111.99	86.43	93.35	28.04	111.21	0.73	0.39	0.87	3.47	20.86	1.95
CD79A	684.02	5076.84	3742.05	30.34	2895.31	5255.91	4095.0	6471.02	7180.15	1111.82	5112.16	5041.77	4038.61	7589.61	1322.37	4903.87	1870.53	2796.65	10.31	19.97	224.97	9.27	98.73	17.9
CECR1	693.58	2061.24	1037.29	136.19	612.11	1561.89	1001.93	2193.99	1896.65	490.14	2133.97	1059.11	1242.34	2287.2	1832.01	1437.15	395.18	1896.65	403.5	32.13	165.57	193.01	64.34	420.68
CHAD	1159.07	186.4	185.11	20.86	262.2	49.56	26.86	748.61	400.71	38.12	262.2	414.87	120.94	123.5	36.79	242.88	371.22	81.14	5.23	0.0	16.51	45.53	2.32	3.26
CLECL1	183.82	59.97	53.95	0.0	76.17	183.82	66.18	189.02	97.36	48.87	83.45	81.14	154.42	83.45	90.77	108.9	34.26	98.04	9.93	6.16	17.9	3.89	7.46	3.14
CORO7	177.53	878.17	743.43	595.34	785.88	921.88	651.58	995.0	624.99	559.28	753.83	941.27	941.27	616.37	753.83	819.3	802.41	967.76	229.72	170.25	226.54	397.93	232.94	74.58
CPNE5	156.59	490.14	376.41	63.89	457.25	500.46	441.64	808.0	743.43	193.01	660.68	647.07	392.44	915.51	376.41	392.44	403.5	591.22	10.55	3.99	68.07	24.11	194.36	102.25
CXorf21	182.55	110.43	78.89	8.85	88.88	124.37	90.77	149.12	161.02	51.71	169.07	144.01	182.55	90.77	61.68	114.36	65.26	80.01	3.35	0.79	14.78	2.07	8.71	1.28
DENND1C	151.22	1322.37	1417.35	167.9	1417.35	1044.52	551.56	1639.59	1733.13	547.75	1561.89	1242.34	1015.93	1175.27	684.02	1119.56	1359.57	1127.35	71.5	132.44	117.6	283.05	84.63	25.72
DERL3	684.02	4869.99	2417.67	60.82	2133.97	5183.54	3257.52	4419.52	4328.55	1437.15	4736.79	4607.24	4010.71	6381.92	1277.29	3372.43	2627.46	4575.41	21.01	78.34	748.61	41.81	43.02	71.5
DGKQ	134.3	896.64	679.29	249.73	921.88	392.44	358.54	866.07	921.88	248.0	642.59	764.36	441.64	842.36	269.6	591.22	775.05	438.59	38.95	23.93	55.1	137.14	78.34	21.63
ELL3	486.75	836.53	669.92	156.59	830.75	279.14	269.6	830.75	1369.04	215.77	723.08	1277.29	583.07	961.07	256.78	665.29	954.43	373.81	87.03	39.79	164.42	120.94	59.55	70.01
F13A1	503.95	460.44	334.46	20.26	665.29	547.75	796.86	896.64	708.18	135.24	1208.34	356.05	723.08	785.88	234.57	669.92	395.18	2555.58	32.36	17.9	67.59	151.22	226.54	129.69
FAM211A	78.89	703.28	878.17	215.77	1088.92	212.78	215.77	1963.57	1096.5	323.03	890.44	1175.27	432.53	836.53	158.79	551.56	1059.11	267.73	38.4	10.16	297.17	143.01	29.27	25.91
FAM46C	316.37	1457.23	830.75	92.05	1008.9	995.0	543.96	1073.91	1111.82	341.51	1397.83	1769.57	1427.22	1498.22	406.31	928.3	947.83	967.76	4.43	22.43	258.57	50.98	89.51	101.54
FCRL2	15.34	142.01	131.51	6.62	137.14	334.46	195.72	264.03	295.11	119.26	147.06	258.57	303.44	228.13	78.89	180.02	119.26	267.73	0.75	0.0	73.54	2.81	1.28	5.54
FCRL5	130.6	571.05	551.56	6.11	466.88	728.11	624.99	733.19	660.68	309.83	890.44	854.13	954.43	1030.12	325.29	460.44	521.76	1051.79	0.39	0.0	287.01	0.0	1.55	0.66
GFI1	30.12	208.38	146.03	28.45	181.28	157.68	80.01	295.11	275.28	100.13	309.83	281.09	244.57	198.47	138.1	197.09	119.26	231.32	1.13	0.79	16.63	15.22	11.21	1.97
GPR114	18.29	136.19	100.13	13.62	101.54	185.11	102.25	154.42	139.07	38.12	153.34	136.19	182.55	198.47	27.84	131.51	66.65	120.94	8.51	1.95	6.52	5.73	5.77	1.75
GPR15	26.86	1857.6	728.11	66.18	1096.5	2720.15	1175.27	1023.0	1437.15	521.76	2555.58	796.86	2875.3	1023.0	1322.37	1519.15	397.93	2609.3	2.2	0.0	1.87	0.43	3.99	0.0
GPR55	7.88	55.1	24.46	0.0	32.82	29.06	14.14	27.64	52.45	11.91	61.25	37.85	35.25	61.68	26.47	34.26	17.64	43.02	0.0	0.0	5.36	0.33	1.43	0.89
IGJ	133825.1	654483.73	539026.74	629.35	419990.32	636586.81	632189.57	561916.97	602247.76	154794.07	706337.4	641014.63	509950.32	602247.76	189257.69	417089.23	431797.89	414208.18	48.87	58.3	6983.79	18.03	669.92	121.79
IKZF1	58.3	329.84	201.25	45.21	246.28	476.71	195.72	497.0	497.0	150.17	571.05	206.94	384.34	318.57	191.67	277.2	99.43	356.05	4.03	3.86	13.52	14.14	30.34	8.13
IL23R	2.89	8.78	13.22	3.44	12.64	23.59	7.34	23.76	17.64	5.02	9.48	12.64	15.91	18.03	9.48	10.08	9.7	10.96	0.0	0.0	0.0	0.0	0.0	0.0
IL2RG	728.11	3443.31	5076.84	293.07	3820.7	3491.39	2004.85	4802.93	4575.41	1183.45	4388.98	3081.75	2591.27	4736.79	1685.71	3716.2	4481.23	2417.67	19.11	22.75	93.35	137.14	77.79	79.45
ITGB7	154.42	1340.84	878.17	115.16	555.41	1295.13	743.43	1059.11	1340.84	503.95	1023.0	802.41	1088.92	1397.83	457.25	988.12	351.14	1208.34	555.41	1059.11	131.51	204.07	48.18	43.32
KCNA3	53.95	66.65	78.34	6.01	50.27	84.04	58.3	134.3	124.37	27.64	148.09	73.54	112.77	57.08	42.41	90.77	59.13	80.57	1.46	0.39	4.5	1.68	1.79	0.0
KIAA0125	151.22	961.07	429.54	0.0	190.34	483.38	447.82	409.15	575.03	320.8	339.14	551.56	728.11	595.34	332.14	384.34	220.32	836.53	0.39	0.0	314.17	59.97	1.3	0.0
KIF19	31.0	267.73	89.51	8.38	53.57	122.64	49.91	126.12	92.05	100.13	137.14	95.34	273.37	78.89	85.82	63.45	61.68	199.85	1.87	0.0	8.06	0.65	41.81	20.41
KLHL6	24.11	241.19	204.07	15.34	232.94	400.71	193.01	414.87	409.15	73.03	536.45	379.04	381.68	253.23	262.2	214.27	215.77	275.28	3.0	2.36	49.21	7.11	4.62	0.47
LIME1	267.73	1487.87	603.67	470.14	684.02	1467.37	947.83	1044.52	1427.22	915.51	612.11	878.17	884.29	1769.57	466.88	775.05	356.05	1175.27	29.27	12.09	163.28	201.25	95.34	94.01
LTK	24.11	387.02	170.25	99.43	426.57	273.37	153.34	1936.53	361.04	117.6	206.94	842.36	255.0	400.71	371.22	309.83	381.68	275.28	21.32	12.93	12.45	7.11	1.39	6.21
LYPD8	0.0	17197.56	27745.15	0.0	22225.61	1073.91	368.65	73221.53	48643.87	684.02	31215.04	34396.12	1709.26	25530.66	866.07	16960.78	28328.16	733.19	0.0	0.0	0.0	0.0	0.0	3.38
MEI1	295.11	813.63	490.14	92.7	974.5	1066.48	825.0	1111.82	728.11	460.44	1457.23	1159.07	1259.69	1175.27	420.68	753.83	896.64	1286.18	24.63	15.68	518.15	29.48	209.84	39.22
MVP	909.17	9540.5	9474.59	3146.52	11992.79	5219.6	4388.98	9025.81	11504.21	4802.93	11035.54	9673.69	5872.48	10659.59	5366.37	6745.86	9409.14	6337.83	713.11	1233.75	665.29	2664.15	854.13	1340.84
MZB1	1721.16	14765.09	9279.58	0.0	6935.54	12764.83	9540.5	11035.54	12160.22	3847.29	17558.94	7642.41	12076.21	23986.58	5913.33	8479.89	6745.86	11664.82	5.59	3.53	2367.9	18.84	100.83	35.0
NUGGC	11.73	80.01	77.79	0.0	76.17	70.51	60.82	97.36	129.69	19.39	139.07	88.26	89.51	92.7	47.5	53.19	76.71	80.01	0.37	0.0	9.63	0.0	1.66	0.43
PIM2	450.94	3168.41	2739.08	97.36	1857.6	3060.45	1896.65	2895.31	1806.78	1059.11	5954.47	1819.35	2303.12	5041.77	1529.73	1909.85	2061.24	3395.89	163.28	52.08	1159.07	269.6	117.6	148.09
PLEKHA6	397.93	1277.29	1030.12	366.09	1127.35	813.63	444.72	1313.23	1870.53	665.29	1143.1	1088.92	1023.0	1313.23	536.45	1066.48	967.76	651.58	33.78	24.99	34.51	136.19	29.91	57.89
POU2AF1	212.78	1199.98	1378.57	36.27	1359.57	1487.87	1378.57	2178.83	1745.2	409.15	3060.45	1551.09	1721.16	2777.33	379.04	1191.69	1159.07	1295.13	1.85	11.13	194.36	2.66	15.11	7.51
POU2F2	35.0	63.89	113.56	47.17	72.01	136.19	111.21	255.0	176.29	85.82	117.6	98.73	151.22	353.59	41.81	182.55	62.56	285.03	4.1	2.34	24.11	36.27	43.02	7.17
PTK2B	167.9	1551.09	1340.84	323.03	1757.34	1340.84	947.83	1977.24	2271.4	688.78	2335.28	1551.09	1388.16	1540.37	656.11	1242.34	1096.5	1191.69	224.97	125.24	80.57	123.5	381.68	122.64
PTPN7	61.25	500.46	366.09	40.64	190.34	503.95	281.09	567.1	684.02	258.57	583.07	314.17	536.45	387.02	332.14	376.41	140.04	660.68	5.36	0.84	43.63	30.12	21.78	5.28
PTPRE	194.36	193.01	323.03	211.31	287.01	444.72	182.55	269.6	297.17	223.41	447.82	336.79	234.57	201.25	351.14	267.73	348.71	412.0	46.18	4.7	157.68	72.52	49.91	23.76
RIPK3	165.57	915.51	848.22	291.04	1295.13	480.04	397.93	1447.15	1216.75	607.87	1233.75	1369.04	780.44	961.07	521.76	934.76	1259.69	825.0	15.0	43.02	109.66	251.48	106.63	167.9
RPS6KA1	616.37	2915.45	3372.43	239.52	3928.15	1127.35	915.51	3443.31	3467.27	753.83	3235.01	3168.41	1857.6	2895.31	642.59	2193.99	3540.14	1447.15	291.04	414.87	551.56	647.07	239.52	309.83
SCML4	10.0	163.28	76.17	8.25	81.14	197.09	71.5	197.09	194.36	27.25	208.38	108.14	239.52	195.72	126.12	103.69	45.85	169.07	2.23	1.57	1.23	4.46	3.76	0.0
SEMA4G	37.32	1936.53	2335.28	226.54	2400.97	309.83	403.5	2163.77	2591.27	197.09	1794.29	1963.57	1104.13	1369.04	332.14	1662.49	2351.53	587.13	46.5	4.78	32.82	78.89	31.67	6.21
SLAMF1	48.52	127.89	133.36	5.36	66.65	185.11	53.95	128.79	180.02	57.89	260.38	81.71	172.65	217.27	154.42	161.02	62.56	145.02	6.67	0.0	22.75	2.23	5.54	1.6
SLAMF7	587.13	2400.97	2119.22	54.72	1104.13	1883.54	1487.87	2178.83	2303.12	624.99	2609.3	1923.14	2133.97	2502.97	748.61	1639.59	988.12	1359.57	20.41	16.03	287.01	17.64	23.59	7.94
SLC17A9	25.91	872.1	571.05	62.12	486.75	1037.29	429.54	221.86	441.64	231.32	830.75	536.45	854.13	607.87	423.61	403.5	503.95	1088.92	22.59	2.1	121.79	155.5	41.81	10.96
SLC22A18	612.11	3419.52	2555.58	341.51	3690.52	1081.39	775.05	3901.01	4123.49	902.89	3847.29	3982.99	1844.76	2796.65	647.07	2178.83	3190.46	2796.65	412.0	420.68	599.49	242.88	511.0	71.0
SLC30A10	0.0	144.01	271.48	15.11	624.99	16.88	12.0	616.37	480.04	18.43	137.14	651.58	44.89	96.01	30.34	275.28	748.61	27.64	0.73	0.0	32.36	0.92	0.0	13.83
SLC35D1	70.51	684.02	884.29	301.33	1127.35	397.93	312.0	830.75	967.76	348.71	878.17	1081.39	414.87	543.96	307.69	612.11	759.08	301.33	20.26	11.21	24.63	111.99	64.8	57.49
SLC38A5	92.7	2104.58	1277.29	212.78	1662.49	1051.79	1044.52	629.35	1794.29	447.82	3018.3	902.89	1745.2	2976.74	603.67	1250.98	1216.75	1477.58	8.58	7.4	307.69	61.25	95.34	381.68
SLC4A10	3.89	29.7	60.39	5.5	41.22	16.39	7.51	23.42	17.25	13.22	53.57	70.51	32.13	57.49	7.51	32.13	29.06	16.75	1.46	0.0	0.87	0.27	2.71	0.83
SPIB	0.0	2148.82	2351.53	50.63	1572.76	1104.13	1059.11	2915.45	3349.13	265.87	1857.6	1991.0	1407.55	2351.53	258.57	1757.34	4328.55	638.15	1.48	0.0	21.47	4.24	7.17	18.84
STARD5	137.14	1066.48	830.75	173.85	1044.52	723.08	400.71	947.83	928.3	339.14	995.0	1175.27	791.35	1044.52	283.05	647.07	738.29	934.76	94.67	46.18	94.01	64.8	166.73	147.06
TEP1	246.28	836.53	813.63	299.25	890.44	656.11	457.25	1331.57	1030.12	444.72	954.43	1397.83	660.68	651.58	525.39	780.44	967.76	624.99	25.91	62.12	307.69	271.48	156.59	96.01
TM6SF2	14.89	164.42	75.11	18.43	92.7	112.77	43.02	718.08	183.82	107.38	104.42	303.44	91.41	191.67	54.33	96.68	139.07	68.55	2.68	0.0	26.67	62.12	0.09	49.21
TMEM236	0.0	82.29	432.53	0.0	476.71	70.01	50.27	896.64	647.07	26.28	941.27	854.13	125.24	358.54	14.89	348.71	373.81	85.82	1.48	0.0	0.0	0.0	2.46	2.63
TMEM253	27.84	1313.23	1378.57	71.0	1883.54	142.01	183.82	1417.35	1963.57	107.38	1127.35	1313.23	493.56	1378.57	78.89	808.0	1617.0	183.82	1.91	8.58	2.41	40.64	19.39	63.45
TNFRSF17	503.95	1936.53	1721.16	22.1	1322.37	1745.2	1594.73	1870.53	2133.97	583.07	2047.0	2287.2	1477.58	2075.59	237.86	1487.87	1216.75	1259.69	0.0	0.0	223.41	1.25	4.06	1.75
TRABD	420.68	1594.73	1378.57	684.02	1340.84	1322.37	1059.11	1199.98	1295.13	764.36	1369.04	1313.23	1388.16	1963.57	1023.0	1143.1	1369.04	1551.09	320.8	305.55	511.0	629.35	551.56	332.14
