	TCGA.A8.A07B.01A.11R.A00Z.07	GTEX.11GSP.1826.SM.5N9DQ	GTEX.11GSP.1726.SM.5A5LI	GTEX.139TU.1326.SM.5LZXW	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.7728.01A.11R.2187.07	TCGA.CG.5718.01A.11R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6454.11A.01R.1802.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.XUZC.0726.SM.4BOPH	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZYY3.1726.SM.5EGH3
CCDC91	780.44	197.09	358.54	297.17	507.46	567.1	447.82	420.68	316.37	273.37	1081.39	1008.9	529.06	651.58	684.02	708.18	612.11	866.07	733.19	884.29	483.38	733.19	470.14	669.92	371.22	476.71	483.38	316.37	167.9	400.71	181.28	376.41	361.04	693.58	395.18	450.94	403.5
CETN3	708.18	289.02	309.83	265.87	775.05	688.78	1127.35	796.86	961.07	612.11	813.63	1151.06	1044.52	1037.29	934.76	934.76	872.1	1175.27	1066.48	1023.0	842.36	1030.12	718.08	703.28	483.38	620.67	579.04	551.56	0.0	206.94	146.03	193.01	253.23	205.5	267.73	162.14	253.23
COMMD10	1008.9	229.72	323.03	307.69	587.13	708.18	808.0	703.28	612.11	688.78	1008.9	954.43	713.11	708.18	693.58	854.13	808.0	703.28	688.78	748.61	693.58	967.76	543.96	543.96	579.04	579.04	518.15	460.44	0.59	295.11	177.53	348.71	356.05	412.0	384.34	348.71	400.71
COPG2	1304.15	693.58	470.14	400.71	819.3	759.08	1397.83	1378.57	1023.0	1030.12	1151.06	1250.98	1044.52	1477.58	1167.14	1295.13	1051.79	1051.79	1037.29	775.05	941.27	1199.98	866.07	780.44	409.15	785.88	830.75	693.58	10368.08	435.55	339.14	587.13	327.56	283.05	262.2	185.11	346.29
COPS2	1561.89	543.96	599.49	603.67	842.36	1001.93	1088.92	808.0	954.43	647.07	1051.79	1286.18	1096.5	1259.69	1059.11	1127.35	1233.75	934.76	1498.22	947.83	1015.93	1322.37	612.11	759.08	981.29	854.13	703.28	607.87	0.67	555.41	297.17	532.74	511.0	599.49	457.25	780.44	656.11
COPS4	1023.0	490.14	579.04	490.14	896.64	934.76	1233.75	1551.09	854.13	884.29	848.22	1225.22	1096.5	1487.87	1088.92	1233.75	1104.13	896.64	1340.84	1143.1	890.44	1295.13	780.44	884.29	830.75	743.43	830.75	532.74	6250.56	289.02	327.56	651.58	555.41	392.44	486.75	463.65	316.37
COPS8	2018.8	607.87	1088.92	1051.79	1427.22	1487.87	1857.6	1447.15	1397.83	1059.11	1498.22	2163.77	1447.15	1721.16	1417.35	1529.73	1477.58	1709.26	1794.29	1519.15	1359.57	1697.45	1250.98	1340.84	1175.27	1208.34	1277.29	934.76	0.67	647.07	647.07	551.56	825.0	624.99	633.73	791.35	497.0
CPNE3	3742.05	860.08	525.39	341.51	921.88	1167.14	1529.73	1639.59	1096.5	1175.27	1733.13	1639.59	1605.83	1794.29	1457.23	1745.2	1769.57	1191.69	1447.15	1359.57	1111.82	1733.13	785.88	1044.52	1183.45	1350.18	1066.48	616.37	0.36	373.81	723.08	511.0	426.57	423.61	483.38	334.46	316.37
CROT	988.12	195.72	98.73	90.14	366.09	395.18	651.58	848.22	511.0	511.0	579.04	575.03	514.56	612.11	555.41	612.11	540.19	450.94	595.34	529.06	420.68	460.44	441.64	426.57	426.57	414.87	381.68	199.85	0.24	150.17	82.87	104.42	106.63	38.67	121.79	72.52	47.5
DHX40	1143.1	171.45	265.87	269.6	703.28	748.61	902.89	1059.11	941.27	684.02	1088.92	1119.56	764.36	1199.98	934.76	1183.45	1015.93	753.83	1127.35	995.0	802.41	1088.92	642.59	718.08	769.69	728.11	642.59	423.61	0.48	265.87	260.38	351.14	334.46	176.29	209.84	241.19	120.94
EAPP	1529.73	423.61	521.76	555.41	1037.29	1066.48	1794.29	1407.55	1427.22	1081.39	872.1	1674.06	1135.2	1674.06	1378.57	1572.76	1225.22	1651.0	1745.2	1304.15	1242.34	1709.26	884.29	1059.11	988.12	967.76	796.86	718.08	571.05	708.18	656.11	723.08	813.63	536.45	679.29	567.1	260.38
EFCAB11	358.54	135.24	77.79	38.95	191.67	256.78	205.5	264.03	194.36	204.07	293.07	258.57	190.34	190.34	258.57	180.02	255.0	164.42	197.09	226.54	236.21	236.21	162.14	178.77	194.36	178.77	205.5	86.43	0.0	109.66	78.89	98.04	90.14	121.79	85.22	101.54	148.09
ENPP5	1304.15	7.34	7.46	4.74	457.25	403.5	629.35	1508.65	361.04	753.83	497.0	633.73	713.11	1208.34	583.07	713.11	429.54	400.71	693.58	647.07	493.56	836.53	447.82	400.71	529.06	412.0	406.31	175.07	0.29	73.54	318.57	55.1	30.56	59.97	79.45	43.32	106.63
ERCC8	307.69	77.25	68.07	64.8	110.43	138.1	256.78	163.28	208.38	156.59	185.11	224.97	158.79	212.78	157.68	204.07	189.02	150.17	182.55	154.42	110.43	152.28	155.5	132.44	135.24	114.36	91.41	98.73	0.2	57.08	44.57	134.3	60.39	72.52	71.5	75.11	44.25
EXOC5	559.28	205.5	301.33	197.09	384.34	387.02	358.54	325.29	325.29	356.05	620.67	438.59	551.56	490.14	417.77	466.88	543.96	366.09	432.53	420.68	264.03	571.05	223.41	373.81	417.77	353.59	371.22	279.14	0.38	162.14	106.63	293.07	229.72	211.31	178.77	273.37	164.42
FIG4	497.0	104.42	197.09	175.07	299.25	283.05	299.25	507.46	353.59	414.87	351.14	325.29	336.79	379.04	348.71	325.29	332.14	329.84	341.51	361.04	291.04	353.59	279.14	269.6	251.48	277.2	287.01	285.03	0.24	231.32	73.03	206.94	258.57	121.79	167.9	156.59	166.73
GCSH	733.19	559.28	371.22	555.41	896.64	1662.49	1331.57	1059.11	836.53	1030.12	1359.57	1477.58	1561.89	1175.27	1119.56	1096.5	1794.29	1359.57	961.07	848.22	1519.15	1674.06	872.1	1135.2	1594.73	921.88	941.27	460.44	0.43	283.05	587.13	299.25	316.37	260.38	409.15	164.42	379.04
GRSF1	2148.82	1119.56	660.68	909.17	1250.98	1242.34	1457.23	1662.49	915.51	1191.69	1331.57	1127.35	1857.6	1844.76	1540.37	1950.0	1561.89	1519.15	1639.59	1561.89	1397.83	1950.0	1350.18	1111.82	1286.18	1242.34	1313.23	1051.79	193.01	909.17	1023.0	1135.2	1015.93	890.44	909.17	860.08	967.76
GTF3C6	3690.52	785.88	785.88	941.27	1909.85	1769.57	3039.3	1697.45	1769.57	1628.26	1628.26	2720.15	2645.74	2451.44	1844.76	1857.6	1685.71	2400.97	1832.01	1950.0	2739.08	2434.5	1819.35	1477.58	1498.22	1605.83	1340.84	1051.79	0.0	1769.57	947.83	967.76	1519.15	1001.93	1037.29	808.0	684.02
HTATSF1	1662.49	395.18	647.07	555.41	1044.52	1167.14	1721.16	1662.49	1457.23	1051.79	1183.45	1745.2	1508.65	1781.89	1467.37	1457.23	1277.29	1540.37	1870.53	1498.22	1250.98	1651.0	1397.83	1059.11	902.89	1167.14	1127.35	866.07	145.02	414.87	559.28	718.08	775.05	457.25	480.04	426.57	236.21
IFT46	842.36	237.86	320.8	327.56	728.11	728.11	1088.92	679.29	981.29	684.02	656.11	1088.92	723.08	830.75	607.87	638.15	748.61	802.41	848.22	764.36	555.41	733.19	718.08	633.73	629.35	642.59	660.68	334.46	0.07	246.28	133.36	476.71	379.04	178.77	301.33	267.73	99.43
JKAMP	1295.13	289.02	463.65	334.46	780.44	941.27	1073.91	1259.69	1059.11	995.0	967.76	1066.48	1066.48	1313.23	1167.14	1151.06	1051.79	1037.29	1119.56	1096.5	836.53	1104.13	915.51	941.27	954.43	796.86	825.0	728.11	0.27	493.56	454.09	733.19	642.59	555.41	603.67	387.02	525.39
KIFAP3	896.64	172.65	521.76	470.14	624.99	616.37	796.86	909.17	718.08	802.41	738.29	743.43	764.36	708.18	660.68	791.35	718.08	684.02	669.92	785.88	624.99	775.05	525.39	525.39	583.07	540.19	575.03	555.41	0.48	186.4	112.77	236.21	256.78	108.14	183.82	180.02	96.68
LSM3	684.02	202.66	187.71	214.27	343.89	435.55	532.74	406.31	414.87	353.59	341.51	540.19	438.59	480.04	387.02	409.15	426.57	438.59	444.72	351.14	432.53	480.04	343.89	318.57	417.77	320.8	297.17	281.09	0.25	189.02	297.17	224.97	358.54	361.04	348.71	206.94	332.14
MATR3	6935.54	2104.58	3280.18	2520.38	4239.45	4268.94	4671.57	4972.34	4736.79	3690.52	5711.87	5555.65	5112.16	5872.48	5292.48	5751.61	5633.22	5147.73	5831.91	5517.27	4123.49	5711.87	3665.02	4450.27	3794.3	4298.64	4152.18	2997.45	1437.15	1757.34	1119.56	2178.83	2133.97	1397.83	1594.73	2287.2	1605.83
MRFAP1L1	1662.49	603.67	733.19	651.58	1437.15	1508.65	1437.15	1551.09	1594.73	1242.34	1437.15	1721.16	1369.04	1806.78	1662.49	1605.83	1467.37	1832.01	1870.53	1508.65	1721.16	1896.65	1242.34	1397.83	1313.23	1447.15	1127.35	1286.18	0.35	988.12	848.22	981.29	884.29	470.14	860.08	559.28	283.05
MRPL47	1832.01	780.44	616.37	595.34	1304.15	1073.91	1437.15	1427.22	902.89	1350.18	974.5	819.3	1498.22	1359.57	1023.0	1259.69	1159.07	1498.22	1143.1	1081.39	1417.35	1508.65	1001.93	1104.13	819.3	878.17	961.07	669.92	0.59	909.17	753.83	555.41	698.41	629.35	547.75	543.96	285.03
MRPS16	2591.27	1529.73	872.1	1175.27	2400.97	2335.28	2502.97	2468.49	1651.0	2255.7	1806.78	1896.65	2664.15	2520.38	2004.85	2351.53	2240.11	1936.53	2148.82	2018.8	2664.15	2335.28	1977.24	2224.63	2209.26	2400.97	2032.85	1605.83	1844.76	1617.0	1191.69	1487.87	1259.69	1008.9	2004.85	854.13	1259.69
MRPS18C	1617.0	665.29	674.59	624.99	769.69	995.0	1051.79	1167.14	665.29	647.07	769.69	743.43	1059.11	1191.69	854.13	743.43	934.76	1066.48	1313.23	665.29	1151.06	1066.48	591.22	928.3	753.83	633.73	603.67	728.11	0.26	902.89	567.1	665.29	718.08	540.19	1059.11	532.74	387.02
MRPS22	1111.82	753.83	536.45	470.14	934.76	1030.12	941.27	1378.57	808.0	1233.75	995.0	830.75	1233.75	1119.56	995.0	1159.07	1151.06	1111.82	1059.11	921.88	1008.9	1199.98	738.29	928.3	921.88	775.05	825.0	591.22	392.44	607.87	587.13	723.08	638.15	575.03	791.35	500.46	493.56
MRPS28	4575.41	743.43	633.73	785.88	1909.85	2224.63	3018.3	2319.15	1936.53	2287.2	1832.01	2627.46	2502.97	2627.46	2032.85	2537.92	2148.82	2351.53	2645.74	2061.24	2682.69	2591.27	1551.09	2075.59	1745.2	1870.53	1572.76	1081.39	0.52	764.36	1909.85	547.75	514.56	563.18	587.13	497.0	836.53
MTCH2	3303.0	1651.0	698.41	764.36	2163.77	2935.74	2609.3	3491.39	1991.0	3372.43	2609.3	2319.15	3467.27	3212.66	2209.26	2434.5	3212.66	2209.26	2400.97	2319.15	3081.75	3060.45	1832.01	2240.11	3515.68	2758.13	2895.31	1081.39	0.0	1572.76	1628.26	1073.91	981.29	1199.98	1331.57	753.83	988.12
MTPN	1757.34	1023.0	563.18	403.5	1143.1	1199.98	1096.5	1551.09	1437.15	836.53	1857.6	2119.22	1369.04	1857.6	1594.73	1950.0	1709.26	1322.37	2018.8	1662.49	961.07	1781.89	947.83	1127.35	1322.37	1437.15	1457.23	854.13	0.6	435.55	660.68	1023.0	708.18	1023.0	669.92	1073.91	1250.98
MTSS1	2555.58	555.41	291.04	253.23	669.92	753.83	780.44	406.31	775.05	669.92	1378.57	1268.46	748.61	607.87	866.07	848.22	1388.16	954.43	595.34	909.17	629.35	808.0	753.83	1369.04	819.3	961.07	860.08	563.18	0.92	320.8	215.77	301.33	289.02	463.65	363.56	579.04	518.15
NAA20	2701.35	2609.3	825.0	703.28	1883.54	2032.85	3103.19	2502.97	1950.0	1757.34	1896.65	2303.12	2047.0	2303.12	2061.24	2720.15	2018.8	2855.44	2351.53	1977.24	2351.53	2537.92	1857.6	1909.85	1832.01	1685.71	1457.23	1286.18	371.22	1477.58	902.89	743.43	723.08	967.76	1044.52	616.37	529.06
NAA50	1697.45	1059.11	525.39	417.77	1583.71	1487.87	974.5	1651.0	902.89	1119.56	2075.59	1143.1	1233.75	1709.26	1551.09	1977.24	1388.16	1183.45	1781.89	1832.01	954.43	2018.8	1081.39	1277.29	1350.18	1651.0	2133.97	703.28	229.72	480.04	860.08	1340.84	808.0	1023.0	633.73	1135.2	1044.52
NCOA2	866.07	218.79	209.84	157.68	242.88	327.56	406.31	599.49	470.14	363.56	417.77	660.68	403.5	429.54	414.87	595.34	563.18	255.0	395.18	466.88	236.21	490.14	218.79	353.59	397.93	480.04	329.84	206.94	66.65	167.9	258.57	395.18	231.32	190.34	158.79	260.38	237.86
NDUFB4	10659.59	3235.01	3018.3	4095.0	6164.49	7485.11	9606.86	6935.54	5995.9	6207.38	4671.57	7966.99	8305.36	7382.04	6037.61	6840.04	6471.02	9088.59	8247.98	6037.61	8479.89	8022.41	7180.15	5954.47	5633.22	6294.04	5751.61	4152.18	1.28	5292.48	3928.15	5292.48	5672.41	4095.0	4298.64	4328.55	5147.73
NKIRAS1	366.09	63.0	104.42	133.36	249.73	389.72	253.23	381.68	246.28	309.83	307.69	253.23	363.56	316.37	314.17	291.04	323.03	275.28	336.79	297.17	260.38	381.68	206.94	211.31	297.17	241.19	271.48	153.34	0.27	68.07	55.49	106.63	127.89	56.68	109.66	134.3	50.27
PCMT1	2777.33	836.53	872.1	872.1	1242.34	1159.07	1594.73	1794.29	1143.1	1111.82	1359.57	1167.14	1388.16	1551.09	1304.15	1369.04	1313.23	1216.75	1883.54	1259.69	1331.57	1437.15	1259.69	1143.1	1088.92	1044.52	1151.06	954.43	0.64	698.41	679.29	884.29	921.88	738.29	836.53	884.29	607.87
PEX2	4268.94	314.17	591.22	387.02	1350.18	1447.15	1857.6	1605.83	1721.16	1159.07	2018.8	2351.53	1685.71	2573.36	1733.13	2119.22	1950.0	1561.89	2133.97	1870.53	1304.15	2018.8	1199.98	1369.04	1191.69	1313.23	1159.07	947.83	0.57	435.55	651.58	872.1	748.61	1030.12	967.76	808.0	389.72
PFDN1	3955.48	1044.52	1268.46	1350.18	1819.35	1551.09	2434.5	1896.65	2090.03	1844.76	1936.53	2209.26	1757.34	2303.12	1662.49	2047.0	1794.29	2148.82	1896.65	2004.85	2148.82	2090.03	1757.34	1651.0	1605.83	1594.73	1605.83	1551.09	0.73	1662.49	607.87	836.53	974.5	921.88	1030.12	1175.27	1015.93
PIK3CA	318.57	93.35	181.28	150.17	197.09	197.09	177.53	289.02	193.01	133.36	356.05	232.94	275.28	231.32	218.79	253.23	363.56	172.65	293.07	256.78	131.51	320.8	127.0	197.09	234.57	234.57	193.01	172.65	90.77	105.15	67.12	141.02	111.99	101.54	73.54	108.9	159.9
PKIA	819.3	31.22	46.5	41.52	363.56	201.25	497.0	591.22	103.69	147.06	616.37	435.55	237.86	264.03	165.57	368.65	185.11	241.19	260.38	234.57	178.77	316.37	271.48	159.9	120.94	143.01	164.42	143.01	0.21	40.07	9.78	29.91	39.22	61.25	18.03	37.32	47.5
PLA2G12A	981.29	429.54	353.59	256.78	825.0	890.44	1030.12	1340.84	775.05	981.29	830.75	395.18	1096.5	1127.35	981.29	1111.82	1268.46	1001.93	1096.5	961.07	785.88	1151.06	703.28	1096.5	780.44	1066.48	1023.0	373.81	209.84	283.05	536.45	638.15	387.02	616.37	514.56	612.11	813.63
PLGRKT	1250.98	409.15	217.27	307.69	988.12	909.17	2417.67	1936.53	1066.48	1030.12	1167.14	1883.54	1477.58	1745.2	947.83	1331.57	1135.2	1340.84	1037.29	1359.57	1023.0	1551.09	915.51	825.0	796.86	842.36	878.17	476.71	0.39	493.56	223.41	395.18	409.15	595.34	376.41	511.0	703.28
POP4	2895.31	708.18	738.29	967.76	1721.16	1467.37	1709.26	2061.24	1594.73	1819.35	1397.83	1697.45	1721.16	2047.0	1617.0	2004.85	1617.0	1819.35	1819.35	1674.06	1674.06	1923.14	1651.0	1508.65	1551.09	1295.13	1572.76	1467.37	0.44	1388.16	1233.75	1417.35	1594.73	813.63	1745.2	587.13	480.04
PPIC	1427.22	447.82	698.41	579.04	1037.29	743.43	890.44	1806.78	743.43	1388.16	1183.45	748.61	1159.07	1259.69	791.35	981.29	872.1	961.07	1044.52	1119.56	1030.12	1313.23	878.17	753.83	703.28	693.58	791.35	934.76	603.67	703.28	381.68	780.44	612.11	470.14	454.09	575.03	1159.07
PPID	1844.76	417.77	547.75	642.59	1322.37	1208.34	1073.91	981.29	1127.35	842.36	974.5	1259.69	1551.09	1081.39	1015.93	1151.06	1175.27	1397.83	1167.14	1023.0	1151.06	1331.57	981.29	1008.9	884.29	854.13	890.44	559.28	0.07	567.1	463.65	500.46	532.74	473.41	733.19	400.71	490.14
PSMD6	2701.35	1313.23	1286.18	1023.0	1697.45	1628.26	1651.0	2739.08	1397.83	1883.54	1745.2	1191.69	1857.6	1844.76	1819.35	1896.65	1769.57	1896.65	1870.53	1674.06	1709.26	2303.12	1259.69	1467.37	1477.58	1295.13	1407.55	1119.56	0.84	1295.13	802.41	928.3	1066.48	890.44	860.08	1023.0	738.29
PTPLAD1	3847.29	490.14	476.71	285.03	1709.26	2047.0	3349.13	3349.13	2133.97	2193.99	3901.01	2956.17	2739.08	3540.14	2417.67	2976.74	2417.67	2335.28	3146.52	2796.65	1883.54	3190.46	1857.6	1950.0	1883.54	1963.57	2119.22	595.34	417.77	444.72	738.29	1685.71	1662.49	1313.23	791.35	967.76	1295.13
PWP1	1119.56	587.13	454.09	480.04	607.87	591.22	764.36	974.5	698.41	688.78	642.59	651.58	713.11	872.1	769.69	791.35	775.05	723.08	842.36	738.29	669.92	775.05	629.35	591.22	647.07	571.05	579.04	532.74	0.29	444.72	547.75	684.02	591.22	351.14	417.77	392.44	223.41
RAB14	1529.73	1359.57	860.08	703.28	1151.06	1191.69	1662.49	1457.23	1427.22	1096.5	1498.22	1508.65	1572.76	1583.71	1498.22	1628.26	1572.76	1268.46	1467.37	1457.23	1088.92	1572.76	1135.2	1073.91	1175.27	1225.22	1096.5	1023.0	0.69	599.49	587.13	921.88	693.58	738.29	629.35	769.69	988.12
RAB18	6121.9	1250.98	836.53	651.58	1794.29	1950.0	1639.59	2485.67	1477.58	1819.35	2591.27	2061.24	2209.26	2835.7	2193.99	2240.11	2451.44	2367.9	2835.7	2303.12	1857.6	2720.15	1628.26	1639.59	1721.16	1467.37	1806.78	1066.48	0.79	785.88	514.56	1225.22	1477.58	1572.76	1081.39	1519.15	1594.73
RABL3	854.13	149.12	121.79	157.68	400.71	379.04	444.72	450.94	334.46	417.77	612.11	638.15	511.0	665.29	466.88	612.11	559.28	358.54	616.37	587.13	297.17	679.29	281.09	387.02	371.22	409.15	373.81	186.4	0.13	129.69	178.77	287.01	201.25	291.04	146.03	189.02	119.26
RAP1GDS1	713.11	264.03	327.56	244.57	435.55	384.34	341.51	684.02	297.17	476.71	540.19	327.56	525.39	555.41	444.72	669.92	532.74	414.87	547.75	466.88	387.02	620.67	336.79	403.5	441.64	379.04	395.18	397.93	603.67	293.07	193.01	287.01	242.88	258.57	256.78	412.0	358.54
RCHY1	1159.07	281.09	429.54	273.37	525.39	555.41	764.36	743.43	688.78	473.41	884.29	860.08	813.63	775.05	808.0	612.11	769.69	575.03	890.44	536.45	591.22	836.53	426.57	633.73	665.29	587.13	555.41	353.59	0.51	255.0	211.31	314.17	285.03	336.79	403.5	228.13	190.34
REEP5	5954.47	974.5	1304.15	1096.5	3515.68	3419.52	5711.87	4268.94	4123.49	3742.05	3847.29	4937.99	5041.77	5555.65	3955.48	4419.52	3515.68	4512.4	5791.62	4358.66	3901.01	4736.79	3491.39	3372.43	3039.3	3190.46	3303.0	2240.11	688.78	2193.99	1447.15	2645.74	2047.0	1721.16	2163.77	1359.57	2209.26
RLN1	33.06	0.0	0.0	0.0	12.83	8.85	22.92	12.64	19.11	16.39	8.06	29.27	15.22	29.7	8.99	10.71	18.29	24.11	20.11	26.1	10.39	25.91	10.55	2.89	2.97	3.99	13.93	8.45	0.0	2.86	0.42	4.98	1.01	4.86	6.52	0.0	0.0
RPL26L1	1498.22	579.04	373.81	420.68	1208.34	1208.34	1519.15	1304.15	1135.2	1059.11	981.29	1167.14	1096.5	1313.23	1037.29	1167.14	954.43	1437.15	1268.46	1135.2	1225.22	1295.13	1066.48	1008.9	1051.79	1015.93	974.5	775.05	0.22	830.75	353.59	423.61	503.95	511.0	503.95	460.44	460.44
RWDD2B	529.06	133.36	209.84	140.04	358.54	420.68	575.03	412.0	525.39	376.41	400.71	698.41	540.19	612.11	507.46	529.06	497.0	483.38	511.0	470.14	400.71	543.96	395.18	341.51	358.54	400.71	309.83	312.0	0.0	226.54	138.1	258.57	269.6	166.73	202.66	152.28	106.63
SCRN3	575.03	208.38	99.43	100.13	339.14	432.53	559.28	563.18	486.75	476.71	511.0	624.99	543.96	595.34	447.82	563.18	547.75	420.68	547.75	518.15	329.84	575.03	295.11	420.68	473.41	381.68	363.56	231.32	0.0	262.2	329.84	223.41	229.72	287.01	289.02	228.13	146.03
SDAD1	651.58	253.23	320.8	291.04	483.38	441.64	507.46	551.56	500.46	406.31	368.65	551.56	536.45	503.95	536.45	547.75	532.74	507.46	486.75	529.06	392.44	571.05	361.04	373.81	432.53	406.31	356.05	351.14	0.21	289.02	275.28	356.05	341.51	237.86	314.17	220.32	102.97
