	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.P4.AAVK.01A.11R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.TKQ1.0126.SM.33HB3	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
CCBL2	318.57	189.02	457.25	476.71	392.44	0.0	0.54	493.56	733.19	514.56	591.22	563.18	612.11	638.15	543.96	567.1	583.07
CDC37L1	170.25	140.04	215.77	189.02	279.14	0.0	0.33	264.03	450.94	329.84	406.31	463.65	438.59	348.71	395.18	343.89	392.44
CDC42EP4	444.72	483.38	316.37	753.83	466.88	0.0	0.59	674.59	1216.75	995.0	1378.57	1225.22	1407.55	1437.15	1044.52	1044.52	1242.34
CEBPD	371.22	297.17	954.43	1508.65	497.0	0.0	0.79	759.08	1369.04	947.83	1697.45	2520.38	1015.93	2400.97	825.0	785.88	764.36
CHCHD7	409.15	175.07	514.56	607.87	426.57	0.0	0.65	629.35	909.17	718.08	884.29	802.41	698.41	718.08	854.13	981.29	802.41
CIR1	277.2	599.49	138.1	559.28	336.79	536.45	432.53	647.07	1295.13	587.13	830.75	819.3	1216.75	947.83	1081.39	813.63	866.07
CLTCL1	107.38	36.53	121.79	90.14	73.03	0.0	0.78	221.86	197.09	155.5	164.42	260.38	269.6	201.25	208.38	260.38	265.87
CSRNP2	150.17	89.51	102.25	166.73	262.2	0.0	0.57	151.22	318.57	193.01	314.17	454.09	336.79	211.31	246.28	178.77	279.14
CTB-50L17.14	11.82	8.32	2.05	1.93	0.41	0.0	0.47	2.48	7.51	7.46	12.0	21.78	11.13	2.23	7.63	8.51	3.56
DDX5	4123.49	5751.61	5329.3	6652.97	7911.95	0.0	1.06	5041.77	18560.17	11827.67	13399.51	13492.72	14561.8	10512.82	15075.35	15499.21	14867.79
EGLN2	769.69	941.27	791.35	1304.15	928.3	0.0	0.95	1437.15	1639.59	1605.83	1674.06	1639.59	1508.65	1977.24	1519.15	1745.2	1594.73
EYA1	0.0	1.5	3.82	0.45	25.17	0.0	0.0	3.56	35.25	72.01	44.89	38.95	23.93	18.29	16.03	13.42	53.19
FAM206A	158.79	202.66	135.24	223.41	264.03	0.0	0.21	295.11	514.56	303.44	346.29	371.22	575.03	371.22	688.78	329.84	466.88
FAM214A	178.77	228.13	144.01	267.73	255.0	0.0	0.37	353.59	1498.22	660.68	620.67	884.29	1001.93	860.08	1183.45	759.08	1008.9
FKBP1B	72.01	25.35	117.6	69.52	32.36	0.0	0.56	105.15	214.27	129.69	187.71	164.42	132.44	371.22	149.12	346.29	153.34
FOXO1	146.03	38.67	105.89	96.01	85.82	0.0	0.44	142.01	738.29	463.65	753.83	607.87	713.11	441.64	503.95	346.29	872.1
FUS	1639.59	3982.99	3443.31	3419.52	6607.01	5791.62	1832.01	3742.05	5872.48	7081.29	6471.02	7081.29	7803.01	5041.77	6037.61	5954.47	6079.61
GABRE	6.94	23.59	3.32	13.72	20.41	0.0	1.48	108.14	301.33	55.89	162.14	902.89	387.02	124.37	46.84	43.02	309.83
GADD45B	825.0	769.69	2555.58	902.89	1066.48	0.0	0.08	896.64	8598.28	3124.78	3257.52	6887.62	5831.91	15607.02	2303.12	2384.37	4152.18
GCFC2	80.57	371.22	108.14	381.68	237.86	0.0	0.43	332.14	587.13	312.0	371.22	423.61	503.95	500.46	353.59	412.0	426.57
GNMT	3.69	2.03	14.67	7.69	2.46	0.0	0.16	25.72	57.49	36.53	51.35	107.38	67.59	74.06	66.18	32.59	16.51
GTF2H1	373.81	242.88	299.25	417.77	444.72	0.0	0.49	381.68	785.88	497.0	507.46	656.11	825.0	497.0	616.37	511.0	708.18
HERC2	555.41	536.45	599.49	743.43	575.03	0.0	0.97	490.14	884.29	1008.9	1023.0	848.22	836.53	753.83	860.08	759.08	723.08
HSPA14	159.9	141.02	190.34	185.11	253.23	0.0	0.77	218.79	429.54	444.72	511.0	483.38	547.75	371.22	454.09	387.02	473.41
ING3	62.56	63.0	63.89	121.79	165.57	0.0	0.35	121.79	703.28	336.79	435.55	575.03	551.56	346.29	381.68	356.05	444.72
INTS6	193.01	125.24	86.43	202.66	190.34	0.0	0.23	122.64	384.34	305.55	371.22	392.44	273.37	242.88	307.69	309.83	540.19
IP6K3	79.45	25.17	10.88	31.0	45.53	0.0	0.56	178.77	327.56	271.48	253.23	1030.12	194.36	599.49	323.03	507.46	518.15
KAT5	607.87	713.11	947.83	1015.93	1066.48	0.0	0.33	1447.15	1561.89	1583.71	1769.57	1909.85	1781.89	1832.01	1594.73	1794.29	1781.89
KATNBL1	186.4	175.07	171.45	244.57	228.13	0.0	0.65	124.37	473.41	309.83	285.03	316.37	314.17	277.2	291.04	312.0	336.79
KCNA1	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.07	46.5	9.06	7.51	32.13	33.54	7.34	10.0	5.87	13.42
KCTD6	215.77	212.78	137.14	144.01	107.38	0.0	0.48	202.66	389.72	169.07	237.86	293.07	279.14	295.11	334.46	186.4	285.03
KIN	87.03	231.32	127.89	199.85	186.4	0.0	0.02	307.69	376.41	297.17	199.85	400.71	503.95	312.0	392.44	409.15	400.71
KPNA5	43.63	40.93	37.05	63.0	64.34	47.84	74.58	81.14	379.04	183.82	195.72	241.19	277.2	285.03	228.13	209.84	271.48
LAMA2	14.45	9.63	25.17	42.41	30.34	0.0	0.71	36.53	420.68	329.84	206.94	281.09	376.41	66.65	111.99	65.26	133.36
LARP1B	256.78	153.34	183.82	234.57	191.67	0.0	0.54	154.42	339.14	260.38	273.37	309.83	314.17	303.44	271.48	301.33	384.34
LRRC1	106.63	72.01	194.36	133.36	241.19	0.0	0.28	215.77	830.75	361.04	669.92	708.18	441.64	866.07	656.11	454.09	579.04
LY6G5B	10.55	30.12	15.56	11.55	37.59	0.0	1.23	27.64	228.13	277.2	151.22	305.55	334.46	127.89	171.45	130.6	258.57
MARCH7	343.89	218.79	384.34	341.51	480.04	0.0	0.47	444.72	1407.55	483.38	928.3	1111.82	1143.1	728.11	890.44	759.08	1015.93
MAT2A	1457.23	2004.85	3124.78	1883.54	2335.28	2047.0	163.28	1857.6	11992.79	9673.69	7081.29	12502.12	14867.79	5366.37	7966.99	7966.99	11909.94
MED21	536.45	248.0	356.05	571.05	429.54	0.0	0.57	248.0	733.19	420.68	612.11	521.76	551.56	490.14	607.87	435.55	733.19
MERTK	139.07	65.72	212.78	108.14	122.64	0.0	0.54	121.79	567.1	155.5	141.02	656.11	162.14	265.87	201.25	115.16	150.17
MIS12	148.09	50.63	103.69	135.24	202.66	0.0	0.27	175.07	483.38	381.68	490.14	470.14	384.34	323.03	381.68	497.0	497.0
MPHOSPH10	115.16	312.0	65.26	255.0	211.31	0.0	0.14	358.54	612.11	575.03	743.43	660.68	825.0	441.64	591.22	532.74	775.05
MTHFD2L	84.63	58.3	69.52	120.94	124.37	0.0	0.4	309.83	457.25	198.47	480.04	409.15	353.59	518.15	323.03	303.44	503.95
MYNN	120.1	107.38	81.71	100.13	185.11	0.0	0.6	98.73	277.2	226.54	314.17	295.11	253.23	218.79	279.14	228.13	262.2
NCK1	334.46	291.04	497.0	447.82	511.0	0.0	0.78	368.65	620.67	432.53	607.87	595.34	507.46	441.64	620.67	450.94	559.28
NLRP9	0.85	0.0	0.41	0.47	1.79	0.0	0.04	1.13	2.84	4.17	2.68	2.66	4.86	1.89	2.51	1.6	2.58
NSMCE4A	361.04	511.0	389.72	348.71	483.38	0.0	0.74	708.18	1322.37	872.1	860.08	1225.22	1477.58	1225.22	1073.91	890.44	1359.57
NSUN4	279.14	126.12	371.22	305.55	363.56	0.0	0.39	186.4	420.68	373.81	493.56	423.61	412.0	371.22	325.29	400.71	397.93
NUDCD1	146.03	102.25	90.77	165.57	135.24	0.0	0.45	104.42	271.48	201.25	215.77	224.97	279.14	176.29	185.11	258.57	320.8
NUP88	532.74	387.02	444.72	629.35	723.08	0.0	0.88	785.88	1286.18	878.17	1081.39	1487.87	1457.23	1561.89	1487.87	921.88	988.12
ODAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	559.28	3018.3	1519.15	981.29	679.29	921.88	208.38	379.04	55.49
ORMDL1	397.93	457.25	454.09	470.14	616.37	0.0	0.38	890.44	1467.37	1167.14	1143.1	1397.83	1561.89	1073.91	1259.69	1001.93	1508.65
PACSIN3	101.54	251.48	62.56	123.5	173.85	0.0	0.77	848.22	490.14	460.44	896.64	1286.18	607.87	967.76	624.99	497.0	454.09
PDCD4	638.15	532.74	825.0	796.86	1250.98	825.0	1794.29	4512.4	14561.8	6745.86	7331.05	7803.01	10883.59	10585.95	13033.07	8658.09	6381.92
PDE7A	480.04	291.04	201.25	281.09	228.13	0.0	0.69	115.16	743.43	351.14	438.59	1540.37	718.08	507.46	332.14	361.04	293.07
PEX13	262.2	177.53	185.11	228.13	269.6	0.0	0.47	312.0	500.46	281.09	476.71	406.31	361.04	395.18	466.88	334.46	429.54
PIGW	96.68	104.42	78.89	67.59	99.43	0.0	0.0	105.15	158.79	214.27	237.86	153.34	215.77	134.3	124.37	164.42	218.79
PLAGL2	57.08	24.28	46.84	33.54	59.13	0.0	0.26	57.49	239.52	113.56	183.82	241.19	204.07	148.09	157.68	127.89	172.65
PNPT1	209.84	146.03	109.66	130.6	185.11	0.0	0.54	133.36	297.17	232.94	217.27	205.5	291.04	182.55	214.27	264.03	275.28
PPIH	583.07	718.08	612.11	723.08	802.41	0.0	0.69	638.15	954.43	1051.79	1081.39	1104.13	1051.79	1199.98	1225.22	928.3	836.53
PPP2CB	2193.99	1721.16	1977.24	2739.08	2956.17	0.0	0.73	2004.85	3467.27	2664.15	2816.11	3419.52	3874.05	3794.3	3564.78	2287.2	3395.89
PPP2R1B	244.57	138.1	158.79	113.56	175.07	0.0	0.54	162.14	336.79	185.11	260.38	181.28	295.11	253.23	287.01	204.07	376.41
PQLC1	1794.29	713.11	1757.34	1447.15	1044.52	0.0	0.74	1572.76	1844.76	1870.53	2384.37	2417.67	1304.15	1857.6	1508.65	2835.7	2209.26
PRKX	215.77	182.55	147.06	215.77	246.28	341.51	607.87	651.58	1721.16	1340.84	2997.45	2367.9	921.88	854.13	1745.2	2119.22	1991.0
PSPC1	490.14	323.03	325.29	521.76	536.45	0.0	0.72	348.71	660.68	728.11	802.41	947.83	808.0	633.73	703.28	575.03	612.11
PTPRQ	0.0	0.0	0.0	0.0	0.0	0.0	0.04	6.36	165.57	4.82	10.24	217.27	84.04	253.23	125.24	12.45	85.82
PUS3	77.25	104.42	79.45	113.56	113.56	0.0	0.05	122.64	262.2	171.45	204.07	221.86	190.34	166.73	191.67	187.71	170.25
RFC3	103.69	56.68	61.25	78.89	69.03	0.0	0.25	31.0	180.02	112.77	94.01	127.89	161.02	110.43	116.78	100.83	114.36
RFXAP	28.65	24.63	24.81	22.59	44.25	0.0	0.32	36.27	206.94	94.67	99.43	117.6	120.1	98.04	125.24	115.97	119.26
RNF11	1551.09	878.17	1259.69	1508.65	1225.22	0.0	0.39	1417.35	2573.36	1437.15	2018.8	1819.35	2018.8	1498.22	1991.0	1268.46	2351.53
RNF38	214.27	159.9	204.07	221.86	198.47	0.0	0.51	265.87	703.28	293.07	392.44	507.46	575.03	397.93	457.25	255.0	480.04
RNMT	264.03	142.01	264.03	334.46	339.14	0.0	0.69	363.56	591.22	384.34	665.29	591.22	532.74	612.11	470.14	435.55	441.64
RWDD3	177.53	265.87	231.32	262.2	281.09	0.0	0.0	336.79	595.34	351.14	400.71	543.96	536.45	466.88	559.28	612.11	616.37
SKOR1	0.87	4.62	6.26	2.78	3.92	0.0	0.14	1.01	9.63	8.92	8.51	11.21	9.48	6.73	5.23	4.94	4.98
SLC7A1	79.45	135.24	92.05	50.63	125.24	194.36	50.98	94.01	206.94	128.79	133.36	476.71	555.41	153.34	180.02	209.84	190.34
STAG1	108.14	85.82	109.66	172.65	153.34	0.0	0.59	137.14	575.03	198.47	289.02	343.89	353.59	198.47	241.19	239.52	299.25
TARDBP	1151.06	1135.2	1233.75	1378.57	1457.23	0.0	0.93	1781.89	2976.74	2434.5	2537.92	2796.65	2915.45	2061.24	2777.33	2682.69	2796.65
TCEAL1	241.19	175.07	318.57	417.77	429.54	0.0	0.57	660.68	808.0	1286.18	1175.27	1008.9	1081.39	909.17	896.64	708.18	1023.0
TCERG1	146.03	187.71	147.06	166.73	239.52	414.87	289.02	281.09	620.67	738.29	599.49	738.29	775.05	447.82	426.57	603.67	759.08
THUMPD2	46.84	65.26	52.82	76.71	115.97	0.0	0.51	107.38	327.56	157.68	249.73	258.57	312.0	287.01	215.77	244.57	320.8
TMEM185B	265.87	177.53	198.47	281.09	253.23	0.0	0.08	237.86	457.25	392.44	420.68	450.94	438.59	400.71	363.56	392.44	363.56
TOE1	64.8	88.26	97.36	96.68	135.24	0.0	0.0	198.47	283.05	293.07	381.68	387.02	356.05	329.84	327.56	307.69	303.44
TOR1AIP1	368.65	353.59	426.57	486.75	616.37	0.0	0.24	511.0	1617.0	738.29	1001.93	1127.35	1023.0	909.17	1081.39	698.41	1081.39
TPO	0.0	0.0	0.42	1.87	2.16	0.0	0.62	108699.57	645473.24	716197.51	1078054.48	641014.63	672883.8	1890058.21	1327240.99	875652.15	2111737.85
TRAPPC3	1233.75	1447.15	1407.55	1721.16	2163.77	0.0	0.71	2193.99	2351.53	2434.5	2739.08	2384.37	2855.44	2720.15	2468.49	2468.49	2047.0
TRIM13	358.54	309.83	314.17	303.44	307.69	0.0	0.44	173.85	660.68	497.0	540.19	507.46	656.11	555.41	503.95	507.46	660.68
TRIM39	152.28	112.77	147.06	127.89	226.54	0.0	0.43	201.25	351.14	351.14	432.53	457.25	426.57	351.14	368.65	343.89	358.54
TSC22D3	1709.26	2148.82	3146.52	872.1	1844.76	0.0	0.32	1857.6	6079.61	4038.61	4575.41	7382.04	7331.05	2835.7	8598.28	3794.3	5995.9
TTF1	146.03	165.57	120.1	141.02	186.4	0.0	0.55	249.73	476.71	260.38	279.14	435.55	366.09	318.57	373.81	325.29	309.83
UBLCP1	159.9	181.28	202.66	277.2	297.17	438.59	157.68	295.11	460.44	318.57	417.77	397.93	466.88	392.44	343.89	412.0	466.88
USP45	82.87	60.82	43.02	134.3	63.89	0.0	0.47	118.43	167.9	94.01	106.63	143.01	149.12	102.25	126.12	150.17	135.24
UTP18	497.0	379.04	409.15	813.63	503.95	0.0	0.67	476.71	688.78	603.67	902.89	785.88	941.27	669.92	599.49	579.04	733.19
VPS33B	255.0	237.86	223.41	239.52	295.11	0.0	0.54	151.22	255.0	334.46	323.03	256.78	251.48	327.56	253.23	406.31	262.2
VRK1	81.71	58.71	105.15	115.97	102.25	0.0	0.29	113.56	212.78	209.84	163.28	159.9	239.52	155.5	150.17	169.07	178.77
VWA9	454.09	329.84	438.59	387.02	486.75	0.0	0.0	332.14	842.36	656.11	825.0	780.44	947.83	819.3	775.05	688.78	921.88
WDR61	1127.35	1015.93	1304.15	988.12	2032.85	866.07	571.05	808.0	1508.65	1628.26	1857.6	1896.65	1733.13	1745.2	1467.37	1794.29	1794.29
YAE1D1	139.07	309.83	217.27	325.29	389.72	0.0	0.13	361.04	454.09	353.59	454.09	616.37	540.19	429.54	447.82	444.72	559.28
ZC3H7A	409.15	525.39	403.5	400.71	624.99	0.0	0.69	571.05	1250.98	674.59	884.29	981.29	961.07	785.88	967.76	860.08	1037.29
ZFYVE20	140.04	51.35	91.41	75.11	107.38	0.0	0.57	173.85	551.56	256.78	361.04	361.04	379.04	239.52	283.05	205.5	312.0
ZMYM5	77.25	72.01	47.5	83.45	80.57	0.0	0.38	67.59	314.17	151.22	191.67	201.25	232.94	147.06	214.27	183.82	312.0
ZNF155	34.26	5.54	42.71	46.18	27.84	0.0	0.36	49.91	139.07	147.06	162.14	154.42	180.02	193.01	98.04	145.02	171.45
ZNF215	14.67	5.02	12.27	16.15	9.06	0.0	0.37	8.0	46.18	28.65	21.01	23.25	25.35	33.78	37.85	33.06	34.26
ZNF256	22.59	16.15	30.12	40.64	36.53	0.0	0.51	48.52	118.43	90.77	112.77	115.97	123.5	81.71	97.36	114.36	105.15
ZNF419	33.3	14.89	61.25	43.32	34.75	97.36	80.01	98.73	236.21	181.28	232.94	325.29	356.05	228.13	237.86	209.84	234.57
ZNF529	47.17	20.86	34.75	53.19	37.32	0.0	0.68	104.42	251.48	132.44	152.28	170.25	258.57	156.59	180.02	167.9	224.97
ZNF530	17.25	2.03	18.97	31.0	9.78	0.0	0.2	45.53	67.12	49.91	78.89	55.1	57.08	63.45	59.55	52.08	81.71
ZNF540	8.25	4.1	27.84	27.64	30.78	0.0	0.34	93.35	248.0	114.36	147.06	273.37	285.03	162.14	248.0	124.37	283.05
ZNF608	94.01	144.01	162.14	148.09	165.57	0.0	0.56	202.66	470.14	147.06	228.13	543.96	444.72	651.58	329.84	297.17	258.57
ZNF638	551.56	1350.18	836.53	1277.29	1135.2	0.0	0.84	1639.59	2555.58	1651.0	1639.59	2224.63	2271.4	1832.01	1832.01	2032.85	1950.0
ZNF773	25.54	10.71	40.93	56.68	12.0	0.0	0.51	106.63	208.38	120.94	217.27	226.54	234.57	128.79	223.41	175.07	159.9
ZRANB1	133.36	91.41	107.38	139.07	156.59	0.0	0.28	215.77	518.15	291.04	314.17	358.54	432.53	301.33	327.56	271.48	348.71
ZUFSP	85.82	72.52	68.55	77.25	105.89	0.0	0.13	88.26	218.79	185.11	150.17	138.1	177.53	149.12	136.19	172.65	228.13
