	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.38.4626.01A.01R.1206.07	TCGA.69.8453.01A.12R.2326.07	TCGA.55.8619.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.55.8513.01A.11R.2403.07	TCGA.55.8505.01A.11R.2403.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	TCGA.77.8007.11A.01R.2187.07
EVA1C	866.07	371.22	141.02	96.68	262.2	83.45	50.63	21.63	131.51	102.97	57.49	13.93	214.27	82.29	50.63	37.32	92.7	80.01	100.13	41.52	19.11	50.27	29.48	283.05	830.75	698.41	934.76	669.92	684.02	819.3	688.78	131.51	2018.8	791.35	1008.9
FAM160B2	728.11	595.34	525.39	463.65	1151.06	291.04	152.28	603.67	339.14	536.45	684.02	171.45	486.75	260.38	463.65	164.42	376.41	234.57	249.73	334.46	197.09	403.5	215.77	1594.73	884.29	884.29	1175.27	1447.15	1437.15	1369.04	432.53	1322.37	738.29	1199.98	642.59
FAT1	3257.52	1508.65	1388.16	902.89	1605.83	791.35	902.89	363.56	1551.09	651.58	616.37	543.96	503.95	555.41	435.55	149.12	1259.69	316.37	536.45	473.41	563.18	231.32	1001.93	1561.89	928.3	1662.49	2555.58	551.56	1350.18	3303.0	444.72	1487.87	1540.37	406.31	540.19
FBXL13	14.56	8.32	1.64	3.5	13.03	2.66	0.0	0.0	0.55	0.53	2.71	0.79	3.03	0.0	1.75	6.06	2.39	10.08	1.51	0.93	0.45	0.0	0.33	70.51	14.14	21.16	21.16	13.22	52.82	14.89	17.13	12.45	14.14	25.91	21.78
FGD6	101.54	98.73	31.22	43.02	47.84	31.67	47.5	34.75	16.27	29.48	21.94	21.94	59.13	9.27	7.69	19.11	72.01	12.09	7.06	18.16	53.57	21.47	30.78	267.73	108.9	170.25	140.04	120.1	112.77	229.72	63.0	75.11	138.1	45.53	89.51
FHOD1	447.82	684.02	361.04	249.73	134.3	134.3	114.36	78.89	176.29	85.22	82.29	148.09	483.38	103.69	48.52	73.03	260.38	66.65	142.01	108.9	141.02	110.43	57.89	660.68	1388.16	866.07	1242.34	1963.57	1151.06	607.87	791.35	1081.39	490.14	514.56	1477.58
FOSL2	2271.4	1001.93	616.37	291.04	1167.14	392.44	312.0	88.26	392.44	186.4	353.59	108.14	476.71	320.8	414.87	107.38	202.66	255.0	281.09	202.66	231.32	234.57	101.54	1540.37	3212.66	2104.58	1167.14	1051.79	1088.92	2468.49	884.29	2119.22	6745.86	2935.74	1769.57
FTL	1422501.74	1355129.16	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1393227.06	1055868.42	1514068.5	1100706.72	1493223.86	881742.8	472513.8	2294899.22	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	906531.99	2326934.84	489177.0	531605.79	355624.68	358098.26	998912.34	348306.01	212926.09	1204496.53	1336472.68	932018.1	1327240.99	971597.0
FYCO1	397.93	299.25	246.28	253.23	206.94	155.5	193.01	262.2	163.28	262.2	137.14	141.02	273.37	135.24	148.09	202.66	120.1	190.34	239.52	217.27	291.04	165.57	253.23	414.87	397.93	371.22	366.09	320.8	447.82	273.37	241.19	158.79	395.18	109.66	289.02
GAK	1950.0	1551.09	1605.83	1936.53	2075.59	1605.83	941.27	1721.16	1757.34	1757.34	1044.52	1350.18	2075.59	1397.83	1508.65	1001.93	1617.0	954.43	1662.49	1008.9	674.59	1388.16	909.17	2664.15	1674.06	2367.9	3280.18	2090.03	2573.36	2047.0	995.0	733.19	2271.4	1529.73	1268.46
GORASP2	748.61	1081.39	1044.52	915.51	890.44	1242.34	1037.29	1340.84	947.83	1167.14	909.17	591.22	1277.29	813.63	825.0	647.07	872.1	514.56	738.29	780.44	1015.93	497.0	1001.93	1844.76	1685.71	1540.37	1540.37	1008.9	1286.18	2796.65	1304.15	1594.73	1250.98	1277.29	1286.18
GPD2	193.01	212.78	80.57	77.79	141.02	82.87	34.02	63.0	47.84	47.84	46.18	43.94	140.04	19.97	45.85	38.4	77.25	36.27	18.29	32.13	27.64	28.86	39.5	493.56	318.57	384.34	299.25	253.23	325.29	403.5	358.54	368.65	293.07	279.14	249.73
HDAC7	830.75	1008.9	438.59	376.41	334.46	454.09	193.01	176.29	361.04	151.22	206.94	221.86	603.67	117.6	108.14	104.42	285.03	85.22	162.14	147.06	212.78	91.41	85.82	1199.98	1437.15	1529.73	1639.59	1594.73	1551.09	921.88	718.08	1030.12	1477.58	1037.29	1259.69
HELZ2	325.29	463.65	271.48	264.03	178.77	231.32	325.29	279.14	198.47	293.07	198.47	66.18	221.86	181.28	113.56	119.26	206.94	148.09	301.33	169.07	255.0	249.73	258.57	708.18	497.0	486.75	633.73	285.03	1104.13	728.11	363.56	371.22	2468.49	343.89	239.52
HGSNAT	660.68	660.68	351.14	555.41	896.64	303.44	215.77	476.71	204.07	536.45	791.35	90.77	353.59	447.82	381.68	660.68	624.99	583.07	318.57	309.83	555.41	1037.29	540.19	896.64	836.53	738.29	995.0	1151.06	988.12	1044.52	543.96	417.77	2335.28	624.99	656.11
HMGA1	1628.26	1857.6	1277.29	961.07	2104.58	3874.05	1651.0	343.89	1073.91	947.83	791.35	4010.71	1757.34	406.31	518.15	368.65	480.04	316.37	426.57	532.74	318.57	587.13	307.69	6935.54	1844.76	4671.57	3443.31	1709.26	1832.01	4095.0	1733.13	1594.73	718.08	1963.57	1529.73
ICAM1	1331.57	1769.57	2240.11	1757.34	5913.33	1936.53	1322.37	1044.52	878.17	441.64	325.29	2997.45	1685.71	346.29	1081.39	114.36	860.08	223.41	457.25	555.41	571.05	251.48	389.72	2119.22	7485.11	3303.0	3419.52	4123.49	2645.74	1832.01	4095.0	6294.04	22225.61	3081.75	6935.54
IL4R	642.59	921.88	915.51	796.86	780.44	1088.92	607.87	567.1	890.44	1127.35	420.68	228.13	1015.93	486.75	1721.16	400.71	941.27	759.08	819.3	660.68	651.58	500.46	426.57	1051.79	1674.06	1350.18	1628.26	1447.15	1674.06	1561.89	1135.2	796.86	4802.93	1183.45	1277.29
ISG20L2	241.19	358.54	493.56	361.04	395.18	612.11	249.73	518.15	348.71	543.96	567.1	423.61	400.71	249.73	314.17	191.67	307.69	215.77	187.71	271.48	309.83	218.79	327.56	728.11	466.88	483.38	483.38	373.81	536.45	599.49	314.17	629.35	332.14	373.81	435.55
ITGA2	63.45	63.0	22.92	31.0	130.6	12.64	6.84	18.29	9.13	4.28	9.41	3.38	38.95	1.19	5.11	4.24	19.53	2.94	6.21	4.03	2.34	7.11	3.26	583.07	190.34	500.46	441.64	159.9	432.53	381.68	32.13	229.72	603.67	63.45	204.07
ITGA3	6250.56	3372.43	114.36	137.14	295.11	89.51	71.0	39.79	59.97	21.94	35.25	47.5	358.54	62.56	10.39	20.56	325.29	20.71	35.76	45.21	59.55	41.81	45.53	7331.05	2777.33	3768.09	4095.0	3168.41	3060.45	3060.45	1757.34	2384.37	1277.29	1639.59	2075.59
ITGB6	341.51	351.14	19.25	30.34	15.68	5.68	39.79	0.0	11.38	14.35	0.0	8.19	34.02	19.68	53.57	39.79	30.78	10.47	127.0	17.64	29.7	1.77	7.22	2209.26	1674.06	1037.29	848.22	1051.79	2163.77	1259.69	1369.04	3443.31	264.03	1378.57	2061.24
ITPR3	234.57	175.07	39.79	30.34	116.78	16.51	16.39	7.34	14.56	7.57	4.28	5.02	90.77	10.39	4.39	8.92	35.25	5.19	28.24	10.47	12.74	16.51	2.25	1685.71	1096.5	988.12	1350.18	718.08	1127.35	1127.35	267.73	381.68	275.28	543.96	409.15
KCNN4	228.13	389.72	214.27	57.08	61.25	92.7	31.9	17.77	29.7	2.84	8.13	15.22	316.37	9.63	20.41	8.19	19.68	49.56	67.59	6.73	9.06	9.34	2.78	1477.58	400.71	1561.89	1015.93	603.67	813.63	733.19	105.89	256.78	264.03	180.02	163.28
KIAA1522	403.5	232.94	555.41	518.15	1175.27	693.58	693.58	764.36	312.0	718.08	450.94	825.0	309.83	132.44	88.88	95.34	460.44	117.6	178.77	285.03	166.73	262.2	180.02	1639.59	878.17	1242.34	1551.09	629.35	1286.18	2976.74	490.14	406.31	353.59	854.13	460.44
KRT7	6337.83	1044.52	674.59	109.66	55.1	316.37	111.21	0.0	293.07	132.44	2.86	61.25	638.15	587.13	170.25	77.25	2835.7	379.04	334.46	642.59	232.94	44.57	25.17	39785.74	12764.83	17558.94	9945.68	7433.4	7695.57	32994.92	3515.68	12244.81	2287.2	141455.6	13681.08
LEPROT	1844.76	802.41	603.67	723.08	848.22	802.41	551.56	397.93	532.74	511.0	457.25	518.15	708.18	438.59	438.59	660.68	693.58	629.35	518.15	507.46	638.15	759.08	642.59	1397.83	1617.0	1111.82	1044.52	1175.27	1044.52	1359.57	1757.34	909.17	1977.24	836.53	1733.13
LPAR1	166.73	176.29	27.84	24.99	22.26	16.75	2.51	1.73	12.83	1.38	1.5	0.57	67.59	6.67	25.17	32.36	17.38	10.96	23.42	4.86	19.25	15.11	23.59	277.2	420.68	242.88	265.87	212.78	249.73	368.65	656.11	165.57	1467.37	199.85	486.75
LRP10	1498.22	2739.08	1561.89	1151.06	1111.82	1331.57	1295.13	255.0	1081.39	1096.5	379.04	1378.57	1844.76	567.1	693.58	384.34	620.67	473.41	718.08	674.59	836.53	265.87	915.51	2591.27	2935.74	3280.18	3280.18	2255.7	3614.55	4010.71	2335.28	1674.06	2956.17	3257.52	2351.53
LUZP1	120.94	151.22	61.68	67.12	117.6	45.21	40.64	24.81	32.13	29.06	35.0	67.12	119.26	20.11	23.59	28.45	78.89	34.51	24.63	40.36	53.19	29.7	43.32	239.52	183.82	163.28	224.97	172.65	193.01	236.21	131.51	229.72	457.25	120.1	161.02
LYN	612.11	1119.56	1331.57	599.49	921.88	679.29	571.05	400.71	371.22	121.79	183.82	642.59	1259.69	177.53	389.72	155.5	460.44	173.85	291.04	275.28	341.51	106.63	368.65	1199.98	1896.65	1250.98	1407.55	1159.07	1259.69	947.83	2018.8	1388.16	2119.22	1407.55	1498.22
MAMDC2	53.57	44.57	5.82	5.63	0.53	2.14	4.62	0.62	5.96	0.51	1.77	0.44	6.41	9.41	6.78	6.01	8.51	5.11	6.26	2.36	6.46	3.29	4.82	69.03	223.41	103.69	251.48	368.65	155.5	25.17	417.77	21.94	1096.5	46.5	379.04
MFSD6	202.66	190.34	154.42	76.71	144.01	121.79	34.51	136.19	94.67	40.36	155.5	32.82	127.89	12.27	27.05	12.27	115.97	28.45	84.63	65.72	15.11	44.25	19.53	995.0	457.25	529.06	651.58	444.72	693.58	540.19	368.65	189.02	514.56	236.21	368.65
MROH6	358.54	141.02	228.13	262.2	759.08	323.03	84.04	693.58	406.31	28.24	136.19	819.3	389.72	173.85	65.26	185.11	111.21	82.29	211.31	132.44	119.26	271.48	281.09	842.36	366.09	775.05	1135.2	325.29	395.18	571.05	176.29	242.88	307.69	909.17	165.57
MST1R	13.83	19.11	12.93	5.06	120.1	4.9	3.0	4.28	4.82	88.88	3.2	10.47	22.26	6.73	3.99	3.63	81.14	0.99	23.93	1.13	19.11	6.46	0.83	1304.15	277.2	1295.13	698.41	312.0	967.76	902.89	94.01	264.03	24.99	1143.1	180.02
MST4	77.79	73.03	67.59	87.03	194.36	64.34	18.56	108.9	76.17	0.97	23.25	14.14	106.63	24.11	47.5	71.5	118.43	26.28	47.17	50.98	41.22	25.91	146.03	368.65	297.17	177.53	543.96	155.5	185.11	262.2	193.01	108.9	226.54	82.29	212.78
MTHFD2	366.09	693.58	214.27	108.14	275.28	134.3	44.57	21.32	57.49	17.13	40.64	177.53	638.15	29.91	49.91	18.97	55.1	19.68	38.4	29.27	63.0	32.13	22.26	1427.22	1407.55	1350.18	902.89	708.18	915.51	2758.13	1259.69	764.36	967.76	591.22	1175.27
MVP	8538.88	4450.27	2061.24	4736.79	2537.92	3491.39	1697.45	567.1	2609.3	1259.69	497.0	2796.65	3928.15	1709.26	708.18	291.04	4038.61	638.15	1628.26	1617.0	1662.49	444.72	1572.76	4903.87	5913.33	6607.01	6887.62	4903.87	6207.38	4639.29	3716.2	4937.99	2915.45	14867.79	3982.99
MYOF	974.5	915.51	212.78	150.17	158.79	104.42	45.53	19.97	45.53	15.91	28.86	9.85	511.0	23.59	35.0	8.78	61.25	18.29	48.52	43.02	42.71	22.26	25.17	1508.65	1551.09	1883.54	1639.59	947.83	1167.14	1745.2	688.78	1844.76	981.29	1359.57	988.12
NFKB1	420.68	563.18	348.71	262.2	163.28	246.28	332.14	163.28	260.38	299.25	173.85	87.65	438.59	162.14	285.03	199.85	242.88	237.86	223.41	314.17	429.54	136.19	358.54	780.44	688.78	571.05	571.05	543.96	669.92	599.49	587.13	693.58	1167.14	366.09	579.04
NLRP12	21.16	36.53	2.48	2.86	0.87	1.27	1.89	2.03	1.25	0.8	0.88	0.38	3.66	2.12	3.47	0.74	3.2	0.68	1.31	2.01	3.92	2.81	2.29	1.51	39.5	20.26	23.93	29.91	26.47	12.09	26.67	34.75	30.78	54.72	28.04
NOTCH3	145.02	1001.93	409.15	389.72	144.01	291.04	135.24	57.08	133.36	100.13	115.16	54.72	684.02	29.91	14.89	27.84	49.21	10.88	53.95	17.51	67.12	25.17	39.22	1639.59	842.36	551.56	848.22	497.0	616.37	2224.63	255.0	1104.13	1963.57	995.0	384.34
NTN4	525.39	624.99	137.14	70.01	114.36	116.78	47.5	130.6	76.71	85.82	68.55	77.25	217.27	123.5	289.02	351.14	536.45	158.79	151.22	285.03	693.58	56.68	450.94	684.02	1498.22	915.51	612.11	791.35	836.53	371.22	1857.6	884.29	2004.85	595.34	1447.15
PIAS3	264.03	269.6	293.07	231.32	392.44	249.73	109.66	271.48	120.94	251.48	164.42	143.01	373.81	86.43	146.03	46.84	221.86	57.08	67.12	148.09	115.97	102.97	153.34	1233.75	769.69	802.41	1015.93	603.67	1250.98	921.88	361.04	698.41	346.29	708.18	518.15
PIEZO1	1639.59	2417.67	2287.2	2555.58	2209.26	2485.67	3690.52	575.03	1519.15	679.29	1135.2	2434.5	3614.55	1259.69	928.3	490.14	1295.13	1030.12	1674.06	2209.26	921.88	2609.3	688.78	5517.27	2090.03	2485.67	4328.55	2627.46	3060.45	4038.61	1216.75	1857.6	2367.9	2468.49	2178.83
