	TCGA.FJ.A871.01A.11R.A352.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.38.4625.01A.01R.1206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.T6MO.0226.SM.32QOL	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C	TCGA.N9.A4Q7.01A.11R.A28V.07
ERMP1	49.21	177.53	244.57	503.95	1167.14	947.83	1268.46	1857.6	414.87	579.04	500.46	543.96	1250.98	314.17	423.61	303.44	764.36	1159.07	733.19	656.11	764.36	74.58
EXOC6	105.89	87.03	84.04	0.0	802.41	896.64	713.11	947.83	785.88	860.08	915.51	529.06	1044.52	607.87	656.11	651.58	785.88	1529.73	665.29	780.44	830.75	147.06
EXPH5	4.9	87.03	7.34	30.56	51.71	33.3	51.35	68.07	18.84	14.03	24.46	33.06	53.19	12.45	10.08	31.9	19.68	39.22	20.86	46.84	26.86	18.84
EZR	1225.22	2915.45	10440.2	10585.95	5441.3	5831.91	6037.61	6561.36	4095.0	4268.94	5076.84	7130.55	7695.57	2758.13	5479.15	4639.29	4388.98	7433.4	4481.23	6164.49	6164.49	2664.15
FAM133B	303.44	172.65	102.97	0.0	796.86	543.96	698.41	656.11	358.54	397.93	595.34	656.11	723.08	511.0	547.75	567.1	423.61	591.22	447.82	547.75	660.68	356.05
FAM206A	212.78	193.01	126.12	0.0	514.56	507.46	529.06	514.56	395.18	303.44	346.29	371.22	536.45	351.14	346.29	379.04	327.56	555.41	329.84	473.41	466.88	318.57
FAM69A	90.77	100.13	57.08	0.0	256.78	220.32	209.84	409.15	125.24	156.59	171.45	149.12	248.0	94.67	134.3	147.06	177.53	275.28	232.94	149.12	198.47	137.14
FCHO2	45.53	52.08	208.38	283.05	490.14	406.31	660.68	620.67	346.29	262.2	246.28	309.83	490.14	232.94	283.05	371.22	269.6	490.14	256.78	438.59	379.04	77.79
FNBP4	327.56	373.81	165.57	518.15	1844.76	1388.16	1508.65	1183.45	1242.34	1277.29	1135.2	1794.29	1832.01	1119.56	1225.22	813.63	1378.57	1991.0	1023.0	1151.06	1259.69	397.93
FUT10	59.55	61.25	50.63	0.0	158.79	111.99	170.25	127.0	91.41	84.04	110.43	86.43	108.9	61.68	67.59	74.06	74.58	82.87	84.63	87.03	94.67	45.21
GADD45B	1313.23	2032.85	2485.67	0.0	8598.28	3847.29	3280.18	866.07	3124.78	3124.78	3257.52	6887.62	6207.38	4358.66	4836.35	1769.57	3190.46	2935.74	2384.37	4038.61	4152.18	521.76
GALNT7	56.28	100.83	134.3	0.0	301.33	164.42	273.37	412.0	51.35	57.08	87.65	255.0	417.77	88.26	194.36	242.88	127.0	679.29	159.9	142.01	239.52	118.43
GAPVD1	136.19	135.24	94.67	185.11	718.08	591.22	674.59	497.0	420.68	423.61	429.54	647.07	830.75	447.82	334.46	351.14	463.65	791.35	417.77	480.04	450.94	95.34
GINM1	361.04	486.75	713.11	0.0	1605.83	1819.35	2148.82	1781.89	1397.83	1225.22	1467.37	1561.89	1733.13	1191.69	1551.09	1697.45	1397.83	1540.37	1111.82	1685.71	1561.89	368.65
GK5	42.71	47.17	36.27	0.0	205.5	123.5	202.66	117.6	183.82	287.01	126.12	205.5	301.33	164.42	133.36	110.43	100.13	320.8	127.0	269.6	341.51	54.72
GLOD5	0.0	25.35	36.01	0.0	156.59	94.01	60.82	62.12	88.88	54.72	108.14	82.87	81.71	35.25	61.68	52.08	65.72	83.45	43.02	108.14	63.45	3.38
GMCL1	78.34	83.45	85.82	186.4	244.57	204.07	332.14	264.03	155.5	171.45	205.5	189.02	281.09	189.02	223.41	208.38	116.78	189.02	156.59	236.21	275.28	86.43
GRID2	0.0	0.0	0.0	0.0	1.14	0.83	1.43	0.0	0.54	0.48	1.08	0.0	0.52	0.0	0.52	0.0	0.84	1.97	0.0	0.49	1.06	0.52
HDHD2	291.04	262.2	373.81	0.0	1159.07	890.44	1286.18	1378.57	775.05	854.13	915.51	878.17	954.43	708.18	780.44	902.89	718.08	981.29	909.17	961.07	860.08	236.21
HDX	0.61	11.73	3.72	0.0	59.97	50.63	73.54	65.26	39.22	22.92	43.94	63.89	73.54	42.11	30.78	50.98	40.36	61.68	29.27	48.87	50.98	6.16
HLTF	85.82	79.45	49.91	248.0	543.96	395.18	620.67	713.11	279.14	305.55	336.79	373.81	679.29	332.14	429.54	389.72	406.31	563.18	466.88	460.44	486.75	169.07
HOMER1	67.59	19.97	13.42	146.03	532.74	312.0	417.77	486.75	260.38	339.14	343.89	361.04	660.68	217.27	353.59	309.83	224.97	470.14	346.29	460.44	379.04	35.0
IFT80	153.34	73.03	58.71	0.0	656.11	486.75	638.15	629.35	429.54	291.04	457.25	543.96	743.43	414.87	567.1	392.44	406.31	665.29	412.0	518.15	525.39	85.82
IFT81	154.42	78.34	44.89	0.0	441.64	361.04	497.0	426.57	314.17	269.6	255.0	381.68	460.44	320.8	392.44	314.17	301.33	379.04	271.48	409.15	387.02	166.73
IGIP	62.12	60.82	103.69	0.0	466.88	320.8	444.72	616.37	305.55	232.94	341.51	325.29	460.44	376.41	301.33	420.68	305.55	454.09	409.15	403.5	397.93	30.78
ITFG1	674.59	629.35	1066.48	0.0	1651.0	1628.26	1950.0	2417.67	1467.37	1417.35	1388.16	1378.57	1674.06	1159.07	1295.13	1477.58	1304.15	1685.71	1242.34	1359.57	1508.65	351.14
ITGAV	267.73	142.01	202.66	293.07	1286.18	860.08	1159.07	1685.71	591.22	764.36	679.29	819.3	981.29	540.19	587.13	540.19	674.59	1519.15	733.19	665.29	890.44	255.0
KCMF1	595.34	540.19	507.46	0.0	947.83	1030.12	1135.2	1295.13	785.88	872.1	819.3	860.08	909.17	733.19	759.08	780.44	961.07	941.27	723.08	909.17	1127.35	466.88
KIAA0247	73.03	368.65	620.67	281.09	981.29	753.83	854.13	759.08	665.29	551.56	647.07	802.41	909.17	579.04	547.75	490.14	679.29	866.07	536.45	679.29	620.67	156.59
KIAA1147	37.32	110.43	110.43	0.0	563.18	490.14	497.0	529.06	269.6	285.03	281.09	417.77	403.5	269.6	264.03	194.36	423.61	759.08	287.01	320.8	473.41	177.53
LMBRD2	14.78	22.43	22.59	0.0	182.55	144.01	234.57	202.66	125.24	124.37	124.37	185.11	208.38	112.77	156.59	140.04	136.19	180.02	136.19	161.02	221.86	15.68
LRIG3	10.63	190.34	121.79	0.0	1639.59	1295.13	1685.71	1617.0	890.44	713.11	733.19	947.83	1467.37	543.96	748.61	656.11	1066.48	1447.15	713.11	872.1	559.28	258.57
LRRC1	70.51	277.2	120.94	0.0	830.75	703.28	954.43	748.61	435.55	361.04	669.92	708.18	1167.14	412.0	532.74	563.18	483.38	785.88	454.09	718.08	579.04	265.87
MAP3K5	57.08	190.34	297.17	0.0	665.29	470.14	1286.18	1268.46	356.05	194.36	181.28	211.31	769.69	205.5	232.94	368.65	339.14	457.25	193.01	723.08	387.02	81.71
MAP9	50.27	19.39	9.34	88.88	249.73	138.1	267.73	361.04	106.63	121.79	132.44	165.57	277.2	120.1	138.1	161.02	145.02	277.2	150.17	231.32	155.5	59.97
MARVELD2	15.91	84.04	173.85	102.97	854.13	575.03	890.44	921.88	567.1	412.0	759.08	518.15	947.83	463.65	486.75	624.99	466.88	775.05	551.56	743.43	497.0	29.91
MARVELD3	9.27	181.28	264.03	0.0	189.02	175.07	123.5	197.09	94.67	142.01	105.89	183.82	189.02	117.6	74.06	122.64	120.1	133.36	155.5	205.5	150.17	7.94
MEAF6	878.17	1540.37	1051.79	0.0	1340.84	1216.75	1427.22	2255.7	1143.1	961.07	947.83	1350.18	1685.71	1051.79	1073.91	1397.83	1081.39	1407.55	961.07	1883.54	1417.35	1001.93
MLLT3	277.2	129.69	151.22	0.0	1023.0	981.29	1388.16	1628.26	417.77	525.39	995.0	802.41	1519.15	514.56	463.65	909.17	743.43	954.43	483.38	928.3	796.86	366.09
MOCS2	536.45	551.56	486.75	0.0	1388.16	1457.23	1674.06	2627.46	1008.9	1286.18	1250.98	1233.75	1651.0	1023.0	1175.27	1277.29	1096.5	1794.29	1183.45	1721.16	1340.84	432.53
MPP5	145.02	81.14	197.09	0.0	769.69	764.36	902.89	909.17	397.93	470.14	536.45	728.11	791.35	373.81	567.1	555.41	480.04	802.41	395.18	684.02	738.29	82.29
NAA60	638.15	890.44	1417.35	612.11	974.5	890.44	1059.11	764.36	995.0	791.35	941.27	842.36	1037.29	941.27	878.17	660.68	679.29	860.08	854.13	872.1	1111.82	674.59
