	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.2668.11A.01R.1758.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.13U4I.1426.SM.5J2M3	GTEX.1313W.0926.SM.5EQ56	GTEX.XV7Q.0426.SM.4BRVN	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YECK.0926.SM.4W214	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.111FC.1126.SM.5GZWU	GTEX.WY7C.0426.SM.3NB3C	GTEX.11I78.0126.SM.5HL6F	GTEX.11ZUS.0126.SM.5EQM5	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.P78B.0926.SM.2I5FA	GTEX.13OW6.0826.SM.5L3GA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FTX.0326.SM.5J2NG	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.131XH.0426.SM.5DUWU	TCGA.43.6143.11A.01R.1820.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EM.A4FK.01A.11R.A250.07
HNF4G	0.0	0.01	2.07	7.82	1.83	5.5	0.95	5.68	38.12	10.47	1.06	1.73	32.13	11.64	8.32	23.42	24.46	16.03	62.56	141.02	11.73	3.41	14.89	32.82	231.32	15.56	15.91	59.13	52.45	1.85	42.11	2.39	0.95	0.0	0.62
HSD17B13	0.0	0.01	64.8	507.46	21.32	55.89	16.15	312.0	373.81	59.55	29.48	61.25	165.57	571.05	169.07	412.0	32.82	43.32	591.22	1769.57	31.67	62.12	158.79	52.45	409.15	329.84	105.89	366.09	435.55	88.88	1088.92	36.01	1.31	2.78	1.28
IRF6	0.0	0.42	271.48	289.02	212.78	309.83	153.34	890.44	854.13	780.44	595.34	198.47	651.58	813.63	316.37	819.3	769.69	860.08	1594.73	1857.6	224.97	624.99	656.11	1059.11	5672.41	503.95	447.82	1233.75	848.22	307.69	1572.76	146.03	325.29	395.18	271.48
LGALS9B	0.0	0.05	0.8	21.16	7.11	8.51	1.93	5.68	35.25	6.26	3.35	3.14	9.06	5.68	3.14	2.36	20.26	4.66	92.05	214.27	18.29	1.46	7.11	66.18	66.65	40.64	28.04	9.2	53.19	1.95	142.01	4.7	0.0	0.0	0.0
LGALS9C	0.0	0.14	5.63	3.06	7.06	6.57	13.93	0.0	17.64	6.78	6.41	2.01	27.25	11.21	7.4	27.64	5.82	6.16	98.73	159.9	38.67	9.63	23.76	71.0	173.85	12.45	29.06	18.29	48.52	8.45	84.63	12.09	2.32	0.26	0.0
LRRC71	0.0	0.12	3.92	163.28	32.36	8.65	9.06	87.65	785.88	246.28	11.21	22.75	318.57	112.77	46.84	426.57	429.54	395.18	1151.06	1088.92	98.73	11.82	417.77	417.77	688.78	221.86	287.01	723.08	258.57	23.42	283.05	2.12	0.0	1.87	0.0
MAP3K19	0.0	0.0	0.64	144.01	13.72	9.2	14.03	56.28	267.73	108.9	3.2	9.56	258.57	126.12	34.51	202.66	248.0	275.28	473.41	780.44	72.52	4.62	193.01	199.85	620.67	170.25	194.36	500.46	172.65	6.36	221.86	0.77	0.26	0.0	0.0
NEK10	0.0	0.0	1.27	115.97	12.74	15.56	10.08	67.12	241.19	84.04	10.63	16.03	204.07	86.43	37.85	211.31	185.11	167.9	470.14	497.0	49.91	7.57	173.85	169.07	718.08	99.43	114.36	373.81	162.14	29.7	187.71	2.63	3.44	0.48	6.41
NRXN1	0.0	0.07	0.85	14.35	1.41	1.36	0.32	10.39	33.3	1.68	20.26	0.09	68.55	15.8	1.23	131.51	9.56	2.89	18.97	46.5	14.89	3.35	4.35	2.56	9.27	1.97	13.32	63.89	7.94	0.16	77.79	1.38	0.0	0.0	0.0
NWD1	0.0	0.0	1.48	37.85	7.75	10.71	6.01	43.63	118.43	61.25	4.7	11.3	124.37	58.71	21.16	108.14	186.4	165.57	718.08	444.72	46.5	7.4	125.24	172.65	532.74	83.45	121.79	579.04	244.57	3.69	129.69	3.63	2.32	0.06	3.59
PAX9	0.0	0.09	7.75	115.16	2.43	8.06	5.73	27.84	224.97	47.17	8.25	14.03	56.28	26.86	17.9	101.54	118.43	71.5	204.07	444.72	19.97	8.38	97.36	109.66	620.67	24.99	29.48	275.28	152.28	16.15	255.0	3.06	12.09	13.32	16.88
SCGB3A2	0.0	0.14	47642.77	496005.67	2748093.15	411347.03	42937.97	1611529.43	863596.77	241220.67	492579.5	919186.72	569761.05	945028.61	1545882.32	1212874.47	834179.46	1055868.42	161367.56	233003.78	558035.51	794671.01	1345768.59	1535204.12	589853.66	951601.81	672883.8	520665.48	517068.97	1255646.43	1567462.05	87075.75	0.0	0.0	0.0
SLC23A1	0.0	0.01	2.25	40.36	29.06	10.79	13.62	5.82	84.04	21.94	7.46	7.75	100.83	19.25	15.45	63.0	158.79	81.71	647.07	237.86	52.82	5.41	44.89	100.83	289.02	29.06	67.59	473.41	244.57	10.24	206.94	3.79	1.36	2.18	1.33
SLC44A4	0.0	0.21	665.29	2485.67	1059.11	387.02	334.46	2720.15	9344.14	2075.59	1286.18	896.64	3874.05	2193.99	1950.0	5329.3	7331.05	10959.3	17558.94	18819.27	1059.11	775.05	6792.79	8658.09	44145.15	5555.65	3395.89	17317.18	4543.8	2224.63	11664.82	599.49	9.27	34.26	6.62
SOX10	0.0	0.0	1.17	4.66	0.95	0.0	0.84	2.03	24.81	3.5	1.99	0.83	14.89	1.39	3.08	4.31	5.41	1.68	17.64	23.59	1.85	2.23	8.25	6.11	7.63	6.89	4.62	5.82	7.4	2.73	19.25	0.8	0.0	1.62	0.0
SOX2	0.0	0.06	3.92	137.14	10.08	13.12	13.03	194.36	450.94	187.71	4.35	30.56	426.57	253.23	57.49	607.87	1757.34	1151.06	2816.11	2303.12	88.26	6.62	872.1	1127.35	3768.09	521.76	493.56	3212.66	397.93	5.28	884.29	3.79	1.83	0.83	1.77
SPAG6	0.0	0.0	13.83	532.74	72.01	57.89	63.45	339.14	1427.22	583.07	13.72	88.26	860.08	555.41	132.44	1051.79	1583.71	1350.18	3325.99	2384.37	269.6	15.91	1417.35	1096.5	4095.0	647.07	836.53	2895.31	836.53	22.75	1096.5	5.54	1.23	0.82	4.06
TSPAN1	514.56	1617.0	438.59	1844.76	896.64	457.25	620.67	1857.6	9474.59	3039.3	808.0	1359.57	4769.75	2502.97	2032.85	5041.77	9025.81	11112.3	15392.14	17197.56	1721.16	432.53	9088.59	11267.44	40904.3	4419.52	5995.9	14461.21	6561.36	842.36	13215.02	559.28	109.66	463.65	211.31
