	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A51D.01A.11R.A36D.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.SNMC.0526.SM.4DM69	GTEX.ZTSS.0626.SM.59867	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.NFK9.1126.SM.3LK78	GTEX.131XE.1426.SM.5HL7V	GTEX.Y3IK.1126.SM.51MSV	GTEX.1399R.0826.SM.5IJEL	GTEX.14BMU.0926.SM.5S2QB	GTEX.VJYA.0726.SM.4KL1T	GTEX.RN64.1026.SM.48FDX	GTEX.14AS3.0626.SM.5QGQD	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
C1R	2664.15	15180.22	34158.52	16383.0	6207.38	48982.22	14262.1	2915.45	6079.61	19754.96	8778.97	18819.27	18560.17	16960.78	2855.44	4358.66	7180.15	16727.26	24490.61	2645.74	5403.7	1540.37	2758.13	981.29	2555.58	3257.52	2915.45	3639.7	6516.03	2682.69	1127.35	1313.23	4066.71	5751.61
C1S	325.29	3212.66	26067.14	10154.69	3901.01	21919.61	6840.04	1794.29	2875.3	9808.75	4836.35	14765.09	15934.98	8305.36	1583.71	1857.6	3794.3	16611.71	12589.08	1832.01	2075.59	995.0	1709.26	638.15	1447.15	1583.71	1313.23	1883.54	2855.44	1044.52	848.22	842.36	896.64	1745.2
C1orf162	22.59	236.21	660.68	403.5	307.69	1417.35	406.31	120.1	470.14	599.49	229.72	536.45	511.0	395.18	214.27	183.82	279.14	947.83	323.03	283.05	167.9	62.12	69.52	68.55	82.87	108.14	70.01	75.11	454.09	48.87	33.3	56.68	125.24	291.04
C20ORF135	0.0	0.0	3.14	6.01	0.0	0.0	0.0	8.92	11.73	11.13	5.06	0.0	25.35	0.0	0.0	7.82	0.0	7.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0
C3orf17	236.21	412.0	679.29	878.17	575.03	507.46	327.56	397.93	368.65	379.04	575.03	780.44	616.37	483.38	299.25	332.14	454.09	656.11	743.43	285.03	323.03	260.38	314.17	320.8	332.14	323.03	336.79	236.21	381.68	285.03	232.94	236.21	271.48	318.57
C5AR1	16.63	73.54	414.87	297.17	47.5	351.14	137.14	29.06	72.01	125.24	75.11	193.01	175.07	186.4	39.22	135.24	162.14	130.6	228.13	12.83	18.97	21.47	27.84	24.28	27.84	33.3	47.17	21.32	127.89	15.45	21.32	33.3	17.64	61.68
CCNA1	0.0	5.54	19.53	273.37	4.43	22.43	4.1	162.14	40.64	21.63	51.71	128.79	23.59	70.01	6.67	16.03	17.13	255.0	28.24	2.94	0.95	5.96	0.57	0.0	0.92	0.0	0.36	0.42	406.31	2.61	0.0	0.0	5.87	2.53
CCRL2	12.0	12.64	40.93	20.41	18.43	30.78	33.3	6.73	47.17	28.65	12.55	28.24	39.79	26.28	10.88	54.33	59.55	31.45	40.36	10.0	7.11	5.54	4.46	11.91	2.71	19.68	9.27	6.89	34.26	4.13	8.99	3.23	4.98	5.73
CD300C	1.83	13.12	85.22	47.17	19.53	113.56	37.85	6.57	22.92	47.84	19.68	45.53	22.26	78.89	13.03	32.13	21.78	45.21	43.02	8.13	15.0	0.0	2.07	0.57	3.96	10.16	1.3	3.72	21.63	5.96	4.82	4.13	3.92	14.89
CD86	23.42	65.26	277.2	563.18	103.69	121.79	77.25	42.41	76.17	120.1	85.82	134.3	164.42	173.85	39.5	68.55	87.03	194.36	118.43	43.32	22.26	15.11	10.63	21.47	19.82	58.71	16.39	51.35	142.01	35.0	3.0	9.13	39.5	48.52
CDK6	293.07	127.0	119.26	229.72	134.3	159.9	124.37	103.69	229.72	132.44	273.37	253.23	152.28	150.17	102.97	132.44	170.25	273.37	132.44	70.51	99.43	54.33	90.77	94.67	122.64	248.0	116.78	96.68	172.65	55.1	129.69	111.21	92.7	62.12
CHI3L1	429.54	212.78	79572.48	5329.3	607.87	2976.74	511.0	753.83	1359.57	2400.97	1477.58	5479.15	3540.14	7230.1	660.68	1331.57	441.64	486.75	11992.79	674.59	595.34	85.22	138.1	162.14	71.0	267.73	218.79	185.11	1832.01	543.96	299.25	224.97	860.08	356.05
CLCF1	26.47	13.83	100.13	199.85	35.0	176.29	116.78	249.73	121.79	384.34	105.15	81.14	73.54	100.83	43.32	189.02	343.89	587.13	134.3	111.21	73.03	37.05	42.11	45.21	49.91	49.21	38.4	47.5	289.02	42.71	90.77	53.95	51.71	58.3
CMSS1	273.37	607.87	974.5	1508.65	1001.93	1015.93	514.56	808.0	1322.37	896.64	1191.69	1447.15	1519.15	1447.15	429.54	642.59	503.95	1639.59	1388.16	316.37	269.6	180.02	212.78	173.85	145.02	172.65	400.71	220.32	540.19	242.88	165.57	241.19	343.89	444.72
COL4A1	301.33	295.11	3716.2	2209.26	339.14	7695.57	679.29	366.09	7966.99	1519.15	547.75	1605.83	954.43	3039.3	147.06	2720.15	620.67	2287.2	988.12	202.66	314.17	256.78	173.85	103.69	194.36	125.24	246.28	480.04	872.1	161.02	229.72	167.9	76.17	90.14
DDX47	587.13	780.44	1369.04	1487.87	1407.55	988.12	1159.07	1044.52	1030.12	1407.55	1397.83	1359.57	1923.14	1313.23	884.29	1407.55	1216.75	1639.59	1870.53	825.0	884.29	743.43	819.3	651.58	718.08	693.58	830.75	647.07	1529.73	961.07	435.55	848.22	791.35	775.05
DDX60L	591.22	151.22	258.57	146.03	183.82	113.56	77.79	98.04	126.12	143.01	170.25	336.79	229.72	262.2	221.86	267.73	224.97	381.68	426.57	52.82	85.82	49.21	77.25	109.66	102.25	120.94	94.67	98.04	198.47	139.07	52.45	120.1	82.87	30.34
DGKH	27.25	37.85	137.14	177.53	103.69	128.79	139.07	71.5	98.73	100.13	211.31	120.1	92.7	115.16	105.89	120.94	191.67	148.09	124.37	78.89	48.18	67.59	89.51	65.72	67.12	70.51	45.53	46.18	111.21	60.39	38.95	64.34	43.63	36.27
EIF4A1	26431.04	17804.06	15715.58	25005.23	17558.94	20451.65	22692.63	28525.2	12943.04	26248.46	18178.19	33224.42	19348.38	34396.12	16960.78	18689.27	12502.12	18950.18	30361.44	25179.16	15285.81	13968.57	14971.21	14163.58	14262.1	13033.07	15285.81	12589.08	23009.42	15180.22	12589.08	15075.35	22692.63	24660.96
ELFN2	0.0	2.78	2.14	4.86	0.93	3.32	3.79	0.0	1.33	0.96	1.33	1.17	18.56	24.46	1.41	12.64	7.75	1.5	4.9	0.0	0.0	0.33	0.0	0.37	0.0	0.0	0.0	0.0	21.32	0.0	0.29	0.0	0.0	0.31
FAM124A	0.38	6.57	145.02	124.37	8.45	674.59	74.58	1.95	39.22	81.71	28.65	94.67	40.36	34.75	10.71	29.27	31.0	47.84	40.07	18.43	21.94	11.38	5.36	7.11	7.75	7.88	11.04	13.72	33.06	5.11	8.51	7.17	3.96	2.89
FCER1G	273.37	555.41	7382.04	3372.43	1769.57	8134.41	1242.34	974.5	3349.13	5112.16	1250.98	4575.41	5041.77	4298.64	902.89	1757.34	1883.54	5791.62	2609.3	447.82	587.13	141.02	189.02	164.42	199.85	201.25	271.48	316.37	1001.93	273.37	65.26	175.07	429.54	830.75
FCGR2A	24.63	88.26	2400.97	1769.57	395.18	1427.22	381.68	172.65	281.09	551.56	283.05	647.07	981.29	967.76	199.85	432.53	316.37	1457.23	674.59	95.34	115.97	40.07	74.06	65.72	36.27	126.12	65.26	66.18	291.04	79.45	19.82	31.45	125.24	166.73
FCGR3A	42.41	52.08	4903.87	1340.84	348.71	1697.45	186.4	204.07	265.87	819.3	175.07	1183.45	1407.55	638.15	133.36	151.22	191.67	1331.57	884.29	9.06	73.03	6.57	5.96	9.48	13.83	17.13	20.11	12.36	206.94	24.99	4.7	9.78	56.28	94.67
FSIP1	5.23	5.54	10.88	26.47	7.46	13.93	11.47	0.52	2.66	1.11	11.73	7.63	71.0	21.78	4.86	3.2	8.71	9.41	26.28	1.51	2.36	4.06	2.05	3.56	1.68	1.71	4.98	1.66	5.68	3.82	0.71	3.0	1.91	4.98
FST	197.09	81.71	208.38	486.75	67.59	205.5	89.51	89.51	353.59	191.67	190.34	511.0	591.22	348.71	111.99	170.25	139.07	559.28	291.04	100.83	45.21	38.95	29.91	37.32	63.45	78.34	70.01	108.14	896.64	66.18	90.77	258.57	58.3	62.56
FSTL3	88.26	473.41	1135.2	4769.75	102.25	4972.34	759.08	693.58	703.28	2104.58	780.44	915.51	1159.07	3564.78	173.85	567.1	1127.35	2682.69	2367.9	201.25	291.04	195.72	186.4	120.94	190.34	129.69	187.71	223.41	567.1	107.38	343.89	177.53	62.56	121.79
FTSJ1	764.36	1295.13	1304.15	1369.04	1104.13	1295.13	941.27	954.43	1427.22	1697.45	854.13	1066.48	1477.58	1111.82	928.3	1277.29	928.3	1183.45	1081.39	819.3	647.07	802.41	620.67	642.59	674.59	500.46	688.78	583.07	1111.82	842.36	532.74	660.68	884.29	693.58
GLIPR1	12.27	41.22	1081.39	500.46	158.79	866.07	332.14	674.59	476.71	785.88	878.17	480.04	363.56	718.08	65.72	299.25	551.56	547.75	307.69	144.01	92.05	37.59	45.21	53.19	63.0	76.71	52.45	120.94	409.15	76.71	27.25	46.5	206.94	68.55
GLRX	116.78	237.86	460.44	220.32	486.75	698.41	223.41	819.3	414.87	285.03	120.94	595.34	497.0	332.14	158.79	312.0	743.43	287.01	884.29	142.01	281.09	182.55	131.51	246.28	191.67	208.38	106.63	221.86	599.49	84.63	47.5	80.57	343.89	234.57
HAVCR2	8.65	48.87	312.0	127.0	87.65	126.12	78.89	37.32	72.01	115.16	69.52	155.5	185.11	100.13	44.89	72.52	104.42	142.01	251.48	34.26	26.28	16.75	22.59	18.56	21.63	28.86	10.24	27.64	94.01	16.63	9.34	9.85	26.47	35.76
HELZ2	5913.33	107.38	503.95	547.75	309.83	616.37	463.65	307.69	301.33	872.1	356.05	1651.0	514.56	466.88	567.1	884.29	490.14	791.35	486.75	214.27	511.0	221.86	483.38	366.09	500.46	356.05	137.14	301.33	1605.83	511.0	215.77	299.25	400.71	198.47
IFI44	13033.07	353.59	2004.85	624.99	1651.0	988.12	738.29	642.59	332.14	1844.76	1233.75	3081.75	2255.7	1936.53	2133.97	1437.15	1044.52	2417.67	3280.18	229.72	327.56	194.36	253.23	283.05	353.59	329.84	316.37	237.86	624.99	163.28	169.07	239.52	161.02	100.83
IFLTD1	0.0	6.73	6.26	4.1	1.3	3.38	0.0	0.0	0.0	0.0	0.8	0.0	9.2	3.29	0.0	0.0	3.29	2.97	24.28	0.0	1.01	2.63	0.0	0.0	0.0	0.0	0.0	0.0	8.58	0.0	0.0	0.0	0.0	0.0
IGSF8	591.22	507.46	1051.79	708.18	688.78	1073.91	616.37	1242.34	825.0	947.83	591.22	723.08	1551.09	1268.46	500.46	780.44	555.41	780.44	1015.93	432.53	503.95	323.03	414.87	295.11	423.61	435.55	514.56	457.25	693.58	318.57	460.44	409.15	366.09	312.0
IKBIP	87.65	128.79	633.73	599.49	144.01	420.68	116.78	180.02	271.48	130.6	228.13	361.04	395.18	483.38	105.15	153.34	201.25	334.46	356.05	78.34	85.82	35.0	68.55	39.79	78.34	65.72	82.29	83.45	118.43	55.89	38.67	56.68	49.21	70.51
IRS1	155.5	332.14	159.9	447.82	54.33	253.23	81.14	44.89	231.32	244.57	182.55	108.9	80.01	212.78	67.12	80.01	249.73	128.79	305.55	46.84	78.34	36.27	34.75	52.08	85.82	45.53	56.68	61.68	366.09	58.3	43.94	80.01	68.55	121.79
ITGB1	2287.2	2739.08	12764.83	8191.0	2047.0	27745.15	2287.2	1104.13	2645.74	2956.17	5219.6	4607.24	1088.92	7695.57	1030.12	3212.66	48982.22	9409.14	3690.52	909.17	2915.45	2609.3	1508.65	2061.24	1819.35	1757.34	1909.85	2739.08	5292.48	1923.14	1135.2	1963.57	2335.28	2133.97
KCNE1	0.01	1.77	14.89	11.73	3.0	11.73	10.39	8.51	3.41	6.06	3.89	9.93	6.41	13.62	2.61	5.15	10.0	6.67	31.67	3.2	2.86	1.95	1.77	4.24	2.1	3.96	0.78	3.96	12.93	1.68	1.06	0.34	6.16	2.73
LCN1	19.68	0.0	1.19	0.95	5.5	23.59	0.0	3.38	5.15	0.0	0.0	2.41	35.0	13.03	1.55	16.03	0.0	0.99	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.25	0.0	0.0	0.0	43.63	0.0
LIPG	209.84	10.39	146.03	86.43	21.01	64.34	25.72	49.56	147.06	72.52	31.45	31.9	116.78	115.97	9.41	51.71	114.36	78.89	53.19	2.92	38.12	12.55	8.45	14.35	1.48	10.55	29.06	14.35	287.01	12.93	5.59	43.02	26.1	11.38
LRRC25	29.91	31.45	232.94	69.52	50.98	185.11	94.67	15.56	89.51	77.25	34.51	104.42	106.63	80.01	33.3	54.72	38.67	95.34	84.63	18.7	40.93	12.18	13.32	13.42	19.53	20.11	12.27	12.0	59.97	28.24	6.26	10.55	33.06	27.05
LRRC32	177.53	769.69	660.68	392.44	117.6	1286.18	400.71	143.01	1259.69	275.28	336.79	457.25	909.17	346.29	167.9	343.89	547.75	234.57	231.32	136.19	197.09	182.55	176.29	98.04	167.9	191.67	231.32	195.72	490.14	123.5	204.07	156.59	144.01	173.85
MAP7D1	3081.75	1001.93	2956.17	4066.71	2468.49	5517.27	3874.05	5255.91	3372.43	6745.86	3491.39	5147.73	4802.93	4639.29	2835.7	4704.07	4543.8	5329.3	4869.99	3540.14	1745.2	1757.34	967.76	1628.26	1745.2	1159.07	1151.06	1508.65	4607.24	1662.49	1369.04	1617.0	3540.14	3614.55
MCF2L2	69.52	24.99	72.01	14.78	22.1	37.85	39.22	42.71	18.97	25.54	34.75	29.06	87.65	26.47	31.45	43.32	48.18	65.26	84.04	34.26	25.35	28.24	26.47	42.11	18.29	14.45	23.42	18.43	77.25	34.02	28.45	12.36	20.11	11.82
MEFV	1.03	2.97	69.52	11.21	10.16	53.19	14.89	59.13	14.89	21.47	16.15	43.94	44.89	36.53	7.17	25.17	9.2	33.78	76.17	3.89	13.03	2.23	1.62	5.5	3.72	1.6	4.9	1.64	18.16	2.86	0.97	3.06	5.02	3.66
MMD	57.89	36.79	642.59	947.83	248.0	703.28	161.02	149.12	395.18	185.11	232.94	334.46	323.03	633.73	55.49	133.36	457.25	339.14	551.56	88.88	72.52	63.45	37.32	32.82	45.21	30.56	84.04	84.04	180.02	43.32	32.36	44.57	55.49	30.56
MRPS17	287.01	314.17	713.11	1304.15	703.28	563.18	412.0	669.92	1151.06	688.78	460.44	629.35	1096.5	1015.93	307.69	444.72	559.28	507.46	954.43	303.44	318.57	234.57	197.09	167.9	214.27	228.13	336.79	231.32	551.56	246.28	249.73	279.14	361.04	341.51
MS4A4A	18.29	111.99	928.3	429.54	102.25	928.3	316.37	38.67	39.5	229.72	70.51	339.14	376.41	414.87	35.25	76.71	172.65	409.15	273.37	18.43	79.45	42.41	39.79	39.22	19.25	67.12	54.33	80.01	181.28	28.45	6.52	11.3	60.82	97.36
MS4A7	35.0	95.34	674.59	260.38	131.51	343.89	149.12	40.07	55.89	239.52	111.21	223.41	255.0	157.68	29.06	117.6	181.28	267.73	277.2	58.3	57.49	59.13	54.33	40.07	40.64	57.08	55.89	60.39	147.06	40.64	12.64	34.26	37.32	60.39
MSN	1111.82	1143.1	7749.1	8134.41	4181.07	8191.0	3325.99	5219.6	4298.64	5041.77	4095.0	6561.36	6983.79	8658.09	2485.67	3564.78	3280.18	10014.87	9606.86	2148.82	1733.13	708.18	808.0	813.63	884.29	1467.37	1295.13	1233.75	4066.71	854.13	642.59	775.05	1844.76	1617.0
MSR1	18.16	22.92	974.5	567.1	108.9	325.29	65.26	48.18	47.84	81.71	195.72	212.78	123.5	358.54	39.5	69.03	173.85	323.03	281.09	9.2	14.03	13.12	6.67	23.25	15.45	11.13	6.78	12.64	57.49	8.06	3.0	4.9	38.12	37.05
PLA2G7	38.67	59.13	101.54	76.17	26.1	43.94	32.82	13.62	30.56	68.55	17.13	102.97	106.63	77.25	12.55	43.63	54.33	119.26	50.63	5.87	12.36	4.54	5.19	4.86	4.58	9.27	7.11	7.51	46.18	2.51	8.51	4.58	10.08	21.32
PTP4A3	34.02	98.73	954.43	389.72	483.38	3419.52	764.36	89.51	8022.41	507.46	265.87	693.58	599.49	1519.15	76.71	395.18	420.68	156.59	567.1	55.89	239.52	212.78	285.03	106.63	279.14	285.03	297.17	236.21	769.69	262.2	140.04	190.34	293.07	353.59
RAB32	114.36	176.29	769.69	1183.45	318.57	2400.97	208.38	651.58	420.68	698.41	373.81	329.84	629.35	713.11	98.04	287.01	571.05	406.31	426.57	112.77	159.9	101.54	94.01	106.63	153.34	124.37	120.1	158.79	239.52	112.77	59.55	94.01	341.51	186.4
RABEPK	249.73	429.54	647.07	954.43	483.38	624.99	507.46	743.43	693.58	563.18	529.06	599.49	1051.79	647.07	435.55	514.56	507.46	503.95	470.14	426.57	361.04	343.89	293.07	251.48	329.84	295.11	358.54	297.17	363.56	346.29	323.03	334.46	497.0	633.73
RAP1B	1304.15	1769.57	2997.45	2956.17	2240.11	5479.15	2367.9	1963.57	2061.24	2018.8	2682.69	2335.28	2417.67	2777.33	1757.34	2271.4	3081.75	2835.7	3146.52	1572.76	1594.73	1175.27	1467.37	1331.57	1295.13	1268.46	1350.18	1250.98	2335.28	1709.26	1111.82	1208.34	1159.07	1477.58
RARA	417.77	339.14	514.56	466.88	256.78	1059.11	409.15	122.64	1540.37	432.53	356.05	575.03	275.28	540.19	135.24	291.04	884.29	514.56	521.76	228.13	221.86	182.55	193.01	154.42	212.78	226.54	293.07	223.41	457.25	248.0	229.72	262.2	271.48	253.23
RP11-345J4.5	559.28	665.29	518.15	1832.01	819.3	728.11	395.18	629.35	563.18	400.71	1119.56	688.78	348.71	1175.27	325.29	642.59	346.29	915.51	1151.06	241.19	651.58	684.02	447.82	389.72	743.43	283.05	616.37	249.73	934.76	441.64	226.54	579.04	529.06	414.87
RSC1A1	18.97	0.0	22.92	1.83	9.41	6.41	17.51	0.0	1.17	11.04	29.06	14.89	9.27	0.78	34.75	19.97	15.91	8.38	57.89	37.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.4	0.0	0.0	0.0	0.0	0.0
S100A9	4.94682652E7	1.689390977E7	731246.37	27174.14	5345893.74	706337.4	6490957.04	9372482.82	3601083.44	4312220.94	3576208.94	938500.81	1578364.61	1482909.4	9503317.82	7353500.77	3178687.03	1093103.58	527933.71	1.047175463E7	817012.28	668235.84	746611.43	778316.89	672883.8	805764.22	649962.87	602247.76	554180.87	632189.57	336441.4	623486.02	5972898.43	8805660.77
SAMHD1	563.18	490.14	4388.98	647.07	1923.14	3419.52	4543.8	204.07	1127.35	2319.15	1721.16	3665.02	595.34	785.88	2895.31	1572.76	1199.98	2047.0	2739.08	1378.57	974.5	713.11	587.13	579.04	813.63	521.76	638.15	813.63	1498.22	373.81	503.95	483.38	470.14	698.41
SDS	32.82	0.0	81.71	44.25	46.18	80.57	20.11	31.45	43.94	89.51	42.11	119.26	93.35	21.78	2.43	66.18	229.72	33.3	152.28	1.99	4.66	2.12	6.57	5.5	1.46	1.03	3.79	2.34	15.56	2.27	1.51	3.17	10.24	11.82
SEMA6B	40.07	41.22	151.22	126.12	34.75	616.37	92.05	33.3	258.57	129.69	60.82	120.1	67.12	154.42	54.33	195.72	104.42	77.25	70.51	48.87	102.97	35.5	49.91	28.45	45.21	63.0	53.19	61.25	144.01	59.55	46.5	52.45	29.27	52.08
SEMG2	0.0	0.0	0.87	0.56	0.58	0.0	1.43	0.0	0.0	0.0	1.39	1.16	2.36	0.59	0.0	5.54	1.71	0.0	7.46	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13	0.0	0.0	0.0	0.0	0.0
SERPINE1	334.46	114.36	791.35	2739.08	105.15	974.5	140.04	1001.93	232.94	368.65	466.88	1242.34	389.72	1081.39	40.07	269.6	866.07	7032.37	1639.59	46.84	104.42	51.71	55.89	48.52	97.36	34.75	59.55	49.21	567.1	26.47	43.32	74.58	162.14	141.02
SH2D5	6.78	1.48	33.78	343.89	13.42	82.87	17.25	127.0	55.89	182.55	81.14	52.08	59.13	248.0	25.54	53.57	48.18	339.14	41.22	6.06	8.06	0.79	1.57	0.21	4.66	0.67	13.32	2.39	146.03	12.09	3.56	5.36	10.08	18.16
SIGLEC12	0.0	8.06	66.65	85.82	11.04	19.82	23.08	4.21	38.4	49.91	21.78	76.71	90.14	42.41	12.18	17.51	8.92	28.86	12.93	4.78	18.43	2.18	2.39	1.35	5.73	10.71	0.0	0.91	43.63	1.46	0.0	0.0	0.03	1.23
