	GTEX.145MN.0326.SM.5QGQI	GTEX.R55G.0826.SM.2TC5U	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.11ZTS.1126.SM.5LU9X	GTEX.14E6C.2626.SM.5RQJP	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.XUW1.1026.SM.4BONY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13QJC.0826.SM.5RQKC	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.11UD2.0626.SM.5GU6L	GTEX.13W46.0926.SM.5LU3T	GTEX.ZYT6.0426.SM.5GID3	GTEX.XBEW.0126.SM.4AT66	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM	GTEX.Z9EW.0226.SM.5CVM7	GTEX.V1D1.0926.SM.4JBHQ
FBXL5	3540.14	2758.13	1936.53	1583.71	1572.76	1498.22	1819.35	3081.75	3257.52	1963.57	2758.13	2075.59	2032.85	2400.97	2367.9	1883.54	2351.53	2018.8	3443.31	1806.78	1551.09	1322.37	1191.69	2032.85	3212.66	1008.9	2163.77	2061.24	2133.97	1508.65	2004.85	1721.16	2417.67	2434.5	2148.82	872.1	2119.22	2209.26	2451.44	2573.36	2224.63	1977.24	1709.26	1397.83	1322.37	2384.37	2351.53	1350.18	1721.16	2537.92	1508.65	1628.26	2591.27	1844.76	1977.24	1519.15	2777.33	2537.92	2032.85	1519.15	2555.58	2537.92	1427.22	1909.85	1896.65	1977.24	2682.69	2895.31	2163.77	2178.83	1529.73	2816.11	1832.01	2400.97	2502.97	1216.75	2224.63	2047.0	1819.35	1143.1	1286.18	1216.75	2061.24	1551.09	2739.08	1151.06	2645.74	1388.16
GHITM	6792.79	6207.38	2303.12	2148.82	2319.15	2271.4	2400.97	3168.41	3395.89	2796.65	3280.18	3928.15	3639.7	3874.05	3372.43	2075.59	2956.17	2956.17	3564.78	2047.0	1467.37	1519.15	1963.57	2609.3	4419.52	2895.31	3665.02	3395.89	2335.28	2502.97	3614.55	2627.46	3690.52	3690.52	4268.94	1639.59	2997.45	2935.74	3665.02	3928.15	3325.99	5147.73	2004.85	2133.97	2816.11	2758.13	3039.3	1819.35	3103.19	3982.99	1936.53	2417.67	3124.78	2720.15	3540.14	2061.24	3235.01	3212.66	2682.69	2119.22	4388.98	4575.41	2224.63	3018.3	3395.89	2367.9	3847.29	3847.29	4123.49	4066.71	1844.76	3515.68	2367.9	3212.66	4010.71	1870.53	3124.78	2739.08	3768.09	2004.85	1963.57	1572.76	2224.63	2485.67	3039.3	1769.57	3491.39	1605.83
GNAI3	1295.13	1088.92	514.56	450.94	441.64	392.44	463.65	559.28	785.88	525.39	579.04	669.92	620.67	651.58	620.67	480.04	559.28	633.73	698.41	281.09	341.51	447.82	379.04	591.22	791.35	466.88	775.05	713.11	500.46	547.75	518.15	454.09	733.19	540.19	612.11	373.81	688.78	603.67	698.41	620.67	624.99	791.35	497.0	511.0	341.51	616.37	583.07	406.31	555.41	698.41	387.02	514.56	780.44	525.39	607.87	547.75	607.87	684.02	591.22	507.46	620.67	629.35	432.53	525.39	679.29	620.67	921.88	521.76	551.56	665.29	500.46	660.68	507.46	540.19	624.99	466.88	507.46	587.13	521.76	441.64	420.68	426.57	521.76	435.55	669.92	480.04	647.07	470.14
GNB1	5183.54	6699.25	2720.15	2573.36	2485.67	2319.15	2178.83	3060.45	3982.99	3103.19	2720.15	3716.2	3639.7	4066.71	3589.58	2855.44	2875.3	3325.99	4123.49	2303.12	1769.57	2956.17	2090.03	3847.29	3955.48	2573.36	3982.99	3303.0	2777.33	3372.43	3372.43	2664.15	3614.55	3372.43	3443.31	1936.53	4575.41	3467.27	3639.7	3257.52	2875.3	4010.71	3081.75	3491.39	3280.18	4066.71	3742.05	2682.69	2835.7	3768.09	2287.2	2664.15	3982.99	3081.75	3515.68	3103.19	3280.18	3395.89	2855.44	3103.19	3168.41	2976.74	2855.44	3212.66	3540.14	2935.74	4038.61	3060.45	3018.3	3103.19	2816.11	3395.89	2591.27	3039.3	3280.18	2627.46	2664.15	2997.45	3395.89	2485.67	2004.85	2367.9	3060.45	2701.35	3614.55	2555.58	3395.89	2240.11
GNS	5041.77	5594.3	988.12	995.0	928.3	1030.12	1088.92	1794.29	2090.03	1628.26	1832.01	1427.22	1583.71	2104.58	1991.0	1167.14	1870.53	1378.57	2061.24	1175.27	698.41	624.99	693.58	1259.69	2303.12	1088.92	1909.85	1583.71	1350.18	1268.46	1295.13	1242.34	1832.01	2240.11	1685.71	808.0	1794.29	1617.0	1909.85	1685.71	1685.71	1832.01	1508.65	1295.13	1225.22	1709.26	2004.85	974.5	1322.37	1662.49	928.3	1096.5	2502.97	1104.13	1350.18	934.76	1950.0	1457.23	1397.83	981.29	1674.06	1745.2	988.12	1407.55	1697.45	1104.13	2061.24	2163.77	1529.73	1757.34	813.63	1617.0	1340.84	2004.85	1936.53	988.12	1417.35	1135.2	1340.84	791.35	785.88	1023.0	1233.75	1015.93	2303.12	1135.2	1721.16	1008.9
GRSF1	1417.35	1628.26	1143.1	928.3	878.17	884.29	878.17	1135.2	1508.65	1175.27	1242.34	1268.46	1127.35	1167.14	1350.18	934.76	1199.98	1151.06	1313.23	1295.13	830.75	830.75	1073.91	1191.69	1498.22	1151.06	1208.34	1286.18	1127.35	988.12	1127.35	967.76	1233.75	1059.11	1216.75	988.12	1111.82	1051.79	1259.69	1233.75	1119.56	1397.83	947.83	884.29	1191.69	1037.29	1151.06	974.5	1066.48	1250.98	854.13	1008.9	1397.83	941.27	1073.91	854.13	1081.39	1096.5	1081.39	1008.9	1143.1	1259.69	967.76	1037.29	1191.69	1051.79	1359.57	974.5	1143.1	1340.84	981.29	1350.18	967.76	1015.93	1259.69	941.27	1111.82	1081.39	1159.07	961.07	1233.75	988.12	1111.82	915.51	1242.34	1023.0	1191.69	928.3
IARS2	1583.71	1540.37	579.04	525.39	718.08	521.76	587.13	896.64	1073.91	878.17	974.5	753.83	967.76	961.07	1008.9	595.34	941.27	764.36	1127.35	547.75	470.14	447.82	473.41	674.59	1540.37	563.18	872.1	934.76	728.11	769.69	915.51	785.88	941.27	974.5	1066.48	389.72	915.51	915.51	848.22	988.12	1030.12	1066.48	825.0	536.45	708.18	830.75	896.64	563.18	633.73	981.29	607.87	651.58	1250.98	693.58	813.63	660.68	836.53	872.1	769.69	521.76	780.44	1008.9	698.41	728.11	921.88	708.18	1015.93	974.5	780.44	896.64	599.49	981.29	476.71	866.07	902.89	587.13	808.0	819.3	796.86	403.5	376.41	591.22	775.05	703.28	974.5	507.46	1008.9	599.49
LAMP1	9474.59	17437.64	4268.94	3443.31	4358.66	3325.99	4123.49	5872.48	7032.37	5479.15	4972.34	5872.48	5006.93	6381.92	7803.01	4268.94	6250.56	4010.71	7485.11	4512.4	2835.7	2976.74	2319.15	4802.93	4639.29	3820.7	5791.62	4972.34	4210.15	5076.84	4769.75	4836.35	5479.15	5831.91	5672.41	2591.27	7032.37	5366.37	6164.49	4903.87	5292.48	6337.83	5995.9	4802.93	3491.39	5555.65	5872.48	2720.15	4481.23	5831.91	4095.0	4038.61	7180.15	3768.09	4095.0	3716.2	5633.22	5255.91	4802.93	3372.43	4802.93	3955.48	3665.02	5366.37	5751.61	5076.84	5403.7	4802.93	4066.71	5751.61	2664.15	5517.27	4639.29	5517.27	5292.48	3443.31	4268.94	4736.79	4210.15	3146.52	2796.65	3060.45	5112.16	3515.68	7230.1	3235.01	5791.62	3257.52
LAMP2	5995.9	4268.94	1963.57	1487.87	1037.29	1662.49	1508.65	2468.49	2855.44	2303.12	2047.0	2434.5	2739.08	2664.15	3325.99	1769.57	2895.31	1697.45	3039.3	1857.6	1183.45	967.76	1208.34	1662.49	4152.18	1977.24	2351.53	2193.99	2104.58	1844.76	1832.01	1685.71	2796.65	2537.92	2417.67	1044.52	2367.9	2047.0	2555.58	2287.2	1909.85	3443.31	2047.0	1769.57	1674.06	2133.97	2224.63	1359.57	1844.76	2367.9	1225.22	1757.34	3515.68	1605.83	1572.76	1427.22	2240.11	1870.53	2400.97	1304.15	3372.43	2287.2	1551.09	1977.24	2319.15	1757.34	2591.27	2739.08	2451.44	3212.66	995.0	2591.27	1674.06	2417.67	2367.9	1417.35	1936.53	1819.35	1977.24	1397.83	1242.34	1322.37	1896.65	1304.15	2645.74	1561.89	2520.38	1304.15
MICU1	1733.13	2351.53	769.69	567.1	616.37	540.19	599.49	656.11	785.88	738.29	579.04	470.14	651.58	679.29	854.13	559.28	674.59	620.67	753.83	438.59	432.53	559.28	384.34	575.03	1030.12	521.76	802.41	698.41	599.49	551.56	633.73	547.75	607.87	769.69	629.35	277.2	703.28	748.61	723.08	674.59	629.35	718.08	728.11	543.96	473.41	620.67	836.53	507.46	514.56	808.0	457.25	470.14	921.88	514.56	612.11	599.49	620.67	633.73	567.1	555.41	679.29	518.15	497.0	579.04	748.61	638.15	665.29	567.1	624.99	624.99	575.03	748.61	444.72	603.67	638.15	620.67	688.78	733.19	728.11	466.88	303.44	457.25	660.68	525.39	718.08	348.71	703.28	547.75
MR1	480.04	928.3	518.15	363.56	460.44	368.65	264.03	356.05	579.04	412.0	429.54	483.38	389.72	438.59	728.11	299.25	406.31	426.57	403.5	309.83	242.88	265.87	226.54	379.04	406.31	214.27	441.64	607.87	267.73	366.09	392.44	435.55	624.99	476.71	361.04	198.47	547.75	518.15	457.25	314.17	423.61	450.94	450.94	358.54	312.0	480.04	660.68	234.57	361.04	441.64	307.69	334.46	575.03	351.14	379.04	264.03	429.54	540.19	395.18	287.01	323.03	486.75	329.84	457.25	400.71	361.04	463.65	435.55	221.86	454.09	246.28	480.04	381.68	463.65	387.02	264.03	351.14	379.04	521.76	371.22	341.51	224.97	366.09	334.46	503.95	264.03	371.22	279.14
MRPS35	2018.8	1225.22	769.69	571.05	878.17	647.07	860.08	1250.98	1044.52	808.0	947.83	1051.79	915.51	1023.0	1037.29	785.88	921.88	802.41	941.27	571.05	579.04	500.46	656.11	854.13	1733.13	708.18	1008.9	1008.9	796.86	748.61	780.44	723.08	1127.35	848.22	1096.5	466.88	884.29	921.88	928.3	954.43	995.0	1175.27	708.18	684.02	612.11	1044.52	921.88	529.06	836.53	1081.39	551.56	896.64	1143.1	764.36	896.64	629.35	921.88	1008.9	896.64	728.11	1111.82	1073.91	693.58	848.22	884.29	733.19	941.27	1037.29	1023.0	1044.52	693.58	941.27	748.61	995.0	1037.29	543.96	825.0	842.36	769.69	633.73	651.58	571.05	796.86	718.08	915.51	503.95	941.27	688.78
NCOA4	5594.3	4639.29	1191.69	988.12	1081.39	947.83	1104.13	2367.9	1991.0	1628.26	2104.58	1963.57	2018.8	2627.46	1628.26	1225.22	1977.24	1950.0	1733.13	1183.45	836.53	1059.11	1225.22	1369.04	3103.19	1104.13	1977.24	1963.57	1487.87	1286.18	1477.58	1529.73	2224.63	2018.8	2163.77	941.27	1572.76	2047.0	2119.22	2075.59	1769.57	2591.27	1340.84	1268.46	1295.13	2032.85	1540.37	1066.48	1674.06	2335.28	902.89	1313.23	2682.69	1487.87	1721.16	1104.13	1857.6	1950.0	1745.2	1369.04	1745.2	2133.97	1088.92	1709.26	2004.85	1304.15	2777.33	2148.82	1977.24	1806.78	1096.5	2240.11	1388.16	1883.54	2193.99	1286.18	1551.09	1467.37	1304.15	1135.2	1208.34	1135.2	1369.04	1397.83	1733.13	1111.82	2018.8	1216.75
PCMT1	1662.49	1977.24	1135.2	1208.34	1437.15	1191.69	1030.12	1529.73	1721.16	1242.34	1268.46	1407.55	1529.73	1427.22	1457.23	981.29	1233.75	1359.57	1583.71	967.76	743.43	854.13	733.19	1208.34	1857.6	1143.1	1417.35	1378.57	1119.56	1225.22	1259.69	1135.2	1674.06	1286.18	1378.57	665.29	1457.23	1378.57	1397.83	1487.87	1388.16	1477.58	1183.45	1044.52	995.0	1313.23	1457.23	713.11	1127.35	1437.15	915.51	1096.5	1561.89	1277.29	1359.57	1127.35	1259.69	1467.37	1081.39	866.07	1639.59	1477.58	1066.48	1151.06	1250.98	1104.13	1457.23	1551.09	1437.15	1605.83	934.76	1540.37	866.07	1286.18	1378.57	921.88	1175.27	1191.69	1407.55	884.29	860.08	866.07	1331.57	1023.0	1508.65	909.17	1457.23	909.17
PLBD2	669.92	1388.16	356.05	165.57	341.51	264.03	323.03	559.28	507.46	426.57	463.65	490.14	476.71	733.19	567.1	299.25	486.75	351.14	511.0	406.31	279.14	299.25	281.09	348.71	348.71	348.71	563.18	447.82	341.51	314.17	312.0	409.15	514.56	583.07	629.35	237.86	595.34	551.56	642.59	392.44	373.81	490.14	543.96	368.65	426.57	426.57	497.0	281.09	417.77	503.95	341.51	305.55	713.11	376.41	368.65	392.44	579.04	511.0	356.05	295.11	403.5	460.44	356.05	486.75	454.09	366.09	595.34	473.41	460.44	483.38	193.01	460.44	392.44	460.44	493.56	293.07	336.79	327.56	409.15	358.54	295.11	264.03	387.02	279.14	612.11	318.57	420.68	376.41
