	TCGA.E7.A541.01A.11R.A26T.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.132AR.0826.SM.5EGK6	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.ZH.A8Y6.01A.11R.A41I.07	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B4.5836.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.B2.5639.01A.01R.1541.07	TCGA.B4.5843.01A.11R.1672.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3456.01A.02R.1325.07	TCGA.B8.5546.01A.01R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.5888.11A.01R.1592.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.CD.5801.01A.11R.1602.13	TCGA.B7.5818.01A.11R.1602.13	GTEX.1399T.0126.SM.5KM15
CRYAB	153.34	21468.49	2224.63	29736.59	271387.49	8479.89	1503610.06	151608.43	233003.78	200048.85	288856.81	28328.16	10440.2	42346.82	85876.94	59474.18	44145.15	99333.0	55107.99	309589.14	27363.16	24321.43	131071.0	184082.4	49666.0	189257.69	134755.94	383800.28	44452.21	223512.12	54349.29	114897.47	42346.82	294926.33	79572.48	150561.19	301123.38	271387.49	233003.78	167058.21	239554.43	447025.24	197294.7	218912.29	153724.82	253213.41	217400.14	241220.67	260332.24	212926.09	381149.17	223512.12	241220.67	202841.44	318292.9	174152.51	220434.95	408505.64	225066.78	320506.81	177811.84	456418.21	260332.24	546551.29	258533.99	251464.33	301123.38	195931.88	391864.76	234624.45	292889.12	305326.92	254974.66	177811.84	292889.12	513497.31	286861.53	254974.66	327241.36	277089.94	208544.12	375901.76	174152.51	284880.02	131982.68	303217.87	329517.51	141455.6	329517.51	228208.61	338781.54	246289.25	190574.09	218912.29	422911.59	215898.44	279017.26	217400.14	299043.36	256748.15	212926.09	186652.11	70727.3	233003.78	589853.66	269512.87	234624.45	215898.44	46019.85	336441.4	311742.51	716197.51	441.64	775.05	400.71	669.92	305326.92
CUL2	262.2	791.35	743.43	651.58	733.19	1417.35	733.19	575.03	954.43	759.08	738.29	890.44	674.59	656.11	460.44	529.06	507.46	438.59	521.76	473.41	629.35	629.35	507.46	460.44	395.18	447.82	412.0	532.74	423.61	381.68	414.87	583.07	409.15	423.61	571.05	237.86	341.51	379.04	244.57	323.03	287.01	209.84	450.94	318.57	279.14	325.29	301.33	234.57	583.07	346.29	220.32	341.51	281.09	571.05	157.68	358.54	175.07	563.18	353.59	299.25	271.48	128.79	329.84	435.55	483.38	423.61	351.14	420.68	343.89	273.37	392.44	177.53	435.55	244.57	457.25	400.71	397.93	206.94	392.44	400.71	420.68	373.81	43.63	358.54	303.44	267.73	241.19	217.27	262.2	336.79	414.87	287.01	220.32	232.94	325.29	368.65	432.53	536.45	379.04	329.84	371.22	339.14	86.43	293.07	241.19	297.17	457.25	224.97	435.55	587.13	503.95	563.18	325.29	204.07	339.14	244.57	376.41
DCTN4	256.78	1051.79	1359.57	1044.52	825.0	1628.26	583.07	921.88	947.83	1001.93	447.82	1096.5	1508.65	802.41	660.68	656.11	941.27	1037.29	780.44	854.13	1199.98	1233.75	848.22	848.22	860.08	708.18	1001.93	733.19	954.43	563.18	854.13	921.88	981.29	1407.55	698.41	343.89	555.41	412.0	373.81	638.15	267.73	409.15	423.61	384.34	373.81	429.54	441.64	332.14	543.96	507.46	532.74	656.11	412.0	409.15	358.54	441.64	291.04	785.88	363.56	414.87	373.81	532.74	703.28	460.44	647.07	497.0	476.71	591.22	450.94	287.01	679.29	543.96	607.87	307.69	454.09	559.28	351.14	356.05	599.49	463.65	454.09	470.14	251.48	417.77	291.04	392.44	511.0	244.57	305.55	400.71	547.75	409.15	318.57	395.18	444.72	518.15	397.93	791.35	480.04	412.0	423.61	363.56	314.17	309.83	348.71	361.04	551.56	351.14	470.14	629.35	620.67	412.0	289.02	289.02	202.66	283.05	656.11
DENND5A	371.22	1369.04	1081.39	1225.22	1313.23	1594.73	1313.23	1936.53	1819.35	1277.29	1662.49	1331.57	1191.69	525.39	1037.29	1268.46	1242.34	884.29	1331.57	536.45	1066.48	1397.83	1001.93	830.75	1104.13	753.83	1883.54	1233.75	1407.55	718.08	1295.13	848.22	1322.37	1757.34	967.76	480.04	1023.0	785.88	718.08	1175.27	660.68	624.99	915.51	830.75	536.45	620.67	775.05	718.08	1044.52	733.19	759.08	934.76	941.27	836.53	409.15	764.36	791.35	1259.69	703.28	638.15	688.78	616.37	738.29	915.51	921.88	651.58	688.78	579.04	974.5	616.37	860.08	660.68	547.75	713.11	688.78	947.83	642.59	607.87	995.0	896.64	521.76	1135.2	866.07	669.92	603.67	698.41	769.69	366.09	785.88	703.28	1111.82	796.86	460.44	540.19	988.12	848.22	791.35	1037.29	525.39	612.11	860.08	624.99	708.18	607.87	607.87	656.11	866.07	620.67	511.0	684.02	555.41	518.15	181.28	237.86	98.04	178.77	571.05
DSTYK	45.53	221.86	323.03	265.87	271.48	400.71	147.06	231.32	172.65	154.42	170.25	314.17	195.72	307.69	316.37	163.28	215.77	140.04	271.48	193.01	237.86	204.07	256.78	256.78	152.28	305.55	234.57	152.28	195.72	69.03	177.53	221.86	220.32	204.07	218.79	113.56	189.02	107.38	103.69	59.13	127.89	80.57	107.38	133.36	104.42	155.5	105.89	90.77	145.02	142.01	113.56	54.33	116.78	119.26	89.51	120.1	70.01	122.64	126.12	95.34	103.69	75.64	205.5	102.97	127.89	157.68	100.13	171.45	120.1	87.03	150.17	95.34	118.43	98.73	136.19	122.64	125.24	87.65	94.01	130.6	135.24	116.78	70.51	94.01	98.04	108.9	111.21	61.25	90.77	127.0	166.73	110.43	88.88	95.34	214.27	148.09	119.26	329.84	111.21	100.83	115.16	88.26	94.67	118.43	61.68	107.38	139.07	85.22	204.07	155.5	123.5	94.01	47.5	42.41	52.08	47.84	138.1
ECD	234.57	842.36	651.58	624.99	603.67	1119.56	432.53	567.1	698.41	473.41	555.41	718.08	775.05	518.15	444.72	540.19	507.46	444.72	579.04	438.59	547.75	532.74	503.95	466.88	414.87	603.67	497.0	514.56	476.71	547.75	575.03	466.88	529.06	679.29	497.0	318.57	423.61	348.71	435.55	361.04	323.03	262.2	476.71	305.55	339.14	262.2	293.07	271.48	688.78	400.71	293.07	463.65	231.32	403.5	327.56	392.44	264.03	595.34	358.54	293.07	309.83	297.17	363.56	486.75	532.74	384.34	397.93	400.71	376.41	265.87	412.0	343.89	384.34	215.77	295.11	435.55	323.03	312.0	490.14	423.61	356.05	320.8	224.97	366.09	279.14	332.14	353.59	232.94	358.54	348.71	389.72	332.14	309.83	320.8	343.89	318.57	368.65	339.14	348.71	389.72	325.29	228.13	249.73	376.41	201.25	312.0	397.93	305.55	429.54	332.14	262.2	309.83	301.33	348.71	432.53	341.51	466.88
FAM114A2	94.67	457.25	353.59	674.59	473.41	995.0	624.99	414.87	759.08	454.09	961.07	718.08	480.04	332.14	483.38	460.44	500.46	511.0	361.04	312.0	723.08	674.59	503.95	371.22	417.77	368.65	579.04	373.81	521.76	289.02	432.53	493.56	571.05	890.44	429.54	156.59	341.51	248.0	104.42	253.23	162.14	190.34	169.07	199.85	180.02	178.77	285.03	163.28	293.07	248.0	126.12	246.28	231.32	256.78	77.79	217.27	189.02	260.38	185.11	232.94	131.51	279.14	212.78	260.38	371.22	258.57	218.79	460.44	208.38	135.24	351.14	212.78	323.03	102.97	334.46	155.5	205.5	159.9	220.32	217.27	256.78	180.02	151.22	234.57	161.02	183.82	131.51	132.44	146.03	193.01	251.48	191.67	119.26	157.68	209.84	336.79	229.72	334.46	237.86	134.3	237.86	197.09	153.34	224.97	85.82	175.07	348.71	135.24	279.14	255.0	341.51	248.0	152.28	131.51	136.19	167.9	305.55
FAM172A	73.03	532.74	791.35	791.35	651.58	1030.12	248.0	967.76	503.95	595.34	555.41	679.29	543.96	299.25	325.29	346.29	460.44	232.94	371.22	93.35	607.87	713.11	289.02	204.07	371.22	251.48	447.82	221.86	379.04	108.14	483.38	279.14	417.77	164.42	285.03	84.63	161.02	114.36	65.26	242.88	94.67	138.1	66.18	105.15	120.94	105.15	114.36	78.34	151.22	125.24	101.54	186.4	102.97	108.14	77.25	101.54	57.08	159.9	103.69	171.45	91.41	115.16	159.9	95.34	223.41	141.02	127.0	224.97	112.77	80.01	239.52	121.79	191.67	102.97	142.01	142.01	111.99	74.58	181.28	114.36	143.01	119.26	54.33	102.97	73.03	94.67	111.99	57.89	58.3	131.51	165.57	93.35	67.12	100.13	96.68	202.66	104.42	228.13	197.09	157.68	119.26	101.54	64.8	69.52	87.65	104.42	201.25	78.34	244.57	144.01	173.85	127.0	73.03	68.55	92.05	76.71	309.83
FAM204A	435.55	1781.89	1313.23	1340.84	1508.65	2777.33	780.44	1594.73	1277.29	2502.97	1697.45	1745.2	1529.73	1199.98	1073.91	1119.56	1551.09	1216.75	1277.29	941.27	1662.49	1313.23	1066.48	1183.45	974.5	1015.93	1277.29	1059.11	1417.35	872.1	1304.15	1277.29	1427.22	1417.35	1037.29	529.06	909.17	532.74	872.1	981.29	684.02	381.68	854.13	642.59	599.49	669.92	733.19	620.67	1457.23	825.0	473.41	995.0	624.99	1051.79	587.13	866.07	414.87	1216.75	759.08	651.58	518.15	343.89	718.08	1119.56	954.43	764.36	693.58	878.17	780.44	769.69	848.22	363.56	698.41	555.41	656.11	718.08	567.1	674.59	981.29	878.17	759.08	674.59	220.32	540.19	603.67	575.03	723.08	647.07	555.41	860.08	947.83	669.92	638.15	669.92	813.63	769.69	780.44	1096.5	674.59	802.41	665.29	674.59	241.19	674.59	514.56	684.02	902.89	511.0	902.89	961.07	624.99	764.36	397.93	366.09	629.35	438.59	1159.07
FBXO38	176.29	656.11	791.35	669.92	429.54	660.68	271.48	563.18	785.88	571.05	366.09	947.83	791.35	607.87	454.09	466.88	429.54	409.15	397.93	414.87	915.51	567.1	457.25	493.56	497.0	414.87	591.22	486.75	547.75	341.51	503.95	543.96	547.75	674.59	476.71	217.27	406.31	234.57	220.32	363.56	223.41	258.57	281.09	264.03	255.0	320.8	356.05	208.38	414.87	341.51	293.07	265.87	303.44	232.94	167.9	327.56	234.57	432.53	256.78	239.52	264.03	275.28	291.04	366.09	387.02	329.84	358.54	406.31	327.56	237.86	381.68	316.37	353.59	258.57	301.33	293.07	256.78	249.73	387.02	295.11	314.17	285.03	145.02	316.37	211.31	211.31	193.01	199.85	208.38	275.28	361.04	283.05	224.97	260.38	198.47	271.48	291.04	441.64	293.07	223.41	299.25	248.0	173.85	253.23	171.45	265.87	314.17	204.07	320.8	303.44	193.01	214.27	267.73	226.54	234.57	262.2	368.65
HINT3	190.34	825.0	743.43	775.05	848.22	1135.2	323.03	624.99	551.56	575.03	547.75	780.44	915.51	466.88	708.18	551.56	638.15	529.06	551.56	595.34	555.41	543.96	679.29	575.03	450.94	607.87	559.28	559.28	429.54	281.09	547.75	518.15	567.1	287.01	460.44	193.01	260.38	334.46	159.9	318.57	198.47	361.04	373.81	291.04	262.2	251.48	265.87	281.09	265.87	353.59	172.65	414.87	403.5	353.59	167.9	368.65	241.19	253.23	329.84	307.69	226.54	295.11	426.57	400.71	651.58	339.14	323.03	412.0	163.28	204.07	540.19	325.29	323.03	175.07	267.73	343.89	283.05	231.32	253.23	400.71	258.57	348.71	241.19	368.65	214.27	400.71	400.71	191.67	241.19	297.17	587.13	320.8	110.43	379.04	379.04	400.71	301.33	511.0	536.45	305.55	348.71	301.33	186.4	226.54	480.04	236.21	329.84	305.55	521.76	423.61	403.5	406.31	241.19	191.67	193.01	178.77	497.0
IL6ST	169.07	4268.94	7857.29	2915.45	2758.13	14867.79	2319.15	7130.55	5831.91	11909.94	5831.91	3901.01	7803.01	819.3	1467.37	2520.38	2119.22	1844.76	2075.59	775.05	2400.97	4298.64	1498.22	1340.84	1397.83	1208.34	2163.77	890.44	2119.22	1059.11	2555.58	1963.57	1991.0	2434.5	2104.58	320.8	848.22	412.0	314.17	698.41	253.23	339.14	460.44	563.18	423.61	497.0	409.15	275.28	1540.37	583.07	532.74	493.56	753.83	511.0	307.69	620.67	262.2	567.1	426.57	420.68	447.82	507.46	591.22	575.03	2664.15	463.65	454.09	1066.48	934.76	358.54	723.08	450.94	769.69	395.18	595.34	486.75	529.06	379.04	1540.37	1572.76	616.37	713.11	176.29	381.68	343.89	438.59	607.87	289.02	395.18	426.57	802.41	318.57	463.65	476.71	1183.45	921.88	497.0	1277.29	674.59	713.11	454.09	441.64	379.04	242.88	346.29	490.14	1199.98	463.65	941.27	896.64	493.56	412.0	293.07	197.09	236.21	273.37	988.12
KATNA1	172.65	603.67	836.53	684.02	543.96	595.34	438.59	314.17	327.56	389.72	309.83	503.95	358.54	336.79	329.84	295.11	403.5	423.61	403.5	224.97	420.68	381.68	420.68	332.14	351.14	432.53	348.71	291.04	305.55	269.6	438.59	220.32	323.03	198.47	444.72	226.54	275.28	307.69	205.5	400.71	361.04	182.55	332.14	204.07	279.14	269.6	267.73	209.84	291.04	316.37	279.14	366.09	244.57	297.17	289.02	303.44	258.57	281.09	253.23	218.79	231.32	156.59	275.28	423.61	387.02	283.05	248.0	307.69	234.57	271.48	356.05	164.42	232.94	217.27	223.41	220.32	221.86	231.32	325.29	318.57	312.0	384.34	149.12	262.2	277.2	236.21	231.32	242.88	148.09	271.48	444.72	256.78	115.16	258.57	181.28	212.78	381.68	277.2	234.57	212.78	301.33	303.44	197.09	318.57	269.6	206.94	336.79	237.86	353.59	403.5	325.29	301.33	218.79	180.02	197.09	162.14	316.37
KIAA1430	138.1	1127.35	961.07	718.08	796.86	1977.24	241.19	995.0	848.22	237.86	447.82	674.59	1088.92	490.14	638.15	733.19	693.58	703.28	656.11	258.57	1073.91	860.08	656.11	743.43	429.54	356.05	708.18	563.18	603.67	307.69	896.64	389.72	728.11	693.58	571.05	198.47	228.13	178.77	204.07	140.04	111.99	242.88	124.37	206.94	334.46	414.87	244.57	141.02	379.04	389.72	307.69	153.34	258.57	217.27	170.25	353.59	170.25	236.21	246.28	287.01	198.47	175.07	332.14	351.14	638.15	432.53	334.46	738.29	178.77	156.59	669.92	158.79	532.74	201.25	417.77	291.04	376.41	183.82	218.79	540.19	536.45	325.29	50.98	221.86	164.42	183.82	269.6	118.43	185.11	299.25	325.29	214.27	215.77	161.02	176.29	441.64	241.19	507.46	316.37	265.87	358.54	220.32	128.79	156.59	171.45	244.57	397.93	218.79	314.17	316.37	246.28	169.07	140.04	161.02	156.59	114.36	417.77
KIAA1586	244.57	220.32	244.57	281.09	137.14	473.41	82.87	111.99	110.43	112.77	187.71	121.79	262.2	128.79	180.02	134.3	123.5	139.07	205.5	178.77	182.55	158.79	143.01	118.43	119.26	122.64	164.42	107.38	140.04	221.86	171.45	217.27	121.79	169.07	144.01	55.49	86.43	66.65	36.79	140.04	69.03	31.0	60.39	65.72	68.07	69.52	67.59	37.32	82.29	74.58	62.56	67.12	56.28	88.88	32.59	96.68	47.17	147.06	59.97	59.13	85.82	38.95	41.52	92.7	145.02	81.14	63.45	94.01	57.49	46.18	111.99	41.52	72.52	71.5	91.41	142.01	58.3	60.82	75.11	112.77	94.67	60.82	18.43	106.63	57.49	77.79	63.89	76.71	33.54	81.71	128.79	53.95	36.27	60.39	62.56	72.52	92.7	134.3	62.12	82.87	74.58	87.65	19.82	58.71	43.94	51.71	76.71	36.01	73.03	81.14	58.71	48.87	17.0	43.63	10.71	5.87	125.24
KIF3A	42.11	262.2	305.55	242.88	149.12	242.88	73.03	136.19	133.36	74.58	102.97	229.72	202.66	114.36	169.07	142.01	135.24	152.28	118.43	118.43	285.03	206.94	108.9	94.01	90.77	169.07	218.79	145.02	107.38	67.59	141.02	175.07	164.42	395.18	170.25	96.68	140.04	80.57	85.82	101.54	54.72	70.51	129.69	100.13	122.64	92.7	92.7	62.56	148.09	101.54	120.94	85.22	57.08	85.22	59.97	90.14	48.52	202.66	99.43	96.01	59.97	63.89	99.43	105.15	164.42	125.24	95.34	191.67	212.78	68.55	96.01	96.01	165.57	93.35	111.99	105.89	95.34	90.14	90.14	134.3	95.34	90.77	17.51	70.51	63.45	52.45	53.57	53.19	85.82	86.43	134.3	116.78	72.01	58.3	67.59	87.03	101.54	149.12	80.01	61.68	103.69	71.5	25.72	64.8	44.57	102.25	92.05	72.01	110.43	92.7	66.65	76.71	53.57	35.25	40.07	35.0	136.19
LYRM2	277.2	1304.15	967.76	1030.12	819.3	1295.13	493.56	579.04	525.39	620.67	384.34	543.96	1199.98	669.92	665.29	603.67	567.1	353.59	591.22	1059.11	791.35	764.36	759.08	1051.79	414.87	1183.45	579.04	708.18	395.18	291.04	638.15	1008.9	575.03	995.0	651.58	236.21	463.65	361.04	244.57	356.05	295.11	320.8	612.11	400.71	299.25	325.29	371.22	297.17	363.56	417.77	279.14	432.53	323.03	381.68	122.64	381.68	295.11	507.46	438.59	497.0	339.14	208.38	409.15	466.88	616.37	403.5	490.14	713.11	177.53	260.38	651.58	353.59	620.67	309.83	532.74	579.04	392.44	327.56	366.09	406.31	457.25	392.44	109.66	406.31	297.17	346.29	312.0	341.51	289.02	444.72	629.35	273.37	94.01	346.29	703.28	406.31	379.04	934.76	432.53	368.65	356.05	376.41	145.02	497.0	341.51	285.03	587.13	269.6	559.28	497.0	373.81	473.41	441.64	293.07	255.0	209.84	872.1
LYSMD3	91.41	514.56	329.84	420.68	384.34	802.41	246.28	387.02	334.46	244.57	173.85	397.93	575.03	244.57	318.57	356.05	470.14	336.79	356.05	248.0	607.87	612.11	314.17	199.85	444.72	226.54	381.68	218.79	332.14	273.37	441.64	314.17	379.04	305.55	309.83	92.05	148.09	132.44	93.35	260.38	87.03	98.73	152.28	135.24	126.12	149.12	117.6	78.89	267.73	164.42	105.89	106.63	159.9	139.07	96.01	125.24	85.22	218.79	98.04	112.77	139.07	162.14	142.01	197.09	275.28	186.4	121.79	231.32	182.55	90.14	232.94	125.24	232.94	106.63	171.45	116.78	197.09	107.38	262.2	211.31	186.4	149.12	52.08	129.69	108.14	109.66	129.69	83.45	89.51	135.24	152.28	92.05	106.63	118.43	161.02	183.82	149.12	318.57	154.42	84.63	169.07	111.21	73.54	57.08	58.71	127.89	199.85	124.37	206.94	156.59	129.69	142.01	124.37	126.12	84.04	94.01	476.71
MARCH7	497.0	2682.69	1950.0	1896.65	2148.82	3716.2	718.08	1651.0	1662.49	1143.1	796.86	1977.24	1963.57	902.89	713.11	1295.13	1225.22	854.13	1639.59	796.86	1350.18	1963.57	902.89	974.5	1477.58	947.83	1127.35	928.3	902.89	688.78	1286.18	620.67	1191.69	1225.22	1066.48	332.14	775.05	397.93	181.28	775.05	281.09	343.89	417.77	444.72	540.19	543.96	500.46	329.84	688.78	656.11	684.02	409.15	361.04	642.59	218.79	575.03	271.48	738.29	551.56	547.75	376.41	384.34	447.82	599.49	759.08	660.68	447.82	802.41	525.39	327.56	651.58	371.22	693.58	368.65	563.18	583.07	559.28	343.89	540.19	684.02	660.68	389.72	156.59	595.34	400.71	332.14	341.51	363.56	336.79	647.07	759.08	368.65	291.04	438.59	353.59	595.34	915.51	1119.56	567.1	381.68	490.14	339.14	253.23	275.28	236.21	503.95	796.86	373.81	698.41	1001.93	1963.57	1199.98	356.05	366.09	441.64	348.71	1250.98
MBLAC2	28.45	131.51	204.07	208.38	204.07	323.03	75.64	120.1	87.03	39.5	83.45	189.02	182.55	58.3	80.57	106.63	115.16	78.89	108.9	82.29	236.21	214.27	82.87	82.87	123.5	94.67	130.6	70.51	100.83	55.1	95.34	128.79	124.37	90.77	77.25	31.45	50.27	57.49	32.36	83.45	17.0	45.53	49.91	40.07	50.98	48.18	38.12	30.34	96.01	55.1	63.0	41.52	33.06	60.39	33.54	58.71	24.11	128.79	48.18	37.85	46.5	56.68	72.52	82.29	74.58	65.26	47.17	76.17	67.59	38.67	80.01	57.89	81.14	40.07	75.64	58.71	60.82	31.0	93.35	90.14	53.19	48.52	10.88	61.68	34.02	33.78	65.72	30.56	36.01	36.79	65.26	43.02	38.67	24.46	46.84	74.58	42.71	79.45	71.0	50.98	73.03	46.5	18.16	25.35	41.22	40.07	77.25	35.5	89.51	47.84	43.32	74.58	35.5	36.01	32.13	29.7	71.0
MFAP3	115.97	638.15	450.94	819.3	480.04	854.13	866.07	571.05	616.37	587.13	764.36	638.15	884.29	400.71	353.59	679.29	934.76	551.56	563.18	312.0	866.07	909.17	511.0	363.56	555.41	366.09	759.08	305.55	718.08	237.86	796.86	567.1	995.0	698.41	521.76	198.47	289.02	217.27	144.01	325.29	180.02	157.68	236.21	255.0	281.09	258.57	262.2	148.09	429.54	314.17	223.41	129.69	214.27	166.73	90.14	256.78	158.79	323.03	249.73	239.52	190.34	201.25	279.14	301.33	447.82	303.44	279.14	567.1	271.48	146.03	293.07	209.84	371.22	191.67	297.17	194.36	283.05	142.01	318.57	346.29	356.05	285.03	131.51	148.09	180.02	165.57	165.57	140.04	165.57	291.04	260.38	172.65	181.28	151.22	209.84	371.22	239.52	450.94	273.37	132.44	307.69	195.72	175.07	197.09	105.15	206.94	381.68	178.77	325.29	332.14	444.72	275.28	175.07	133.36	121.79	142.01	287.01
MSH3	74.58	273.37	373.81	470.14	395.18	234.57	169.07	323.03	249.73	514.56	191.67	339.14	432.53	169.07	214.27	217.27	208.38	189.02	218.79	164.42	423.61	206.94	260.38	195.72	181.28	199.85	297.17	156.59	178.77	141.02	249.73	381.68	221.86	183.82	191.67	72.52	182.55	144.01	95.34	151.22	97.36	131.51	88.88	125.24	110.43	111.99	102.25	58.3	287.01	120.94	75.64	84.63	92.05	90.14	82.29	158.79	55.89	142.01	127.0	110.43	88.26	77.79	117.6	177.53	229.72	177.53	123.5	236.21	133.36	78.34	205.5	92.05	229.72	73.03	212.78	154.42	158.79	64.34	109.66	150.17	189.02	80.01	15.8	104.42	92.05	102.25	108.9	125.24	55.1	137.14	151.22	97.36	111.99	100.83	112.77	167.9	132.44	226.54	176.29	167.9	125.24	131.51	28.24	108.14	71.5	113.56	98.73	74.58	155.5	132.44	85.82	125.24	80.57	66.18	63.0	72.52	255.0
MTMR6	156.59	563.18	363.56	379.04	348.71	854.13	161.02	540.19	514.56	279.14	312.0	642.59	503.95	341.51	368.65	438.59	414.87	466.88	441.64	507.46	567.1	417.77	612.11	417.77	392.44	521.76	371.22	339.14	332.14	208.38	414.87	351.14	373.81	397.93	363.56	98.04	283.05	224.97	175.07	163.28	108.9	218.79	84.63	171.45	157.68	217.27	155.5	195.72	218.79	341.51	126.12	158.79	183.82	134.3	94.67	204.07	122.64	251.48	166.73	289.02	161.02	142.01	170.25	356.05	511.0	334.46	209.84	341.51	115.97	133.36	325.29	158.79	237.86	134.3	260.38	186.4	265.87	115.97	251.48	314.17	223.41	264.03	50.98	163.28	130.6	140.04	180.02	109.66	221.86	197.09	273.37	175.07	120.1	154.42	255.0	277.2	190.34	571.05	255.0	138.1	175.07	162.14	77.25	130.6	95.34	165.57	447.82	166.73	212.78	150.17	98.04	129.69	103.69	148.09	85.82	146.03	232.94
