	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.L5.A4OG.11A.12R.A260.31	GTEX.ZYWO.1126.SM.5U3SH	GTEX.XBED.1126.SM.48TCF	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.SNOS.0726.SM.4DM5Z	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.ZLFU.1026.SM.5EQMZ	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.UB.AA0V.01A.11R.A38B.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.HC.7079.01A.11R.1965.07	TCGA.KK.A8IC.01A.11R.A36G.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.VQ.A8P8.01A.11R.A39E.31
FAM13B	947.83	320.8	638.15	432.53	379.04	473.41	457.25	583.07	902.89	417.77	414.87	842.36	182.55	173.85	50.98	59.55	31.22	33.78	52.08	81.71	89.51	41.22	43.94	26.86	70.01	37.32	54.72	112.77	136.19	72.01	64.8	75.11	26.1	72.52	358.54	249.73	503.95	728.11	293.07
FAM83D	7749.1	212.78	3716.2	2163.77	2047.0	6381.92	1685.71	5633.22	2335.28	6079.61	8134.41	1225.22	82.29	56.28	4.74	22.75	10.24	12.55	17.38	87.03	42.11	97.36	11.13	31.0	74.58	395.18	57.89	9.63	21.94	18.29	20.56	30.56	11.55	91.41	348.71	244.57	169.07	10225.32	341.51
FAT4	341.51	83.45	194.36	113.56	130.6	149.12	128.79	134.3	334.46	111.21	141.02	221.86	59.55	53.95	18.56	27.05	22.59	30.34	17.13	19.39	83.45	29.27	33.78	39.79	6.78	53.95	17.64	17.51	95.34	36.01	30.78	45.21	15.68	24.99	46.84	25.54	115.97	329.84	62.56
FBN1	12076.21	1857.6	1397.83	995.0	1427.22	1119.56	1832.01	2303.12	1359.57	1662.49	2367.9	1769.57	967.76	301.33	70.51	115.16	18.56	34.02	39.22	24.81	123.5	51.35	49.21	38.67	33.06	21.32	57.49	98.04	175.07	27.64	77.79	113.56	61.25	72.52	490.14	656.11	802.41	2384.37	603.67
FBXL7	571.05	197.09	325.29	299.25	236.21	297.17	361.04	339.14	341.51	186.4	283.05	579.04	108.14	47.84	6.16	18.7	5.45	20.71	19.68	7.34	22.92	13.42	6.06	7.0	10.96	17.25	4.31	48.52	41.22	4.28	13.72	41.22	8.38	14.89	144.01	113.56	148.09	529.06	131.51
FGD1	170.25	110.43	106.63	82.87	154.42	61.68	153.34	105.15	102.97	78.89	102.25	85.82	52.08	36.27	13.32	14.89	9.63	9.56	13.93	11.04	12.09	16.88	7.11	18.43	8.78	9.63	31.0	6.11	10.55	50.63	17.51	21.01	7.51	15.34	91.41	96.68	54.33	202.66	70.01
FILIP1L	4010.71	830.75	3928.15	2451.44	2303.12	3665.02	1733.13	2224.63	2434.5	2047.0	2997.45	2319.15	718.08	392.44	112.77	132.44	51.35	81.14	145.02	123.5	267.73	132.44	212.78	52.82	88.88	173.85	305.55	217.27	285.03	79.45	392.44	497.0	595.34	277.2	1191.69	571.05	2417.67	3982.99	1508.65
GNB4	532.74	189.02	764.36	417.77	248.0	406.31	297.17	463.65	842.36	387.02	460.44	460.44	84.63	64.34	17.13	19.25	8.25	2.94	14.56	2.89	52.45	27.05	14.67	1.57	2.68	14.45	15.8	23.25	69.52	8.71	33.54	60.39	8.19	27.25	151.22	70.51	201.25	607.87	123.5
GNPDA2	457.25	316.37	409.15	511.0	414.87	470.14	376.41	450.94	429.54	339.14	423.61	435.55	143.01	104.42	28.04	63.0	49.21	36.01	37.85	48.18	92.7	35.25	42.71	87.65	37.59	19.39	27.05	69.03	68.07	67.12	43.63	62.56	10.88	37.05	258.57	314.17	285.03	348.71	258.57
HMCN1	1977.24	242.88	1030.12	381.68	275.28	656.11	363.56	599.49	1295.13	395.18	775.05	486.75	327.56	214.27	60.39	255.0	145.02	239.52	447.82	136.19	269.6	111.99	149.12	70.51	21.01	52.08	159.9	193.01	320.8	204.07	41.52	114.36	52.45	262.2	161.02	177.53	236.21	392.44	177.53
HS6ST3	22.75	34.51	60.82	19.25	22.43	45.21	12.93	102.25	50.27	44.57	30.34	46.5	1.1	0.0	1.75	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	6.01	6.21	72.52	2.63
IL6ST	2682.69	1119.56	2591.27	2351.53	1519.15	2915.45	1806.78	1697.45	2417.67	2004.85	2555.58	2682.69	1467.37	1651.0	1167.14	988.12	473.41	599.49	638.15	819.3	775.05	860.08	967.76	759.08	748.61	921.88	995.0	780.44	1073.91	759.08	802.41	1745.2	753.83	902.89	1175.27	1001.93	1498.22	2758.13	1111.82
IQGAP1	4066.71	2537.92	3982.99	2758.13	2061.24	3018.3	2682.69	3395.89	3235.01	2997.45	2976.74	3419.52	890.44	684.02	204.07	371.22	92.7	100.13	112.77	84.63	351.14	110.43	172.65	47.84	147.06	241.19	165.57	291.04	708.18	96.01	239.52	363.56	163.28	190.34	2835.7	1697.45	3589.58	4123.49	3982.99
ITGA9	555.41	180.02	503.95	234.57	206.94	236.21	285.03	423.61	633.73	244.57	351.14	366.09	341.51	281.09	96.01	236.21	96.68	49.91	64.8	36.79	320.8	65.72	48.87	66.65	115.97	64.34	95.34	126.12	293.07	57.49	169.07	180.02	37.59	90.77	111.21	94.01	205.5	713.11	165.57
JAM3	3280.18	507.46	1111.82	1066.48	1143.1	1242.34	934.76	1286.18	1369.04	909.17	1015.93	1059.11	271.48	186.4	44.57	72.01	48.18	29.48	53.19	25.54	104.42	32.13	30.34	31.22	37.05	56.68	28.45	41.81	84.04	39.22	42.71	71.0	16.27	57.08	476.71	353.59	493.56	1407.55	351.14
KCTD18	291.04	287.01	348.71	376.41	348.71	381.68	299.25	497.0	376.41	376.41	379.04	432.53	236.21	218.79	175.07	178.77	152.28	176.29	153.34	223.41	190.34	157.68	158.79	150.17	145.02	129.69	211.31	123.5	208.38	158.79	94.67	153.34	100.83	211.31	329.84	264.03	249.73	332.14	246.28
KIDINS220	860.08	525.39	1030.12	896.64	587.13	748.61	624.99	830.75	802.41	651.58	607.87	808.0	318.57	303.44	162.14	241.19	91.41	147.06	127.0	114.36	283.05	133.36	138.1	215.77	131.51	105.89	211.31	234.57	271.48	167.9	77.79	303.44	76.71	190.34	507.46	366.09	638.15	941.27	486.75
KITLG	802.41	665.29	1467.37	1081.39	633.73	1225.22	728.11	941.27	1639.59	612.11	1081.39	1685.71	121.79	94.67	23.42	48.52	6.01	15.34	14.45	18.16	58.3	37.85	12.09	18.16	4.98	63.0	31.45	9.78	47.17	26.1	38.12	70.51	7.17	63.45	376.41	108.9	587.13	1369.04	669.92
KLF7	426.57	275.28	403.5	547.75	325.29	603.67	368.65	473.41	651.58	624.99	447.82	493.56	105.89	98.04	212.78	201.25	15.0	46.84	88.88	37.05	275.28	70.51	38.4	65.72	31.0	148.09	249.73	152.28	102.97	27.44	6.62	293.07	22.75	32.36	211.31	177.53	283.05	555.41	164.42
LAMC1	8078.22	1447.15	2645.74	1991.0	1639.59	1936.53	2384.37	4607.24	2997.45	1923.14	2209.26	3212.66	1059.11	571.05	172.65	130.6	100.13	144.01	209.84	89.51	158.79	242.88	251.48	163.28	221.86	366.09	162.14	189.02	180.02	92.7	147.06	246.28	189.02	163.28	651.58	1088.92	830.75	4869.99	1457.23
MED13L	713.11	651.58	1208.34	921.88	660.68	890.44	830.75	981.29	1151.06	941.27	780.44	1073.91	231.32	228.13	157.68	138.1	66.65	152.28	83.45	91.41	172.65	69.03	61.68	147.06	127.0	61.68	140.04	135.24	120.1	156.59	58.3	90.14	47.5	132.44	607.87	426.57	684.02	988.12	414.87
MEIS1	4704.07	660.68	1304.15	1167.14	1233.75	1001.93	1322.37	1733.13	1313.23	896.64	1233.75	2090.03	182.55	122.64	44.57	78.89	45.21	61.25	47.5	35.0	147.06	42.11	30.56	23.76	71.0	59.55	45.53	66.65	124.37	49.56	77.25	100.13	18.56	45.53	412.0	271.48	713.11	1397.83	305.55
MSANTD4	366.09	172.65	366.09	316.37	316.37	368.65	202.66	267.73	379.04	291.04	429.54	312.0	113.56	92.05	14.89	41.22	36.79	82.87	191.67	137.14	17.51	80.01	26.1	23.93	57.08	33.06	46.84	81.71	109.66	37.32	43.63	47.5	6.89	96.01	189.02	146.03	208.38	211.31	153.34
MYO5A	208.38	151.22	260.38	198.47	204.07	215.77	201.25	253.23	205.5	173.85	265.87	285.03	104.42	38.67	8.99	31.0	14.03	11.64	25.54	10.96	11.73	4.94	15.11	2.73	12.64	9.41	47.17	65.26	72.52	20.86	15.34	21.63	19.97	29.91	262.2	154.42	194.36	312.0	92.05
NCKAP1	2271.4	1896.65	3515.68	2271.4	1697.45	2720.15	2163.77	2997.45	3515.68	2451.44	2875.3	3614.55	791.35	718.08	493.56	493.56	189.02	409.15	281.09	669.92	297.17	267.73	346.29	575.03	353.59	303.44	381.68	543.96	503.95	223.41	339.14	420.68	309.83	525.39	872.1	1378.57	1477.58	1991.0	2061.24
NCKAP5L	521.76	293.07	255.0	346.29	346.29	283.05	381.68	314.17	447.82	234.57	332.14	323.03	223.41	110.43	70.51	56.28	19.82	164.42	67.12	43.32	94.67	87.65	23.25	28.65	90.77	120.1	90.14	116.78	135.24	65.72	94.01	84.63	22.59	57.49	305.55	264.03	187.71	392.44	167.9
NCOA1	647.07	493.56	785.88	728.11	559.28	748.61	525.39	460.44	507.46	532.74	629.35	802.41	244.57	202.66	139.07	156.59	92.05	135.24	150.17	157.68	147.06	111.21	111.99	96.68	138.1	125.24	127.0	175.07	198.47	96.01	97.36	152.28	197.09	218.79	438.59	432.53	583.07	836.53	476.71
NUDT4	7180.15	759.08	2816.11	3955.48	3325.99	5219.6	1605.83	1359.57	3614.55	3349.13	4607.24	2400.97	830.75	616.37	543.96	718.08	358.54	629.35	305.55	753.83	1030.12	450.94	878.17	961.07	583.07	466.88	287.01	384.34	785.88	665.29	728.11	738.29	967.76	616.37	1806.78	2451.44	967.76	2047.0	1313.23
PCDH7	1561.89	432.53	1369.04	698.41	412.0	1225.22	890.44	1208.34	2627.46	406.31	1151.06	1119.56	52.08	17.13	0.0	7.75	14.78	3.56	5.96	1.43	10.39	19.11	2.63	1.81	3.2	4.78	0.39	0.29	20.41	4.17	3.14	1.89	1.81	7.11	236.21	104.42	198.47	1111.82	332.14
PCMTD1	1119.56	1001.93	1721.16	1096.5	1151.06	1051.79	1519.15	1447.15	1819.35	915.51	1388.16	1467.37	579.04	373.81	273.37	309.83	186.4	246.28	199.85	327.56	438.59	329.84	289.02	341.51	158.79	275.28	231.32	376.41	583.07	269.6	262.2	521.76	215.77	563.18	1015.93	878.17	1088.92	1540.37	854.13
PCNX	633.73	255.0	698.41	336.79	954.43	497.0	358.54	389.72	305.55	738.29	438.59	406.31	224.97	204.07	159.9	132.44	142.01	120.1	150.17	142.01	224.97	164.42	170.25	198.47	96.01	220.32	204.07	143.01	246.28	92.05	115.97	124.37	125.24	96.68	379.04	165.57	460.44	802.41	320.8
PDE3A	8078.22	115.97	808.0	346.29	256.78	457.25	423.61	547.75	981.29	206.94	426.57	607.87	89.51	38.67	8.65	57.89	13.93	7.94	11.04	9.63	42.71	7.82	4.24	7.94	5.5	81.14	14.67	6.84	46.18	10.08	16.39	24.99	6.94	21.01	105.89	69.03	80.57	507.46	120.1
PEAK1	525.39	283.05	493.56	376.41	260.38	486.75	409.15	629.35	1023.0	275.28	525.39	684.02	157.68	120.94	49.56	65.26	19.25	40.93	45.53	32.59	51.71	35.5	19.82	26.28	37.85	48.18	51.71	97.36	74.06	28.86	36.79	55.1	20.41	53.57	186.4	106.63	392.44	780.44	299.25
PIK3CA	447.82	220.32	669.92	329.84	283.05	351.14	327.56	470.14	599.49	387.02	563.18	567.1	159.9	131.51	97.36	102.97	32.13	58.71	66.18	78.89	76.17	74.58	108.14	59.13	108.9	78.34	69.03	144.01	144.01	51.35	72.52	102.97	102.25	66.65	249.73	244.57	241.19	503.95	237.86
PPP1R12A	6935.54	1030.12	3874.05	2335.28	1781.89	2240.11	2573.36	4972.34	4298.64	1519.15	2209.26	4972.34	366.09	253.23	132.44	199.85	75.64	123.5	89.51	133.36	162.14	122.64	117.6	104.42	123.5	74.06	100.83	244.57	231.32	182.55	147.06	169.07	71.0	129.69	872.1	669.92	2271.4	3589.58	1427.22
PPP3CB	1487.87	698.41	1277.29	947.83	748.61	961.07	974.5	1051.79	1378.57	802.41	860.08	1216.75	518.15	400.71	273.37	473.41	153.34	191.67	249.73	366.09	307.69	218.79	339.14	209.84	229.72	264.03	223.41	314.17	429.54	201.25	265.87	325.29	167.9	403.5	836.53	629.35	780.44	1143.1	674.59
PRDM2	679.29	629.35	802.41	620.67	607.87	543.96	759.08	642.59	642.59	563.18	536.45	698.41	226.54	154.42	220.32	199.85	139.07	181.28	137.14	133.36	275.28	93.35	135.24	236.21	147.06	104.42	94.01	204.07	232.94	228.13	111.99	167.9	84.04	110.43	698.41	514.56	713.11	769.69	397.93
PTBP2	1378.57	397.93	785.88	718.08	808.0	703.28	603.67	819.3	974.5	555.41	718.08	769.69	209.84	139.07	71.0	87.03	38.4	64.8	76.17	84.63	93.35	107.38	69.03	77.79	63.45	83.45	82.87	126.12	114.36	134.3	53.95	117.6	36.27	95.34	295.11	197.09	348.71	974.5	260.38
PTPLAD2	348.71	161.02	218.79	153.34	89.51	220.32	215.77	493.56	473.41	117.6	316.37	275.28	55.89	37.05	14.56	37.85	15.22	18.7	15.45	23.42	46.18	6.62	18.84	13.32	33.78	15.68	10.16	37.05	32.82	32.36	37.05	37.32	3.63	15.34	151.22	59.13	271.48	332.14	111.21
PTPN14	348.71	217.27	438.59	244.57	283.05	291.04	232.94	536.45	954.43	242.88	260.38	343.89	50.98	44.57	6.41	6.26	5.11	5.96	4.54	1.33	11.13	7.11	1.68	1.1	5.28	6.73	6.57	10.63	22.26	4.43	6.16	10.24	1.83	5.41	205.5	128.79	137.14	438.59	115.16
PYGO1	131.51	39.22	146.03	92.7	81.71	71.0	61.68	102.97	130.6	55.1	87.65	140.04	9.2	7.69	3.06	2.36	2.56	0.84	2.03	2.68	5.28	1.51	0.78	0.69	0.25	0.75	1.57	1.91	5.92	0.29	1.95	3.14	0.45	4.35	64.8	78.89	45.21	161.02	35.5
RABGAP1	1572.76	669.92	1662.49	1037.29	1008.9	1081.39	1295.13	1397.83	1733.13	785.88	1119.56	1561.89	379.04	242.88	87.65	140.04	108.9	131.51	150.17	96.68	211.31	164.42	148.09	135.24	69.52	91.41	140.04	150.17	217.27	185.11	89.51	197.09	87.65	150.17	612.11	723.08	500.46	1199.98	571.05
RANBP9	2591.27	591.22	1605.83	1447.15	921.88	1151.06	780.44	842.36	688.78	890.44	1023.0	1487.87	500.46	351.14	253.23	397.93	159.9	346.29	281.09	486.75	363.56	358.54	281.09	332.14	395.18	718.08	314.17	400.71	521.76	255.0	441.64	497.0	305.55	332.14	579.04	500.46	674.59	679.29	607.87
SCRN1	1605.83	420.68	1073.91	909.17	802.41	1001.93	915.51	1191.69	1250.98	748.61	1008.9	1242.34	150.17	130.6	35.25	30.12	26.1	22.43	17.64	10.71	152.28	14.24	14.14	9.06	2.89	11.82	10.96	27.05	101.54	15.45	23.59	31.9	4.13	18.43	599.49	329.84	435.55	974.5	532.74
SIPA1L2	591.22	297.17	400.71	346.29	463.65	587.13	339.14	309.83	336.79	432.53	444.72	417.77	236.21	125.24	56.68	30.56	41.81	31.45	8.19	48.52	35.76	30.56	8.51	33.3	127.0	53.95	100.83	20.86	29.7	63.0	13.52	92.05	18.03	59.97	260.38	217.27	154.42	679.29	271.48
SLC24A3	287.01	136.19	246.28	90.14	423.61	183.82	211.31	83.45	251.48	249.73	162.14	115.97	63.0	33.78	3.11	8.0	4.31	1.25	11.38	1.6	113.56	2.34	2.39	8.78	0.0	7.17	4.94	5.19	67.12	1.99	5.63	16.88	3.56	2.2	138.1	118.43	170.25	249.73	137.14
SNTB2	301.33	241.19	406.31	283.05	295.11	265.87	295.11	285.03	206.94	251.48	258.57	381.68	98.04	70.51	25.72	29.27	19.53	24.46	26.1	32.36	58.3	27.64	13.22	23.08	43.94	37.59	18.43	43.94	70.01	29.7	20.86	38.95	20.26	38.12	193.01	198.47	221.86	493.56	217.27
SOGA1	444.72	228.13	353.59	289.02	336.79	234.57	318.57	376.41	363.56	239.52	211.31	332.14	68.07	45.53	5.82	10.47	9.34	8.32	8.19	4.35	41.52	8.13	4.17	4.31	3.14	2.76	12.27	10.63	23.25	9.7	5.23	28.65	3.66	9.7	197.09	236.21	167.9	638.15	119.26
STXBP4	115.97	63.45	127.89	104.42	130.6	154.42	71.5	77.79	104.42	120.94	86.43	198.47	47.17	29.27	8.78	13.03	6.31	33.06	11.64	14.56	7.46	10.96	41.52	12.09	19.11	6.62	6.89	23.76	22.1	15.45	37.85	25.17	7.69	6.01	73.03	54.33	65.72	119.26	63.89
TRIM44	470.14	447.82	872.1	624.99	679.29	688.78	555.41	693.58	866.07	785.88	703.28	995.0	283.05	301.33	234.57	226.54	87.65	153.34	121.79	144.01	190.34	202.66	312.0	224.97	146.03	183.82	221.86	256.78	214.27	154.42	178.77	224.97	224.97	120.1	438.59	406.31	587.13	909.17	400.71
TWSG1	1923.14	450.94	1437.15	728.11	647.07	764.36	860.08	915.51	1313.23	616.37	902.89	1183.45	249.73	156.59	37.59	92.7	31.22	30.12	41.22	81.71	53.19	39.5	66.18	27.25	55.89	66.65	32.59	115.16	136.19	26.28	66.65	71.0	75.11	153.34	579.04	521.76	629.35	1081.39	679.29
UBE2Q2	854.13	500.46	1015.93	1015.93	669.92	928.3	785.88	1073.91	1216.75	616.37	941.27	1111.82	258.57	228.13	84.04	100.83	55.1	33.78	55.1	41.81	69.52	22.1	43.94	20.26	30.12	36.53	63.0	120.94	110.43	32.36	39.22	72.01	30.56	125.24	571.05	616.37	769.69	1044.52	674.59
USP47	1088.92	961.07	1594.73	1143.1	896.64	1457.23	1023.0	1286.18	1208.34	1369.04	1242.34	1605.83	651.58	607.87	438.59	376.41	514.56	540.19	583.07	595.34	525.39	414.87	384.34	417.77	511.0	412.0	432.53	529.06	575.03	426.57	397.93	543.96	483.38	392.44	674.59	753.83	981.29	941.27	713.11
WDR47	295.11	193.01	312.0	201.25	173.85	226.54	154.42	251.48	312.0	119.26	256.78	332.14	90.77	55.89	12.36	38.4	28.45	28.65	23.76	37.32	37.05	33.06	13.22	28.45	40.07	20.56	37.32	40.64	34.02	33.78	15.91	55.49	7.82	38.67	125.24	133.36	155.5	197.09	115.97
ZDHHC17	638.15	466.88	497.0	514.56	389.72	473.41	373.81	507.46	543.96	371.22	417.77	454.09	232.94	236.21	94.67	94.01	44.25	62.56	88.26	81.14	190.34	105.15	69.52	105.15	89.51	70.51	109.66	138.1	180.02	123.5	89.51	166.73	37.32	147.06	395.18	264.03	540.19	665.29	258.57
ZFYVE9	323.03	255.0	384.34	295.11	249.73	289.02	343.89	356.05	525.39	221.86	329.84	417.77	169.07	176.29	91.41	75.11	102.25	73.54	84.63	93.35	85.82	121.79	102.97	121.79	87.03	102.25	112.77	110.43	111.99	87.03	68.07	80.57	132.44	83.45	176.29	193.01	178.77	253.23	157.68
