	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.BP.4342.01A.01R.1289.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.85.A4PA.01A.11R.A24Z.07
ARHGAP22	142.01	166.73	275.28	172.65	115.97	177.53	104.42	195.72	106.63	236.21	90.77	264.03	74.58	89.51	277.2	35.5	115.97	187.71	171.45	201.25	148.09	92.7	273.37	148.09	155.5	148.09	256.78	329.84	151.22	131.51	147.06	212.78	175.07	140.04	155.5	6.31	83.45	237.86	248.0	237.86	205.5	176.29	126.12	147.06	39.5	125.24	129.69	55.1	144.01	59.97	221.86	197.09	314.17
C11orf35	161.02	78.89	115.97	82.87	138.1	157.68	93.35	46.84	111.21	156.59	176.29	108.14	17.25	78.34	96.68	27.25	29.91	156.59	205.5	94.67	150.17	146.03	157.68	99.43	59.97	17.64	62.12	371.22	49.56	152.28	59.55	100.13	74.06	71.5	86.43	55.89	87.03	103.69	84.04	141.02	143.01	96.01	183.82	52.45	48.52	62.56	60.82	80.01	100.13	60.39	189.02	183.82	148.09
C1orf159	191.67	88.88	92.7	105.89	143.01	154.42	83.45	77.79	81.14	323.03	173.85	177.53	41.22	111.21	152.28	27.05	47.5	145.02	191.67	218.79	180.02	135.24	231.32	144.01	61.25	66.65	80.01	279.14	72.01	148.09	98.04	145.02	189.02	94.01	107.38	37.59	94.01	206.94	142.01	172.65	180.02	92.05	237.86	133.36	85.82	66.65	109.66	81.71	166.73	78.89	389.72	395.18	387.02
C20orf144	2.61	1.89	1.95	1.55	2.01	1.97	0.0	0.41	1.48	5.77	1.48	1.71	2.12	1.08	3.0	0.0	0.0	1.97	3.89	1.5	3.06	1.19	3.2	2.48	1.48	0.4	0.4	5.59	0.39	2.51	1.17	1.81	2.27	0.39	1.87	0.0	0.38	5.5	2.27	3.23	2.29	2.66	1.77	3.14	0.83	0.39	0.41	1.55	2.84	0.75	12.55	19.97	6.52
CAPN10	336.79	173.85	244.57	224.97	387.02	275.28	149.12	208.38	239.52	866.07	379.04	392.44	82.29	141.02	223.41	108.9	110.43	473.41	607.87	301.33	329.84	318.57	202.66	177.53	129.69	127.89	173.85	547.75	145.02	262.2	237.86	273.37	309.83	253.23	197.09	182.55	226.54	226.54	175.07	339.14	463.65	361.04	423.61	242.88	224.97	116.78	269.6	98.04	291.04	177.53	796.86	909.17	1286.18
CDK11A	595.34	220.32	620.67	559.28	603.67	414.87	392.44	171.45	258.57	2935.74	579.04	836.53	124.37	334.46	665.29	130.6	148.09	603.67	1088.92	624.99	791.35	420.68	769.69	356.05	309.83	373.81	232.94	1709.26	327.56	813.63	348.71	693.58	543.96	305.55	392.44	17.77	229.72	808.0	476.71	728.11	1286.18	476.71	579.04	587.13	197.09	287.01	555.41	228.13	651.58	199.85	1745.2	1806.78	3443.31
CDK3	320.8	72.01	120.1	131.51	305.55	126.12	74.58	94.67	79.45	780.44	209.84	251.48	31.9	59.55	239.52	60.82	78.34	269.6	329.84	265.87	283.05	94.01	429.54	119.26	128.79	37.32	70.51	525.39	98.04	264.03	84.63	260.38	285.03	111.21	87.03	49.91	105.15	205.5	106.63	221.86	460.44	165.57	251.48	125.24	78.34	110.43	197.09	42.71	201.25	38.95	403.5	497.0	476.71
CENPT	669.92	435.55	493.56	551.56	679.29	543.96	325.29	251.48	423.61	2502.97	540.19	915.51	158.79	381.68	825.0	183.82	267.73	1037.29	1008.9	665.29	902.89	387.02	1015.93	420.68	476.71	234.57	312.0	1617.0	281.09	836.53	389.72	684.02	551.56	389.72	291.04	262.2	316.37	909.17	500.46	728.11	1331.57	775.05	785.88	521.76	351.14	348.71	612.11	327.56	500.46	299.25	1594.73	1096.5	1923.14
CHRNA10	17.25	6.84	13.62	14.03	19.82	12.64	2.97	4.1	2.63	44.57	27.64	19.25	4.82	5.45	22.59	4.1	5.68	18.84	28.45	16.88	23.93	18.29	10.39	51.35	4.13	2.41	4.74	30.56	6.94	12.18	9.78	21.32	20.56	3.86	4.94	0.0	9.78	15.22	9.93	15.22	16.15	87.03	9.27	14.24	4.62	4.21	5.68	4.7	10.39	2.66	23.42	33.06	37.05
CHTF18	143.01	153.34	156.59	85.82	140.04	149.12	112.77	67.59	102.97	679.29	129.69	253.23	29.06	60.39	144.01	37.85	61.25	228.13	329.84	115.97	115.97	142.01	248.0	92.7	82.87	67.59	83.45	392.44	47.5	171.45	114.36	217.27	128.79	113.56	116.78	24.81	94.01	193.01	199.85	172.65	353.59	134.3	312.0	138.1	109.66	77.25	127.0	63.45	158.79	53.95	476.71	329.84	1023.0
CRYGS	123.5	65.26	60.39	74.06	127.0	76.17	6.11	17.0	15.22	218.79	88.26	117.6	32.59	21.16	96.68	17.0	18.43	121.79	139.07	123.5	111.21	32.82	40.07	67.12	44.25	14.14	43.02	214.27	22.1	56.68	61.68	62.12	98.73	45.85	23.08	4.13	21.47	106.63	55.89	67.12	127.0	72.52	90.77	81.14	30.12	9.41	86.43	25.17	45.85	39.5	141.02	131.51	176.29
CSAD	1250.98	145.02	327.56	316.37	1378.57	718.08	153.34	151.22	305.55	2777.33	476.71	796.86	81.14	232.94	718.08	50.27	120.94	934.76	1059.11	836.53	854.13	392.44	1225.22	316.37	248.0	136.19	148.09	2384.37	265.87	679.29	267.73	612.11	813.63	246.28	211.31	35.76	193.01	791.35	303.44	769.69	1508.65	780.44	1037.29	343.89	246.28	82.87	1096.5	111.99	483.38	190.34	1745.2	1709.26	1304.15
DENND4B	713.11	255.0	483.38	599.49	981.29	426.57	366.09	214.27	271.48	2739.08	624.99	718.08	195.72	283.05	791.35	132.44	198.47	928.3	1104.13	688.78	651.58	438.59	796.86	409.15	400.71	231.32	202.66	1519.15	363.56	647.07	358.54	638.15	555.41	271.48	435.55	52.08	283.05	733.19	417.77	947.83	1008.9	848.22	780.44	507.46	224.97	260.38	728.11	215.77	435.55	242.88	1359.57	1519.15	2997.45
DGKQ	104.42	55.89	166.73	130.6	130.6	169.07	100.83	88.26	134.3	231.32	90.14	171.45	35.5	120.94	107.38	44.89	71.5	127.89	231.32	140.04	143.01	110.43	132.44	170.25	67.12	80.01	76.71	136.19	92.7	105.89	114.36	153.34	105.89	76.71	80.57	23.93	65.26	122.64	113.56	133.36	108.14	134.3	152.28	115.97	76.17	73.03	117.6	71.5	122.64	83.45	318.57	325.29	435.55
DHX34	206.94	138.1	170.25	166.73	299.25	145.02	155.5	57.49	126.12	346.29	202.66	229.72	76.17	103.69	189.02	49.56	66.18	289.02	281.09	232.94	214.27	140.04	253.23	133.36	105.15	83.45	199.85	316.37	112.77	229.72	189.02	172.65	212.78	197.09	144.01	10.71	118.43	189.02	151.22	205.5	293.07	161.02	281.09	141.02	93.35	102.25	180.02	98.73	209.84	129.69	332.14	384.34	483.38
DHX58	325.29	384.34	679.29	332.14	389.72	397.93	318.57	223.41	441.64	1806.78	743.43	583.07	185.11	323.03	483.38	218.79	327.56	486.75	808.0	579.04	536.45	470.14	466.88	457.25	346.29	348.71	361.04	819.3	212.78	289.02	320.8	551.56	454.09	289.02	305.55	25.35	293.07	373.81	435.55	511.0	525.39	379.04	679.29	392.44	271.48	320.8	329.84	226.54	454.09	221.86	884.29	1015.93	860.08
DTX2	353.59	507.46	429.54	400.71	435.55	371.22	291.04	234.57	444.72	563.18	511.0	642.59	253.23	236.21	275.28	264.03	193.01	583.07	529.06	381.68	351.14	318.57	339.14	785.88	318.57	366.09	273.37	860.08	234.57	423.61	249.73	379.04	423.61	395.18	303.44	66.65	206.94	325.29	493.56	500.46	642.59	371.22	511.0	406.31	511.0	301.33	246.28	277.2	486.75	220.32	718.08	1051.79	791.35
DVL3	854.13	414.87	647.07	728.11	796.86	647.07	525.39	483.38	738.29	988.12	543.96	896.64	289.02	551.56	764.36	346.29	299.25	743.43	819.3	536.45	669.92	444.72	813.63	819.3	414.87	480.04	587.13	1268.46	656.11	808.0	612.11	866.07	679.29	603.67	656.11	133.36	559.28	1015.93	890.44	796.86	934.76	693.58	674.59	860.08	591.22	450.94	703.28	543.96	633.73	463.65	1051.79	1030.12	884.29
EDC4	796.86	669.92	728.11	674.59	830.75	698.41	620.67	514.56	642.59	1119.56	575.03	967.76	316.37	674.59	753.83	258.57	406.31	954.43	934.76	599.49	830.75	518.15	624.99	438.59	583.07	444.72	603.67	1467.37	607.87	872.1	532.74	703.28	633.73	733.19	620.67	314.17	620.67	723.08	656.11	684.02	941.27	813.63	825.0	733.19	473.41	620.67	620.67	361.04	941.27	447.82	1331.57	1191.69	1757.34
ENTHD2	329.84	144.01	205.5	299.25	353.59	231.32	163.28	101.54	143.01	1594.73	303.44	414.87	63.89	147.06	414.87	73.03	83.45	447.82	583.07	444.72	384.34	214.27	441.64	334.46	205.5	136.19	187.71	819.3	125.24	264.03	182.55	376.41	255.0	166.73	166.73	35.25	135.24	429.54	229.72	463.65	521.76	351.14	309.83	269.6	106.63	117.6	251.48	88.88	206.94	131.51	1151.06	1096.5	1832.01
EP400NL	86.43	46.5	90.77	108.9	169.07	102.97	92.7	17.13	56.28	486.75	73.03	116.78	35.25	48.52	67.59	16.63	20.41	129.69	145.02	69.03	78.89	63.0	73.54	63.89	63.0	55.1	49.91	246.28	43.02	105.89	63.89	116.78	75.64	62.56	66.65	13.52	35.5	187.71	78.89	135.24	182.55	66.18	121.79	112.77	55.89	27.84	62.56	31.0	74.06	36.27	239.52	275.28	392.44
FLJ00104	50.98	16.27	24.11	29.91	34.26	44.57	15.68	17.77	31.67	175.07	28.04	52.82	11.21	22.43	42.41	4.46	7.94	54.33	47.17	29.91	40.36	16.27	31.9	15.0	16.03	7.51	18.03	126.12	21.47	50.98	17.13	40.64	61.25	35.25	21.01	2.01	28.86	49.21	26.28	71.5	41.81	57.89	30.56	26.28	17.38	11.73	26.1	14.03	27.44	21.47	79.45	96.01	194.36
FRS3	85.82	28.24	71.5	80.01	77.79	70.01	89.51	41.81	73.54	186.4	98.73	88.88	17.51	46.18	82.87	24.99	44.57	94.01	105.15	108.14	148.09	62.12	167.9	68.07	96.68	56.68	59.55	111.99	50.27	76.17	70.01	118.43	87.03	59.97	53.95	16.51	71.0	120.94	90.14	96.68	85.82	70.01	105.89	92.05	53.57	56.68	66.65	33.3	112.77	50.63	209.84	297.17	169.07
GIGYF1	629.35	107.38	226.54	353.59	669.92	269.6	158.79	103.69	202.66	1066.48	341.51	423.61	120.94	165.57	599.49	33.78	64.8	607.87	521.76	336.79	473.41	228.13	497.0	332.14	163.28	116.78	173.85	954.43	211.31	366.09	212.78	332.14	463.65	206.94	195.72	22.26	172.65	435.55	256.78	587.13	575.03	466.88	287.01	246.28	195.72	214.27	483.38	146.03	318.57	180.02	909.17	915.51	947.83
GOLGA8B	872.1	56.68	303.44	297.17	1059.11	199.85	57.89	44.89	120.1	2976.74	575.03	830.75	74.06	107.38	813.63	34.51	151.22	559.28	1709.26	995.0	866.07	283.05	1733.13	218.79	327.56	70.01	150.17	2303.12	191.67	361.04	258.57	228.13	603.67	209.84	232.94	20.26	143.01	532.74	197.09	748.61	764.36	1104.13	334.46	291.04	85.22	37.05	674.59	57.89	579.04	145.02	1540.37	1561.89	3395.89
GSDMB	176.29	68.07	248.0	119.26	187.71	148.09	52.08	13.72	41.81	1208.34	136.19	423.61	34.51	55.1	189.02	27.84	50.27	198.47	521.76	297.17	204.07	68.07	121.79	98.73	71.0	31.67	38.95	493.56	63.89	212.78	50.63	178.77	101.54	74.58	38.4	0.0	42.71	312.0	74.58	228.13	384.34	154.42	92.05	108.14	38.4	11.73	116.78	24.28	121.79	32.82	830.75	915.51	848.22
IDUA	303.44	214.27	389.72	223.41	351.14	392.44	283.05	197.09	105.15	571.05	166.73	423.61	221.86	182.55	248.0	90.14	101.54	327.56	591.22	258.57	318.57	329.84	244.57	279.14	84.63	157.68	116.78	713.11	177.53	420.68	214.27	356.05	215.77	182.55	137.14	28.04	178.77	361.04	253.23	387.02	371.22	353.59	395.18	226.54	146.03	175.07	237.86	108.9	299.25	165.57	759.08	872.1	660.68
KAT2A	728.11	239.52	395.18	366.09	743.43	473.41	189.02	221.86	334.46	2209.26	684.02	660.68	214.27	289.02	1051.79	249.73	199.85	974.5	1378.57	1008.9	718.08	403.5	1073.91	579.04	334.46	271.48	295.11	1350.18	314.17	890.44	353.59	629.35	633.73	400.71	381.68	64.34	334.46	854.13	384.34	698.41	1073.91	656.11	665.29	500.46	264.03	275.28	723.08	183.82	426.57	183.82	1685.71	1977.24	1963.57
KCTD13	301.33	206.94	417.77	267.73	381.68	279.14	232.94	81.14	297.17	802.41	320.8	444.72	130.6	223.41	269.6	134.3	115.16	373.81	647.07	376.41	392.44	297.17	358.54	363.56	190.34	159.9	183.82	961.07	224.97	303.44	269.6	242.88	358.54	334.46	271.48	67.59	170.25	368.65	320.8	384.34	518.15	387.02	579.04	289.02	115.16	198.47	239.52	186.4	346.29	180.02	532.74	595.34	848.22
KLHL17	199.85	34.75	81.71	113.56	193.01	124.37	36.01	25.72	59.13	389.72	108.14	182.55	27.64	55.89	202.66	8.38	33.3	169.07	368.65	249.73	186.4	94.67	211.31	77.25	49.21	37.32	21.32	329.84	49.21	156.59	42.41	132.44	138.1	57.49	65.26	9.34	62.56	161.02	114.36	208.38	236.21	112.77	198.47	100.83	71.0	30.34	132.44	28.24	91.41	33.78	435.55	389.72	543.96
MAP3K10	318.57	72.52	199.85	185.11	363.56	127.89	128.79	63.0	132.44	414.87	193.01	187.71	35.5	128.79	205.5	30.56	55.49	221.86	376.41	285.03	221.86	144.01	214.27	283.05	78.34	122.64	159.9	363.56	102.25	237.86	148.09	158.79	205.5	127.0	124.37	25.17	82.29	255.0	152.28	258.57	226.54	206.94	234.57	228.13	114.36	99.43	169.07	94.67	194.36	128.79	269.6	220.32	409.15
MBD6	1023.0	441.64	723.08	616.37	1225.22	718.08	733.19	470.14	713.11	1304.15	599.49	915.51	420.68	348.71	819.3	140.04	215.77	902.89	1183.45	665.29	780.44	603.67	830.75	733.19	447.82	543.96	497.0	981.29	363.56	854.13	547.75	954.43	738.29	656.11	571.05	112.77	480.04	872.1	624.99	961.07	872.1	713.11	988.12	559.28	603.67	587.13	642.59	334.46	718.08	476.71	1551.09	1832.01	1896.65
MC1R	115.97	54.33	70.01	67.59	113.56	101.54	116.78	70.51	98.04	325.29	110.43	127.0	9.27	57.08	82.87	19.97	34.02	124.37	92.05	130.6	94.67	106.63	105.15	84.04	25.72	34.02	58.71	414.87	44.89	77.25	62.56	78.89	89.51	56.28	49.56	2.07	21.01	118.43	43.94	172.65	90.77	287.01	167.9	100.83	59.97	31.67	87.03	33.54	96.01	32.36	156.59	156.59	198.47
MIB2	688.78	260.38	283.05	460.44	748.61	620.67	214.27	279.14	325.29	1295.13	490.14	536.45	155.5	301.33	629.35	137.14	217.27	595.34	842.36	642.59	848.22	525.39	928.3	476.71	242.88	166.73	307.69	941.27	371.22	633.73	271.48	507.46	514.56	255.0	256.78	215.77	172.65	583.07	441.64	703.28	796.86	368.65	693.58	397.93	432.53	303.44	384.34	251.48	595.34	224.97	1583.71	1340.84	1111.82
NAT9	753.83	320.8	543.96	547.75	748.61	591.22	291.04	323.03	348.71	1015.93	638.15	547.75	141.02	316.37	532.74	301.33	231.32	595.34	974.5	679.29	536.45	368.65	769.69	460.44	371.22	351.14	587.13	909.17	417.77	638.15	429.54	543.96	559.28	473.41	450.94	98.73	320.8	718.08	450.94	753.83	813.63	688.78	872.1	450.94	507.46	363.56	620.67	384.34	414.87	217.27	813.63	1044.52	1073.91
OCM	4.1	0.0	6.57	3.47	4.43	3.14	8.71	2.41	1.11	11.91	5.5	6.36	0.0	4.66	0.0	0.0	0.0	3.53	6.21	1.5	6.78	3.56	9.56	2.14	4.43	0.0	0.0	13.32	2.29	1.27	0.0	2.86	2.27	1.14	1.13	0.0	1.81	2.94	3.79	4.31	7.82	6.01	2.48	4.7	0.0	0.0	0.0	1.55	7.46	1.11	7.88	6.21	36.79
OSBPL7	194.36	51.35	120.1	129.69	166.73	124.37	101.54	82.87	120.94	698.41	125.24	186.4	25.72	96.01	244.57	29.7	50.98	183.82	256.78	128.79	228.13	93.35	236.21	104.42	92.7	103.69	118.43	403.5	73.54	155.5	74.06	241.19	108.9	117.6	148.09	4.86	81.14	211.31	109.66	269.6	217.27	224.97	155.5	141.02	55.1	94.67	115.97	46.84	201.25	78.34	460.44	329.84	540.19
PABPC1L	1457.23	303.44	473.41	283.05	995.0	363.56	111.21	41.22	176.29	2351.53	669.92	432.53	151.22	108.9	909.17	53.95	135.24	1096.5	2319.15	1008.9	583.07	616.37	819.3	825.0	301.33	83.45	119.26	1277.29	575.03	802.41	212.78	708.18	785.88	214.27	490.14	4.66	134.3	599.49	201.25	934.76	1167.14	651.58	1088.92	305.55	204.07	49.91	1023.0	102.25	432.53	106.63	1540.37	1936.53	1963.57
PGS1	612.11	299.25	514.56	842.36	633.73	571.05	514.56	285.03	346.29	1008.9	412.0	612.11	224.97	511.0	679.29	262.2	291.04	688.78	842.36	511.0	500.46	403.5	791.35	563.18	547.75	417.77	376.41	733.19	525.39	651.58	406.31	733.19	599.49	532.74	521.76	80.57	346.29	825.0	607.87	733.19	575.03	599.49	738.29	579.04	237.86	356.05	397.93	307.69	525.39	320.8	1322.37	1277.29	995.0
PIDD	329.84	81.71	193.01	154.42	186.4	182.55	120.94	64.8	96.01	642.59	193.01	220.32	27.05	91.41	236.21	33.3	28.04	224.97	381.68	231.32	185.11	152.28	638.15	162.14	88.88	74.06	118.43	563.18	74.06	361.04	87.03	223.41	161.02	117.6	154.42	127.0	91.41	303.44	121.79	473.41	234.57	169.07	255.0	208.38	105.15	60.39	138.1	82.87	234.57	50.98	532.74	703.28	1051.79
PILRB	1781.89	244.57	890.44	599.49	2047.0	954.43	217.27	81.14	281.09	3235.01	1037.29	1498.22	141.02	164.42	1457.23	170.25	152.28	1487.87	1674.06	1044.52	1519.15	486.75	1225.22	579.04	518.15	170.25	126.12	7130.55	237.86	616.37	260.38	703.28	1208.34	669.92	301.33	31.45	273.37	1508.65	603.67	1594.73	2209.26	1030.12	890.44	684.02	351.14	236.21	1745.2	137.14	575.03	201.25	2664.15	1757.34	4607.24
PNKP	813.63	441.64	674.59	532.74	775.05	518.15	444.72	406.31	426.57	1216.75	536.45	785.88	228.13	420.68	525.39	248.0	175.07	738.29	1008.9	525.39	642.59	679.29	490.14	373.81	309.83	371.22	336.79	1030.12	400.71	595.34	551.56	647.07	457.25	454.09	417.77	808.0	281.09	559.28	503.95	759.08	780.44	536.45	713.11	723.08	890.44	414.87	483.38	409.15	703.28	293.07	1127.35	1023.0	1697.45
