	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	GTEX.WHSB.0326.SM.5FQSD	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.P4QS.0526.SM.2I3ET	GTEX.13VXT.1426.SM.5LU4B	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.UJMC.0726.SM.3GADX	GTEX.QEG5.1126.SM.33HC2	TCGA.33.4589.01A.01R.1443.07
PPP1R13B	103.69	91.41	171.45	0.0	848.22	301.33	1225.22	1407.55	470.14	575.03	265.87	854.13	540.19	1457.23	1001.93	303.44	2090.03	329.84	934.76	1096.5	974.5	1259.69	303.44	150.17	1572.76	674.59	376.41	529.06	1322.37	409.15	780.44	995.0	713.11	60.82
RAB11FIP3	172.65	110.43	116.78	0.0	660.68	255.0	660.68	878.17	414.87	463.65	194.36	559.28	414.87	444.72	620.67	258.57	890.44	368.65	466.88	693.58	698.41	1183.45	241.19	191.67	665.29	343.89	209.84	575.03	802.41	389.72	713.11	878.17	457.25	71.0
RHBDF1	226.54	146.03	343.89	0.0	551.56	305.55	728.11	703.28	373.81	514.56	297.17	642.59	329.84	947.83	563.18	412.0	1059.11	466.88	543.96	684.02	595.34	1199.98	301.33	309.83	1397.83	320.8	229.72	616.37	525.39	356.05	698.41	961.07	633.73	275.28
RTKN2	7.94	71.0	12.93	0.0	2997.45	220.32	1870.53	2573.36	624.99	909.17	486.75	1119.56	753.83	2119.22	3372.43	688.78	2351.53	178.77	1936.53	1639.59	1662.49	3257.52	599.49	170.25	1519.15	941.27	234.57	507.46	2178.83	909.17	1340.84	3467.27	802.41	42.41
RUFY3	72.52	190.34	136.19	0.0	616.37	346.29	525.39	429.54	381.68	514.56	289.02	595.34	327.56	669.92	647.07	381.68	1331.57	356.05	718.08	995.0	620.67	1896.65	587.13	234.57	651.58	483.38	329.84	358.54	693.58	303.44	909.17	1001.93	518.15	65.72
SFTPB	21.16	571.05	2.12	22692.63	3049200.37	1556634.79	3290783.22	2617937.91	1890058.21	1890058.21	565825.41	2343119.96	2767207.65	1336472.68	2691538.19	2408994.05	2825352.59	875652.15	2884719.27	2691538.19	3223059.86	1825675.85	2845004.48	381149.17	3156730.23	5057523.59	2493947.08	2068278.89	2599854.48	3245478.02	2359417.65	2216726.5	2546350.23	14.78
SLC25A27	16.75	9.2	36.53	0.0	164.42	28.86	95.34	92.7	69.52	39.5	23.76	220.32	73.54	447.82	170.25	74.58	379.04	31.22	148.09	381.68	154.42	703.28	30.12	28.04	334.46	103.69	15.11	46.84	182.55	95.34	540.19	212.78	202.66	6.06
SLC25A29	43.02	75.11	204.07	0.0	780.44	339.14	872.1	435.55	368.65	547.75	208.38	775.05	371.22	2468.49	902.89	429.54	1745.2	409.15	1477.58	1023.0	656.11	1639.59	281.09	125.24	1540.37	629.35	221.86	473.41	1104.13	406.31	915.51	1233.75	435.55	161.02
SRSF5	2224.63	2090.03	2935.74	3491.39	7433.4	5441.3	8538.88	6250.56	5329.3	4671.57	2796.65	6207.38	4639.29	9151.82	7433.4	4358.66	10225.32	2956.17	9025.81	13968.57	7857.29	6294.04	4607.24	2739.08	8421.31	6337.83	2935.74	6037.61	7433.4	4268.94	7537.18	7180.15	5183.54	3614.55
STARD9	13.42	18.29	5.63	0.0	101.54	40.64	218.79	198.47	57.08	109.66	27.84	158.79	75.11	155.5	197.09	72.01	208.38	55.49	125.24	176.29	198.47	305.55	33.78	23.76	111.21	49.91	16.88	100.13	101.54	55.49	60.82	187.71	65.26	3.96
TBC1D17	218.79	226.54	217.27	0.0	1216.75	587.13	1745.2	1277.29	981.29	896.64	633.73	1199.98	612.11	1819.35	1733.13	1127.35	947.83	629.35	1369.04	1757.34	1594.73	1427.22	651.58	753.83	1388.16	1037.29	785.88	854.13	1427.22	764.36	1388.16	1397.83	753.83	211.31
TBC1D2B	144.01	100.13	231.32	0.0	915.51	279.14	759.08	866.07	435.55	432.53	353.59	954.43	660.68	536.45	571.05	511.0	1359.57	387.02	579.04	1044.52	728.11	1350.18	223.41	267.73	1030.12	450.94	239.52	395.18	713.11	497.0	921.88	543.96	1015.93	108.14
TENC1	80.01	162.14	80.01	0.0	3768.09	981.29	4736.79	3419.52	1819.35	2075.59	483.38	3235.01	1378.57	4481.23	4639.29	4298.64	3665.02	1242.34	3395.89	3768.09	3325.99	4836.35	1457.23	1015.93	3665.02	2720.15	1286.18	2287.2	5076.84	2148.82	2682.69	5183.54	3419.52	37.85
TMEM178A	1.27	0.78	0.0	0.0	153.34	75.64	89.51	64.8	75.11	18.97	5.82	68.55	57.08	138.1	117.6	125.24	234.57	32.13	142.01	180.02	40.93	287.01	31.67	9.48	100.83	128.79	42.41	44.89	121.79	50.98	173.85	206.94	107.38	1.38
TPCN1	267.73	127.0	172.65	896.64	759.08	361.04	1304.15	947.83	329.84	486.75	351.14	836.53	603.67	1242.34	1359.57	511.0	995.0	417.77	1081.39	1208.34	802.41	1529.73	332.14	187.71	1104.13	476.71	305.55	507.46	1313.23	309.83	842.36	1088.92	878.17	100.13
TRIM3	56.28	94.67	102.25	0.0	186.4	185.11	209.84	287.01	166.73	204.07	144.01	299.25	144.01	435.55	307.69	172.65	348.71	178.77	267.73	186.4	332.14	490.14	115.16	151.22	356.05	137.14	94.01	234.57	239.52	183.82	246.28	384.34	187.71	61.25
TUBG2	142.01	146.03	202.66	0.0	376.41	172.65	466.88	497.0	204.07	251.48	181.28	447.82	236.21	567.1	525.39	293.07	521.76	241.19	379.04	409.15	444.72	624.99	159.9	283.05	490.14	220.32	158.79	209.84	368.65	175.07	438.59	371.22	309.83	69.03
WHAMM	36.01	44.25	94.67	63.0	129.69	120.94	135.24	124.37	130.6	141.02	129.69	141.02	112.77	152.28	182.55	90.77	281.09	94.01	146.03	176.29	127.89	140.04	123.5	100.13	154.42	122.64	102.25	140.04	147.06	91.41	148.09	137.14	236.21	12.36
ZNF548	81.71	63.45	63.0	0.0	133.36	128.79	239.52	181.28	138.1	102.97	99.43	105.89	113.56	291.04	176.29	120.1	275.28	90.14	161.02	255.0	182.55	138.1	163.28	52.08	215.77	176.29	82.29	125.24	267.73	94.67	170.25	209.84	151.22	59.55
ZNF83	134.3	157.68	18.03	248.0	363.56	163.28	438.59	253.23	336.79	176.29	135.24	441.64	341.51	842.36	493.56	454.09	728.11	145.02	371.22	476.71	264.03	896.64	239.52	137.14	518.15	244.57	110.43	199.85	441.64	155.5	353.59	356.05	435.55	26.1
ZNF862	16.63	45.85	69.52	0.0	122.64	119.26	195.72	195.72	105.15	166.73	90.77	201.25	167.9	309.83	195.72	177.53	236.21	102.25	285.03	248.0	260.38	348.71	122.64	71.0	145.02	126.12	121.79	114.36	307.69	86.43	155.5	309.83	175.07	16.51
