	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.KM.8639.01A.11R.2403.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.EM.A2OV.01A.11R.A206.07	GTEX.OIZI.0726.SM.2XCEI
BTBD8	44.25	64.8	46.5	63.89	8.99	0.72	1.43	5.92	1.07	4.94	11.3	66.65	12.09	1.79	5.77	4.39	1.87	10.55	4.7	0.0	3.76	16.88	75.11
BUB3	2739.08	1883.54	1857.6	1806.78	813.63	769.69	825.0	791.35	521.76	1111.82	514.56	1233.75	733.19	860.08	688.78	808.0	819.3	1216.75	928.3	514.56	540.19	1008.9	1427.22
C10orf68	29.91	26.86	38.12	41.81	11.91	1.17	7.51	1.36	2.66	24.46	3.32	30.56	0.0	1.16	1.55	8.13	0.0	37.85	17.25	0.0	1.85	28.04	28.24
C4orf46	128.79	177.53	137.14	151.22	31.0	39.79	37.59	81.14	68.55	81.14	80.57	101.54	58.3	106.63	73.03	37.85	26.47	98.04	43.63	11.91	33.06	137.14	189.02
CCAR1	1216.75	1457.23	1369.04	1498.22	808.0	493.56	698.41	500.46	293.07	432.53	199.85	902.89	532.74	229.72	503.95	703.28	148.09	1225.22	775.05	52.45	279.14	1044.52	1233.75
CCDC113	131.51	113.56	125.24	163.28	96.68	14.03	49.91	43.02	59.97	152.28	94.01	120.94	55.1	46.18	51.71	31.9	19.82	151.22	77.79	20.86	36.01	105.15	69.52
CCDC176	480.04	301.33	358.54	775.05	167.9	44.25	150.17	84.63	67.12	267.73	379.04	332.14	113.56	92.7	100.13	104.42	70.51	314.17	198.47	23.08	50.27	353.59	571.05
CCDC82	435.55	902.89	563.18	713.11	253.23	212.78	242.88	251.48	157.68	450.94	195.72	450.94	318.57	435.55	361.04	438.59	176.29	693.58	356.05	68.55	165.57	341.51	1175.27
CDK12	703.28	842.36	733.19	1407.55	389.72	146.03	197.09	156.59	112.77	264.03	249.73	381.68	318.57	95.34	142.01	297.17	43.94	571.05	211.31	105.15	262.2	327.56	775.05
CELF1	1322.37	1447.15	1191.69	1159.07	884.29	521.76	473.41	438.59	638.15	412.0	616.37	656.11	633.73	77.79	674.59	642.59	80.01	967.76	718.08	591.22	348.71	718.08	967.76
CENPJ	100.13	285.03	218.79	228.13	19.82	18.97	16.88	21.63	30.78	39.22	10.79	74.58	60.39	13.83	19.25	24.28	6.73	177.53	22.59	13.62	10.55	170.25	764.36
CHD1	1594.73	1639.59	753.83	1051.79	153.34	140.04	221.86	151.22	327.56	236.21	127.89	291.04	297.17	84.04	353.59	273.37	46.5	503.95	260.38	48.87	145.02	368.65	444.72
CMTR2	486.75	543.96	429.54	656.11	312.0	146.03	153.34	87.65	237.86	189.02	150.17	260.38	325.29	320.8	202.66	212.78	144.01	384.34	237.86	90.14	114.36	291.04	483.38
CNOT2	1721.16	1651.0	1359.57	1498.22	444.72	366.09	420.68	447.82	361.04	660.68	669.92	713.11	764.36	447.82	974.5	547.75	198.47	796.86	497.0	260.38	297.17	713.11	1143.1
CREB3L4	1322.37	1331.57	2319.15	3018.3	303.44	212.78	381.68	90.14	197.09	620.67	211.31	567.1	193.01	141.02	86.43	223.41	135.24	426.57	199.85	242.88	124.37	279.14	579.04
CSNK1G1	339.14	217.27	189.02	248.0	85.22	92.7	71.5	96.01	80.01	71.0	82.87	100.13	101.54	44.25	74.58	71.5	18.16	130.6	110.43	17.38	46.84	109.66	218.79
DBR1	361.04	325.29	269.6	343.89	214.27	119.26	185.11	198.47	127.0	226.54	144.01	234.57	229.72	267.73	223.41	176.29	126.12	287.01	242.88	66.18	98.04	232.94	389.72
DDX46	1073.91	961.07	974.5	1081.39	368.65	149.12	246.28	170.25	158.79	414.87	299.25	540.19	409.15	111.21	366.09	332.14	74.58	486.75	441.64	126.12	163.28	507.46	819.3
DENND6A	460.44	698.41	466.88	532.74	132.44	82.29	105.89	215.77	69.03	153.34	142.01	246.28	165.57	130.6	161.02	158.79	85.82	255.0	145.02	48.52	58.71	307.69	723.08
DNAH14	237.86	175.07	214.27	241.19	93.35	58.71	102.25	68.55	90.14	127.0	155.5	185.11	136.19	81.14	112.77	105.89	158.79	214.27	111.21	28.65	92.7	242.88	143.01
DPY19L3	429.54	384.34	281.09	447.82	94.67	63.89	45.85	55.89	59.55	171.45	92.7	232.94	138.1	72.01	92.05	59.55	23.42	229.72	88.26	28.45	56.68	163.28	291.04
EIF2B5	1709.26	1030.12	1407.55	1304.15	684.02	571.05	902.89	988.12	583.07	785.88	555.41	836.53	974.5	429.54	1135.2	759.08	420.68	1487.87	928.3	571.05	723.08	1119.56	1030.12
ELF1	1605.83	1594.73	1350.18	1331.57	647.07	277.2	325.29	295.11	381.68	563.18	379.04	669.92	651.58	312.0	463.65	395.18	361.04	791.35	480.04	156.59	412.0	785.88	1769.57
ESCO1	334.46	392.44	334.46	273.37	164.42	119.26	120.1	117.6	82.29	115.97	115.16	205.5	175.07	100.83	107.38	111.21	69.03	177.53	138.1	17.64	74.58	163.28	323.03
ESF1	363.56	450.94	376.41	490.14	129.69	120.94	136.19	167.9	139.07	150.17	45.53	226.54	156.59	106.63	249.73	133.36	28.65	269.6	211.31	27.44	128.79	217.27	327.56
ESYT2	1359.57	1617.0	1359.57	1340.84	624.99	366.09	376.41	346.29	476.71	796.86	305.55	988.12	525.39	363.56	518.15	460.44	111.99	1151.06	633.73	260.38	497.0	1350.18	921.88
ETAA1	281.09	312.0	323.03	295.11	139.07	64.34	173.85	56.68	76.17	173.85	105.89	293.07	107.38	139.07	85.22	155.5	35.5	198.47	195.72	15.8	88.88	175.07	334.46
EXTL2	273.37	432.53	343.89	395.18	229.72	74.58	146.03	77.79	162.14	371.22	164.42	406.31	262.2	223.41	215.77	153.34	63.0	323.03	208.38	40.64	120.1	241.19	293.07
FAM126B	255.0	229.72	145.02	186.4	99.43	63.0	111.99	56.28	55.49	256.78	162.14	217.27	46.18	71.0	65.26	86.43	46.18	90.14	194.36	30.34	46.5	137.14	205.5
FAM208B	878.17	854.13	607.87	674.59	218.79	241.19	154.42	246.28	136.19	297.17	138.1	343.89	173.85	165.57	221.86	211.31	139.07	460.44	258.57	37.05	187.71	497.0	583.07
FAM73A	371.22	450.94	361.04	579.04	253.23	64.8	101.54	83.45	65.72	206.94	121.79	361.04	165.57	67.12	105.89	94.01	18.56	150.17	234.57	27.64	49.91	199.85	587.13
FNBP1L	974.5	1674.06	1331.57	1457.23	1066.48	392.44	796.86	441.64	511.0	974.5	878.17	1199.98	624.99	228.13	825.0	836.53	327.56	1001.93	1242.34	96.01	183.82	1159.07	1277.29
FPGT-TNNI3K	16.15	48.87	57.49	50.63	5.23	2.97	5.11	9.06	1.1	21.47	0.89	28.24	14.24	3.29	8.51	4.13	0.0	39.79	17.9	7.06	0.66	20.56	21.78
FXYD2	21.47	33.54	21.47	50.63	368165.8	223512.12	397335.0	147462.67	284880.02	520665.48	851707.37	249727.34	378516.38	520665.48	331809.5	263966.36	627822.72	23986.58	303217.87	3901.01	593956.43	20.71	27.64
GCC2	693.58	1037.29	743.43	921.88	301.33	93.35	217.27	89.51	130.6	387.02	221.86	642.59	193.01	169.07	218.79	281.09	45.53	420.68	417.77	21.63	64.34	417.77	967.76
GEMIN5	223.41	346.29	305.55	351.14	85.22	45.85	107.38	53.19	111.21	172.65	60.39	133.36	114.36	89.51	120.94	111.21	25.72	143.01	97.36	60.39	63.89	147.06	229.72
GLT8D1	1963.57	1685.71	1628.26	1923.14	743.43	733.19	1030.12	1359.57	738.29	2468.49	896.64	2485.67	1551.09	1572.76	1963.57	1487.87	738.29	1950.0	1088.92	941.27	775.05	2090.03	2915.45
GOPC	547.75	884.29	660.68	909.17	291.04	105.15	221.86	132.44	106.63	325.29	134.3	356.05	277.2	112.77	120.94	234.57	51.35	325.29	297.17	120.1	107.38	480.04	796.86
GPALPP1	447.82	703.28	551.56	642.59	273.37	97.36	287.01	170.25	116.78	420.68	441.64	476.71	470.14	400.71	273.37	269.6	271.48	500.46	373.81	78.89	127.89	379.04	642.59
GPBP1L1	1883.54	2537.92	2047.0	2303.12	1225.22	947.83	1437.15	1073.91	791.35	1350.18	1781.89	1963.57	988.12	796.86	1208.34	1143.1	521.76	1066.48	1605.83	860.08	1044.52	1733.13	2591.27
IFT74	466.88	507.46	457.25	612.11	275.28	58.3	384.34	83.45	98.73	591.22	361.04	624.99	169.07	161.02	177.53	205.5	70.01	246.28	283.05	18.7	97.36	381.68	819.3
INTS2	149.12	204.07	149.12	264.03	81.71	39.22	43.32	42.11	44.89	82.87	20.41	74.58	110.43	38.67	38.4	58.3	13.83	149.12	80.57	21.16	30.56	71.0	169.07
ITCH	954.43	785.88	603.67	579.04	269.6	206.94	204.07	220.32	208.38	303.44	441.64	435.55	301.33	389.72	460.44	229.72	155.5	387.02	293.07	185.11	158.79	412.0	543.96
KDM1B	206.94	341.51	269.6	327.56	115.97	23.76	58.71	29.48	20.26	197.09	206.94	182.55	96.68	61.25	33.3	91.41	12.0	358.54	85.22	51.71	86.43	297.17	769.69
KDM4C	397.93	480.04	417.77	483.38	214.27	125.24	217.27	229.72	248.0	256.78	94.01	332.14	194.36	72.52	232.94	212.78	71.0	275.28	249.73	74.06	141.02	303.44	435.55
KIAA0319L	1304.15	1151.06	1175.27	1617.0	934.76	748.61	728.11	480.04	679.29	878.17	518.15	884.29	595.34	256.78	525.39	909.17	106.63	860.08	791.35	571.05	571.05	1233.75	1407.55
KIAA0430	1286.18	1304.15	1001.93	1397.83	361.04	289.02	361.04	295.11	229.72	748.61	688.78	934.76	351.14	112.77	320.8	336.79	75.11	551.56	406.31	220.32	209.84	555.41	988.12
LSG1	848.22	665.29	884.29	559.28	483.38	253.23	389.72	356.05	265.87	583.07	301.33	429.54	599.49	173.85	647.07	293.07	92.7	638.15	351.14	175.07	301.33	587.13	728.11
MBD4	1151.06	878.17	723.08	896.64	295.11	199.85	441.64	339.14	241.19	441.64	476.71	638.15	651.58	490.14	603.67	420.68	176.29	728.11	412.0	146.03	397.93	432.53	1001.93
MCFD2	1259.69	2119.22	1407.55	1286.18	748.61	470.14	836.53	651.58	698.41	896.64	1059.11	1286.18	1250.98	1950.0	1313.23	1008.9	417.77	1359.57	941.27	842.36	909.17	1662.49	2682.69
MED13	571.05	693.58	432.53	470.14	190.34	89.51	153.34	115.97	102.97	275.28	173.85	409.15	221.86	110.43	183.82	193.01	35.76	279.14	189.02	62.56	103.69	307.69	842.36
MIPOL1	287.01	182.55	226.54	232.94	12.27	32.82	17.25	26.67	79.45	246.28	96.68	172.65	3.59	38.95	104.42	41.81	18.03	69.52	25.17	12.83	25.17	153.34	187.71
MORC3	660.68	1044.52	651.58	1051.79	169.07	134.3	138.1	273.37	120.1	277.2	71.5	384.34	152.28	112.77	171.45	177.53	78.89	358.54	165.57	89.51	87.03	275.28	480.04
MTBP	98.04	127.89	98.73	91.41	13.52	8.13	20.56	9.93	12.09	26.1	21.63	31.67	27.25	14.24	18.16	14.89	6.16	30.78	18.29	3.86	4.24	27.44	31.22
NF1	514.56	769.69	551.56	743.43	260.38	139.07	173.85	175.07	129.69	199.85	159.9	301.33	339.14	127.0	198.47	231.32	68.55	368.65	198.47	52.08	85.82	371.22	733.19
NIPBL	954.43	909.17	802.41	915.51	295.11	202.66	381.68	204.07	432.53	392.44	162.14	476.71	281.09	87.65	447.82	346.29	73.03	305.55	343.89	46.84	198.47	500.46	836.53
NOTCH2	2240.11	1551.09	1467.37	2895.31	239.52	62.56	126.12	17.51	23.42	209.84	39.5	429.54	15.45	16.63	23.93	277.2	11.64	759.08	172.65	147.06	172.65	624.99	1487.87
NPIPA2	46.18	77.79	105.89	20.41	13.32	10.31	35.5	0.0	21.94	12.0	24.28	25.35	34.02	10.63	15.68	0.0	4.78	69.52	0.0	0.0	4.82	58.3	80.01
PAK2	1304.15	921.88	688.78	616.37	400.71	234.57	353.59	334.46	224.97	547.75	500.46	708.18	476.71	299.25	373.81	348.71	176.29	665.29	438.59	264.03	414.87	567.1	587.13
PAPD7	323.03	473.41	400.71	450.94	163.28	170.25	153.34	152.28	325.29	198.47	56.68	199.85	239.52	44.89	215.77	237.86	24.81	334.46	181.28	117.6	128.79	264.03	279.14
PBRM1	848.22	884.29	665.29	669.92	185.11	101.54	106.63	140.04	84.63	236.21	155.5	303.44	190.34	52.08	165.57	177.53	29.27	299.25	163.28	59.55	94.67	291.04	540.19
PHC3	769.69	1015.93	409.15	612.11	154.42	51.71	81.71	122.64	52.82	157.68	457.25	187.71	186.4	66.18	181.28	102.25	55.89	218.79	111.99	32.82	28.65	211.31	497.0
PHIP	507.46	872.1	579.04	769.69	96.68	30.12	57.49	34.75	41.52	122.64	39.5	158.79	73.03	41.81	53.19	82.29	21.94	226.54	71.5	9.63	28.86	167.9	441.64
PKN2	583.07	995.0	785.88	854.13	275.28	204.07	208.38	172.65	248.0	299.25	139.07	351.14	269.6	154.42	201.25	249.73	73.54	438.59	260.38	65.72	115.97	351.14	854.13
POLH	251.48	309.83	256.78	343.89	193.01	36.01	131.51	47.84	45.21	121.79	175.07	167.9	161.02	65.72	80.01	114.36	10.08	281.09	146.03	60.39	65.72	172.65	287.01
PPIG	1551.09	1697.45	1427.22	1427.22	674.59	287.01	733.19	325.29	318.57	336.79	620.67	638.15	429.54	262.2	540.19	507.46	54.33	555.41	753.83	66.18	348.71	764.36	1268.46
PRKCI	511.0	860.08	693.58	647.07	273.37	152.28	204.07	211.31	226.54	759.08	191.67	660.68	251.48	417.77	438.59	206.94	120.1	660.68	237.86	46.84	110.43	679.29	1151.06
PUM1	1208.34	1685.71	1639.59	1651.0	665.29	371.22	423.61	389.72	486.75	723.08	633.73	785.88	497.0	177.53	460.44	518.15	128.79	896.64	551.56	228.13	197.09	759.08	1378.57
QSER1	371.22	486.75	371.22	463.65	73.03	57.89	47.17	38.95	46.18	108.14	135.24	269.6	72.52	29.7	49.21	82.29	21.63	187.71	85.22	14.24	21.63	156.59	269.6
QSOX2	155.5	165.57	153.34	113.56	96.01	53.19	84.63	116.78	159.9	106.63	28.86	103.69	125.24	62.56	120.1	148.09	31.67	215.77	78.89	73.54	65.72	194.36	503.95
QTRTD1	438.59	698.41	450.94	518.15	132.44	88.26	108.9	202.66	107.38	171.45	115.16	226.54	176.29	59.55	180.02	107.38	26.86	303.44	155.5	52.82	53.19	239.52	379.04
RAD18	269.6	463.65	295.11	316.37	61.25	18.43	30.34	67.12	16.15	54.33	108.9	94.67	68.07	58.3	86.43	39.5	33.54	70.51	45.21	30.56	49.56	83.45	166.73
RBM12B	460.44	336.79	271.48	327.56	117.6	75.11	57.89	78.34	61.25	96.68	53.19	164.42	156.59	29.91	75.11	53.19	19.53	224.97	147.06	17.25	45.85	142.01	341.51
RBMS2	381.68	543.96	346.29	246.28	223.41	64.8	139.07	62.56	74.06	176.29	291.04	381.68	108.14	67.59	134.3	159.9	29.91	277.2	206.94	31.22	116.78	389.72	486.75
RHBDD1	656.11	656.11	480.04	371.22	256.78	92.05	193.01	209.84	118.43	373.81	295.11	358.54	173.85	258.57	232.94	178.77	95.34	221.86	239.52	155.5	126.12	281.09	403.5
RLF	246.28	483.38	297.17	358.54	71.0	39.22	114.36	37.85	31.9	85.22	77.25	167.9	57.49	24.81	109.66	82.87	15.56	116.78	110.43	20.56	59.97	131.51	229.72
RNF219	262.2	297.17	215.77	293.07	60.39	57.08	56.28	51.71	56.28	76.17	72.01	155.5	106.63	72.01	77.25	96.01	54.72	149.12	49.21	11.3	61.68	169.07	293.07
RP11-706O15.1	514.56	1135.2	1127.35	1037.29	334.46	226.54	339.14	26.67	41.52	791.35	214.27	743.43	214.27	89.51	89.51	412.0	9.56	1030.12	85.22	135.24	346.29	540.19	356.05
RSBN1	532.74	476.71	289.02	307.69	158.79	79.45	106.63	49.56	73.03	214.27	81.14	220.32	82.87	72.52	111.99	96.01	38.95	92.7	129.69	23.59	40.64	137.14	305.55
RSPO4	4.86	5.15	16.03	37.05	15.34	1.17	4.9	0.48	1.93	1.41	1.51	13.03	3.69	1.55	2.68	6.41	0.0	18.84	17.0	0.84	0.0	16.88	10.63
SCAI	115.97	186.4	98.73	131.51	33.3	26.1	22.92	28.86	26.28	55.1	30.56	91.41	34.75	25.91	16.88	24.11	12.93	38.95	33.06	7.34	15.34	39.22	99.43
SENP7	579.04	679.29	463.65	603.67	189.02	77.79	120.1	55.49	70.01	316.37	97.36	346.29	118.43	112.77	113.56	134.3	38.67	373.81	177.53	15.91	51.71	232.94	563.18
SETX	947.83	860.08	674.59	813.63	289.02	193.01	242.88	316.37	457.25	387.02	201.25	450.94	329.84	143.01	423.61	480.04	169.07	466.88	325.29	94.67	277.2	825.0	1508.65
SLC15A2	37.85	111.21	144.01	334.46	118.43	4.43	131.51	0.88	3.66	902.89	146.03	620.67	4.21	1.83	6.26	29.27	0.39	231.32	153.34	0.0	13.42	181.28	273.37
SLTM	1674.06	1819.35	1628.26	1819.35	954.43	738.29	830.75	718.08	1037.29	928.3	514.56	1143.1	1225.22	351.14	872.1	947.83	142.01	1508.65	954.43	348.71	703.28	1167.14	1561.89
SMARCA2	2520.38	2758.13	3257.52	5292.48	909.17	470.14	764.36	825.0	1427.22	3665.02	1457.23	3212.66	1417.35	339.14	934.76	1605.83	381.68	1030.12	743.43	915.51	447.82	1896.65	3395.89
SMC5	684.02	842.36	624.99	599.49	127.0	71.0	106.63	156.59	135.24	153.34	66.18	271.48	212.78	55.49	221.86	114.36	29.91	348.71	170.25	32.36	109.66	255.0	540.19
SPIN3	237.86	170.25	178.77	204.07	63.89	38.95	51.71	26.67	60.39	82.87	65.26	117.6	80.57	157.68	51.35	62.12	31.9	116.78	88.26	20.41	14.24	87.03	120.94
SREK1	1313.23	1794.29	1487.87	1617.0	579.04	228.13	514.56	262.2	463.65	521.76	221.86	708.18	473.41	148.09	612.11	470.14	169.07	1225.22	656.11	66.65	256.78	842.36	2004.85
STRN	392.44	470.14	371.22	429.54	157.68	70.01	105.15	59.97	112.77	269.6	114.36	299.25	109.66	64.8	148.09	108.14	28.24	169.07	125.24	29.06	65.72	107.38	201.25
SWT1	103.69	195.72	121.79	202.66	75.11	28.86	62.56	24.63	31.67	103.69	88.26	202.66	52.82	37.59	63.45	50.63	38.67	74.58	90.14	21.47	38.67	74.06	124.37
TAOK1	543.96	551.56	420.68	420.68	180.02	111.21	127.89	105.15	77.79	189.02	118.43	241.19	195.72	119.26	108.9	148.09	45.85	392.44	194.36	28.65	98.73	303.44	387.02
TBCK	336.79	607.87	567.1	647.07	351.14	121.79	343.89	152.28	141.02	441.64	301.33	518.15	303.44	147.06	218.79	215.77	96.68	825.0	387.02	107.38	92.05	447.82	521.76
TBL1XR1	1059.11	1127.35	915.51	1662.49	325.29	285.03	189.02	454.09	226.54	483.38	426.57	669.92	356.05	339.14	334.46	417.77	246.28	802.41	236.21	128.79	132.44	743.43	1498.22
TEAD1	540.19	723.08	532.74	420.68	209.84	170.25	105.89	84.63	115.97	303.44	329.84	397.93	224.97	50.98	215.77	167.9	26.28	376.41	133.36	59.55	115.16	403.5	642.59
TNKS	514.56	423.61	353.59	532.74	131.51	136.19	115.16	102.97	66.65	204.07	100.13	212.78	149.12	51.35	81.71	134.3	26.28	190.34	138.1	47.5	46.84	208.38	454.09
TRIM33	769.69	603.67	511.0	567.1	295.11	107.38	211.31	107.38	83.45	211.31	204.07	312.0	127.0	40.36	120.1	123.5	92.05	229.72	241.19	55.49	48.18	309.83	454.09
TSR1	429.54	603.67	555.41	444.72	237.86	149.12	215.77	190.34	142.01	181.28	173.85	277.2	291.04	164.42	231.32	248.0	43.02	521.76	287.01	104.42	232.94	281.09	325.29
TTC37	1191.69	1268.46	1037.29	1397.83	587.13	162.14	414.87	175.07	346.29	669.92	381.68	1167.14	612.11	316.37	551.56	497.0	140.04	733.19	733.19	61.68	191.67	713.11	981.29
TUBGCP3	381.68	435.55	397.93	500.46	108.14	104.42	147.06	96.01	190.34	157.68	118.43	241.19	175.07	59.55	70.01	186.4	20.86	387.02	163.28	155.5	212.78	279.14	336.79
UBAP2	447.82	624.99	483.38	555.41	255.0	164.42	202.66	224.97	237.86	368.65	297.17	356.05	275.28	75.11	253.23	217.27	26.86	392.44	199.85	115.97	102.97	351.14	429.54
UBP1	2367.9	1467.37	1467.37	1313.23	612.11	460.44	376.41	624.99	279.14	612.11	616.37	665.29	713.11	221.86	651.58	450.94	111.21	915.51	629.35	255.0	299.25	728.11	995.0
UBXN7	397.93	490.14	314.17	389.72	86.43	45.21	74.06	82.87	36.01	94.01	224.97	172.65	124.37	48.52	114.36	98.73	15.45	193.01	74.06	39.22	19.68	156.59	293.07
UIMC1	536.45	629.35	603.67	473.41	204.07	190.34	260.38	164.42	305.55	490.14	204.07	457.25	339.14	303.44	323.03	318.57	131.51	460.44	237.86	92.05	320.8	392.44	563.18
VPS36	651.58	1268.46	1037.29	1250.98	769.69	253.23	493.56	329.84	327.56	698.41	679.29	1008.9	688.78	518.15	351.14	397.93	323.03	785.88	860.08	180.02	241.19	703.28	723.08
VWA5A	529.06	665.29	703.28	1467.37	647.07	115.16	376.41	24.46	183.82	444.72	236.21	381.68	194.36	214.27	249.73	403.5	187.71	647.07	575.03	88.26	151.22	295.11	444.72
WAC	1923.14	3491.39	2451.44	2591.27	995.0	688.78	995.0	733.19	460.44	1286.18	1781.89	1870.53	1066.48	638.15	878.17	928.3	341.51	890.44	1023.0	343.89	490.14	1519.15	2303.12
WDR48	1015.93	1378.57	961.07	1225.22	708.18	220.32	389.72	447.82	232.94	679.29	713.11	1030.12	551.56	339.14	571.05	381.68	145.02	733.19	403.5	176.29	139.07	808.0	1127.35
WHSC1L1	1340.84	1508.65	967.76	1923.14	457.25	460.44	476.71	346.29	248.0	728.11	312.0	708.18	480.04	229.72	208.38	490.14	173.85	529.06	423.61	86.43	189.02	563.18	1037.29
YOD1	151.22	142.01	98.04	167.9	96.01	35.0	63.89	26.1	74.58	82.87	22.1	61.68	37.85	28.86	118.43	117.6	31.0	135.24	73.54	24.99	48.87	129.69	178.77
ZBED6	325.29	323.03	208.38	253.23	81.71	9.27	21.16	13.83	7.4	33.06	29.7	100.13	20.71	2.23	26.47	18.97	0.4	151.22	44.89	6.67	13.32	93.35	205.5
ZBTB11	373.81	463.65	301.33	373.81	78.89	44.25	62.12	77.79	53.57	123.5	84.04	169.07	128.79	112.77	162.14	90.14	85.22	166.73	115.16	23.25	63.89	140.04	246.28
ZBTB37	103.69	92.7	68.07	123.5	31.9	13.03	28.65	15.22	14.78	41.81	15.22	80.57	14.35	4.46	14.89	28.04	2.34	72.52	40.93	13.72	15.68	54.33	87.65
ZBTB40	307.69	205.5	229.72	209.84	167.9	102.25	101.54	89.51	119.26	116.78	67.12	140.04	102.25	24.46	53.57	119.26	8.99	133.36	113.56	15.68	36.79	220.32	171.45
ZBTB8A	156.59	181.28	131.51	109.66	21.94	31.9	49.91	15.11	16.51	85.82	36.53	111.21	33.54	13.93	28.24	40.64	6.52	72.52	40.93	4.28	15.0	74.06	208.38
ZC3H11A	2701.35	2796.65	2193.99	2485.67	947.83	503.95	884.29	525.39	651.58	1073.91	591.22	1832.01	633.73	167.9	748.61	909.17	91.41	1639.59	1051.79	334.46	532.74	1331.57	2133.97
ZC3H13	616.37	890.44	791.35	1066.48	309.83	140.04	265.87	171.45	162.14	348.71	206.94	674.59	351.14	140.04	189.02	283.05	120.94	543.96	368.65	74.58	309.83	463.65	748.61
ZC3HAV1L	102.25	129.69	72.01	125.24	24.28	7.88	7.06	5.28	14.78	23.08	9.06	37.85	26.1	22.1	4.5	18.43	0.8	104.42	11.91	0.0	3.99	76.71	66.65
ZDBF2	87.03	108.9	69.52	253.23	15.91	26.86	24.46	12.09	1.5	29.7	20.11	65.72	0.35	37.59	42.11	24.28	6.89	41.22	22.26	4.03	7.51	63.0	102.97
