	GTEX.1399U.2226.SM.5KLZI	GTEX.14A5H.1626.SM.5SIAN	GTEX.14A5I.2426.SM.5Q5CP	GTEX.12WSJ.0826.SM.5PNWV	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.N7MS.1626.SM.3LK5F	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y8E4.0526.SM.4V6GC	GTEX.14A5H.0726.SM.5Q5DW
CHFR	246.28	1250.98	392.44	186.4	1151.06	1015.93	59.55	22.26	102.25	808.0	567.1
CNTROB	444.72	1388.16	665.29	341.51	967.76	921.88	215.77	44.89	271.48	1008.9	563.18
CXXC11	0.06	2.29	2.01	0.68	4.5	15.34	0.0	0.0	0.0	0.21	6.11
DGKD	231.32	1447.15	351.14	237.86	941.27	684.02	27.64	9.63	73.03	279.14	1427.22
DHX15	967.76	2303.12	1167.14	825.0	2178.83	1883.54	775.05	1233.75	406.31	1143.1	2537.92
DHX33	75.11	169.07	149.12	48.18	246.28	255.0	75.64	8.19	60.82	123.5	237.86
DICER1	111.21	1167.14	194.36	81.14	1081.39	684.02	98.04	55.1	70.51	271.48	890.44
DOT1L	126.12	329.84	152.28	108.9	329.84	289.02	52.45	17.0	82.29	221.86	457.25
DZIP1L	40.07	198.47	57.08	28.65	351.14	285.03	26.28	0.43	6.57	87.03	112.77
ENTPD4	173.85	1651.0	400.71	159.9	1322.37	1259.69	115.16	63.89	129.69	297.17	967.76
EPT1	68.07	269.6	109.66	43.32	178.77	154.42	53.95	110.43	181.28	71.5	253.23
ETV6	234.57	1233.75	251.48	143.01	1250.98	476.71	98.04	30.12	68.55	262.2	1088.92
FAM189A2	72.01	2895.31	381.68	397.93	2367.9	1191.69	77.79	703.28	5.36	1745.2	21768.19
FAM221A	133.36	120.94	217.27	92.7	293.07	679.29	80.57	166.73	76.71	123.5	241.19
FBRS	733.19	1923.14	1662.49	629.35	2075.59	1819.35	323.03	129.69	463.65	1183.45	1277.29
FUBP1	688.78	1844.76	1519.15	708.18	2520.38	2976.74	1127.35	277.2	289.02	1313.23	3257.52
GBP1	406.31	4543.8	728.11	346.29	1498.22	738.29	102.97	35.76	295.11	981.29	3742.05
GBP3	186.4	1359.57	493.56	154.42	591.22	356.05	21.01	5.15	51.35	764.36	2573.36
GLTSCR1	113.56	432.53	273.37	117.6	470.14	283.05	42.41	12.55	64.8	171.45	277.2
GMEB2	228.13	511.0	246.28	115.97	361.04	329.84	71.0	38.4	106.63	182.55	363.56
GON4L	275.28	684.02	387.02	241.19	1059.11	1151.06	84.63	19.68	108.9	633.73	902.89
GTF2IRD2	575.03	909.17	629.35	363.56	848.22	1572.76	241.19	775.05	209.84	432.53	1081.39
GTF2IRD2B	674.59	1111.82	842.36	819.3	1044.52	1378.57	212.78	480.04	368.65	688.78	1508.65
HELZ2	164.42	988.12	127.89	75.11	490.14	323.03	39.22	12.09	181.28	435.55	334.46
HLA-DOB	3.82	343.89	51.35	8.19	202.66	73.54	19.68	9.34	10.55	248.0	373.81
IRF9	1651.0	8305.36	2335.28	1923.14	3794.3	4419.52	414.87	356.05	1242.34	3212.66	5329.3
KHNYN	341.51	1498.22	928.3	223.41	1369.04	1870.53	124.37	23.93	156.59	559.28	796.86
KIAA0907	180.02	708.18	511.0	371.22	1697.45	1991.0	96.01	49.91	80.57	470.14	1295.13
KMT2B	73.03	299.25	78.89	40.07	183.82	209.84	26.86	3.96	32.59	105.89	283.05
LARP4B	299.25	703.28	356.05	191.67	595.34	567.1	293.07	163.28	137.14	503.95	928.3
MAGI1	130.6	967.76	202.66	53.95	414.87	234.57	406.31	112.77	133.36	202.66	1001.93
MAP3K7	206.94	395.18	318.57	157.68	387.02	412.0	124.37	111.21	64.34	325.29	693.58
MED15	981.29	2004.85	1378.57	638.15	2047.0	1923.14	363.56	165.57	414.87	1216.75	1551.09
MTMR3	228.13	780.44	314.17	128.79	571.05	764.36	153.34	60.39	114.36	291.04	872.1
MYSM1	58.71	291.04	113.56	74.58	373.81	476.71	40.93	19.53	35.76	139.07	429.54
NAA25	97.36	379.04	172.65	76.71	299.25	332.14	42.41	31.9	29.06	129.69	387.02
NCAM2	39.5	49.91	100.13	25.35	146.03	60.82	27.25	0.0	14.03	42.71	122.64
NDST2	242.88	1008.9	273.37	202.66	1037.29	769.69	78.89	150.17	131.51	287.01	612.11
NDUFAF7	267.73	480.04	351.14	285.03	420.68	316.37	251.48	75.64	115.97	211.31	363.56
NFKB2	551.56	1781.89	915.51	429.54	3018.3	1167.14	176.29	67.59	226.54	1066.48	2537.92
NPIPB8	1.58	21.94	17.0	5.5	29.7	87.03	0.0	4.82	0.0	7.4	41.52
ODF3	0.37	1.66	0.8	0.0	1.14	1.31	0.0	0.0	0.0	0.0	0.55
OR2AE1	0.0	2.36	1.58	0.0	3.56	0.0	0.0	0.0	0.0	0.58	7.17
P2RY11	105.89	620.67	392.44	90.14	872.1	567.1	46.84	10.71	67.59	373.81	457.25
PARP14	138.1	1104.13	239.52	92.7	1135.2	587.13	112.77	36.01	176.29	616.37	2104.58
PCDHGB4	28.86	80.01	55.1	19.25	51.71	52.08	0.0	0.0	33.06	134.3	86.43
PCYT1A	429.54	1015.93	397.93	309.83	866.07	995.0	363.56	246.28	275.28	620.67	915.51
PHF8	147.06	429.54	251.48	56.68	339.14	435.55	111.99	63.89	183.82	239.52	518.15
PIGL	166.73	426.57	297.17	236.21	967.76	1216.75	105.15	197.09	142.01	223.41	878.17
PIKFYVE	61.68	125.24	121.79	45.85	173.85	255.0	70.51	12.45	28.86	101.54	423.61
PITRM1	836.53	2148.82	1199.98	1268.46	2739.08	1950.0	791.35	507.46	728.11	915.51	2915.45
POM121	269.6	480.04	417.77	167.9	642.59	669.92	309.83	31.45	371.22	435.55	511.0
PPARD	525.39	2178.83	607.87	314.17	1674.06	674.59	229.72	26.47	186.4	435.55	1605.83
PPP1R10	441.64	1923.14	842.36	262.2	1674.06	759.08	624.99	103.69	583.07	808.0	1477.58
QTRTD1	106.63	198.47	171.45	83.45	186.4	262.2	115.16	26.86	52.82	287.01	450.94
RANBP17	23.93	63.0	57.89	21.63	209.84	76.71	32.13	0.44	5.06	123.5	87.65
RBM25	403.5	1685.71	703.28	366.09	2451.44	2271.4	187.71	77.25	79.45	780.44	2047.0
REM2	6.67	69.03	12.55	8.06	104.42	74.06	2.03	0.83	1.0	12.27	12.74
RNF133	0.0	1.55	2.01	0.71	6.36	6.36	0.0	0.0	0.0	8.38	9.41
RP11-574K11.31	25.35	115.97	46.18	26.86	109.66	87.03	1.11	2.41	8.85	29.7	47.5
RXRB	665.29	1561.89	1051.79	595.34	1819.35	1721.16	532.74	244.57	409.15	759.08	2047.0
SCAF4	180.02	457.25	351.14	128.79	555.41	555.41	125.24	22.26	191.67	289.02	473.41
SEC61A2	89.51	177.53	144.01	80.57	336.79	389.72	22.92	23.08	95.34	76.71	199.85
SETX	327.56	616.37	638.15	211.31	764.36	967.76	201.25	169.07	94.67	483.38	915.51
SFSWAP	476.71	813.63	536.45	285.03	902.89	1143.1	202.66	71.5	142.01	540.19	796.86
SLC12A7	267.73	1331.57	483.38	403.5	1832.01	1066.48	143.01	146.03	559.28	320.8	1651.0
SLC1A1	62.56	974.5	169.07	29.27	389.72	147.06	193.01	16.27	297.17	603.67	2485.67
SLC25A14	150.17	348.71	334.46	199.85	287.01	532.74	93.35	167.9	57.49	351.14	438.59
SLC30A7	54.33	327.56	146.03	57.49	307.69	265.87	44.57	71.5	55.89	148.09	511.0
SLC37A3	432.53	1340.84	559.28	305.55	1066.48	1104.13	134.3	414.87	124.37	400.71	703.28
SLC38A9	97.36	251.48	185.11	111.99	206.94	229.72	80.01	107.38	169.07	220.32	287.01
SRCAP	358.54	896.64	447.82	249.73	607.87	769.69	327.56	91.41	145.02	836.53	866.07
SRSF10	647.07	1709.26	1242.34	624.99	1819.35	2119.22	738.29	483.38	514.56	1111.82	3716.2
STK31	3.03	10.96	4.17	1.58	8.25	38.4	10.47	0.0	0.97	34.51	5.59
STX1B	26.28	102.25	42.71	23.93	135.24	87.65	10.24	0.0	68.07	14.56	13.12
STXBP5	88.88	325.29	94.67	46.84	102.25	90.77	29.48	12.74	12.09	63.89	98.73
SULF1	559.28	3540.14	884.29	429.54	2047.0	967.76	124.37	20.86	35.5	307.69	6294.04
SUPV3L1	551.56	1191.69	848.22	559.28	1447.15	1540.37	500.46	764.36	587.13	642.59	1199.98
SYNJ2	108.9	497.0	153.34	76.71	583.07	146.03	69.03	9.27	52.08	73.54	532.74
SZT2	169.07	379.04	201.25	159.9	642.59	583.07	74.58	10.0	139.07	429.54	470.14
TAS2R14	5.68	54.72	23.76	24.28	108.9	141.02	5.19	13.22	6.73	23.25	134.3
TAS2R31	0.14	5.23	7.06	3.29	9.06	10.79	0.0	0.0	0.0	0.42	22.43
TBRG1	384.34	1015.93	595.34	450.94	1832.01	1417.35	361.04	486.75	211.31	651.58	1304.15
TCERG1	373.81	1388.16	703.28	384.34	1819.35	1685.71	104.42	190.34	39.5	575.03	1519.15
TDG	156.59	438.59	417.77	156.59	607.87	543.96	71.5	60.82	87.65	287.01	514.56
TNFRSF10B	164.42	1388.16	540.19	150.17	1857.6	842.36	127.0	269.6	603.67	866.07	1111.82
TRIM22	220.32	3639.7	665.29	454.09	2287.2	1769.57	121.79	70.51	476.71	2004.85	2032.85
TRIM38	152.28	334.46	303.44	97.36	318.57	273.37	182.55	41.22	75.64	384.34	387.02
TRIO	361.04	2193.99	780.44	297.17	1628.26	1191.69	127.89	44.25	90.14	420.68	941.27
TRPC4AP	934.76	1359.57	1059.11	743.43	1721.16	1844.76	587.13	633.73	909.17	1001.93	1304.15
TSTD2	173.85	665.29	231.32	84.63	669.92	583.07	98.73	40.36	68.07	197.09	529.06
TTC39B	96.68	297.17	108.9	66.18	236.21	166.73	69.03	171.45	27.44	144.01	198.47
TXLNA	450.94	896.64	698.41	406.31	1119.56	854.13	381.68	74.58	371.22	733.19	896.64
UBE4A	223.41	297.17	329.84	100.83	229.72	412.0	101.54	91.41	163.28	332.14	371.22
USF1	842.36	1794.29	1225.22	1030.12	2417.67	2319.15	532.74	679.29	441.64	1322.37	1977.24
USP24	208.38	483.38	232.94	111.21	567.1	480.04	170.25	28.24	88.26	228.13	480.04
ZFYVE26	92.7	224.97	149.12	48.87	119.26	253.23	88.88	26.28	52.45	281.09	209.84
ZNF107	16.39	45.21	36.27	18.16	34.51	46.84	17.13	40.93	3.29	68.07	76.17
ZNF17	60.39	118.43	98.73	59.97	217.27	117.6	98.04	13.62	15.91	105.89	146.03
ZNF254	38.95	237.86	181.28	29.48	395.18	348.71	129.69	198.47	24.99	97.36	420.68
ZNF266	325.29	890.44	536.45	414.87	1709.26	1685.71	104.42	129.69	43.32	521.76	1183.45
ZNF335	150.17	463.65	241.19	175.07	543.96	656.11	91.41	19.82	88.26	376.41	397.93
ZNF343	119.26	305.55	166.73	164.42	381.68	366.09	112.77	63.45	50.98	111.99	277.2
ZNF484	18.29	76.71	48.52	12.09	123.5	82.29	68.55	26.67	2.07	50.63	122.64
ZNF75A	244.57	514.56	460.44	189.02	703.28	669.92	180.02	37.59	34.51	392.44	1008.9
ZNF841	30.56	159.9	148.09	32.36	447.82	348.71	19.25	7.94	12.93	143.01	249.73
ZRANB2	669.92	1199.98	1208.34	848.22	2335.28	2855.44	253.23	361.04	123.5	1286.18	3395.89
