	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.UPIC.1126.SM.4IHLO	GTEX.XPVG.0526.SM.4B65N	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.B9.4115.11A.01R.1758.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FSBP	28.04	26.86	17.9	33.78	41.52	30.78	28.86	31.9	27.84	20.26	28.24	30.34	11.04	6.84	14.35	43.02	8.99	7.22	20.11	7.88	38.12	11.91	29.06	22.26	39.22	29.91	23.59	20.71	0.0	0.21
FSHR	2.07	1.31	1.6	7.69	1.5	4.46	2.14	4.66	0.74	0.97	0.74	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FUT10	104.42	94.67	98.04	255.0	117.6	97.36	114.36	138.1	113.56	86.43	108.14	102.97	23.42	36.53	46.5	152.28	40.07	59.55	67.59	84.04	46.5	55.49	28.04	56.28	59.97	49.21	25.35	40.07	0.0	0.23
FXR2	759.08	733.19	629.35	1437.15	674.59	563.18	559.28	567.1	603.67	860.08	587.13	733.19	295.11	320.8	348.71	406.31	483.38	303.44	521.76	511.0	490.14	373.81	511.0	567.1	503.95	426.57	417.77	395.18	0.0	0.74
GABARAP	19754.96	24153.43	25708.25	29531.18	19482.97	20593.91	20451.65	21026.65	22072.07	26800.01	17804.06	19754.96	8840.04	7130.55	9151.82	19618.49	16611.71	15075.35	19482.97	15499.21	13872.08	16727.26	13033.07	12853.63	12853.63	13306.94	14765.09	16045.82	9740.98	693.58
GEMIN8	503.95	656.11	575.03	921.88	503.95	460.44	373.81	595.34	356.05	438.59	435.55	583.07	249.73	157.68	251.48	157.68	256.78	346.29	258.57	289.02	316.37	214.27	249.73	126.12	289.02	264.03	241.19	186.4	0.0	0.42
GIN1	116.78	110.43	128.79	264.03	96.01	104.42	153.34	139.07	115.16	147.06	120.1	105.15	26.86	94.01	59.97	96.01	44.89	100.13	75.64	57.49	90.14	56.28	55.49	81.14	75.64	111.99	115.97	25.72	0.0	0.0
GLOD4	2004.85	2271.4	2061.24	4671.57	1896.65	1950.0	2148.82	2163.77	2032.85	2240.11	1844.76	1832.01	629.35	555.41	656.11	1909.85	1757.34	1561.89	1806.78	1417.35	1896.65	1487.87	1477.58	1378.57	1268.46	1639.59	2104.58	1519.15	0.0	0.59
GMNC	115.97	47.84	52.08	48.18	82.29	100.13	39.22	100.83	38.95	22.92	134.3	122.64	34.51	21.47	37.05	30.78	3.76	65.72	46.84	36.79	119.26	63.89	40.07	25.72	27.05	73.03	12.18	49.91	0.0	0.0
GOLGA8Q	8.99	3.41	14.89	45.21	31.45	23.08	5.54	21.16	24.11	14.35	24.28	27.64	0.0	8.25	0.0	15.68	0.0	6.89	19.11	10.08	8.78	4.17	22.1	1.08	1.89	4.17	13.12	0.0	0.0	0.48
GPRIN2	78.89	80.01	53.57	660.68	43.32	57.08	85.82	36.79	94.67	154.42	43.94	72.01	0.0	0.0	0.47	1.73	5.28	1.17	15.22	2.07	13.03	5.15	5.73	15.68	23.59	5.92	7.11	0.66	0.0	0.26
GPS2	1561.89	1709.26	1870.53	3639.7	1561.89	1407.55	1437.15	1437.15	1407.55	1857.6	1697.45	1883.54	669.92	703.28	1151.06	1001.93	583.07	603.67	1216.75	769.69	896.64	656.11	947.83	713.11	1073.91	988.12	1023.0	403.5	0.0	0.73
GSS	1551.09	1427.22	1617.0	2351.53	2351.53	1857.6	1561.89	1709.26	1721.16	1540.37	1923.14	1628.26	1304.15	607.87	595.34	802.41	1151.06	928.3	836.53	748.61	909.17	854.13	902.89	1498.22	1104.13	890.44	1277.29	665.29	0.0	0.77
HIGD2B	1.39	0.66	0.0	4.58	0.0	1.23	1.08	0.0	0.38	1.3	0.38	1.08	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	1.38	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0
