	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.UPIC.1126.SM.4IHLO	GTEX.XPVG.0526.SM.4B65N	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.B9.4115.11A.01R.1758.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
MYO7B	728.11	384.34	343.89	890.44	728.11	928.3	753.83	532.74	764.36	444.72	1159.07	808.0	12.36	13.42	5.19	26.86	76.17	6.06	47.84	8.92	30.12	20.26	29.7	17.51	45.85	22.43	113.56	4.78	0.0	0.43
NEK11	185.11	185.11	167.9	728.11	264.03	198.47	183.82	189.02	171.45	175.07	162.14	150.17	3.96	8.99	10.63	36.79	9.48	21.01	34.75	23.93	45.53	12.64	13.72	21.63	15.91	26.86	37.85	6.41	0.0	0.01
NEK8	154.42	166.73	114.36	607.87	127.89	90.14	105.15	106.63	131.51	126.12	95.34	134.3	154.42	86.43	46.5	62.56	71.0	66.65	45.21	27.44	46.18	64.8	62.56	59.55	30.34	44.25	63.0	28.45	79.45	521.76
NES	981.29	1044.52	466.88	1857.6	1397.83	780.44	1081.39	1304.15	902.89	967.76	1030.12	947.83	87.65	158.79	76.71	69.03	54.72	90.14	117.6	26.67	137.14	39.5	52.08	57.89	98.04	109.66	73.03	88.88	0.0	0.47
NLRP14	4.86	4.62	7.06	20.86	4.24	7.28	8.58	6.46	8.19	4.54	7.82	3.59	0.31	0.0	0.28	5.87	7.34	2.66	3.56	2.73	3.35	7.17	7.51	0.84	2.53	3.14	4.66	7.4	0.0	0.0
NMRK2	15.45	23.08	64.8	429.54	67.12	32.59	8.58	57.49	19.97	35.25	17.77	1051.79	0.0	15.34	2.71	0.72	0.0	6.46	11.38	0.29	5.19	1.31	3.79	1.38	5.87	5.5	0.41	0.31	0.0	0.0
NXF5	0.39	0.37	0.69	6.78	4.13	1.71	0.39	2.66	0.41	0.71	1.19	1.89	0.0	0.0	0.0	0.4	1.85	0.24	0.26	0.84	2.48	0.04	0.49	0.38	0.75	1.16	2.18	0.0	0.0	0.0
NXNL2	102.97	73.03	131.51	343.89	1350.18	153.34	183.82	127.0	56.28	142.01	279.14	89.51	0.0	0.0	0.0	0.0	0.0	1.46	5.02	6.36	6.94	2.61	3.38	0.0	0.0	1.23	0.0	0.52	0.0	0.06
OCIAD2	5672.41	7130.55	9606.86	3847.29	6426.31	9151.82	8022.41	8022.41	6887.62	8778.97	8305.36	7032.37	3060.45	2915.45	2335.28	9409.14	6935.54	4210.15	17317.18	8305.36	6652.97	10154.69	7331.05	4095.0	3564.78	3467.27	12415.75	4298.64	0.0	0.52
OR2C1	3.82	6.26	2.56	15.11	0.0	1.62	4.28	3.23	5.96	2.58	4.1	2.14	0.0	0.0	1.27	0.0	0.0	0.0	1.3	0.0	1.58	1.71	1.79	0.0	0.0	2.2	0.0	2.18	0.0	0.0
OR51E2	6.01	5.06	1.66	84.63	17.38	11.55	5.82	22.59	14.35	9.56	8.38	7.28	0.88	0.47	0.0	0.0	0.0	0.74	1.93	0.0	0.69	4.94	0.0	0.0	0.0	0.0	5.54	0.0	0.0	0.0
OSCP1	447.82	507.46	587.13	698.41	460.44	547.75	503.95	480.04	497.0	540.19	493.56	392.44	12.74	96.68	87.03	87.65	61.25	53.95	43.02	123.5	69.52	87.65	119.26	128.79	44.57	30.78	55.1	47.17	0.0	0.0
OVCA2	890.44	1037.29	1605.83	1733.13	954.43	848.22	981.29	1008.9	1088.92	1540.37	1023.0	1208.34	633.73	323.03	693.58	616.37	1183.45	753.83	591.22	698.41	669.92	503.95	872.1	921.88	796.86	928.3	813.63	738.29	0.0	0.27
PAK6	195.72	279.14	155.5	802.41	260.38	109.66	170.25	153.34	293.07	175.07	134.3	232.94	12.0	0.0	7.94	6.36	38.12	0.97	1.79	40.07	8.65	9.7	3.92	3.44	17.51	33.54	5.63	0.0	145.02	170.25
PAQR7	1295.13	934.76	921.88	1617.0	1001.93	1674.06	1183.45	1159.07	1088.92	915.51	2193.99	1104.13	123.5	20.11	37.85	190.34	180.02	41.22	187.71	140.04	154.42	218.79	166.73	128.79	176.29	55.1	165.57	84.63	229.72	1745.2
PDE6B	255.0	221.86	295.11	457.25	400.71	236.21	279.14	255.0	167.9	237.86	194.36	220.32	13.22	1.64	1.95	24.81	61.25	15.0	39.5	14.45	25.72	48.87	62.56	10.31	36.01	12.93	7.0	0.35	0.0	0.28
PFN3	26.67	3.14	5.5	7.57	8.0	7.88	3.03	3.06	6.01	0.0	14.35	7.34	0.0	0.0	4.74	2.41	1.33	0.0	2.1	0.0	2.41	1.31	2.89	3.82	1.48	3.5	2.27	0.89	0.0	0.0
PITPNA	1023.0	1151.06	866.07	2061.24	1023.0	967.76	1151.06	1081.39	1059.11	854.13	1066.48	988.12	267.73	457.25	348.71	480.04	624.99	802.41	547.75	698.41	854.13	620.67	656.11	1059.11	423.61	656.11	493.56	490.14	0.0	0.73
PLEKHA6	708.18	674.59	460.44	743.43	1208.34	723.08	769.69	785.88	796.86	371.22	974.5	902.89	316.37	738.29	339.14	497.0	447.82	155.5	283.05	237.86	242.88	379.04	209.84	397.93	486.75	253.23	483.38	204.07	0.0	0.38
PNMA6D	14.03	8.32	3.59	29.27	56.28	51.71	47.17	21.01	28.45	4.9	29.91	17.64	0.0	0.0	16.51	3.79	34.26	0.0	16.39	0.0	17.64	0.0	17.25	0.0	0.0	8.06	20.41	2.39	0.0	0.0
PODXL	5831.91	6121.9	2935.74	3039.3	4903.87	2417.67	5954.47	7695.57	4543.8	3443.31	6745.86	5479.15	157.68	198.47	198.47	231.32	36.01	89.51	123.5	21.47	89.51	52.08	91.41	94.01	73.54	63.0	123.5	15.22	0.0	0.66
PRDM14	0.71	2.66	9.06	2.07	4.43	0.41	2.16	1.46	0.38	2.29	3.38	7.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM7	1.08	2.39	1.0	3.89	0.43	0.84	1.48	2.25	0.77	3.35	0.78	3.35	0.0	0.99	0.0	0.0	0.19	0.0	0.0	0.0	1.46	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.04
PSMB6	4095.0	5183.54	5954.47	7032.37	4704.07	4543.8	4239.45	4543.8	4671.57	6207.38	4419.52	4836.35	2956.17	2004.85	2758.13	4802.93	5555.65	4095.0	4239.45	4419.52	4066.71	4607.24	3901.01	5479.15	5479.15	4358.66	3928.15	4123.49	0.0	0.78
PTH2R	420.68	547.75	480.04	2240.11	928.3	432.53	432.53	540.19	426.57	242.88	426.57	476.71	281.09	139.07	0.0	139.07	0.26	0.0	0.39	2.71	1.89	389.72	309.83	0.01	17.0	3.0	0.0	23.25	0.0	0.0
RAB11B	2777.33	3372.43	2997.45	8305.36	2468.49	2047.0	2609.3	2384.37	2720.15	3372.43	2351.53	3081.75	1844.76	1519.15	2520.38	2119.22	1832.01	967.76	1844.76	1769.57	3235.01	1832.01	2193.99	2451.44	2468.49	3168.41	2119.22	2351.53	2148.82	536.45
RAB7L1	1883.54	1407.55	1870.53	1350.18	2351.53	2573.36	1447.15	1733.13	1322.37	1104.13	2537.92	1662.49	224.97	1059.11	206.94	182.55	476.71	358.54	547.75	480.04	143.01	414.87	264.03	201.25	248.0	126.12	368.65	217.27	379.04	343.89
RASD1	3190.46	2417.67	3564.78	40341.14	4937.99	1781.89	2255.7	1991.0	2287.2	4358.66	1651.0	2451.44	379.04	26.86	860.08	1023.0	555.41	248.0	195.72	341.51	1651.0	231.32	149.12	665.29	2090.03	7032.37	660.68	7911.95	0.0	0.53
RASL11A	1088.92	1498.22	1088.92	1447.15	1135.2	836.53	1044.52	947.83	1304.15	1208.34	638.15	1143.1	159.9	39.22	35.25	723.08	239.52	73.03	293.07	267.73	172.65	239.52	139.07	392.44	376.41	164.42	175.07	791.35	0.0	0.42
RASL11B	543.96	567.1	633.73	1369.04	660.68	376.41	629.35	353.59	438.59	397.93	486.75	624.99	0.67	5.02	1.51	1.53	8.92	24.81	36.53	11.38	8.71	20.71	10.79	13.52	1.89	0.69	27.44	0.0	0.0	0.14
RBMXL2	1.07	1.69	1.0	2.71	1.93	1.25	0.38	0.38	0.39	1.33	0.0	0.38	0.0	0.0	0.0	0.95	0.92	0.35	0.36	0.0	1.48	1.3	0.0	0.51	2.46	0.31	1.87	0.37	0.0	0.0
RIPK4	441.64	470.14	237.86	954.43	842.36	373.81	457.25	346.29	473.41	551.56	363.56	473.41	152.28	218.79	102.25	185.11	258.57	164.42	348.71	267.73	532.74	148.09	226.54	307.69	309.83	483.38	167.9	713.11	0.0	0.24
RNF167	2935.74	3212.66	2895.31	4450.27	2997.45	3081.75	2915.45	3280.18	2956.17	3325.99	2739.08	3124.78	1844.76	1286.18	2758.13	3665.02	3257.52	2018.8	2758.13	2895.31	3257.52	3768.09	2502.97	3124.78	3665.02	3564.78	2468.49	4038.61	0.0	0.77
RNMTL1	384.34	463.65	480.04	780.44	373.81	356.05	406.31	363.56	392.44	480.04	406.31	426.57	201.25	172.65	194.36	400.71	532.74	483.38	470.14	429.54	368.65	470.14	325.29	669.92	563.18	414.87	279.14	363.56	0.0	0.31
RP1-127H14.3	1.75	5.68	5.19	18.43	0.0	4.1	0.0	5.45	3.41	2.29	3.41	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-763F8.1	0.0	0.0	0.0	6.06	16.03	0.0	2.58	0.0	0.0	0.0	0.0	5.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-539M6.19	11.64	2.01	27.05	158.79	19.39	19.68	70.01	10.96	13.62	13.72	5.32	2.18	0.0	0.0	0.0	16.15	0.0	31.45	0.0	0.0	0.0	3.5	5.92	16.88	20.11	3.5	15.11	4.98	0.0	0.0
RPH3AL	371.22	854.13	332.14	1015.93	669.92	208.38	503.95	356.05	305.55	358.54	432.53	412.0	128.79	105.89	109.66	348.71	180.02	151.22	255.0	239.52	187.71	281.09	251.48	251.48	211.31	303.44	182.55	1832.01	0.0	0.36
RSPH3	236.21	182.55	145.02	253.23	255.0	202.66	229.72	236.21	182.55	148.09	231.32	190.34	35.76	17.51	32.82	97.36	12.27	53.57	97.36	49.91	45.53	47.5	52.45	30.78	27.64	27.84	56.28	20.86	109.66	150.17
SCD5	1447.15	1427.22	1286.18	6164.49	1437.15	1216.75	1883.54	1259.69	2178.83	1674.06	1175.27	1151.06	3.0	3.32	4.66	98.73	46.84	86.43	175.07	53.95	27.05	105.89	75.11	134.3	96.68	89.51	58.71	2.94	0.0	0.26
SCNN1B	785.88	1794.29	1096.5	3820.7	638.15	470.14	1745.2	819.3	1769.57	1427.22	1088.92	1437.15	12.83	3.35	3.23	26.1	4.82	1.5	19.82	0.93	5.02	8.58	18.29	0.85	1.99	7.0	1.79	0.38	0.0	0.43
SEC14L1	1605.83	1111.82	1023.0	3639.7	1519.15	1551.09	1617.0	1407.55	1594.73	1015.93	1674.06	1508.65	297.17	476.71	237.86	620.67	295.11	351.14	327.56	279.14	607.87	392.44	599.49	285.03	463.65	743.43	232.94	220.32	0.0	0.51
SLC16A4	2645.74	1977.24	3146.52	2004.85	4298.64	5183.54	3190.46	4066.71	1977.24	2434.5	5041.77	3280.18	5.92	4.74	2.39	371.22	214.27	119.26	72.52	148.09	94.67	283.05	836.53	69.52	59.13	158.79	163.28	397.93	325.29	571.05
SLC16A5	1151.06	785.88	647.07	7433.4	1350.18	684.02	490.14	376.41	587.13	518.15	277.2	733.19	25.17	14.89	5.63	38.4	74.58	27.84	59.97	94.01	37.85	52.45	74.06	35.25	57.49	16.27	13.72	11.3	0.0	0.55
SLC17A3	3589.58	1457.23	3081.75	3018.3	4239.45	7749.1	1757.34	2627.46	1963.57	2119.22	6652.97	2627.46	1143.1	429.54	356.05	1066.48	244.57	547.75	974.5	435.55	836.53	384.34	1617.0	1233.75	775.05	928.3	1277.29	76.17	0.0	0.01
SLC25A34	128.79	131.51	170.25	171.45	80.01	249.73	189.02	155.5	128.79	164.42	135.24	283.05	14.35	13.03	13.12	100.83	51.35	16.63	74.06	66.18	85.22	76.17	38.12	73.54	27.05	19.11	66.18	50.98	0.0	0.58
SLC2A7	0.0	0.33	0.32	6.62	0.0	0.0	1.08	0.73	0.38	0.33	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
SLC34A1	6887.62	4512.4	4607.24	4736.79	2956.17	7433.4	5183.54	7642.41	3280.18	2271.4	13492.72	6250.56	98.04	3.76	2.32	69.03	64.34	29.7	23.08	34.75	24.11	41.81	73.03	39.79	25.35	30.56	26.67	48.52	0.0	0.06
SLC47A1	2193.99	1685.71	2400.97	3589.58	4671.57	4419.52	3039.3	3060.45	1757.34	1697.45	4937.99	3081.75	521.76	1199.98	1199.98	4575.41	1781.89	1832.01	2956.17	3349.13	3716.2	2537.92	1551.09	2032.85	2895.31	884.29	2417.67	1066.48	0.0	0.13
SLC4A4	2645.74	1127.35	1561.89	1477.58	2555.58	5112.16	2163.77	2451.44	1498.22	878.17	5594.3	2104.58	81.14	146.03	15.8	242.88	244.57	633.73	460.44	500.46	1066.48	339.14	171.45	191.67	299.25	271.48	414.87	186.4	0.0	0.12
SLC52A1	7.4	7.69	4.24	343.89	11.13	7.4	5.45	7.28	12.45	11.47	5.68	10.47	0.35	0.0	0.0	6.67	3.32	2.61	4.82	2.71	2.46	6.01	10.39	2.58	1.57	5.11	3.17	0.83	0.0	0.0
SLC5A1	69.52	87.65	88.88	1088.92	21.16	366.09	361.04	124.37	336.79	167.9	291.04	87.65	0.44	0.0	0.0	253.23	1.62	51.71	161.02	68.07	10.16	10.24	53.57	56.68	37.85	507.46	52.82	38.12	0.0	0.0
SLC5A10	1397.83	1407.55	1950.0	1963.57	2119.22	3515.68	2004.85	1674.06	1191.69	1104.13	3847.29	2895.31	2.36	1.36	9.2	0.21	17.51	0.27	8.58	7.28	38.95	5.28	3.99	23.59	17.38	2.32	7.22	8.99	0.0	0.27
SLC5A2	2367.9	1359.57	2224.63	896.64	967.76	2224.63	1191.69	1936.53	819.3	1030.12	4010.71	2502.97	23.08	9.78	0.77	28.45	2.68	9.13	6.11	13.42	8.92	10.63	3.69	32.36	5.92	7.17	2.53	1.77	0.0	0.23
SLC5A8	90.77	63.89	145.02	1331.57	316.37	332.14	285.03	120.94	172.65	112.77	253.23	142.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0
SLC6A13	2627.46	3190.46	2451.44	4328.55	3690.52	5329.3	3874.05	3419.52	3395.89	3124.78	4419.52	5041.77	642.59	68.07	17.64	463.65	830.75	186.4	884.29	825.0	529.06	297.17	1059.11	166.73	860.08	454.09	674.59	490.14	0.0	0.0
SMCO3	60.82	72.01	74.58	88.26	74.58	65.72	73.54	106.63	31.9	64.34	82.87	66.18	13.42	15.68	6.94	31.0	24.11	11.21	38.12	17.13	84.63	14.56	79.45	48.18	22.43	15.0	40.36	26.28	0.0	0.0
SPAG7	2163.77	2485.67	2537.92	3794.3	2178.83	1870.53	2032.85	2047.0	1844.76	3018.3	1923.14	2209.26	669.92	647.07	791.35	2303.12	2133.97	813.63	1519.15	1508.65	2240.11	1183.45	2119.22	2032.85	1529.73	1540.37	2032.85	1350.18	0.0	0.65
SPOCK2	1844.76	2520.38	1242.34	2209.26	1540.37	921.88	1883.54	2255.7	1819.35	2032.85	2163.77	2400.97	47.17	45.21	16.51	450.94	65.72	47.5	100.83	57.08	703.28	66.65	45.85	295.11	134.3	267.73	150.17	99.43	0.0	0.24
SPTBN2	2417.67	2271.4	928.3	14971.21	2287.2	836.53	2061.24	1096.5	1331.57	2224.63	1313.23	1870.53	1250.98	1388.16	733.19	1551.09	3212.66	75.64	902.89	679.29	1583.71	1359.57	1242.34	1304.15	2148.82	1397.83	1583.71	521.76	0.0	0.09
SUCNR1	974.5	921.88	713.11	1199.98	1304.15	995.0	974.5	1216.75	1001.93	444.72	1044.52	547.75	28.04	11.21	4.06	84.04	44.89	29.7	334.46	137.14	147.06	96.01	77.79	80.01	43.94	43.63	50.63	60.39	0.0	0.04
TF	18.97	20.71	22.92	23.76	13.03	63.0	20.56	32.13	11.55	90.77	52.45	21.32	217400.14	93325.55	350728.68	2786455.11	3406832.48	2039804.27	2068278.89	1.271475112E7	2617937.91	4165330.83	8273118.55	3007221.12	2232145.06	2011721.67	2375828.71	1355129.16	0.0	0.62
TIMM22	265.87	283.05	314.17	447.82	287.01	241.19	264.03	248.0	269.6	277.2	232.94	271.48	67.12	56.28	82.29	109.66	110.43	74.06	117.6	99.43	63.89	115.97	90.77	111.99	128.79	93.35	132.44	34.02	0.0	0.09
TMEM107	371.22	507.46	497.0	1059.11	420.68	420.68	400.71	476.71	392.44	497.0	295.11	450.94	60.82	76.71	251.48	155.5	118.43	58.71	78.34	183.82	159.9	122.64	194.36	143.01	62.56	48.18	152.28	74.58	0.0	0.21
TMEM169	86.43	29.7	67.12	226.54	157.68	59.97	55.49	63.0	45.53	44.89	57.08	44.25	28.45	48.87	15.56	24.99	34.26	24.63	46.18	25.91	7.46	49.21	35.0	37.59	29.06	13.83	44.25	4.74	0.0	0.0
TMEM27	4481.23	4903.87	6840.04	8963.45	16383.0	7966.99	5479.15	7642.41	3794.3	5292.48	10014.87	4450.27	10.08	231.32	35.0	406.31	791.35	934.76	1709.26	928.3	2997.45	1037.29	2485.67	1340.84	1030.12	1594.73	5995.9	2075.59	0.0	0.0
TMEM88	954.43	884.29	1081.39	2777.33	587.13	599.49	575.03	802.41	791.35	1295.13	500.46	775.05	59.13	157.68	94.01	141.02	123.5	62.56	49.21	41.22	73.03	71.0	169.07	53.57	73.54	77.25	58.3	25.35	0.0	0.16
TMEM9	3146.52	3443.31	4543.8	2915.45	3280.18	3589.58	3018.3	3168.41	3467.27	4450.27	2956.17	3146.52	981.29	2104.58	3325.99	1397.83	2915.45	1605.83	1001.93	1199.98	1950.0	1950.0	1340.84	1977.24	1709.26	1250.98	2133.97	1127.35	4181.07	928.3
TNFSF13	1832.01	1697.45	1936.53	5076.84	1857.6	1977.24	1883.54	1331.57	2032.85	1870.53	1561.89	1870.53	169.07	68.55	63.89	366.09	229.72	171.45	447.82	403.5	265.87	567.1	346.29	297.17	201.25	139.07	447.82	163.28	0.0	0.37
TSNAXIP1	50.63	65.26	55.1	105.89	46.5	35.0	44.25	38.12	53.19	58.71	39.22	58.71	7.11	4.13	9.48	23.42	13.52	1.48	11.82	9.78	39.5	10.71	15.56	19.68	26.67	26.86	27.64	5.11	0.0	0.06
TSPAN1	9606.86	6079.61	12853.63	24153.43	24321.43	14163.58	8538.88	10368.08	6121.9	9409.14	11664.82	8078.22	152.28	73.54	155.5	85.82	189.02	76.17	138.1	115.97	141.02	579.04	139.07	96.01	480.04	231.32	176.29	108.9	514.56	1617.0
TTC19	934.76	928.3	1008.9	1923.14	718.08	902.89	1066.48	1073.91	830.75	995.0	890.44	896.64	178.77	163.28	620.67	447.82	395.18	909.17	341.51	463.65	595.34	312.0	759.08	466.88	529.06	595.34	620.67	802.41	567.1	157.68
TTC40	79.45	81.14	69.03	134.3	79.45	80.57	96.68	75.64	71.0	63.45	86.43	76.71	0.71	0.0	0.0	26.47	4.98	1.75	8.78	2.29	10.24	8.78	8.78	0.96	18.29	29.06	34.75	11.21	0.0	0.0
TUBB2B	780.44	733.19	460.44	1857.6	551.56	547.75	723.08	651.58	1487.87	620.67	454.09	633.73	96.68	3.11	67.12	68.55	164.42	111.99	103.69	74.06	21.01	237.86	108.14	20.26	46.18	113.56	66.18	26.1	0.0	0.47
UCHL1	3103.19	4512.4	4152.18	12853.63	14461.21	2303.12	4972.34	4210.15	4836.35	5112.16	1388.16	3039.3	8.71	5.82	18.84	4.98	9.56	80.57	35.25	3.99	22.92	13.62	17.51	3.76	11.64	5.82	25.35	0.0	0.0	1.1
VAMP2	2609.3	2855.44	2351.53	5366.37	1572.76	1769.57	2417.67	2502.97	2555.58	3419.52	2434.5	2777.33	153.34	603.67	563.18	624.99	595.34	429.54	928.3	612.11	651.58	563.18	607.87	928.3	748.61	587.13	974.5	791.35	497.0	3124.78
VWA7	521.76	406.31	318.57	866.07	336.79	521.76	371.22	314.17	346.29	346.29	540.19	454.09	59.55	100.13	77.25	21.47	20.11	4.9	84.04	31.22	73.54	40.36	88.88	66.18	46.84	61.68	69.03	23.42	0.0	0.0
WDR63	15.8	23.59	21.16	33.78	38.67	13.12	17.38	20.41	13.62	10.47	13.93	19.82	0.0	6.21	0.0	3.99	0.0	0.0	0.0	11.47	0.0	0.83	0.0	1.79	2.29	0.73	2.14	0.0	0.0	0.0
WDR91	748.61	703.28	642.59	1651.0	1001.93	808.0	674.59	529.06	612.11	595.34	796.86	830.75	327.56	220.32	128.79	98.73	91.41	82.87	90.77	59.55	119.26	147.06	189.02	142.01	295.11	185.11	199.85	52.45	0.0	0.83
WDR93	25.72	27.05	26.1	82.29	26.86	20.71	32.36	21.32	24.63	26.67	23.08	20.11	0.0	0.0	0.0	1.41	0.0	0.0	0.39	0.0	0.0	4.54	8.25	2.32	3.63	3.92	1.81	1.57	0.0	0.0
WFDC1	220.32	303.44	271.48	343.89	441.64	303.44	318.57	318.57	323.03	403.5	164.42	314.17	8.65	13.42	11.38	183.82	58.3	25.54	101.54	35.76	273.37	75.64	76.71	62.56	87.65	120.1	178.77	36.01	0.0	0.44
ZFAND2B	1304.15	1519.15	1561.89	1350.18	1369.04	1151.06	1242.34	1167.14	1427.22	1832.01	1322.37	1605.83	1467.37	1233.75	860.08	1175.27	1806.78	738.29	1286.18	808.0	1277.29	890.44	1369.04	1199.98	1617.0	1268.46	1617.0	902.89	743.43	764.36
ZNF624	56.28	48.87	29.48	105.15	47.5	36.79	54.33	49.56	51.35	28.04	51.35	35.5	4.54	6.11	8.65	6.06	27.64	23.25	14.67	21.63	7.75	21.47	24.46	8.0	16.15	1.58	14.35	5.54	0.0	0.0
ZNF835	53.19	50.98	35.0	60.82	50.27	30.12	57.89	37.32	47.5	28.86	40.36	37.05	2.23	9.13	0.92	4.43	10.63	2.51	17.25	1.91	2.97	8.25	6.94	9.93	13.72	0.03	8.45	0.0	0.0	0.0
ZSWIM7	896.64	1030.12	1295.13	2224.63	866.07	1015.93	854.13	764.36	1388.16	1233.75	854.13	660.68	329.84	231.32	693.58	1096.5	909.17	651.58	1159.07	629.35	842.36	551.56	785.88	902.89	743.43	599.49	954.43	432.53	536.45	693.58
