	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.ZF.AA5N.01A.11R.A42T.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.WRHU.0926.SM.4E3IG	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZVT3.0726.SM.5GICN	GTEX.RU72.0126.SM.2TF6Z	GTEX.WVLH.0626.SM.3MJG7	GTEX.117YW.0126.SM.5EGGN	GTEX.WYVS.0326.SM.3NM9V	GTEX.12WSD.0926.SM.5GCNL	GTEX.1212Z.0426.SM.5FQT6	GTEX.13O1R.0826.SM.5J2MB
ADCY7	74.06	115.97	25.72	78.34	57.49	68.07	36.79	19.25	31.9	251.48	19.68	121.79	128.79	74.06	64.8	18.03	27.44	91.41	20.41	70.51	28.86	138.1	43.63	59.97	83.45	14.89	39.5	30.78	26.1	87.65	88.88	113.56	155.5	8.58	11.04	26.28	22.43	114.36	486.75	141.02	293.07	159.9	309.83	470.14	376.41	332.14	954.43	307.69	212.78	361.04	356.05	490.14	226.54	332.14	454.09	571.05	197.09	187.71	193.01	718.08	409.15	81.14	48.18	88.88	93.35	403.5	161.02	93.35	211.31	131.51	44.25	139.07
ADD3	414.87	616.37	325.29	275.28	107.38	441.64	198.47	193.01	447.82	224.97	540.19	241.19	688.78	236.21	878.17	273.37	279.14	599.49	120.94	373.81	199.85	215.77	423.61	193.01	279.14	389.72	567.1	199.85	327.56	305.55	389.72	2537.92	2664.15	89.51	38.12	87.03	71.5	214.27	366.09	341.51	438.59	450.94	387.02	466.88	555.41	320.8	301.33	336.79	587.13	988.12	819.3	473.41	180.02	361.04	470.14	277.2	246.28	239.52	218.79	555.41	3212.66	2555.58	2148.82	1757.34	1963.57	2468.49	2976.74	3018.3	2956.17	3901.01	2367.9	1096.5
AKAP11	100.13	150.17	45.21	102.97	35.76	98.73	127.0	86.43	99.43	98.73	96.68	86.43	88.88	41.22	145.02	78.89	77.25	139.07	41.22	151.22	125.24	83.45	54.72	132.44	107.38	114.36	119.26	87.65	78.89	85.22	116.78	312.0	603.67	30.12	22.75	15.34	38.67	85.22	128.79	273.37	277.2	231.32	346.29	197.09	429.54	275.28	201.25	141.02	303.44	351.14	145.02	183.82	239.52	202.66	285.03	277.2	209.84	190.34	204.07	283.05	267.73	312.0	381.68	281.09	220.32	318.57	255.0	341.51	371.22	361.04	262.2	165.57
ANKRD12	91.41	162.14	141.02	80.01	46.5	69.03	106.63	93.35	104.42	90.14	117.6	39.79	113.56	44.89	140.04	125.24	72.52	115.16	26.28	88.88	214.27	76.71	262.2	106.63	124.37	151.22	132.44	58.71	93.35	76.71	223.41	182.55	262.2	45.53	33.3	47.5	26.47	56.28	78.89	96.68	237.86	139.07	106.63	195.72	334.46	206.94	208.38	164.42	353.59	287.01	152.28	163.28	181.28	167.9	234.57	197.09	91.41	193.01	579.04	169.07	400.71	381.68	309.83	320.8	295.11	466.88	248.0	301.33	332.14	329.84	348.71	231.32
ANKRD20A1	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.65	0.0	1.57	1.58	0.0	3.29	0.0	0.0	1.38	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.68	1.71	0.0	1.46	0.0	0.0	8.58	0.0	0.57	0.0	0.0	0.61	1.35	2.46	6.67	2.97	0.0	1.16	4.06	3.89	6.16	4.24	9.48	3.66	2.12	9.48	3.82	6.52	8.85	6.84	3.47	5.19	7.51	1.81	14.67	20.86	47.17	15.11	24.63	9.78	11.73	30.56	23.93	32.59	8.13	3.5
ANKRD20A2	0.0	0.0	0.0	0.0	0.0	1.66	0.89	0.0	0.0	1.27	0.31	0.0	0.32	0.0	0.0	0.0	0.33	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.62	0.89	0.0	0.85	0.0	1.46	0.0	2.89	3.53	0.0	1.69	0.0	0.0	1.62	4.03	1.66	4.1	8.38	1.97	5.96	8.71	7.94	4.35	5.54	8.38	8.85	4.24	16.15	0.67	6.57	3.32	19.68	3.14	3.72	3.29	4.9	10.47	9.63	22.92	14.56	9.41	3.47	3.59	15.8	16.88	11.38	10.08	5.45
ANKRD20A3	2.34	0.0	0.0	0.0	0.0	4.66	8.0	0.96	3.35	2.23	0.93	1.57	0.64	0.0	7.82	0.0	1.62	0.36	1.3	0.39	0.0	1.0	1.11	0.0	0.0	1.5	3.99	1.14	0.0	0.88	0.0	3.38	6.94	0.53	0.0	0.0	0.0	1.43	1.07	6.36	2.94	8.38	0.08	5.59	14.03	12.18	5.87	8.58	22.59	17.25	0.74	7.57	2.63	3.86	10.55	7.17	5.5	3.82	5.82	4.39	16.39	59.55	39.5	37.32	27.64	12.64	39.79	46.18	33.06	18.97	25.54	9.48
ANKRD20A4	0.68	0.0	1.46	0.0	0.58	0.0	2.68	0.64	0.0	0.96	0.32	1.89	0.32	0.0	0.0	0.0	0.0	0.0	1.3	0.78	0.0	0.0	1.85	0.0	0.64	2.1	0.68	4.28	0.0	0.0	1.01	1.17	2.71	0.0	0.0	0.0	0.0	0.23	0.0	1.62	1.03	2.23	0.0	0.29	2.56	1.57	17.38	0.95	8.06	17.77	0.78	18.29	1.06	3.69	1.48	22.75	0.88	2.56	0.71	0.54	3.0	31.22	17.9	18.43	3.59	19.53	17.9	15.0	1.27	4.82	11.91	5.23
AP001468.1	4.13	17.25	0.0	6.41	0.0	2.76	8.19	0.0	6.84	5.87	0.0	5.41	9.27	3.17	0.0	2.71	2.01	6.31	3.99	3.53	0.0	0.0	8.99	0.0	7.0	2.78	0.0	4.7	4.24	0.0	24.46	11.73	4.43	12.18	7.94	3.14	0.0	5.54	20.11	15.91	36.27	26.1	92.05	56.68	57.08	117.6	15.91	52.45	5.63	153.34	30.34	63.45	11.91	91.41	17.9	32.59	19.39	75.11	72.52	87.65	35.25	12.55	26.86	12.83	20.86	19.11	13.22	41.22	36.01	12.55	13.03	11.73
ARHGAP21	171.45	260.38	170.25	262.2	525.39	187.71	145.02	129.69	202.66	642.59	165.57	348.71	234.57	275.28	265.87	134.3	123.5	156.59	180.02	358.54	466.88	190.34	226.54	183.82	102.25	241.19	172.65	204.07	152.28	92.05	127.0	896.64	620.67	88.88	91.41	71.5	82.29	171.45	368.65	426.57	476.71	511.0	429.54	371.22	713.11	490.14	417.77	358.54	738.29	612.11	665.29	559.28	381.68	454.09	473.41	414.87	329.84	521.76	470.14	518.15	703.28	497.0	780.44	563.18	483.38	633.73	693.58	599.49	603.67	738.29	532.74	379.04
ARHGAP26	102.25	145.02	92.05	42.41	111.99	19.25	82.29	86.43	128.79	136.19	67.59	92.7	38.95	35.5	80.01	159.9	47.5	104.42	16.03	63.45	59.13	104.42	70.01	57.49	43.63	62.56	59.55	76.71	64.8	50.63	42.11	309.83	470.14	78.89	35.76	127.0	51.71	215.77	82.29	67.12	73.54	166.73	62.56	145.02	153.34	323.03	194.36	142.01	738.29	69.52	256.78	146.03	336.79	175.07	199.85	151.22	91.41	163.28	241.19	142.01	150.17	121.79	147.06	158.79	189.02	232.94	156.59	117.6	201.25	159.9	161.02	175.07
ARID4A	131.51	191.67	85.22	102.25	24.99	76.17	105.89	82.87	110.43	74.06	94.67	59.13	66.18	32.59	167.9	98.73	64.34	249.73	50.63	128.79	54.72	48.52	151.22	85.82	53.95	116.78	124.37	72.01	71.0	26.47	114.36	241.19	277.2	66.65	88.26	26.67	29.91	52.82	90.77	158.79	194.36	157.68	201.25	115.16	255.0	198.47	136.19	92.7	271.48	273.37	293.07	166.73	79.45	122.64	126.12	162.14	143.01	151.22	112.77	277.2	258.57	258.57	389.72	251.48	283.05	316.37	172.65	341.51	325.29	299.25	248.0	206.94
ASAP2	50.98	264.03	25.35	70.01	217.27	115.16	53.95	30.78	59.55	353.59	47.17	69.03	193.01	120.94	244.57	102.97	84.63	211.31	35.0	112.77	91.41	59.13	353.59	77.79	92.7	167.9	334.46	102.97	42.11	37.85	255.0	182.55	242.88	2.81	10.08	8.51	10.39	18.84	84.04	161.02	197.09	223.41	166.73	214.27	368.65	201.25	95.34	201.25	473.41	186.4	47.17	392.44	93.35	183.82	147.06	151.22	80.57	211.31	156.59	171.45	438.59	412.0	591.22	791.35	348.71	633.73	463.65	872.1	791.35	1250.98	698.41	224.97
ATG2B	81.14	127.0	29.91	82.29	27.05	51.71	57.49	49.21	84.04	48.18	66.65	46.5	78.34	30.12	76.71	94.01	47.17	119.26	44.89	66.65	67.59	39.79	109.66	43.02	27.44	69.03	88.88	64.34	42.11	24.46	73.03	131.51	120.94	55.49	46.18	38.67	53.57	33.78	68.07	87.03	193.01	126.12	133.36	102.25	201.25	151.22	98.04	57.49	341.51	197.09	197.09	154.42	97.36	106.63	84.63	93.35	83.45	121.79	93.35	159.9	299.25	220.32	660.68	368.65	318.57	287.01	190.34	336.79	312.0	336.79	305.55	248.0
ATM	108.14	275.28	120.94	75.64	46.18	172.65	98.73	51.35	105.89	120.1	71.5	90.77	108.14	50.98	81.14	84.63	108.14	236.21	102.25	150.17	164.42	87.65	211.31	120.1	165.57	126.12	148.09	97.36	47.84	105.15	201.25	223.41	379.04	45.85	40.07	64.8	66.18	83.45	87.03	120.94	249.73	229.72	204.07	275.28	220.32	329.84	389.72	155.5	171.45	348.71	148.09	172.65	98.73	132.44	214.27	283.05	135.24	150.17	285.03	312.0	473.41	500.46	688.78	599.49	567.1	848.22	334.46	629.35	638.15	563.18	551.56	221.86
ATXN1	97.36	92.05	107.38	47.5	13.72	89.51	36.79	77.79	98.04	209.84	73.03	23.76	80.57	58.3	67.12	15.34	20.86	117.6	30.12	102.97	76.71	135.24	102.97	79.45	55.1	20.56	83.45	21.94	54.72	95.34	44.57	483.38	373.81	63.89	94.67	82.87	59.55	127.0	189.02	147.06	187.71	162.14	199.85	181.28	231.32	189.02	307.69	185.11	318.57	228.13	262.2	186.4	102.97	185.11	218.79	177.53	119.26	153.34	262.2	193.01	336.79	403.5	444.72	379.04	540.19	514.56	271.48	529.06	384.34	379.04	392.44	150.17
ATXN7	112.77	119.26	75.11	108.14	50.98	48.52	74.06	70.51	96.68	88.88	102.25	48.87	108.14	49.91	108.9	45.53	72.52	102.25	26.1	108.9	69.52	92.05	127.0	73.54	127.0	76.71	104.42	60.39	87.65	69.52	99.43	129.69	228.13	59.13	40.64	34.75	52.82	55.49	180.02	127.89	212.78	121.79	151.22	142.01	256.78	236.21	299.25	131.51	392.44	181.28	277.2	191.67	241.19	190.34	297.17	189.02	141.02	157.68	218.79	218.79	363.56	281.09	400.71	473.41	248.0	387.02	309.83	547.75	275.28	423.61	363.56	346.29
BAZ2B	191.67	186.4	108.9	195.72	43.02	76.71	162.14	178.77	159.9	115.97	163.28	93.35	135.24	15.68	305.55	112.77	113.56	256.78	91.41	234.57	231.32	63.89	78.34	162.14	104.42	132.44	118.43	146.03	164.42	65.26	96.01	406.31	343.89	40.36	19.82	50.63	22.92	65.72	182.55	271.48	379.04	297.17	376.41	293.07	575.03	363.56	267.73	195.72	473.41	476.71	406.31	356.05	186.4	271.48	258.57	329.84	248.0	297.17	183.82	591.22	476.71	493.56	813.63	567.1	612.11	684.02	392.44	830.75	718.08	688.78	599.49	301.33
BOD1L1	223.41	166.73	122.64	267.73	102.97	109.66	198.47	162.14	242.88	218.79	229.72	217.27	220.32	131.51	323.03	181.28	246.28	293.07	102.97	460.44	223.41	120.94	205.5	318.57	176.29	289.02	363.56	348.71	267.73	208.38	256.78	591.22	366.09	52.08	80.01	59.55	31.9	81.71	223.41	373.81	633.73	438.59	400.71	314.17	450.94	363.56	417.77	277.2	748.61	529.06	287.01	518.15	341.51	426.57	397.93	392.44	260.38	366.09	412.0	466.88	656.11	529.06	698.41	555.41	514.56	785.88	423.61	607.87	563.18	638.15	567.1	551.56
C10orf118	85.82	109.66	65.72	74.06	42.41	112.77	70.51	40.07	88.88	106.63	74.58	96.68	150.17	73.03	117.6	58.71	108.14	98.04	36.27	51.35	47.84	40.07	84.04	110.43	116.78	100.13	101.54	47.84	52.08	94.01	57.89	221.86	273.37	21.16	34.75	15.8	14.35	37.05	112.77	120.94	231.32	120.94	195.72	126.12	208.38	191.67	127.0	125.24	603.67	226.54	514.56	202.66	185.11	185.11	193.01	182.55	103.69	183.82	177.53	228.13	273.37	547.75	454.09	547.75	497.0	417.77	190.34	633.73	361.04	507.46	525.39	303.44
C4orf29	182.55	50.98	50.98	81.14	31.45	36.27	48.52	56.28	96.68	65.26	84.04	65.26	57.49	45.85	94.67	62.12	63.45	80.01	29.7	90.77	65.26	46.18	66.65	51.71	49.91	77.25	87.65	97.36	43.63	38.95	87.03	125.24	103.69	68.07	66.18	43.02	71.5	88.88	52.45	92.05	170.25	105.89	153.34	111.99	138.1	114.36	128.79	80.57	81.71	156.59	77.79	152.28	82.87	101.54	62.56	87.65	105.89	111.99	123.5	144.01	229.72	228.13	220.32	224.97	205.5	186.4	173.85	164.42	199.85	212.78	171.45	123.5
C9orf72	90.77	49.91	82.29	62.56	46.84	79.45	53.95	93.35	56.28	88.26	75.64	61.25	69.03	35.5	89.51	32.13	67.59	59.97	38.95	66.18	60.82	140.04	39.79	91.41	106.63	81.71	92.7	136.19	65.72	83.45	86.43	409.15	389.72	99.43	95.34	17.9	64.34	81.71	171.45	181.28	211.31	205.5	237.86	127.0	258.57	249.73	429.54	136.19	460.44	285.03	490.14	242.88	169.07	211.31	303.44	281.09	126.12	181.28	295.11	258.57	384.34	521.76	1059.11	435.55	764.36	426.57	334.46	563.18	591.22	493.56	563.18	341.51
CCNDBP1	599.49	872.1	500.46	1225.22	660.68	620.67	1331.57	1191.69	679.29	848.22	1051.79	679.29	624.99	660.68	860.08	1051.79	848.22	1143.1	836.53	1208.34	769.69	830.75	1023.0	1487.87	825.0	1104.13	1104.13	1030.12	1073.91	825.0	521.76	1745.2	1651.0	698.41	684.02	480.04	480.04	708.18	674.59	1685.71	1991.0	1369.04	1857.6	1233.75	2319.15	1617.0	1051.79	928.3	1437.15	2240.11	660.68	1001.93	473.41	1183.45	1059.11	1015.93	1081.39	1397.83	988.12	1457.23	1769.57	1697.45	1832.01	1447.15	1427.22	1498.22	1769.57	1561.89	2032.85	1628.26	1769.57	1023.0
CDK17	251.48	186.4	129.69	182.55	122.64	187.71	120.1	114.36	175.07	218.79	140.04	120.94	183.82	191.67	242.88	108.14	244.57	198.47	40.36	287.01	156.59	135.24	163.28	185.11	143.01	165.57	167.9	135.24	77.25	103.69	146.03	229.72	258.57	82.29	66.18	53.19	90.77	133.36	341.51	426.57	420.68	395.18	351.14	316.37	363.56	348.71	395.18	244.57	796.86	381.68	665.29	571.05	674.59	309.83	536.45	480.04	363.56	353.59	483.38	373.81	368.65	301.33	420.68	379.04	291.04	460.44	397.93	376.41	400.71	381.68	334.46	305.55
CERK	114.36	107.38	107.38	68.07	39.22	138.1	36.53	248.0	107.38	189.02	173.85	163.28	151.22	181.28	155.5	104.42	21.01	135.24	172.65	115.97	40.36	218.79	69.03	93.35	82.29	23.59	59.55	29.91	46.5	182.55	62.56	934.76	775.05	293.07	142.01	193.01	320.8	688.78	435.55	397.93	241.19	226.54	265.87	244.57	389.72	409.15	149.12	285.03	785.88	228.13	872.1	176.29	507.46	258.57	314.17	175.07	226.54	599.49	318.57	255.0	236.21	334.46	444.72	363.56	397.93	507.46	251.48	470.14	567.1	563.18	511.0	392.44
CHD2	353.59	392.44	323.03	291.04	128.79	297.17	371.22	228.13	414.87	224.97	279.14	237.86	291.04	198.47	400.71	295.11	297.17	438.59	248.0	476.71	172.65	165.57	384.34	273.37	376.41	255.0	363.56	316.37	318.57	316.37	348.71	579.04	486.75	150.17	101.54	103.69	94.67	169.07	414.87	353.59	579.04	426.57	403.5	420.68	497.0	339.14	543.96	325.29	1151.06	612.11	1167.14	476.71	438.59	579.04	503.95	366.09	314.17	486.75	463.65	409.15	802.41	1151.06	1350.18	1030.12	1167.14	1225.22	802.41	1216.75	1023.0	1081.39	860.08	1313.23
CREBRF	79.45	84.63	76.17	44.57	22.92	54.33	65.72	82.87	79.45	52.82	71.0	38.67	63.0	17.38	63.0	80.01	63.0	72.52	55.1	80.01	25.35	67.12	85.22	100.83	92.7	53.95	59.97	56.28	57.89	33.3	59.13	356.05	320.8	54.33	52.45	38.95	28.04	74.06	65.72	152.28	285.03	229.72	170.25	155.5	293.07	297.17	376.41	159.9	490.14	214.27	267.73	273.37	67.12	251.48	135.24	176.29	118.43	120.1	353.59	253.23	450.94	493.56	633.73	518.15	718.08	511.0	295.11	551.56	466.88	476.71	460.44	249.73
CRK	460.44	486.75	441.64	314.17	403.5	466.88	277.2	486.75	607.87	511.0	441.64	507.46	497.0	547.75	665.29	325.29	420.68	423.61	264.03	796.86	559.28	420.68	571.05	457.25	353.59	406.31	312.0	325.29	277.2	336.79	336.79	571.05	708.18	220.32	260.38	234.57	341.51	764.36	902.89	1277.29	1322.37	1143.1	1340.84	961.07	1167.14	1135.2	902.89	1225.22	825.0	1369.04	830.75	988.12	1322.37	1081.39	1127.35	954.43	1088.92	1066.48	1081.39	954.43	591.22	587.13	674.59	583.07	693.58	693.58	669.92	559.28	785.88	842.36	842.36	624.99
CRY1	86.43	194.36	142.01	114.36	93.35	189.02	109.66	76.17	253.23	140.04	111.99	48.52	218.79	78.34	150.17	159.9	162.14	128.79	68.55	181.28	173.85	150.17	153.34	135.24	93.35	202.66	215.77	125.24	88.26	135.24	129.69	305.55	281.09	98.04	115.16	204.07	86.43	105.89	412.0	277.2	361.04	309.83	217.27	305.55	262.2	373.81	289.02	316.37	599.49	450.94	420.68	395.18	483.38	341.51	299.25	242.88	476.71	262.2	547.75	193.01	460.44	351.14	575.03	599.49	444.72	575.03	473.41	536.45	599.49	486.75	470.14	466.88
DDHD1	115.16	35.76	91.41	126.12	26.1	63.45	52.08	102.97	113.56	68.07	83.45	71.0	18.43	127.89	38.95	50.27	31.22	144.01	39.5	137.14	66.65	57.89	111.21	53.95	37.85	20.86	69.52	63.0	13.83	20.41	50.63	126.12	175.07	19.68	18.84	16.51	14.35	26.47	66.65	63.45	106.63	76.17	48.87	94.01	133.36	80.01	175.07	58.3	153.34	102.25	75.64	109.66	81.71	90.14	92.05	120.94	88.26	62.56	75.11	171.45	110.43	96.68	145.02	128.79	108.9	133.36	71.0	137.14	144.01	116.78	97.36	98.04
DDX6	185.11	493.56	105.89	176.29	125.24	202.66	96.68	141.02	258.57	325.29	161.02	277.2	363.56	226.54	237.86	132.44	256.78	525.39	98.04	346.29	191.67	94.01	303.44	258.57	171.45	251.48	312.0	173.85	88.26	122.64	271.48	470.14	1081.39	63.45	66.65	66.65	116.78	125.24	400.71	314.17	665.29	444.72	497.0	397.93	753.83	612.11	476.71	551.56	1883.54	480.04	775.05	547.75	785.88	423.61	791.35	567.1	493.56	493.56	426.57	693.58	616.37	563.18	738.29	1151.06	612.11	1167.14	476.71	825.0	1216.75	954.43	674.59	511.0
DGKD	334.46	106.63	60.82	199.85	208.38	163.28	392.44	117.6	220.32	186.4	218.79	122.64	83.45	214.27	112.77	194.36	150.17	785.88	105.15	151.22	114.36	116.78	159.9	56.28	123.5	75.64	137.14	186.4	206.94	156.59	149.12	135.24	137.14	114.36	90.77	84.63	73.03	115.97	688.78	231.32	624.99	934.76	299.25	825.0	473.41	723.08	607.87	432.53	884.29	713.11	1331.57	1008.9	1199.98	764.36	785.88	642.59	336.79	486.75	480.04	563.18	629.35	389.72	403.5	497.0	525.39	447.82	536.45	638.15	432.53	466.88	521.76	934.76
DICER1	198.47	409.15	132.44	204.07	98.04	135.24	148.09	127.89	209.84	173.85	193.01	239.52	189.02	129.69	283.05	190.34	111.99	295.11	122.64	248.0	242.88	127.0	201.25	108.14	172.65	131.51	228.13	138.1	147.06	75.11	248.0	265.87	301.33	74.58	98.04	55.49	70.51	103.69	262.2	181.28	281.09	205.5	182.55	202.66	314.17	320.8	295.11	251.48	1143.1	295.11	463.65	373.81	273.37	183.82	305.55	307.69	202.66	223.41	305.55	353.59	651.58	353.59	909.17	684.02	503.95	490.14	381.68	587.13	521.76	607.87	514.56	532.74
DNAJC27	27.84	33.06	17.77	36.27	22.26	42.71	26.67	20.56	22.1	20.56	40.07	18.56	40.07	11.47	40.64	22.75	15.91	55.49	20.11	27.25	19.97	15.68	45.21	27.25	34.02	24.81	27.44	32.36	22.43	14.45	34.75	74.58	144.01	13.62	9.93	5.28	10.31	16.15	62.56	46.5	92.05	90.14	42.41	106.63	83.45	55.89	29.7	40.36	88.88	79.45	82.29	102.97	120.1	51.71	75.64	60.39	52.82	64.34	48.18	87.65	90.77	142.01	150.17	75.64	111.21	127.89	161.02	106.63	143.01	148.09	202.66	73.54
ELMSAN1	202.66	363.56	76.17	246.28	74.06	102.25	251.48	141.02	136.19	181.28	129.69	128.79	127.89	115.97	269.6	124.37	195.72	234.57	100.13	142.01	65.72	105.15	171.45	146.03	123.5	134.3	178.77	155.5	158.79	64.34	204.07	258.57	406.31	53.95	74.06	38.95	83.45	177.53	708.18	363.56	420.68	269.6	400.71	351.14	567.1	497.0	429.54	473.41	860.08	540.19	426.57	463.65	490.14	332.14	583.07	454.09	289.02	361.04	490.14	497.0	665.29	860.08	988.12	830.75	551.56	902.89	708.18	941.27	409.15	1001.93	718.08	447.82
EPC2	121.79	260.38	139.07	194.36	80.57	275.28	161.02	144.01	185.11	169.07	162.14	143.01	289.02	104.42	314.17	141.02	162.14	264.03	110.43	249.73	145.02	103.69	162.14	166.73	169.07	195.72	223.41	166.73	145.02	165.57	183.82	303.44	551.56	86.43	81.14	47.17	55.1	117.6	218.79	293.07	348.71	185.11	366.09	287.01	351.14	334.46	301.33	323.03	713.11	358.54	253.23	389.72	438.59	307.69	323.03	287.01	297.17	281.09	387.02	358.54	543.96	536.45	665.29	525.39	540.19	703.28	480.04	466.88	638.15	540.19	387.02	435.55
FAM126B	49.21	80.57	45.53	48.18	30.34	30.34	50.27	41.81	105.89	90.14	52.08	63.45	61.68	47.5	71.0	43.63	41.52	92.7	21.16	68.07	41.22	37.32	66.18	58.3	53.95	44.25	47.5	53.95	28.24	84.04	80.57	64.34	76.17	22.75	23.25	17.25	30.34	46.5	55.1	69.03	111.99	75.64	90.77	81.71	74.06	152.28	94.01	77.25	232.94	108.9	85.82	98.73	85.82	50.27	98.04	71.5	80.57	77.25	135.24	100.13	206.94	163.28	220.32	229.72	197.09	181.28	120.94	221.86	181.28	217.27	139.07	121.79
FAM53B	242.88	170.25	94.67	137.14	158.79	195.72	132.44	185.11	132.44	167.9	170.25	239.52	61.68	120.1	129.69	47.17	130.6	204.07	142.01	104.42	58.71	287.01	102.25	105.89	131.51	87.03	36.01	187.71	169.07	96.68	129.69	353.59	258.57	41.81	60.39	139.07	36.27	55.89	460.44	269.6	175.07	135.24	389.72	409.15	273.37	507.46	224.97	563.18	217.27	316.37	339.14	178.77	181.28	320.8	241.19	336.79	368.65	249.73	476.71	376.41	532.74	775.05	575.03	995.0	775.05	595.34	612.11	567.1	551.56	521.76	587.13	329.84
FCHO2	205.5	228.13	100.13	148.09	79.45	88.26	150.17	164.42	181.28	170.25	204.07	177.53	141.02	76.71	180.02	142.01	176.29	129.69	44.25	228.13	123.5	118.43	74.58	236.21	176.29	187.71	178.77	141.02	90.14	76.71	101.54	246.28	215.77	86.43	95.34	111.21	48.18	191.67	253.23	698.41	934.76	595.34	967.76	638.15	1183.45	759.08	872.1	651.58	518.15	813.63	426.57	764.36	138.1	1037.29	307.69	1030.12	633.73	575.03	830.75	1143.1	297.17	289.02	518.15	363.56	269.6	295.11	255.0	329.84	497.0	363.56	381.68	497.0
FER	69.52	43.94	75.11	47.17	68.55	63.0	50.27	45.21	43.63	94.01	76.71	55.89	47.5	45.53	22.59	15.56	40.93	20.41	61.68	90.14	12.74	50.27	53.19	33.78	44.89	47.17	50.63	49.56	40.64	40.07	24.11	41.52	46.18	44.25	36.27	42.11	13.52	17.0	36.79	50.98	57.08	41.81	45.53	43.63	60.39	67.59	92.7	52.45	183.82	73.03	217.27	108.14	52.82	73.03	92.7	45.53	43.94	45.21	111.21	68.07	176.29	262.2	376.41	397.93	307.69	248.0	109.66	348.71	187.71	273.37	156.59	154.42
FMN1	12.55	15.68	13.42	19.68	63.0	12.18	12.93	8.32	5.68	71.0	5.92	2.25	8.92	0.66	4.35	0.69	19.11	9.34	3.63	3.5	3.03	23.93	1.91	9.85	19.11	12.93	27.25	0.91	9.34	16.15	5.5	96.68	198.47	6.21	0.56	10.88	2.71	39.5	55.1	89.51	167.9	137.14	115.16	134.3	186.4	116.78	518.15	167.9	165.57	74.06	147.06	116.78	30.78	194.36	167.9	242.88	208.38	94.67	406.31	305.55	68.55	291.04	312.0	220.32	218.79	109.66	47.17	177.53	85.82	140.04	116.78	77.25
