	TCGA.AA.3489.11A.01R.1839.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	TCGA.35.4122.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	TCGA.37.3783.01A.01R.1201.07	TCGA.AG.3725.11A.01R.1736.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8373.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
FAM53B	146.03	153.34	217.27	62.56	58.3	775.05	50.27	76.17	42.11	153.34	42.11	116.78	64.34	159.9	620.67	426.57	490.14	674.59	466.88	208.38	189.02	251.48	738.29	318.57	248.0	239.52	457.25	532.74	381.68	450.94	493.56	371.22	183.82	77.25	325.29	363.56
FBXW8	112.77	36.79	119.26	90.77	87.65	144.01	21.01	52.82	94.67	43.94	94.67	61.68	47.17	43.02	199.85	212.78	275.28	127.0	177.53	171.45	215.77	236.21	316.37	262.2	171.45	166.73	157.68	226.54	229.72	151.22	152.28	162.14	126.12	72.01	123.5	153.34
GCC1	111.99	136.19	170.25	166.73	59.13	320.8	59.13	68.55	99.43	88.88	99.43	134.3	128.79	93.35	275.28	232.94	241.19	248.0	212.78	193.01	173.85	264.03	269.6	214.27	277.2	214.27	211.31	303.44	285.03	214.27	186.4	206.94	165.57	88.88	149.12	161.02
GOLGA3	209.84	163.28	332.14	142.01	145.02	343.89	69.03	115.16	82.87	110.43	82.87	144.01	99.43	165.57	860.08	595.34	961.07	669.92	733.19	507.46	665.29	490.14	967.76	1081.39	1001.93	406.31	529.06	802.41	647.07	470.14	303.44	429.54	392.44	119.26	305.55	220.32
GSE1	318.57	226.54	473.41	72.52	71.5	890.44	36.79	159.9	59.55	69.03	59.55	94.01	74.58	251.48	733.19	808.0	759.08	902.89	708.18	703.28	518.15	703.28	1151.06	1175.27	934.76	555.41	579.04	693.58	629.35	395.18	406.31	417.77	483.38	152.28	392.44	307.69
HTT	131.51	114.36	339.14	140.04	90.14	476.71	94.67	129.69	29.06	74.58	29.06	125.24	65.26	116.78	693.58	500.46	607.87	525.39	435.55	397.93	432.53	275.28	503.95	532.74	441.64	244.57	392.44	575.03	363.56	351.14	301.33	307.69	239.52	43.02	389.72	189.02
IQCE	158.79	144.01	281.09	69.03	92.05	165.57	28.24	83.45	21.94	41.22	21.94	72.52	70.01	124.37	718.08	336.79	511.0	358.54	503.95	224.97	575.03	343.89	607.87	660.68	866.07	307.69	387.02	466.88	343.89	295.11	183.82	297.17	236.21	106.63	264.03	153.34
JARID2	68.55	48.18	147.06	49.56	41.52	180.02	65.72	100.13	78.34	99.43	78.34	55.1	76.17	49.91	195.72	214.27	198.47	171.45	157.68	130.6	205.5	109.66	351.14	232.94	162.14	181.28	177.53	231.32	221.86	173.85	143.01	154.42	97.36	56.68	113.56	121.79
KDM4A	218.79	102.97	269.6	122.64	142.01	583.07	131.51	334.46	126.12	224.97	126.12	182.55	130.6	205.5	521.76	353.59	607.87	583.07	450.94	351.14	334.46	329.84	638.15	460.44	543.96	466.88	409.15	480.04	583.07	723.08	293.07	376.41	323.03	166.73	283.05	271.48
KIAA0100	688.78	329.84	769.69	392.44	483.38	1023.0	211.31	460.44	334.46	616.37	334.46	518.15	460.44	521.76	1806.78	1081.39	1721.16	1519.15	1685.71	1277.29	967.76	1066.48	2209.26	1561.89	1769.57	769.69	808.0	1407.55	1015.93	1073.91	775.05	866.07	890.44	285.03	693.58	647.07
