	TCGA.BH.A209.01A.11R.A157.07	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11P81.0226.SM.5HL5M	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ASNSD1	1467.37	967.76	1242.34	0.0	0.1	486.75	571.05	341.51	981.29	264.03	170.25	356.05	307.69	363.56	764.36	842.36	688.78	836.53	426.57	397.93	343.89	470.14	178.77
ATP5O	7130.55	7749.1	10512.82	0.0	0.95	5633.22	5954.47	3257.52	6294.04	2384.37	1977.24	1745.2	3847.29	3419.52	7966.99	6792.79	6037.61	11424.74	2627.46	3395.89	3103.19	2976.74	2976.74
ATPAF1	1709.26	1963.57	2119.22	0.0	0.12	748.61	665.29	366.09	1135.2	460.44	353.59	480.04	698.41	612.11	1745.2	1151.06	1350.18	1617.0	414.87	521.76	967.76	444.72	493.56
BCAR3	684.02	341.51	368.65	0.0	0.72	366.09	244.57	312.0	503.95	251.48	193.01	264.03	314.17	551.56	208.38	140.04	262.2	358.54	293.07	301.33	1208.34	241.19	255.0
BCAS2	1242.34	1605.83	1697.45	848.22	291.04	780.44	791.35	693.58	1044.52	540.19	511.0	607.87	579.04	395.18	1066.48	1111.82	947.83	1295.13	503.95	764.36	769.69	616.37	438.59
BPNT1	1487.87	612.11	1159.07	0.0	0.0	476.71	435.55	208.38	642.59	195.72	145.02	190.34	460.44	348.71	693.58	633.73	780.44	728.11	295.11	395.18	376.41	343.89	334.46
BTF3L4	1991.0	1295.13	1605.83	2004.85	171.45	961.07	1350.18	457.25	791.35	295.11	226.54	532.74	616.37	567.1	1417.35	954.43	1001.93	1561.89	414.87	432.53	642.59	620.67	567.1
C1orf145	64.34	41.52	43.02	0.0	0.45	9.7	0.68	7.69	51.71	11.82	7.57	18.97	22.92	24.81	28.24	24.63	41.22	36.27	7.11	35.5	49.91	12.74	6.11
C7orf55	669.92	376.41	1417.35	0.0	0.16	571.05	253.23	208.38	728.11	224.97	205.5	146.03	775.05	204.07	1477.58	961.07	836.53	323.03	202.66	271.48	497.0	366.09	312.0
C8orf59	8479.89	3491.39	10512.82	7695.57	5403.7	2855.44	2739.08	2004.85	2537.92	995.0	860.08	473.41	1963.57	1369.04	4903.87	3665.02	3901.01	1936.53	866.07	1250.98	1781.89	1594.73	1277.29
C9orf156	358.54	356.05	599.49	0.0	0.0	392.44	320.8	260.38	387.02	111.99	89.51	255.0	483.38	299.25	373.81	507.46	470.14	688.78	176.29	172.65	301.33	214.27	232.94
CALM2	29736.59	31650.8	29124.6	19082.0	825.0	17437.64	18950.18	12329.98	31432.17	18052.61	13033.07	16727.26	16496.96	16383.0	39237.98	27938.14	22072.07	33455.53	10440.2	32315.87	6561.36	25179.16	20881.4
CAMKK1	128.79	84.63	44.25	0.0	0.38	73.54	71.5	53.19	74.58	140.04	40.07	53.95	172.65	140.04	117.6	138.1	220.32	135.24	80.01	54.33	73.54	48.52	55.1
CCDC59	1628.26	1233.75	1225.22	0.0	0.61	718.08	1208.34	1044.52	1151.06	420.68	665.29	651.58	612.11	540.19	1259.69	1508.65	974.5	1127.35	656.11	660.68	896.64	791.35	441.64
CD74	84694.64	207103.59	36106.23	0.0	1.08	726195.27	1196176.45	358098.26	313910.86	1019901.63	932018.1	1503610.06	1229805.58	741454.2	299043.36	513497.31	236256.4	610654.84	363097.14	593956.43	1877002.62	636586.81	1196176.45
CEBPZ	1088.92	1096.5	890.44	0.0	0.49	660.68	928.3	753.83	915.51	507.46	529.06	457.25	336.79	406.31	1015.93	688.78	587.13	1159.07	414.87	507.46	698.41	571.05	420.68
CEP63	583.07	728.11	497.0	255.0	232.94	454.09	277.2	164.42	591.22	134.3	71.0	251.48	395.18	249.73	454.09	507.46	500.46	412.0	301.33	172.65	220.32	417.77	253.23
CEP89	723.08	217.27	244.57	0.0	0.39	256.78	139.07	70.01	332.14	182.55	59.13	80.01	170.25	108.9	260.38	406.31	409.15	206.94	155.5	148.09	69.03	138.1	166.73
CERS5	848.22	848.22	878.17	0.0	0.84	1191.69	1259.69	961.07	738.29	679.29	642.59	743.43	981.29	830.75	1233.75	884.29	703.28	1225.22	688.78	848.22	665.29	651.58	547.75
CINP	842.36	813.63	878.17	0.0	0.41	555.41	483.38	327.56	629.35	217.27	277.2	497.0	563.18	368.65	995.0	651.58	848.22	1023.0	277.2	392.44	638.15	447.82	403.5
COA5	1001.93	708.18	1127.35	0.0	0.56	698.41	713.11	371.22	921.88	320.8	173.85	409.15	813.63	947.83	1487.87	1059.11	764.36	872.1	381.68	264.03	1127.35	500.46	341.51
COQ5	941.27	1167.14	759.08	0.0	0.08	507.46	318.57	273.37	679.29	206.94	107.38	256.78	435.55	271.48	842.36	775.05	728.11	842.36	341.51	343.89	329.84	285.03	343.89
COX7A2L	3847.29	2720.15	5006.93	0.0	0.84	1721.16	3419.52	1950.0	3820.7	1015.93	529.06	934.76	1674.06	1769.57	5441.3	3564.78	3564.78	4358.66	1151.06	1721.16	3190.46	1519.15	1639.59
CUL7	612.11	269.6	285.03	0.0	0.47	183.82	118.43	120.94	262.2	124.37	57.08	117.6	414.87	209.84	262.2	287.01	438.59	209.84	209.84	146.03	234.57	131.51	145.02
CWC15	1540.37	1322.37	1883.54	0.0	0.66	813.63	928.3	503.95	1023.0	819.3	454.09	285.03	718.08	728.11	1175.27	1628.26	1037.29	1119.56	693.58	571.05	525.39	713.11	529.06
DDB1	5517.27	2193.99	2835.7	0.0	0.91	3614.55	1551.09	2075.59	1467.37	1457.23	1540.37	1950.0	3190.46	1757.34	2875.3	1977.24	2609.3	3419.52	1331.57	1572.76	2720.15	2240.11	2133.97
DEPDC4	48.52	46.84	23.59	0.0	0.0	16.39	3.41	0.0	20.11	6.52	9.48	7.69	15.8	13.62	31.0	29.91	42.41	40.07	9.85	12.18	5.11	4.62	16.15
DNAJC8	2520.38	3349.13	3280.18	0.0	0.89	2148.82	2104.58	1417.35	3349.13	1331.57	1605.83	1781.89	1674.06	1551.09	3039.3	3820.7	2875.3	4239.45	1487.87	2434.5	1059.11	2417.67	2090.03
DYRK4	1313.23	884.29	1259.69	1340.84	1844.76	791.35	1457.23	444.72	1015.93	314.17	583.07	379.04	796.86	679.29	1745.2	1216.75	1304.15	1794.29	384.34	454.09	563.18	312.0	358.54
EIF2D	1044.52	1073.91	1844.76	0.0	0.55	674.59	738.29	620.67	1242.34	543.96	314.17	426.57	961.07	536.45	1159.07	1127.35	1066.48	1340.84	688.78	551.56	808.0	536.45	507.46
EMC2	2224.63	1870.53	1561.89	0.0	0.83	1359.57	1295.13	836.53	2193.99	624.99	346.29	669.92	1044.52	1044.52	1605.83	1709.26	1529.73	2018.8	629.35	1030.12	842.36	928.3	733.19
FAF1	743.43	915.51	808.0	0.0	0.71	802.41	490.14	327.56	703.28	366.09	583.07	323.03	775.05	656.11	941.27	503.95	679.29	928.3	356.05	389.72	728.11	571.05	555.41
FAM104B	860.08	665.29	878.17	0.0	0.16	547.75	381.68	144.01	723.08	199.85	152.28	226.54	285.03	182.55	647.07	802.41	620.67	775.05	264.03	271.48	156.59	198.47	236.21
FAM127B	693.58	3060.45	3081.75	0.0	0.92	1561.89	1519.15	684.02	1769.57	902.89	656.11	1023.0	1605.83	521.76	4010.71	3614.55	1896.65	2193.99	738.29	1674.06	669.92	1051.79	854.13
FAM35A	497.0	536.45	507.46	0.0	0.36	218.79	248.0	190.34	521.76	147.06	95.34	214.27	242.88	175.07	454.09	353.59	409.15	463.65	186.4	264.03	214.27	161.02	228.13
FARS2	688.78	356.05	493.56	0.0	0.16	414.87	202.66	167.9	612.11	236.21	172.65	214.27	368.65	193.01	543.96	444.72	454.09	532.74	237.86	301.33	361.04	287.01	279.14
FLNB	5831.91	3060.45	7803.01	0.0	0.53	1819.35	620.67	1857.6	1572.76	2367.9	2739.08	2178.83	1757.34	684.02	1096.5	1208.34	934.76	1519.15	1477.58	2976.74	775.05	1143.1	5479.15
GCSH	567.1	860.08	1605.83	0.0	0.43	262.2	329.84	136.19	463.65	60.39	136.19	173.85	260.38	237.86	866.07	432.53	423.61	669.92	140.04	170.25	241.19	201.25	206.94
GNAI3	1909.85	1594.73	896.64	0.0	0.35	620.67	728.11	529.06	1081.39	389.72	497.0	860.08	447.82	486.75	1088.92	974.5	1199.98	1104.13	470.14	921.88	532.74	551.56	486.75
GPKOW	738.29	551.56	620.67	0.0	0.62	647.07	373.81	392.44	529.06	316.37	753.83	329.84	384.34	297.17	486.75	624.99	514.56	842.36	327.56	497.0	327.56	540.19	287.01
GPN1	1051.79	1199.98	1437.15	0.0	0.45	591.22	543.96	309.83	813.63	195.72	232.94	366.09	457.25	305.55	896.64	872.1	780.44	1183.45	277.2	368.65	473.41	397.93	389.72
GTF2H5	175.07	318.57	368.65	0.0	0.0	82.29	100.83	40.93	153.34	35.25	32.82	60.39	74.06	56.28	175.07	155.5	143.01	137.14	51.35	59.55	58.71	61.25	65.26
HYI	591.22	921.88	2739.08	0.0	0.75	1806.78	703.28	1388.16	2434.5	1044.52	665.29	1023.0	1498.22	748.61	2664.15	1397.83	2032.85	2384.37	819.3	848.22	1583.71	738.29	1081.39
ISCA1	743.43	1268.46	1487.87	0.0	0.43	674.59	616.37	273.37	1295.13	232.94	299.25	497.0	417.77	273.37	967.76	1001.93	848.22	819.3	361.04	376.41	327.56	368.65	363.56
LINC00998	1437.15	1991.0	2133.97	0.0	0.32	1051.79	2224.63	612.11	1950.0	379.04	189.02	791.35	1183.45	967.76	2224.63	1551.09	1709.26	3103.19	698.41	854.13	728.11	674.59	947.83
MDH1	3280.18	6935.54	4869.99	0.0	0.61	3303.0	4512.4	1583.71	3467.27	1487.87	890.44	1794.29	3955.48	3491.39	4512.4	3564.78	4095.0	5255.91	1709.26	1685.71	2417.67	1819.35	2682.69
MED12L	2.29	24.46	38.95	0.0	0.15	0.75	5.77	2.32	10.63	6.89	0.4	5.92	10.31	5.68	1.93	6.06	19.11	3.06	8.19	10.08	1.3	9.06	3.35
METTL5	2555.58	1651.0	2468.49	0.0	0.59	813.63	909.17	423.61	1111.82	277.2	151.22	316.37	587.13	406.31	1369.04	1051.79	921.88	1388.16	444.72	473.41	555.41	612.11	500.46
MPI	551.56	769.69	967.76	0.0	0.0	420.68	447.82	412.0	878.17	244.57	165.57	264.03	579.04	258.57	961.07	723.08	830.75	1059.11	273.37	376.41	497.0	426.57	314.17
MRPS11	1183.45	1096.5	1233.75	0.0	0.21	836.53	642.59	309.83	915.51	262.2	260.38	327.56	620.67	444.72	1388.16	1051.79	1059.11	1250.98	457.25	334.46	536.45	497.0	318.57
MRPS35	1806.78	1159.07	2351.53	0.0	0.0	629.35	723.08	346.29	842.36	224.97	127.0	303.44	514.56	371.22	1066.48	836.53	896.64	1378.57	214.27	351.14	397.93	409.15	368.65
MRPS9	860.08	507.46	836.53	0.0	0.06	432.53	293.07	170.25	629.35	183.82	131.51	223.41	420.68	212.78	599.49	651.58	660.68	591.22	189.02	236.21	312.0	260.38	191.67
MSTO1	1008.9	909.17	571.05	1073.91	718.08	395.18	379.04	269.6	575.03	228.13	197.09	279.14	441.64	255.0	343.89	518.15	460.44	466.88	256.78	195.72	251.48	379.04	249.73
MTX2	1870.53	947.83	656.11	0.0	0.0	540.19	665.29	265.87	860.08	226.54	107.38	191.67	532.74	420.68	941.27	884.29	830.75	1015.93	341.51	334.46	447.82	368.65	269.6
NAA38	1572.76	1697.45	2875.3	0.0	0.72	1008.9	1605.83	547.75	1143.1	447.82	743.43	723.08	1407.55	698.41	1159.07	981.29	1259.69	1331.57	559.28	403.5	974.5	1066.48	848.22
NBEA	10.79	100.13	450.94	0.0	0.27	239.52	57.89	46.5	102.97	147.06	74.06	82.87	124.37	55.89	51.35	164.42	90.14	80.01	52.08	25.72	38.4	50.98	43.63
NDUFA13	8479.89	4972.34	8421.31	0.0	1.06	8191.0	9025.81	3874.05	3690.52	4704.07	7280.4	4181.07	6699.25	5076.84	9540.5	6792.79	7537.18	5403.7	4268.94	3742.05	5479.15	5041.77	3847.29
NENF	2573.36	2451.44	6121.9	0.0	0.78	2303.12	3690.52	1572.76	2209.26	1674.06	2777.33	1857.6	2701.35	1674.06	3303.0	2384.37	2148.82	2384.37	1685.71	1709.26	2997.45	2104.58	1733.13
NFYB	1127.35	1044.52	1066.48	0.0	0.35	1030.12	660.68	629.35	1199.98	441.64	353.59	525.39	1250.98	733.19	1183.45	1066.48	723.08	684.02	473.41	693.58	1529.73	708.18	679.29
NGFRAP1	2224.63	2645.74	16269.83	0.0	1.0	2976.74	1870.53	1806.78	5791.62	2209.26	2224.63	1781.89	3614.55	1487.87	20881.4	8658.09	5594.3	5041.77	2032.85	6471.02	2485.67	3955.48	2591.27
NSMCE1	1359.57	1709.26	3081.75	0.0	0.68	1183.45	1051.79	819.3	1781.89	748.61	802.41	1437.15	1059.11	961.07	2255.7	1806.78	1268.46	2061.24	656.11	928.3	1159.07	890.44	934.76
NUPR1	4802.93	3467.27	8538.88	0.0	0.99	3280.18	6935.54	1950.0	4419.52	3372.43	2240.11	2090.03	4972.34	1923.14	12415.75	7130.55	8840.04	20030.74	3395.89	2739.08	4972.34	1844.76	2287.2
OR6F1	1.0	1.28	1.11	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0
PEBP1	13492.72	10154.69	12502.12	4328.55	16383.0	8078.22	7130.55	5006.93	10154.69	3901.01	2627.46	6250.56	8421.31	4450.27	10959.3	8479.89	5292.48	11267.44	4210.15	5711.87	7032.37	4512.4	5479.15
PFDN1	2367.9	2758.13	2209.26	0.0	0.73	2537.92	2018.8	2502.97	2701.35	941.27	1233.75	2018.8	1923.14	1991.0	2468.49	3303.0	2502.97	4358.66	1242.34	2400.97	947.83	1745.2	2451.44
PHYH	723.08	1259.69	1119.56	0.0	0.34	447.82	384.34	329.84	928.3	178.77	194.36	429.54	669.92	346.29	1628.26	759.08	764.36	954.43	246.28	420.68	559.28	438.59	409.15
PIGC	1096.5	866.07	1397.83	0.0	0.02	525.39	356.05	275.28	941.27	162.14	129.69	368.65	473.41	305.55	1015.93	866.07	698.41	1119.56	237.86	285.03	480.04	395.18	221.86
POLR2G	3847.29	3491.39	3081.75	0.0	0.56	1769.57	1561.89	1030.12	2720.15	629.35	825.0	995.0	1896.65	1388.16	3614.55	2627.46	2777.33	3614.55	1037.29	967.76	1487.87	1023.0	728.11
PPP1R8	1073.91	974.5	1066.48	0.0	0.0	497.0	400.71	323.03	708.18	215.77	211.31	454.09	486.75	253.23	825.0	836.53	759.08	890.44	236.21	301.33	483.38	435.55	353.59
PRPF18	490.14	660.68	599.49	0.0	0.07	397.93	283.05	264.03	633.73	181.28	161.02	214.27	275.28	171.45	463.65	536.45	532.74	511.0	285.03	287.01	251.48	253.23	183.82
PSMB6	4419.52	3982.99	5995.9	0.0	0.78	4388.98	3303.0	3146.52	2720.15	1721.16	5219.6	2835.7	2976.74	2855.44	5076.84	3190.46	3901.01	9151.82	2485.67	2976.74	2104.58	3491.39	2720.15
PSMC2	2609.3	2209.26	1857.6	0.0	0.8	1832.01	1794.29	1088.92	1781.89	902.89	915.51	1066.48	1407.55	1950.0	2434.5	1477.58	1551.09	2976.74	995.0	1119.56	1378.57	1498.22	1143.1
PTRHD1	1487.87	1023.0	2468.49	0.0	0.27	890.44	1540.37	376.41	967.76	423.61	476.71	289.02	1015.93	603.67	2777.33	1447.15	1883.54	1870.53	547.75	651.58	780.44	616.37	490.14
PWP1	1540.37	1242.34	947.83	0.0	0.29	647.07	532.74	341.51	941.27	205.5	265.87	403.5	486.75	312.0	1030.12	775.05	688.78	954.43	291.04	426.57	470.14	518.15	403.5
RAB4A	1540.37	1051.79	2485.67	0.0	0.55	1359.57	1191.69	514.56	753.83	567.1	698.41	395.18	759.08	679.29	1081.39	1313.23	1605.83	954.43	571.05	423.61	1111.82	669.92	733.19
RBFA	579.04	532.74	457.25	0.0	0.4	295.11	285.03	155.5	511.0	187.71	102.97	260.38	389.72	166.73	599.49	460.44	563.18	571.05	231.32	265.87	211.31	191.67	269.6
RDH14	819.3	457.25	941.27	0.0	0.6	902.89	921.88	432.53	1183.45	466.88	457.25	525.39	466.88	503.95	808.0	674.59	473.41	1407.55	444.72	500.46	429.54	738.29	713.11
RFXANK	3467.27	1295.13	3257.52	0.0	0.57	1794.29	1417.35	830.75	1733.13	1066.48	928.3	624.99	1378.57	1175.27	2915.45	1857.6	2090.03	1936.53	890.44	674.59	1457.23	967.76	651.58
RIOK2	511.0	651.58	309.83	0.0	0.21	211.31	336.79	134.3	353.59	170.25	163.28	204.07	239.52	255.0	497.0	327.56	387.02	387.02	135.24	275.28	303.44	303.44	167.9
RNF7	4123.49	2417.67	6337.83	2319.15	5555.65	2591.27	4639.29	1359.57	2400.97	1066.48	2224.63	441.64	1350.18	1794.29	3372.43	2701.35	2351.53	4298.64	1104.13	1037.29	1519.15	1745.2	1151.06
RPAIN	543.96	470.14	1286.18	0.0	0.85	1111.82	791.35	312.0	638.15	289.02	180.02	307.69	902.89	346.29	785.88	1044.52	1001.93	563.18	387.02	432.53	941.27	358.54	351.14
RRNAD1	860.08	575.03	1159.07	0.0	0.67	708.18	454.09	320.8	463.65	457.25	169.07	323.03	629.35	476.71	830.75	830.75	679.29	759.08	579.04	305.55	718.08	348.71	356.05
SAP18	4972.34	7642.41	9088.59	0.0	0.89	5041.77	8718.32	2351.53	6652.97	2502.97	4607.24	2739.08	3874.05	3235.01	6426.31	7032.37	5183.54	4937.99	2451.44	2224.63	2855.44	4575.41	3742.05
SARNP	3955.48	2224.63	2627.46	0.0	0.91	2573.36	2682.69	1561.89	2609.3	1806.78	2520.38	1331.57	1457.23	1857.6	2997.45	2816.11	2720.15	2855.44	1191.69	2537.92	1540.37	2178.83	2271.4
SCFD2	183.82	277.2	189.02	0.0	0.0	92.05	111.21	85.22	143.01	55.89	59.13	108.14	134.3	103.69	170.25	115.97	132.44	180.02	116.78	121.79	116.78	94.01	98.73
SENP3	1447.15	915.51	2271.4	1340.84	182.55	819.3	1191.69	595.34	884.29	629.35	830.75	559.28	836.53	669.92	1721.16	1617.0	1350.18	1457.23	791.35	642.59	587.13	684.02	688.78
SLC25A26	587.13	547.75	1001.93	0.0	0.43	607.87	529.06	329.84	497.0	152.28	295.11	346.29	503.95	599.49	679.29	551.56	457.25	480.04	273.37	339.14	420.68	325.29	297.17
SMAD2	1340.84	1991.0	1286.18	890.44	81.14	1437.15	1551.09	466.88	1369.04	802.41	547.75	679.29	1073.91	836.53	1225.22	1651.0	2468.49	1674.06	802.41	896.64	878.17	915.51	934.76
SMYD2	1963.57	1030.12	988.12	0.0	0.25	866.07	1073.91	466.88	1259.69	665.29	493.56	373.81	802.41	543.96	1037.29	1572.76	1051.79	2104.58	698.41	1001.93	555.41	624.99	830.75
SNUPN	753.83	587.13	728.11	0.0	0.16	429.54	406.31	198.47	497.0	279.14	221.86	209.84	536.45	334.46	819.3	567.1	555.41	1023.0	265.87	262.2	353.59	327.56	314.17
SNX24	414.87	283.05	381.68	368.65	253.23	579.04	1183.45	279.14	665.29	329.84	241.19	293.07	603.67	563.18	785.88	579.04	842.36	738.29	536.45	579.04	536.45	426.57	444.72
SPIN2B	521.76	208.38	260.38	0.0	0.41	130.6	154.42	60.82	307.69	132.44	34.75	58.3	183.82	115.16	305.55	239.52	193.01	113.56	175.07	96.01	105.89	80.01	63.89
SUCLG1	1551.09	2816.11	2520.38	0.0	0.91	1359.57	1437.15	753.83	2400.97	708.18	500.46	612.11	1594.73	1175.27	2701.35	1883.54	2271.4	2061.24	796.86	1143.1	1572.76	1143.1	1259.69
SUMO1	4512.4	4123.49	4869.99	0.0	0.79	3060.45	3665.02	2018.8	4639.29	1662.49	2591.27	1794.29	1769.57	2255.7	4419.52	3847.29	2609.3	5711.87	1583.71	3589.58	1519.15	2739.08	2434.5
TAF13	1427.22	1359.57	836.53	0.0	0.3	595.34	1208.34	559.28	728.11	656.11	551.56	525.39	358.54	660.68	688.78	830.75	842.36	967.76	559.28	738.29	507.46	483.38	441.64
TATDN1	2209.26	1359.57	2451.44	0.0	0.64	444.72	483.38	152.28	909.17	185.11	84.04	209.84	529.06	299.25	1030.12	723.08	718.08	825.0	218.79	248.0	490.14	295.11	299.25
TATDN3	361.04	438.59	279.14	0.0	0.16	253.23	281.09	181.28	376.41	77.25	68.07	173.85	371.22	248.0	414.87	271.48	318.57	279.14	125.24	76.71	318.57	223.41	329.84
TEX30	373.81	353.59	493.56	0.0	0.48	97.36	320.8	125.24	127.89	67.59	162.14	57.89	62.56	94.67	172.65	228.13	215.77	155.5	153.34	241.19	76.71	93.35	46.84
TIMM22	237.86	273.37	314.17	0.0	0.09	162.14	147.06	82.29	236.21	85.82	124.37	130.6	134.3	99.43	258.57	251.48	255.0	293.07	87.03	145.02	120.1	121.79	109.66
TIMM9	1977.24	1359.57	2520.38	0.0	0.72	878.17	1936.53	612.11	974.5	373.81	518.15	426.57	500.46	532.74	1208.34	748.61	698.41	674.59	267.73	514.56	796.86	698.41	511.0
TM2D1	1159.07	1322.37	2609.3	0.0	0.67	1119.56	981.29	633.73	1583.71	460.44	226.54	967.76	1044.52	947.83	2271.4	1191.69	1073.91	1216.75	884.29	902.89	860.08	921.88	860.08
TMEM107	309.83	551.56	450.94	0.0	0.21	693.58	460.44	265.87	612.11	480.04	169.07	368.65	521.76	423.61	854.13	902.89	1073.91	460.44	287.01	363.56	332.14	406.31	293.07
TMEM18	1519.15	890.44	1757.34	0.0	0.51	426.57	575.03	423.61	748.61	417.77	305.55	470.14	567.1	540.19	1340.84	884.29	1044.52	1268.46	463.65	423.61	529.06	336.79	420.68
TMEM218	713.11	1001.93	1313.23	0.0	0.1	420.68	547.75	325.29	1001.93	309.83	186.4	279.14	507.46	454.09	1059.11	1175.27	1088.92	1037.29	432.53	454.09	497.0	297.17	316.37
TMEM230	3018.3	4639.29	3901.01	0.0	0.61	1832.01	3303.0	1331.57	4358.66	1233.75	915.51	1781.89	2032.85	1685.71	4972.34	2682.69	2451.44	6426.31	1697.45	1896.65	1295.13	1119.56	2119.22
TMEM237	988.12	708.18	974.5	0.0	0.58	209.84	81.14	175.07	629.35	126.12	84.63	165.57	264.03	176.29	460.44	303.44	289.02	353.59	182.55	206.94	127.89	115.97	175.07
TRIM34	236.21	397.93	181.28	0.0	0.19	205.5	224.97	107.38	684.02	241.19	58.71	154.42	525.39	341.51	104.42	392.44	559.28	371.22	346.29	96.01	269.6	217.27	260.38
TSN	1617.0	1427.22	1594.73	0.0	0.04	536.45	563.18	343.89	1059.11	221.86	204.07	438.59	567.1	406.31	915.51	1001.93	872.1	1208.34	368.65	420.68	454.09	429.54	423.61
TSR2	1674.06	1447.15	1388.16	808.0	283.05	1388.16	860.08	1088.92	1477.58	638.15	1015.93	934.76	1519.15	890.44	1617.0	1709.26	1135.2	1733.13	620.67	1286.18	967.76	1467.37	1073.91
TTC14	343.89	358.54	325.29	0.0	0.91	236.21	543.96	366.09	928.3	571.05	170.25	214.27	703.28	497.0	361.04	547.75	332.14	154.42	708.18	470.14	447.82	323.03	476.71
TUSC3	387.02	2485.67	1250.98	0.0	0.83	780.44	376.41	1233.75	2956.17	503.95	1313.23	2319.15	279.14	612.11	1277.29	921.88	1313.23	848.22	2351.53	1561.89	293.07	595.34	3901.01
TXNL4A	3103.19	1819.35	2384.37	0.0	0.62	1467.37	1950.0	764.36	825.0	896.64	1151.06	825.0	1081.39	1167.14	2148.82	1313.23	1721.16	2434.5	915.51	665.29	1417.35	1259.69	967.76
UBE2E1	2645.74	2240.11	2148.82	0.0	0.91	1697.45	1883.54	2335.28	2485.67	2417.67	1427.22	1662.49	1721.16	2400.97	2224.63	1923.14	2032.85	1721.16	2777.33	2537.92	1896.65	2178.83	2271.4
