	TCGA.VS.A959.01A.11R.A42T.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.58.8388.01A.11R.2326.07
CDAN1	281.09	258.57	490.14	130.6	297.17	353.59	180.02	229.72	214.27	248.0	312.0	387.02	202.66	293.07	246.28	251.48	281.09	293.07	215.77	149.12	96.68	66.18	57.08	96.01	95.34	117.6	108.9	85.22	146.03	147.06	49.21	113.56	74.58	84.63	201.25	144.01	175.07	110.43	212.78	109.66	116.78	111.99	100.83	134.3	172.65	205.5	128.79	124.37	126.12	206.94	171.45	98.73	186.4	173.85	116.78	105.15	127.0	75.11	158.79	176.29	68.55	50.98	40.07	180.02	126.12	112.77	323.03	303.44	299.25
CEP72	197.09	105.89	212.78	47.84	476.71	336.79	260.38	114.36	74.06	248.0	88.88	156.59	141.02	172.65	387.02	52.45	275.28	171.45	89.51	217.27	15.91	45.53	25.35	29.27	29.91	17.9	111.21	33.54	68.55	22.59	34.02	18.7	39.5	74.06	122.64	19.39	13.83	20.41	55.1	17.77	27.64	21.63	31.0	27.84	78.34	156.59	55.89	13.12	45.53	77.25	13.22	17.9	76.17	38.12	31.45	34.02	41.52	23.42	108.14	49.91	20.56	37.59	28.04	28.24	37.05	86.43	128.79	105.15	299.25
CLK2	1991.0	3874.05	2609.3	587.13	1572.76	2104.58	1540.37	1477.58	1304.15	3540.14	1397.83	1088.92	1268.46	1757.34	1388.16	860.08	3303.0	1685.71	1277.29	718.08	234.57	234.57	258.57	241.19	305.55	273.37	629.35	423.61	595.34	941.27	237.86	329.84	316.37	532.74	896.64	438.59	616.37	253.23	780.44	346.29	450.94	358.54	366.09	480.04	595.34	909.17	343.89	341.51	595.34	591.22	444.72	275.28	718.08	830.75	384.34	229.72	441.64	389.72	656.11	819.3	87.65	244.57	208.38	514.56	376.41	403.5	1844.76	1662.49	2434.5
CRTC2	1250.98	2701.35	1304.15	753.83	1359.57	1477.58	1175.27	1733.13	1208.34	1617.0	1008.9	941.27	921.88	708.18	995.0	1051.79	1832.01	1378.57	1277.29	941.27	575.03	551.56	395.18	497.0	463.65	624.99	536.45	476.71	688.78	728.11	356.05	423.61	708.18	420.68	1119.56	669.92	1023.0	376.41	1167.14	329.84	587.13	409.15	571.05	802.41	836.53	1088.92	759.08	967.76	543.96	624.99	713.11	414.87	642.59	753.83	647.07	503.95	595.34	529.06	616.37	764.36	490.14	381.68	688.78	764.36	444.72	483.38	1950.0	1651.0	1540.37
DENND4B	1127.35	1832.01	1250.98	299.25	1088.92	1208.34	878.17	884.29	791.35	2335.28	612.11	571.05	669.92	665.29	669.92	457.25	1427.22	698.41	775.05	381.68	154.42	121.79	153.34	190.34	117.6	165.57	199.85	149.12	234.57	361.04	193.01	155.5	204.07	175.07	423.61	224.97	206.94	162.14	289.02	114.36	183.82	164.42	197.09	159.9	281.09	454.09	299.25	226.54	205.5	226.54	145.02	175.07	299.25	351.14	242.88	130.6	244.57	195.72	150.17	293.07	55.49	104.42	133.36	191.67	155.5	189.02	1350.18	1059.11	1540.37
DVL2	447.82	988.12	1250.98	172.65	866.07	1437.15	409.15	395.18	595.34	567.1	258.57	133.36	316.37	1119.56	490.14	267.73	507.46	435.55	224.97	273.37	110.43	87.65	75.64	128.79	148.09	121.79	180.02	102.97	198.47	363.56	63.45	204.07	90.14	155.5	214.27	150.17	158.79	128.79	361.04	136.19	99.43	108.9	106.63	155.5	258.57	264.03	131.51	177.53	186.4	221.86	224.97	135.24	260.38	346.29	134.3	127.0	173.85	90.77	244.57	195.72	108.14	54.72	56.68	199.85	126.12	117.6	1175.27	718.08	915.51
E4F1	460.44	579.04	624.99	283.05	447.82	595.34	660.68	426.57	638.15	435.55	507.46	486.75	417.77	444.72	629.35	995.0	536.45	497.0	748.61	463.65	234.57	218.79	214.27	204.07	139.07	256.78	297.17	343.89	221.86	406.31	132.44	249.73	246.28	299.25	376.41	264.03	329.84	214.27	339.14	156.59	279.14	287.01	241.19	249.73	287.01	511.0	289.02	264.03	318.57	486.75	202.66	173.85	356.05	447.82	283.05	198.47	301.33	312.0	217.27	287.01	117.6	231.32	183.82	336.79	236.21	172.65	769.69	642.59	595.34
EHMT2	1936.53	1674.06	2061.24	470.14	1757.34	1936.53	1008.9	688.78	1051.79	1561.89	866.07	769.69	629.35	819.3	1088.92	660.68	1111.82	665.29	1096.5	647.07	336.79	151.22	182.55	312.0	195.72	435.55	429.54	435.55	363.56	563.18	95.34	279.14	176.29	264.03	575.03	438.59	583.07	318.57	441.64	217.27	376.41	301.33	381.68	450.94	497.0	583.07	423.61	483.38	507.46	497.0	426.57	400.71	551.56	470.14	316.37	409.15	318.57	199.85	368.65	441.64	139.07	64.34	161.02	642.59	409.15	226.54	2148.82	1023.0	2032.85
EME2	138.1	277.2	186.4	56.68	309.83	255.0	133.36	173.85	195.72	217.27	185.11	204.07	175.07	175.07	234.57	88.26	212.78	177.53	120.1	140.04	25.35	19.39	33.54	10.24	27.44	22.59	82.29	81.71	48.87	95.34	18.56	46.5	48.52	56.68	103.69	34.26	42.71	25.72	90.77	31.0	29.48	120.1	29.7	58.71	130.6	119.26	25.91	24.81	59.13	97.36	36.53	19.39	72.01	97.36	29.48	35.0	37.59	40.36	47.5	61.68	6.01	23.59	23.76	45.85	19.68	33.78	323.03	454.09	283.05
ENTHD2	733.19	954.43	1008.9	301.33	961.07	954.43	473.41	441.64	728.11	813.63	507.46	934.76	457.25	476.71	343.89	607.87	1015.93	559.28	947.83	555.41	180.02	158.79	150.17	117.6	234.57	178.77	202.66	158.79	204.07	283.05	137.14	185.11	241.19	223.41	429.54	158.79	343.89	148.09	332.14	162.14	255.0	186.4	231.32	244.57	295.11	620.67	231.32	234.57	205.5	293.07	231.32	172.65	316.37	412.0	223.41	151.22	221.86	267.73	295.11	389.72	103.69	120.1	175.07	273.37	208.38	205.5	1286.18	961.07	674.59
GGA1	1369.04	2148.82	1605.83	599.49	1295.13	1529.73	819.3	1030.12	1135.2	1769.57	1073.91	1051.79	872.1	1936.53	995.0	921.88	1697.45	819.3	947.83	802.41	500.46	314.17	395.18	441.64	476.71	599.49	733.19	406.31	579.04	748.61	265.87	486.75	334.46	551.56	728.11	607.87	813.63	356.05	921.88	435.55	463.65	381.68	633.73	629.35	599.49	1015.93	543.96	567.1	651.58	738.29	620.67	387.02	802.41	974.5	543.96	575.03	718.08	629.35	651.58	825.0	256.78	236.21	316.37	595.34	480.04	591.22	1519.15	1143.1	1733.13
GIGYF1	563.18	780.44	860.08	264.03	688.78	1427.22	397.93	518.15	575.03	579.04	476.71	376.41	397.93	490.14	463.65	314.17	748.61	518.15	813.63	412.0	111.21	130.6	99.43	139.07	197.09	139.07	224.97	139.07	189.02	287.01	90.14	109.66	221.86	197.09	368.65	157.68	154.42	96.68	316.37	153.34	138.1	202.66	152.28	194.36	289.02	303.44	195.72	248.0	162.14	148.09	186.4	109.66	258.57	323.03	137.14	132.44	159.9	172.65	189.02	236.21	66.65	75.11	180.02	171.45	118.43	248.0	1268.46	612.11	1199.98
HDAC10	1066.48	2271.4	1733.13	441.64	1073.91	1397.83	708.18	830.75	941.27	954.43	532.74	974.5	1030.12	435.55	1015.93	688.78	1250.98	470.14	1119.56	698.41	543.96	397.93	412.0	291.04	384.34	503.95	567.1	450.94	525.39	995.0	209.84	363.56	412.0	420.68	890.44	669.92	674.59	444.72	780.44	447.82	403.5	273.37	525.39	660.68	629.35	753.83	356.05	629.35	728.11	679.29	567.1	460.44	748.61	1073.91	363.56	616.37	547.75	450.94	607.87	583.07	228.13	226.54	341.51	638.15	435.55	371.22	1208.34	1487.87	890.44
INO80E	1151.06	1259.69	1135.2	612.11	1487.87	1447.15	1135.2	1037.29	1350.18	995.0	1183.45	1250.98	1135.2	1572.76	1015.93	1233.75	1259.69	1651.0	1437.15	1388.16	656.11	529.06	579.04	620.67	633.73	884.29	866.07	775.05	813.63	1088.92	507.46	559.28	660.68	587.13	1081.39	718.08	802.41	587.13	808.0	603.67	860.08	647.07	825.0	813.63	1250.98	1151.06	785.88	620.67	785.88	830.75	896.64	575.03	1135.2	1066.48	703.28	860.08	941.27	808.0	624.99	1037.29	387.02	400.71	547.75	688.78	521.76	995.0	1304.15	1378.57	1529.73
INTS3	1313.23	4869.99	1769.57	547.75	1519.15	1991.0	988.12	1498.22	921.88	1883.54	1313.23	1044.52	1605.83	1378.57	1167.14	780.44	2271.4	1259.69	1286.18	555.41	291.04	279.14	409.15	305.55	412.0	343.89	460.44	339.14	723.08	796.86	281.09	444.72	262.2	514.56	890.44	403.5	591.22	490.14	638.15	389.72	454.09	329.84	493.56	607.87	836.53	802.41	567.1	332.14	493.56	563.18	624.99	497.0	647.07	571.05	563.18	406.31	514.56	348.71	525.39	547.75	163.28	113.56	249.73	587.13	420.68	559.28	1733.13	915.51	2090.03
ITFG2	599.49	941.27	1437.15	301.33	902.89	753.83	775.05	571.05	571.05	878.17	674.59	738.29	743.43	624.99	674.59	412.0	1096.5	1119.56	470.14	426.57	237.86	195.72	149.12	173.85	341.51	334.46	358.54	277.2	392.44	476.71	143.01	307.69	220.32	490.14	571.05	253.23	441.64	132.44	384.34	281.09	420.68	255.0	281.09	536.45	514.56	575.03	414.87	351.14	312.0	414.87	358.54	246.28	366.09	540.19	379.04	223.41	339.14	312.0	371.22	348.71	119.26	176.29	237.86	332.14	303.44	297.17	791.35	665.29	941.27
KAT2A	1745.2	3039.3	5479.15	624.99	2664.15	2468.49	1359.57	1757.34	1304.15	3190.46	1745.2	2224.63	1583.71	1340.84	1143.1	1151.06	4869.99	1268.46	3303.0	1733.13	148.09	182.55	221.86	229.72	395.18	638.15	612.11	486.75	412.0	878.17	223.41	444.72	429.54	381.68	909.17	327.56	587.13	287.01	567.1	444.72	473.41	571.05	547.75	567.1	848.22	860.08	470.14	366.09	503.95	693.58	447.82	309.83	563.18	813.63	420.68	457.25	476.71	412.0	426.57	759.08	180.02	215.77	423.61	647.07	511.0	318.57	2224.63	2591.27	1477.58
KIAA0907	1225.22	1991.0	2434.5	273.37	1183.45	1709.26	733.19	884.29	525.39	1883.54	713.11	688.78	563.18	1175.27	514.56	848.22	1551.09	890.44	738.29	392.44	80.57	127.0	144.01	135.24	204.07	251.48	249.73	295.11	178.77	271.48	74.58	228.13	195.72	414.87	309.83	199.85	271.48	201.25	309.83	138.1	332.14	197.09	206.94	155.5	295.11	387.02	248.0	102.25	231.32	320.8	265.87	110.43	323.03	384.34	151.22	249.73	193.01	237.86	316.37	325.29	58.71	143.01	61.68	275.28	303.44	105.89	1923.14	1529.73	2400.97
LRRC37A	45.53	55.49	95.34	18.29	41.22	80.57	28.65	26.28	40.64	28.86	22.75	26.47	13.52	26.67	44.57	19.53	53.95	32.13	26.47	14.67	6.67	8.51	5.59	10.39	6.16	7.46	4.46	1.66	11.55	4.98	6.06	10.79	4.66	10.55	33.06	2.41	8.78	9.78	40.36	16.27	11.64	8.99	8.19	9.78	13.22	10.79	16.27	4.5	5.32	31.45	9.7	4.31	39.5	6.94	5.5	4.03	18.03	4.98	26.86	11.3	7.17	1.45	9.48	37.59	18.97	7.51	139.07	50.63	37.85
LRRC37A2	249.73	490.14	890.44	149.12	291.04	629.35	190.34	334.46	363.56	373.81	156.59	264.03	211.31	139.07	269.6	215.77	361.04	265.87	211.31	131.51	53.19	44.25	80.57	103.69	100.13	82.87	69.52	41.81	93.35	111.99	52.08	106.63	30.78	69.03	208.38	37.05	133.36	144.01	208.38	127.89	128.79	53.95	111.21	74.58	105.15	85.22	101.54	27.84	99.43	224.97	78.89	61.25	249.73	73.03	77.79	58.71	110.43	71.0	125.24	159.9	49.21	37.59	66.18	228.13	114.36	92.7	748.61	314.17	251.48
METTL3	1044.52	921.88	1487.87	406.31	1313.23	1216.75	698.41	368.65	713.11	1143.1	559.28	759.08	476.71	954.43	476.71	587.13	1023.0	713.11	684.02	599.49	265.87	217.27	234.57	253.23	275.28	341.51	351.14	346.29	336.79	412.0	185.11	221.86	283.05	514.56	532.74	327.56	423.61	277.2	400.71	285.03	318.57	234.57	287.01	327.56	493.56	476.71	356.05	287.01	348.71	486.75	395.18	249.73	463.65	486.75	351.14	277.2	403.5	358.54	432.53	532.74	142.01	169.07	134.3	366.09	251.48	283.05	995.0	928.3	780.44
MORC2	1135.2	1551.09	1617.0	555.41	947.83	1051.79	791.35	684.02	660.68	1175.27	813.63	723.08	642.59	507.46	733.19	529.06	1369.04	1073.91	642.59	1059.11	277.2	301.33	177.53	201.25	314.17	320.8	559.28	371.22	493.56	339.14	185.11	320.8	339.14	339.14	450.94	244.57	366.09	312.0	476.71	299.25	406.31	384.34	351.14	500.46	457.25	366.09	346.29	197.09	287.01	373.81	397.93	226.54	325.29	435.55	447.82	267.73	248.0	336.79	279.14	361.04	229.72	500.46	366.09	480.04	295.11	281.09	1015.93	753.83	1259.69
MSH5	412.0	647.07	1037.29	96.01	1119.56	1151.06	358.54	323.03	543.96	518.15	291.04	358.54	205.5	417.77	392.44	258.57	500.46	854.13	476.71	255.0	40.93	47.5	46.84	42.41	46.18	89.51	154.42	51.71	102.97	81.14	19.39	52.45	55.89	73.54	166.73	104.42	198.47	45.85	128.79	111.21	46.84	27.25	69.03	152.28	107.38	175.07	39.5	115.16	51.35	94.67	91.41	43.02	154.42	239.52	143.01	69.52	107.38	56.68	193.01	173.85	30.78	29.06	41.81	139.07	100.13	87.65	1199.98	358.54	808.0
NCAPD2	1081.39	651.58	1159.07	63.89	1111.82	1936.53	204.07	267.73	195.72	217.27	183.82	251.48	137.14	660.68	205.5	241.19	791.35	567.1	201.25	142.01	60.39	41.52	42.11	78.89	56.68	45.21	69.03	53.57	105.89	157.68	38.4	45.53	27.44	124.37	106.63	49.21	80.01	31.9	82.87	64.8	57.49	113.56	40.64	70.51	121.79	77.25	109.66	127.89	46.84	65.26	67.59	152.28	165.57	205.5	106.63	42.71	56.28	42.71	105.89	84.63	17.25	14.56	27.84	76.17	36.01	22.1	854.13	708.18	1397.83
NCOA6	941.27	813.63	884.29	305.55	808.0	764.36	503.95	679.29	406.31	1175.27	400.71	718.08	395.18	633.73	595.34	466.88	825.0	748.61	363.56	403.5	223.41	183.82	161.02	187.71	221.86	299.25	563.18	473.41	384.34	384.34	177.53	366.09	273.37	297.17	351.14	346.29	361.04	343.89	232.94	151.22	371.22	334.46	320.8	260.38	339.14	346.29	291.04	229.72	356.05	307.69	307.69	185.11	289.02	301.33	279.14	320.8	334.46	299.25	232.94	343.89	187.71	297.17	205.5	480.04	279.14	176.29	854.13	890.44	563.18
NISCH	1088.92	1059.11	764.36	493.56	1561.89	1561.89	1015.93	896.64	974.5	947.83	848.22	651.58	693.58	1477.58	1066.48	819.3	1417.35	909.17	947.83	624.99	454.09	329.84	351.14	305.55	403.5	420.68	483.38	860.08	521.76	748.61	253.23	395.18	339.14	417.77	759.08	447.82	500.46	353.59	532.74	403.5	450.94	559.28	432.53	447.82	595.34	703.28	460.44	412.0	525.39	532.74	490.14	435.55	559.28	713.11	591.22	363.56	547.75	583.07	503.95	620.67	220.32	202.66	303.44	460.44	336.79	356.05	3443.31	698.41	1304.15
NPEPL1	941.27	2367.9	1551.09	194.36	1594.73	921.88	866.07	444.72	808.0	1662.49	941.27	947.83	981.29	2303.12	854.13	231.32	928.3	555.41	791.35	688.78	246.28	175.07	167.9	185.11	186.4	291.04	353.59	273.37	303.44	688.78	171.45	262.2	249.73	403.5	376.41	198.47	493.56	209.84	607.87	295.11	363.56	325.29	251.48	551.56	381.68	934.76	329.84	130.6	226.54	536.45	239.52	154.42	540.19	791.35	273.37	269.6	332.14	309.83	486.75	497.0	166.73	154.42	224.97	514.56	332.14	258.57	2193.99	1277.29	759.08
