	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.13FTX.0526.SM.5IFGS	GTEX.WRHK.0526.SM.4MVOF	GTEX.ZXES.1126.SM.5GZXN	GTEX.QESD.0826.SM.47J4G	GTEX.14ICL.0526.SM.5RQJ6	GTEX.14H4A.1626.SM.5SI69	GTEX.Y5LM.1026.SM.4VDSQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.139T6.0626.SM.5IFF9	GTEX.13FH7.0526.SM.5IJF8	GTEX.1211K.0926.SM.5FQTL	GTEX.14BMU.0926.SM.5S2QB	GTEX.U4B1.0826.SM.4DXTW	GTEX.13OVI.2626.SM.5KM4T	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.ZDYS.0826.SM.4WWCR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.ZZ64.0226.SM.5E44X	GTEX.QLQ7.0926.SM.447BC	GTEX.YEC3.2526.SM.4YCDN	GTEX.PWCY.0726.SM.48TCS	GTEX.WFON.0826.SM.4LVMI	GTEX.P4PQ.0626.SM.3NMCU	GTEX.11DXX.1126.SM.5GZZK	GTEX.13RTK.0526.SM.5S2QF	GTEX.13PVR.1826.SM.5Q5CC	GTEX.1399S.1326.SM.5P9GH	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145LU.1326.SM.5LU9N	GTEX.139TS.1426.SM.5IFJD	GTEX.XBEC.1526.SM.4AT68	GTEX.13SLX.1226.SM.5S2Q6	GTEX.132NY.0926.SM.5P9G3	GTEX.REY6.1226.SM.48FDR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
BCLAF1	738.29	547.75	1233.75	1051.79	775.05	1286.18	1322.37	733.19	1508.65	1350.18	915.51	866.07	1096.5	954.43	896.64	961.07	759.08	1127.35	1250.98	1225.22	1015.93	583.07	1259.69	1350.18	1477.58	902.89	1572.76	1313.23	1268.46	1359.57	1437.15	1350.18	902.89	718.08	1015.93	1008.9	1023.0	915.51	1183.45	1498.22	1225.22	1733.13	1059.11	1242.34	656.11	1286.18	1167.14	1277.29	1088.92	1030.12	1088.92	1143.1	1477.58	819.3	802.41	1447.15	500.46	99.43	194.36	183.82	343.89	376.41	279.14	140.04	336.79	297.17	325.29	438.59	205.5	275.28	325.29	358.54	341.51	796.86	961.07	759.08	854.13	575.03	684.02	723.08	1096.5
CAND1	603.67	1277.29	1015.93	1331.57	1143.1	1594.73	1242.34	1001.93	1685.71	1540.37	1167.14	1001.93	1143.1	967.76	1295.13	1135.2	896.64	633.73	1963.57	1259.69	1119.56	583.07	1651.0	1167.14	1119.56	974.5	1583.71	1508.65	1572.76	1359.57	1583.71	1639.59	947.83	902.89	1208.34	909.17	842.36	1088.92	1159.07	1674.06	1295.13	1407.55	974.5	1277.29	884.29	1498.22	1369.04	1417.35	1199.98	1242.34	1250.98	1896.65	1697.45	723.08	941.27	1268.46	1044.52	231.32	281.09	299.25	301.33	371.22	320.8	265.87	339.14	332.14	334.46	318.57	242.88	356.05	341.51	339.14	260.38	1313.23	1950.0	1628.26	909.17	1407.55	934.76	1143.1	1066.48
CBLL1	173.85	139.07	248.0	339.14	204.07	497.0	688.78	167.9	642.59	361.04	190.34	228.13	387.02	283.05	218.79	253.23	205.5	193.01	339.14	271.48	251.48	181.28	295.11	260.38	283.05	234.57	273.37	271.48	318.57	325.29	346.29	279.14	211.31	198.47	226.54	232.94	217.27	209.84	260.38	269.6	293.07	314.17	195.72	199.85	170.25	305.55	237.86	287.01	237.86	289.02	228.13	279.14	343.89	215.77	172.65	283.05	166.73	93.35	75.11	92.7	102.97	98.04	103.69	85.22	87.65	110.43	88.88	110.43	59.97	91.41	93.35	73.03	46.5	358.54	244.57	291.04	339.14	167.9	166.73	256.78	281.09
CBWD2	532.74	351.14	830.75	647.07	638.15	642.59	616.37	603.67	638.15	909.17	543.96	503.95	738.29	579.04	420.68	679.29	368.65	373.81	599.49	571.05	603.67	543.96	647.07	713.11	441.64	525.39	620.67	759.08	536.45	460.44	616.37	607.87	473.41	397.93	483.38	486.75	353.59	473.41	547.75	769.69	518.15	575.03	463.65	514.56	603.67	684.02	438.59	620.67	463.65	536.45	397.93	791.35	651.58	612.11	497.0	624.99	447.82	193.01	209.84	271.48	248.0	291.04	224.97	171.45	246.28	237.86	307.69	242.88	183.82	177.53	389.72	293.07	224.97	403.5	389.72	435.55	285.03	493.56	271.48	409.15	567.1
CCNJ	48.52	40.93	67.59	56.68	59.55	97.36	88.26	57.89	58.3	94.01	46.5	48.87	78.34	48.18	34.51	63.89	38.12	50.27	70.51	55.49	61.25	27.25	119.26	73.54	60.82	43.94	82.87	61.68	82.87	88.88	157.68	76.17	27.84	50.63	42.41	40.36	45.85	43.63	52.08	74.06	55.1	74.58	40.36	55.1	46.5	88.88	77.79	51.35	56.28	75.64	50.98	96.01	84.04	33.3	36.79	68.55	17.77	7.75	21.63	2.56	16.03	12.18	22.43	8.0	11.47	19.39	18.97	6.01	9.27	10.55	26.47	12.83	11.04	63.45	20.71	51.71	66.18	35.0	39.22	28.04	62.56
CCNK	688.78	723.08	1037.29	836.53	967.76	1066.48	1457.23	1037.29	1037.29	769.69	854.13	1104.13	1023.0	718.08	642.59	928.3	647.07	688.78	915.51	866.07	665.29	748.61	947.83	878.17	1250.98	587.13	830.75	928.3	1088.92	995.0	1191.69	947.83	825.0	688.78	743.43	708.18	808.0	764.36	860.08	1030.12	967.76	825.0	775.05	780.44	595.34	988.12	836.53	848.22	759.08	836.53	819.3	1001.93	1233.75	753.83	679.29	819.3	368.65	130.6	251.48	307.69	248.0	173.85	271.48	209.84	206.94	237.86	186.4	229.72	193.01	234.57	186.4	204.07	147.06	599.49	896.64	1111.82	555.41	669.92	525.39	603.67	791.35
CCNT1	102.25	149.12	185.11	187.71	155.5	236.21	215.77	158.79	212.78	197.09	164.42	167.9	158.79	177.53	181.28	199.85	166.73	173.85	228.13	156.59	173.85	115.16	182.55	218.79	218.79	148.09	180.02	234.57	206.94	236.21	199.85	181.28	163.28	156.59	175.07	176.29	163.28	154.42	176.29	193.01	239.52	226.54	172.65	161.02	123.5	226.54	208.38	191.67	172.65	187.71	154.42	182.55	237.86	95.34	150.17	211.31	123.5	43.94	56.68	49.56	59.55	78.89	69.03	38.67	76.71	80.57	62.56	83.45	64.8	65.72	73.54	75.64	62.12	74.06	108.9	206.94	113.56	120.94	120.94	102.25	181.28
CUL1	693.58	441.64	780.44	688.78	796.86	995.0	1216.75	665.29	1030.12	1378.57	660.68	718.08	660.68	612.11	665.29	708.18	647.07	429.54	902.89	753.83	785.88	674.59	808.0	759.08	780.44	651.58	785.88	802.41	842.36	785.88	981.29	860.08	642.59	642.59	693.58	638.15	647.07	723.08	728.11	775.05	769.69	796.86	647.07	785.88	603.67	830.75	693.58	759.08	748.61	738.29	688.78	860.08	825.0	753.83	638.15	802.41	620.67	185.11	579.04	525.39	684.02	647.07	624.99	376.41	563.18	688.78	651.58	463.65	684.02	497.0	470.14	703.28	409.15	1088.92	748.61	1037.29	825.0	633.73	764.36	764.36	603.67
DHX15	1286.18	1437.15	2178.83	1781.89	1781.89	2075.59	1757.34	1769.57	2075.59	2796.65	1674.06	1781.89	2777.33	1447.15	1819.35	2417.67	1551.09	1359.57	2119.22	2004.85	1936.53	1427.22	2255.7	1883.54	2417.67	1651.0	2148.82	2148.82	2335.28	2133.97	2895.31	2287.2	1757.34	1594.73	1870.53	1498.22	1674.06	2047.0	1870.53	2303.12	2047.0	2319.15	1617.0	2148.82	1561.89	2367.9	2047.0	2047.0	1806.78	1977.24	1674.06	2209.26	2485.67	1447.15	1572.76	2032.85	1081.39	1233.75	647.07	718.08	567.1	587.13	642.59	406.31	559.28	563.18	555.41	497.0	463.65	583.07	476.71	457.25	532.74	961.07	1369.04	1832.01	1175.27	1304.15	1037.29	1135.2	1605.83
DHX33	111.99	115.16	133.36	204.07	236.21	212.78	131.51	169.07	239.52	236.21	116.78	158.79	132.44	143.01	138.1	199.85	100.83	109.66	199.85	156.59	170.25	94.01	277.2	232.94	206.94	100.13	143.01	232.94	246.28	232.94	251.48	209.84	120.94	140.04	159.9	121.79	117.6	126.12	163.28	176.29	183.82	289.02	145.02	99.43	123.5	241.19	205.5	148.09	180.02	176.29	120.94	229.72	241.19	102.97	127.89	191.67	47.84	8.19	67.59	40.07	70.01	73.03	70.01	60.82	61.25	80.01	71.5	82.29	81.14	92.7	63.89	88.26	45.53	108.9	125.24	236.21	141.02	91.41	124.37	94.01	106.63
DYRK1A	381.68	262.2	525.39	612.11	417.77	743.43	555.41	460.44	693.58	612.11	571.05	642.59	595.34	629.35	703.28	612.11	483.38	583.07	713.11	688.78	620.67	376.41	713.11	651.58	764.36	529.06	764.36	728.11	884.29	708.18	665.29	728.11	656.11	473.41	559.28	460.44	638.15	651.58	669.92	769.69	775.05	866.07	607.87	669.92	387.02	791.35	651.58	708.18	647.07	684.02	660.68	551.56	866.07	412.0	543.96	738.29	229.72	141.02	145.02	185.11	193.01	226.54	220.32	106.63	185.11	244.57	181.28	189.02	139.07	267.73	159.9	158.79	291.04	444.72	769.69	368.65	575.03	327.56	460.44	376.41	638.15
EAF1	206.94	195.72	175.07	181.28	178.77	239.52	277.2	144.01	146.03	154.42	161.02	173.85	334.46	169.07	215.77	299.25	182.55	224.97	277.2	215.77	229.72	170.25	287.01	273.37	348.71	202.66	314.17	289.02	236.21	244.57	348.71	226.54	202.66	197.09	209.84	178.77	232.94	236.21	187.71	316.37	234.57	283.05	226.54	244.57	164.42	309.83	287.01	249.73	275.28	239.52	221.86	285.03	389.72	194.36	180.02	599.49	209.84	84.63	149.12	80.57	159.9	183.82	187.71	175.07	170.25	163.28	171.45	158.79	151.22	167.9	175.07	195.72	305.55	384.34	583.07	571.05	314.17	264.03	287.01	387.02	220.32
ERCC6-PGBD3	2.81	0.0	2.86	13.62	23.42	15.34	8.78	14.67	7.69	12.64	7.94	8.51	7.4	13.72	12.09	6.94	4.06	1.68	8.78	13.83	10.31	4.98	20.56	17.38	24.63	0.71	15.56	13.93	35.5	19.97	21.01	14.35	20.56	5.5	14.24	4.31	11.64	3.89	8.78	14.24	22.26	29.7	14.78	9.13	0.0	11.47	10.79	19.97	27.44	18.84	7.28	16.27	22.1	2.68	10.63	26.28	10.24	0.34	0.21	0.0	0.88	2.68	0.27	0.0	2.63	1.77	0.83	0.0	0.0	3.69	0.0	0.0	0.0	17.38	26.1	7.46	25.54	34.51	13.03	0.0	13.62
FAM168B	563.18	332.14	915.51	1030.12	819.3	620.67	463.65	813.63	909.17	1199.98	796.86	890.44	703.28	860.08	954.43	928.3	896.64	791.35	995.0	1023.0	967.76	791.35	928.3	928.3	1104.13	759.08	1088.92	954.43	1199.98	1233.75	775.05	1104.13	934.76	872.1	825.0	753.83	896.64	915.51	909.17	947.83	1059.11	878.17	842.36	679.29	660.68	1081.39	1023.0	995.0	1001.93	941.27	974.5	1030.12	921.88	728.11	813.63	934.76	295.11	90.77	325.29	299.25	256.78	438.59	441.64	327.56	441.64	267.73	258.57	206.94	260.38	275.28	122.64	297.17	381.68	612.11	591.22	241.19	579.04	915.51	698.41	511.0	890.44
FAM208B	239.52	154.42	346.29	384.34	323.03	660.68	414.87	341.51	591.22	518.15	318.57	356.05	387.02	297.17	343.89	417.77	239.52	246.28	591.22	432.53	373.81	237.86	480.04	368.65	389.72	256.78	454.09	514.56	521.76	457.25	743.43	497.0	262.2	336.79	348.71	285.03	273.37	287.01	285.03	463.65	371.22	497.0	275.28	336.79	231.32	444.72	412.0	358.54	373.81	429.54	329.84	463.65	444.72	251.48	228.13	483.38	148.09	139.07	89.51	154.42	100.13	107.38	151.22	37.05	166.73	167.9	140.04	211.31	119.26	164.42	111.99	78.89	112.77	249.73	197.09	674.59	232.94	182.55	195.72	190.34	371.22
FAM91A1	260.38	444.72	825.0	497.0	438.59	791.35	723.08	392.44	656.11	583.07	400.71	518.15	571.05	325.29	450.94	507.46	309.83	392.44	559.28	463.65	460.44	277.2	616.37	514.56	514.56	406.31	514.56	525.39	543.96	525.39	723.08	571.05	532.74	435.55	454.09	400.71	400.71	420.68	507.46	483.38	536.45	587.13	409.15	503.95	253.23	536.45	476.71	486.75	400.71	486.75	351.14	540.19	753.83	303.44	348.71	555.41	373.81	234.57	441.64	186.4	251.48	279.14	248.0	135.24	264.03	244.57	267.73	395.18	202.66	185.11	277.2	220.32	105.89	353.59	373.81	438.59	295.11	395.18	307.69	269.6	447.82
FBXW2	599.49	660.68	603.67	764.36	703.28	819.3	674.59	718.08	842.36	679.29	693.58	738.29	642.59	693.58	624.99	684.02	674.59	536.45	743.43	620.67	647.07	679.29	878.17	825.0	684.02	674.59	728.11	872.1	860.08	961.07	693.58	791.35	813.63	698.41	620.67	656.11	748.61	713.11	796.86	825.0	974.5	1015.93	764.36	693.58	698.41	928.3	738.29	796.86	723.08	684.02	769.69	733.19	780.44	660.68	693.58	624.99	466.88	105.89	211.31	403.5	251.48	432.53	400.71	285.03	376.41	312.0	329.84	277.2	269.6	260.38	358.54	332.14	371.22	753.83	633.73	392.44	473.41	555.41	595.34	392.44	629.35
GMEB1	162.14	153.34	135.24	167.9	205.5	180.02	212.78	135.24	172.65	221.86	142.01	169.07	205.5	139.07	115.16	163.28	125.24	128.79	211.31	136.19	127.89	105.15	177.53	137.14	215.77	125.24	176.29	155.5	193.01	155.5	264.03	142.01	118.43	111.99	128.79	147.06	142.01	147.06	144.01	215.77	151.22	156.59	127.0	167.9	151.22	194.36	153.34	191.67	135.24	158.79	141.02	248.0	215.77	108.14	133.36	201.25	111.99	18.84	48.18	68.07	47.5	41.81	82.87	46.84	48.87	49.91	52.45	42.71	47.84	48.87	57.08	64.34	78.89	224.97	246.28	166.73	191.67	226.54	187.71	144.01	105.15
GPR107	373.81	236.21	651.58	575.03	540.19	665.29	473.41	525.39	633.73	547.75	595.34	575.03	651.58	503.95	507.46	426.57	490.14	567.1	616.37	466.88	819.3	511.0	483.38	441.64	607.87	414.87	616.37	612.11	507.46	796.86	403.5	540.19	551.56	473.41	466.88	483.38	493.56	406.31	490.14	507.46	647.07	473.41	493.56	351.14	454.09	595.34	525.39	543.96	470.14	555.41	466.88	698.41	587.13	435.55	503.95	529.06	320.8	177.53	241.19	164.42	135.24	149.12	164.42	129.69	183.82	117.6	137.14	119.26	153.34	154.42	128.79	154.42	275.28	358.54	395.18	175.07	392.44	514.56	395.18	412.0	392.44
GPR75	13.52	11.91	28.04	23.08	14.24	36.53	24.46	17.25	16.51	20.26	20.86	22.1	13.22	20.71	18.97	59.55	23.08	9.7	39.22	30.56	14.24	9.34	44.89	27.64	65.72	15.8	31.22	32.59	35.5	49.56	54.33	40.64	28.04	40.36	19.11	14.67	39.79	43.32	43.94	39.22	33.3	53.19	23.93	32.13	7.11	36.27	38.95	24.63	37.59	28.65	33.3	55.49	79.45	18.84	34.51	21.63	10.47	1.17	9.93	11.21	12.64	9.56	10.31	10.55	29.27	13.52	9.78	11.21	9.63	20.56	27.25	12.93	3.59	1.55	8.78	4.98	12.45	4.9	9.78	2.25	34.75
