	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B2.5641.01A.01R.1541.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.B0.5075.01A.01R.1334.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5102.01A.01R.1420.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CW.5581.01A.02R.1541.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.5985.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.4897.01A.03R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4814.01A.01R.1277.07	TCGA.B0.5077.01A.01R.1334.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.ZZPT.1326.SM.5E43H	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.U3ZM.0126.SM.3DB8M	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11LCK.0526.SM.5A5M9	GTEX.ZTPG.0826.SM.5DUVC	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
CD37	373.81	144.01	90.77	429.54	283.05	175.07	36.01	181.28	170.25	113.56	56.28	94.67	43.94	98.04	255.0	72.52	1991.0	1662.49	2018.8	2627.46	669.92	603.67	1044.52	1991.0	540.19	674.59	507.46	395.18	743.43	2047.0	1561.89	854.13	543.96	536.45	543.96	708.18	105.15	48.52	129.69	100.13	612.11	217.27	463.65	60.82	698.41	281.09	86.43	141.02	165.57	116.78	366.09	157.68	128.79	186.4	80.57	151.22	220.32	208.38	102.97	1151.06	329.84	583.07	571.05	400.71	1407.55	3690.52	4836.35	4481.23	1617.0	995.0	2816.11	679.29	2855.44	511.0	144.01	72.52	1477.58	124.37	79.45	159.9	271.48	136.19	95.34	182.55	87.03	209.84	647.07	361.04	158.79	921.88	4972.34	1322.37	182.55	105.15	2240.11	189.02	275.28	93.35	180.02	525.39	103.69	150.17	108.14	223.41	117.6	158.79	444.72	124.37	28.04	32.82	406.31	204.07	231.32	262.2	146.03	96.01
CD48	241.19	139.07	90.14	373.81	220.32	241.19	37.59	63.89	114.36	69.03	33.06	54.33	18.43	33.06	218.79	37.05	1250.98	825.0	988.12	1104.13	307.69	591.22	708.18	1721.16	432.53	507.46	299.25	305.55	525.39	1950.0	1096.5	902.89	507.46	629.35	381.68	480.04	142.01	29.91	111.99	66.65	511.0	116.78	336.79	25.91	483.38	215.77	60.39	70.01	126.12	82.87	624.99	74.58	107.38	118.43	39.5	130.6	162.14	255.0	80.57	1572.76	336.79	543.96	555.41	323.03	450.94	1551.09	2777.33	947.83	497.0	503.95	1519.15	279.14	1104.13	332.14	185.11	49.91	872.1	93.35	44.57	102.97	127.0	69.52	40.07	150.17	31.22	120.94	543.96	199.85	93.35	363.56	591.22	616.37	108.9	163.28	1487.87	74.58	176.29	64.34	96.01	134.3	112.77	46.18	78.34	140.04	100.83	334.46	170.25	80.01	14.03	16.39	148.09	186.4	35.5	147.06	72.52	31.0
CD53	575.03	256.78	129.69	429.54	389.72	325.29	89.51	599.49	258.57	356.05	31.45	204.07	57.49	262.2	785.88	191.67	2915.45	2434.5	2075.59	3081.75	629.35	1111.82	2335.28	2451.44	1662.49	1044.52	830.75	890.44	848.22	3349.13	2758.13	1844.76	988.12	1008.9	808.0	1199.98	206.94	73.54	193.01	204.07	743.43	209.84	412.0	77.79	629.35	432.53	159.9	166.73	248.0	148.09	511.0	158.79	226.54	279.14	171.45	281.09	277.2	318.57	153.34	1175.27	363.56	785.88	575.03	500.46	1457.23	2855.44	6037.61	3716.2	961.07	1295.13	3325.99	974.5	2997.45	848.22	384.34	115.97	1191.69	195.72	138.1	271.48	223.41	154.42	101.54	273.37	127.0	217.27	902.89	256.78	199.85	1628.26	2816.11	3349.13	332.14	242.88	2537.92	183.82	392.44	98.04	187.71	934.76	341.51	80.01	102.97	363.56	111.99	426.57	551.56	293.07	58.3	82.87	698.41	466.88	173.85	607.87	173.85	90.77
CD84	44.25	10.08	3.56	34.02	17.13	12.83	4.24	23.42	16.51	13.93	0.0	3.82	0.0	16.88	29.27	8.99	403.5	303.44	153.34	651.58	49.21	85.22	198.47	201.25	126.12	67.59	42.41	86.43	71.0	463.65	529.06	172.65	71.0	50.98	76.71	170.25	19.39	4.9	15.34	9.85	80.57	17.0	18.43	4.58	31.45	29.48	13.32	19.25	12.83	8.45	33.06	16.88	19.82	18.16	11.82	12.74	23.08	20.56	11.3	67.12	23.59	47.84	60.39	43.63	97.36	142.01	591.22	265.87	71.5	142.01	414.87	97.36	134.3	55.1	4.94	5.32	105.89	8.99	2.36	24.28	13.52	11.13	9.93	15.45	8.38	15.34	64.8	17.25	16.75	59.97	253.23	28.45	22.59	16.03	175.07	10.96	19.68	3.32	34.02	73.54	20.26	5.92	7.51	34.26	5.41	12.09	59.55	23.42	1.89	3.69	50.27	36.27	17.38	43.63	23.59	3.86
CD86	78.89	27.64	29.7	100.83	88.26	81.71	6.21	96.68	52.08	40.07	0.0	31.45	10.16	41.52	138.1	27.84	571.05	476.71	242.88	476.71	176.29	145.02	307.69	463.65	151.22	141.02	105.15	147.06	120.1	579.04	511.0	358.54	162.14	85.82	109.66	151.22	34.26	11.47	35.76	44.57	164.42	43.94	49.21	15.22	90.77	63.45	30.78	48.18	43.63	21.16	82.29	23.59	26.86	50.98	29.06	29.91	50.63	51.35	25.54	297.17	76.71	102.25	131.51	69.03	237.86	466.88	866.07	320.8	176.29	185.11	497.0	154.42	346.29	176.29	39.79	19.68	183.82	35.0	14.45	42.41	23.76	23.25	14.56	62.56	21.47	26.86	151.22	29.06	37.59	209.84	698.41	204.07	31.45	12.74	271.48	41.22	40.93	11.3	41.22	75.64	35.25	15.34	23.93	45.53	11.64	48.52	61.25	14.56	18.56	15.34	79.45	122.64	23.76	46.84	22.26	16.03
CORO1A	518.15	323.03	139.07	486.75	432.53	264.03	72.01	285.03	202.66	198.47	40.36	112.77	22.75	159.9	470.14	167.9	3257.52	1628.26	1844.76	1561.89	743.43	753.83	1427.22	2271.4	848.22	988.12	954.43	406.31	848.22	2434.5	1378.57	1467.37	660.68	507.46	703.28	1015.93	176.29	55.89	169.07	348.71	500.46	176.29	414.87	77.25	551.56	314.17	98.73	137.14	244.57	134.3	373.81	100.83	198.47	201.25	105.89	198.47	232.94	253.23	154.42	947.83	454.09	665.29	518.15	559.28	1427.22	1457.23	3847.29	1896.65	967.76	629.35	2451.44	941.27	1519.15	947.83	289.02	142.01	1936.53	152.28	104.42	293.07	255.0	187.71	108.9	264.03	113.56	297.17	1208.34	373.81	209.84	1936.53	796.86	579.04	403.5	307.69	2367.9	127.0	444.72	131.51	384.34	674.59	248.0	246.28	211.31	514.56	133.36	426.57	1111.82	543.96	99.43	159.9	688.78	669.92	289.02	486.75	242.88	108.9
DOCK2	94.67	28.86	8.71	83.45	57.08	33.54	12.83	54.72	35.0	34.75	9.41	26.86	17.38	24.46	70.01	27.64	785.88	490.14	334.46	543.96	137.14	158.79	358.54	457.25	195.72	136.19	163.28	147.06	180.02	723.08	587.13	316.37	163.28	84.04	154.42	251.48	41.52	21.63	43.32	93.35	161.02	43.32	67.12	17.13	95.34	74.06	36.27	33.06	44.57	36.27	67.12	27.64	49.91	65.72	30.78	43.94	46.18	40.64	39.22	142.01	80.57	133.36	103.69	114.36	206.94	389.72	1051.79	521.76	187.71	186.4	679.29	190.34	289.02	112.77	31.45	23.76	336.79	33.06	13.22	56.68	57.49	36.53	25.35	55.49	25.72	51.35	186.4	67.12	53.95	175.07	429.54	417.77	66.65	53.57	397.93	24.46	92.05	18.56	34.75	111.21	43.32	15.45	39.79	48.87	20.41	178.77	96.01	48.87	10.96	11.21	105.15	66.18	31.67	78.89	29.27	28.86
DOK2	109.66	46.5	19.68	111.21	104.42	67.59	25.17	78.89	47.17	62.56	6.57	16.39	0.0	54.72	141.02	43.32	320.8	241.19	332.14	384.34	63.45	144.01	356.05	273.37	146.03	57.08	149.12	74.58	124.37	547.75	295.11	226.54	107.38	105.15	132.44	217.27	44.57	10.71	64.8	21.94	120.1	40.64	69.03	16.51	114.36	51.35	27.25	20.41	57.89	35.5	95.34	14.67	42.41	43.02	28.86	44.89	50.63	49.21	29.27	195.72	99.43	120.94	78.89	110.43	291.04	490.14	1104.13	651.58	158.79	281.09	743.43	107.38	599.49	87.03	65.26	27.05	336.79	21.47	35.76	59.97	48.18	46.5	31.67	53.19	27.84	58.71	176.29	59.55	55.49	457.25	547.75	4481.23	51.35	46.18	232.94	11.64	77.79	6.94	52.82	181.28	24.11	22.92	30.12	48.87	17.13	51.35	189.02	68.07	8.92	23.08	111.99	142.01	34.26	46.84	61.68	13.32
EVI2B	194.36	76.71	52.08	201.25	113.56	105.15	35.25	125.24	86.43	95.34	5.06	50.98	19.39	100.83	246.28	24.63	1151.06	884.29	426.57	967.76	159.9	318.57	647.07	890.44	444.72	332.14	194.36	325.29	299.25	1769.57	961.07	733.19	420.68	341.51	303.44	366.09	107.38	29.7	71.0	96.68	412.0	108.9	206.94	25.54	253.23	166.73	71.0	69.03	77.25	59.55	246.28	59.13	94.67	148.09	58.3	91.41	124.37	136.19	65.26	633.73	167.9	301.33	341.51	226.54	559.28	669.92	1313.23	343.89	287.01	312.0	684.02	218.79	503.95	303.44	88.88	36.01	587.13	96.68	35.76	108.9	69.03	68.07	34.51	101.54	45.21	68.07	351.14	117.6	92.7	808.0	1540.37	2193.99	146.03	96.01	738.29	53.57	159.9	31.0	82.87	299.25	151.22	38.12	74.58	130.6	85.22	76.17	163.28	53.95	23.59	33.3	211.31	98.04	48.18	159.9	59.55	38.12
FCER1G	896.64	361.04	275.28	961.07	769.69	813.63	49.91	1151.06	486.75	638.15	63.45	181.28	100.13	642.59	1551.09	466.88	5112.16	7130.55	6792.79	6745.86	1191.69	2895.31	4450.27	5711.87	2209.26	3280.18	1378.57	1923.14	1268.46	5831.91	6164.49	4298.64	2061.24	1857.6	1639.59	2796.65	435.55	159.9	476.71	403.5	1208.34	603.67	830.75	162.14	1143.1	830.75	376.41	406.31	547.75	376.41	954.43	226.54	343.89	595.34	281.09	483.38	703.28	728.11	361.04	1651.0	656.11	1397.83	1250.98	954.43	3419.52	10512.82	15499.21	11424.74	2664.15	3614.55	9151.82	3325.99	9673.69	2240.11	743.43	206.94	1963.57	575.03	194.36	559.28	392.44	303.44	279.14	748.61	356.05	379.04	1498.22	346.29	490.14	6381.92	9409.14	5711.87	967.76	412.0	3665.02	312.0	836.53	139.07	503.95	2018.8	1250.98	269.6	320.8	536.45	153.34	947.83	934.76	954.43	122.64	218.79	1225.22	1388.16	361.04	854.13	262.2	329.84
FCGR2B	167.9	98.73	23.93	215.77	170.25	87.03	10.39	111.21	215.77	17.25	108.9	48.52	13.62	10.79	162.14	12.93	830.75	1583.71	1191.69	1268.46	258.57	332.14	518.15	1096.5	71.5	199.85	117.6	232.94	279.14	231.32	693.58	242.88	131.51	165.57	307.69	100.13	107.38	40.07	82.87	27.64	327.56	70.51	123.5	11.64	193.01	244.57	20.11	36.01	61.25	47.17	119.26	32.36	35.76	29.7	34.26	48.18	153.34	95.34	54.33	693.58	94.67	211.31	244.57	167.9	791.35	4210.15	4481.23	1950.0	1096.5	493.56	1427.22	830.75	1359.57	152.28	54.72	38.95	414.87	47.84	13.93	116.78	85.82	78.89	22.59	77.79	58.3	68.55	316.37	61.25	98.04	1015.93	429.54	275.28	75.11	31.45	417.77	55.1	283.05	25.72	255.0	157.68	152.28	30.78	61.25	148.09	57.49	150.17	267.73	100.83	7.69	27.44	183.82	327.56	75.64	134.3	41.81	124.37
FERMT3	224.97	127.0	64.8	237.86	205.5	122.64	31.22	107.38	134.3	87.65	21.01	89.51	49.56	62.56	169.07	56.68	1051.79	842.36	1088.92	1001.93	205.5	400.71	775.05	866.07	295.11	381.68	341.51	228.13	312.0	830.75	642.59	563.18	246.28	248.0	307.69	603.67	106.63	38.67	182.55	127.89	223.41	165.57	155.5	50.27	211.31	190.34	82.87	98.04	148.09	97.36	191.67	63.0	107.38	92.7	101.54	114.36	130.6	111.99	92.05	314.17	181.28	307.69	193.01	204.07	660.68	1388.16	3303.0	1896.65	665.29	521.76	1572.76	547.75	1151.06	318.57	134.3	110.43	587.13	91.41	77.79	114.36	177.53	150.17	100.83	100.13	83.45	132.44	454.09	123.5	100.13	1127.35	921.88	351.14	249.73	167.9	753.83	113.56	299.25	62.12	180.02	412.0	148.09	130.6	94.67	220.32	67.59	86.43	463.65	285.03	55.1	78.89	409.15	193.01	211.31	206.94	215.77	62.12
GPSM3	307.69	166.73	109.66	281.09	271.48	201.25	59.97	193.01	218.79	139.07	72.52	93.35	98.73	118.43	341.51	89.51	1175.27	1313.23	1167.14	941.27	303.44	503.95	1088.92	1242.34	450.94	412.0	379.04	343.89	389.72	1340.84	759.08	616.37	426.57	529.06	583.07	607.87	178.77	74.58	199.85	167.9	339.14	186.4	246.28	85.82	318.57	191.67	110.43	105.15	149.12	111.99	287.01	85.82	127.89	127.89	116.78	143.01	178.77	198.47	104.42	454.09	241.19	417.77	277.2	277.2	1127.35	1313.23	2303.12	1388.16	555.41	426.57	1551.09	417.77	1467.37	417.77	199.85	105.15	775.05	133.36	87.65	155.5	164.42	132.44	103.69	144.01	91.41	178.77	473.41	189.02	137.14	2335.28	1870.53	1183.45	211.31	218.79	890.44	153.34	193.01	62.12	178.77	497.0	114.36	59.55	191.67	202.66	136.19	147.06	332.14	117.6	42.41	105.89	363.56	246.28	125.24	187.71	153.34	78.34
GPX3	353168.2	239554.43	783730.52	391864.76	191899.64	394590.4	417089.23	327241.36	305326.92	299043.36	215898.44	237899.7	215898.44	378516.38	182810.84	355624.68	174152.51	194578.47	135693.24	212926.09	365622.68	160252.91	262143.0	190574.09	286861.53	336441.4	265802.39	275175.93	229795.93	156954.93	159145.95	492579.5	207103.59	201440.3	189257.69	181548.07	736332.6	434801.29	246289.25	334117.42	207103.59	434801.29	450134.56	193234.41	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	400098.69	383800.28	389157.95	472513.8	42937.97	31215.04	89523.81	299043.36	11992.79	193234.41	186652.11	207103.59	23330.64	164758.26	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	254974.66	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	320506.81	220434.95	228208.61	249727.34	324980.94	215898.44	546551.29	499455.67	419990.32	405683.88	246289.25	275175.93	290865.98	338781.54	320506.81	334117.42	275175.93	313910.86	288856.81	233003.78	236256.4	305326.92	239554.43	428815.23	284880.02	513497.31	301123.38
HCK	169.07	74.58	51.71	169.07	105.15	124.37	16.51	102.97	112.77	95.34	10.63	22.75	23.42	73.54	186.4	70.01	647.07	819.3	571.05	872.1	167.9	260.38	532.74	571.05	277.2	204.07	199.85	218.79	223.41	921.88	688.78	748.61	226.54	96.01	204.07	353.59	75.64	24.81	78.34	59.13	215.77	84.04	110.43	30.34	206.94	105.15	49.91	54.72	88.26	48.52	123.5	38.95	78.89	93.35	52.82	81.71	102.25	119.26	67.12	285.03	129.69	221.86	153.34	175.07	305.55	1088.92	2224.63	1259.69	353.59	373.81	1277.29	320.8	624.99	264.03	90.77	51.35	444.72	76.71	46.18	95.34	63.45	60.82	50.27	102.97	54.33	79.45	376.41	72.52	77.25	595.34	583.07	579.04	99.43	48.87	293.07	42.11	148.09	16.63	64.34	166.73	50.63	64.8	48.18	65.72	22.75	218.79	111.21	111.21	15.45	16.03	124.37	205.5	53.57	100.13	50.98	23.42
HCLS1	480.04	242.88	141.02	514.56	507.46	341.51	69.03	525.39	190.34	371.22	82.87	103.69	114.36	273.37	603.67	172.65	2485.67	1769.57	1781.89	1508.65	511.0	693.58	2047.0	1844.76	1304.15	819.3	775.05	525.39	819.3	2047.0	1508.65	1183.45	915.51	629.35	759.08	1044.52	251.48	178.77	283.05	256.78	854.13	406.31	450.94	183.82	780.44	480.04	248.0	299.25	381.68	193.01	454.09	151.22	241.19	239.52	258.57	314.17	384.34	236.21	231.32	902.89	429.54	860.08	567.1	624.99	1233.75	1709.26	3303.0	2956.17	884.29	607.87	1498.22	693.58	1467.37	547.75	376.41	195.72	1143.1	232.94	178.77	339.14	332.14	232.94	146.03	332.14	166.73	277.2	934.76	329.84	273.37	2255.7	2303.12	1216.75	395.18	356.05	1909.85	414.87	543.96	178.77	226.54	1030.12	264.03	332.14	246.28	567.1	194.36	264.03	802.41	525.39	141.02	127.89	848.22	366.09	579.04	607.87	277.2	223.41
HCST	384.34	273.37	185.11	429.54	429.54	353.59	32.82	348.71	334.46	120.94	82.29	102.97	36.01	148.09	612.11	172.65	1991.0	1044.52	1159.07	842.36	579.04	860.08	995.0	1819.35	769.69	674.59	813.63	275.28	547.75	1721.16	909.17	866.07	406.31	521.76	591.22	532.74	182.55	96.68	167.9	114.36	503.95	236.21	395.18	81.14	529.06	403.5	87.65	116.78	248.0	106.63	490.14	76.71	158.79	229.72	132.44	178.77	281.09	368.65	132.44	819.3	353.59	743.43	503.95	363.56	825.0	1250.98	3515.68	1561.89	718.08	543.96	1378.57	507.46	1819.35	759.08	406.31	105.89	1191.69	140.04	77.79	241.19	173.85	167.9	91.41	214.27	82.87	202.66	540.19	312.0	166.73	1216.75	2240.11	780.44	162.14	157.68	902.89	153.34	397.93	58.3	358.54	400.71	363.56	82.87	217.27	195.72	99.43	113.56	555.41	248.0	18.29	135.24	417.77	432.53	197.09	195.72	175.07	64.8
IFNAR2	384.34	198.47	191.67	318.57	351.14	318.57	96.68	260.38	366.09	279.14	105.15	115.97	226.54	299.25	473.41	228.13	884.29	665.29	579.04	785.88	256.78	432.53	607.87	819.3	420.68	796.86	299.25	1001.93	514.56	642.59	884.29	1208.34	503.95	536.45	486.75	587.13	181.28	154.42	318.57	220.32	397.93	237.86	301.33	175.07	417.77	229.72	214.27	206.94	231.32	215.77	279.14	208.38	217.27	205.5	215.77	305.55	346.29	241.19	165.57	414.87	256.78	397.93	400.71	358.54	934.76	567.1	775.05	348.71	507.46	277.2	748.61	698.41	450.94	567.1	214.27	177.53	341.51	194.36	151.22	165.57	173.85	190.34	161.02	182.55	191.67	226.54	460.44	204.07	201.25	316.37	909.17	293.07	236.21	217.27	483.38	503.95	387.02	231.32	262.2	423.61	387.02	149.12	277.2	191.67	435.55	373.81	153.34	325.29	239.52	134.3	244.57	559.28	307.69	368.65	209.84	204.07
IGSF6	60.82	34.02	15.91	61.25	37.59	45.53	10.47	28.65	44.57	10.39	22.26	13.12	2.63	39.5	103.69	14.89	723.08	708.18	808.0	1304.15	98.04	361.04	447.82	612.11	228.13	265.87	115.97	167.9	199.85	915.51	1008.9	693.58	211.31	112.77	127.0	529.06	36.79	5.77	38.12	25.35	155.5	46.5	58.3	4.98	94.01	47.17	29.91	34.02	35.0	24.46	67.59	20.56	38.12	83.45	33.78	61.25	70.01	94.01	29.7	149.12	54.33	67.59	102.97	133.36	438.59	738.29	2148.82	232.94	303.44	511.0	836.53	358.54	212.78	299.25	26.47	16.63	283.05	26.1	20.71	50.63	30.78	43.63	20.11	49.91	19.68	42.71	130.6	44.25	50.98	256.78	363.56	351.14	84.63	48.18	50.63	15.45	81.71	24.11	134.3	88.88	62.56	34.51	14.03	30.34	2.97	115.16	50.63	33.54	38.4	8.65	64.8	87.03	56.68	42.41	39.22	20.11
IL10RA	289.02	73.54	27.25	155.5	138.1	84.63	12.09	117.6	102.25	94.01	3.92	29.91	24.28	74.58	159.9	76.71	1030.12	708.18	543.96	995.0	334.46	320.8	753.83	813.63	318.57	157.68	287.01	211.31	246.28	1059.11	656.11	414.87	264.03	124.37	400.71	447.82	91.41	28.65	110.43	48.52	339.14	145.02	145.02	25.72	193.01	140.04	74.58	54.72	143.01	50.27	133.36	61.25	102.97	81.14	62.12	104.42	115.97	110.43	75.64	301.33	149.12	204.07	267.73	156.59	303.44	769.69	1651.0	738.29	373.81	237.86	1340.84	262.2	791.35	211.31	67.59	56.28	575.03	69.52	38.12	119.26	64.34	66.18	67.12	91.41	68.07	75.64	406.31	133.36	84.63	316.37	1008.9	127.0	112.77	79.45	854.13	51.35	123.5	33.3	78.89	197.09	54.72	68.55	43.63	144.01	41.22	96.01	275.28	62.12	32.36	21.78	346.29	130.6	92.05	169.07	77.79	32.59
ITGAX	67.59	33.06	20.86	69.03	51.71	27.05	5.68	8.19	60.39	6.78	2.07	16.51	16.63	16.63	26.28	18.29	353.59	397.93	1044.52	921.88	295.11	228.13	157.68	312.0	96.01	194.36	665.29	83.45	173.85	293.07	457.25	255.0	82.29	110.43	217.27	429.54	13.72	4.17	18.29	19.11	95.34	40.93	29.27	5.59	43.02	29.48	16.51	14.89	10.24	14.56	34.26	16.63	29.48	16.75	11.3	25.72	31.67	34.26	14.45	59.55	46.18	47.17	29.91	76.17	555.41	1199.98	1923.14	1111.82	616.37	441.64	878.17	599.49	718.08	251.48	18.03	15.68	206.94	28.24	8.19	21.01	40.36	28.04	8.0	20.71	20.71	59.55	62.12	21.47	13.93	444.72	1991.0	607.87	88.26	21.94	348.71	64.8	71.5	19.25	38.67	111.21	31.22	16.88	105.15	35.25	60.39	30.78	91.41	14.35	10.79	2.32	65.26	125.24	25.72	27.44	20.26	5.87
ITGB2	607.87	323.03	136.19	723.08	518.15	351.14	67.59	713.11	371.22	432.53	49.56	119.26	59.13	236.21	890.44	166.73	5517.27	3665.02	3235.01	4181.07	836.53	1250.98	2303.12	3491.39	1322.37	1119.56	836.53	836.53	1583.71	4671.57	4802.93	1844.76	1268.46	1199.98	954.43	1709.26	316.37	175.07	287.01	186.4	753.83	237.86	429.54	100.83	490.14	435.55	183.82	223.41	457.25	159.9	620.67	170.25	327.56	371.22	248.0	285.03	334.46	318.57	312.0	1268.46	571.05	909.17	497.0	633.73	3190.46	6381.92	12415.75	5711.87	3235.01	2367.9	7911.95	2193.99	4543.8	1183.45	301.33	264.03	1991.0	265.87	228.13	414.87	353.59	343.89	248.0	289.02	163.28	417.77	1313.23	376.41	348.71	2835.7	2997.45	995.0	312.0	283.05	2090.03	87.65	483.38	85.22	262.2	775.05	201.25	121.79	151.22	267.73	56.68	332.14	759.08	500.46	62.56	73.03	579.04	665.29	248.0	529.06	299.25	90.14
KIAA0930	599.49	435.55	244.57	748.61	525.39	368.65	307.69	571.05	967.76	733.19	397.93	246.28	476.71	591.22	567.1	688.78	1313.23	1295.13	1135.2	1721.16	1023.0	1757.34	988.12	1340.84	703.28	748.61	1151.06	1225.22	723.08	921.88	1135.2	1044.52	638.15	684.02	651.58	848.22	450.94	438.59	559.28	536.45	575.03	543.96	514.56	532.74	629.35	591.22	412.0	414.87	483.38	379.04	412.0	486.75	507.46	567.1	454.09	540.19	457.25	320.8	466.88	633.73	435.55	688.78	518.15	612.11	1437.15	2451.44	3589.58	2935.74	1662.49	1286.18	2163.77	1295.13	2018.8	1191.69	480.04	376.41	775.05	429.54	429.54	532.74	583.07	679.29	514.56	454.09	441.64	540.19	842.36	525.39	532.74	1617.0	490.14	547.75	356.05	473.41	483.38	400.71	497.0	303.44	651.58	547.75	414.87	387.02	878.17	420.68	466.88	363.56	669.92	406.31	316.37	463.65	587.13	490.14	346.29	392.44	275.28	363.56
