	TCGA.C4.A0EZ.01A.21R.A24X.07	TCGA.G2.A2EL.01A.12R.A18C.07	TCGA.AC.A7VB.01A.11R.A352.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.B0.4691.01A.01R.1277.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.UPK5.1126.SM.3GAEJ
CENPI	138.1	312.0	88.26	165.57	11.55	69.52	12.0	26.47	15.45	1.11	78.89
CENPK	647.07	934.76	190.34	423.61	7.69	19.68	1.27	12.74	89.51	3.96	314.17
CENPM	2004.85	1350.18	426.57	638.15	6.31	16.63	0.0	2.92	246.28	4.1	540.19
CENPO	532.74	309.83	224.97	607.87	29.27	134.3	22.75	65.72	151.22	21.01	246.28
CEP55	638.15	981.29	269.6	547.75	1.89	64.34	0.0	0.09	105.15	1.39	211.31
CHAF1A	848.22	819.3	559.28	543.96	115.97	164.42	93.35	134.3	111.21	23.42	336.79
CHAF1B	567.1	361.04	155.5	669.92	27.64	68.55	25.91	23.59	63.0	3.23	72.01
CHEK1	733.19	842.36	403.5	1529.73	76.71	80.01	32.13	26.28	183.82	22.92	423.61
CKAP2L	195.72	253.23	190.34	483.38	1.62	46.84	1.14	1.28	29.27	0.52	84.63
CKS2	8479.89	2627.46	4038.61	5872.48	73.03	967.76	135.24	53.19	1167.14	426.57	2645.74
CLSPN	271.48	769.69	157.68	507.46	0.0	32.13	0.0	0.54	15.8	0.0	113.56
DEPDC1	173.85	426.57	132.44	279.14	0.13	12.93	0.0	3.92	21.63	0.0	43.94
DEPDC1B	454.09	684.02	195.72	175.07	0.0	33.06	0.0	5.06	46.18	1.58	59.55
DLGAP5	759.08	995.0	376.41	647.07	0.75	94.67	0.0	0.0	34.02	1.99	137.14
DNA2	234.57	363.56	187.71	373.81	13.83	104.42	8.65	25.35	53.19	15.11	80.01
DNAJC9	1208.34	1073.91	684.02	1340.84	226.54	414.87	197.09	201.25	251.48	98.73	543.96
DNMT1	2997.45	3349.13	878.17	4972.34	591.22	1259.69	583.07	791.35	500.46	193.01	2133.97
DONSON	1191.69	1104.13	218.79	1909.85	131.51	397.93	205.5	224.97	339.14	183.82	206.94
DSCC1	348.71	470.14	260.38	693.58	21.16	55.89	40.93	49.56	39.5	5.28	108.9
DSN1	1199.98	884.29	525.39	753.83	127.0	194.36	96.68	139.07	260.38	69.52	457.25
DTYMK	1883.54	896.64	1225.22	961.07	348.71	303.44	226.54	232.94	1051.79	159.9	842.36
E2F1	3303.0	1397.83	559.28	1250.98	21.78	152.28	29.48	59.97	108.9	4.5	518.15
E2F7	346.29	480.04	74.06	262.2	1.43	50.27	0.0	0.41	18.03	0.64	60.82
ERCC6L	88.88	159.9	43.94	121.79	2.53	13.12	0.37	1.93	7.4	0.0	20.56
ESCO2	102.25	470.14	105.89	71.5	0.48	8.71	0.0	3.82	14.67	4.1	63.89
EXO1	470.14	921.88	217.27	175.07	1.48	50.27	0.0	5.73	44.89	4.21	151.22
EZH2	1519.15	2351.53	295.11	1674.06	5.23	220.32	1.62	20.41	212.78	34.75	239.52
FAM64A	3820.7	1167.14	161.02	1331.57	0.82	84.63	4.35	3.11	96.68	1.51	76.17
FAM72A	470.14	202.66	256.78	291.04	13.12	126.12	13.72	20.56	76.71	11.55	45.21
FAM72B	237.86	191.67	143.01	194.36	18.84	51.71	5.32	14.45	25.91	0.75	111.21
FAM72C	493.56	100.13	132.44	100.83	2.81	7.4	1.03	1.87	16.51	0.89	59.97
FAM72D	332.14	154.42	99.43	182.55	0.0	48.52	1.36	0.6	5.59	0.0	51.71
FANCB	44.57	56.28	34.02	77.25	6.52	20.71	3.08	10.31	7.69	0.0	36.53
FANCI	1001.93	1143.1	825.0	1477.58	57.49	142.01	26.1	50.98	121.79	11.13	490.14
FBXO5	743.43	1388.16	199.85	1359.57	38.67	133.36	99.43	81.71	96.01	59.13	123.5
FEN1	2537.92	2061.24	1259.69	2240.11	163.28	332.14	137.14	119.26	318.57	63.0	532.74
GINS1	567.1	684.02	293.07	476.71	8.92	41.52	1.53	3.82	61.25	4.43	101.54
GINS2	1242.34	624.99	159.9	543.96	5.92	82.87	3.86	8.45	177.53	20.11	171.45
GSG2	85.82	76.17	37.85	96.68	0.0	15.56	0.0	1.31	10.71	0.0	5.59
GTSE1	718.08	775.05	166.73	480.04	0.04	13.72	0.0	0.85	60.39	0.8	82.29
H2AFX	2701.35	2417.67	872.1	2935.74	231.32	420.68	483.38	384.34	674.59	237.86	684.02
H2AFZ	31870.96	13492.72	12676.65	15075.35	4388.98	11504.21	4388.98	4181.07	5831.91	1096.5	12076.21
HELLS	376.41	813.63	291.04	713.11	16.75	27.25	2.53	21.47	94.01	17.9	305.55
HES6	52135.28	16045.82	111.99	3103.19	454.09	136.19	111.21	126.12	84.04	73.03	82.87
HMGB2	29327.18	10014.87	5441.3	16383.0	2777.33	4419.52	1721.16	1963.57	2915.45	438.59	2502.97
HMMR	854.13	785.88	454.09	358.54	1.66	16.75	0.0	1.48	68.07	3.0	124.37
INCENP	493.56	967.76	447.82	1199.98	197.09	226.54	107.38	128.79	90.77	13.22	316.37
KIAA0101	2367.9	1286.18	1794.29	1617.0	3.5	13.93	0.0	1.36	514.56	17.25	567.1
KIF11	665.29	1096.5	323.03	1111.82	3.82	32.59	0.09	2.34	57.89	2.18	125.24
KIF14	141.02	143.01	40.36	146.03	0.17	30.56	0.0	0.0	8.85	0.65	27.44
KIF15	181.28	307.69	249.73	275.28	7.75	76.17	3.86	17.25	24.63	1.14	84.04
KIF18A	301.33	256.78	117.6	351.14	0.99	18.56	1.55	1.69	25.91	0.0	69.52
KIF18B	532.74	444.72	339.14	336.79	0.0	57.89	0.0	0.0	44.89	0.73	80.57
KIF20A	764.36	808.0	381.68	647.07	0.74	22.75	0.52	0.0	108.9	0.46	162.14
KIF20B	148.09	146.03	135.24	287.01	42.11	42.71	27.64	34.51	41.52	3.92	92.7
KIF2C	1119.56	1936.53	497.0	1044.52	10.88	251.48	2.84	14.24	74.06	4.1	145.02
KIF4A	480.04	460.44	255.0	836.53	1.04	28.86	1.46	1.14	46.5	3.35	119.26
KIFC1	2271.4	1617.0	775.05	1909.85	3.41	27.64	0.0	3.03	93.35	3.56	295.11
KNTC1	995.0	1088.92	417.77	1044.52	83.45	497.0	109.66	256.78	361.04	27.64	463.65
LMNB1	2997.45	3847.29	1111.82	2956.17	18.03	255.0	22.59	13.62	220.32	186.4	620.67
LMNB2	988.12	1806.78	376.41	1175.27	339.14	718.08	242.88	318.57	224.97	110.43	780.44
LRR1	748.61	902.89	543.96	420.68	150.17	389.72	185.11	161.02	111.21	67.59	423.61
MAD2L1	2520.38	1135.2	961.07	2061.24	29.06	441.64	24.63	27.25	231.32	22.26	271.48
MCM2	3060.45	2627.46	954.43	3235.01	89.51	228.13	57.49	58.3	256.78	22.43	872.1
MCM3	4038.61	3395.89	1628.26	4095.0	1023.0	1135.2	780.44	629.35	703.28	162.14	4388.98
MCM5	1745.2	2178.83	665.29	3928.15	450.94	759.08	336.79	332.14	665.29	139.07	1628.26
MCM6	1250.98	1104.13	595.34	3349.13	209.84	486.75	253.23	206.94	444.72	47.84	1151.06
MCM7	8363.13	6516.03	2075.59	8778.97	1143.1	2319.15	1216.75	1073.91	1250.98	329.84	2018.8
MIS18A	884.29	866.07	285.03	854.13	161.02	100.13	68.55	70.51	116.78	49.21	175.07
MKI67	974.5	1242.34	348.71	1250.98	3.99	21.63	0.0	1.25	54.72	4.58	271.48
MLF1IP	2303.12	1331.57	555.41	1709.26	28.65	10.24	6.46	20.11	277.2	15.45	283.05
MND1	583.07	251.48	267.73	379.04	8.0	30.78	8.38	1.41	78.34	3.63	53.57
MTBP	121.79	183.82	116.78	371.22	32.59	34.51	22.75	25.54	28.65	3.03	73.03
NCAPG	981.29	1286.18	212.78	733.19	0.0	11.82	0.0	0.77	62.12	1.69	163.28
NDC1	343.89	775.05	414.87	647.07	97.36	167.9	68.55	88.26	106.63	85.82	289.02
NDC80	1572.76	1175.27	392.44	1104.13	4.7	57.49	4.31	8.06	111.99	2.63	132.44
NEIL3	231.32	139.07	91.41	61.68	0.0	5.54	0.0	0.0	35.76	1.08	9.34
NEK2	1135.2	921.88	728.11	1073.91	0.1	44.89	0.0	0.0	38.12	2.97	85.22
NUF2	1832.01	981.29	373.81	921.88	3.38	161.02	1.38	4.1	55.89	2.16	136.19
NUP155	500.46	728.11	297.17	808.0	138.1	239.52	152.28	163.28	120.94	78.89	441.64
NUSAP1	2240.11	2032.85	1119.56	3060.45	8.99	63.0	1.41	7.75	490.14	25.35	466.88
ORC1	183.82	291.04	129.69	447.82	4.13	28.24	1.38	1.48	25.17	0.82	100.13
ORC6	748.61	1081.39	165.57	400.71	7.69	48.52	2.97	13.42	85.22	1.43	239.52
PARPBP	246.28	363.56	94.01	373.81	11.55	67.59	3.47	12.0	61.25	1.79	147.06
PBK	974.5	1991.0	397.93	236.21	3.56	36.27	0.0	0.83	59.97	0.35	152.28
PCNA	16727.26	10296.45	4869.99	13872.08	866.07	1832.01	575.03	620.67	1963.57	480.04	4512.4
PKMYT1	2485.67	1242.34	860.08	703.28	8.65	146.03	0.17	6.46	244.57	33.06	329.84
PLK1	1617.0	1304.15	406.31	941.27	12.0	154.42	0.88	23.08	110.43	8.13	173.85
PLK4	444.72	202.66	228.13	301.33	15.34	62.12	4.5	5.23	60.39	3.14	142.01
POC1A	743.43	320.8	232.94	148.09	12.55	25.35	7.06	17.13	61.68	80.57	167.9
POLE2	454.09	679.29	256.78	493.56	18.16	93.35	3.23	34.26	63.0	73.03	181.28
POLQ	69.03	85.22	70.51	69.52	0.0	7.94	0.0	0.0	5.59	0.68	28.45
PRC1	2777.33	1709.26	1529.73	3039.3	76.71	181.28	92.7	127.89	406.31	27.25	791.35
PRIM1	1313.23	1216.75	239.52	890.44	114.36	92.7	58.3	54.33	118.43	45.85	323.03
PRR11	555.41	532.74	255.0	351.14	8.06	74.58	9.63	1.81	72.01	1.48	129.69
PSMC3IP	961.07	733.19	854.13	738.29	201.25	152.28	119.26	133.36	172.65	20.56	753.83
PSRC1	1008.9	444.72	454.09	595.34	58.71	246.28	376.41	242.88	90.77	14.56	106.63
PTTG1	13399.51	7382.04	1617.0	3212.66	43.32	146.03	5.68	14.78	830.75	20.56	1167.14
RACGAP1	1651.0	1781.89	493.56	2104.58	343.89	432.53	137.14	336.79	287.01	23.42	486.75
RAD51	366.09	332.14	267.73	289.02	3.59	29.48	3.56	8.58	106.63	9.78	198.47
RAD54B	379.04	363.56	341.51	656.11	36.01	46.18	9.56	56.28	170.25	14.24	65.26
RAD54L	961.07	728.11	353.59	343.89	10.71	143.01	2.56	7.28	62.56	5.54	178.77
RANBP1	7180.15	9606.86	1963.57	11267.44	1721.16	3212.66	1617.0	1617.0	2287.2	1963.57	4095.0
RFC2	2367.9	2018.8	954.43	2148.82	371.22	529.06	366.09	343.89	988.12	441.64	1674.06
RFC5	1044.52	1104.13	312.0	2047.0	198.47	279.14	170.25	180.02	384.34	131.51	441.64
RMI2	2537.92	665.29	387.02	728.11	28.86	69.03	0.37	19.25	190.34	7.46	348.71
RNASEH2A	5183.54	4575.41	1015.93	3349.13	161.02	283.05	131.51	105.15	417.77	92.7	1008.9
RRM2	2664.15	2758.13	607.87	2104.58	0.44	15.68	0.0	1.81	234.57	13.72	571.05
SASS6	163.28	166.73	124.37	123.5	61.25	58.71	36.01	38.67	31.67	7.11	59.97
SGOL1	312.0	476.71	182.55	285.03	0.0	11.38	0.0	1.51	23.76	2.89	80.57
SHCBP1	253.23	231.32	100.13	64.34	3.32	42.41	0.92	2.53	49.21	0.57	139.07
SKA1	463.65	441.64	170.25	325.29	1.64	6.16	0.0	1.19	29.7	0.55	56.68
SKP2	473.41	819.3	204.07	1111.82	102.97	169.07	90.77	87.03	83.45	87.65	197.09
SNRPD1	8598.28	6250.56	2502.97	5329.3	830.75	1304.15	703.28	878.17	1757.34	595.34	4937.99
SNRPF	1819.35	3540.14	540.19	1977.24	587.13	896.64	450.94	612.11	1233.75	536.45	974.5
SPC24	651.58	466.88	175.07	273.37	12.0	125.24	29.7	21.94	99.43	5.32	103.69
SPC25	866.07	547.75	234.57	674.59	0.0	7.34	0.0	1.1	85.82	5.15	101.54
SPDL1	603.67	332.14	172.65	387.02	87.03	134.3	106.63	77.25	103.69	21.94	163.28
STIL	231.32	551.56	147.06	312.0	5.73	67.12	0.65	4.06	30.56	2.76	109.66
STMN1	107948.72	75280.1	6745.86	43537.38	1832.01	3564.78	1088.92	848.22	2609.3	197.09	12502.12
TBC1D31	239.52	248.0	167.9	309.83	55.89	92.05	45.21	48.18	59.55	14.35	98.73
TIMELESS	1721.16	1832.01	397.93	1331.57	62.12	384.34	29.27	85.82	228.13	129.69	500.46
TMPO	3146.52	3665.02	426.57	4869.99	363.56	698.41	289.02	356.05	791.35	301.33	1304.15
TPM1	2645.74	2935.74	2090.03	2502.97	535303.41	789181.81	2201414.44	254974.66	11745.96	1073.91	3018.3
TPX2	2303.12	1806.78	698.41	1923.14	4.21	134.3	0.0	2.89	151.22	29.27	476.71
TRAIP	500.46	205.5	123.5	212.78	37.32	38.12	33.54	12.36	60.39	5.36	90.77
TROAP	1909.85	2367.9	1417.35	1250.98	0.88	46.5	0.0	3.08	218.79	9.41	229.72
TTI1	629.35	514.56	381.68	395.18	231.32	264.03	194.36	215.77	246.28	173.85	303.44
TTK	438.59	647.07	197.09	836.53	0.36	12.18	0.0	16.27	30.56	0.6	159.9
TUBB3	16269.83	10959.3	723.08	4450.27	1008.9	334.46	633.73	309.83	297.17	8.06	295.11
TUBG1	4419.52	4704.07	2555.58	1639.59	1175.27	1081.39	723.08	599.49	896.64	289.02	1594.73
TYMS	10296.45	5292.48	1051.79	7081.29	52.82	267.73	92.7	101.54	909.17	80.57	1447.15
UBE2S	11745.96	9279.58	3103.19	7382.04	503.95	1857.6	890.44	529.06	1001.93	275.28	1477.58
UBE2T	7803.01	2573.36	1721.16	3146.52	82.29	540.19	49.91	43.63	231.32	16.03	532.74
UNG	2555.58	2434.5	476.71	3124.78	275.28	366.09	153.34	314.17	791.35	400.71	1529.73
VRK1	1447.15	1331.57	591.22	961.07	147.06	199.85	102.25	147.06	145.02	31.22	473.41
WDHD1	392.44	813.63	429.54	389.72	41.81	269.6	31.0	26.47	50.27	11.55	145.02
XRCC3	830.75	759.08	679.29	470.14	133.36	470.14	135.24	381.68	113.56	26.1	115.97
ZNF695	224.97	150.17	73.54	163.28	3.41	23.42	0.56	4.17	4.78	0.0	28.04
ZWINT	3589.58	4419.52	1909.85	2018.8	11.91	43.94	0.79	11.82	346.29	31.9	688.78
