	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A18M.11A.33R.A12D.07	GTEX.RWS6.1926.SM.47JXY	GTEX.ZLV1.1426.SM.4WWES	GTEX.X15G.1626.SM.3NMB3	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC
ALMS1	346.29	332.14	332.14	346.29	285.03	285.03	265.87	281.09	262.2	297.17	351.14	144.01	90.14	220.32	75.64	57.89	58.3	81.71	122.64	79.45	85.82	60.82	106.63	88.88	127.0	82.87	109.66	131.51	133.36	91.41	110.43	53.57	93.35	90.77	63.45	73.03	120.1	52.08
ARHGEF10	163.28	127.0	127.0	163.28	466.88	466.88	480.04	463.65	612.11	444.72	346.29	56.68	30.34	182.55	4.43	22.75	17.25	14.89	21.78	9.48	23.42	49.21	43.02	15.8	13.72	17.25	17.9	32.59	19.11	21.32	59.13	25.35	19.97	15.34	29.48	11.13	22.75	14.56
ATP10A	108.9	197.09	197.09	108.9	111.21	111.21	127.89	80.57	84.63	170.25	95.34	16.63	3.06	136.19	1.51	22.43	4.46	8.51	1.33	2.18	5.32	4.54	8.58	4.24	2.97	2.12	22.92	2.36	10.24	5.32	12.45	1.53	3.72	4.62	1.77	2.07	34.26	0.78
BDKRB2	59.13	228.13	228.13	59.13	91.41	91.41	220.32	379.04	148.09	151.22	176.29	58.3	28.45	114.36	1.19	18.84	2.18	40.64	7.22	8.85	5.15	17.77	19.82	24.11	1.99	5.15	38.12	3.5	5.54	3.26	21.78	2.29	12.55	3.2	8.51	5.77	24.99	5.28
C15orf56	3.99	11.3	11.3	3.99	6.67	6.67	9.34	8.0	12.18	13.93	21.01	5.32	2.58	5.87	0.0	3.72	2.01	2.29	0.0	0.87	0.0	3.17	0.75	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.0
C16orf89	698.41	450.94	450.94	698.41	529.06	529.06	896.64	629.35	1519.15	215.77	1417.35	14.56	10.63	38.12	5.92	8.85	0.89	5.87	15.11	0.21	2.36	1.48	12.18	3.44	5.77	12.27	9.2	3.5	17.64	3.14	24.28	8.06	15.56	1.16	1.55	4.9	19.82	4.82
CA8	395.18	348.71	348.71	395.18	164.42	164.42	392.44	140.04	199.85	429.54	314.17	11.13	1.39	29.7	0.0	10.31	0.11	2.2	15.45	0.66	1.46	10.55	1.04	8.92	0.06	2.97	1.91	0.13	0.87	0.09	2.25	0.71	9.85	0.0	0.0	4.74	1.91	0.54
CDC42EP3	299.25	414.87	414.87	299.25	500.46	500.46	872.1	791.35	830.75	493.56	521.76	194.36	117.6	441.64	25.91	57.89	28.65	81.71	57.08	16.03	53.57	119.26	92.7	42.41	78.34	79.45	99.43	72.52	100.13	56.28	329.84	58.71	36.01	43.63	127.0	73.54	88.88	51.35
CLIP3	163.28	293.07	293.07	163.28	249.73	249.73	435.55	435.55	651.58	299.25	320.8	119.26	49.56	191.67	8.19	34.51	10.47	32.13	44.89	9.41	27.44	59.97	56.28	9.56	19.11	43.63	43.32	13.72	67.12	33.54	55.49	30.12	13.12	17.13	9.63	33.54	61.68	26.67
COL4A2	2319.15	3060.45	3060.45	2319.15	4639.29	4639.29	2956.17	4239.45	2895.31	3820.7	1617.0	1909.85	1268.46	3303.0	412.0	392.44	438.59	209.84	197.09	303.44	473.41	279.14	728.11	387.02	281.09	194.36	1135.2	297.17	463.65	325.29	1769.57	93.35	281.09	185.11	271.48	202.66	503.95	177.53
COL8A1	896.64	1781.89	1781.89	896.64	327.56	327.56	441.64	511.0	860.08	291.04	381.68	85.82	27.44	206.94	8.65	18.84	2.03	73.54	30.78	13.52	7.06	17.25	13.42	5.02	2.58	13.72	123.5	19.25	13.32	54.72	62.12	5.15	74.06	0.65	8.06	15.45	28.24	6.78
COMP	2816.11	4210.15	4210.15	2816.11	320.8	320.8	90.77	102.97	47.17	83.45	195.72	22.59	1.69	205.5	0.0	10.55	0.08	2.18	9.2	5.15	0.75	0.0	43.63	2.71	0.0	11.04	13.42	8.92	4.43	4.03	37.05	1.28	0.0	0.0	1.5	2.43	39.79	4.28
CRLF1	127.89	108.14	108.14	127.89	503.95	503.95	198.47	312.0	202.66	220.32	130.6	19.11	49.91	392.44	25.35	47.84	13.52	15.22	11.38	13.83	4.28	46.18	21.47	29.7	15.8	29.27	341.51	37.05	26.86	11.21	97.36	10.0	17.9	14.45	0.3	13.03	51.71	8.38
CRTAC1	9.7	34.51	34.51	9.7	95.34	95.34	111.99	92.05	165.57	267.73	152.28	59.13	45.21	96.68	2.76	3.96	4.7	4.17	42.71	3.59	42.41	12.18	47.84	4.98	0.71	5.45	20.86	5.02	3.29	5.73	26.67	2.76	12.27	0.78	5.63	2.48	13.32	5.06
DCLK2	24.46	73.54	73.54	24.46	47.17	47.17	68.55	57.89	48.52	43.32	55.49	28.65	11.38	48.87	12.36	9.63	8.85	10.08	10.39	7.51	9.34	11.91	12.0	6.11	2.16	7.75	15.11	5.19	7.28	4.43	26.28	10.16	2.63	15.91	9.93	11.64	3.69	7.11
DYRK2	197.09	305.55	305.55	197.09	194.36	194.36	197.09	239.52	161.02	180.02	159.9	197.09	79.45	176.29	57.89	57.08	71.0	127.89	90.77	56.68	59.97	35.0	100.13	31.22	40.36	34.51	110.43	80.57	64.34	32.36	117.6	12.27	88.88	22.75	22.26	52.82	92.7	90.14
EFEMP1	1697.45	2555.58	2555.58	1697.45	9215.48	9215.48	7081.29	6207.38	16496.96	5791.62	7433.4	2627.46	1617.0	12943.04	67.12	624.99	37.59	147.06	128.79	34.02	76.17	620.67	890.44	12.74	66.65	277.2	3443.31	116.78	277.2	52.82	4836.35	13.12	63.89	12.55	48.18	52.08	872.1	60.39
EHD2	915.51	1295.13	1295.13	915.51	5594.3	5594.3	3716.2	3419.52	3982.99	4038.61	2739.08	483.38	275.28	629.35	100.13	309.83	111.21	166.73	143.01	62.12	132.44	212.78	183.82	100.83	115.16	169.07	368.65	117.6	217.27	91.41	599.49	78.89	106.63	86.43	91.41	140.04	275.28	113.56
EPPK1	72.01	1350.18	1350.18	72.01	115.16	115.16	229.72	277.2	90.14	215.77	139.07	8.78	8.13	466.88	9.85	96.01	5.36	1.83	0.91	0.0	0.29	2.25	15.91	13.03	14.35	0.73	275.28	2.18	4.46	16.27	29.91	0.62	21.16	16.88	0.0	1.87	18.56	3.72
FAM127C	82.87	224.97	224.97	82.87	348.71	348.71	285.03	269.6	361.04	587.13	381.68	132.44	77.79	361.04	65.26	35.25	29.91	45.53	41.22	48.18	34.02	228.13	103.69	14.56	33.54	50.27	73.03	14.78	38.95	23.42	109.66	18.29	7.28	13.83	9.85	39.22	50.27	11.82
FAP	1159.07	1066.48	1066.48	1159.07	366.09	366.09	314.17	616.37	287.01	93.35	457.25	65.26	24.28	171.45	0.0	43.63	11.73	9.48	8.06	5.54	2.07	16.27	22.43	5.28	2.27	14.14	16.39	13.22	3.35	10.24	42.11	0.0	12.36	9.93	0.0	2.53	15.68	6.62
FLNA	6792.79	9151.82	9151.82	6792.79	13306.94	13306.94	16045.82	15499.21	19348.38	18950.18	34396.12	5112.16	4328.55	15180.22	1081.39	3515.68	1572.76	1066.48	934.76	476.71	620.67	1651.0	1066.48	1378.57	967.76	1151.06	3716.2	1111.82	909.17	638.15	6983.79	583.07	1340.84	848.22	1407.55	928.3	1583.71	521.76
FLYWCH2	743.43	1008.9	1008.9	743.43	651.58	651.58	583.07	748.61	529.06	872.1	563.18	291.04	373.81	708.18	351.14	307.69	265.87	118.43	106.63	81.14	441.64	368.65	400.71	264.03	244.57	204.07	356.05	232.94	177.53	162.14	346.29	37.05	273.37	366.09	177.53	389.72	327.56	77.25
FMOD	1923.14	1350.18	1350.18	1923.14	4450.27	4450.27	3395.89	4210.15	6792.79	1519.15	5366.37	902.89	291.04	7032.37	44.57	473.41	93.35	220.32	73.03	21.16	142.01	91.41	450.94	59.13	5.45	134.3	555.41	46.5	115.16	77.79	928.3	42.11	55.1	40.64	85.82	101.54	325.29	80.01
GAS8	255.0	244.57	244.57	255.0	309.83	309.83	555.41	384.34	309.83	444.72	490.14	221.86	129.69	283.05	79.45	123.5	135.24	75.64	115.16	122.64	98.04	178.77	195.72	143.01	182.55	155.5	164.42	158.79	87.65	126.12	186.4	122.64	74.58	94.01	71.5	146.03	127.89	85.82
GBAS	2240.11	1331.57	1331.57	2240.11	1617.0	1617.0	1594.73	1437.15	1519.15	1096.5	1477.58	363.56	314.17	791.35	260.38	218.79	115.97	145.02	387.02	239.52	157.68	127.89	187.71	100.83	136.19	103.69	133.36	260.38	246.28	156.59	181.28	157.68	140.04	103.69	104.42	175.07	279.14	115.16
GLI1	12.64	49.56	49.56	12.64	61.68	61.68	26.47	68.07	49.56	21.32	91.41	22.26	4.28	36.79	0.89	1.58	12.18	2.43	7.17	0.09	0.0	1.99	19.82	4.17	14.45	17.13	16.03	7.51	3.89	4.78	11.38	18.84	7.4	4.9	0.08	0.39	18.7	6.73
GPC3	226.54	1037.29	1037.29	226.54	2758.13	2758.13	2485.67	2271.4	7485.11	1467.37	5006.93	802.41	39.5	2502.97	2.76	125.24	9.27	92.05	104.42	22.1	100.13	567.1	595.34	1.23	27.64	305.55	571.05	64.34	37.05	13.32	323.03	17.64	27.64	1.79	3.26	34.51	151.22	52.08
GPR176	83.45	112.77	112.77	83.45	281.09	281.09	155.5	159.9	140.04	108.14	149.12	136.19	63.0	264.03	27.05	45.21	23.93	33.78	16.03	19.82	36.53	17.13	25.17	21.47	13.42	37.05	74.06	17.25	30.34	17.13	111.99	6.78	11.04	7.69	33.78	12.64	26.28	14.35
HOXA2	57.89	7.28	7.28	57.89	26.67	26.67	29.27	49.21	52.45	90.77	166.73	2.94	3.17	12.55	0.71	4.03	3.23	0.77	1.01	0.65	2.66	3.86	2.36	2.89	2.46	0.34	1.46	0.29	2.36	3.11	3.23	2.01	0.0	1.36	0.0	4.03	5.15	1.25
HP	55.49	134.3	134.3	55.49	119.26	119.26	58.3	63.45	36.53	39.22	43.32	6183532.28	3028138.0	5972898.43	9635979.21	1.307221145E7	7560235.84	3.671840259E7	1.219680449E7	3049200.37	3.174442598E7	1.410789979E7	4252853.3	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	2186208.16	1.325469274E7	1.512047268E7	9307742.35	2.614442391E7	1.381756339E7	1.025624901E7	9838451.64
HSPB6	190.34	1073.91	1073.91	190.34	11664.82	11664.82	7130.55	5403.7	6471.02	8538.88	3039.3	1757.34	995.0	5479.15	79.45	1781.89	106.63	738.29	159.9	74.58	190.34	191.67	718.08	246.28	229.72	323.03	2682.69	295.11	483.38	303.44	2224.63	52.82	185.11	135.24	460.44	221.86	1143.1	107.38
HSPB7	18.29	202.66	202.66	18.29	3690.52	3690.52	1909.85	2417.67	2271.4	2400.97	476.71	23.59	102.97	493.56	0.08	43.94	46.84	29.91	19.39	12.18	3.11	8.06	49.91	5.82	2.92	56.68	51.71	4.74	16.15	8.51	285.03	2.48	7.88	9.7	7.4	27.25	11.73	9.41
ID4	62.56	189.02	189.02	62.56	785.88	785.88	1378.57	1250.98	674.59	713.11	1674.06	281.09	49.91	429.54	12.74	182.55	7.4	52.82	21.32	8.99	4.58	96.68	28.45	16.75	8.92	16.15	178.77	27.44	47.84	18.97	285.03	10.55	35.0	17.13	19.97	26.47	58.3	9.85
INMT-FAM188B	8.58	14.03	14.03	8.58	53.57	53.57	17.77	15.34	36.27	26.28	35.5	12.45	1.36	24.46	5.28	16.88	0.0	7.51	11.13	5.77	0.0	1.95	8.0	9.56	7.88	0.48	0.0	0.0	0.0	5.28	17.64	3.76	9.85	0.0	3.59	3.86	12.27	0.0
IQCA1	35.25	55.49	55.49	35.25	73.54	73.54	127.89	118.43	128.79	122.64	146.03	8.85	2.58	23.93	0.61	3.76	1.08	1.25	6.73	0.57	3.2	27.44	9.2	1.14	0.04	0.0	14.03	0.1	3.47	1.57	5.36	0.0	1.71	2.66	0.14	2.73	15.68	2.46
JAM3	223.41	356.05	356.05	223.41	500.46	500.46	511.0	780.44	915.51	460.44	854.13	163.28	106.63	128.79	30.12	65.26	31.9	80.01	40.64	34.51	37.32	52.82	53.57	45.85	18.97	49.21	79.45	38.67	26.28	36.01	182.55	22.26	30.56	25.35	16.27	42.41	60.82	30.78
KCNK15	64.34	536.45	536.45	64.34	152.28	152.28	40.64	43.63	221.86	31.45	175.07	15.0	40.07	511.0	1.0	28.04	4.24	4.17	4.82	4.28	8.58	53.95	55.49	2.05	6.67	15.11	30.56	9.41	3.82	2.97	96.01	0.0	1.5	2.36	0.0	2.41	4.9	5.41
KIAA1614	15.11	31.67	31.67	15.11	94.67	94.67	106.63	117.6	162.14	78.34	123.5	17.38	17.13	48.18	5.92	8.85	2.84	6.46	12.55	0.78	3.41	6.62	3.56	12.09	7.94	11.64	14.56	4.13	5.77	4.7	0.27	0.52	12.0	2.18	4.1	13.12	25.17	2.73
LMCD1	775.05	1073.91	1073.91	775.05	1498.22	1498.22	1167.14	2224.63	1023.0	1340.84	884.29	400.71	170.25	860.08	63.45	301.33	91.41	204.07	106.63	81.14	87.03	145.02	141.02	239.52	86.43	97.36	363.56	75.64	94.67	239.52	400.71	70.01	201.25	62.56	111.21	61.25	157.68	145.02
LMOD1	155.5	297.17	297.17	155.5	934.76	934.76	1936.53	1519.15	3372.43	2468.49	2061.24	170.25	63.45	607.87	9.78	87.03	18.7	31.45	44.57	25.54	15.11	34.75	40.36	10.63	12.09	92.7	150.17	41.52	78.34	19.25	131.51	13.32	26.67	5.19	77.25	26.1	92.7	29.91
LPHN1	392.44	473.41	473.41	392.44	543.96	543.96	412.0	497.0	341.51	490.14	339.14	108.14	35.0	195.72	11.73	44.25	38.67	2.68	7.22	5.41	9.2	49.21	21.16	8.06	17.9	13.03	31.0	14.14	74.58	10.16	16.15	21.16	14.45	8.19	0.47	22.26	98.73	20.56
LRFN4	82.87	363.56	363.56	82.87	181.28	181.28	150.17	119.26	180.02	237.86	251.48	124.37	73.03	206.94	32.36	48.87	28.86	10.39	33.06	14.03	15.8	27.25	120.1	30.12	22.75	43.02	36.01	37.59	21.16	48.18	102.25	49.21	58.3	13.32	6.57	25.72	67.12	28.65
LRP8	54.33	45.85	45.85	54.33	43.02	43.02	35.76	30.78	20.41	67.59	118.43	11.13	14.24	51.35	15.34	1.5	2.23	1.11	1.69	1.75	11.13	12.74	6.84	0.16	9.41	11.04	1.77	0.0	11.3	0.4	10.08	1.43	4.98	0.05	0.0	5.11	0.85	0.97
LRRN2	500.46	204.07	204.07	500.46	105.15	105.15	158.79	229.72	209.84	199.85	457.25	78.34	13.72	112.77	2.53	40.36	16.15	6.67	17.25	0.8	18.16	14.45	37.32	3.2	5.23	50.63	19.53	8.06	14.14	2.43	44.57	6.52	19.97	11.04	0.91	23.42	30.34	19.25
MAMDC2	57.08	47.17	47.17	57.08	463.65	463.65	323.03	318.57	941.27	529.06	555.41	28.24	18.43	119.26	1.58	48.87	3.03	62.12	24.28	5.02	2.97	14.45	12.83	4.82	2.36	11.04	33.78	9.56	33.54	19.68	5.54	1.19	31.0	0.35	7.11	8.06	41.81	4.82
MAP1A	80.01	161.02	161.02	80.01	144.01	144.01	161.02	186.4	271.48	136.19	291.04	17.51	15.11	37.59	1.77	9.2	1.07	8.65	4.9	1.08	2.63	3.23	9.34	3.03	3.06	4.1	15.34	1.75	14.14	3.38	40.64	1.19	2.36	0.99	0.77	1.03	18.56	1.35
MAP1B	90.14	159.9	159.9	90.14	567.1	567.1	559.28	406.31	947.83	688.78	242.88	42.11	43.32	131.51	9.7	29.27	3.17	36.53	10.31	7.94	4.9	24.11	16.75	12.36	4.46	16.39	43.32	9.7	27.25	27.64	108.9	5.82	24.81	7.06	26.47	8.45	40.36	5.11
MAP3K9	92.05	67.12	67.12	92.05	38.12	38.12	61.25	39.22	30.78	35.25	38.4	14.14	15.68	35.76	9.2	11.64	6.26	10.47	11.47	7.34	6.41	13.93	19.53	14.35	11.47	9.85	7.82	6.94	11.47	9.78	48.52	18.16	10.63	13.03	2.1	17.64	16.15	14.14
MATN3	543.96	830.75	830.75	543.96	341.51	341.51	66.65	98.04	146.03	70.01	52.08	11.47	0.0	35.5	1.07	3.69	0.0	2.41	0.95	0.97	0.21	0.0	3.92	0.0	2.81	0.0	18.29	11.38	2.68	1.95	0.0	0.0	0.0	0.1	0.23	10.08	12.93	0.06
MEIS3	470.14	733.19	733.19	470.14	414.87	414.87	332.14	368.65	334.46	718.08	603.67	79.45	50.98	204.07	5.15	75.64	10.08	31.0	13.62	9.34	14.03	37.05	37.85	29.48	6.73	5.54	71.5	12.93	53.95	29.7	79.45	7.46	12.36	6.16	32.59	15.56	44.57	14.35
MRVI1	141.02	226.54	226.54	141.02	232.94	232.94	327.56	339.14	480.04	269.6	460.44	56.28	47.17	129.69	9.06	28.04	12.09	14.89	11.55	8.85	6.36	19.97	23.93	6.46	9.34	30.12	51.35	12.09	15.22	7.17	94.01	3.0	9.7	7.28	18.03	11.73	19.11	7.0
NAV3	73.54	38.4	38.4	73.54	95.34	95.34	92.05	130.6	72.01	96.01	214.27	29.06	2.16	39.22	1.11	5.82	2.68	3.72	5.11	7.57	3.72	13.93	13.32	1.5	0.19	14.14	21.78	0.72	1.43	2.58	10.47	2.43	2.86	0.0	3.29	1.71	5.82	3.5
NEXN	115.16	236.21	236.21	115.16	403.5	403.5	503.95	438.59	1540.37	529.06	389.72	136.19	68.07	473.41	12.0	74.58	17.13	74.06	29.48	11.55	13.62	28.65	39.79	21.16	13.22	45.85	133.36	38.95	48.18	30.56	127.89	23.93	39.22	11.47	80.01	23.59	59.13	7.46
NHS	28.65	28.04	28.04	28.65	120.1	120.1	79.45	53.95	67.12	52.45	68.55	7.34	2.18	11.13	1.51	1.57	2.51	2.29	1.35	1.38	0.56	2.86	2.05	0.46	0.0	3.66	1.39	0.47	2.56	1.85	3.82	1.51	0.46	0.0	0.1	2.41	1.93	1.13
OR2A1	0.8	3.0	3.0	0.8	7.75	7.75	5.02	16.75	11.3	13.72	12.93	4.39	3.26	7.51	0.24	2.29	1.75	0.0	0.44	0.21	0.0	1.85	1.55	0.95	2.14	1.71	2.16	0.0	0.0	1.51	3.66	0.48	0.47	0.19	0.0	0.21	4.54	2.46
OSBPL5	435.55	525.39	525.39	435.55	346.29	346.29	507.46	591.22	435.55	575.03	688.78	152.28	96.01	262.2	28.04	91.41	48.87	19.97	50.98	26.86	64.34	48.52	49.56	28.45	21.94	45.21	51.71	17.9	73.03	36.27	114.36	7.57	49.91	15.34	34.26	40.64	63.89	21.63
PARM1	85.22	173.85	173.85	85.22	555.41	555.41	511.0	591.22	651.58	718.08	303.44	65.72	42.41	289.02	9.7	90.77	9.7	24.81	20.26	7.28	7.06	14.03	105.15	8.92	3.38	31.45	123.5	34.75	41.52	14.67	75.11	4.24	10.24	4.62	4.74	10.0	115.97	14.35
PHLDB1	961.07	1322.37	1322.37	961.07	2758.13	2758.13	2468.49	2609.3	2796.65	2835.7	2240.11	438.59	190.34	1096.5	37.59	279.14	48.18	153.34	100.83	35.0	63.0	101.54	126.12	271.48	46.18	72.01	285.03	147.06	197.09	139.07	525.39	36.53	148.09	24.46	58.71	73.03	264.03	38.67
PLXNA3	234.57	368.65	368.65	234.57	236.21	236.21	295.11	303.44	323.03	303.44	366.09	124.37	33.78	202.66	57.08	15.0	18.7	28.65	9.34	7.75	14.67	65.72	36.01	48.52	115.16	89.51	67.59	16.88	12.36	6.89	74.06	15.91	9.78	29.06	6.26	53.57	49.21	8.0
PLXNA4	26.28	28.65	28.65	26.28	571.05	571.05	262.2	246.28	223.41	273.37	108.9	17.77	2.89	34.75	0.57	11.47	1.0	4.35	3.14	1.53	5.73	2.43	10.39	1.6	0.43	3.63	14.45	2.78	2.58	0.05	6.16	1.08	2.16	6.01	1.81	2.01	9.85	1.31
PMP22	2468.49	2303.12	2303.12	2468.49	4903.87	4903.87	4328.55	5329.3	8598.28	3395.89	2976.74	802.41	587.13	808.0	95.34	262.2	99.43	205.5	159.9	89.51	126.12	241.19	165.57	173.85	58.3	175.07	486.75	187.71	258.57	162.14	1417.35	43.02	97.36	68.55	90.14	135.24	305.55	68.07
POMZP3	366.09	473.41	473.41	366.09	848.22	848.22	473.41	591.22	373.81	587.13	497.0	119.26	37.59	264.03	68.07	115.97	132.44	86.43	45.21	15.91	84.04	50.98	172.65	71.0	85.82	69.03	81.71	58.3	56.68	41.81	181.28	43.63	100.13	90.77	118.43	69.52	52.82	37.32
PROM2	1015.93	543.96	543.96	1015.93	884.29	884.29	941.27	854.13	521.76	688.78	813.63	83.45	49.21	327.56	5.59	76.71	2.78	2.43	5.5	0.0	9.34	30.78	27.44	2.23	18.84	60.82	30.56	25.91	20.56	17.51	77.25	1.28	1.95	0.64	0.0	251.48	32.36	19.82
PTPN14	147.06	175.07	175.07	147.06	406.31	406.31	514.56	460.44	679.29	1066.48	490.14	78.89	17.51	36.79	7.34	18.29	5.32	10.79	8.06	5.36	4.9	87.03	11.82	8.0	2.43	8.85	21.94	5.77	9.93	7.17	36.01	2.07	10.47	6.21	1.83	6.46	25.35	5.02
