	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EM.A2CL.01A.11R.A180.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.S4Q7.0326.SM.3K2B1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
CD180	1.25	156.59	0.61	38.4	138.1	79.45	279.14	246.28	117.6	124.37	2.12	158.79	65.72	72.01	0.54	97.36	97.36	18.7	18.43	28.45	0.99	0.96	1.51	28.65	11.38	10.16	6.26	12.45	8.58	12.93	8.45	73.03	0.0	30.56	14.89	6.36	62.56	5.15	78.34	20.26	6.46	9.13	120.1	2.12	7.75	4.1	90.77	12.55	2.56	7.28	6.21
CD2	7.75	764.36	11.04	384.34	540.19	373.81	872.1	902.89	595.34	432.53	36.53	665.29	426.57	329.84	29.91	638.15	616.37	72.01	94.01	175.07	59.13	9.41	30.34	102.25	35.0	28.24	64.8	41.22	31.45	289.02	31.45	353.59	78.34	90.77	38.67	16.63	151.22	43.32	1923.14	147.06	120.1	43.94	295.11	23.93	46.18	30.78	269.6	88.26	77.25	303.44	17.38
CD33	6.62	229.72	9.93	115.16	237.86	185.11	123.5	212.78	115.97	71.5	13.93	150.17	69.52	110.43	4.1	171.45	139.07	53.19	47.84	66.65	11.55	8.58	13.72	43.94	15.8	27.84	21.63	16.63	50.27	47.17	18.56	76.71	32.82	68.55	36.27	21.16	46.18	7.34	108.9	43.32	25.17	4.03	64.8	14.56	14.14	10.55	82.87	56.28	2.29	40.07	10.39
CD37	27.25	1963.57	22.26	1001.93	1674.06	1572.76	3820.7	3768.09	1639.59	1605.83	85.22	2351.53	1963.57	1199.98	38.67	2895.31	2240.11	154.42	165.57	336.79	180.02	62.56	136.19	228.13	97.36	229.72	126.12	139.07	122.64	688.78	181.28	878.17	180.02	265.87	57.89	241.19	305.55	45.53	1457.23	248.0	239.52	163.28	728.11	28.04	32.82	98.73	1242.34	183.82	301.33	265.87	104.42
CD3D	3.17	728.11	14.03	450.94	674.59	486.75	1135.2	1159.07	674.59	571.05	25.35	915.51	563.18	363.56	26.28	1242.34	536.45	42.41	85.22	172.65	92.05	11.04	139.07	110.43	15.56	40.07	48.87	35.0	40.07	265.87	44.25	329.84	159.9	73.03	44.89	29.91	229.72	25.72	947.83	209.84	224.97	18.84	206.94	4.31	48.18	22.26	178.77	16.51	102.25	397.93	51.35
CD3E	8.65	1059.11	29.06	642.59	902.89	647.07	1674.06	1963.57	981.29	796.86	54.33	1350.18	780.44	511.0	47.17	1639.59	759.08	151.22	164.42	305.55	122.64	13.32	88.26	146.03	37.85	69.03	127.0	68.55	51.35	563.18	111.21	775.05	199.85	151.22	56.68	80.01	406.31	51.71	2148.82	143.01	161.02	60.82	435.55	18.56	62.12	68.07	316.37	85.22	209.84	363.56	51.71
CD3G	1.01	138.1	3.47	94.67	125.24	142.01	244.57	289.02	212.78	159.9	9.41	264.03	125.24	111.21	5.77	182.55	107.38	25.35	64.34	43.02	39.79	2.81	26.28	24.81	8.06	18.03	19.82	42.71	64.8	57.49	10.63	91.41	38.67	9.78	5.32	16.03	43.02	12.64	283.05	8.71	29.48	13.72	102.25	0.46	51.35	8.06	40.64	25.91	45.85	59.97	3.06
CD53	45.85	2193.99	48.87	1059.11	2119.22	1331.57	3491.39	3060.45	1437.15	1143.1	76.71	2915.45	1487.87	1127.35	48.87	1844.76	2537.92	264.03	356.05	660.68	239.52	85.22	54.33	314.17	121.79	336.79	162.14	122.64	156.59	318.57	241.19	638.15	150.17	591.22	101.54	218.79	447.82	87.65	2148.82	320.8	450.94	167.9	1044.52	58.3	82.87	126.12	1111.82	329.84	397.93	215.77	81.71
CD79A	3.14	1709.26	4.9	348.71	2240.11	872.1	2209.26	2119.22	909.17	836.53	2.78	1388.16	1044.52	529.06	2.16	1745.2	5995.9	3.76	212.78	25.91	22.1	8.19	0.0	1498.22	35.5	49.21	18.56	8.51	3.96	1044.52	8.65	1883.54	10.71	95.34	4.98	547.75	607.87	10.88	1769.57	226.54	149.12	120.94	4388.98	3.76	12.45	11.47	934.76	10.31	50.98	23.76	7.28
CD84	1.48	212.78	5.41	105.15	114.36	73.03	226.54	205.5	111.21	54.33	4.03	209.84	122.64	115.97	7.17	90.77	175.07	20.26	52.08	50.98	12.45	3.26	7.28	31.9	9.93	35.5	19.53	15.34	22.26	15.45	11.82	68.55	20.71	25.35	8.58	19.25	26.47	4.35	112.77	25.17	32.36	22.92	108.14	1.89	3.69	3.86	78.34	22.59	15.68	12.18	12.83
