	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EM.A2CL.01A.11R.A180.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.S4Q7.0326.SM.3K2B1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
LY86	4.9	234.57	7.4	161.02	242.88	256.78	341.51	423.61	158.79	154.42	9.7	287.01	194.36	131.51	4.74	283.05	241.19	57.08	51.35	104.42	7.69	21.16	22.59	53.95	40.64	24.28	20.86	53.19	52.08	52.45	16.88	118.43	10.31	69.03	21.32	57.08	51.35	11.64	191.67	32.13	34.75	12.45	169.07	18.16	16.03	11.47	260.38	43.63	7.4	54.72	21.32
LY96	57.08	693.58	31.45	299.25	713.11	327.56	493.56	529.06	426.57	267.73	59.55	547.75	348.71	234.57	37.05	438.59	373.81	82.29	57.49	206.94	165.57	13.32	78.34	159.9	100.83	101.54	113.56	147.06	62.56	209.84	244.57	145.02	96.68	197.09	67.59	64.8	126.12	59.97	271.48	148.09	58.3	28.86	346.29	52.45	151.22	37.05	361.04	107.38	183.82	104.42	65.72
MPEG1	12.74	507.46	25.54	293.07	423.61	260.38	543.96	1066.48	305.55	269.6	35.0	384.34	518.15	275.28	13.42	379.04	309.83	136.19	147.06	273.37	6.52	29.48	29.48	78.89	34.02	127.89	59.97	53.95	113.56	75.64	56.68	312.0	51.71	271.48	59.55	85.82	74.06	45.21	289.02	112.77	194.36	35.5	178.77	42.11	19.25	27.64	202.66	181.28	11.3	187.71	37.05
MS4A4A	18.43	454.09	27.84	167.9	836.53	258.57	454.09	423.61	423.61	161.02	36.79	563.18	162.14	325.29	14.78	221.86	397.93	93.35	100.13	264.03	12.45	36.27	9.56	93.35	59.55	171.45	80.01	65.26	141.02	69.03	90.77	191.67	41.52	299.25	95.34	75.64	96.68	42.11	353.59	132.44	231.32	43.63	185.11	55.1	44.57	49.91	351.14	161.02	8.19	82.87	31.9
MS4A6A	46.84	2739.08	50.98	941.27	2271.4	1066.48	2104.58	2701.35	1628.26	414.87	129.69	2193.99	1295.13	1143.1	68.07	1605.83	1199.98	629.35	454.09	1242.34	63.0	50.98	191.67	346.29	178.77	866.07	224.97	248.0	395.18	366.09	441.64	961.07	183.82	1088.92	218.79	244.57	457.25	157.68	1697.45	423.61	842.36	115.16	1081.39	145.02	123.5	149.12	1467.37	620.67	57.89	607.87	128.79
MS4A7	19.53	525.39	30.34	231.32	764.36	182.55	420.68	647.07	450.94	142.01	47.5	412.0	248.0	305.55	18.56	173.85	698.41	96.68	141.02	198.47	17.64	69.52	19.53	121.79	43.32	108.14	81.14	76.17	118.43	77.79	105.89	175.07	137.14	187.71	77.79	79.45	98.73	49.21	239.52	183.82	157.68	63.89	239.52	59.97	40.36	58.71	258.57	118.43	21.63	62.12	45.53
MSR1	10.24	392.44	22.1	194.36	358.54	231.32	457.25	316.37	269.6	82.87	23.59	212.78	139.07	277.2	9.93	218.79	698.41	91.41	113.56	191.67	24.63	20.41	10.31	90.77	24.81	76.17	61.25	46.5	55.1	55.1	59.97	92.7	43.94	151.22	48.87	46.84	124.37	24.81	273.37	61.25	104.42	50.98	163.28	41.22	23.42	28.24	204.07	146.03	6.67	35.0	15.34
MYD88	332.14	848.22	332.14	591.22	624.99	547.75	743.43	808.0	521.76	447.82	229.72	583.07	514.56	426.57	275.28	567.1	660.68	316.37	379.04	555.41	220.32	127.89	209.84	253.23	334.46	297.17	406.31	414.87	417.77	215.77	181.28	406.31	246.28	507.46	343.89	343.89	532.74	287.01	454.09	366.09	361.04	379.04	493.56	273.37	301.33	264.03	503.95	403.5	204.07	256.78	134.3
MYO1F	35.0	708.18	45.85	379.04	486.75	334.46	497.0	836.53	343.89	248.0	37.85	406.31	332.14	297.17	36.79	429.54	277.2	85.82	120.94	142.01	149.12	37.05	89.51	90.14	52.45	102.25	72.52	93.35	50.27	195.72	129.69	169.07	144.01	144.01	31.45	75.11	109.66	22.26	212.78	125.24	121.79	54.33	136.19	28.86	19.11	56.28	214.27	130.6	176.29	165.57	56.28
NCKAP1L	8.25	507.46	16.15	239.52	384.34	265.87	651.58	638.15	318.57	229.72	19.82	444.72	277.2	256.78	11.47	351.14	400.71	36.01	125.24	154.42	29.7	18.97	14.78	59.97	21.78	111.99	52.45	30.56	66.65	59.13	43.32	118.43	27.25	146.03	27.84	39.79	93.35	12.93	186.4	54.72	67.12	18.03	186.4	5.63	5.73	11.38	206.94	84.63	62.12	41.81	27.25
NLRC4	4.78	48.52	4.94	19.25	37.85	26.86	43.02	49.91	28.04	11.55	4.82	36.79	25.35	24.46	2.92	30.78	45.53	12.18	12.09	25.91	3.32	3.79	6.01	14.56	5.92	10.0	12.09	16.51	16.75	9.78	8.51	16.51	10.79	24.63	10.31	12.0	13.42	8.65	18.16	12.27	8.0	8.78	26.86	7.75	12.55	8.25	27.44	16.75	5.87	8.19	4.06
NOD2	1.04	75.64	2.94	35.25	46.5	29.27	57.89	82.87	36.27	19.82	6.11	38.95	37.32	30.34	1.83	38.4	25.35	5.63	14.89	18.7	13.72	4.03	4.54	3.2	3.69	12.45	3.11	3.86	1.31	12.0	22.1	8.45	4.54	6.94	2.25	2.94	21.47	1.03	31.0	6.01	10.39	2.01	15.0	0.17	3.66	0.88	14.35	8.58	15.34	5.68	3.35
P2RX5	2.56	159.9	2.78	110.43	363.56	128.79	738.29	518.15	251.48	170.25	0.8	656.11	249.73	155.5	5.96	176.29	591.22	12.27	17.51	8.32	5.32	0.47	3.0	81.14	0.34	36.53	4.54	7.63	8.45	75.64	4.66	102.97	0.34	6.41	9.06	77.79	71.0	1.85	231.32	9.63	31.9	9.63	199.85	1.06	9.56	6.26	53.57	5.15	32.13	7.0	3.92
P2RY12	0.33	45.85	0.65	36.53	30.12	23.25	69.52	56.28	30.78	15.11	3.0	61.25	37.59	30.78	1.07	12.64	22.75	15.91	31.67	25.17	18.56	0.0	13.52	21.63	7.0	0.0	9.78	9.63	11.64	13.12	8.38	29.91	4.17	32.36	7.11	1.99	11.13	2.01	44.57	1.46	15.8	0.0	27.05	4.74	2.92	6.21	55.1	8.51	4.98	6.73	13.83
PARVG	26.47	674.59	28.86	454.09	808.0	521.76	974.5	1477.58	518.15	339.14	34.75	708.18	703.28	363.56	21.32	775.05	679.29	67.12	190.34	141.02	72.01	29.7	63.45	139.07	84.04	100.83	69.03	55.89	38.95	314.17	108.14	178.77	100.13	119.26	48.87	73.03	120.94	31.45	511.0	129.69	109.66	41.52	191.67	21.94	9.13	34.26	237.86	97.36	102.97	161.02	38.4
PIK3AP1	37.85	249.73	64.8	146.03	182.55	132.44	417.77	299.25	223.41	171.45	36.79	232.94	165.57	171.45	63.89	185.11	209.84	69.52	92.7	172.65	96.68	32.13	35.0	43.32	87.03	120.94	96.68	84.63	105.15	92.7	71.0	208.38	56.68	218.79	81.14	158.79	98.04	51.71	234.57	113.56	97.36	51.71	175.07	115.97	85.22	101.54	173.85	206.94	66.65	43.32	59.97
PIK3R5	6.21	193.01	11.47	112.77	163.28	113.56	218.79	348.71	153.34	85.82	15.45	256.78	177.53	102.25	15.0	161.02	312.0	61.68	57.49	66.18	40.07	14.03	12.18	52.82	12.64	24.63	45.53	15.34	35.76	54.72	55.1	63.89	47.5	90.14	13.22	27.44	42.41	6.73	177.53	39.79	39.5	20.26	67.59	9.93	10.0	10.08	90.14	59.55	43.02	41.81	15.34
PIM2	102.97	1745.2	89.51	571.05	2255.7	647.07	1119.56	1572.76	791.35	414.87	118.43	703.28	684.02	346.29	76.71	1059.11	1674.06	75.11	358.54	162.14	98.73	163.28	100.13	547.75	182.55	132.44	148.09	92.7	124.37	595.34	108.9	620.67	120.1	113.56	76.71	128.79	497.0	73.03	483.38	429.54	147.06	198.47	1159.07	115.97	131.51	139.07	466.88	100.83	267.73	164.42	100.83
PLEK	21.01	785.88	28.24	426.57	555.41	397.93	1001.93	830.75	426.57	373.81	23.25	511.0	536.45	334.46	8.58	607.87	211.31	50.98	132.44	346.29	120.1	19.39	19.82	66.18	23.76	111.21	26.47	123.5	146.03	96.01	167.9	167.9	46.84	281.09	84.04	62.56	144.01	40.36	309.83	126.12	73.54	35.0	195.72	8.19	23.76	20.71	232.94	152.28	78.34	37.05	17.38
POU2AF1	5.82	718.08	3.96	136.19	551.56	251.48	866.07	674.59	295.11	215.77	13.93	571.05	417.77	226.54	10.39	392.44	921.88	10.47	183.82	22.43	8.45	11.38	81.14	242.88	23.42	2.89	23.25	7.11	19.82	253.23	46.84	271.48	30.56	20.41	24.81	36.53	124.37	12.55	211.31	75.11	29.06	46.5	802.41	17.51	5.36	5.45	180.02	11.64	52.45	18.7	36.01
PTAFR	35.76	273.37	20.26	156.59	132.44	120.94	185.11	183.82	115.16	86.43	21.94	154.42	114.36	111.21	13.62	107.38	205.5	38.4	66.65	88.88	47.17	3.17	38.95	75.64	28.24	37.32	32.59	53.57	29.27	61.25	24.11	94.67	40.93	129.69	34.51	35.76	94.67	38.95	124.37	56.28	138.1	22.26	52.08	19.25	28.65	45.21	144.01	65.72	24.99	81.14	29.27
PTPRC	18.03	1135.2	23.08	579.04	860.08	511.0	1819.35	2104.58	1008.9	674.59	43.32	1167.14	915.51	703.28	29.91	872.1	825.0	80.57	195.72	246.28	265.87	59.97	45.53	126.12	42.41	106.63	74.06	61.68	42.71	199.85	173.85	289.02	162.14	129.69	17.0	108.14	209.84	11.64	656.11	134.3	183.82	94.01	450.94	23.42	12.27	37.59	237.86	134.3	511.0	108.9	56.68
RAC2	55.49	1991.0	73.03	1111.82	1991.0	1457.23	2627.46	2591.27	1259.69	1216.75	88.26	1639.59	1199.98	808.0	34.51	1963.57	1745.2	81.71	221.86	473.41	165.57	26.1	81.14	197.09	26.47	154.42	104.42	105.89	68.07	490.14	211.31	995.0	172.65	271.48	113.56	208.38	769.69	74.06	1457.23	297.17	258.57	53.57	796.86	17.64	45.21	35.76	718.08	285.03	432.53	262.2	74.06
RGS18	3.06	49.56	2.05	28.04	43.94	23.76	41.81	88.88	42.11	23.42	4.28	73.03	47.17	33.54	3.41	30.12	31.0	26.67	17.0	23.59	6.31	3.29	6.62	8.25	11.21	29.7	8.51	4.13	6.84	15.68	17.77	13.93	5.68	24.99	13.62	11.82	18.16	12.83	63.0	10.0	17.77	12.18	38.67	9.93	4.13	5.15	44.89	18.43	18.56	7.46	8.0
RHOG	842.36	1529.73	633.73	1286.18	1883.54	1605.83	1819.35	1757.34	1127.35	1259.69	688.78	1498.22	1066.48	896.64	796.86	1651.0	1378.57	1001.93	785.88	1369.04	693.58	567.1	583.07	842.36	808.0	791.35	1096.5	902.89	748.61	842.36	825.0	961.07	738.29	1350.18	1066.48	775.05	1175.27	1001.93	1111.82	866.07	796.86	830.75	1167.14	551.56	902.89	688.78	1477.58	854.13	890.44	743.43	679.29
RIN3	105.89	336.79	94.67	285.03	291.04	220.32	301.33	417.77	223.41	197.09	70.01	314.17	244.57	193.01	46.18	277.2	220.32	126.12	94.01	180.02	52.45	86.43	77.79	141.02	88.88	131.51	95.34	96.01	88.26	132.44	87.65	129.69	99.43	145.02	99.43	99.43	178.77	52.08	137.14	106.63	117.6	43.94	169.07	46.18	53.95	58.3	178.77	125.24	88.26	103.69	48.18
RNASE6	15.45	738.29	7.34	303.44	616.37	389.72	497.0	1388.16	555.41	264.03	37.59	1066.48	432.53	341.51	18.43	460.44	599.49	148.09	220.32	358.54	14.24	27.44	38.95	120.94	67.12	170.25	69.03	76.71	162.14	87.65	101.54	271.48	25.91	371.22	59.13	59.97	57.89	52.82	813.63	110.43	251.48	63.0	329.84	59.55	64.8	38.12	551.56	237.86	37.59	169.07	31.9
SASH3	19.68	738.29	13.83	318.57	624.99	406.31	928.3	1073.91	525.39	480.04	33.06	660.68	470.14	327.56	14.03	679.29	470.14	60.39	67.12	137.14	41.22	29.7	39.79	76.71	45.53	72.01	58.71	144.01	58.3	127.89	42.41	279.14	62.56	153.34	42.41	55.49	180.02	15.68	423.61	90.14	94.67	32.59	198.47	11.3	29.91	17.0	343.89	106.63	105.15	100.83	25.91
SCIMP	3.66	140.04	5.77	68.07	95.34	84.04	241.19	218.79	138.1	67.12	6.01	226.54	106.63	91.41	5.63	99.43	271.48	26.28	24.46	31.22	3.29	14.24	16.63	25.91	16.27	25.17	15.0	11.91	20.86	13.93	21.01	65.72	6.06	34.26	6.84	36.27	18.7	8.58	164.42	23.93	39.5	6.78	61.25	14.67	5.19	9.06	119.26	20.71	3.5	13.03	5.92
SELPLG	20.71	684.02	28.86	356.05	629.35	389.72	660.68	896.64	395.18	301.33	37.32	551.56	371.22	239.52	20.11	607.87	476.71	75.11	102.97	239.52	24.28	25.91	29.48	120.94	39.22	98.04	96.01	63.0	73.54	85.22	54.72	218.79	33.06	193.01	65.72	56.68	191.67	31.0	473.41	87.03	152.28	38.67	237.86	26.28	45.53	45.85	305.55	113.56	35.76	115.16	27.64
SIGLEC10	11.73	248.0	7.88	111.21	194.36	95.34	217.27	412.0	122.64	108.9	6.73	536.45	177.53	92.7	2.41	146.03	275.28	80.57	45.21	75.64	4.5	2.58	8.19	57.89	37.85	38.95	26.67	17.77	20.41	17.51	13.83	25.17	6.73	62.56	11.64	45.85	44.89	6.52	98.73	27.25	77.25	20.26	87.65	19.53	10.55	17.0	177.53	23.42	4.9	15.56	2.76
SIGLEC7	5.36	116.78	12.36	57.89	97.36	62.12	83.45	111.21	45.53	21.47	8.99	66.65	40.64	36.79	0.0	57.49	46.84	15.8	11.13	21.16	8.25	3.26	2.63	16.88	13.32	3.59	11.38	10.63	15.68	12.93	6.41	12.18	3.06	23.76	5.96	18.16	39.5	7.75	24.99	11.3	10.63	6.41	29.91	10.55	16.03	3.26	40.93	22.75	6.26	25.91	3.23
SIGLEC9	2.84	95.34	4.86	60.82	95.34	73.54	73.54	78.34	38.95	25.17	5.96	74.06	32.36	47.17	2.78	48.18	69.52	27.25	20.11	38.4	3.26	3.92	10.96	26.67	10.63	41.22	22.43	10.79	17.64	15.45	16.27	41.22	8.38	54.33	14.03	20.41	43.63	9.78	39.5	13.93	11.82	5.28	39.79	13.03	9.78	3.32	52.45	43.94	6.84	18.43	4.98
SIT1	1.85	181.28	4.13	75.64	206.94	129.69	312.0	368.65	155.5	136.19	10.0	220.32	137.14	96.68	7.06	267.73	193.01	20.86	38.4	36.53	17.0	3.32	23.25	41.81	10.31	11.64	20.56	23.93	6.67	44.25	9.27	74.58	11.04	18.29	13.12	17.0	69.52	13.03	285.03	50.27	65.26	1.85	61.25	5.73	15.0	1.91	74.58	6.62	8.45	82.29	7.82
SLAMF1	0.82	139.07	0.88	50.98	101.54	79.45	165.57	195.72	107.38	71.5	4.66	130.6	87.03	55.89	2.53	133.36	232.94	5.77	13.52	23.08	11.38	0.54	3.92	9.41	7.94	8.92	5.68	3.92	1.01	22.1	16.88	28.45	9.85	16.03	9.06	3.44	38.4	3.06	123.5	18.97	8.25	10.71	81.71	4.94	4.24	4.5	40.07	15.45	7.69	20.56	2.92
SLAMF6	2.94	221.86	4.43	103.69	181.28	111.99	358.54	307.69	220.32	146.03	5.19	397.93	156.59	115.16	6.67	194.36	420.68	37.85	65.72	55.89	8.19	2.25	3.06	73.54	20.11	45.85	36.27	3.79	21.47	35.5	12.45	83.45	15.34	41.81	10.88	29.48	48.87	8.65	607.87	28.04	23.25	41.22	133.36	7.17	10.79	11.73	105.15	21.32	34.75	10.24	6.57
SLAMF7	4.28	884.29	5.15	277.2	529.06	228.13	417.77	603.67	336.79	134.3	9.27	248.0	212.78	167.9	3.99	366.09	665.29	10.55	63.89	16.63	21.94	14.35	19.97	215.77	8.71	28.86	22.26	7.82	7.34	228.13	21.32	197.09	24.99	18.29	16.63	13.42	191.67	11.47	429.54	111.21	36.53	14.45	567.1	13.22	11.04	6.26	189.02	4.94	45.53	41.22	6.21
SLAMF8	10.24	607.87	14.67	358.54	438.59	283.05	493.56	490.14	256.78	163.28	23.59	536.45	239.52	242.88	11.55	323.03	384.34	80.57	42.11	85.22	13.83	57.49	119.26	78.34	37.05	55.49	19.25	81.14	48.52	105.89	90.14	195.72	69.03	102.97	22.1	39.79	68.07	5.32	301.33	51.35	102.25	28.65	218.79	63.89	9.27	25.35	127.0	75.11	3.72	96.68	49.91
SLC37A2	1.64	99.43	3.96	56.68	50.27	53.19	100.13	91.41	43.63	29.06	5.96	65.72	38.67	46.5	2.97	46.84	65.26	27.44	31.45	35.25	9.13	8.85	13.42	33.78	9.34	33.06	15.91	12.09	16.27	23.59	11.13	39.5	11.38	38.95	6.78	16.39	20.56	3.26	71.5	16.75	31.67	6.26	41.52	10.16	3.32	4.17	47.5	21.47	2.34	22.92	4.13
SLC7A7	59.13	514.56	23.08	297.17	486.75	299.25	480.04	463.65	303.44	232.94	111.21	435.55	262.2	271.48	59.13	325.29	409.15	205.5	312.0	253.23	111.99	36.01	153.34	209.84	111.21	138.1	136.19	136.19	135.24	171.45	97.36	173.85	181.28	297.17	141.02	229.72	164.42	149.12	466.88	223.41	289.02	81.14	301.33	52.82	127.89	46.18	651.58	170.25	120.1	80.01	77.79
SMAP2	343.89	974.5	441.64	915.51	1015.93	921.88	1417.35	1572.76	961.07	656.11	283.05	2367.9	1008.9	684.02	329.84	902.89	1909.85	629.35	656.11	684.02	412.0	237.86	329.84	571.05	493.56	547.75	441.64	435.55	500.46	384.34	305.55	591.22	412.0	748.61	457.25	591.22	567.1	423.61	1407.55	454.09	536.45	414.87	1295.13	555.41	400.71	551.56	872.1	638.15	587.13	497.0	287.01
SNX20	2.63	223.41	4.82	117.6	177.53	124.37	262.2	262.2	138.1	113.56	8.58	155.5	131.51	78.89	2.58	199.85	251.48	20.26	38.12	41.81	6.46	4.35	6.73	24.28	8.06	19.11	13.52	22.43	14.14	47.5	11.47	75.64	7.63	37.85	9.93	18.7	27.44	4.58	173.85	27.64	35.0	15.68	55.89	4.9	12.18	4.9	88.88	31.22	17.38	21.63	4.39
SOWAHD	4.54	26.47	0.25	7.63	44.25	20.26	23.76	36.53	18.97	17.64	1.97	21.16	12.74	10.08	1.3	16.39	18.16	3.86	3.44	6.84	1.91	2.25	1.45	1.97	0.0	2.92	3.35	4.5	0.0	3.92	0.0	8.13	1.97	7.69	5.41	2.46	5.87	1.51	17.51	3.89	4.5	1.07	9.56	2.43	1.85	2.58	6.41	2.53	4.54	12.18	1.03
SPI1	46.18	1037.29	54.72	660.68	1191.69	836.53	1081.39	1073.91	429.54	435.55	65.72	698.41	575.03	460.44	43.63	896.64	830.75	231.32	256.78	514.56	111.99	70.51	49.91	182.55	53.57	180.02	109.66	248.0	183.82	131.51	376.41	348.71	103.69	738.29	186.4	148.09	301.33	70.01	638.15	205.5	285.03	62.12	271.48	29.91	76.17	53.95	684.02	353.59	108.14	163.28	38.12
SPN	12.27	373.81	12.0	161.02	175.07	152.28	281.09	312.0	206.94	123.5	16.15	218.79	156.59	109.66	6.78	194.36	154.42	20.56	35.76	82.29	27.25	11.73	5.68	30.34	23.08	28.86	23.93	31.22	7.88	40.07	21.32	103.69	18.84	29.06	13.12	15.56	67.12	7.57	246.28	27.64	38.4	12.0	101.54	2.18	8.25	2.78	111.99	16.15	25.17	74.06	14.45
TBXAS1	28.65	406.31	21.16	173.85	463.65	265.87	217.27	334.46	205.5	110.43	36.79	348.71	158.79	170.25	15.22	253.23	256.78	116.78	140.04	154.42	60.39	23.59	55.1	84.04	28.86	87.03	49.21	78.89	46.5	64.8	55.89	118.43	65.72	140.04	50.27	57.89	94.01	35.5	231.32	43.94	85.82	45.53	162.14	14.14	31.9	26.86	214.27	84.63	26.86	80.01	30.78
TFEC	2.58	157.68	3.17	110.43	134.3	62.12	185.11	167.9	78.89	33.54	5.02	100.13	99.43	68.55	3.32	81.14	46.5	23.59	27.44	43.32	2.68	8.92	6.78	13.62	5.82	12.09	14.45	16.27	17.0	18.03	6.16	32.82	12.09	36.79	18.29	19.53	28.24	10.39	151.22	27.05	10.96	9.2	75.11	2.2	3.38	6.31	29.91	32.82	2.81	10.08	6.31
TG	900270.11	290865.98	857631.47	687022.54	546551.29	614902.29	711250.37	370726.6	636586.81	857631.47	1131651.83	645473.24	794671.01	772940.66	828417.36	731246.37	817012.28	2247670.86	2126426.15	1327240.99	2375828.71	2111737.85	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1929772.37	1943195.01	1727194.55	1355129.16	2636147.11	716197.51	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	2263304.65	2672946.37	1864037.21	1634025.56
TIGIT	4.17	189.02	1.97	134.3	147.06	110.43	293.07	246.28	161.02	130.6	1.48	193.01	130.6	94.01	1.91	248.0	447.82	7.0	22.26	7.63	10.55	5.23	6.06	26.1	16.51	2.51	54.33	2.58	4.9	62.56	10.31	83.45	32.59	10.0	13.12	4.13	39.5	4.17	277.2	36.27	21.78	30.34	115.16	4.1	8.25	4.39	48.18	3.17	20.86	9.13	6.26
TLR1	9.13	128.79	4.39	57.89	94.67	80.57	111.99	172.65	80.01	61.25	13.12	78.34	82.29	81.71	4.1	79.45	124.37	35.5	33.06	84.04	18.56	14.24	21.47	32.13	11.55	19.97	14.24	25.91	24.63	26.47	18.56	49.56	20.86	54.72	17.13	21.78	43.02	15.0	59.97	39.5	20.56	16.75	54.33	11.91	12.74	8.99	84.04	78.89	16.88	24.46	10.47
TMEM150B	3.56	126.12	4.28	38.12	128.79	29.06	81.14	70.51	45.21	18.43	1.97	31.45	14.14	48.87	1.13	26.47	26.1	5.87	10.24	14.67	0.0	3.47	0.0	16.88	4.39	11.91	8.51	1.75	4.9	11.21	7.4	11.91	2.61	22.75	4.54	12.64	12.83	2.01	28.04	7.69	10.71	0.0	7.88	1.69	4.43	5.28	36.79	14.24	1.85	4.5	2.25
TMIGD2	5.02	20.11	0.31	8.51	32.82	17.25	57.08	98.73	15.91	23.93	1.97	32.36	29.27	16.51	0.0	38.4	10.88	6.16	9.93	4.06	2.2	0.0	1.45	6.21	2.25	0.0	6.89	0.0	1.19	13.32	6.26	7.57	0.0	1.57	13.62	12.74	8.99	0.78	20.86	3.82	3.89	3.92	16.15	0.0	2.86	1.2	10.31	0.0	2.84	9.78	0.0
TNFAIP8L2	9.27	253.23	10.16	137.14	239.52	220.32	305.55	384.34	163.28	156.59	9.85	218.79	123.5	111.99	6.89	194.36	186.4	39.22	46.18	115.97	1.03	7.11	5.87	65.72	22.59	75.11	34.75	45.85	33.3	14.67	20.86	68.07	11.04	123.5	37.85	32.36	69.52	28.45	133.36	46.18	54.33	18.16	59.97	18.29	38.4	17.25	143.01	77.25	4.94	43.63	10.39
TNFRSF13B	0.0	86.43	0.0	26.1	55.89	49.91	71.0	176.29	69.52	81.71	0.57	64.34	68.07	35.5	0.0	147.06	180.02	0.0	0.0	14.78	0.0	3.29	0.0	31.45	6.11	0.0	0.0	2.97	2.36	42.41	2.2	48.18	0.0	8.51	5.32	11.82	42.71	2.32	53.57	4.21	4.94	2.36	55.89	0.0	5.82	0.0	58.71	0.0	26.1	0.0	4.74
TNFRSF17	2.27	271.48	4.66	60.39	205.5	76.17	119.26	218.79	116.78	75.11	1.46	127.0	69.03	62.56	0.0	140.04	334.46	4.43	29.48	1.89	7.28	6.11	2.92	81.71	10.0	28.86	16.15	7.75	5.45	92.05	0.0	102.25	8.38	7.88	6.67	6.78	120.94	30.56	145.02	31.22	12.18	24.46	343.89	3.06	12.64	10.71	211.31	28.04	6.21	7.94	0.0
TNFRSF1B	153.34	848.22	199.85	532.74	988.12	647.07	878.17	1001.93	616.37	454.09	126.12	723.08	607.87	444.72	84.63	688.78	728.11	183.82	127.89	403.5	164.42	256.78	115.97	180.02	172.65	155.5	145.02	228.13	140.04	193.01	368.65	287.01	137.14	271.48	215.77	132.44	463.65	110.43	341.51	157.68	205.5	271.48	273.37	77.79	86.43	94.67	363.56	181.28	140.04	138.1	70.51
TNFSF8	1.41	79.45	5.06	59.13	71.0	59.13	131.51	189.02	71.0	46.5	4.94	244.57	112.77	61.25	3.5	92.7	231.32	12.93	45.53	48.52	11.21	6.11	4.21	43.94	8.99	10.0	28.45	11.38	24.11	17.9	11.38	45.21	15.0	57.49	10.16	16.75	43.02	9.2	151.22	22.43	21.32	18.29	96.68	10.0	30.12	5.19	63.45	16.15	10.63	18.29	7.0
TREML2	0.0	12.09	0.0	5.96	17.51	10.96	32.13	47.84	7.34	10.16	0.59	18.7	21.01	8.78	0.0	8.65	28.04	0.88	0.4	4.74	5.54	0.79	0.84	3.11	0.39	4.35	1.91	3.2	0.92	1.97	1.85	8.13	0.88	5.96	0.44	5.77	1.93	0.4	7.75	2.51	3.2	1.45	8.45	0.39	0.0	0.93	6.46	7.46	3.44	0.84	0.0
TRPM2	17.13	90.14	8.71	97.36	120.1	64.34	90.77	125.24	76.71	35.5	11.21	108.9	76.71	51.35	17.51	94.67	54.33	41.81	18.29	29.91	12.74	6.73	13.83	21.16	14.24	33.06	10.47	15.0	15.0	26.67	10.39	35.5	12.0	56.28	13.52	16.75	45.53	7.28	46.84	53.19	23.76	4.35	33.3	7.94	10.96	4.5	42.11	18.56	8.06	19.97	14.45
TYROBP	217.27	4210.15	187.71	3168.41	6561.36	4010.71	3325.99	4268.94	2209.26	1388.16	251.48	2956.17	1977.24	2075.59	185.11	3874.05	5219.6	928.3	884.29	1781.89	397.93	403.5	171.45	629.35	318.57	848.22	511.0	647.07	679.29	759.08	1151.06	1769.57	490.14	2720.15	579.04	791.35	1073.91	329.84	3235.01	595.34	1008.9	275.28	1417.35	155.5	289.02	297.17	4152.18	941.27	334.46	1030.12	325.29
