	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.CN.6988.01A.11R.1915.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.VQ.A94R.01A.11R.A414.31
C7	10.16	1.16	2.34	155.5	46.18	74.58	47.5	83.45	20.41	94.67	267.73	57.49	10.24	53.57	132.44	961.07	0.49	12.74	0.51	0.0	11.73	7.34	0.0	10.24	0.49	1.6	0.0	387.02	69.03	4328.55	2090.03	2224.63
C7orf63	10.24	25.91	15.22	86.43	111.21	100.13	102.25	234.57	88.26	175.07	159.9	161.02	38.12	24.11	47.5	23.93	4.58	57.49	27.05	18.56	11.64	18.84	18.84	25.17	17.77	9.78	0.0	44.57	28.24	69.52	58.71	251.48
CRIP3	0.3	0.0	2.56	31.67	19.25	33.78	25.54	39.79	17.77	24.11	135.24	128.79	18.84	14.03	41.81	10.31	0.0	6.26	3.76	0.0	0.0	0.0	0.0	3.38	0.0	0.0	0.0	1.77	11.04	124.37	23.76	68.55
CRTC3	58.3	171.45	120.1	813.63	356.05	612.11	802.41	473.41	387.02	438.59	728.11	612.11	392.44	483.38	607.87	387.02	166.73	217.27	145.02	164.42	191.67	152.28	130.6	151.22	187.71	177.53	0.0	281.09	318.57	2645.74	759.08	791.35
CYP4V2	59.13	33.54	75.11	503.95	156.59	195.72	162.14	397.93	84.04	406.31	341.51	231.32	128.79	55.1	305.55	88.26	9.27	40.36	16.27	26.1	97.36	56.68	15.34	64.8	53.95	11.55	218.79	293.07	87.03	559.28	271.48	368.65
DHX33	115.16	125.24	133.36	215.77	244.57	264.03	212.78	414.87	149.12	275.28	253.23	224.97	158.79	277.2	169.07	214.27	106.63	144.01	116.78	152.28	151.22	94.67	70.51	118.43	147.06	102.97	145.02	224.97	166.73	175.07	218.79	429.54
DISP1	16.15	13.03	13.32	166.73	34.75	46.84	66.65	129.69	18.03	58.3	76.17	40.93	24.63	28.04	72.01	25.91	11.13	12.27	7.34	10.55	19.82	40.07	7.22	12.64	21.94	9.2	0.0	57.08	23.93	104.42	158.79	133.36
DOPEY1	138.1	87.65	36.01	358.54	183.82	183.82	332.14	318.57	262.2	314.17	318.57	224.97	214.27	113.56	202.66	220.32	50.98	77.25	75.64	115.16	164.42	104.42	170.25	57.08	50.63	120.1	0.0	48.87	208.38	325.29	325.29	518.15
FAM160A2	271.48	329.84	262.2	1757.34	603.67	674.59	642.59	1191.69	743.43	1313.23	1208.34	866.07	595.34	723.08	802.41	540.19	277.2	258.57	679.29	209.84	287.01	194.36	629.35	432.53	403.5	346.29	0.0	981.29	429.54	909.17	708.18	1233.75
FAM211A	6.01	9.56	8.25	99.43	11.13	19.25	45.21	98.04	9.27	181.28	80.01	84.63	54.33	13.03	55.49	10.79	2.73	3.92	5.15	3.82	5.11	3.79	2.43	4.24	3.82	3.08	0.0	9.93	11.3	138.1	94.67	318.57
FBXL15	94.67	223.41	126.12	473.41	312.0	223.41	223.41	387.02	229.72	368.65	373.81	218.79	361.04	320.8	555.41	392.44	171.45	182.55	161.02	102.97	197.09	109.66	113.56	183.82	167.9	128.79	0.0	460.44	143.01	269.6	283.05	301.33
FBXO31	224.97	457.25	189.02	1088.92	674.59	638.15	529.06	934.76	426.57	647.07	961.07	651.58	336.79	693.58	379.04	674.59	285.03	297.17	291.04	273.37	231.32	269.6	237.86	231.32	435.55	301.33	0.0	241.19	493.56	607.87	813.63	1628.26
HCG27	14.89	8.85	12.55	52.45	40.36	31.22	73.03	61.25	10.55	52.82	158.79	94.01	27.64	4.74	27.64	0.0	2.2	3.86	5.11	2.66	3.72	6.52	14.67	5.82	4.46	2.18	0.0	94.01	2.89	131.51	71.5	24.28
IGHMBP2	116.78	234.57	202.66	432.53	3060.45	514.56	785.88	915.51	368.65	444.72	503.95	511.0	473.41	447.82	346.29	332.14	223.41	246.28	403.5	197.09	223.41	201.25	295.11	197.09	358.54	155.5	0.0	206.94	460.44	688.78	718.08	336.79
KLC4	220.32	205.5	119.26	1268.46	299.25	429.54	409.15	854.13	303.44	497.0	1313.23	802.41	351.14	283.05	1340.84	253.23	150.17	202.66	248.0	103.69	119.26	89.51	144.01	271.48	237.86	79.45	0.0	253.23	373.81	764.36	629.35	1721.16
KMT2A	122.64	111.21	67.59	325.29	171.45	397.93	356.05	361.04	199.85	348.71	447.82	320.8	186.4	232.94	237.86	226.54	137.14	195.72	86.43	94.67	138.1	115.97	50.27	94.01	68.07	147.06	0.0	91.41	187.71	688.78	583.07	463.65
KMT2B	39.22	120.1	32.36	381.68	191.67	195.72	253.23	228.13	172.65	218.79	232.94	208.38	189.02	193.01	187.71	147.06	62.12	144.01	55.49	78.89	105.89	85.82	90.14	52.82	59.55	80.57	0.0	147.06	116.78	218.79	178.77	195.72
LATS1	74.06	51.71	53.19	291.04	214.27	226.54	256.78	251.48	293.07	229.72	242.88	251.48	157.68	226.54	164.42	157.68	108.9	114.36	125.24	112.77	124.37	116.78	85.22	68.55	139.07	119.26	94.67	116.78	191.67	336.79	409.15	536.45
LRCH1	49.21	97.36	82.29	341.51	144.01	320.8	170.25	329.84	150.17	279.14	389.72	435.55	132.44	108.14	329.84	129.69	118.43	98.73	176.29	114.36	89.51	99.43	118.43	161.02	121.79	206.94	84.04	132.44	130.6	490.14	358.54	414.87
LRP5L	76.17	69.03	51.35	134.3	88.26	212.78	114.36	202.66	43.63	264.03	237.86	305.55	81.71	84.04	127.0	80.57	28.24	45.53	59.97	5.54	12.55	12.64	72.01	66.18	74.06	16.88	0.0	71.5	16.39	181.28	122.64	346.29
LTV1	309.83	285.03	397.93	764.36	607.87	612.11	638.15	941.27	647.07	647.07	854.13	775.05	540.19	595.34	406.31	684.02	532.74	356.05	769.69	334.46	511.0	473.41	244.57	373.81	638.15	269.6	0.0	909.17	429.54	638.15	780.44	1159.07
MADD	218.79	303.44	134.3	1008.9	341.51	540.19	915.51	684.02	358.54	813.63	775.05	616.37	348.71	476.71	547.75	426.57	127.0	271.48	348.71	201.25	301.33	208.38	316.37	297.17	129.69	198.47	0.0	341.51	457.25	890.44	842.36	775.05
MDN1	297.17	236.21	358.54	723.08	429.54	529.06	620.67	780.44	483.38	514.56	733.19	529.06	423.61	432.53	323.03	387.02	366.09	241.19	295.11	197.09	163.28	130.6	162.14	323.03	277.2	138.1	0.0	460.44	217.27	764.36	480.04	1369.04
MED23	156.59	135.24	125.24	511.0	287.01	387.02	507.46	412.0	348.71	470.14	483.38	473.41	289.02	299.25	281.09	246.28	118.43	201.25	170.25	119.26	169.07	130.6	166.73	115.16	127.0	115.97	0.0	161.02	265.87	718.08	620.67	909.17
MED24	872.1	1175.27	878.17	2090.03	1819.35	2335.28	1551.09	2758.13	1628.26	2090.03	4736.79	1605.83	2018.8	1639.59	1487.87	1417.35	1143.1	1225.22	941.27	808.0	961.07	813.63	825.0	1277.29	1277.29	698.41	1417.35	1844.76	1594.73	1199.98	1259.69	2367.9
MEP1B	0.25	0.0	0.0	2.27	0.39	2.03	2.07	3.66	0.67	24.28	2.76	1.51	0.68	0.62	2.36	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	2.68	0.92	1.14
MYOCD	0.49	0.47	0.82	54.33	2.92	16.88	8.78	20.71	1.55	25.91	49.91	26.67	3.66	6.73	53.57	150.17	0.0	1.64	0.84	0.53	1.89	0.53	0.0	0.75	0.0	3.96	0.0	9.13	4.86	38.4	269.6	33.3
NFKB2	511.0	575.03	480.04	2303.12	1427.22	1225.22	555.41	1733.13	629.35	1015.93	1331.57	981.29	981.29	607.87	2133.97	454.09	463.65	848.22	616.37	356.05	371.22	271.48	444.72	529.06	420.68	599.49	0.0	1745.2	642.59	1350.18	764.36	934.76
NPPA	1.1	5.68	1.2	78.34	49.21	70.01	37.59	81.71	64.8	40.64	15.45	77.25	77.79	11.64	19.97	31.0	0.0	3.66	0.0	0.0	2.1	0.0	0.0	3.5	0.0	0.0	0.0	9.48	2.81	43.32	21.16	77.79
NRIP2	15.8	7.17	2.89	37.05	26.67	38.12	43.32	56.28	22.26	69.52	82.87	28.65	33.06	26.86	40.93	19.53	5.5	14.14	8.25	1.77	6.67	6.21	2.25	3.63	5.5	7.17	0.0	25.35	11.73	211.31	96.68	109.66
OR10A4	0.0	0.0	0.0	1.13	0.61	1.23	2.89	2.61	0.85	1.27	2.32	3.44	0.0	0.4	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.59	5.19
OR2D3	0.0	0.0	0.0	0.95	0.82	0.64	0.21	1.19	1.04	1.07	1.16	0.18	0.0	0.67	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	2.23	0.35
PHLPP2	7.06	36.27	21.32	387.02	76.17	120.94	57.89	176.29	22.92	332.14	239.52	144.01	13.12	43.94	97.36	40.93	17.13	27.64	17.0	15.0	14.67	21.78	16.27	19.82	34.51	17.77	0.0	27.84	28.45	68.07	66.18	84.04
PHOSPHO2	43.94	40.64	48.52	139.07	77.79	93.35	70.51	105.89	69.03	112.77	135.24	80.01	68.55	79.45	60.82	73.03	35.76	42.71	27.84	26.67	39.5	23.93	18.97	58.3	30.12	20.11	0.0	43.94	57.89	82.87	126.12	118.43
PI3	1656835.72	527933.71	423.61	5403.7	1364554.84	284880.02	479109.86	682276.92	2864793.06	9945.68	4802.93	265802.39	912837.43	3454390.1	932018.1	5272295.22	200048.85	531605.79	731246.37	431797.89	589853.66	260332.24	1903204.61	1070607.81	706337.4	517068.97	0.0	2442622.37	2326934.84	50.27	1594.73	50.27
PLEKHH2	2.32	18.97	3.59	209.84	202.66	384.34	206.94	368.65	236.21	316.37	277.2	423.61	98.73	239.52	191.67	150.17	17.0	13.03	38.12	18.84	5.87	11.73	15.56	47.5	18.16	30.34	0.0	19.68	28.24	198.47	241.19	332.14
PNPLA2	1628.26	748.61	866.07	4066.71	1388.16	2148.82	2434.5	2997.45	2720.15	3235.01	3419.52	3491.39	1806.78	1487.87	3060.45	1781.89	890.44	1159.07	1111.82	915.51	1111.82	866.07	1572.76	896.64	1051.79	1081.39	0.0	1721.16	2758.13	2434.5	4388.98	3742.05
PPP1R12A	223.41	236.21	366.09	1001.93	684.02	728.11	2573.36	896.64	1037.29	974.5	2004.85	981.29	848.22	785.88	718.08	813.63	314.17	409.15	339.14	283.05	379.04	493.56	279.14	293.07	195.72	295.11	423.61	454.09	366.09	2591.27	1685.71	808.0
PRSS48	0.0	0.0	0.0	2.61	0.0	0.45	1.01	0.8	1.36	2.27	1.11	1.22	3.2	0.82	1.41	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	29.91	3.72
PTGDR2	2.36	0.71	3.29	28.24	1.79	3.38	3.56	7.34	1.51	26.86	7.51	12.93	2.94	3.72	6.36	3.17	0.4	0.66	2.27	0.95	0.48	0.93	0.0	1.69	1.48	0.52	0.0	4.35	2.25	8.13	13.72	55.49
RBM12	476.71	486.75	348.71	830.75	579.04	934.76	642.59	1191.69	567.1	769.69	753.83	583.07	457.25	624.99	703.28	698.41	426.57	616.37	521.76	450.94	603.67	591.22	373.81	567.1	332.14	532.74	0.0	759.08	616.37	713.11	915.51	896.64
RERGL	1.69	2.92	3.56	25.17	6.16	4.17	14.56	17.77	13.62	12.0	57.89	98.04	7.34	4.28	13.52	48.52	2.05	0.78	0.0	0.0	3.92	5.82	0.0	3.35	3.99	1.66	0.0	17.38	4.31	201.25	248.0	55.1
RNF146	177.53	180.02	147.06	764.36	381.68	435.55	607.87	624.99	575.03	514.56	775.05	400.71	392.44	603.67	371.22	429.54	273.37	283.05	246.28	303.44	376.41	279.14	255.0	309.83	283.05	246.28	0.0	529.06	529.06	915.51	878.17	775.05
RP11-156E8.1	0.87	7.69	0.0	33.54	17.77	19.25	22.26	35.25	6.57	25.17	33.06	22.92	9.2	16.03	12.83	14.78	2.73	4.78	4.98	0.75	0.74	0.74	0.0	1.38	4.78	0.78	0.0	7.06	4.9	27.05	39.22	22.1
RP11-444E17.6	0.0	0.73	0.0	3.11	0.97	2.25	2.46	4.31	0.4	1.25	4.17	3.63	0.75	0.67	6.62	1.07	0.0	1.07	0.0	0.0	0.56	0.0	0.57	0.0	0.85	0.0	0.0	2.92	0.65	2.94	5.68	6.26
RPS6KL1	18.16	26.1	8.13	209.84	134.3	145.02	255.0	339.14	140.04	518.15	555.41	529.06	221.86	190.34	198.47	100.13	7.57	25.91	10.71	12.27	13.52	6.78	11.21	48.18	25.35	5.11	0.0	46.18	19.82	217.27	158.79	381.68
RTEL1-TNFRSF6B	13.42	82.29	15.34	279.14	264.03	420.68	211.31	651.58	127.89	226.54	366.09	397.93	246.28	99.43	575.03	145.02	7.57	55.89	41.52	8.19	10.24	7.57	47.17	34.26	62.56	9.78	0.0	108.9	15.22	215.77	251.48	309.83
SCAF8	159.9	136.19	123.5	444.72	312.0	406.31	406.31	438.59	341.51	412.0	476.71	432.53	256.78	336.79	253.23	279.14	191.67	242.88	228.13	208.38	297.17	279.14	175.07	128.79	281.09	176.29	0.0	271.48	295.11	511.0	813.63	688.78
SF1	2104.58	2895.31	2271.4	5954.47	3665.02	6840.04	4736.79	5633.22	4388.98	5403.7	6121.9	4543.8	3589.58	4450.27	4358.66	5403.7	2224.63	2796.65	2895.31	2148.82	2645.74	2287.2	1923.14	2520.38	2104.58	1963.57	2537.92	3372.43	3515.68	5791.62	6516.03	7280.4
SHISA3	0.1	0.0	0.35	3.86	1.17	36.53	5.36	44.57	0.38	32.13	53.95	21.63	9.13	1.16	12.27	2.51	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.78	2.01	0.0	0.0	18.7	0.0	579.04	30.78	164.42
SHROOM4	8.78	5.23	1.75	75.11	43.32	98.73	96.01	80.01	30.78	97.36	91.41	50.98	60.39	36.79	88.88	31.0	9.78	8.0	6.21	15.8	8.65	8.71	8.25	14.24	14.56	13.22	0.0	77.25	24.99	118.43	102.25	72.01
SLC22A7	0.0	0.0	0.0	7.75	1.17	1.68	1.95	7.11	3.69	1.16	11.3	9.56	3.79	2.27	1.25	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	1.13	0.27	3.5	5.32	7.88
SLX1B	104.42	318.57	289.02	660.68	158.79	974.5	181.28	1651.0	90.77	269.6	218.79	532.74	684.02	134.3	356.05	129.69	92.05	118.43	138.1	21.94	57.08	34.02	51.71	105.15	77.25	21.47	0.0	89.51	412.0	457.25	1044.52	303.44
SNX13	109.66	228.13	123.5	532.74	387.02	363.56	299.25	432.53	384.34	358.54	351.14	351.14	283.05	231.32	341.51	242.88	158.79	314.17	165.57	198.47	226.54	295.11	249.73	176.29	208.38	220.32	0.0	217.27	329.84	351.14	376.41	543.96
STK36	135.24	327.56	136.19	1286.18	802.41	1199.98	825.0	1167.14	860.08	1199.98	934.76	981.29	587.13	543.96	633.73	406.31	123.5	392.44	149.12	72.01	97.36	87.65	182.55	140.04	190.34	90.14	0.0	255.0	379.04	743.43	532.74	1277.29
TBP	161.02	194.36	189.02	429.54	303.44	343.89	314.17	361.04	368.65	376.41	368.65	575.03	277.2	275.28	231.32	295.11	218.79	191.67	224.97	193.01	202.66	152.28	208.38	206.94	299.25	172.65	244.57	251.48	223.41	260.38	414.87	480.04
TCF7L2	54.72	120.1	89.51	947.83	334.46	500.46	514.56	616.37	334.46	521.76	579.04	599.49	323.03	281.09	518.15	182.55	111.99	136.19	96.01	92.05	127.0	231.32	84.04	100.83	63.0	194.36	0.0	287.01	305.55	571.05	738.29	738.29
THRA	323.03	334.46	185.11	848.22	543.96	759.08	366.09	836.53	124.37	575.03	3146.52	444.72	341.51	165.57	567.1	237.86	379.04	158.79	224.97	139.07	112.77	80.01	58.71	283.05	215.77	169.07	193.01	438.59	454.09	547.75	1135.2	2075.59
TP53TG5	0.0	0.0	5.15	33.78	46.18	32.82	9.27	39.5	31.9	28.04	51.35	31.0	8.78	7.57	57.89	21.32	0.0	0.0	2.61	2.1	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.62	1.43	25.72	33.06	13.62
TPCN2	53.95	186.4	90.77	708.18	1030.12	253.23	403.5	493.56	185.11	417.77	309.83	329.84	291.04	283.05	341.51	218.79	164.42	110.43	212.78	117.6	126.12	141.02	170.25	94.01	197.09	142.01	0.0	190.34	103.69	409.15	281.09	195.72
UBE4A	170.25	173.85	85.22	438.59	181.28	299.25	361.04	429.54	325.29	353.59	392.44	346.29	291.04	285.03	327.56	285.03	208.38	299.25	171.45	246.28	251.48	251.48	271.48	140.04	147.06	242.88	205.5	291.04	363.56	441.64	543.96	441.64
USP49	15.22	34.26	4.39	76.71	76.17	81.71	72.52	142.01	58.3	59.97	161.02	99.43	38.4	49.56	96.01	40.64	10.47	24.99	16.63	12.93	13.62	10.79	18.16	29.48	22.1	8.38	0.0	52.45	19.68	90.77	89.51	152.28
USPL1	88.26	102.25	64.34	285.03	180.02	432.53	214.27	218.79	147.06	205.5	255.0	297.17	133.36	173.85	176.29	169.07	66.18	81.71	109.66	62.56	102.25	67.12	73.03	125.24	100.83	55.89	0.0	120.94	102.97	514.56	368.65	295.11
ZFYVE27	223.41	389.72	123.5	988.12	525.39	575.03	547.75	753.83	432.53	769.69	819.3	688.78	332.14	435.55	624.99	299.25	169.07	327.56	312.0	104.42	140.04	165.57	267.73	341.51	206.94	153.34	0.0	339.14	334.46	571.05	381.68	525.39
ZNF154	8.32	3.92	2.89	159.9	24.28	87.03	232.94	69.03	29.06	81.71	140.04	67.12	57.08	23.42	82.29	60.82	3.38	4.74	8.0	2.48	1.91	1.91	5.19	5.15	3.35	5.5	0.0	15.56	23.08	123.5	132.44	86.43
ZNF202	54.72	124.37	71.5	183.82	114.36	303.44	180.02	273.37	171.45	205.5	239.52	218.79	139.07	206.94	164.42	185.11	92.7	165.57	130.6	69.52	92.05	55.89	63.89	117.6	82.29	38.67	0.0	110.43	129.69	256.78	205.5	198.47
ZNF234	26.47	40.93	13.93	159.9	78.89	123.5	147.06	92.05	77.25	105.15	108.9	92.7	66.65	75.64	80.01	77.79	23.93	76.17	38.12	25.91	23.42	29.7	32.82	22.92	36.53	23.76	0.0	61.68	60.39	139.07	137.14	171.45
ZNF451	98.73	141.02	95.34	307.69	287.01	361.04	318.57	486.75	273.37	283.05	441.64	500.46	199.85	246.28	271.48	231.32	127.89	208.38	190.34	109.66	157.68	115.16	116.78	86.43	175.07	129.69	379.04	178.77	197.09	591.22	503.95	563.18
ZNF792	15.22	17.64	9.41	92.7	45.85	43.63	64.34	69.52	10.79	63.89	71.0	76.71	26.86	28.86	72.01	24.11	17.64	22.1	11.55	26.86	43.63	21.94	15.11	10.31	11.13	21.94	0.0	37.85	32.82	114.36	87.65	97.36
