	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.11A.01R.2016.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.55.7227.01A.11R.2039.07	TCGA.97.7553.01A.21R.2039.07	GTEX.Y5V5.0826.SM.4VBQD	GTEX.QDT8.0926.SM.32PL2	GTEX.X4EO.0926.SM.3P5Z2	GTEX.Q734.0626.SM.2I3EF	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZC5H.0926.SM.5CVMZ	TCGA.85.7710.11A.01R.2125.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.AF.5654.01A.01R.1660.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.FP.8210.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31
FLI1	40.93	152.28	248.0	171.45	232.94	108.14	147.06	256.78	169.07	40.36	854.13	307.69	728.11	1127.35	5594.3	981.29	1259.69	638.15	1697.45	1313.23	32.59	26.1	30.56	139.07	98.04	134.3	85.22	59.13	33.54	81.14	902.89	450.94
FMNL1	205.5	358.54	616.37	318.57	791.35	229.72	366.09	775.05	414.87	63.0	1191.69	769.69	1628.26	1457.23	2061.24	4903.87	2319.15	1259.69	1467.37	2133.97	83.45	45.53	75.64	165.57	106.63	271.48	141.02	163.28	73.54	37.05	1369.04	738.29
GAB3	1.39	56.28	97.36	57.89	76.71	32.13	45.53	124.37	57.08	4.9	226.54	75.11	138.1	123.5	426.57	947.83	438.59	145.02	127.89	231.32	2.73	3.06	8.92	16.75	18.7	26.1	13.42	17.25	3.59	9.48	155.5	132.44
GFI1	9.34	18.43	32.59	32.13	51.35	7.82	17.38	48.87	13.52	3.79	187.71	37.05	60.82	85.82	89.51	688.78	127.89	42.41	143.01	121.79	16.51	19.11	3.03	4.21	0.04	19.39	6.31	11.64	6.62	0.6	128.79	115.16
GIMAP1	19.11	68.55	65.26	57.08	64.8	42.11	47.5	85.82	47.17	16.15	356.05	104.42	159.9	291.04	384.34	221.86	551.56	120.1	323.03	381.68	11.3	11.38	7.94	53.57	39.22	56.68	43.32	23.08	17.64	41.22	220.32	137.14
HCLS1	70.51	529.06	802.41	343.89	954.43	221.86	400.71	1081.39	397.93	127.89	4802.93	1286.18	2319.15	928.3	3847.29	8538.88	2367.9	1259.69	1225.22	4210.15	41.52	86.43	113.56	974.5	113.56	208.38	514.56	241.19	175.07	287.01	1286.18	954.43
HLA-A	16727.26	12764.83	25354.3	12244.81	28132.47	12764.83	10959.3	27363.16	6471.02	10368.08	118127.7	69271.73	32767.0	59063.35	17927.91	63742.91	40904.3	28328.16	110216.97	37379.55	5329.3	1096.5	9808.75	9876.98	14065.74	15934.98	12415.75	7081.29	8078.22	7433.4	19214.73	23169.48
HLA-B	17317.18	21026.65	40062.48	18052.61	52135.28	15180.22	15180.22	53230.77	6037.61	12764.83	156954.93	68793.23	58250.19	114103.8	45701.96	127486.83	71714.63	42346.82	118949.35	52497.92	8538.88	5672.41	3081.75	16843.62	25179.16	26067.14	8538.88	8078.22	5751.61	7032.37	22692.63	39237.98
HLA-F	1242.34	1832.01	4671.57	1721.16	6887.62	1477.58	1733.13	6699.25	764.36	1183.45	11112.3	6207.38	5594.3	10296.45	5147.73	25354.3	4704.07	3039.3	6652.97	7331.05	341.51	220.32	555.41	947.83	1819.35	1697.45	698.41	1277.29	392.44	748.61	4038.61	3235.01
HVCN1	25.91	83.45	172.65	53.19	136.19	50.98	61.25	208.38	118.43	18.97	368.65	215.77	500.46	540.19	723.08	563.18	860.08	277.2	748.61	1519.15	9.34	17.0	19.97	178.77	26.1	27.64	52.45	38.12	26.67	12.93	713.11	258.57
IKZF1	36.01	61.68	140.04	55.89	120.1	24.46	27.84	106.63	68.07	18.56	733.19	215.77	358.54	351.14	802.41	6037.61	1023.0	129.69	400.71	974.5	3.53	2.51	9.2	46.5	7.11	56.68	27.84	41.81	17.77	3.82	616.37	260.38
IL10RA	67.12	198.47	334.46	128.79	336.79	92.05	153.34	460.44	211.31	41.22	1651.0	490.14	921.88	1794.29	2178.83	8479.89	3395.89	624.99	872.1	1242.34	11.91	11.73	21.47	190.34	40.36	131.51	149.12	79.45	68.07	22.92	743.43	486.75
IL12RB1	29.48	27.05	65.26	19.53	66.65	17.9	32.59	74.58	28.04	10.96	438.59	88.26	164.42	197.09	253.23	1268.46	802.41	135.24	171.45	318.57	1.3	3.44	7.82	59.13	3.86	22.92	43.63	96.01	8.58	5.87	198.47	102.25
IL2RG	518.15	258.57	808.0	211.31	642.59	135.24	435.55	802.41	283.05	154.42	3820.7	1250.98	1674.06	2855.44	2104.58	15180.22	10084.54	825.0	3060.45	3768.09	53.19	17.64	69.52	228.13	90.77	521.76	197.09	579.04	291.04	144.01	2701.35	2520.38
ITGAM	14.45	133.36	127.0	54.72	228.13	36.53	59.97	414.87	73.54	7.4	258.57	384.34	633.73	633.73	775.05	563.18	1794.29	633.73	1378.57	703.28	5.77	4.35	10.96	81.71	9.27	27.64	29.91	34.26	9.2	6.36	256.78	178.77
KATNAL1	17.25	84.63	189.02	143.01	193.01	55.89	52.45	183.82	66.65	27.84	137.14	93.35	108.14	127.0	358.54	249.73	180.02	91.41	208.38	111.99	7.4	7.0	26.1	71.0	48.52	32.13	74.58	19.53	35.25	48.87	124.37	251.48
KLHL6	12.55	26.67	111.99	16.63	79.45	9.85	19.53	50.98	34.02	1.73	363.56	102.97	269.6	198.47	429.54	1015.93	429.54	120.94	332.14	791.35	2.76	4.13	2.63	7.88	0.44	7.88	14.89	13.62	6.16	1.51	209.84	99.43
KRT4	3.697379928E7	1.810644424E7	2263304.65	6140819.49	122293.5	2.276004283E7	3359929.59	1800541.22	3.109113511E7	951601.81	0.85	6.06	109.66	830.75	29.7	1135.2	3901.01	454.09	872.1	285.03	0.0	0.0	10.47	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	11.82	105.89
LAIR1	72.01	241.19	323.03	189.02	397.93	158.79	237.86	860.08	167.9	27.44	3690.52	941.27	2133.97	2104.58	2555.58	1551.09	5329.3	2061.24	2287.2	2502.97	20.71	38.12	48.87	638.15	21.47	63.89	164.42	81.14	27.25	43.63	1037.29	819.3
LCP2	69.52	271.48	379.04	241.19	518.15	163.28	334.46	780.44	175.07	64.8	3614.55	1015.93	1508.65	3589.58	4639.29	4575.41	2935.74	1159.07	1350.18	1844.76	20.86	55.1	102.25	316.37	73.03	220.32	204.07	187.71	69.03	48.18	1322.37	1407.55
LILRB1	18.29	49.56	127.0	51.71	129.69	25.54	82.87	262.2	58.3	4.54	981.29	118.43	497.0	293.07	525.39	514.56	1008.9	332.14	387.02	830.75	5.5	5.41	12.64	11.13	0.84	32.36	27.84	17.9	4.21	1.1	249.73	141.02
LIMD2	193.01	249.73	1119.56	346.29	688.78	155.5	283.05	878.17	397.93	52.45	1457.23	802.41	1519.15	878.17	1304.15	4328.55	2400.97	954.43	1073.91	3901.01	129.69	189.02	67.12	205.5	64.34	167.9	165.57	239.52	110.43	42.41	2061.24	1066.48
MAML2	162.14	171.45	109.66	120.94	98.73	136.19	96.68	154.42	142.01	53.95	343.89	199.85	273.37	293.07	536.45	327.56	248.0	142.01	260.38	229.72	17.77	3.56	94.01	72.52	59.13	40.93	177.53	72.52	79.45	57.08	299.25	226.54
MMD	57.89	161.02	543.96	232.94	379.04	55.49	133.36	733.19	88.88	39.22	212.78	277.2	599.49	279.14	796.86	366.09	540.19	607.87	854.13	514.56	67.59	34.75	346.29	220.32	31.45	56.68	74.58	40.64	55.49	30.56	351.14	414.87
MYO1F	36.79	201.25	218.79	191.67	339.14	140.04	185.11	470.14	172.65	34.02	1457.23	486.75	1073.91	1127.35	2193.99	3146.52	2935.74	753.83	1651.0	1250.98	19.68	28.45	43.02	118.43	63.0	100.13	104.42	60.39	48.87	28.24	961.07	575.03
N4BP2L1	153.34	262.2	616.37	356.05	567.1	251.48	186.4	463.65	253.23	212.78	679.29	403.5	432.53	808.0	1259.69	934.76	769.69	423.61	866.07	860.08	58.71	53.95	30.56	144.01	129.69	197.09	193.01	236.21	71.5	162.14	514.56	571.05
NCF1	102.25	105.15	241.19	105.89	260.38	102.25	197.09	438.59	197.09	49.21	872.1	273.37	595.34	748.61	759.08	669.92	1313.23	441.64	941.27	1685.71	8.13	10.88	9.85	143.01	48.87	81.71	190.34	142.01	47.17	22.92	1143.1	256.78
NCKAP1L	18.7	171.45	334.46	146.03	318.57	104.42	126.12	444.72	206.94	29.48	1359.57	463.65	1233.75	909.17	2855.44	4066.71	2119.22	703.28	1167.14	1540.37	6.26	10.39	33.06	256.78	27.05	39.22	91.41	66.18	44.57	23.93	688.78	376.41
PARVG	31.22	195.72	384.34	163.28	409.15	135.24	178.77	629.35	193.01	46.5	1561.89	444.72	947.83	1023.0	1044.52	5913.33	2645.74	1378.57	1015.93	2417.67	18.97	34.26	43.02	223.41	55.1	123.5	132.44	88.88	35.0	22.1	825.0	555.41
PATL2	32.13	14.67	66.18	39.22	74.06	11.21	16.27	81.71	17.9	3.08	229.72	56.68	62.12	68.07	146.03	665.29	120.1	42.41	78.34	275.28	10.31	5.77	14.78	2.78	5.36	7.17	9.93	9.41	12.45	1.62	97.36	180.02
PCED1B	53.19	117.6	185.11	149.12	221.86	91.41	63.89	253.23	93.35	11.38	507.46	320.8	336.79	435.55	525.39	1477.58	693.58	150.17	409.15	674.59	5.32	24.28	117.6	47.5	71.0	48.87	59.13	90.14	15.11	28.65	332.14	275.28
PIK3CG	3.2	16.15	36.79	18.43	22.92	5.36	13.42	22.75	14.56	6.01	223.41	52.82	122.64	82.29	121.79	273.37	1127.35	22.92	202.66	237.86	0.89	1.73	0.88	23.42	1.04	6.41	31.9	22.1	4.9	2.43	187.71	74.58
PIK3R5	6.01	93.35	94.01	55.89	128.79	42.41	57.08	141.02	77.79	13.52	525.39	183.82	450.94	293.07	575.03	848.22	693.58	239.52	267.73	529.06	6.78	7.75	13.42	115.97	28.04	39.79	64.34	27.44	34.02	24.63	327.56	161.02
PIK3R6	7.22	40.93	41.52	63.45	50.63	35.25	23.93	104.42	52.45	5.59	99.43	66.65	94.67	50.27	53.57	146.03	229.72	70.51	69.52	88.26	0.96	2.03	1.62	10.88	9.56	23.25	13.52	9.13	5.06	4.28	67.12	78.34
PLCB2	100.13	226.54	351.14	224.97	373.81	129.69	190.34	583.07	193.01	19.68	1359.57	438.59	785.88	1015.93	2335.28	3515.68	2255.7	1508.65	684.02	1286.18	28.24	28.86	127.0	72.01	70.51	75.11	97.36	68.07	47.5	31.0	620.67	473.41
PLCG2	47.5	167.9	289.02	121.79	255.0	92.05	103.69	158.79	217.27	46.18	447.82	195.72	460.44	503.95	1340.84	884.29	974.5	348.71	830.75	1388.16	21.78	14.45	15.56	44.89	134.3	100.83	90.77	124.37	57.08	39.79	647.07	253.23
PSTPIP1	92.05	141.02	212.78	178.77	194.36	93.35	90.14	348.71	93.35	28.45	493.56	217.27	327.56	511.0	318.57	1896.65	769.69	373.81	595.34	656.11	16.63	14.56	36.79	221.86	48.18	111.99	64.8	64.8	18.16	27.44	299.25	363.56
PTPN6	1529.73	493.56	866.07	525.39	1674.06	435.55	995.0	1963.57	656.11	579.04	1870.53	1467.37	2997.45	2573.36	3443.31	3467.27	3690.52	1950.0	2537.92	6037.61	796.86	872.1	647.07	1037.29	599.49	486.75	802.41	902.89	503.95	486.75	2224.63	1286.18
PTPN7	125.24	72.01	165.57	66.18	167.9	48.52	71.5	228.13	86.43	25.91	547.75	316.37	334.46	197.09	143.01	2434.5	995.0	187.71	258.57	961.07	11.13	8.19	17.51	36.79	20.41	79.45	33.54	128.79	21.16	7.88	438.59	283.05
RAC2	836.53	674.59	1417.35	551.56	1508.65	414.87	764.36	1832.01	775.05	206.94	2701.35	1745.2	2502.97	3372.43	3690.52	5403.7	10440.2	1628.26	5633.22	6699.25	28.04	48.18	356.05	525.39	125.24	629.35	299.25	575.03	135.24	99.43	2997.45	1651.0
RASAL3	80.57	108.9	190.34	107.38	234.57	64.34	115.16	285.03	155.5	24.81	591.22	221.86	341.51	384.34	336.79	3257.52	884.29	348.71	358.54	961.07	11.47	16.75	12.83	17.9	58.71	180.02	53.57	171.45	11.47	16.39	624.99	323.03
RBMS2	262.2	314.17	236.21	305.55	217.27	356.05	429.54	198.47	255.0	107.38	432.53	295.11	536.45	1044.52	1096.5	470.14	420.68	684.02	665.29	540.19	49.91	21.63	178.77	215.77	88.88	118.43	275.28	127.0	178.77	54.72	638.15	603.67
SIGLEC10	12.83	157.68	139.07	85.22	258.57	72.52	85.82	339.14	84.63	19.97	2319.15	137.14	387.02	83.45	183.82	161.02	361.04	176.29	104.42	802.41	4.43	4.66	6.16	170.25	8.99	47.84	102.25	16.63	17.38	43.32	500.46	221.86
SIRPD	0.0	0.0	0.26	0.0	4.35	0.0	1.95	5.73	1.81	0.0	9.06	9.7	18.84	35.76	35.0	20.41	80.01	6.21	30.78	35.76	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.18	2.14	0.0	5.23	5.96
SLA2	14.35	16.39	35.25	21.16	77.79	9.85	16.27	59.55	18.16	16.63	255.0	53.95	104.42	131.51	75.64	409.15	108.14	157.68	325.29	181.28	3.86	7.51	1.97	7.34	6.84	81.14	23.42	22.92	4.54	8.06	136.19	155.5
SLFN11	13.52	193.01	438.59	173.85	420.68	142.01	217.27	500.46	111.21	20.11	802.41	796.86	1119.56	1529.73	2875.3	1529.73	3212.66	759.08	1286.18	1233.75	9.2	13.62	51.71	94.01	59.55	226.54	40.36	27.05	36.79	9.13	466.88	389.72
SLFN12L	23.93	13.42	32.36	21.32	29.7	3.76	19.82	52.45	10.16	11.21	208.38	47.17	50.98	49.56	46.18	571.05	99.43	31.67	47.84	150.17	0.0	0.0	2.97	0.16	7.57	13.72	7.28	6.31	2.12	0.0	102.25	100.13
SP140	21.78	31.0	102.97	46.18	123.5	14.24	25.91	105.89	63.89	4.98	414.87	122.64	212.78	291.04	450.94	2061.24	563.18	187.71	327.56	915.51	6.94	1.41	7.28	12.55	7.88	31.67	22.43	31.0	11.82	0.83	289.02	173.85
STK10	275.28	218.79	332.14	166.73	299.25	154.42	249.73	361.04	211.31	46.5	785.88	414.87	521.76	616.37	1697.45	2468.49	928.3	764.36	684.02	1111.82	52.82	51.71	137.14	175.07	101.54	198.47	136.19	199.85	73.03	101.54	866.07	460.44
TAPBPL	432.53	525.39	909.17	384.34	1167.14	435.55	620.67	878.17	249.73	420.68	2032.85	684.02	693.58	1477.58	1388.16	2367.9	1359.57	1030.12	2163.77	1015.93	595.34	293.07	616.37	153.34	244.57	161.02	403.5	361.04	457.25	149.12	728.11	1225.22
VAV1	150.17	87.03	148.09	66.18	165.57	93.35	112.77	190.34	120.94	45.53	674.59	242.88	559.28	346.29	559.28	1259.69	1794.29	301.33	536.45	890.44	6.78	11.3	10.96	135.24	38.67	49.21	77.79	98.73	22.59	25.17	343.89	197.09
WAS	30.12	152.28	301.33	124.37	341.51	107.38	128.79	412.0	182.55	29.7	1295.13	412.0	878.17	860.08	1651.0	2682.69	2075.59	1037.29	1044.52	1561.89	21.47	35.0	26.47	241.19	31.22	78.34	100.83	85.22	45.85	33.3	599.49	493.56
ZNF80	1.17	0.87	5.06	2.89	5.54	0.0	1.14	7.75	4.21	0.0	8.71	4.94	4.9	10.08	5.11	31.45	16.27	5.68	8.25	31.67	0.0	0.0	1.93	0.0	0.16	2.18	0.0	1.75	0.0	0.0	26.67	22.1
