	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.YB5E.1826.SM.5IFI4
C21orf91	151.22	35.25	72.52	122.64	39.79	36.53	65.72	56.68	76.71	9.85	45.85	77.79	65.72	62.56	60.39	94.01	48.18	98.73	127.89	20.56	39.5	72.52	67.12	33.06	51.71	70.51	82.87	100.13	52.08	124.37	38.4	51.35	111.99	48.87	59.55	47.84	96.01	57.49	117.6	135.24	84.04	97.36	98.04	156.59	120.1
CCSER2	532.74	114.36	303.44	476.71	265.87	167.9	295.11	228.13	271.48	80.57	171.45	273.37	142.01	166.73	289.02	384.34	112.77	348.71	279.14	86.43	111.21	264.03	228.13	90.77	201.25	211.31	295.11	283.05	198.47	432.53	121.79	249.73	412.0	305.55	198.47	234.57	180.02	194.36	460.44	460.44	384.34	384.34	395.18	620.67	444.72
CHIC1	132.44	57.49	80.01	121.79	74.58	50.27	71.0	67.12	88.26	31.67	56.28	74.58	70.01	61.68	74.58	128.79	61.25	118.43	103.69	25.17	43.94	92.7	44.25	40.93	63.0	67.59	96.01	120.1	59.55	151.22	50.63	65.72	146.03	85.82	73.03	63.89	89.51	70.51	108.14	94.67	91.41	116.78	92.7	135.24	120.94
CTDSPL2	346.29	87.03	193.01	503.95	135.24	90.77	149.12	138.1	178.77	64.8	136.19	189.02	121.79	148.09	151.22	316.37	148.09	323.03	258.57	87.65	73.03	166.73	122.64	107.38	157.68	133.36	158.79	251.48	118.43	316.37	104.42	177.53	392.44	191.67	148.09	110.43	165.57	92.05	293.07	373.81	194.36	262.2	241.19	332.14	208.38
CTNND1	2777.33	1295.13	2417.67	3491.39	1909.85	1175.27	1896.65	1769.57	1923.14	1233.75	1594.73	2485.67	1467.37	1844.76	2163.77	3168.41	2303.12	2502.97	2417.67	1242.34	1073.91	2400.97	1286.18	1295.13	2209.26	1498.22	2018.8	2335.28	1709.26	2434.5	1529.73	2485.67	2997.45	2485.67	1757.34	1745.2	1950.0	1806.78	1950.0	2468.49	2384.37	2417.67	1991.0	2796.65	2935.74
CWF19L2	208.38	82.87	133.36	262.2	108.9	77.79	115.97	128.79	114.36	94.67	66.65	137.14	84.04	107.38	108.14	189.02	120.1	193.01	170.25	69.52	68.07	112.77	100.83	59.97	80.57	80.01	130.6	141.02	97.36	199.85	72.52	129.69	187.71	112.77	121.79	138.1	135.24	110.43	181.28	186.4	189.02	191.67	209.84	253.23	172.65
DSE	258.57	31.0	105.15	205.5	54.72	40.36	86.43	83.45	151.22	21.16	55.49	75.64	45.53	68.55	73.03	173.85	76.17	141.02	85.22	15.34	51.35	121.79	70.51	42.71	57.49	72.52	129.69	133.36	102.25	167.9	35.5	75.64	162.14	107.38	59.55	38.4	88.88	63.45	205.5	151.22	145.02	158.79	171.45	187.71	141.02
DYRK1A	802.41	267.73	555.41	830.75	460.44	336.79	435.55	432.53	490.14	217.27	400.71	500.46	353.59	414.87	403.5	743.43	500.46	647.07	698.41	127.0	283.05	490.14	295.11	358.54	476.71	480.04	483.38	638.15	387.02	738.29	293.07	490.14	802.41	616.37	447.82	397.93	483.38	412.0	555.41	633.73	555.41	669.92	493.56	836.53	638.15
EIF5	1819.35	684.02	1447.15	2193.99	1242.34	1023.0	896.64	733.19	1781.89	825.0	1199.98	1225.22	915.51	1191.69	1745.2	1508.65	1151.06	1304.15	1832.01	708.18	1037.29	1923.14	981.29	1119.56	1540.37	1605.83	1286.18	1721.16	1295.13	2061.24	785.88	1721.16	2319.15	1498.22	1331.57	921.88	1143.1	1001.93	2061.24	2119.22	1417.35	2061.24	1721.16	2417.67	2061.24
ERCC6L2	511.0	102.97	269.6	629.35	232.94	132.44	181.28	157.68	325.29	82.87	177.53	223.41	159.9	166.73	191.67	483.38	253.23	305.55	353.59	104.42	94.01	262.2	135.24	105.15	234.57	239.52	258.57	368.65	191.67	426.57	103.69	237.86	438.59	346.29	145.02	154.42	249.73	139.07	389.72	435.55	325.29	473.41	265.87	612.11	336.79
FAM217B	121.79	43.63	101.54	131.51	64.8	27.44	133.36	85.22	93.35	29.48	60.39	139.07	92.05	108.9	96.68	86.43	66.18	166.73	154.42	48.18	82.87	121.79	76.17	76.71	79.45	63.0	125.24	195.72	87.65	260.38	58.3	88.88	163.28	98.73	105.15	53.19	111.99	72.01	201.25	191.67	134.3	211.31	170.25	211.31	152.28
FEM1B	470.14	166.73	275.28	507.46	211.31	170.25	287.01	255.0	273.37	170.25	191.67	221.86	169.07	253.23	214.27	301.33	264.03	460.44	426.57	135.24	164.42	299.25	239.52	186.4	265.87	229.72	248.0	371.22	220.32	567.1	183.82	224.97	497.0	318.57	228.13	215.77	277.2	197.09	493.56	409.15	373.81	420.68	339.14	748.61	441.64
FOXO1	264.03	57.49	134.3	226.54	63.89	38.4	181.28	143.01	113.56	61.68	66.65	152.28	89.51	127.89	83.45	180.02	110.43	212.78	223.41	63.0	73.03	116.78	70.51	104.42	82.87	96.68	182.55	199.85	96.01	232.94	68.07	130.6	251.48	181.28	112.77	82.29	151.22	103.69	163.28	173.85	256.78	236.21	186.4	307.69	220.32
GABPA	309.83	94.01	176.29	460.44	129.69	143.01	202.66	171.45	220.32	95.34	157.68	185.11	158.79	158.79	182.55	305.55	165.57	303.44	325.29	82.29	108.9	198.47	144.01	167.9	201.25	186.4	226.54	262.2	120.94	339.14	125.24	176.29	381.68	194.36	201.25	140.04	191.67	115.97	273.37	283.05	212.78	279.14	221.86	412.0	231.32
GALNT4	123.5	33.06	92.7	146.03	68.55	29.48	147.06	67.59	72.01	2.2	68.07	105.15	96.68	73.54	105.15	102.25	55.49	134.3	140.04	4.94	26.67	80.57	22.59	37.59	44.57	100.83	77.79	85.82	56.68	144.01	24.63	76.71	195.72	70.51	43.63	27.44	81.14	57.49	104.42	128.79	68.55	112.77	68.55	139.07	128.79
GAPVD1	406.31	112.77	195.72	423.61	182.55	130.6	172.65	186.4	232.94	73.03	143.01	218.79	151.22	164.42	181.28	256.78	170.25	232.94	256.78	98.04	105.15	258.57	137.14	127.0	215.77	182.55	201.25	279.14	166.73	299.25	117.6	190.34	281.09	212.78	176.29	164.42	204.07	130.6	283.05	291.04	221.86	289.02	231.32	423.61	236.21
GLCE	140.04	66.18	114.36	220.32	80.01	59.13	109.66	97.36	81.71	35.5	102.97	158.79	105.89	89.51	124.37	212.78	95.34	147.06	171.45	40.64	59.55	105.89	99.43	60.82	120.94	109.66	127.89	146.03	99.43	181.28	65.72	101.54	209.84	118.43	92.05	102.25	152.28	89.51	220.32	205.5	164.42	173.85	158.79	273.37	158.79
HELZ	220.32	59.13	111.99	256.78	84.04	65.26	99.43	92.7	133.36	49.21	82.29	127.0	91.41	88.88	102.25	197.09	108.14	128.79	170.25	53.57	50.27	121.79	63.0	60.82	88.26	74.58	108.9	173.85	87.03	205.5	71.0	111.21	191.67	117.6	99.43	97.36	114.36	74.06	132.44	161.02	157.68	167.9	112.77	267.73	176.29
ITCH	529.06	167.9	334.46	603.67	226.54	186.4	275.28	224.97	285.03	137.14	166.73	305.55	118.43	244.57	242.88	454.09	291.04	400.71	438.59	127.89	142.01	339.14	193.01	58.71	281.09	236.21	256.78	532.74	223.41	438.59	155.5	260.38	507.46	441.64	239.52	246.28	295.11	182.55	450.94	529.06	348.71	466.88	323.03	529.06	423.61
JAK1	1159.07	409.15	698.41	1151.06	447.82	387.02	511.0	529.06	693.58	323.03	629.35	679.29	536.45	647.07	620.67	1104.13	567.1	878.17	934.76	211.31	376.41	633.73	387.02	447.82	759.08	733.19	665.29	764.36	497.0	836.53	366.09	543.96	967.76	848.22	447.82	420.68	583.07	480.04	848.22	753.83	748.61	921.88	775.05	1508.65	981.29
KLK3	772940.66	1345768.59	1005860.33	573724.06	1116072.03	535303.41	1212874.47	1163466.92	1116072.03	373305.21	881742.8	1063212.58	1255646.43	1187913.85	1139523.1	619179.28	1100706.72	1327240.99	731246.37	887875.81	1147449.11	925580.18	978355.0	1412675.8	1238359.56	1327240.99	1196176.45	985160.01	869603.57	767601.56	1212874.47	1238359.56	654483.73	1048575.0	1345768.59	721179.07	1472666.19	1229805.58	805764.22	894051.48	1019901.63	794671.01	985160.01	472513.8	565825.41
KPNA5	116.78	42.41	88.88	189.02	67.59	38.4	98.04	72.01	120.94	54.33	43.32	163.28	69.52	71.0	120.94	86.43	67.59	152.28	95.34	23.59	60.82	115.16	89.51	49.56	68.07	86.43	178.77	94.67	61.68	176.29	52.82	120.94	211.31	67.59	111.99	51.35	107.38	49.91	123.5	148.09	148.09	141.02	141.02	177.53	137.14
LATS1	363.56	93.35	191.67	417.77	175.07	116.78	201.25	167.9	198.47	84.04	152.28	246.28	131.51	175.07	170.25	332.14	189.02	289.02	309.83	77.25	90.77	223.41	116.78	130.6	176.29	153.34	195.72	291.04	156.59	371.22	110.43	191.67	346.29	202.66	170.25	77.79	208.38	134.3	237.86	329.84	224.97	301.33	226.54	242.88	229.72
LEPROT	1127.35	497.0	769.69	1191.69	497.0	435.55	616.37	529.06	656.11	343.89	397.93	669.92	503.95	603.67	693.58	1096.5	660.68	1378.57	902.89	279.14	373.81	860.08	595.34	575.03	764.36	647.07	665.29	1081.39	612.11	1295.13	480.04	656.11	1143.1	802.41	490.14	486.75	759.08	607.87	1477.58	1313.23	1044.52	1340.84	1051.79	1769.57	981.29
MAT2B	961.07	466.88	825.0	1059.11	547.75	392.44	825.0	738.29	693.58	332.14	466.88	599.49	587.13	718.08	665.29	981.29	420.68	1073.91	1073.91	273.37	476.71	1059.11	748.61	780.44	579.04	447.82	896.64	808.0	612.11	1313.23	432.53	511.0	1175.27	669.92	591.22	435.55	647.07	638.15	1572.76	1369.04	1037.29	1250.98	1143.1	2061.24	1037.29
MED13	395.18	108.14	193.01	412.0	154.42	123.5	194.36	182.55	202.66	85.82	167.9	223.41	169.07	199.85	205.5	293.07	181.28	309.83	341.51	92.05	100.13	215.77	107.38	117.6	175.07	191.67	190.34	297.17	147.06	376.41	135.24	172.65	366.09	229.72	162.14	158.79	244.57	128.79	236.21	264.03	199.85	271.48	189.02	371.22	329.84
MEF2A	536.45	142.01	339.14	665.29	163.28	156.59	295.11	329.84	400.71	137.14	242.88	208.38	234.57	271.48	262.2	486.75	242.88	473.41	395.18	136.19	148.09	299.25	249.73	199.85	397.93	279.14	381.68	417.77	204.07	642.59	155.5	249.73	521.76	339.14	255.0	228.13	258.57	262.2	457.25	441.64	497.0	500.46	473.41	718.08	463.65
METAP1	954.43	299.25	791.35	1167.14	780.44	616.37	808.0	599.49	967.76	460.44	1008.9	825.0	738.29	866.07	934.76	1081.39	583.07	1088.92	808.0	441.64	616.37	995.0	759.08	532.74	679.29	656.11	1066.48	1037.29	748.61	1001.93	514.56	1015.93	1127.35	1001.93	802.41	642.59	785.88	934.76	1127.35	1096.5	1037.29	974.5	1066.48	1259.69	1286.18
MTO1	403.5	151.22	329.84	476.71	231.32	163.28	277.2	255.0	368.65	206.94	118.43	260.38	208.38	248.0	299.25	307.69	236.21	336.79	361.04	255.0	297.17	351.14	293.07	209.84	325.29	329.84	389.72	299.25	171.45	423.61	185.11	291.04	511.0	303.44	305.55	132.44	309.83	248.0	470.14	447.82	429.54	389.72	389.72	432.53	363.56
MTX3	153.34	15.34	62.56	166.73	52.45	10.63	37.59	31.0	88.88	7.4	53.57	89.51	34.02	38.12	66.65	157.68	36.53	96.01	116.78	11.47	15.22	82.87	16.03	6.62	48.18	40.93	45.85	135.24	47.17	142.01	15.45	72.52	149.12	76.71	33.3	17.51	51.71	27.84	94.01	193.01	98.73	120.1	92.05	211.31	165.57
MYO9A	264.03	45.21	129.69	297.17	75.11	57.08	105.15	87.65	134.3	37.59	100.83	135.24	88.88	97.36	108.9	221.86	108.9	155.5	208.38	57.49	56.28	145.02	67.59	59.97	103.69	87.65	128.79	211.31	109.66	253.23	60.82	128.79	260.38	143.01	70.51	120.94	120.94	66.65	194.36	193.01	177.53	211.31	176.29	277.2	157.68
NAPG	575.03	285.03	373.81	536.45	476.71	334.46	327.56	368.65	358.54	218.79	265.87	376.41	460.44	262.2	432.53	466.88	361.04	620.67	420.68	108.9	211.31	595.34	218.79	301.33	389.72	454.09	403.5	503.95	239.52	616.37	211.31	346.29	476.71	384.34	423.61	420.68	435.55	267.73	483.38	529.06	441.64	525.39	521.76	476.71	567.1
NF1	395.18	109.66	244.57	417.77	165.57	134.3	170.25	182.55	224.97	100.83	172.65	231.32	127.0	177.53	172.65	381.68	163.28	253.23	320.8	96.01	87.03	228.13	115.16	133.36	206.94	185.11	187.71	320.8	175.07	351.14	127.0	177.53	341.51	248.0	191.67	167.9	217.27	153.34	262.2	327.56	260.38	301.33	215.77	348.71	287.01
NFAT5	269.6	21.47	95.34	371.22	81.71	18.84	78.34	71.0	103.69	22.1	74.58	132.44	63.89	70.51	104.42	193.01	83.45	127.89	171.45	7.46	13.22	108.14	35.5	23.08	57.08	55.1	96.68	165.57	79.45	197.09	20.26	91.41	237.86	85.82	49.21	35.25	94.01	42.11	135.24	156.59	135.24	153.34	119.26	356.05	204.07
NPAT	166.73	54.72	96.68	223.41	94.01	43.94	96.01	89.51	108.14	43.63	74.06	90.14	64.8	84.63	72.01	134.3	87.65	137.14	119.26	54.33	47.5	102.25	55.89	28.45	66.18	66.65	93.35	127.89	67.12	137.14	42.41	92.05	164.42	80.57	57.89	54.72	85.82	54.33	120.1	149.12	123.5	141.02	120.1	183.82	152.28
OTUD4	299.25	61.25	169.07	361.04	115.16	81.71	154.42	134.3	195.72	68.55	117.6	182.55	126.12	125.24	149.12	273.37	148.09	231.32	303.44	77.79	84.04	186.4	105.15	72.52	138.1	108.14	175.07	255.0	141.02	325.29	85.82	180.02	371.22	154.42	157.68	111.21	175.07	92.7	255.0	239.52	221.86	262.2	172.65	351.14	206.94
PBRM1	633.73	135.24	334.46	607.87	221.86	152.28	221.86	218.79	343.89	151.22	221.86	327.56	178.77	260.38	258.57	435.55	346.29	423.61	483.38	120.94	133.36	293.07	157.68	201.25	269.6	212.78	218.79	435.55	228.13	529.06	140.04	299.25	591.22	314.17	241.19	220.32	277.2	176.29	381.68	486.75	316.37	470.14	297.17	551.56	490.14
PEX19	1322.37	915.51	1199.98	1295.13	1151.06	769.69	1096.5	791.35	1044.52	860.08	748.61	1340.84	780.44	1081.39	1088.92	1437.15	1127.35	1359.57	1529.73	638.15	825.0	1175.27	665.29	1008.9	1143.1	941.27	921.88	1242.34	872.1	1467.37	819.3	1175.27	1322.37	1277.29	748.61	1159.07	1233.75	921.88	1628.26	1794.29	1340.84	1583.71	1378.57	1806.78	1208.34
PHF3	656.11	166.73	463.65	813.63	305.55	217.27	356.05	332.14	371.22	175.07	253.23	395.18	242.88	329.84	353.59	567.1	348.71	441.64	476.71	171.45	159.9	397.93	289.02	265.87	358.54	323.03	376.41	486.75	323.03	555.41	226.54	343.89	642.59	420.68	334.46	258.57	395.18	255.0	397.93	521.76	493.56	507.46	438.59	583.07	384.34
PHIP	343.89	54.33	145.02	476.71	106.63	37.85	115.16	106.63	183.82	58.3	81.14	169.07	99.43	121.79	177.53	211.31	152.28	231.32	244.57	83.45	75.64	166.73	79.45	67.12	125.24	130.6	146.03	217.27	99.43	320.8	65.26	167.9	334.46	172.65	130.6	75.11	115.97	90.77	183.82	217.27	197.09	234.57	178.77	279.14	202.66
PIAS1	878.17	180.02	363.56	802.41	267.73	163.28	356.05	226.54	336.79	149.12	195.72	368.65	329.84	371.22	353.59	674.59	332.14	521.76	616.37	129.69	194.36	353.59	265.87	264.03	316.37	209.84	312.0	514.56	287.01	633.73	228.13	371.22	703.28	381.68	208.38	237.86	384.34	224.97	624.99	728.11	480.04	571.05	536.45	813.63	432.53
PIK3C2A	684.02	115.97	314.17	718.08	215.77	170.25	260.38	206.94	358.54	111.99	212.78	279.14	220.32	204.07	305.55	457.25	309.83	400.71	400.71	94.01	111.21	343.89	178.77	120.1	309.83	260.38	264.03	457.25	208.38	559.28	134.3	303.44	599.49	332.14	236.21	214.27	314.17	166.73	497.0	536.45	387.02	500.46	366.09	669.92	460.44
POC1B	224.97	97.36	143.01	287.01	139.07	81.14	126.12	127.0	144.01	52.08	161.02	124.37	237.86	120.94	176.29	223.41	78.89	226.54	234.57	70.51	104.42	146.03	151.22	90.14	121.79	149.12	146.03	186.4	108.9	202.66	102.25	151.22	231.32	138.1	105.15	106.63	101.54	119.26	255.0	167.9	176.29	162.14	177.53	241.19	155.5
PRKAB2	248.0	102.25	127.89	242.88	142.01	67.59	97.36	89.51	237.86	61.68	113.56	191.67	112.77	109.66	175.07	190.34	65.26	186.4	205.5	79.45	106.63	150.17	138.1	102.97	149.12	122.64	133.36	251.48	158.79	229.72	80.01	187.71	229.72	187.71	108.9	101.54	101.54	131.51	229.72	220.32	195.72	177.53	186.4	295.11	234.57
PUM2	1322.37	460.44	848.22	1685.71	743.43	476.71	733.19	808.0	928.3	457.25	759.08	848.22	684.02	808.0	830.75	1208.34	802.41	1143.1	1208.34	457.25	503.95	921.88	612.11	612.11	775.05	674.59	769.69	1397.83	738.29	1331.57	555.41	825.0	1427.22	981.29	825.0	624.99	791.35	651.58	1167.14	1159.07	1030.12	1183.45	941.27	1844.76	934.76
RAB11FIP2	255.0	52.82	103.69	249.73	79.45	80.01	108.14	93.35	187.71	46.84	72.01	112.77	85.82	90.14	106.63	195.72	76.17	212.78	209.84	45.21	68.07	123.5	73.54	56.68	117.6	108.9	142.01	185.11	87.65	285.03	66.65	101.54	237.86	132.44	88.26	79.45	110.43	81.14	177.53	150.17	162.14	167.9	152.28	283.05	228.13
RBFOX2	934.76	387.02	607.87	753.83	361.04	387.02	473.41	536.45	688.78	239.52	403.5	543.96	466.88	529.06	447.82	854.13	547.75	679.29	660.68	323.03	406.31	503.95	412.0	271.48	595.34	656.11	587.13	624.99	438.59	708.18	343.89	543.96	780.44	525.39	525.39	444.72	397.93	454.09	753.83	660.68	842.36	759.08	775.05	1143.1	813.63
RNF38	473.41	181.28	323.03	480.04	255.0	169.07	309.83	258.57	346.29	96.01	248.0	267.73	231.32	283.05	277.2	414.87	253.23	450.94	466.88	105.15	155.5	301.33	182.55	185.11	244.57	262.2	291.04	460.44	234.57	555.41	175.07	258.57	473.41	301.33	177.53	191.67	262.2	201.25	341.51	444.72	361.04	460.44	363.56	547.75	316.37
SCYL2	612.11	153.34	363.56	802.41	281.09	249.73	299.25	287.01	438.59	108.14	260.38	348.71	466.88	299.25	327.56	540.19	277.2	547.75	559.28	131.51	220.32	336.79	217.27	277.2	358.54	414.87	356.05	460.44	237.86	620.67	186.4	366.09	651.58	473.41	299.25	307.69	400.71	229.72	587.13	518.15	373.81	532.74	397.93	647.07	728.11
SEPSECS	137.14	60.82	84.04	181.28	69.52	36.79	62.56	48.18	101.54	37.05	46.84	84.63	85.82	66.65	103.69	136.19	59.97	110.43	136.19	26.28	56.28	111.21	73.03	60.82	60.82	55.49	97.36	120.1	77.79	115.97	53.19	108.9	138.1	85.22	85.22	27.05	77.79	72.52	137.14	141.02	105.89	110.43	132.44	161.02	102.97
SMAD1	312.0	98.73	309.83	318.57	141.02	94.67	147.06	132.44	206.94	53.95	155.5	293.07	139.07	202.66	189.02	351.14	195.72	239.52	291.04	76.71	81.71	237.86	112.77	96.68	265.87	190.34	157.68	279.14	152.28	287.01	96.68	220.32	277.2	224.97	182.55	132.44	178.77	128.79	353.59	323.03	249.73	327.56	269.6	309.83	295.11
SMNDC1	423.61	153.34	379.04	532.74	264.03	234.57	299.25	273.37	353.59	205.5	234.57	285.03	218.79	307.69	258.57	466.88	327.56	409.15	353.59	186.4	204.07	301.33	249.73	195.72	320.8	318.57	327.56	303.44	228.13	409.15	214.27	329.84	447.82	329.84	258.57	309.83	281.09	293.07	406.31	406.31	325.29	346.29	397.93	507.46	429.54
