	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.144GM.1326.SM.5LU5E	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
DNAJC18	46.84	363.56	163.28	281.09	182.55	156.59	220.32	269.6	688.78	325.29	457.25	234.57	348.71	301.33	387.02	255.0	297.17	23.25	13.32	47.84	53.57	10.55	56.68	16.39	0.0	0.26
DPF2	204.07	842.36	612.11	665.29	480.04	1175.27	1111.82	921.88	830.75	866.07	723.08	698.41	921.88	684.02	860.08	896.64	633.73	242.88	277.2	231.32	148.09	100.83	241.19	212.78	0.0	0.59
DPY30	1059.11	1540.37	2018.8	1407.55	1950.0	2119.22	2758.13	2240.11	1561.89	2468.49	3018.3	1697.45	2645.74	2061.24	1733.13	2047.0	1936.53	1015.93	1104.13	896.64	1111.82	1369.04	1427.22	769.69	0.0	0.43
DUSP28	37.32	80.01	113.56	111.21	150.17	88.88	127.89	114.36	86.43	116.78	114.36	73.54	139.07	101.54	76.71	81.71	96.01	66.65	38.12	55.89	17.25	67.59	76.71	48.52	0.0	0.24
DZIP1	15.22	466.88	199.85	271.48	232.94	595.34	607.87	514.56	563.18	473.41	1096.5	514.56	791.35	387.02	612.11	500.46	426.57	19.97	14.14	23.08	1.19	2.03	7.34	62.12	0.0	0.64
EID2B	6.31	46.84	38.67	31.67	31.22	81.14	64.34	52.45	81.71	59.97	59.55	27.84	61.25	63.45	51.35	49.56	35.5	7.0	2.76	8.32	1.91	2.86	6.84	12.74	0.0	0.31
ENDOV	220.32	343.89	265.87	208.38	303.44	450.94	579.04	426.57	346.29	466.88	323.03	420.68	624.99	532.74	305.55	249.73	220.32	231.32	204.07	232.94	151.22	177.53	165.57	182.55	0.0	0.66
FAM110A	42.11	265.87	202.66	275.28	205.5	303.44	373.81	267.73	249.73	318.57	249.73	186.4	363.56	417.77	208.38	244.57	231.32	41.22	18.97	86.43	32.13	10.08	63.0	27.84	0.0	0.52
FSIP1	1.04	15.0	22.43	15.22	4.66	19.25	18.84	8.85	16.27	16.15	25.17	11.3	34.51	6.26	10.88	9.41	12.93	4.5	1.55	1.71	0.0	2.48	1.64	0.91	0.0	0.0
GAL3ST1	68.07	884.29	5872.48	3768.09	3847.29	7032.37	9540.5	7642.41	2682.69	5147.73	4607.24	8538.88	6294.04	3372.43	1883.54	2502.97	4903.87	26.67	29.91	28.65	57.49	24.99	20.71	77.79	0.0	0.28
GEMIN6	181.28	291.04	327.56	299.25	224.97	363.56	343.89	329.84	368.65	400.71	507.46	271.48	532.74	400.71	234.57	307.69	258.57	198.47	187.71	205.5	105.15	195.72	183.82	116.78	0.0	0.0
HSPB11	429.54	575.03	587.13	426.57	336.79	872.1	1159.07	934.76	607.87	854.13	836.53	669.92	848.22	525.39	698.41	595.34	503.95	403.5	277.2	420.68	260.38	389.72	435.55	289.02	0.0	0.44
ITGB3BP	102.97	525.39	447.82	316.37	269.6	693.58	796.86	583.07	332.14	728.11	825.0	420.68	915.51	400.71	915.51	432.53	314.17	148.09	121.79	69.52	53.19	193.01	211.31	129.69	0.0	0.09
KIAA1549L	0.55	3.76	4.58	7.0	1.07	1.07	2.18	1.93	31.9	3.38	11.38	1.46	9.34	1.35	3.11	0.75	1.1	0.56	1.03	0.6	0.0	0.0	0.0	1.2	0.0	0.27
KLC2	66.65	241.19	202.66	129.69	161.02	368.65	366.09	295.11	185.11	309.83	256.78	293.07	341.51	236.21	198.47	173.85	217.27	94.01	68.55	95.34	142.01	47.84	111.21	77.79	0.0	0.87
LIN37	170.25	211.31	181.28	195.72	191.67	607.87	414.87	387.02	281.09	426.57	316.37	229.72	303.44	348.71	346.29	201.25	218.79	152.28	201.25	126.12	114.36	125.24	145.02	187.71	0.0	0.56
MORC2	320.8	507.46	371.22	251.48	301.33	660.68	547.75	521.76	426.57	633.73	674.59	363.56	551.56	708.18	559.28	366.09	397.93	228.13	301.33	332.14	361.04	229.72	249.73	366.09	0.0	0.82
MRPS6	974.5	2997.45	1467.37	1096.5	1487.87	4298.64	4210.15	6561.36	1583.71	1745.2	6652.97	1806.78	4836.35	1159.07	3955.48	2816.11	1417.35	1073.91	1225.22	872.1	647.07	693.58	612.11	902.89	0.0	0.57
MTX2	511.0	791.35	819.3	674.59	718.08	813.63	1001.93	890.44	748.61	830.75	878.17	921.88	967.76	723.08	830.75	848.22	791.35	409.15	389.72	497.0	228.13	490.14	486.75	336.79	0.0	0.0
MYPOP	33.78	108.9	82.87	49.91	103.69	156.59	170.25	111.99	81.14	113.56	110.43	103.69	133.36	120.94	81.71	91.41	92.7	42.71	48.18	43.02	60.82	47.84	75.11	37.59	0.0	0.46
NRM	133.36	466.88	460.44	698.41	314.17	603.67	679.29	743.43	497.0	872.1	497.0	507.46	748.61	540.19	406.31	457.25	665.29	93.35	94.01	77.25	94.67	14.89	115.16	92.05	0.0	0.83
PDE6D	198.47	620.67	476.71	409.15	470.14	651.58	633.73	629.35	575.03	620.67	497.0	529.06	728.11	555.41	435.55	514.56	571.05	205.5	154.42	218.79	191.67	231.32	256.78	157.68	0.0	0.56
PIGC	305.55	693.58	607.87	571.05	595.34	791.35	708.18	896.64	791.35	759.08	660.68	679.29	813.63	679.29	967.76	665.29	559.28	273.37	242.88	255.0	169.07	314.17	476.71	99.43	0.0	0.02
POU2F1	20.11	69.52	80.57	82.29	74.58	108.9	104.42	130.6	92.05	130.6	111.21	93.35	123.5	62.56	102.97	81.71	128.79	36.53	21.16	22.26	19.39	28.86	33.78	25.35	42.71	57.49
PYGO2	242.88	395.18	371.22	323.03	316.37	525.39	426.57	429.54	334.46	409.15	379.04	366.09	454.09	400.71	395.18	384.34	307.69	189.02	190.34	198.47	189.02	171.45	159.9	125.24	0.0	0.67
RBM34	616.37	1417.35	1397.83	825.0	866.07	1745.2	1628.26	1487.87	1331.57	2163.77	1540.37	1044.52	1950.0	1277.29	1721.16	1008.9	1233.75	607.87	612.11	780.44	860.08	277.2	525.39	748.61	0.0	0.77
SCNM1	260.38	995.0	1159.07	866.07	575.03	1359.57	1259.69	1242.34	791.35	1313.23	995.0	813.63	1286.18	1457.23	1225.22	872.1	728.11	414.87	318.57	361.04	211.31	119.26	599.49	212.78	0.0	0.49
SF3B14	1594.73	2148.82	2224.63	2777.33	2468.49	3018.3	2502.97	2627.46	3124.78	3303.0	2758.13	2104.58	3515.68	2133.97	3018.3	2664.15	2351.53	1583.71	1447.15	1685.71	2133.97	1896.65	2090.03	1259.69	0.0	0.92
SIRT6	180.02	389.72	384.34	232.94	325.29	551.56	674.59	348.71	395.18	460.44	358.54	303.44	460.44	551.56	291.04	262.2	281.09	199.85	208.38	255.0	303.44	74.58	209.84	211.31	0.0	0.71
SLC5A3	52.08	429.54	206.94	171.45	208.38	718.08	454.09	974.5	125.24	150.17	1295.13	218.79	497.0	130.6	246.28	395.18	134.3	59.97	65.26	74.58	19.82	7.4	17.0	25.91	0.0	0.14
SSB	941.27	1651.0	1561.89	1331.57	1030.12	1950.0	1769.57	1769.57	2209.26	1870.53	1540.37	1605.83	1832.01	1378.57	2193.99	1487.87	1781.89	954.43	830.75	1096.5	1233.75	423.61	830.75	567.1	0.0	0.83
SULT4A1	1.58	50.98	3.59	7.69	1.51	21.32	3.41	33.54	34.02	72.52	47.84	8.32	48.87	39.22	0.44	21.63	10.71	3.96	1.58	1.06	3.79	0.08	2.76	7.22	0.0	0.52
TGFBI	2758.13	343510.77	419990.32	338781.54	186652.11	267651.2	248002.34	419990.32	411347.03	174152.51	186652.11	275175.93	63742.91	258533.99	391864.76	294926.33	174152.51	2758.13	2193.99	3540.14	10512.82	2075.59	4419.52	13306.94	0.0	0.83
TMEM126A	718.08	769.69	1001.93	688.78	518.15	1427.22	1111.82	896.64	693.58	1104.13	961.07	780.44	1143.1	921.88	947.83	1159.07	665.29	703.28	703.28	718.08	842.36	514.56	884.29	555.41	0.0	0.4
VPS11	260.38	1199.98	988.12	921.88	830.75	1487.87	1059.11	1111.82	1044.52	1508.65	1127.35	909.17	1519.15	1697.45	902.89	1001.93	848.22	343.89	223.41	343.89	262.2	262.2	389.72	358.54	0.0	0.35
ZMAT5	423.61	500.46	708.18	718.08	457.25	928.3	819.3	813.63	441.64	825.0	616.37	647.07	941.27	575.03	629.35	656.11	486.75	332.14	361.04	307.69	167.9	293.07	426.57	423.61	0.0	0.08
ZNF287	7.34	111.99	32.82	72.01	59.55	147.06	110.43	177.53	158.79	119.26	111.99	94.01	156.59	77.79	49.91	69.03	47.84	11.91	2.25	13.72	5.06	4.43	22.92	0.78	0.0	0.0
