	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.69.8255.01A.11R.2287.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.60.2709.01A.21R.1820.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.90.7964.01A.21R.2187.07	TCGA.66.2737.01A.01R.0980.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8570.01A.11R.2343.13
ATXN7L3	738.29	748.61	620.67	633.73	447.82	412.0	559.28	470.14	211.31	796.86	414.87	400.71	738.29	708.18	651.58	981.29	450.94	397.93	638.15	327.56	660.68	466.88	293.07	450.94	217.27	376.41	348.71	237.86	361.04	329.84	363.56	239.52	281.09	312.0	1066.48	1135.2	733.19	909.17	1477.58	890.44	1001.93	532.74	780.44	785.88	1183.45	796.86	1259.69	808.0	1001.93	587.13	1437.15	1044.52
BAZ2A	665.29	579.04	490.14	395.18	320.8	251.48	540.19	223.41	318.57	341.51	167.9	232.94	785.88	429.54	363.56	279.14	348.71	177.53	228.13	183.82	305.55	295.11	95.34	309.83	285.03	132.44	343.89	114.36	126.12	358.54	96.01	262.2	161.02	236.21	830.75	995.0	748.61	708.18	791.35	371.22	1487.87	341.51	454.09	470.14	819.3	1119.56	718.08	642.59	830.75	441.64	1322.37	698.41
BTC	38.12	12.09	38.12	15.68	23.93	12.09	28.24	6.31	1.91	31.22	18.7	14.56	32.36	0.91	22.43	2.12	6.78	11.04	6.26	10.08	0.54	11.21	3.47	9.56	13.72	10.47	3.79	6.06	46.84	43.63	4.94	21.32	0.01	14.78	84.63	231.32	59.97	62.12	363.56	88.88	148.09	140.04	63.45	16.15	108.14	68.07	99.43	30.78	71.0	138.1	37.32	17.0
BUB1B	113.56	251.48	28.24	25.35	37.59	67.12	128.79	80.01	79.45	46.5	50.27	38.95	133.36	39.5	115.16	65.26	9.7	50.98	29.06	92.05	18.7	29.7	8.13	7.82	15.91	0.89	75.11	2.03	0.39	43.02	0.8	24.11	4.03	8.71	264.03	532.74	62.56	206.94	414.87	307.69	327.56	30.56	90.14	127.89	312.0	669.92	262.2	281.09	420.68	76.17	660.68	191.67
C12orf79	17.38	9.56	12.83	27.64	9.78	3.59	2.34	2.34	1.19	1.27	2.97	4.7	55.1	4.82	10.0	6.46	1.1	5.92	1.13	6.01	2.18	7.34	0.73	4.86	8.25	10.96	4.39	6.84	4.62	0.0	1.97	8.32	13.12	0.22	16.88	105.89	16.51	57.49	66.18	2.63	13.03	23.25	7.51	14.14	38.12	22.43	12.83	31.0	27.25	40.36	21.78	6.06
C16orf89	106.63	273.37	13.52	540.19	3.59	17.64	21.32	3.47	3.41	5.11	3.32	5.68	6.31	1.75	9.34	4.7	3.53	17.38	8.06	6.16	33.06	14.56	14.89	1.62	46.18	12.36	8.92	4.31	24.63	5.77	1.08	40.36	0.03	4.82	563.18	218.79	2645.74	20.41	63.0	1250.98	1733.13	3982.99	6840.04	12076.21	633.73	2573.36	738.29	109.66	6.06	2739.08	232.94	18.56
C18orf54	41.52	83.45	17.13	15.34	7.22	8.71	14.03	6.89	2.71	5.63	7.06	3.5	25.17	3.66	9.93	7.69	2.48	4.1	3.72	8.65	8.13	10.55	1.03	1.5	0.18	0.75	11.64	2.18	4.7	5.92	3.2	4.58	1.77	4.17	47.17	18.29	29.7	47.17	71.5	156.59	29.48	17.51	42.41	18.43	41.52	58.71	37.59	58.3	28.45	21.01	118.43	25.91
C2CD5	343.89	429.54	353.59	293.07	189.02	170.25	305.55	98.04	57.49	346.29	125.24	98.73	353.59	217.27	194.36	229.72	88.88	119.26	127.0	50.98	162.14	189.02	57.89	131.51	90.14	97.36	173.85	107.38	56.28	130.6	98.04	145.02	111.99	120.94	376.41	1135.2	395.18	171.45	379.04	198.47	555.41	262.2	309.83	329.84	403.5	480.04	228.13	332.14	312.0	287.01	483.38	400.71
C2ORF15	43.02	48.52	57.49	14.03	9.7	6.36	20.56	6.36	2.23	30.12	3.5	2.39	23.42	14.24	2.97	23.25	14.78	2.27	2.53	3.29	1.89	3.26	4.78	43.32	44.89	7.11	24.46	9.06	4.94	38.12	1.19	21.01	5.5	2.34	61.68	124.37	40.64	152.28	118.43	150.17	103.69	47.17	33.06	29.7	45.21	78.89	55.89	18.7	60.82	65.72	77.79	59.55
C4orf26	1.19	8.25	8.85	0.0	2.32	0.0	0.0	1.95	0.0	0.0	2.66	0.0	0.6	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.0	1.17	0.0	0.92	0.0	0.0	0.0	0.0	0.0	2.66	10.0	2.66	9.34	2.51	0.0	5.68	0.0	1.16	0.05	4.9	4.17	3.47	7.4	1.97	0.0	0.26	2.46
CAD	529.06	633.73	525.39	684.02	507.46	193.01	743.43	738.29	435.55	684.02	466.88	314.17	532.74	486.75	540.19	476.71	249.73	409.15	460.44	392.44	1519.15	255.0	156.59	529.06	226.54	130.6	209.84	148.09	199.85	309.83	164.42	165.57	218.79	182.55	813.63	2796.65	500.46	620.67	1151.06	612.11	848.22	234.57	780.44	819.3	878.17	543.96	1023.0	674.59	612.11	318.57	2997.45	1030.12
CASP2	463.65	341.51	265.87	205.5	206.94	118.43	223.41	144.01	128.79	144.01	127.89	72.52	226.54	164.42	169.07	90.77	96.01	133.36	94.01	125.24	173.85	146.03	57.49	37.05	53.95	64.8	220.32	37.85	36.01	103.69	35.25	72.52	56.28	66.65	341.51	309.83	307.69	215.77	921.88	291.04	432.53	172.65	265.87	260.38	511.0	660.68	647.07	514.56	460.44	201.25	511.0	599.49
CCDC104	808.0	961.07	759.08	660.68	264.03	229.72	476.71	204.07	91.41	256.78	258.57	325.29	441.64	264.03	215.77	559.28	279.14	208.38	234.57	224.97	529.06	429.54	47.84	253.23	170.25	212.78	665.29	249.73	228.13	356.05	152.28	215.77	607.87	450.94	902.89	1268.46	753.83	1407.55	591.22	764.36	651.58	1199.98	791.35	551.56	896.64	1199.98	532.74	896.64	1096.5	1151.06	624.99	638.15
CCDC74B	14.67	57.49	129.69	151.22	3.32	5.06	4.46	1.6	4.5	1.89	0.0	1.58	8.65	3.82	10.39	1.62	1.62	10.88	0.0	2.66	1.51	2.32	6.73	0.0	2.41	1.48	39.79	0.0	2.86	4.03	0.75	1.71	3.66	10.96	76.17	57.49	5.06	204.07	22.1	5.02	65.72	23.59	5.54	132.44	51.71	126.12	23.59	137.14	48.52	64.34	117.6	11.55
CDCA4	420.68	264.03	125.24	206.94	131.51	69.52	82.29	122.64	87.65	129.69	154.42	77.79	142.01	169.07	96.01	104.42	32.13	46.84	67.12	117.6	131.51	80.57	22.26	47.5	19.82	33.78	144.01	22.92	24.81	91.41	22.92	32.59	28.24	30.12	231.32	285.03	162.14	514.56	624.99	406.31	529.06	181.28	366.09	336.79	376.41	381.68	511.0	688.78	316.37	198.47	267.73	275.28
CDK16	1561.89	1487.87	1313.23	1709.26	872.1	1304.15	1417.35	1277.29	733.19	1023.0	1277.29	1268.46	738.29	1023.0	1143.1	1199.98	1225.22	723.08	830.75	1135.2	1066.48	1561.89	409.15	669.92	909.17	466.88	1111.82	363.56	486.75	555.41	638.15	246.28	665.29	332.14	2061.24	6121.9	1477.58	2739.08	2367.9	1991.0	3212.66	1073.91	1233.75	1561.89	2720.15	2163.77	2061.24	2645.74	1923.14	1015.93	2591.27	1844.76
CDK2	595.34	708.18	384.34	281.09	358.54	309.83	400.71	237.86	497.0	381.68	241.19	159.9	525.39	314.17	356.05	356.05	237.86	242.88	246.28	170.25	432.53	248.0	251.48	140.04	332.14	178.77	647.07	211.31	224.97	336.79	129.69	205.5	371.22	320.8	759.08	1427.22	426.57	1662.49	1519.15	363.56	1583.71	426.57	403.5	575.03	1051.79	1540.37	575.03	954.43	1015.93	612.11	1844.76	791.35
CDYL2	111.21	71.5	38.4	50.63	26.67	19.25	41.81	10.47	27.84	6.21	20.71	38.4	45.85	17.64	22.43	4.43	19.53	31.0	14.56	15.68	38.12	42.71	18.43	24.81	50.98	10.55	11.82	8.85	17.25	51.71	38.67	17.0	27.84	45.21	80.01	155.5	52.08	38.67	42.11	171.45	46.18	37.59	92.7	90.77	56.28	61.25	25.72	73.54	73.03	36.01	113.56	69.03
CELSR3	32.36	23.08	58.3	8.65	55.1	87.03	38.12	55.49	22.92	63.89	10.24	29.7	97.36	82.29	26.67	25.72	16.39	9.63	16.39	4.35	145.02	19.82	4.86	1.89	4.43	3.0	24.46	4.03	22.43	4.46	3.56	0.16	6.84	0.27	58.3	329.84	24.63	89.51	104.42	108.14	76.17	5.5	26.1	20.11	18.97	78.89	37.32	22.26	38.4	17.38	423.61	131.51
CENPO	320.8	323.03	140.04	97.36	93.35	58.71	186.4	127.89	98.73	81.71	77.25	145.02	142.01	101.54	113.56	214.27	68.07	58.3	80.57	217.27	54.33	57.89	55.1	48.87	15.45	48.18	70.51	262.2	49.91	88.26	50.27	42.41	44.89	142.01	232.94	500.46	150.17	312.0	244.57	155.5	260.38	115.16	299.25	267.73	334.46	348.71	128.79	262.2	384.34	145.02	693.58	283.05
CEP152	36.27	52.45	17.9	20.41	12.27	15.91	18.03	11.82	11.64	12.0	13.72	8.0	28.24	20.56	18.56	14.67	10.63	14.03	8.0	8.38	11.47	14.14	17.9	4.06	4.31	7.94	56.28	8.85	3.08	10.08	5.73	13.03	6.01	5.54	51.35	87.65	41.22	21.47	66.65	44.89	62.56	14.67	44.57	48.87	56.68	102.97	35.25	62.56	93.35	32.59	126.12	99.43
CEP164	265.87	316.37	228.13	178.77	181.28	155.5	264.03	107.38	96.68	255.0	120.1	110.43	187.71	208.38	126.12	253.23	118.43	138.1	110.43	149.12	182.55	171.45	60.82	96.01	67.59	151.22	124.37	140.04	97.36	90.77	73.03	87.03	109.66	55.49	253.23	392.44	435.55	119.26	376.41	206.94	186.4	105.15	303.44	341.51	249.73	320.8	314.17	341.51	236.21	206.94	507.46	356.05
CEP192	228.13	258.57	211.31	178.77	145.02	126.12	209.84	92.05	90.14	150.17	105.15	88.26	248.0	118.43	175.07	185.11	63.89	92.05	82.29	72.52	86.43	133.36	49.21	120.1	79.45	130.6	198.47	50.63	96.68	99.43	103.69	127.89	35.25	84.63	316.37	358.54	334.46	193.01	429.54	232.94	348.71	155.5	191.67	205.5	264.03	387.02	249.73	226.54	255.0	182.55	669.92	246.28
CIT	50.63	124.37	110.43	68.55	18.29	25.72	44.89	10.96	74.06	17.13	17.51	8.78	94.67	17.38	58.3	40.93	68.07	15.45	12.64	32.36	7.06	19.11	3.06	10.88	44.57	7.63	86.43	55.1	40.93	54.33	15.56	45.85	34.02	31.67	229.72	232.94	166.73	133.36	242.88	122.64	400.71	201.25	218.79	412.0	204.07	551.56	137.14	95.34	170.25	86.43	493.56	220.32
CNKSR1	273.37	161.02	14.03	55.1	5.96	7.28	8.99	9.41	67.12	1.66	2.56	4.62	68.55	3.96	3.47	0.97	5.63	2.71	7.17	2.73	2.71	10.39	63.89	25.35	21.32	12.0	16.51	1.36	43.02	4.58	2.63	2.68	18.43	6.46	447.82	400.71	543.96	395.18	414.87	444.72	486.75	145.02	361.04	420.68	297.17	500.46	1104.13	199.85	239.52	327.56	1088.92	155.5
CXorf24	44.57	49.91	40.36	30.78	15.68	11.64	10.96	8.58	7.88	23.08	22.75	8.06	36.01	11.64	6.16	11.13	19.68	13.03	6.57	2.46	18.03	22.1	13.72	15.34	8.0	24.63	28.45	20.11	29.91	13.93	16.39	23.76	21.63	20.26	44.25	166.73	38.4	53.95	129.69	24.46	44.57	34.02	63.89	18.7	74.06	91.41	44.57	70.01	53.57	30.34	49.56	41.81
DBR1	253.23	271.48	208.38	199.85	108.9	100.13	127.89	141.02	98.73	152.28	100.83	99.43	197.09	129.69	130.6	110.43	153.34	107.38	81.71	118.43	163.28	120.94	66.18	82.29	67.59	94.67	197.09	67.12	59.97	107.38	77.25	101.54	80.57	70.51	224.97	334.46	204.07	379.04	412.0	307.69	384.34	234.57	285.03	248.0	325.29	339.14	177.53	723.08	255.0	198.47	269.6	518.15
DDN	1.53	2.23	0.74	0.42	0.0	0.0	4.46	0.61	1.64	0.71	1.6	0.6	7.17	0.0	0.0	0.62	0.0	0.0	1.1	3.23	0.58	0.69	0.0	0.09	2.01	0.18	0.0	0.13	0.1	0.39	0.12	1.87	0.0	0.1	4.24	53.19	1.68	1.83	10.55	2.63	1.87	0.65	54.33	1.87	12.55	5.36	1.13	5.87	1.87	1.83	77.25	2.01
DDX23	1242.34	1417.35	1183.45	1037.29	1023.0	713.11	1208.34	698.41	842.36	896.64	723.08	743.43	1295.13	1088.92	819.3	947.83	738.29	703.28	878.17	723.08	1001.93	748.61	633.73	947.83	753.83	656.11	718.08	579.04	529.06	759.08	518.15	733.19	507.46	693.58	1781.89	2032.85	1359.57	2061.24	1896.65	1594.73	2163.77	878.17	1561.89	1268.46	1304.15	1857.6	1259.69	1216.75	1437.15	1081.39	2573.36	1397.83
DHX15	1617.0	1651.0	954.43	928.3	728.11	599.49	1199.98	974.5	1088.92	825.0	921.88	866.07	1286.18	1111.82	902.89	500.46	1183.45	738.29	713.11	1023.0	884.29	878.17	406.31	759.08	909.17	392.44	775.05	379.04	463.65	633.73	708.18	441.64	532.74	595.34	1529.73	2367.9	1331.57	2319.15	1407.55	890.44	1037.29	1250.98	1127.35	1143.1	1277.29	1540.37	1519.15	1359.57	1286.18	1250.98	2591.27	1628.26
DNMT1	1001.93	1295.13	647.07	748.61	842.36	403.5	629.35	753.83	1001.93	769.69	708.18	463.65	1477.58	555.41	819.3	708.18	271.48	575.03	674.59	660.68	450.94	674.59	149.12	180.02	368.65	127.0	1015.93	129.69	158.79	392.44	145.02	176.29	201.25	169.07	2061.24	2004.85	1216.75	536.45	1662.49	1191.69	1991.0	624.99	2119.22	2047.0	1639.59	2609.3	860.08	1225.22	2119.22	947.83	1617.0	1551.09
DNTTIP1	825.0	934.76	1268.46	830.75	460.44	551.56	363.56	688.78	376.41	454.09	802.41	555.41	616.37	463.65	406.31	769.69	595.34	620.67	473.41	483.38	612.11	444.72	392.44	466.88	384.34	307.69	764.36	368.65	371.22	559.28	521.76	323.03	514.56	325.29	1697.45	947.83	819.3	4972.34	981.29	934.76	902.89	665.29	825.0	1259.69	967.76	1111.82	842.36	947.83	848.22	1037.29	961.07	1096.5
DPM1	1487.87	988.12	1216.75	902.89	674.59	974.5	723.08	947.83	743.43	723.08	909.17	780.44	1304.15	708.18	819.3	1199.98	583.07	1286.18	624.99	642.59	1259.69	896.64	450.94	665.29	813.63	791.35	1135.2	928.3	928.3	651.58	743.43	775.05	669.92	728.11	1268.46	1572.76	802.41	1628.26	1350.18	1350.18	981.29	1277.29	967.76	532.74	1127.35	1594.73	848.22	1498.22	1540.37	1250.98	2287.2	1135.2
DZIP1	140.04	183.82	253.23	253.23	33.06	30.78	8.06	15.22	5.11	4.39	28.04	16.51	19.11	3.5	25.17	11.21	16.63	20.56	23.42	6.89	7.57	42.41	3.99	8.65	53.19	46.84	31.9	62.56	21.47	8.92	17.51	20.41	12.0	7.82	163.28	323.03	94.67	177.53	289.02	65.26	76.17	79.45	189.02	107.38	194.36	120.1	54.33	214.27	82.87	114.36	285.03	62.12
EFCAB10	5.11	2.78	52.45	7.63	11.82	2.94	16.27	2.07	6.46	8.92	9.78	4.13	8.06	1.97	6.67	5.92	5.92	9.13	3.29	2.58	6.89	11.04	0.0	5.45	4.35	3.53	5.23	2.51	9.48	3.29	5.96	2.03	4.7	0.35	67.12	49.21	10.47	24.46	57.08	56.68	6.21	51.71	82.29	75.64	10.55	21.16	9.06	17.77	8.71	66.18	32.13	18.7
EGFL6	470.14	32.36	0.34	4.43	1.93	5.02	6.41	4.1	3.41	0.0	3.32	2.32	1.79	1.2	7.75	0.0	0.54	1.46	0.56	0.75	0.85	4.31	0.0	3.86	0.0	0.88	5.41	0.0	0.0	0.0	0.0	0.97	3.35	0.0	642.59	65.72	341.51	40.64	228.13	33.3	149.12	432.53	1008.9	656.11	441.64	332.14	273.37	872.1	368.65	1331.57	47.84	92.05
ELL3	536.45	124.37	81.14	46.84	44.89	76.71	100.13	32.13	26.1	32.13	36.01	19.97	141.02	74.58	57.49	26.86	82.87	48.87	70.51	93.35	62.12	77.25	9.27	23.93	45.53	48.18	37.59	12.55	16.15	48.18	54.72	31.67	16.15	62.12	181.28	348.71	100.83	297.17	111.21	224.97	299.25	101.54	332.14	88.88	93.35	129.69	156.59	206.94	149.12	146.03	460.44	53.19
EP400	180.02	223.41	149.12	140.04	112.77	95.34	115.97	70.01	133.36	105.89	67.12	69.52	139.07	94.01	89.51	74.58	91.41	69.52	68.07	76.71	74.58	90.14	36.53	83.45	57.08	36.79	82.87	42.41	41.52	73.54	35.5	49.91	40.93	65.26	199.85	239.52	194.36	91.41	277.2	185.11	218.79	82.29	133.36	134.3	181.28	275.28	218.79	152.28	176.29	116.78	466.88	237.86
ERCC6L	45.85	46.84	2.97	3.38	12.55	12.09	31.45	11.82	12.27	7.51	14.03	4.54	35.76	7.0	17.0	10.0	5.54	7.63	2.16	13.83	2.76	4.82	0.68	0.0	0.42	0.58	13.72	0.09	0.41	16.15	0.0	7.17	0.0	2.66	34.51	84.04	7.4	94.67	63.89	90.14	42.71	5.32	16.63	15.91	50.27	60.82	37.32	81.14	61.25	8.32	137.14	46.84
ESPL1	51.35	65.72	20.56	25.54	38.4	36.01	89.51	94.01	51.71	45.21	76.17	35.76	158.79	55.1	84.04	109.66	3.06	145.02	27.84	42.41	14.78	19.68	3.92	6.89	5.19	5.5	151.22	35.25	130.6	49.21	18.84	42.41	26.67	54.33	117.6	417.77	40.36	218.79	246.28	78.89	177.53	10.16	71.0	105.89	149.12	334.46	118.43	153.34	205.5	29.7	571.05	100.13
ETNK1	392.44	429.54	358.54	224.97	293.07	202.66	507.46	239.52	74.06	297.17	199.85	228.13	483.38	253.23	189.02	228.13	110.43	215.77	147.06	96.01	206.94	307.69	139.07	295.11	376.41	156.59	150.17	198.47	242.88	126.12	267.73	142.01	426.57	228.13	438.59	1639.59	486.75	638.15	329.84	356.05	688.78	438.59	318.57	145.02	389.72	389.72	334.46	463.65	260.38	376.41	567.1	620.67
FAM222B	264.03	229.72	346.29	271.48	129.69	155.5	271.48	123.5	194.36	275.28	77.79	112.77	289.02	140.04	212.78	178.77	221.86	124.37	149.12	119.26	170.25	105.15	113.56	120.94	75.11	121.79	212.78	65.26	118.43	165.57	70.51	204.07	195.72	187.71	309.83	559.28	312.0	669.92	293.07	547.75	529.06	177.53	205.5	249.73	323.03	356.05	301.33	231.32	159.9	214.27	796.86	470.14
FAM64A	113.56	154.42	42.71	45.85	14.78	9.48	16.63	14.89	2.73	11.3	28.65	6.41	33.54	4.03	120.1	10.96	5.5	5.82	25.54	7.17	23.93	23.25	3.99	1.45	0.0	2.53	37.59	0.0	2.14	11.13	0.0	15.34	1.28	2.81	167.9	193.01	45.85	551.56	351.14	182.55	156.59	22.59	108.9	99.43	153.34	703.28	127.89	379.04	289.02	99.43	305.55	100.83
