	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8683.01A.11R.2402.13
DHX15	2193.99	2119.22	1781.89	2148.82	1159.07	1059.11	1340.84	1467.37	1081.39	1066.48	1467.37	406.31	974.5	392.44	679.29	379.04	603.67	555.41	480.04	466.88	775.05	493.56	441.64	595.34	476.71	647.07	791.35	265.87	1991.0	2351.53	2090.03
DNAH10OS	21.47	56.28	66.18	77.79	20.56	31.0	23.42	48.18	49.21	45.53	40.64	2.07	12.55	5.54	0.0	7.4	7.82	5.82	15.0	4.66	7.28	2.07	19.11	3.82	7.06	15.68	6.94	8.13	27.84	25.91	26.47
DOPEY1	429.54	389.72	366.09	198.47	98.04	147.06	262.2	206.94	218.79	140.04	107.38	39.5	172.65	109.66	87.03	80.01	66.65	130.6	74.06	114.36	148.09	156.59	81.14	150.17	74.06	107.38	112.77	22.1	373.81	316.37	320.8
DPP8	450.94	583.07	441.64	273.37	166.73	181.28	231.32	271.48	150.17	248.0	314.17	29.7	305.55	89.51	96.01	58.71	150.17	124.37	92.7	106.63	206.94	75.64	62.56	120.1	53.57	134.3	144.01	34.26	414.87	518.15	503.95
DST	7081.29	5441.3	5791.62	2417.67	2758.13	2061.24	3349.13	3303.0	4419.52	4210.15	3901.01	483.38	3168.41	1340.84	1096.5	1183.45	1259.69	2609.3	2224.63	2209.26	3190.46	2537.92	1498.22	2855.44	1250.98	2104.58	2004.85	884.29	4038.61	3124.78	4358.66
DYM	733.19	1015.93	866.07	563.18	518.15	417.77	825.0	674.59	397.93	698.41	842.36	368.65	239.52	314.17	476.71	293.07	409.15	366.09	420.68	358.54	325.29	267.73	387.02	226.54	348.71	265.87	318.57	231.32	674.59	693.58	511.0
FAM193A	651.58	656.11	500.46	497.0	312.0	303.44	470.14	476.71	277.2	301.33	525.39	106.63	275.28	88.26	118.43	95.34	123.5	251.48	173.85	149.12	157.68	138.1	116.78	134.3	84.04	107.38	256.78	52.45	595.34	511.0	400.71
FNBP4	1721.16	1437.15	1104.13	866.07	1191.69	591.22	872.1	1066.48	848.22	1066.48	753.83	65.72	842.36	336.79	293.07	185.11	165.57	540.19	429.54	289.02	320.8	241.19	105.89	299.25	157.68	341.51	406.31	63.45	1721.16	1259.69	1447.15
GAN	73.03	108.14	125.24	36.53	13.52	11.47	21.63	17.25	15.56	13.12	13.52	3.96	12.83	6.01	5.68	4.94	6.01	8.65	8.19	10.63	8.19	7.88	4.46	7.28	4.39	8.19	9.63	3.96	76.17	112.77	148.09
GATAD2B	320.8	348.71	371.22	305.55	193.01	138.1	255.0	339.14	220.32	214.27	305.55	59.97	181.28	68.07	103.69	69.52	80.57	87.03	77.79	130.6	153.34	101.54	63.45	108.14	83.45	124.37	154.42	53.57	376.41	363.56	381.68
GPR21	2.29	2.03	11.13	1.6	2.84	2.07	2.43	5.5	5.59	1.38	15.11	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	0.0	0.91	0.0	0.0	0.0	1.25	0.0	2.61	0.0	11.64	6.11	13.42
GUF1	329.84	599.49	291.04	323.03	277.2	283.05	444.72	389.72	264.03	301.33	486.75	153.34	137.14	166.73	248.0	231.32	244.57	348.71	178.77	158.79	289.02	151.22	199.85	295.11	295.11	173.85	151.22	128.79	435.55	480.04	258.57
INO80D	105.89	138.1	170.25	108.14	62.12	43.32	63.89	69.03	63.0	50.98	77.25	8.19	82.87	31.9	32.13	22.75	29.06	49.91	26.47	41.81	41.22	29.91	16.03	33.06	21.78	43.94	57.49	8.92	191.67	173.85	209.84
INTS8	693.58	813.63	1286.18	743.43	403.5	358.54	616.37	403.5	567.1	507.46	728.11	98.73	334.46	94.01	265.87	131.51	127.0	384.34	139.07	325.29	256.78	217.27	176.29	190.34	170.25	323.03	193.01	96.01	1369.04	954.43	753.83
IQCB1	444.72	583.07	441.64	231.32	217.27	176.29	269.6	279.14	152.28	161.02	258.57	46.5	163.28	53.19	69.52	33.3	97.36	137.14	50.98	76.71	108.14	59.97	34.26	71.5	50.27	68.55	111.21	25.91	279.14	295.11	341.51
KATNBL1	647.07	514.56	785.88	409.15	258.57	341.51	486.75	476.71	420.68	532.74	529.06	77.25	603.67	164.42	353.59	242.88	193.01	341.51	172.65	305.55	348.71	177.53	136.19	217.27	226.54	305.55	265.87	134.3	420.68	483.38	543.96
KIAA0232	444.72	543.96	307.69	287.01	297.17	277.2	351.14	336.79	246.28	387.02	503.95	60.39	156.59	177.53	106.63	80.01	198.47	98.04	173.85	162.14	98.73	102.25	165.57	171.45	127.0	167.9	134.3	76.17	392.44	356.05	297.17
KMT2E	1143.1	1111.82	872.1	665.29	414.87	323.03	457.25	616.37	279.14	323.03	624.99	46.18	521.76	133.36	191.67	96.01	202.66	289.02	214.27	180.02	283.05	186.4	130.6	182.55	198.47	242.88	255.0	44.25	1322.37	1066.48	1295.13
KRTAP5-1	10.79	9.41	32.36	75.11	10.88	2.92	1.99	33.06	49.21	35.5	23.76	0.0	10.55	0.59	8.06	1.0	0.0	0.89	19.53	34.75	5.06	4.03	1.22	0.0	15.11	5.87	8.45	0.0	66.18	50.27	45.21
LCORL	105.89	116.78	172.65	186.4	81.14	71.5	100.83	106.63	79.45	51.71	159.9	27.84	57.08	59.13	96.01	37.85	60.39	69.52	64.8	50.98	104.42	59.13	43.94	87.03	57.89	59.55	50.27	66.65	159.9	155.5	189.02
LPGAT1	392.44	579.04	775.05	2485.67	2178.83	291.04	1769.57	2032.85	1674.06	1529.73	3901.01	148.09	599.49	536.45	954.43	277.2	332.14	256.78	133.36	514.56	429.54	320.8	283.05	255.0	273.37	358.54	493.56	195.72	507.46	480.04	981.29
MARK3	1151.06	866.07	1081.39	995.0	808.0	1781.89	633.73	1015.93	995.0	780.44	921.88	224.97	1066.48	412.0	555.41	444.72	395.18	521.76	454.09	551.56	674.59	587.13	371.22	543.96	463.65	688.78	791.35	466.88	1369.04	1088.92	1183.45
MSL2	567.1	713.11	575.03	361.04	293.07	206.94	379.04	379.04	265.87	212.78	339.14	80.57	201.25	166.73	205.5	144.01	148.09	334.46	141.02	151.22	154.42	231.32	124.37	215.77	156.59	199.85	159.9	102.25	536.45	423.61	497.0
MTA1	1322.37	1233.75	1923.14	1551.09	1088.92	866.07	703.28	1268.46	1127.35	1183.45	872.1	358.54	1066.48	583.07	480.04	432.53	325.29	878.17	514.56	595.34	551.56	518.15	260.38	532.74	447.82	642.59	830.75	236.21	1909.85	1685.71	1832.01
NCOA3	379.04	320.8	277.2	323.03	457.25	162.14	381.68	356.05	256.78	651.58	723.08	74.06	181.28	94.67	105.89	57.89	126.12	115.97	46.5	180.02	111.21	116.78	99.43	116.78	92.05	110.43	146.03	63.89	684.02	400.71	660.68
NELFA	563.18	595.34	813.63	775.05	583.07	503.95	651.58	748.61	507.46	473.41	813.63	265.87	379.04	201.25	320.8	249.73	206.94	497.0	244.57	348.71	327.56	223.41	176.29	265.87	305.55	329.84	299.25	118.43	551.56	620.67	842.36
PACS2	928.3	780.44	1519.15	988.12	441.64	1883.54	607.87	718.08	728.11	547.75	551.56	262.2	493.56	223.41	217.27	293.07	194.36	426.57	248.0	341.51	314.17	281.09	181.28	262.2	226.54	253.23	242.88	166.73	1369.04	1331.57	1561.89
PCGF3	647.07	769.69	1088.92	941.27	529.06	441.64	791.35	830.75	532.74	473.41	647.07	167.9	353.59	277.2	223.41	180.02	156.59	293.07	96.01	279.14	265.87	273.37	117.6	237.86	201.25	336.79	164.42	120.94	872.1	836.53	1286.18
PDCD4	8598.28	27174.14	5403.7	2573.36	3018.3	3257.52	1883.54	2061.24	1417.35	2032.85	3467.27	483.38	1313.23	295.11	1397.83	366.09	1628.26	1143.1	438.59	1268.46	1844.76	703.28	1806.78	1437.15	1407.55	759.08	607.87	915.51	2915.45	2224.63	1844.76
PDS5A	764.36	947.83	684.02	651.58	551.56	318.57	921.88	651.58	470.14	423.61	941.27	157.68	651.58	381.68	547.75	255.0	400.71	438.59	218.79	309.83	420.68	368.65	312.0	395.18	218.79	323.03	348.71	267.73	928.3	866.07	748.61
