	TCGA.BA.5556.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CN.6996.01A.11R.1915.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.CN.5363.01A.01R.1436.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CR.7377.01A.11R.2016.07	TCGA.D6.6515.01A.21R.1873.07	TCGA.CQ.6219.01A.11R.1915.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.33.4589.01A.01R.1443.07
ASIC4	0.0	0.41	0.89	1.16	0.0	0.0	0.0	0.0	3.14	0.46	0.0	0.75	0.0	1.66	4.58	0.6	4.1	0.0	23.42	10.47	13.03	1.08	7.75	4.98	6.11	2.29	18.56	2.1	7.63	2.46	5.11	2.1	2.32	2.97	0.84	2.56	1.46
ASRGL1	30.56	4.24	92.7	32.36	29.48	73.54	101.54	38.12	61.25	46.18	92.05	51.35	26.47	194.36	974.5	217.27	201.25	242.88	125.24	214.27	902.89	91.41	183.82	902.89	1015.93	1909.85	493.56	1135.2	146.03	961.07	103.69	175.07	2032.85	473.41	1191.69	2004.85	36.27
BEX4	117.6	12.09	432.53	171.45	162.14	267.73	287.01	111.21	91.41	414.87	285.03	167.9	115.16	1639.59	2209.26	4512.4	559.28	1183.45	1561.89	2956.17	1135.2	743.43	1467.37	1923.14	1216.75	825.0	1896.65	1151.06	2627.46	2935.74	2502.97	1111.82	1844.76	2720.15	1674.06	896.64	112.77
BZRAP1	22.43	0.0	50.27	28.45	19.11	33.54	87.65	6.62	15.8	36.79	27.44	12.83	13.12	571.05	607.87	143.01	1167.14	309.83	1572.76	813.63	607.87	1477.58	1407.55	595.34	612.11	438.59	1268.46	229.72	674.59	309.83	738.29	406.31	269.6	327.56	246.28	127.89	3.29
C5orf45	82.87	90.14	120.1	128.79	131.51	155.5	181.28	175.07	279.14	140.04	153.34	96.68	147.06	1104.13	607.87	218.79	679.29	511.0	1008.9	616.37	540.19	1127.35	878.17	1277.29	967.76	256.78	769.69	283.05	703.28	591.22	708.18	693.58	397.93	733.19	336.79	215.77	103.69
C7orf55-LUC7L2	723.08	791.35	819.3	896.64	872.1	785.88	684.02	748.61	748.61	995.0	1023.0	733.19	708.18	1167.14	1088.92	728.11	1051.79	759.08	1135.2	1208.34	954.43	1135.2	1183.45	507.46	890.44	518.15	1259.69	928.3	1088.92	896.64	1111.82	1233.75	902.89	1313.23	764.36	941.27	271.48
C8orf46	0.0	0.65	2.63	6.46	0.0	3.23	3.23	3.06	1.06	2.48	4.66	4.13	2.39	15.56	29.91	5.73	22.43	7.75	30.12	144.01	9.48	37.32	43.63	3.38	6.11	11.3	57.49	14.89	34.02	13.93	63.0	90.14	29.27	55.1	7.75	5.96	0.0
CASP9	191.67	98.73	209.84	152.28	146.03	204.07	204.07	106.63	226.54	153.34	167.9	223.41	140.04	426.57	441.64	373.81	583.07	346.29	473.41	305.55	403.5	301.33	392.44	457.25	466.88	214.27	381.68	616.37	463.65	228.13	447.82	343.89	217.27	373.81	244.57	320.8	100.13
CBX7	91.41	22.92	301.33	190.34	50.98	343.89	500.46	131.51	102.97	214.27	212.78	118.43	73.54	819.3	1044.52	486.75	532.74	669.92	1378.57	2104.58	981.29	2090.03	1857.6	1216.75	1427.22	441.64	1191.69	791.35	1487.87	995.0	1340.84	1322.37	884.29	1359.57	1051.79	733.19	22.75
CCDC39	0.0	1.43	1.2	8.25	1.06	2.2	8.85	1.06	2.61	2.86	6.21	3.32	2.76	87.65	147.06	17.9	111.99	59.55	151.22	124.37	148.09	178.77	88.88	59.13	53.57	13.22	88.26	52.82	70.51	51.71	164.42	43.63	37.32	58.71	17.0	31.67	2.51
CD74	120609.84	11112.3	147462.67	112532.89	114897.47	150561.19	168220.2	82951.62	182810.84	88905.42	172949.54	121448.75	101420.22	527933.71	726195.27	1196176.45	485798.0	682276.92	585779.24	338781.54	520665.48	757033.75	269512.87	1019901.63	414208.18	932018.1	459592.86	1503610.06	1229805.58	741454.2	513497.31	550352.86	593956.43	1877002.62	636586.81	1196176.45	36106.23
CEACAM8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.55	15.56	16.15	5.23	5.06	1.2	44.25	0.59	16.39	7.22	29.48	15.11	5.45	48.52	11.64	53.95	7.69	1.23	34.75	14.78	40.93	51.35	0.74
CLK1	423.61	363.56	802.41	723.08	974.5	547.75	656.11	748.61	769.69	759.08	529.06	759.08	629.35	2645.74	2133.97	2664.15	2796.65	4010.71	3564.78	3467.27	2119.22	2319.15	3847.29	3690.52	4419.52	3372.43	3349.13	2367.9	1991.0	3235.01	2400.97	1199.98	2520.38	4123.49	2032.85	2573.36	1225.22
CLK4	118.43	58.71	157.68	161.02	143.01	132.44	142.01	242.88	190.34	139.07	134.3	137.14	136.19	688.78	208.38	190.34	420.68	246.28	559.28	438.59	320.8	934.76	753.83	139.07	277.2	61.25	392.44	171.45	514.56	201.25	463.65	480.04	130.6	373.81	175.07	158.79	46.18
CPEB1	1.73	0.54	38.67	5.41	2.36	21.94	37.05	1.28	3.06	20.26	9.13	11.21	3.26	126.12	17.64	5.77	51.71	75.11	148.09	91.41	121.79	94.67	84.04	60.82	27.84	4.54	39.22	28.04	57.89	21.32	142.01	74.06	17.64	29.06	2.97	19.11	0.53
CRIP3	3.53	2.51	4.31	7.4	4.1	2.63	1.69	2.94	2.56	2.39	1.53	2.14	0.0	66.18	0.22	0.57	54.72	15.0	39.79	44.57	32.82	81.14	74.06	10.47	11.38	10.47	10.16	1.46	4.9	5.92	50.27	31.9	13.32	7.51	3.89	5.28	3.26
CYP2D6	3.79	3.08	2.25	13.83	10.24	2.84	3.86	4.35	4.35	2.61	4.35	4.28	3.79	47.5	10.79	24.28	151.22	29.48	131.51	36.01	54.33	209.84	48.18	42.41	53.57	17.77	387.02	12.0	21.63	11.91	10.08	26.1	10.55	43.63	3.47	20.56	6.06
FAM153A	0.0	2.36	13.22	1.2	0.0	0.85	3.41	0.75	0.0	0.8	0.0	1.97	0.0	105.89	14.78	8.85	10.71	100.13	96.01	13.12	17.9	543.96	53.95	4.98	13.83	17.13	79.45	22.1	19.82	4.28	59.55	220.32	17.9	236.21	7.69	1.27	0.0
GDPD1	4.74	10.47	41.81	14.35	12.45	19.82	16.15	10.0	16.39	8.78	25.17	20.11	9.93	82.87	59.97	16.15	36.27	53.19	53.57	63.0	54.72	105.15	156.59	21.01	28.65	2.86	35.25	25.91	60.39	44.89	112.77	66.65	21.94	40.93	53.95	22.75	4.5
GFRA3	3.96	0.49	23.08	15.8	3.72	9.7	9.34	2.29	2.97	12.55	28.24	8.38	2.81	246.28	111.99	251.48	50.98	124.37	49.21	85.82	441.64	20.56	50.27	150.17	23.42	5.45	29.48	24.46	183.82	28.24	101.54	24.46	3.17	260.38	24.81	54.72	0.48
GKAP1	12.55	6.31	31.67	25.35	5.73	24.99	86.43	17.38	16.27	20.71	21.32	24.63	17.0	146.03	96.01	111.21	69.03	82.87	150.17	224.97	90.14	144.01	293.07	183.82	100.83	70.01	75.11	40.36	141.02	88.26	256.78	82.29	146.03	92.05	103.69	96.68	5.36
HMGN3	791.35	921.88	1030.12	1286.18	1487.87	1551.09	1059.11	1096.5	1304.15	1551.09	1427.22	1977.24	1135.2	3665.02	5041.77	3325.99	5995.9	2701.35	4181.07	3716.2	3257.52	5872.48	4481.23	3168.41	3467.27	967.76	1950.0	1388.16	3901.01	3235.01	7081.29	3982.99	1674.06	2417.67	1388.16	1639.59	1540.37
IFRD1	169.07	258.57	336.79	346.29	277.2	246.28	463.65	316.37	353.59	211.31	260.38	432.53	329.84	633.73	629.35	733.19	595.34	718.08	563.18	1015.93	379.04	262.2	954.43	2367.9	1268.46	1437.15	825.0	915.51	595.34	1066.48	830.75	476.71	1233.75	759.08	708.18	1111.82	178.77
IL11RA	57.49	55.49	291.04	107.38	63.45	159.9	253.23	97.36	66.18	171.45	156.59	70.01	76.71	1051.79	587.13	334.46	884.29	334.46	1617.0	1127.35	813.63	2351.53	1313.23	723.08	934.76	486.75	2047.0	563.18	1447.15	808.0	1268.46	679.29	629.35	603.67	466.88	753.83	47.84
IL12A	7.46	1.6	15.68	10.79	2.61	5.5	15.0	1.33	3.53	7.75	3.56	3.17	9.7	22.26	142.01	19.11	36.01	15.56	117.6	215.77	181.28	27.44	84.04	131.51	82.29	57.49	27.64	17.13	50.98	79.45	158.79	9.56	31.22	16.39	47.5	92.05	2.03
KIAA1683	1.91	0.62	19.82	3.06	1.79	5.87	12.27	5.19	2.16	9.41	12.18	3.63	2.29	195.72	130.6	15.91	325.29	51.71	127.0	198.47	151.22	507.46	595.34	82.87	111.21	87.03	156.59	80.01	140.04	47.17	239.52	830.75	57.49	105.89	67.59	74.06	0.0
KLHL23	42.71	18.7	47.5	15.0	2.43	65.72	39.79	18.43	20.71	31.0	30.12	52.08	26.86	108.14	69.03	13.12	269.6	65.72	108.14	241.19	137.14	73.54	267.73	105.15	90.77	25.91	118.43	85.22	75.64	63.45	379.04	75.11	115.97	146.03	66.18	94.67	40.64
LPHN2	303.44	70.51	703.28	353.59	114.36	323.03	305.55	130.6	73.54	507.46	258.57	217.27	178.77	1540.37	1350.18	656.11	591.22	212.78	1059.11	1477.58	587.13	373.81	1883.54	536.45	1417.35	2956.17	571.05	1745.2	947.83	1685.71	921.88	842.36	2796.65	2047.0	2520.38	2351.53	127.89
MORN1	65.26	56.28	60.82	35.76	64.34	90.77	76.17	50.63	107.38	34.51	65.26	131.51	52.45	90.14	241.19	76.17	208.38	152.28	205.5	135.24	215.77	381.68	170.25	253.23	87.65	39.5	102.25	84.04	161.02	64.8	251.48	124.37	85.82	68.55	70.01	62.12	57.49
MTERFD3	72.01	59.97	74.06	94.67	82.87	83.45	144.01	115.16	61.25	69.52	103.69	98.73	83.45	381.68	211.31	217.27	397.93	287.01	343.89	417.77	279.14	379.04	660.68	334.46	599.49	113.56	438.59	264.03	269.6	356.05	366.09	279.14	169.07	228.13	190.34	242.88	57.49
MYO15B	76.17	26.28	201.25	181.28	46.5	107.38	180.02	52.08	50.98	94.01	130.6	100.13	63.45	4210.15	988.12	775.05	2739.08	785.88	3540.14	6164.49	5403.7	3124.78	8191.0	2835.7	6516.03	759.08	2796.65	1191.69	2627.46	4869.99	3716.2	1909.85	1594.73	1697.45	1594.73	1369.04	22.26
NLRP1	334.46	262.2	444.72	432.53	253.23	283.05	532.74	136.19	163.28	341.51	356.05	318.57	293.07	1487.87	860.08	693.58	1233.75	540.19	1769.57	1685.71	1023.0	1923.14	1674.06	775.05	1304.15	450.94	3190.46	536.45	1583.71	1233.75	1498.22	872.1	503.95	718.08	529.06	497.0	89.51
NR3C2	3.26	1.6	32.36	12.64	2.73	21.01	71.5	3.06	1.64	19.82	11.04	4.39	2.89	236.21	211.31	9.7	163.28	43.02	195.72	1369.04	95.34	122.64	848.22	146.03	68.07	31.0	21.78	52.82	384.34	76.17	441.64	231.32	144.01	98.04	161.02	88.26	2.84
NRGN	68.07	50.63	130.6	73.54	161.02	148.09	136.19	181.28	96.68	106.63	111.99	85.22	75.11	16045.82	2777.33	2915.45	583.07	3639.7	229.72	703.28	6037.61	209.84	444.72	1487.87	607.87	1651.0	204.07	860.08	2061.24	656.11	759.08	3124.78	718.08	3018.3	2434.5	1331.57	25.91
NRXN3	2.86	0.89	16.39	4.28	1.62	13.42	14.35	4.43	0.54	18.84	8.32	4.35	0.96	226.54	97.36	117.6	75.11	88.88	59.13	493.56	41.52	118.43	83.45	260.38	131.51	624.99	105.15	299.25	122.64	153.34	400.71	55.1	674.59	28.24	73.03	228.13	0.55
NXPH3	6.94	5.02	59.55	17.51	1.25	24.63	24.46	54.72	5.82	9.13	24.11	10.39	6.57	173.85	265.87	30.12	190.34	80.01	366.09	1119.56	275.28	173.85	536.45	164.42	142.01	52.82	82.87	134.3	412.0	132.44	587.13	124.37	114.36	297.17	93.35	108.14	3.86
PDE9A	23.76	2.29	116.78	40.07	15.11	67.12	81.14	21.16	21.47	46.18	31.45	42.71	19.68	234.57	587.13	312.0	147.06	156.59	256.78	366.09	264.03	356.05	281.09	466.88	620.67	988.12	94.01	366.09	693.58	305.55	356.05	189.02	450.94	454.09	336.79	356.05	2.14
PDZD4	8.58	3.92	30.34	10.31	4.78	22.1	31.22	7.34	4.74	27.25	40.07	6.84	7.0	82.29	83.45	9.63	414.87	129.69	171.45	237.86	198.47	301.33	217.27	493.56	258.57	228.13	221.86	181.28	88.26	66.18	205.5	60.82	132.44	102.25	157.68	111.99	0.85
PHYKPL	295.11	267.73	351.14	336.79	256.78	244.57	629.35	314.17	420.68	283.05	295.11	283.05	387.02	2104.58	679.29	587.13	1819.35	775.05	1896.65	1295.13	2502.97	1233.75	2537.92	748.61	1457.23	285.03	2367.9	447.82	1313.23	872.1	1066.48	1896.65	633.73	928.3	543.96	629.35	239.52
PLEKHH2	19.53	1.97	50.63	25.91	10.88	16.15	27.25	12.83	57.89	33.06	15.34	15.91	13.62	688.78	540.19	211.31	647.07	346.29	830.75	1044.52	351.14	579.04	1806.78	500.46	1427.22	228.13	493.56	420.68	753.83	511.0	909.17	223.41	647.07	447.82	423.61	674.59	6.52
PNMA3	4.1	0.0	2.36	3.26	1.68	2.01	4.74	0.95	0.93	0.61	3.82	3.06	1.77	13.32	2.84	1.07	37.32	16.88	31.22	9.93	11.21	1268.46	18.16	0.71	6.89	1.27	224.97	1.64	12.83	5.82	6.57	32.59	3.26	89.51	4.54	1.62	0.0
PNMAL2	4.78	4.39	28.24	8.0	1.28	18.56	17.9	10.39	7.94	11.13	21.94	16.88	8.51	101.54	19.25	13.22	48.52	34.51	67.12	82.29	69.03	62.12	79.45	6.57	26.47	2.1	40.36	17.0	37.85	6.84	59.13	47.84	9.85	71.0	8.51	10.96	2.46
PNPLA7	5.41	2.63	34.51	33.3	16.51	15.91	72.52	3.89	9.78	29.06	19.39	14.89	6.67	466.88	94.01	65.26	99.43	88.88	232.94	183.82	234.57	500.46	314.17	182.55	215.77	71.5	368.65	90.77	191.67	126.12	197.09	497.0	114.36	289.02	74.58	47.17	2.46
RAB24	559.28	285.03	348.71	543.96	575.03	441.64	591.22	392.44	591.22	563.18	713.11	435.55	698.41	1008.9	490.14	769.69	1037.29	638.15	825.0	1208.34	1088.92	579.04	1023.0	2104.58	1233.75	2271.4	1088.92	591.22	660.68	1030.12	928.3	802.41	780.44	470.14	1073.91	723.08	341.51
RABL2A	80.57	92.7	121.79	121.79	82.29	95.34	131.51	69.03	133.36	120.94	75.64	133.36	82.29	476.71	854.13	232.94	753.83	297.17	854.13	412.0	733.19	1151.06	612.11	698.41	323.03	70.01	447.82	361.04	521.76	295.11	738.29	551.56	211.31	287.01	148.09	198.47	35.76
RANBP17	5.28	4.03	4.78	3.0	2.48	12.0	21.01	3.29	2.03	13.52	2.68	8.0	5.23	214.27	164.42	24.81	147.06	21.32	91.41	39.79	75.11	177.53	341.51	88.26	64.8	5.32	104.42	24.81	115.97	154.42	147.06	78.89	181.28	59.97	31.22	53.95	0.0
RFXAP	23.08	25.91	39.22	44.25	30.78	33.3	44.25	23.76	37.32	38.67	31.0	65.72	35.25	107.38	102.25	70.51	128.79	116.78	246.28	193.01	100.83	185.11	119.26	33.54	88.26	29.27	165.57	62.12	134.3	141.02	115.97	108.9	28.24	75.64	88.88	104.42	40.64
RIBC1	8.38	3.76	8.45	8.85	13.12	10.79	10.08	9.78	21.94	14.89	15.45	19.11	9.41	99.43	389.72	70.01	473.41	129.69	255.0	146.03	198.47	414.87	161.02	275.28	65.26	59.13	63.45	145.02	138.1	41.22	371.22	104.42	47.17	22.59	47.17	35.0	8.19
ROBO3	75.11	231.32	84.04	81.71	55.89	61.68	155.5	38.12	59.13	99.43	167.9	49.91	98.04	353.59	171.45	423.61	392.44	256.78	813.63	518.15	525.39	536.45	392.44	1417.35	1175.27	2271.4	1059.11	277.2	426.57	275.28	463.65	124.37	587.13	214.27	796.86	703.28	25.91
RP11-146D12.2	0.54	0.0	0.0	0.0	0.87	4.46	2.78	0.0	0.0	0.95	4.03	1.89	0.0	11.3	3.89	5.63	94.67	0.0	1.41	41.22	16.27	7.88	82.87	6.41	31.22	5.77	40.93	31.9	4.74	10.63	21.01	13.62	37.32	60.39	0.06	26.86	0.0
RP11-664D7.4	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.21	0.0	0.0	1950.0	490.14	1008.9	206.94	547.75	417.77	363.56	718.08	273.37	16.63	180.02	30.56	1.77	22.75	142.01	403.5	134.3	231.32	1857.6	18.97	220.32	21.63	70.51	0.0
RP11-795F19.5	0.0	4.35	2.71	2.03	0.0	1.48	2.84	0.87	2.29	2.94	2.53	1.2	3.59	12.55	10.47	12.09	12.27	11.55	13.72	21.63	11.21	18.16	74.06	6.73	16.75	5.5	10.16	7.11	8.65	3.26	25.54	2.1	5.41	10.71	15.0	8.92	1.46
SF3B1	2163.77	2061.24	2591.27	2351.53	2434.5	1991.0	1950.0	1685.71	2004.85	2451.44	2240.11	2555.58	2627.46	4869.99	3589.58	2816.11	4268.94	4181.07	5872.48	4450.27	3716.2	7695.57	5076.84	3303.0	4512.4	2163.77	6294.04	3257.52	5672.41	4869.99	4903.87	3982.99	2609.3	6516.03	3982.99	3103.19	2468.49
SH3BGRL2	38.95	8.92	68.55	37.59	1.6	33.3	46.84	15.45	4.35	208.38	79.45	26.67	48.52	151.22	403.5	71.5	194.36	215.77	403.5	384.34	114.36	1259.69	579.04	215.77	90.14	41.52	87.65	146.03	275.28	96.01	432.53	361.04	120.1	303.44	91.41	890.44	7.0
SLC25A21-AS1	1.45	4.24	4.66	2.61	1.38	4.82	11.13	0.99	4.31	10.39	3.14	3.89	4.62	62.56	35.76	23.42	26.67	71.0	153.34	111.21	80.57	77.79	87.03	11.38	34.02	2.05	35.76	17.51	76.71	12.83	83.45	56.28	10.88	34.26	20.41	18.29	7.88
SNX32	7.22	1.99	4.98	11.91	7.51	2.92	13.22	1.68	2.76	2.25	4.24	6.62	1.38	32.59	4.35	4.1	18.7	9.06	14.45	15.56	31.22	19.25	24.46	4.98	36.79	10.71	24.63	5.87	10.16	29.48	15.0	9.06	3.26	23.08	3.89	14.14	1.27
SPAG16	111.21	68.55	141.02	92.7	22.26	131.51	127.89	27.44	215.77	226.54	157.68	138.1	15.22	351.14	764.36	265.87	642.59	571.05	825.0	559.28	426.57	693.58	543.96	395.18	241.19	96.68	269.6	228.13	334.46	185.11	909.17	392.44	346.29	199.85	154.42	202.66	323.03
SPATA6	8.71	15.11	44.89	15.45	14.89	31.67	25.54	7.46	6.01	25.17	18.16	9.06	10.24	146.03	248.0	78.34	255.0	142.01	339.14	417.77	248.0	237.86	358.54	133.36	131.51	43.32	185.11	125.24	194.36	167.9	307.69	80.57	85.82	131.51	103.69	99.43	5.45
SPEF2	6.46	2.94	17.51	5.92	1.46	10.16	13.93	9.41	8.99	21.01	16.51	8.51	3.2	249.73	265.87	32.59	441.64	190.34	395.18	363.56	305.55	457.25	389.72	205.5	143.01	12.36	223.41	71.5	161.02	72.01	435.55	106.63	94.01	52.82	80.01	81.14	2.27
SSBP2	384.34	85.22	341.51	178.77	447.82	343.89	500.46	194.36	209.84	323.03	825.0	152.28	161.02	559.28	808.0	249.73	607.87	587.13	1259.69	1508.65	624.99	1199.98	1359.57	1340.84	1295.13	775.05	473.41	536.45	738.29	591.22	1015.93	486.75	1216.75	346.29	397.93	679.29	69.52
SYDE2	5.15	12.93	12.55	2.27	0.46	5.92	10.0	7.75	4.17	15.0	9.27	3.11	2.32	78.89	43.32	13.62	36.79	10.71	102.25	98.04	22.43	71.0	208.38	33.06	24.11	12.74	21.32	13.72	73.54	9.56	141.02	72.01	32.36	20.71	28.45	18.03	0.31
TLE2	42.41	10.39	162.14	52.45	16.51	96.01	293.07	53.95	32.13	80.57	144.01	42.41	18.29	547.75	432.53	239.52	543.96	98.04	753.83	1096.5	186.4	928.3	1457.23	1208.34	1183.45	1044.52	406.31	283.05	753.83	167.9	450.94	1015.93	909.17	638.15	1167.14	753.83	8.92
TMEM190	0.0	0.0	0.0	1.27	0.0	3.35	0.0	4.24	2.71	0.0	0.0	0.0	0.0	301.33	1331.57	156.59	4607.24	1407.55	2178.83	1561.89	2555.58	4268.94	476.71	2384.37	66.18	299.25	195.72	525.39	872.1	211.31	2609.3	543.96	18.16	35.5	0.0	16.75	2.25
TMEM41B	299.25	220.32	267.73	368.65	555.41	267.73	173.85	183.82	371.22	275.28	223.41	258.57	221.86	785.88	995.0	785.88	525.39	674.59	583.07	420.68	361.04	674.59	476.71	1066.48	825.0	1183.45	665.29	656.11	954.43	878.17	497.0	1008.9	928.3	1709.26	718.08	753.83	325.29
TMSB15A	1.45	0.0	18.84	9.06	0.0	8.38	8.0	3.23	2.86	17.13	15.34	31.67	5.77	71.0	18.43	38.4	175.07	1.27	23.25	78.34	14.89	17.13	638.15	76.71	361.04	1088.92	29.91	24.46	25.35	63.0	108.9	10.0	638.15	135.24	403.5	309.83	20.26
TTC18	2.51	2.71	3.69	4.13	10.71	5.32	7.34	3.17	3.96	3.92	7.88	6.62	1.62	81.71	368.65	52.08	497.0	105.15	303.44	163.28	275.28	525.39	169.07	277.2	69.52	35.0	84.04	106.63	131.51	48.18	389.72	131.51	32.59	37.32	17.13	21.78	5.11
TTLL3	45.85	15.91	78.89	95.34	32.59	46.18	134.3	31.67	59.97	56.68	111.99	61.68	94.67	1487.87	511.0	460.44	1519.15	387.02	1467.37	1104.13	1295.13	1167.14	1594.73	1551.09	1208.34	444.72	1832.01	480.04	878.17	902.89	947.83	674.59	567.1	708.18	406.31	486.75	41.22
