	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.Y5V6.2026.SM.5IFHO	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.YL.A8SL.01B.21R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A9O9.01A.11R.A41O.07	TCGA.FC.7708.01A.11R.2118.07	TCGA.KK.A8II.01A.11R.A36G.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.VN.A88Q.01A.11R.A352.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A87K.01A.11R.A352.07
CNOT3	571.05	511.0	607.87	389.72	764.36	438.59	525.39	587.13	363.56	397.93	299.25	624.99	368.65	358.54	490.14	497.0	301.33	698.41	642.59	688.78	633.73	389.72	1015.93	1044.52	1104.13	947.83	961.07	1104.13	1277.29	1199.98	1167.14	1151.06	1295.13
DPH7	246.28	244.57	353.59	152.28	406.31	255.0	172.65	406.31	96.68	224.97	190.34	242.88	161.02	147.06	186.4	228.13	143.01	507.46	403.5	231.32	536.45	0.0	1529.73	785.88	854.13	536.45	866.07	1159.07	872.1	1037.29	825.0	954.43	1183.45
EP400NL	70.01	128.79	62.12	78.34	69.03	66.18	59.97	85.82	33.06	39.5	34.02	60.82	73.54	64.8	61.68	38.67	37.05	165.57	91.41	93.35	115.97	0.0	264.03	129.69	202.66	190.34	143.01	161.02	178.77	197.09	215.77	149.12	129.69
FAM19A5	15.0	28.86	3.76	6.01	0.44	19.68	19.25	24.63	92.05	14.56	5.02	15.0	17.9	8.38	7.69	18.7	9.93	8.13	66.65	13.32	3.11	0.0	575.03	251.48	181.28	142.01	305.55	450.94	167.9	669.92	532.74	283.05	423.61
FUBP1	1733.13	1175.27	1498.22	1322.37	1806.78	1096.5	1437.15	1794.29	733.19	1322.37	1467.37	1572.76	2061.24	1639.59	1936.53	1216.75	1909.85	1437.15	1508.65	1277.29	1819.35	529.06	2485.67	2133.97	2303.12	1745.2	2520.38	1950.0	2555.58	2502.97	2591.27	2075.59	2119.22
GABBR1	218.79	190.34	129.69	172.65	285.03	172.65	164.42	251.48	30.34	127.0	98.73	220.32	127.0	115.97	208.38	165.57	130.6	518.15	217.27	175.07	555.41	0.0	981.29	764.36	483.38	660.68	934.76	961.07	878.17	866.07	759.08	890.44	775.05
GADD45G	571.05	473.41	211.31	591.22	212.78	277.2	116.78	802.41	187.71	201.25	197.09	825.0	325.29	518.15	371.22	293.07	273.37	703.28	909.17	406.31	1359.57	0.0	1259.69	1233.75	2956.17	3060.45	3491.39	2451.44	808.0	1487.87	5403.7	4836.35	1844.76
GON4L	251.48	260.38	193.01	204.07	228.13	420.68	220.32	234.57	171.45	236.21	159.9	332.14	256.78	147.06	277.2	226.54	226.54	325.29	343.89	289.02	358.54	395.18	536.45	507.46	518.15	395.18	387.02	518.15	607.87	497.0	612.11	525.39	429.54
HIATL2	95.34	76.71	92.05	82.29	130.6	85.82	104.42	125.24	69.52	108.14	114.36	133.36	106.63	113.56	140.04	76.71	103.69	135.24	88.26	102.25	145.02	0.0	140.04	169.07	151.22	116.78	217.27	177.53	152.28	170.25	180.02	166.73	110.43
KCTD13	206.94	223.41	159.9	120.1	242.88	295.11	195.72	256.78	100.13	104.42	88.88	206.94	170.25	199.85	186.4	182.55	113.56	295.11	262.2	191.67	329.84	0.0	571.05	409.15	540.19	376.41	518.15	483.38	660.68	616.37	435.55	483.38	575.03
KIAA0907	423.61	329.84	320.8	283.05	583.07	361.04	397.93	860.08	167.9	325.29	180.02	368.65	212.78	73.54	348.71	275.28	185.11	728.11	470.14	301.33	921.88	0.0	1175.27	878.17	1104.13	791.35	1096.5	1096.5	1135.2	1295.13	1417.35	1059.11	941.27
L3MBTL1	78.89	69.03	49.21	41.22	80.01	109.66	55.89	112.77	21.47	58.3	23.08	77.25	48.18	27.05	69.03	37.32	26.67	165.57	107.38	87.65	183.82	0.0	242.88	161.02	244.57	120.1	183.82	206.94	343.89	248.0	208.38	234.57	218.79
LENG8	1015.93	1104.13	567.1	412.0	1151.06	1628.26	954.43	1870.53	197.09	518.15	215.77	1059.11	665.29	642.59	872.1	743.43	297.17	3235.01	2271.4	1073.91	3419.52	0.0	3235.01	3168.41	4210.15	2240.11	3039.3	4972.34	3874.05	3303.0	3515.68	4123.49	3768.09
LSS	312.0	264.03	387.02	460.44	518.15	579.04	325.29	412.0	318.57	273.37	323.03	432.53	289.02	332.14	356.05	346.29	234.57	503.95	540.19	457.25	532.74	0.0	995.0	941.27	961.07	693.58	819.3	1008.9	878.17	854.13	775.05	1151.06	688.78
METTL22	169.07	172.65	141.02	154.42	198.47	236.21	136.19	180.02	102.25	135.24	118.43	172.65	154.42	99.43	129.69	148.09	113.56	264.03	255.0	186.4	265.87	0.0	435.55	376.41	429.54	299.25	346.29	567.1	417.77	555.41	454.09	316.37	426.57
MTA1	563.18	540.19	591.22	503.95	860.08	780.44	490.14	753.83	205.5	373.81	190.34	555.41	301.33	223.41	373.81	599.49	182.55	1286.18	878.17	633.73	1427.22	0.0	1757.34	2047.0	2032.85	1359.57	1651.0	2485.67	2240.11	2319.15	2018.8	2047.0	2240.11
MZF1	312.0	271.48	169.07	195.72	420.68	356.05	178.77	279.14	81.71	155.5	106.63	236.21	145.02	134.3	169.07	206.94	87.65	441.64	435.55	239.52	486.75	0.0	1167.14	620.67	743.43	450.94	748.61	854.13	1051.79	743.43	808.0	748.61	934.76
NADK	669.92	642.59	595.34	708.18	728.11	665.29	620.67	486.75	591.22	595.34	688.78	607.87	624.99	651.58	633.73	703.28	432.53	1066.48	813.63	651.58	1104.13	802.41	1477.58	1583.71	1427.22	1191.69	1437.15	1605.83	1733.13	1447.15	1685.71	1378.57	1757.34
NECAB3	392.44	540.19	780.44	473.41	303.44	587.13	450.94	371.22	543.96	409.15	305.55	414.87	318.57	417.77	273.37	417.77	205.5	743.43	638.15	521.76	473.41	0.0	1397.83	1721.16	1896.65	1721.16	2701.35	1662.49	2468.49	2591.27	2976.74	1909.85	2485.67
NPIPA1	500.46	490.14	842.36	255.0	1594.73	412.0	299.25	1044.52	177.53	460.44	109.66	647.07	293.07	163.28	579.04	759.08	198.47	866.07	1073.91	371.22	995.0	0.0	2075.59	1923.14	3589.58	878.17	1225.22	1896.65	3349.13	1923.14	1844.76	1437.15	1923.14
OGT	417.77	575.03	454.09	638.15	536.45	713.11	941.27	603.67	450.94	921.88	988.12	947.83	503.95	447.82	571.05	616.37	363.56	1023.0	1030.12	808.0	1111.82	0.0	2835.7	2255.7	1963.57	1605.83	2240.11	3146.52	2351.53	2133.97	2335.28	2875.3	2224.63
OSBPL7	130.6	135.24	134.3	112.77	291.04	121.79	103.69	236.21	34.02	85.82	69.03	176.29	102.97	90.14	137.14	106.63	60.39	223.41	134.3	135.24	221.86	0.0	497.0	429.54	316.37	303.44	373.81	392.44	426.57	412.0	204.07	329.84	241.19
PICK1	698.41	536.45	444.72	497.0	743.43	490.14	444.72	432.53	435.55	400.71	532.74	583.07	389.72	603.67	500.46	563.18	366.09	708.18	669.92	583.07	802.41	563.18	1662.49	1183.45	1359.57	1397.83	1295.13	1397.83	974.5	1242.34	1781.89	1313.23	1819.35
PIGZ	33.54	38.67	78.89	37.59	36.01	36.27	72.01	47.84	16.51	36.53	21.47	51.35	34.26	35.0	57.08	72.01	43.02	35.25	55.49	26.47	37.32	0.0	187.71	137.14	186.4	166.73	226.54	145.02	246.28	275.28	400.71	172.65	332.14
PLA2G6	371.22	454.09	325.29	256.78	547.75	420.68	218.79	497.0	147.06	170.25	48.18	312.0	187.71	62.56	223.41	262.2	71.0	1051.79	642.59	269.6	842.36	0.0	1651.0	753.83	785.88	665.29	1044.52	1259.69	872.1	808.0	1199.98	1208.34	1096.5
PLXNB3	18.56	26.67	6.11	9.06	8.78	27.05	35.0	51.71	11.82	7.0	3.44	12.55	6.94	7.82	9.56	21.78	6.01	68.55	15.0	15.22	24.63	0.0	703.28	642.59	1268.46	764.36	1135.2	759.08	733.19	1023.0	896.64	848.22	718.08
PNPLA7	28.04	82.29	76.17	32.82	144.01	97.36	31.67	139.07	33.06	34.75	21.32	66.65	29.48	29.27	30.34	57.08	21.01	226.54	94.67	108.9	138.1	0.0	743.43	915.51	1104.13	629.35	825.0	753.83	890.44	567.1	1709.26	1059.11	934.76
POLR3E	454.09	497.0	432.53	444.72	547.75	406.31	414.87	514.56	403.5	412.0	348.71	466.88	397.93	336.79	406.31	392.44	277.2	830.75	567.1	423.61	532.74	0.0	1388.16	1167.14	1340.84	1073.91	1628.26	1378.57	1561.89	2018.8	1674.06	1073.91	1709.26
PRICKLE4	150.17	137.14	214.27	155.5	314.17	136.19	120.94	253.23	106.63	94.67	79.45	145.02	91.41	83.45	123.5	118.43	81.71	432.53	162.14	155.5	397.93	0.0	563.18	414.87	723.08	258.57	463.65	647.07	450.94	267.73	414.87	400.71	536.45
PRPF38B	607.87	514.56	301.33	460.44	447.82	450.94	490.14	460.44	275.28	332.14	164.42	450.94	387.02	220.32	466.88	287.01	395.18	543.96	483.38	356.05	507.46	473.41	884.29	764.36	878.17	819.3	890.44	878.17	1030.12	1059.11	693.58	825.0	764.36
RALGDS	463.65	463.65	348.71	244.57	503.95	409.15	540.19	511.0	157.68	251.48	189.02	379.04	376.41	397.93	414.87	358.54	249.73	575.03	551.56	429.54	497.0	0.0	2104.58	947.83	1175.27	1030.12	1498.22	1183.45	1350.18	2520.38	1709.26	1208.34	1540.37
RBM5	1111.82	988.12	1183.45	866.07	1806.78	961.07	1135.2	1709.26	583.07	947.83	624.99	1304.15	860.08	575.03	1081.39	890.44	723.08	2032.85	1498.22	915.51	2384.37	0.0	2997.45	3190.46	3303.0	2739.08	3103.19	2796.65	4095.0	2434.5	3443.31	3060.45	3540.14
RP11-1407O15.2	214.27	206.94	172.65	156.59	301.33	208.38	182.55	262.2	92.7	275.28	85.22	281.09	170.25	110.43	244.57	158.79	190.34	320.8	244.57	198.47	332.14	0.0	769.69	536.45	525.39	341.51	532.74	638.15	536.45	551.56	420.68	493.56	483.38
RP11-468E2.4	14.45	3.76	0.65	6.21	7.57	15.68	8.19	2.86	3.41	6.06	2.39	6.46	5.11	3.69	7.75	4.86	3.38	13.32	9.56	10.88	10.88	0.0	20.26	27.84	35.25	10.63	20.11	23.08	50.98	22.75	16.75	20.11	20.11
RP13-996F3.5	1.04	2.63	0.73	0.77	2.56	6.46	2.43	5.59	0.0	1.75	0.71	3.44	0.39	1.5	0.74	1.66	0.78	3.29	1.57	2.14	9.93	0.0	9.7	11.55	6.21	9.2	7.94	3.32	15.34	9.93	6.84	13.03	3.5
SFPQ	5041.77	2720.15	4937.99	3257.52	3955.48	3212.66	4450.27	3955.48	2303.12	2835.7	2417.67	4123.49	3280.18	3901.01	4066.71	2956.17	3280.18	4869.99	3716.2	3794.3	4123.49	3768.09	8479.89	6471.02	7230.1	5255.91	6983.79	6887.62	7180.15	6337.83	7180.15	6337.83	7911.95
SGSH	591.22	555.41	579.04	693.58	543.96	890.44	599.49	435.55	532.74	591.22	587.13	525.39	429.54	441.64	603.67	688.78	323.03	928.3	684.02	748.61	902.89	0.0	2075.59	1498.22	1551.09	1651.0	2240.11	1806.78	2018.8	1832.01	2133.97	1427.22	2047.0
SLC25A45	183.82	141.02	55.89	90.14	69.52	159.9	143.01	84.63	103.69	74.06	44.25	94.67	79.45	118.43	80.01	142.01	69.52	155.5	176.29	147.06	140.04	51.35	743.43	265.87	358.54	237.86	358.54	403.5	325.29	842.36	500.46	275.28	460.44
SLC9A5	7.82	8.25	6.73	6.41	6.94	8.65	6.78	8.65	0.92	3.96	1.39	6.89	2.23	1.53	6.01	3.69	4.13	19.82	12.27	5.96	17.77	0.0	37.59	14.35	20.71	20.11	37.85	46.5	25.17	65.26	22.43	30.34	18.43
SMG5	1037.29	728.11	808.0	896.64	1030.12	896.64	679.29	830.75	981.29	1088.92	1044.52	902.89	825.0	802.41	836.53	1088.92	703.28	1096.5	967.76	1044.52	1175.27	753.83	1583.71	1561.89	1628.26	1208.34	1745.2	1769.57	1733.13	1477.58	2133.97	1331.57	1685.71
SPIN2A	2.05	2.27	3.38	4.43	9.78	10.88	5.23	4.74	1.25	2.2	3.06	4.94	4.39	2.61	4.94	2.86	1.89	10.08	3.08	5.06	8.85	0.0	15.22	11.47	12.64	7.34	18.56	19.53	14.24	13.42	15.45	18.16	13.52
SRSF1	2367.9	2148.82	2555.58	1977.24	2664.15	1963.57	2303.12	3168.41	1519.15	2075.59	1963.57	2434.5	2104.58	2119.22	2573.36	1991.0	1923.14	2148.82	2271.4	1950.0	2193.99	0.0	3665.02	3564.78	3395.89	3146.52	3665.02	3639.7	4123.49	3716.2	3794.3	3280.18	3349.13
SRSF4	1208.34	1313.23	775.05	995.0	1159.07	1378.57	1322.37	1037.29	813.63	1037.29	902.89	1151.06	995.0	723.08	1216.75	1191.69	848.22	1628.26	1250.98	1111.82	1457.23	1359.57	2075.59	1857.6	1991.0	1745.2	1561.89	2119.22	1832.01	1769.57	1769.57	2047.0	1844.76
SRSF6	1477.58	1427.22	1350.18	1388.16	2720.15	1870.53	2018.8	1685.71	1519.15	1745.2	1322.37	2335.28	1388.16	1697.45	1639.59	1498.22	1259.69	1909.85	2032.85	1662.49	2240.11	1498.22	4481.23	4543.8	3742.05	3103.19	4543.8	4671.57	4239.45	5183.54	4010.71	5672.41	4607.24
TBC1D3F	58.3	38.95	32.59	23.93	125.24	41.22	20.11	71.5	9.85	31.67	7.28	72.01	15.56	6.46	27.25	40.36	9.93	92.05	107.38	42.41	149.12	0.0	708.18	334.46	450.94	186.4	204.07	483.38	346.29	316.37	316.37	373.81	480.04
TBC1D3G	21.16	5.32	6.11	26.47	25.72	40.93	18.97	27.44	3.96	31.0	2.46	45.85	11.47	6.01	23.42	27.25	3.82	161.02	62.12	31.0	104.42	0.0	329.84	158.79	248.0	101.54	175.07	332.14	237.86	163.28	153.34	220.32	224.97
TBC1D9B	1191.69	1286.18	1208.34	1388.16	2061.24	1639.59	1407.55	1242.34	1304.15	1073.91	1175.27	1447.15	830.75	1030.12	1340.84	1313.23	1119.56	1529.73	1639.59	1572.76	1388.16	620.67	2895.31	1757.34	1757.34	1639.59	1936.53	2047.0	2645.74	1745.2	1745.2	1950.0	1870.53
TBCD	1081.39	896.64	1467.37	954.43	1529.73	1001.93	1286.18	1819.35	848.22	915.51	785.88	1030.12	836.53	1127.35	595.34	1127.35	961.07	1583.71	1304.15	1286.18	1583.71	0.0	2335.28	2434.5	2335.28	1583.71	2434.5	2645.74	2468.49	3901.01	4419.52	1662.49	2664.15
TEN1	595.34	703.28	567.1	612.11	417.77	647.07	329.84	532.74	507.46	351.14	633.73	406.31	525.39	417.77	457.25	656.11	403.5	665.29	665.29	647.07	785.88	0.0	866.07	974.5	848.22	909.17	764.36	854.13	703.28	1529.73	1583.71	785.88	1096.5
TIA1	532.74	595.34	769.69	460.44	1331.57	674.59	665.29	1313.23	409.15	656.11	236.21	693.58	470.14	260.38	723.08	486.75	395.18	909.17	909.17	423.61	1477.58	0.0	2367.9	1909.85	1583.71	1167.14	1832.01	1991.0	2209.26	1457.23	1508.65	1909.85	1498.22
TMEM63B	567.1	450.94	387.02	603.67	540.19	575.03	571.05	412.0	579.04	540.19	454.09	607.87	429.54	616.37	511.0	483.38	395.18	684.02	575.03	540.19	603.67	0.0	713.11	629.35	624.99	599.49	698.41	638.15	743.43	974.5	660.68	842.36	679.29
UMOD	602247.76	443937.41	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	225066.78	585779.24	301123.38	434801.29	431797.89	345900.08	636586.81	502929.67	267651.2	282912.21	381149.17	641014.63	236256.4	0.0	2.66	3.26	10.08	6.46	12.27	0.31	9.63	3.32	5.06	4.94	0.0
UPF3B	170.25	169.07	125.24	122.64	260.38	122.64	201.25	183.82	71.5	175.07	68.55	165.57	120.94	55.1	114.36	145.02	93.35	177.53	149.12	133.36	198.47	0.0	312.0	206.94	346.29	226.54	279.14	248.0	242.88	325.29	258.57	208.38	279.14
UVSSA	67.59	74.06	78.89	83.45	127.89	81.14	52.45	87.03	28.86	40.36	23.76	69.03	43.63	49.56	60.82	43.02	34.51	171.45	110.43	73.54	134.3	0.0	163.28	275.28	142.01	164.42	229.72	221.86	314.17	187.71	303.44	269.6	180.02
WDR27	127.0	241.19	212.78	68.07	277.2	297.17	234.57	325.29	100.13	125.24	87.03	193.01	102.25	75.64	147.06	158.79	59.13	316.37	341.51	185.11	379.04	0.0	1066.48	429.54	412.0	316.37	435.55	698.41	518.15	483.38	454.09	555.41	599.49
ZFC3H1	244.57	197.09	153.34	117.6	158.79	167.9	198.47	249.73	85.82	223.41	76.71	234.57	148.09	127.89	185.11	173.85	119.26	248.0	281.09	120.94	316.37	0.0	543.96	511.0	571.05	417.77	583.07	587.13	511.0	336.79	529.06	503.95	432.53
ZNF26	101.54	138.1	108.14	95.34	96.01	121.79	145.02	127.89	51.71	76.17	88.26	116.78	98.04	94.01	100.83	65.72	87.65	133.36	120.1	88.26	122.64	0.0	228.13	169.07	195.72	145.02	256.78	146.03	229.72	224.97	199.85	169.07	190.34
ZNF276	201.25	273.37	132.44	132.44	400.71	197.09	186.4	226.54	60.82	141.02	82.87	151.22	146.03	113.56	161.02	178.77	69.03	332.14	264.03	177.53	323.03	0.0	507.46	406.31	753.83	444.72	529.06	438.59	490.14	466.88	417.77	493.56	454.09
ZNF354B	108.14	134.3	105.15	55.89	159.9	147.06	65.72	166.73	33.3	82.29	42.41	96.68	87.03	23.59	108.14	94.01	50.98	146.03	144.01	105.89	158.79	0.0	314.17	236.21	187.71	204.07	214.27	323.03	376.41	291.04	209.84	281.09	212.78
ZNF419	129.69	131.51	132.44	64.34	144.01	88.88	108.9	152.28	74.06	136.19	115.97	153.34	105.15	69.52	147.06	142.01	110.43	104.42	163.28	115.97	143.01	97.36	195.72	223.41	265.87	170.25	420.68	275.28	368.65	406.31	329.84	249.73	343.89
ZNF577	318.57	281.09	713.11	145.02	954.43	229.72	503.95	967.76	169.07	299.25	389.72	612.11	198.47	353.59	426.57	429.54	295.11	507.46	457.25	473.41	486.75	0.0	1923.14	1191.69	1199.98	543.96	1233.75	753.83	1277.29	1806.78	1340.84	1259.69	1733.13
ZNF586	146.03	157.68	142.01	113.56	108.9	102.97	140.04	163.28	104.42	129.69	106.63	149.12	161.02	159.9	150.17	92.7	134.3	143.01	155.5	128.79	161.02	0.0	182.55	180.02	269.6	199.85	277.2	186.4	234.57	223.41	194.36	223.41	162.14
ZNF606	153.34	173.85	126.12	116.78	246.28	182.55	105.89	320.8	57.49	143.01	130.6	186.4	180.02	51.35	127.0	138.1	120.1	164.42	171.45	147.06	244.57	0.0	255.0	309.83	309.83	190.34	325.29	312.0	454.09	356.05	293.07	262.2	363.56
ZNF773	96.01	124.37	87.03	106.63	69.52	67.12	87.65	89.51	35.0	109.66	74.58	137.14	110.43	32.82	81.71	100.83	100.83	69.52	165.57	104.42	108.9	0.0	154.42	170.25	181.28	146.03	214.27	155.5	236.21	229.72	189.02	162.14	201.25
ZNF841	57.89	62.12	45.53	53.95	67.59	67.12	105.89	83.45	31.9	57.08	35.25	90.14	56.68	33.06	73.54	55.1	68.55	84.04	92.05	67.59	119.26	0.0	366.09	265.87	329.84	262.2	301.33	384.34	295.11	289.02	209.84	265.87	293.07
