	TCGA.C8.A12P.01A.11R.A115.07	TCGA.AC.A6IX.01A.12R.A32P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.DM.A1DA.01A.11R.A155.07	TCGA.AA.3492.01A.01R.1410.07	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.CN.4728.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07
PLXNC1	246.28	195.72	493.56	507.46	679.29	651.58	438.59	59.13	69.03	14.03	41.22	44.89	397.93	0.0
PRKG2	22.59	14.35	98.04	128.79	31.0	102.97	53.19	13.62	13.42	0.0	1.93	28.65	30.78	0.0
PTPRG	193.01	182.55	395.18	457.25	540.19	473.41	400.71	9.13	50.27	44.25	144.01	64.34	262.2	0.0
RNF144A	194.36	239.52	612.11	301.33	483.38	397.93	316.37	41.81	87.03	56.68	50.63	93.35	332.14	0.0
SALL4	26.28	37.32	111.21	77.79	109.66	66.18	58.71	6.31	0.0	4.31	9.41	29.91	96.68	0.0
SEPT11	1044.52	1111.82	3614.55	2739.08	1963.57	2303.12	2004.85	176.29	287.01	307.69	540.19	791.35	1286.18	638.15
SGCD	82.87	128.79	389.72	466.88	490.14	339.14	215.77	0.0	8.58	15.34	45.21	31.67	316.37	0.0
SH3PXD2A	248.0	351.14	1268.46	909.17	1304.15	684.02	521.76	244.57	223.41	275.28	180.02	460.44	872.1	0.0
SNX29	234.57	156.59	329.84	193.01	244.57	273.37	299.25	108.14	170.25	40.36	44.57	117.6	279.14	0.0
SSPN	201.25	202.66	563.18	514.56	483.38	532.74	305.55	4.62	71.5	6.67	22.26	36.01	327.56	0.0
SULF1	4298.64	1304.15	4639.29	9279.58	14163.58	10585.95	2915.45	71.5	81.14	409.15	974.5	1477.58	6983.79	0.0
TENM3	54.33	43.94	206.94	167.9	234.57	169.07	96.01	0.0	3.72	1.62	32.59	57.08	164.42	0.0
TIMP2	5633.22	5255.91	16383.0	14461.21	17078.76	15075.35	10512.82	728.11	3874.05	616.37	1551.09	3168.41	10883.59	0.0
TMEM106A	81.71	134.3	563.18	218.79	191.67	183.82	450.94	7.46	27.84	37.59	39.79	45.21	98.04	0.0
TRAM2	325.29	343.89	688.78	612.11	703.28	438.59	454.09	19.11	56.68	175.07	208.38	120.94	346.29	0.0
TWSG1	656.11	571.05	1088.92	1143.1	1015.93	915.51	764.36	316.37	373.81	217.27	379.04	532.74	656.11	0.0
UBTD2	486.75	503.95	708.18	575.03	603.67	753.83	599.49	224.97	285.03	151.22	183.82	175.07	432.53	109.66
VSTM4	75.64	150.17	320.8	223.41	320.8	199.85	154.42	6.11	32.82	15.45	20.86	49.56	194.36	32.13
XYLT1	47.17	98.04	193.01	189.02	265.87	102.97	144.01	48.18	54.33	28.04	30.56	52.45	162.14	0.0
ZFHX3	89.51	89.51	132.44	143.01	180.02	132.44	86.43	11.04	81.71	45.21	32.13	92.7	126.12	28.24
ZFHX4	36.79	48.87	165.57	82.87	94.01	82.29	91.41	7.82	36.27	1.81	1.2	7.4	25.17	0.0
ZNF469	35.76	64.34	373.81	98.73	202.66	61.68	113.56	3.99	18.84	7.88	14.24	32.82	223.41	0.0
ZNF521	103.69	242.88	579.04	249.73	500.46	312.0	343.89	0.84	71.0	11.73	23.25	55.89	309.83	0.0
