	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	GTEX.144GM.1326.SM.5LU5E	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG	GTEX.X15G.2126.SM.4PQZR	GTEX.1445S.2926.SM.5O993
HDAC6	1313.23	1001.93	1685.71	921.88	2573.36	1066.48	348.71	543.96	718.08	1001.93	1857.6	0.0	1.08	571.05	674.59	1427.22	785.88
HEATR2	642.59	563.18	665.29	607.87	890.44	423.61	264.03	135.24	281.09	181.28	108.14	0.0	0.51	381.68	525.39	791.35	285.03
INO80E	2075.59	1304.15	1529.73	1369.04	2303.12	1286.18	660.68	447.82	802.41	426.57	387.02	0.0	0.44	988.12	981.29	1313.23	848.22
INPP5E	226.54	180.02	291.04	371.22	262.2	305.55	58.3	89.51	86.43	34.51	78.34	0.0	0.66	75.64	110.43	183.82	78.89
ITFG2	647.07	651.58	493.56	490.14	629.35	426.57	149.12	198.47	202.66	173.85	119.26	0.0	0.21	543.96	400.71	642.59	316.37
KLC2	713.11	1066.48	656.11	1096.5	651.58	674.59	346.29	329.84	525.39	142.01	47.84	0.0	0.87	251.48	514.56	575.03	438.59
MLLT10	441.64	656.11	473.41	470.14	463.65	540.19	170.25	242.88	269.6	61.25	135.24	0.0	0.55	279.14	358.54	460.44	283.05
MRM1	195.72	111.99	186.4	181.28	473.41	117.6	57.08	35.76	53.95	19.25	70.01	0.0	0.06	114.36	105.15	253.23	78.34
MRPL27	3039.3	1794.29	2061.24	1883.54	2335.28	1322.37	1508.65	1733.13	1340.84	1519.15	2178.83	0.0	0.0	2061.24	1819.35	2609.3	1295.13
MSANTD1	2.86	7.57	8.78	6.16	10.16	1.79	1.08	4.1	2.14	0.26	0.03	0.0	0.37	0.64	1.38	6.31	1.28
MTO1	351.14	583.07	395.18	525.39	283.05	435.55	236.21	275.28	327.56	161.02	332.14	0.0	0.2	241.19	295.11	599.49	307.69
P2RY11	229.72	180.02	320.8	314.17	473.41	343.89	108.9	98.04	124.37	69.52	22.43	0.0	0.56	176.29	241.19	412.0	105.15
PDSS1	291.04	217.27	387.02	295.11	603.67	341.51	109.66	85.22	99.43	70.01	28.65	0.0	0.19	327.56	119.26	159.9	100.13
PHYKPL	878.17	587.13	1096.5	860.08	1191.69	703.28	255.0	400.71	429.54	2047.0	642.59	0.0	1.03	693.58	536.45	713.11	432.53
PI3	1078054.48	2864793.06	262143.0	3454390.1	13033.07	5272295.22	400098.69	1903204.61	253213.41	14.89	8.71	0.0	0.8	2442622.37	2326934.84	569761.05	11267.44
PIP4K2B	1359.57	361.04	543.96	575.03	759.08	473.41	191.67	123.5	397.93	90.14	67.59	0.0	0.39	426.57	363.56	620.67	218.79
PLA2G6	223.41	447.82	493.56	450.94	674.59	417.77	71.0	94.67	85.82	37.05	81.71	0.0	0.91	98.73	305.55	441.64	275.28
PLP2	15392.14	10368.08	13215.02	17558.94	7749.1	19892.37	11584.24	6607.01	7032.37	2739.08	376.41	0.0	1.19	4802.93	6207.38	7642.41	6337.83
PMF1-BGLAP	185.11	145.02	193.01	143.01	56.68	129.69	62.56	49.91	64.8	44.25	109.66	0.0	0.14	43.32	134.3	206.94	96.01
PRPF19	3081.75	1721.16	2193.99	2895.31	3564.78	2287.2	1111.82	890.44	1378.57	1909.85	1277.29	0.0	0.38	2148.82	2537.92	3124.78	1923.14
PRR12	255.0	255.0	271.48	301.33	532.74	241.19	147.06	129.69	202.66	37.05	20.86	0.0	0.49	236.21	241.19	332.14	191.67
QRICH2	23.93	57.49	58.3	122.64	96.68	53.95	8.32	6.89	19.11	4.13	14.56	0.0	0.38	13.12	75.64	162.14	32.82
REEP2	80.01	20.11	176.29	53.57	281.09	181.28	18.7	3.63	26.86	5.32	0.0	0.0	0.37	5.92	8.19	106.63	46.18
RNF112	28.65	18.84	10.08	24.63	15.8	35.25	3.2	1.85	3.96	1.57	3.96	0.0	0.65	25.91	3.53	14.89	14.03
RNF220	2209.26	802.41	1923.14	1819.35	1883.54	1936.53	872.1	665.29	1119.56	607.87	665.29	0.0	0.3	1832.01	1259.69	1870.53	1096.5
RNF25	587.13	651.58	928.3	866.07	995.0	679.29	361.04	497.0	432.53	381.68	132.44	476.71	198.47	599.49	376.41	642.59	432.53
RNF44	860.08	1286.18	872.1	1096.5	1540.37	521.76	486.75	579.04	651.58	157.68	142.01	0.0	0.61	406.31	748.61	866.07	591.22
ROBO3	309.83	400.71	454.09	224.97	1277.29	387.02	31.9	48.18	90.14	40.36	9.78	0.0	0.85	58.71	94.01	500.46	114.36
RPAP1	521.76	444.72	444.72	454.09	651.58	275.28	202.66	178.77	228.13	169.07	143.01	0.0	0.38	262.2	441.64	567.1	332.14
SFXN4	1143.1	521.76	607.87	764.36	830.75	547.75	297.17	299.25	299.25	728.11	295.11	0.0	0.0	493.56	435.55	954.43	387.02
SHISA4	171.45	46.18	647.07	642.59	444.72	260.38	180.02	57.49	457.25	17.0	248.0	0.0	0.67	137.14	215.77	665.29	224.97
SLC4A3	97.36	198.47	77.79	275.28	236.21	139.07	54.72	81.14	75.64	2.29	0.69	0.0	0.62	18.29	70.51	140.04	32.36
SMIM8	267.73	202.66	172.65	144.01	131.51	88.26	66.65	53.19	62.12	28.04	77.79	0.0	0.29	50.27	125.24	193.01	68.07
SNAPC2	872.1	665.29	753.83	967.76	872.1	1104.13	395.18	163.28	457.25	87.65	73.03	0.0	0.61	555.41	444.72	607.87	226.54
TARS2	285.03	368.65	603.67	599.49	961.07	397.93	211.31	175.07	301.33	279.14	555.41	0.0	0.17	329.84	426.57	679.29	277.2
TIMM10	2032.85	1508.65	1721.16	1594.73	2224.63	1259.69	1073.91	518.15	830.75	1477.58	1674.06	0.0	0.4	1487.87	1127.35	2075.59	1044.52
TIMM21	480.04	334.46	656.11	559.28	684.02	555.41	199.85	183.82	253.23	275.28	194.36	0.0	0.02	563.18	341.51	878.17	403.5
TKT	9540.5	5255.91	6607.01	17317.18	8778.97	18178.19	4671.57	2739.08	4298.64	3168.41	1417.35	0.0	0.82	10808.41	5112.16	5913.33	3325.99
TMEM216	511.0	189.02	463.65	536.45	624.99	341.51	116.78	72.52	161.02	64.8	22.59	0.0	0.03	314.17	293.07	684.02	190.34
TMX2	2855.44	2018.8	1883.54	2384.37	2303.12	1857.6	1950.0	1359.57	1295.13	2104.58	947.83	0.0	0.48	2502.97	1350.18	3039.3	1769.57
TSEN2	271.48	215.77	395.18	217.27	454.09	316.37	96.01	97.36	79.45	135.24	58.71	0.0	0.16	177.53	172.65	303.44	165.57
TSSC4	1594.73	934.76	890.44	1295.13	1096.5	915.51	808.0	1001.93	813.63	684.02	536.45	0.0	0.66	748.61	842.36	1159.07	669.92
TTC23	157.68	346.29	412.0	341.51	480.04	320.8	103.69	180.02	205.5	35.25	70.01	0.0	0.61	97.36	229.72	309.83	246.28
TTC9C	780.44	540.19	748.61	587.13	830.75	409.15	366.09	228.13	447.82	187.71	205.5	0.0	0.44	420.68	599.49	638.15	314.17
URM1	2178.83	909.17	1617.0	1769.57	1628.26	1225.22	896.64	591.22	1015.93	928.3	693.58	0.0	0.33	1295.13	1167.14	1883.54	884.29
VPS9D1	624.99	366.09	547.75	1127.35	334.46	679.29	162.14	543.96	435.55	353.59	129.69	0.0	0.74	1073.91	325.29	387.02	234.57
WDR73	511.0	503.95	595.34	591.22	738.29	521.76	118.43	273.37	194.36	136.19	66.18	0.0	0.54	423.61	441.64	429.54	323.03
ZNF259	543.96	764.36	802.41	665.29	819.3	679.29	624.99	521.76	759.08	314.17	237.86	0.0	0.14	775.05	674.59	1037.29	514.56
ZNF343	325.29	191.67	234.57	234.57	320.8	183.82	80.57	77.79	101.54	87.65	25.35	0.0	0.71	78.34	164.42	172.65	152.28
ZNF446	232.94	163.28	303.44	356.05	435.55	283.05	72.01	84.63	111.99	289.02	63.0	0.0	0.41	156.59	128.79	214.27	120.94
ZNF519	171.45	49.21	595.34	92.7	332.14	48.52	7.17	10.55	18.16	1.69	5.96	0.0	0.29	30.56	24.63	53.95	29.27
ZNF578	8.99	24.81	23.42	13.72	83.45	26.47	3.79	0.0	3.08	0.0	3.08	0.0	0.41	3.17	0.92	28.45	0.83
ZNF596	78.89	50.27	72.52	72.52	169.07	66.65	31.67	29.48	40.93	15.8	11.82	0.0	0.52	39.79	45.53	66.65	40.07
ZNF768	532.74	336.79	642.59	921.88	1378.57	536.45	242.88	195.72	320.8	239.52	327.56	0.0	0.59	329.84	785.88	1051.79	417.77
ZRSR2	698.41	255.0	429.54	244.57	493.56	262.2	138.1	126.12	211.31	82.29	120.1	0.0	0.56	255.0	111.99	476.71	226.54
