	TCGA.BT.A20O.01A.21R.A14Y.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07
LSP1	3018.3	1844.76	3955.48	3372.43	3349.13	2271.4	8718.32	10512.82	153.34	775.05	111.21	299.25	819.3	1594.73	55.1	92.7	112.77	72.52	176.29	105.15	115.16	486.75	105.89	83.45	30.56	2090.03	1015.93	819.3	521.76	400.71	258.57	500.46	346.29	214.27	595.34	1561.89	358.54	547.75	358.54	651.58	947.83	511.0	435.55	139.07	3716.2	3419.52
LST1	1709.26	2855.44	3540.14	3060.45	2777.33	2777.33	3665.02	4736.79	220.32	236.21	101.54	253.23	2303.12	1088.92	47.5	59.55	83.45	80.01	221.86	52.82	50.98	703.28	358.54	117.6	70.01	4095.0	1250.98	314.17	1295.13	356.05	293.07	1561.89	327.56	318.57	1119.56	1199.98	607.87	1417.35	1322.37	540.19	1561.89	591.22	629.35	191.67	1540.37	1963.57
LY86	684.02	567.1	1111.82	1909.85	1250.98	1628.26	2335.28	2997.45	14.14	39.22	13.42	27.84	555.41	217.27	10.0	8.92	20.56	10.0	24.81	16.39	6.31	78.89	43.63	13.52	7.63	353.59	127.89	120.94	277.2	61.68	32.36	258.57	104.42	69.52	90.77	146.03	54.33	368.65	332.14	68.55	356.05	46.5	82.29	52.45	780.44	1044.52
MFAP5	426.57	21.94	57.89	381.68	68.55	262.2	189.02	1529.73	0.0	9.48	0.0	0.61	28.86	48.87	3.96	2.14	1.81	3.17	5.87	11.91	2.1	4.35	2.89	7.34	0.0	13.72	0.0	92.7	20.71	17.25	16.15	10.0	10.08	5.11	4.13	27.25	0.0	3.92	6.16	0.66	16.63	6.36	3.17	0.87	96.01	258.57
MILR1	246.28	301.33	232.94	283.05	320.8	301.33	480.04	417.77	13.83	14.56	2.14	26.28	214.27	177.53	12.36	2.01	9.06	8.71	19.68	9.85	5.36	26.86	14.56	10.71	1.73	140.04	23.08	20.26	78.89	22.1	20.71	84.04	27.05	59.97	34.75	52.82	28.86	68.07	59.55	19.39	79.45	10.16	8.71	7.69	199.85	305.55
MNDA	511.0	713.11	1175.27	830.75	1277.29	819.3	444.72	674.59	16.03	27.84	9.56	19.82	202.66	218.79	14.35	7.11	7.75	12.93	13.22	10.55	6.94	65.26	15.11	7.22	2.92	403.5	38.95	251.48	162.14	140.04	34.75	356.05	52.08	30.78	85.22	74.06	44.57	72.52	35.0	35.5	164.42	43.02	73.03	190.34	417.77	738.29
MS4A6A	8022.41	8191.0	9808.75	11827.67	12589.08	15607.02	7537.18	6037.61	151.22	368.65	73.03	269.6	5076.84	2193.99	94.01	66.65	78.89	104.42	182.55	166.73	66.18	1088.92	836.53	150.17	86.43	14461.21	3081.75	2875.3	5555.65	934.76	624.99	6745.86	1781.89	1388.16	1286.18	3124.78	2119.22	5219.6	5995.9	1081.39	4268.94	2835.7	2351.53	669.92	4181.07	6164.49
MS4A7	1936.53	1457.23	3665.02	4210.15	3103.19	4836.35	2119.22	1233.75	69.03	105.15	37.85	80.57	3168.41	693.58	21.16	35.5	21.47	38.12	86.43	86.43	6.89	376.41	169.07	52.82	41.52	2835.7	616.37	599.49	1073.91	217.27	131.51	1437.15	273.37	164.42	607.87	688.78	441.64	1322.37	1832.01	305.55	1359.57	466.88	830.75	223.41	1709.26	3349.13
MSR1	2417.67	878.17	2682.69	4038.61	3280.18	4152.18	1685.71	2520.38	16.63	36.01	15.91	61.68	669.92	540.19	10.63	21.63	13.03	39.5	25.17	47.84	24.99	67.59	32.13	19.11	7.88	454.09	142.01	199.85	305.55	51.35	62.12	265.87	50.98	111.21	93.35	221.86	62.12	309.83	271.48	70.01	320.8	94.01	129.69	39.79	1359.57	2351.53
MYO1F	830.75	733.19	1417.35	915.51	1159.07	723.08	1066.48	1208.34	47.17	82.87	45.21	66.65	642.59	616.37	25.17	44.25	42.71	37.05	48.52	17.64	27.44	170.25	92.05	42.11	46.18	647.07	191.67	234.57	297.17	232.94	92.05	277.2	158.79	220.32	226.54	395.18	113.56	204.07	217.27	198.47	518.15	248.0	209.84	121.79	1143.1	1199.98
MYO1G	521.76	353.59	819.3	486.75	718.08	320.8	291.04	511.0	15.91	21.63	11.64	30.56	149.12	220.32	9.48	3.59	11.47	7.69	14.14	5.87	4.82	47.17	21.16	10.0	3.59	125.24	157.68	76.71	38.95	60.39	33.3	36.53	44.57	87.65	42.11	291.04	45.53	31.45	25.17	104.42	54.72	38.4	57.49	21.32	432.53	759.08
NAGK	4358.66	3325.99	3955.48	3768.09	4181.07	3540.14	7589.61	6887.62	1059.11	1268.46	884.29	1159.07	4358.66	3395.89	854.13	988.12	884.29	1794.29	909.17	1051.79	780.44	1594.73	1250.98	896.64	684.02	3491.39	1242.34	1883.54	1407.55	896.64	915.51	1870.53	1427.22	775.05	1417.35	1832.01	1259.69	1417.35	1674.06	1199.98	1745.2	1183.45	1662.49	599.49	4769.75	5954.47
NCF1	1023.0	878.17	981.29	764.36	902.89	708.18	1104.13	1909.85	24.99	44.25	16.75	35.25	483.38	387.02	9.78	5.68	22.92	9.63	32.13	11.91	11.21	125.24	41.81	27.84	6.52	450.94	287.01	185.11	202.66	70.01	62.56	339.14	52.82	486.75	108.9	209.84	149.12	204.07	176.29	102.25	178.77	152.28	171.45	64.8	954.43	775.05
NCKAP1L	1322.37	669.92	1628.26	1277.29	1883.54	1605.83	842.36	1081.39	21.16	27.44	11.04	27.05	426.57	361.04	6.26	10.47	6.36	17.64	16.39	10.55	6.67	57.49	32.59	14.03	7.11	656.11	191.67	102.25	208.38	48.18	49.91	256.78	64.34	37.85	119.26	229.72	47.17	246.28	346.29	112.77	202.66	146.03	124.37	51.35	723.08	974.5
NFAM1	480.04	277.2	262.2	320.8	343.89	376.41	307.69	426.57	4.43	8.45	2.89	14.35	217.27	122.64	1.08	2.41	2.18	6.11	3.92	3.76	2.36	33.78	17.25	7.51	2.84	177.53	38.4	34.02	90.77	20.11	8.38	120.94	14.45	48.52	39.22	36.27	9.85	126.12	84.04	13.72	104.42	18.29	28.45	30.56	387.02	417.77
NLRP3	107.38	90.77	246.28	115.97	271.48	156.59	241.19	241.19	2.12	7.06	2.81	9.48	128.79	34.75	1.41	0.49	1.16	2.27	4.58	4.7	2.61	32.59	2.92	1.14	2.76	71.5	115.97	16.03	27.05	3.44	9.56	21.01	20.86	28.65	8.78	13.62	7.69	36.01	64.34	21.32	39.79	11.04	46.84	29.7	159.9	81.71
OSCAR	244.57	392.44	125.24	327.56	307.69	214.27	813.63	1286.18	7.88	14.89	12.93	15.34	54.72	149.12	5.82	12.0	7.57	3.59	15.91	7.34	9.27	35.5	8.58	13.62	21.01	123.5	48.87	26.86	38.95	17.0	16.27	74.58	25.54	117.6	31.45	41.52	27.05	18.43	36.01	39.22	74.58	41.22	76.71	27.84	836.53	1467.37
PDCD1LG2	373.81	307.69	246.28	305.55	356.05	435.55	55.1	141.02	5.92	5.5	5.77	8.92	71.5	56.28	1.79	2.32	0.25	7.0	3.06	0.61	1.11	13.32	6.89	2.36	21.47	131.51	42.41	51.71	52.45	17.0	14.35	74.58	24.28	21.16	16.51	91.41	19.39	75.64	96.01	41.22	43.94	24.63	27.84	23.42	135.24	65.26
PIK3CD	684.02	389.72	733.19	432.53	497.0	426.57	429.54	514.56	22.75	15.56	10.71	29.91	314.17	283.05	21.63	2.14	10.96	7.28	18.29	3.76	4.13	45.85	33.06	6.36	6.26	463.65	66.65	130.6	182.55	63.0	26.47	195.72	73.03	55.1	81.71	161.02	76.71	115.97	125.24	90.14	187.71	74.06	55.1	20.41	473.41	368.65
PILRA	1081.39	961.07	1059.11	1662.49	1216.75	1437.15	1733.13	2485.67	47.5	97.36	28.24	83.45	583.07	579.04	49.91	51.35	40.64	80.01	73.03	64.34	53.57	108.14	53.57	41.81	14.78	429.54	150.17	206.94	316.37	177.53	84.63	71.5	118.43	316.37	100.13	191.67	115.16	281.09	100.13	232.94	133.36	96.01	105.89	172.65	1437.15	1216.75
PLAU	2319.15	1081.39	802.41	1437.15	1540.37	1617.0	1529.73	2209.26	53.57	67.12	60.39	81.71	406.31	361.04	29.27	25.35	27.05	47.5	54.33	44.25	25.54	112.77	21.94	40.07	13.52	281.09	273.37	158.79	76.17	32.13	33.54	45.21	76.17	392.44	36.53	105.89	35.76	32.82	48.52	51.35	234.57	110.43	57.08	9.27	3742.05	1561.89
PLEK	2193.99	1447.15	1883.54	1605.83	2351.53	2287.2	1322.37	1844.76	28.04	46.5	23.76	193.01	647.07	813.63	9.06	13.03	10.24	48.18	20.26	12.18	13.52	120.1	61.68	18.84	10.24	1104.13	1073.91	228.13	389.72	115.97	47.84	493.56	175.07	406.31	183.82	301.33	84.63	267.73	409.15	122.64	281.09	136.19	312.0	86.43	954.43	1407.55
PLEKHO2	1322.37	860.08	1870.53	1662.49	2148.82	2319.15	1143.1	1963.57	90.14	113.56	57.49	202.66	1167.14	547.75	52.08	33.78	94.67	59.13	98.73	67.12	27.64	248.0	65.26	62.56	44.89	698.41	258.57	287.01	279.14	102.25	49.21	271.48	105.89	194.36	145.02	201.25	134.3	289.02	327.56	147.06	392.44	144.01	139.07	63.45	1397.83	1769.57
PRDM1	429.54	123.5	775.05	529.06	476.71	703.28	217.27	258.57	10.24	11.64	12.64	15.45	108.9	158.79	6.57	7.51	6.31	8.65	9.48	7.94	5.59	30.78	8.38	12.64	3.66	117.6	158.79	82.29	30.34	58.3	26.67	18.56	22.1	51.35	39.5	346.29	45.85	76.71	21.63	98.73	67.12	51.35	67.12	39.22	796.86	201.25
PTAFR	638.15	514.56	599.49	909.17	915.51	1081.39	555.41	915.51	7.63	18.29	4.78	19.25	152.28	209.84	7.34	5.96	5.59	4.35	7.63	4.74	3.56	29.91	13.52	7.0	3.53	218.79	19.68	13.83	156.59	15.91	6.16	104.42	25.54	140.04	28.65	28.65	25.91	129.69	86.43	45.21	215.77	14.45	15.68	5.15	466.88	860.08
PTPN6	2351.53	2004.85	2816.11	2193.99	2720.15	2090.03	3081.75	3257.52	521.76	669.92	579.04	447.82	1963.57	1806.78	1008.9	281.09	808.0	583.07	878.17	616.37	500.46	796.86	656.11	503.95	493.56	1769.57	1498.22	1561.89	941.27	669.92	708.18	1096.5	808.0	825.0	872.1	954.43	890.44	909.17	1135.2	819.3	1111.82	698.41	507.46	476.71	2758.13	2537.92
PTPN7	780.44	642.59	669.92	579.04	633.73	392.44	183.82	279.14	17.77	13.12	14.24	37.05	152.28	287.01	8.51	5.82	10.08	12.0	14.35	7.34	3.72	36.27	20.71	9.93	5.32	135.24	109.66	82.87	63.89	50.27	82.29	88.26	44.25	50.98	85.82	180.02	22.75	22.59	29.91	147.06	84.63	38.12	48.52	38.67	466.88	297.17
PTPRO	95.34	117.6	242.88	237.86	303.44	314.17	283.05	301.33	3.17	2.63	5.87	5.82	23.93	52.08	8.0	1.51	1.58	2.73	4.35	3.11	1.79	6.84	5.68	2.18	2.16	72.52	9.41	23.93	57.08	1.99	1.14	31.9	10.47	4.78	20.56	32.82	6.84	40.36	46.5	12.55	44.25	9.34	8.71	1.28	96.68	239.52
RAB33A	78.34	71.5	73.03	106.63	62.12	111.99	23.93	49.56	6.41	7.0	3.72	8.92	417.77	35.5	1.04	0.87	1.3	2.66	1.89	1.83	2.34	16.03	0.64	2.05	1.45	20.26	12.18	52.08	7.11	21.47	5.77	3.76	5.59	8.92	18.03	25.54	6.21	4.58	1.22	5.15	11.47	6.57	11.3	29.06	42.11	35.5
RELT	295.11	241.19	336.79	209.84	341.51	175.07	293.07	283.05	21.63	14.45	10.96	54.33	136.19	171.45	20.86	7.94	11.21	45.85	31.0	47.5	8.19	47.17	18.03	13.52	12.09	100.13	124.37	63.45	27.25	29.48	19.97	40.64	14.45	80.57	37.32	57.08	17.38	21.63	36.01	35.0	53.95	49.56	94.01	22.75	353.59	450.94
RNF145	878.17	1397.83	1437.15	1605.83	3212.66	1540.37	1183.45	928.3	432.53	144.01	279.14	503.95	579.04	848.22	145.02	173.85	341.51	149.12	320.8	136.19	395.18	187.71	175.07	283.05	141.02	493.56	325.29	603.67	336.79	356.05	103.69	363.56	167.9	198.47	205.5	281.09	236.21	163.28	273.37	199.85	483.38	262.2	220.32	82.29	1950.0	3039.3
SAMD9L	842.36	314.17	974.5	368.65	791.35	432.53	170.25	164.42	26.86	10.79	16.75	34.02	167.9	162.14	4.7	4.24	22.43	13.22	16.39	5.54	5.28	18.29	14.56	6.62	18.43	131.51	35.76	62.56	130.6	31.45	14.24	35.5	68.55	13.03	49.91	87.03	53.19	35.25	77.25	521.76	63.0	29.06	21.32	8.65	198.47	318.57
SAMSN1	1225.22	547.75	703.28	780.44	928.3	796.86	457.25	457.25	13.12	10.39	8.25	39.22	283.05	312.0	4.31	4.86	9.2	12.64	7.63	14.24	4.43	85.82	29.48	16.27	5.28	336.79	368.65	177.53	145.02	106.63	23.08	130.6	29.7	128.79	98.73	138.1	16.63	121.79	138.1	157.68	129.69	92.7	325.29	98.73	563.18	343.89
SCIMP	412.0	171.45	500.46	480.04	529.06	480.04	318.57	490.14	8.65	9.48	2.12	7.28	165.57	137.14	8.25	3.47	2.39	18.7	5.77	7.46	1.95	46.5	15.34	3.26	5.77	376.41	114.36	81.71	212.78	20.71	45.85	242.88	64.8	24.81	31.22	68.55	36.01	217.27	318.57	72.01	105.15	34.75	66.18	30.12	195.72	183.82
SDC3	3665.02	1745.2	1991.0	2682.69	2976.74	4152.18	1950.0	2777.33	68.55	163.28	37.85	163.28	1870.53	909.17	31.45	16.63	162.14	67.59	176.29	138.1	26.67	155.5	170.25	45.53	35.76	2104.58	173.85	273.37	825.0	178.77	74.58	1457.23	224.97	208.38	269.6	236.21	283.05	1073.91	1199.98	151.22	961.07	150.17	190.34	73.03	1639.59	1417.35
SELPLG	1467.37	967.76	1175.27	1883.54	2032.85	1697.45	1277.29	1977.24	37.32	66.65	21.47	68.07	693.58	473.41	14.14	12.18	18.97	25.54	30.34	12.45	14.03	123.5	45.53	36.27	8.58	866.07	277.2	162.14	262.2	79.45	70.51	457.25	65.72	98.04	90.77	400.71	46.18	559.28	260.38	65.26	497.0	92.05	158.79	90.14	1225.22	1191.69
SEMA4A	848.22	320.8	995.0	473.41	723.08	612.11	167.9	363.56	9.2	12.18	5.82	20.26	93.35	162.14	25.72	4.78	8.45	13.83	90.77	7.46	12.0	25.54	6.52	11.38	11.55	125.24	122.64	130.6	77.25	37.85	19.82	65.72	21.47	201.25	133.36	31.0	9.63	28.45	26.86	34.02	103.69	36.79	38.12	37.05	693.58	703.28
SIGLEC14	197.09	140.04	358.54	334.46	460.44	366.09	114.36	217.27	0.0	3.41	0.0	4.35	88.88	80.01	0.78	3.82	0.0	3.2	1.87	2.51	1.57	0.0	8.92	5.5	0.35	78.89	21.78	19.68	31.45	0.0	1.35	122.64	0.0	23.42	32.36	15.8	4.28	151.22	53.19	5.59	93.35	7.17	14.03	14.03	265.87	88.26
SIGLEC9	273.37	199.85	269.6	363.56	503.95	525.39	414.87	457.25	9.93	11.3	4.5	22.59	379.04	172.65	1.81	1.48	6.52	3.56	5.77	7.82	3.5	50.27	30.12	3.63	4.13	244.57	92.05	70.51	171.45	25.35	14.67	206.94	26.1	35.25	63.45	59.97	73.54	150.17	143.01	39.5	119.26	60.82	43.94	25.17	318.57	412.0
SIRPB2	170.25	221.86	256.78	262.2	295.11	397.93	114.36	351.14	2.41	7.94	2.89	13.52	37.59	60.82	5.82	0.68	4.94	4.78	1.73	3.96	1.5	7.4	6.57	2.78	3.63	92.05	4.98	6.11	60.82	2.97	5.73	38.95	14.35	15.0	18.97	24.99	12.64	21.63	31.45	4.58	23.59	17.38	33.06	13.83	199.85	98.04
SLA2	392.44	185.11	323.03	260.38	193.01	171.45	43.63	89.51	9.78	2.51	4.7	10.31	77.25	102.25	3.32	4.13	5.68	5.68	7.94	2.63	1.97	16.51	9.93	4.54	3.14	49.21	58.3	74.58	14.45	40.36	31.22	13.83	17.0	10.96	26.67	64.8	26.1	20.71	15.56	50.27	21.63	20.41	74.06	93.35	177.53	55.1
SLAMF8	2018.8	1583.71	1427.22	1896.65	2255.7	1313.23	921.88	1487.87	31.67	19.68	4.74	50.63	110.43	529.06	12.36	5.63	13.62	12.93	24.46	10.88	11.47	41.81	9.13	22.1	10.63	325.29	51.35	15.68	141.02	7.0	9.63	43.63	19.53	17.25	28.04	49.56	37.32	114.36	22.92	55.1	291.04	33.06	34.51	6.41	1477.58	866.07
SLC15A3	5594.3	4543.8	4450.27	5479.15	6426.31	4181.07	9025.81	13872.08	791.35	738.29	309.83	389.72	1977.24	2739.08	136.19	124.37	283.05	353.59	764.36	373.81	162.14	651.58	283.05	301.33	693.58	3212.66	1977.24	688.78	1794.29	674.59	400.71	1369.04	961.07	423.61	860.08	1191.69	703.28	2319.15	1950.0	12502.12	1322.37	591.22	246.28	373.81	5112.16	7331.05
SLC24A4	3.89	8.51	17.9	13.93	18.29	14.56	8.38	14.14	0.82	1.64	0.43	0.0	13.93	6.36	0.51	0.41	0.43	0.88	0.0	0.46	0.0	1.71	0.57	0.42	0.47	6.26	4.31	11.13	3.38	1.22	1.11	3.82	2.05	1.11	1.11	2.39	2.39	2.97	2.68	0.29	4.43	3.53	4.03	1.77	12.0	14.24
SLC7A7	1313.23	954.43	1498.22	2997.45	1794.29	1963.57	1286.18	1936.53	19.82	50.27	16.75	63.0	486.75	551.56	27.25	16.88	106.63	31.0	54.33	27.64	46.84	81.71	62.56	24.99	20.71	974.5	242.88	195.72	444.72	95.34	78.89	397.93	111.99	52.08	165.57	156.59	91.41	463.65	392.44	157.68	529.06	91.41	80.57	99.43	1369.04	1870.53
SNX20	463.65	293.07	669.92	511.0	518.15	417.77	214.27	392.44	6.73	13.62	5.87	21.63	120.1	142.01	4.39	4.94	6.11	3.59	8.0	3.63	1.87	26.28	9.48	5.36	3.79	183.82	46.5	43.32	80.01	19.11	9.27	48.87	18.84	35.76	17.9	62.12	18.97	45.21	53.57	35.76	132.44	27.84	28.65	17.38	220.32	258.57
SPI1	2384.37	2417.67	2682.69	2303.12	4123.49	2417.67	3928.15	4836.35	119.26	180.02	59.97	242.88	1819.35	1268.46	30.12	46.5	52.08	53.95	122.64	66.65	56.28	368.65	153.34	80.57	50.27	1769.57	511.0	343.89	688.78	195.72	115.97	866.07	123.5	429.54	348.71	493.56	211.31	647.07	872.1	140.04	884.29	267.73	493.56	234.57	2555.58	3103.19
SPOCK2	1037.29	470.14	1662.49	1023.0	791.35	1037.29	348.71	684.02	34.75	25.54	27.64	87.03	253.23	525.39	42.71	38.12	34.51	14.45	53.95	16.51	44.57	137.14	27.84	65.26	10.0	373.81	450.94	182.55	100.83	237.86	102.25	57.08	64.34	79.45	164.42	703.28	48.18	66.65	45.85	295.11	110.43	134.3	267.73	99.43	620.67	1561.89
SRGN	18689.27	6935.54	11909.94	10225.32	10808.41	11992.79	7695.57	7130.55	236.21	318.57	447.82	336.79	3235.01	2997.45	198.47	208.38	137.14	303.44	231.32	265.87	133.36	1397.83	332.14	255.0	172.65	5329.3	6426.31	2591.27	1340.84	1697.45	547.75	3443.31	463.65	1437.15	1127.35	2835.7	819.3	1175.27	1250.98	1651.0	974.5	1208.34	2537.92	1369.04	9474.59	8778.97
STAC3	283.05	218.79	269.6	246.28	376.41	285.03	348.71	379.04	25.91	48.52	26.1	63.45	202.66	256.78	33.78	12.74	44.89	29.48	57.89	31.22	10.39	106.63	63.45	23.93	118.43	90.14	36.79	71.0	85.82	27.64	14.56	52.82	41.22	30.78	63.45	69.03	47.17	41.52	50.27	20.71	68.55	36.01	86.43	19.53	181.28	387.02
STAT5A	785.88	1857.6	941.27	902.89	890.44	708.18	759.08	947.83	136.19	260.38	269.6	201.25	1457.23	373.81	131.51	58.3	103.69	105.15	111.21	85.22	40.36	163.28	139.07	60.39	133.36	312.0	199.85	127.89	135.24	72.52	88.26	197.09	171.45	403.5	80.57	132.44	116.78	176.29	181.28	105.89	153.34	94.67	132.44	56.68	759.08	848.22
SYK	450.94	348.71	514.56	651.58	842.36	890.44	656.11	830.75	12.27	25.91	6.94	27.44	231.32	180.02	6.36	5.59	5.77	9.48	12.27	6.94	6.16	33.3	14.14	8.78	3.63	476.71	31.9	37.59	148.09	26.86	17.0	228.13	33.06	38.4	56.68	70.51	31.67	162.14	111.21	22.26	177.53	22.59	18.84	10.55	579.04	679.29
SYTL3	224.97	297.17	414.87	236.21	177.53	208.38	183.82	181.28	8.99	3.63	3.17	9.56	139.07	93.35	10.31	5.73	2.73	12.55	7.51	6.36	1.41	16.51	13.72	7.75	9.27	36.27	104.42	96.68	29.7	57.49	42.41	15.91	30.78	37.32	62.56	64.8	43.94	15.34	13.32	73.54	23.93	33.06	187.71	249.73	368.65	262.2
TBXAS1	915.51	825.0	1199.98	1561.89	1697.45	1806.78	1857.6	2417.67	43.02	74.58	39.5	80.01	842.36	397.93	23.08	30.12	47.84	49.91	86.43	45.21	38.67	161.02	102.25	60.82	52.82	718.08	239.52	165.57	351.14	63.89	94.01	429.54	91.41	132.44	173.85	164.42	139.07	444.72	264.03	167.9	423.61	118.43	115.16	98.04	1250.98	1073.91
TFEC	470.14	232.94	934.76	460.44	480.04	480.04	571.05	291.04	6.31	1.64	3.5	21.78	72.01	145.02	1.45	2.97	5.63	9.85	7.57	2.53	1.51	20.71	12.0	4.13	0.93	80.57	69.52	69.03	69.52	20.56	5.92	33.78	11.91	16.88	42.71	56.28	8.71	33.3	65.72	49.21	50.63	33.3	32.13	16.75	171.45	361.04
THEMIS2	2090.03	1081.39	2573.36	2835.7	2255.7	2855.44	2090.03	1651.0	30.56	67.12	21.63	86.43	1457.23	728.11	30.34	20.26	21.63	62.12	38.67	41.52	19.11	264.03	65.72	46.18	24.46	1540.37	297.17	279.14	325.29	98.73	96.01	444.72	98.04	242.88	336.79	444.72	221.86	341.51	303.44	214.27	358.54	295.11	376.41	183.82	2209.26	2645.74
TIFAB	30.12	25.72	44.57	9.34	38.12	18.97	23.76	19.25	1.3	1.0	1.0	0.99	3.11	16.88	0.0	0.32	0.33	0.0	1.46	0.0	0.0	1.04	0.0	0.65	0.0	36.27	3.0	0.0	15.0	3.0	0.0	1.45	0.0	0.0	2.71	10.24	0.0	5.5	1.5	1.01	15.8	0.0	4.58	0.0	10.39	16.39
TLR7	112.77	38.12	381.68	285.03	417.77	301.33	170.25	291.04	1.1	2.89	0.53	2.58	21.63	20.41	1.35	0.49	0.82	0.56	0.93	0.57	0.2	3.0	0.73	0.8	0.25	85.82	1.91	3.89	31.45	3.5	1.81	12.93	7.51	1.79	4.86	5.23	11.73	10.24	16.51	8.65	112.77	3.47	4.9	0.0	56.28	75.64
TNFRSF8	37.85	19.53	26.47	40.07	38.4	23.08	15.68	32.36	1.31	1.36	1.35	2.34	16.27	18.56	1.19	0.64	0.66	0.0	2.25	0.35	0.0	4.54	1.36	0.97	0.74	31.22	3.26	1.81	7.34	0.0	1.51	7.4	6.11	20.26	0.8	0.85	0.0	3.5	5.68	2.51	2.29	5.87	5.45	2.68	36.01	32.36
TNIP3	633.73	18.29	143.01	59.97	71.5	31.0	12.74	7.51	0.34	0.69	0.35	1.03	4.35	16.75	0.0	0.0	0.0	0.0	0.0	1.11	0.0	3.92	0.46	0.0	0.0	3.63	2.1	3.99	2.23	15.45	0.0	0.0	3.66	4.66	9.2	10.88	0.0	0.0	0.0	17.9	0.66	0.0	2.61	5.68	31.67	71.5
TRPV2	947.83	791.35	1015.93	1175.27	1259.69	1183.45	967.76	1540.37	116.78	88.26	108.9	108.9	403.5	693.58	91.41	72.52	67.59	65.72	90.14	67.12	1111.82	191.67	74.06	77.79	35.25	514.56	170.25	334.46	226.54	166.73	106.63	172.65	102.25	73.03	141.02	323.03	96.01	118.43	201.25	162.14	412.0	118.43	163.28	100.83	1407.55	1909.85
TYROBP	14065.74	17078.76	20593.91	21468.49	25530.66	21320.18	39785.74	35609.13	947.83	1277.29	536.45	1991.0	14765.09	8078.22	314.17	389.72	551.56	503.95	1259.69	638.15	540.19	2609.3	1295.13	591.22	334.46	16611.71	4802.93	3874.05	5872.48	1950.0	802.41	7537.18	1242.34	2004.85	2400.97	3443.31	1977.24	7180.15	5751.61	2287.2	8421.31	1331.57	2434.5	1561.89	16843.62	22535.88
UCP2	4903.87	7589.61	5403.7	6079.61	9540.5	10512.82	7485.11	8963.45	244.57	187.71	102.97	201.25	2090.03	3146.52	87.65	80.01	52.08	115.16	195.72	110.43	87.03	376.41	303.44	88.26	48.87	2451.44	708.18	521.76	1066.48	180.02	173.85	1583.71	217.27	346.29	228.13	1104.13	231.32	1674.06	1216.75	420.68	1359.57	480.04	366.09	166.73	4575.41	8598.28
VAV1	674.59	395.18	813.63	540.19	890.44	624.99	555.41	825.0	17.64	28.86	10.88	25.35	447.82	248.0	4.86	7.22	11.04	9.85	15.11	8.85	8.78	71.0	30.12	12.64	3.76	395.18	115.97	81.14	183.82	60.39	29.48	242.88	26.47	51.35	73.54	189.02	46.5	226.54	231.32	94.67	260.38	56.68	57.49	26.86	497.0	376.41
WDFY4	318.57	148.09	642.59	444.72	669.92	483.38	500.46	638.15	10.0	8.32	10.55	16.39	136.19	161.02	3.79	1.43	3.86	2.32	19.97	1.97	6.78	38.67	22.59	6.73	2.81	271.48	50.98	81.71	75.64	24.99	16.03	67.59	14.35	36.53	16.88	84.04	44.57	74.06	74.58	22.75	118.43	49.21	64.34	7.75	379.04	417.77
