	TCGA.BT.A20O.01A.21R.A14Y.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07
CCL5	13776.25	7485.11	11267.44	8538.88	5995.9	5751.61	1322.37	2502.97	283.05	75.64	144.01	221.86	1487.87	2351.53	44.89	28.24	145.02	69.52	100.83	39.79	42.41	395.18	167.9	53.57	53.95	1066.48	1127.35	967.76	738.29	2090.03	1044.52	551.56	708.18	161.02	1286.18	5441.3	813.63	373.81	327.56	4543.8	813.63	688.78	460.44	551.56	3716.2	1066.48
CCR1	753.83	432.53	463.65	866.07	921.88	1286.18	896.64	1159.07	16.15	18.29	7.22	15.34	303.44	248.0	5.15	5.32	4.5	16.88	14.24	8.25	5.45	39.79	24.11	5.41	3.66	381.68	58.3	37.59	275.28	15.45	17.9	234.57	33.3	94.01	45.53	90.77	34.26	218.79	214.27	33.3	166.73	20.71	43.02	18.43	423.61	988.12
CD300A	651.58	392.44	1199.98	1135.2	1225.22	1529.73	1250.98	1119.56	25.72	47.17	23.59	60.39	660.68	368.65	12.83	22.1	13.42	24.63	36.79	51.35	16.39	199.85	120.1	29.48	17.38	884.29	285.03	206.94	339.14	58.71	106.63	267.73	189.02	186.4	226.54	260.38	164.42	361.04	170.25	166.73	457.25	94.67	206.94	74.06	941.27	1551.09
CD300C	139.07	159.9	161.02	218.79	178.77	164.42	153.34	151.22	2.92	6.06	0.91	5.06	83.45	80.57	1.11	0.01	1.75	5.36	2.01	3.5	1.36	12.74	10.24	1.71	0.06	77.25	34.26	15.22	44.25	8.85	12.18	63.0	8.99	21.01	26.28	24.28	12.93	38.95	32.82	0.0	29.27	13.83	15.91	8.25	208.38	246.28
CD300LF	297.17	228.13	244.57	567.1	273.37	281.09	620.67	718.08	9.48	15.45	7.94	11.38	53.57	180.02	8.85	13.62	1.66	10.16	7.57	11.04	5.36	17.51	6.62	8.06	1.85	92.05	19.53	38.12	36.27	12.93	18.29	84.63	16.27	37.59	15.56	47.17	17.9	24.46	19.97	24.28	83.45	16.39	5.73	20.26	389.72	559.28
CD37	2591.27	1991.0	3372.43	4010.71	3928.15	3103.19	4903.87	4836.35	67.12	130.6	50.98	134.3	713.11	1250.98	50.63	31.9	73.03	41.22	105.89	43.32	36.01	241.19	50.98	58.71	33.06	1662.49	934.76	463.65	457.25	348.71	255.0	403.5	351.14	110.43	297.17	974.5	629.35	329.84	579.04	514.56	708.18	348.71	332.14	167.9	3257.52	3589.58
CD4	3280.18	2739.08	3419.52	3847.29	5403.7	5255.91	3212.66	4388.98	289.02	148.09	158.79	167.9	4575.41	1286.18	56.28	28.86	100.13	954.43	293.07	81.71	36.53	753.83	995.0	94.01	60.39	6207.38	2777.33	2573.36	2047.0	1051.79	1769.57	4802.93	2163.77	3847.29	802.41	2537.92	9151.82	2400.97	5147.73	2816.11	1111.82	1628.26	1417.35	1594.73	2976.74	2875.3
CD53	5255.91	3639.7	5041.77	5633.22	6337.83	6745.86	4388.98	6037.61	131.51	137.14	76.17	186.4	1477.58	1639.59	44.57	62.56	68.07	72.01	131.51	81.14	57.89	323.03	170.25	84.63	31.9	2537.92	718.08	493.56	698.41	525.39	138.1	525.39	214.27	403.5	429.54	967.76	204.07	802.41	529.06	633.73	1023.0	353.59	514.56	368.65	4038.61	4181.07
CD72	764.36	450.94	1407.55	532.74	775.05	575.03	316.37	493.56	41.81	21.01	26.1	19.25	177.53	348.71	26.47	17.38	9.7	19.53	38.67	26.86	9.93	111.21	35.5	22.43	7.88	387.02	59.97	130.6	124.37	12.74	36.27	118.43	98.04	53.95	146.03	144.01	82.29	63.45	124.37	94.01	127.0	72.52	124.37	113.56	559.28	351.14
CD80	158.79	65.26	141.02	65.72	99.43	72.52	38.67	71.0	1.28	0.29	0.29	0.97	244.57	27.44	0.0	0.27	0.29	0.31	2.23	3.2	0.91	10.39	1.33	0.95	0.71	14.14	16.39	11.73	13.93	12.18	7.4	24.99	5.77	7.34	11.13	1.75	5.59	6.84	8.99	14.45	6.84	1.03	14.35	4.43	69.03	59.97
