	TCGA.C4.A0F7.01A.11R.A084.07	TCGA.VS.A9U6.01A.11R.A42T.07	TCGA.C5.A8YQ.01A.11R.A37O.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6220.01A.11R.1915.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.P4PQ.0526.SM.2HMKR	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.1399S.1726.SM.5L3DI	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.43.A56V.01A.11R.A26W.07	TCGA.77.A5GB.01B.11R.A27Q.07	TCGA.94.A4VJ.01A.11R.A24Z.07	TCGA.NC.A5HQ.01A.11R.A26W.07	TCGA.56.7579.01A.11R.2045.07
C1orf189	2.1	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	76.17	82.29	1191.69	414.87	19.97	46.84	43.63	0.0	127.0	90.77	490.14	397.93	22.92	37.05	212.78	236.21	38.95	65.72	0.0	86.43	19.68	25.17	2.18	0.0	0.0	0.0	0.0
C1orf87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.27	31.45	6.52	212.78	547.75	559.28	65.26	35.0	57.89	16.39	177.53	138.1	759.08	480.04	7.46	14.24	256.78	297.17	48.52	65.72	10.0	212.78	18.43	103.69	0.0	2.63	4.43	0.0	3.89
C20orf85	0.71	0.0	0.0	0.0	0.0	0.0	0.0	28.45	0.0	70.01	2004.85	10084.54	8778.97	476.71	769.69	633.73	6.57	1617.0	2061.24	9409.14	11664.82	176.29	49.56	4358.66	5255.91	521.76	633.73	20.56	2287.2	66.18	1340.84	12.83	60.39	38.67	1.08	0.0
C22orf15	1.41	3.17	5.15	0.31	0.0	0.0	0.0	8.25	9.48	0.0	107.38	314.17	466.88	41.81	52.08	51.71	10.24	77.79	146.03	363.56	363.56	19.39	6.31	187.71	253.23	43.32	27.64	24.11	128.79	24.99	97.36	6.16	11.64	4.35	4.7	1.95
C2orf62	1.07	0.65	2.27	0.0	1.99	0.0	3.38	43.63	22.75	38.4	161.02	187.71	260.38	122.64	46.18	52.82	24.11	67.59	119.26	279.14	301.33	43.02	32.59	148.09	206.94	49.21	103.69	104.42	142.01	39.79	87.03	7.57	3.79	5.5	8.19	2.41
C4BPA	0.0	57.08	0.0	0.07	0.58	0.0	0.0	15934.98	38164.99	15180.22	3928.15	36864.92	18819.27	97288.74	13968.57	6337.83	4736.79	82951.62	3716.2	22380.2	40904.3	10585.95	6079.61	18178.19	6652.97	18950.18	10296.45	6983.79	13215.02	8598.28	60304.42	161.02	27.25	6.41	147.06	3.35
C5orf49	9.48	14.24	1.85	0.95	0.0	0.0	0.0	32.82	105.89	21.94	463.65	1551.09	1295.13	132.44	156.59	234.57	24.11	323.03	381.68	1388.16	1662.49	41.52	52.45	693.58	1135.2	173.85	131.51	37.59	450.94	32.59	236.21	27.84	18.16	5.19	10.47	0.23
C6	0.37	0.0	0.0	0.0	0.0	0.0	1.91	9.7	18.16	31.67	175.07	454.09	381.68	12.83	81.71	84.04	215.77	214.27	171.45	264.03	1359.57	58.71	39.79	299.25	301.33	31.9	33.78	9.27	159.9	11.55	145.02	0.72	4.86	5.82	2.03	0.0
C6orf118	4.86	4.98	0.01	0.0	0.0	0.22	0.0	4.17	0.0	7.69	116.78	320.8	361.04	47.17	36.01	31.0	0.0	172.65	88.88	525.39	514.56	16.39	5.68	269.6	211.31	44.89	42.41	12.36	120.1	0.0	100.13	3.72	0.55	3.63	0.0	0.0
C9orf171	0.0	0.0	0.01	0.21	0.0	0.53	0.0	3.89	5.19	9.48	112.77	366.09	414.87	21.16	24.46	70.01	3.96	112.77	127.0	336.79	454.09	10.55	8.85	167.9	182.55	30.34	23.08	8.32	106.63	11.73	63.89	0.0	0.0	2.05	0.41	0.36
C9orf24	25.91	42.11	17.25	7.88	1.19	0.0	0.0	96.01	31.22	94.67	934.76	3742.05	4066.71	341.51	497.0	287.01	22.1	688.78	1407.55	3716.2	5112.16	116.78	56.68	2047.0	2701.35	371.22	242.88	65.72	1277.29	115.97	723.08	69.03	17.38	34.26	3.11	2.41
CAPSL	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.42	279.14	1127.35	1111.82	97.36	127.89	223.41	0.0	316.37	423.61	1111.82	1304.15	22.43	18.43	796.86	563.18	99.43	96.68	15.8	287.01	20.11	154.42	3.29	14.03	6.36	6.01	3.2
CATSPERD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.77	0.0	20.26	223.41	825.0	679.29	9.48	138.1	76.71	0.0	38.12	132.44	525.39	738.29	100.83	27.05	379.04	603.67	48.18	84.63	0.0	221.86	0.0	137.14	0.38	19.39	7.51	0.0	0.0
CCDC108	1.75	0.07	0.0	0.0	0.0	0.0	0.0	4.54	3.47	9.34	138.1	204.07	301.33	40.64	46.5	43.94	4.66	111.21	127.0	423.61	395.18	19.53	9.7	285.03	329.84	35.5	37.85	6.36	117.6	7.17	121.79	1.83	1.62	3.5	0.39	0.0
CCDC81	3.2	2.81	3.32	4.54	4.06	1.45	3.92	11.82	16.88	16.75	57.89	76.17	126.12	28.04	22.75	28.45	26.67	44.25	48.87	78.89	161.02	15.45	18.16	89.51	78.89	14.14	20.86	28.65	27.44	24.81	37.59	13.12	14.03	7.82	8.58	11.47
CDHR3	24.81	17.13	26.86	16.39	14.14	15.68	7.69	84.04	115.97	94.67	454.09	896.64	1407.55	114.36	181.28	497.0	76.71	624.99	525.39	1617.0	2018.8	136.19	299.25	921.88	1350.18	178.77	244.57	121.79	532.74	57.08	409.15	53.95	38.67	22.43	85.22	59.13
CPB2	0.0	2.36	4.94	1.5	0.0	0.0	0.0	2075.59	5041.77	2591.27	4450.27	4328.55	1073.91	3768.09	1467.37	3395.89	7180.15	6294.04	981.29	796.86	1794.29	559.28	3039.3	2133.97	4903.87	4123.49	3235.01	3614.55	3124.78	1135.2	3349.13	0.11	0.0	2.29	8.25	0.06
CTSE	0.4	1.35	0.0	2.14	0.35	0.0	2.71	6792.79	1977.24	1216.75	2935.74	1757.34	2255.7	947.83	5366.37	3540.14	2090.03	18178.19	2701.35	2855.44	2555.58	6561.36	1051.79	5112.16	2720.15	5041.77	8538.88	6652.97	8658.09	3419.52	201.25	232.94	429.54	2.66	98.73	20.11
CYB5R3	2777.33	2777.33	4358.66	2591.27	3665.02	5555.65	3768.09	10585.95	15824.9	7803.01	11345.82	9088.59	6840.04	4152.18	9088.59	8134.41	7485.11	8247.98	11909.94	7749.1	7331.05	8901.53	4481.23	12502.12	8658.09	7433.4	6792.79	9540.5	8191.0	5831.91	5751.61	3639.7	4671.57	4972.34	2224.63	3212.66
DAW1	0.71	0.18	0.48	0.71	0.0	0.0	0.0	37.05	18.7	140.04	155.5	182.55	336.79	68.55	18.43	40.93	11.38	309.83	95.34	547.75	476.71	115.97	14.03	228.13	239.52	22.1	48.52	16.63	61.25	0.0	157.68	8.58	3.32	0.59	0.89	0.0
DCDC2B	0.37	2.53	0.42	2.2	0.54	0.0	0.0	7.0	13.93	4.1	70.01	379.04	249.73	26.86	41.81	50.27	14.56	78.89	142.01	223.41	387.02	15.8	13.32	209.84	316.37	40.64	31.45	8.92	107.38	30.56	128.79	2.34	1.87	4.46	3.44	0.61
DNAH12	0.0	0.38	6.73	3.0	0.0	0.0	0.45	6.94	4.82	11.47	84.04	180.02	309.83	44.57	25.54	36.01	8.32	119.26	111.21	334.46	444.72	17.13	14.03	221.86	297.17	36.27	27.25	8.51	141.02	9.93	130.6	3.53	3.35	7.0	1.25	0.0
DNAH9	3.5	5.36	6.78	11.3	5.92	0.99	0.77	21.16	19.11	9.48	141.02	460.44	830.75	56.28	60.82	108.14	22.75	275.28	221.86	928.3	769.69	45.85	16.75	642.59	587.13	90.14	51.71	23.08	218.79	24.63	376.41	0.35	7.51	3.66	2.43	1.99
DNALI1	12.45	7.4	7.57	9.48	8.06	2.63	7.34	332.14	651.58	47.17	1104.13	1819.35	5112.16	866.07	575.03	1745.2	532.74	764.36	1127.35	3280.18	6607.01	165.57	303.44	723.08	6516.03	961.07	743.43	511.0	941.27	679.29	503.95	43.32	46.84	21.32	39.5	30.12
DRC1	5.92	2.81	0.0	0.75	1.81	3.0	0.0	28.24	4.31	19.68	141.02	366.09	376.41	47.5	53.95	76.17	0.0	105.89	130.6	463.65	497.0	26.28	7.4	353.59	206.94	80.57	39.79	17.9	154.42	11.64	78.89	5.28	2.86	2.92	4.24	0.87
DYNLRB2	15.45	35.76	14.03	8.51	0.0	0.0	3.06	63.89	43.63	38.95	412.0	1359.57	1250.98	167.9	140.04	172.65	46.18	379.04	289.02	928.3	1295.13	63.45	33.54	728.11	769.69	234.57	116.78	54.33	249.73	42.41	392.44	10.31	14.14	3.2	3.5	2.73
ECT2L	1.75	2.51	2.12	2.23	0.89	0.42	0.47	12.74	6.52	10.88	65.26	155.5	170.25	12.09	30.12	22.59	4.74	69.03	54.33	158.79	164.42	13.22	6.57	123.5	87.03	13.42	11.38	9.2	40.93	17.13	59.55	3.17	0.0	0.8	0.82	0.49
FAM166B	1.79	5.36	6.06	19.68	4.06	4.31	5.32	14.35	39.22	18.7	248.0	599.49	708.18	132.44	137.14	96.01	27.25	228.13	297.17	551.56	872.1	40.64	24.28	403.5	551.56	102.25	59.55	28.45	211.31	27.64	236.21	19.68	14.67	14.56	20.41	8.51
FAM216B	0.35	0.0	0.0	0.0	0.0	0.0	0.0	8.32	0.0	21.63	454.09	860.08	1268.46	61.25	114.36	108.14	5.41	277.2	163.28	928.3	1340.84	34.51	20.11	723.08	397.93	88.26	108.9	5.36	336.79	20.56	212.78	0.53	2.16	2.66	1.83	0.0
FAM81B	4.58	5.87	0.0	0.88	0.0	1.38	0.0	33.3	26.47	73.03	327.56	836.53	819.3	54.72	95.34	147.06	21.47	363.56	214.27	884.29	1427.22	39.79	28.45	642.59	381.68	136.19	64.34	10.31	271.48	44.57	217.27	5.36	6.31	4.28	1.5	0.0
GAS2L2	0.0	1.79	0.0	0.1	1.41	0.88	0.34	3.66	7.17	5.63	78.89	132.44	191.67	15.68	25.17	30.56	6.94	48.87	72.52	218.79	244.57	10.08	5.82	90.77	180.02	21.78	22.1	3.69	67.59	11.47	67.59	2.03	4.46	0.91	0.66	0.0
LPPR3	0.37	4.46	0.1	0.0	0.0	3.41	0.0	7.82	18.29	39.5	31.0	159.9	199.85	49.56	40.64	52.82	11.3	18.16	30.34	143.01	181.28	33.54	27.84	116.78	460.44	35.76	17.51	8.71	48.52	15.91	46.5	8.06	1.1	9.93	4.13	0.0
LRRC18	0.0	0.0	0.38	0.0	0.0	0.0	0.0	31.0	15.8	1.16	56.68	73.54	197.09	23.59	47.84	44.89	41.22	58.3	87.03	88.26	161.02	7.0	8.58	64.34	50.98	33.06	33.54	23.93	105.15	43.94	45.85	1.08	3.82	1.62	1.36	0.19
LRRC71	0.0	14.56	1.93	1.79	1.51	0.96	2.18	20.86	8.51	15.8	87.65	141.02	214.27	38.12	51.71	66.65	14.56	59.97	79.45	291.04	395.18	16.75	13.52	118.43	258.57	25.17	33.06	13.42	85.82	21.94	58.71	6.52	1.2	4.1	3.17	0.0
LRRK2	6.01	16.27	8.06	20.56	12.27	0.55	6.89	3982.99	7485.11	2468.49	6471.02	3690.52	7803.01	3564.78	2935.74	5255.91	6840.04	6079.61	1073.91	17317.18	4639.29	1583.71	3303.0	3982.99	5183.54	4095.0	4123.49	5711.87	6561.36	9025.81	4575.41	44.89	32.59	11.73	82.87	7.63
MRAP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	11.21	4.21	7.11	9.7	6.01	11.91	10.39	29.7	10.47	4.46	10.55	2.78	17.9	2.89	4.62	0.92	6.67	5.59	7.22	2.71	6.62	1.28	9.2	2.23	0.0	0.0	0.0	0.0
MROH9	0.0	0.13	0.41	0.0	0.0	0.0	0.0	2.76	0.0	0.0	41.52	52.82	48.87	3.56	10.71	17.25	0.0	24.99	20.56	42.41	76.71	3.59	3.44	23.76	36.53	13.03	10.63	0.0	21.47	0.0	30.78	0.54	0.0	0.01	0.27	0.0
MS4A8	0.0	0.74	1.03	0.0	0.0	0.0	0.0	30.56	0.0	48.52	1044.52	2384.37	2895.31	173.85	251.48	291.04	5.77	825.0	684.02	3280.18	3443.31	87.03	25.35	1781.89	2032.85	223.41	234.57	21.63	733.19	18.56	708.18	8.78	8.19	6.67	0.0	0.0
NR0B2	0.36	0.68	0.73	0.67	0.0	0.0	0.67	836.53	934.76	46.84	1233.75	1794.29	1313.23	1250.98	297.17	1407.55	1250.98	409.15	351.14	656.11	480.04	103.69	444.72	314.17	902.89	808.0	743.43	6887.62	1508.65	967.76	473.41	0.19	0.0	0.0	2.29	0.0
OMG	1.41	6.62	1.46	2.16	0.41	0.97	0.75	43.94	44.25	37.59	457.25	2627.46	872.1	43.94	202.66	92.7	111.99	163.28	559.28	928.3	1991.0	50.98	503.95	1175.27	830.75	187.71	40.64	18.16	429.54	813.63	158.79	19.25	28.86	22.59	27.64	12.09
PIFO	77.79	117.6	14.35	8.06	2.23	6.57	13.12	363.56	426.57	64.34	947.83	2796.65	2682.69	406.31	376.41	748.61	134.3	1313.23	1151.06	2468.49	3742.05	46.18	224.97	1529.73	1457.23	660.68	866.07	241.19	1259.69	255.0	753.83	23.08	17.13	8.99	19.82	0.48
PLA2G12B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	718.08	493.56	23.25	435.55	103.69	255.0	190.34	343.89	1088.92	124.37	76.17	122.64	438.59	186.4	49.56	25.17	51.35	198.47	158.79	82.87	583.07	376.41	101.54	373.81	0.0	0.0	0.0	0.13	0.0
PLA2G1B	2.51	3.82	2.34	0.0	0.0	0.0	0.0	25179.16	27938.14	4095.0	23656.34	17558.94	10512.82	8598.28	5076.84	8305.36	44452.21	4769.75	2032.85	8363.13	8134.41	7331.05	4836.35	4639.29	25179.16	6935.54	18950.18	18304.63	4575.41	6561.36	6840.04	4.54	0.0	2.78	70.01	0.0
PMM1	575.03	688.78	1044.52	928.3	444.72	674.59	842.36	3928.15	4358.66	1709.26	4903.87	3257.52	2287.2	4038.61	3564.78	3820.7	3589.58	2537.92	1896.65	2816.11	3564.78	1359.57	1909.85	3190.46	3768.09	3742.05	2351.53	7331.05	3639.7	2701.35	2997.45	612.11	961.07	995.0	603.67	1437.15
PTH1R	9.56	32.59	15.91	6.89	4.54	8.06	8.85	248.0	265.87	39.5	241.19	947.83	158.79	651.58	490.14	1001.93	486.75	202.66	164.42	202.66	656.11	83.45	107.38	169.07	1119.56	305.55	258.57	435.55	457.25	256.78	285.03	43.32	39.22	73.54	44.25	10.88
ROPN1L	5.63	4.7	0.0	0.72	0.78	7.82	1.1	48.18	36.27	39.79	297.17	860.08	708.18	114.36	152.28	156.59	32.59	189.02	234.57	995.0	1685.71	32.59	57.49	435.55	595.34	172.65	135.24	48.52	226.54	31.45	193.01	28.86	16.75	7.34	5.23	1.64
RP3-369A17.5	0.69	0.0	0.0	0.83	0.0	0.0	0.0	11.91	0.0	0.0	51.35	41.52	57.08	0.0	21.47	26.47	0.0	44.25	39.79	14.56	87.03	0.0	7.0	36.79	59.97	13.12	20.11	0.0	18.84	13.03	36.53	0.0	2.39	0.0	0.0	0.0
RSPH10B	3.17	0.67	2.66	2.73	1.58	1.64	0.42	6.26	4.54	11.04	39.79	68.55	92.7	16.15	20.56	24.28	5.68	36.53	37.05	71.0	144.01	8.45	6.67	61.68	82.29	13.93	9.41	5.96	35.5	5.73	27.05	3.66	3.82	2.32	3.63	3.06
RSPH9	8.45	8.99	3.2	8.0	3.89	4.21	6.62	27.44	33.54	29.48	82.87	248.0	228.13	48.52	55.1	49.21	18.84	68.55	112.77	189.02	212.78	29.7	24.11	129.69	102.25	43.94	48.87	28.04	75.11	34.51	73.54	3.92	10.79	9.56	9.48	10.47
SCGB3A2	3.5	2.2	0.0	0.0	0.99	0.0	0.0	109455.64	20030.74	5403.7	1611529.43	22072.07	506427.83	208544.12	161367.56	88905.42	2119.22	286861.53	65535.0	627822.72	1055868.42	119776.72	947.83	97288.74	44761.41	6935.54	148488.36	236256.4	246289.25	46986.85	370726.6	2915.45	403.5	8.13	633.73	115.97
SFTPC	0.0	1.14	39.79	1.14	0.0	0.8	28.86	5.882801313E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	4.188702152E7	3.130739107E7	2.542950323E7	5.761735011E7	3.801327429E7	1.609378033E7	4.878722096E7	1.848689914E7	3.72309724E7	1.470700253E7	2.405777593E7	2.49061716E7	1.874496665E7	5.228884881E7	1.0826562323E8	3.109113511E7	6.17527469E7	2.578448588E7	197.09	28.24	73.54	14262.1	753.83
SNTN	16.27	0.43	8.13	0.8	0.0	0.0	0.0	24.99	10.16	22.59	713.11	1963.57	2255.7	100.13	181.28	273.37	21.16	688.78	703.28	1427.22	2816.11	69.52	39.79	1135.2	738.29	193.01	177.53	23.76	507.46	33.54	579.04	12.18	8.78	11.64	15.91	4.98
SPAG6	1.07	0.83	0.0	0.58	0.0	0.0	0.0	23.59	0.0	10.79	339.14	830.75	860.08	45.21	115.16	109.66	9.93	239.52	249.73	1111.82	1350.18	36.01	18.84	703.28	540.19	90.14	82.29	7.75	248.0	17.0	228.13	0.48	5.32	3.32	0.96	0.0
SPATA4	0.0	1.73	0.2	0.0	0.0	0.0	0.0	10.55	4.82	0.0	57.89	187.71	173.85	12.27	15.91	26.86	10.96	78.34	42.11	77.79	180.02	0.0	3.59	59.55	86.43	15.45	19.82	6.41	73.03	4.74	20.71	0.0	0.0	1.95	0.0	0.0
STOML3	0.36	0.42	2.07	0.0	0.27	0.0	0.0	4.5	0.0	5.87	105.89	293.07	353.59	9.48	26.86	22.59	0.0	106.63	115.97	218.79	289.02	12.09	5.63	171.45	137.14	26.28	24.28	8.32	88.26	5.92	70.51	1.71	1.81	1.0	1.25	0.09
SYNDIG1L	1.06	3.03	0.83	2.39	0.51	0.0	0.88	93.35	98.73	133.36	180.02	69.03	64.34	120.94	127.0	85.82	61.68	145.02	41.52	87.65	101.54	162.14	165.57	126.12	708.18	47.17	132.44	43.94	104.42	98.73	158.79	1.85	0.48	3.44	2.39	0.67
TEKT1	2.1	0.0	0.0	5.23	0.0	0.0	0.0	11.3	0.0	22.43	379.04	921.88	1073.91	100.13	100.83	121.79	0.0	239.52	397.93	1397.83	1806.78	15.34	15.22	819.3	656.11	96.68	111.21	22.1	275.28	6.73	351.14	4.5	3.99	3.96	4.24	0.0
TEKT2	1.43	17.9	0.31	9.7	0.57	2.53	4.03	16.27	41.52	46.84	256.78	397.93	559.28	66.65	87.65	112.77	12.64	223.41	281.09	753.83	941.27	60.82	25.35	432.53	708.18	80.57	75.11	45.53	285.03	22.43	215.77	10.0	3.63	8.06	5.11	0.09
TMEM190	4.21	5.68	12.18	4.21	0.0	2.34	0.0	23.76	14.89	8.99	890.44	2434.5	2627.46	314.17	34.26	432.53	0.0	708.18	1044.52	1857.6	6337.83	180.02	49.91	1388.16	2956.17	348.71	187.71	23.25	543.96	26.67	954.43	29.7	32.59	29.48	0.0	0.93
TMEM212	0.0	0.0	0.37	0.0	0.0	0.0	0.0	6.62	0.0	14.89	69.03	132.44	220.32	14.56	8.58	36.01	0.0	63.89	53.95	140.04	228.13	0.0	3.63	97.36	118.43	17.64	13.72	0.0	64.8	4.82	55.89	0.71	0.48	3.41	0.44	2.23
TSPAN19	0.36	6.01	0.0	0.0	0.0	0.0	0.66	10.63	0.0	11.55	70.51	287.01	373.81	41.22	41.81	17.9	0.0	42.11	108.14	435.55	785.88	31.0	0.0	454.09	283.05	38.12	25.72	1.5	62.56	1.51	41.52	6.06	6.31	8.38	3.2	0.0
TTC29	0.0	1.28	0.0	0.0	0.39	0.0	0.0	4.78	3.99	8.65	71.0	187.71	244.57	19.25	33.06	14.24	4.9	96.01	66.18	275.28	320.8	19.97	10.63	189.02	111.21	37.32	22.92	11.3	73.03	9.78	68.07	0.0	4.62	2.63	0.0	0.42
UBXN10	5.36	21.01	8.85	2.32	0.48	2.34	3.79	32.13	16.51	28.04	218.79	463.65	713.11	28.86	62.56	148.09	53.57	176.29	150.17	624.99	1191.69	41.52	41.52	575.03	679.29	111.99	63.45	45.85	218.79	26.1	258.57	4.94	7.0	3.86	2.61	1.19
UCN3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.63	14.03	0.0	24.81	131.51	112.77	29.48	13.32	10.96	34.02	0.0	44.57	1073.91	341.51	37.05	21.94	316.37	384.34	15.34	45.85	56.68	98.04	0.0	115.16	0.0	1.97	2.01	1.1	0.0
VWA3A	0.37	0.68	1.3	0.16	0.0	0.0	0.42	8.71	4.78	24.28	80.01	78.34	186.4	17.0	28.45	37.59	7.28	96.68	83.45	198.47	262.2	38.12	13.62	255.0	251.48	34.75	13.22	5.02	87.03	7.11	125.24	6.62	2.39	3.03	5.41	0.0
WDR16	12.27	1.95	8.06	14.67	4.74	2.46	4.9	27.44	12.93	49.56	228.13	438.59	607.87	80.57	59.13	100.83	4.94	135.24	187.71	642.59	872.1	16.39	9.34	403.5	518.15	55.89	69.03	9.06	177.53	9.34	220.32	5.5	14.89	2.53	9.78	0.93
ZMYND10	7.82	23.25	5.77	13.42	2.41	2.66	4.13	170.25	110.43	76.17	842.36	2485.67	2682.69	412.0	334.46	336.79	90.14	802.41	1143.1	3168.41	4512.4	106.63	82.29	1662.49	3103.19	301.33	279.14	121.79	1030.12	150.17	642.59	30.34	31.67	23.59	23.08	4.58
ZNF385B	47.5	14.24	0.47	28.86	2.51	0.44	4.31	2682.69	3303.0	1322.37	3928.15	2335.28	3060.45	3039.3	1519.15	2976.74	2351.53	3639.7	642.59	4419.52	2835.7	1350.18	1832.01	1286.18	1628.26	3280.18	1819.35	5183.54	2104.58	1572.76	3039.3	21.47	7.17	6.46	25.17	3.14
