	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.13O61.1226.SM.5KM21	TCGA.BB.7864.01A.11R.2232.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.2657.01A.01R.1107.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.85.7710.11A.01R.2125.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13U4I.2526.SM.5SI8Z
CD247	1259.69	1628.26	44.57	17.13	0.0	551.56	1417.35	941.27	6.36	6.84	8.58	12.36	82.87	511.0	253.23	145.02	146.03	158.79	57.08	99.43	84.63	60.82	45.85	176.29	139.07	406.31	231.32	151.22	142.01	244.57	450.94	723.08
CD28	441.64	559.28	15.11	3.96	0.0	183.82	426.57	323.03	7.4	2.1	1.66	8.78	23.25	403.5	190.34	71.0	60.82	28.04	38.12	72.01	47.5	46.84	13.52	56.68	73.54	199.85	85.82	41.22	17.64	59.55	197.09	127.0
CD37	15285.81	20170.07	356.05	48.18	0.0	3955.48	13399.51	8778.97	45.53	76.17	53.57	150.17	376.41	9344.14	3515.68	1936.53	1551.09	854.13	460.44	1295.13	1313.23	723.08	255.0	2047.0	743.43	6840.04	2417.67	791.35	241.19	848.22	5219.6	5219.6
CD3E	4543.8	8778.97	88.26	46.84	0.0	1709.26	4512.4	1923.14	6.26	9.27	13.22	62.12	466.88	3540.14	1594.73	941.27	769.69	1191.69	173.85	575.03	612.11	249.73	127.89	698.41	928.3	1991.0	1313.23	848.22	543.96	1639.59	1674.06	2287.2
CD3G	1159.07	1008.9	7.0	8.06	44.57	215.77	387.02	518.15	0.99	15.8	0.0	8.92	75.64	525.39	334.46	144.01	100.13	115.97	47.84	239.52	103.69	107.38	25.35	79.45	136.19	281.09	141.02	106.63	158.79	164.42	206.94	327.56
CD6	1242.34	1143.1	26.67	6.78	89.51	444.72	1447.15	595.34	3.69	9.41	2.61	20.86	147.06	1286.18	599.49	295.11	187.71	206.94	60.39	128.79	172.65	81.71	93.35	153.34	206.94	587.13	271.48	221.86	51.71	244.57	353.59	693.58
CD96	819.3	1119.56	15.34	20.56	0.0	521.76	412.0	334.46	1.79	2.53	2.36	13.12	126.12	486.75	476.71	140.04	105.15	220.32	50.63	194.36	186.4	133.36	33.78	89.51	187.71	341.51	145.02	163.28	131.51	320.8	267.73	423.61
CLEC9A	20.26	75.64	0.0	0.34	0.0	30.34	28.04	62.56	0.0	1.36	5.41	0.36	1.3	20.56	26.67	8.65	4.58	4.28	1.11	17.38	5.19	8.85	1.87	10.96	10.16	37.32	25.35	14.67	24.63	8.38	40.64	62.56
CRTAM	198.47	281.09	8.19	2.27	0.0	90.77	69.03	113.56	0.41	1.19	4.1	3.0	5.41	75.64	63.0	32.13	10.47	57.49	4.98	37.85	19.11	16.63	3.86	15.11	19.53	40.93	21.47	13.52	34.26	39.5	34.26	100.13
CXCR3	890.44	947.83	10.0	3.76	0.0	363.56	256.78	258.57	0.41	2.48	0.65	8.0	45.85	271.48	264.03	164.42	59.55	141.02	18.03	111.99	181.28	33.3	14.89	158.79	110.43	231.32	211.31	81.14	52.45	122.64	172.65	486.75
CYTH4	1088.92	1088.92	85.82	14.78	0.0	647.07	1216.75	1008.9	22.92	15.91	25.35	26.1	111.99	647.07	493.56	256.78	329.84	239.52	124.37	236.21	191.67	150.17	95.34	260.38	262.2	674.59	323.03	363.56	73.54	220.32	406.31	567.1
DTX1	518.15	603.67	22.26	17.9	0.0	178.77	3146.52	595.34	16.75	23.59	68.07	29.91	74.58	1487.87	301.33	167.9	195.72	39.22	58.71	148.09	92.7	67.59	169.07	165.57	125.24	361.04	180.02	100.83	38.12	127.0	473.41	231.32
FAM78A	738.29	579.04	41.22	13.62	0.0	246.28	703.28	507.46	5.68	9.63	7.06	11.91	52.45	426.57	195.72	143.01	134.3	145.02	49.21	127.89	114.36	62.56	56.28	111.99	114.36	307.69	159.9	96.01	20.56	100.13	198.47	265.87
FCAMR	339.14	642.59	0.0	0.35	0.0	50.63	497.0	208.38	0.0	0.0	1.03	0.23	5.41	356.05	58.3	37.32	29.27	4.86	1.93	22.43	24.63	4.13	2.2	35.76	3.41	81.14	37.32	3.38	1.97	1.22	150.17	131.51
FCRL6	127.89	173.85	6.67	10.71	0.0	133.36	54.33	103.69	1.71	0.49	0.72	2.76	12.27	58.3	114.36	24.81	11.13	73.54	8.38	26.1	23.93	8.65	11.21	23.93	57.89	94.67	37.85	36.79	27.44	42.41	52.45	208.38
FGD3	1073.91	1208.34	77.25	46.5	0.0	412.0	1175.27	769.69	4.82	5.36	8.71	20.86	62.56	854.13	384.34	173.85	198.47	155.5	69.03	137.14	155.5	72.52	38.12	228.13	132.44	595.34	195.72	171.45	52.08	155.5	381.68	559.28
FLI1	1662.49	1551.09	242.88	35.25	0.0	521.76	1111.82	1313.23	26.1	41.22	54.72	52.82	134.3	1183.45	587.13	295.11	361.04	194.36	118.43	346.29	283.05	198.47	111.99	269.6	343.89	733.19	395.18	334.46	116.78	267.73	529.06	587.13
GATA3	3124.78	1639.59	9.27	2.12	0.0	193.01	224.97	175.07	1.25	16.39	25.35	33.54	20.56	173.85	107.38	58.3	34.75	36.79	9.93	46.5	54.33	63.45	15.34	37.05	45.85	75.11	81.71	21.47	25.35	73.03	69.03	173.85
GRAP2	511.0	486.75	52.45	5.63	0.0	169.07	447.82	260.38	2.46	12.74	1.69	16.51	54.72	285.03	215.77	116.78	74.06	75.64	23.93	109.66	81.14	50.98	18.56	78.34	100.83	209.84	120.94	68.55	91.41	169.07	159.9	417.77
HCLS1	5403.7	5711.87	941.27	62.56	0.0	2485.67	7642.41	4210.15	86.43	75.64	123.5	144.01	395.18	3874.05	1685.71	981.29	896.64	651.58	460.44	1037.29	738.29	1437.15	638.15	1001.93	775.05	2255.7	1313.23	981.29	237.86	718.08	2018.8	1277.29
HLA-DOB	1870.53	2855.44	5.82	50.63	0.0	896.64	2520.38	1268.46	3.35	1.27	2.89	29.48	47.17	1277.29	493.56	82.29	218.79	279.14	49.21	105.15	87.03	43.63	10.31	241.19	251.48	819.3	466.88	551.56	148.09	237.86	842.36	1159.07
IKZF1	1388.16	1883.54	45.53	10.63	0.0	473.41	1259.69	974.5	2.51	3.38	5.82	12.36	104.42	1447.15	563.18	255.0	281.09	145.02	69.52	229.72	166.73	162.14	41.22	237.86	267.73	591.22	361.04	283.05	43.32	289.02	457.25	555.41
IL27RA	748.61	769.69	60.39	40.64	0.0	454.09	708.18	579.04	23.93	11.13	13.72	33.3	120.1	518.15	267.73	205.5	208.38	105.15	140.04	143.01	150.17	62.12	162.14	164.42	126.12	339.14	234.57	185.11	78.34	139.07	289.02	318.57
INPP5D	3742.05	2739.08	273.37	194.36	0.0	1242.34	4268.94	2915.45	16.63	35.5	36.27	47.17	241.19	4268.94	1540.37	629.35	872.1	536.45	246.28	896.64	1127.35	764.36	318.57	854.13	551.56	1628.26	718.08	503.95	122.64	423.61	1331.57	1529.73
ITGAL	2193.99	2701.35	26.67	15.34	0.0	813.63	2739.08	1950.0	7.57	17.25	7.88	23.93	209.84	2573.36	1151.06	366.09	389.72	379.04	111.21	389.72	463.65	239.52	94.67	318.57	346.29	1127.35	563.18	395.18	34.02	595.34	674.59	1572.76
KLRK1	748.61	1407.55	58.71	11.21	0.0	412.0	599.49	480.04	3.92	7.28	2.03	8.13	45.21	289.02	476.71	124.37	67.59	242.88	21.63	47.5	127.89	32.82	18.7	78.89	176.29	348.71	103.69	92.05	242.88	248.0	186.4	860.08
LILRB1	473.41	563.18	16.63	9.48	165.57	368.65	1605.83	830.75	5.41	9.41	13.22	18.56	69.03	633.73	283.05	171.45	232.94	109.66	53.95	147.06	124.37	118.43	46.84	175.07	129.69	339.14	190.34	334.46	28.86	164.42	336.79	251.48
LIMD2	5112.16	8247.98	178.77	87.65	0.0	2701.35	12853.63	3901.01	189.02	229.72	136.19	183.82	275.28	4671.57	1832.01	915.51	896.64	884.29	204.07	423.61	638.15	187.71	291.04	1051.79	543.96	4328.55	1498.22	866.07	320.8	884.29	4268.94	4736.79
LPXN	2090.03	2555.58	209.84	38.67	0.0	878.17	2133.97	1745.2	82.29	78.89	79.45	94.67	265.87	2240.11	915.51	460.44	389.72	244.57	204.07	507.46	334.46	358.54	166.73	470.14	447.82	1359.57	674.59	543.96	155.5	642.59	1259.69	1359.57
LRMP	1733.13	2119.22	80.57	21.01	0.0	698.41	4802.93	1769.57	11.38	14.78	12.36	11.38	37.85	2255.7	555.41	85.22	206.94	77.79	50.27	223.41	92.05	152.28	40.36	158.79	178.77	511.0	236.21	215.77	159.9	211.31	884.29	493.56
LSP1	6607.01	8022.41	301.33	167.9	0.0	4095.0	7081.29	4543.8	83.45	86.43	68.07	169.07	723.08	5831.91	3235.01	2240.11	2193.99	1794.29	595.34	1572.76	2061.24	825.0	764.36	2193.99	2119.22	5292.48	4210.15	2434.5	1268.46	2303.12	4575.41	6471.02
LTB	6121.9	10225.32	21.78	21.16	0.0	1757.34	14867.79	5831.91	12.0	7.75	4.82	34.26	346.29	3589.58	1697.45	591.22	575.03	293.07	133.36	198.47	563.18	85.22	137.14	579.04	260.38	3168.41	878.17	269.6	85.82	285.03	1936.53	4671.57
MAP4K1	1991.0	2468.49	85.82	16.39	0.0	813.63	4388.98	1331.57	22.43	10.63	13.72	27.25	116.78	2163.77	808.0	212.78	343.89	320.8	51.71	180.02	215.77	73.54	45.85	327.56	221.86	1159.07	361.04	346.29	63.0	341.51	884.29	759.08
MCOLN2	341.51	563.18	21.78	1.19	0.0	220.32	974.5	400.71	55.89	0.69	7.4	4.66	35.25	854.13	305.55	29.48	116.78	45.53	77.25	80.57	61.25	47.84	120.94	76.17	115.16	281.09	95.34	77.79	38.12	32.13	228.13	152.28
MYO1G	961.07	1167.14	28.24	18.7	0.0	693.58	1388.16	1151.06	13.83	6.21	2.66	88.88	80.01	866.07	329.84	204.07	253.23	204.07	52.08	110.43	129.69	67.59	31.0	185.11	150.17	563.18	229.72	191.67	38.12	146.03	343.89	470.14
NCF1	2133.97	2163.77	68.55	24.46	0.0	909.17	3614.55	1685.71	10.88	11.13	13.52	31.67	117.6	1857.6	647.07	295.11	336.79	251.48	159.9	248.0	312.0	102.25	43.63	571.05	209.84	2271.4	638.15	420.68	105.15	395.18	1183.45	759.08
OPRL1	84.04	44.57	7.57	3.79	0.0	61.25	96.01	74.58	1.75	8.25	17.51	8.85	7.94	55.49	28.04	29.7	18.56	10.88	7.88	14.67	13.03	14.45	6.84	15.0	23.59	42.71	23.08	19.82	3.47	8.92	37.05	52.82
PARVG	1757.34	3081.75	141.02	24.28	0.0	1023.0	3349.13	2417.67	34.26	31.9	19.97	59.97	199.85	1651.0	808.0	457.25	336.79	366.09	202.66	414.87	426.57	314.17	102.97	293.07	201.25	1286.18	406.31	265.87	78.34	309.83	878.17	1233.75
PCED1B	819.3	988.12	44.57	18.03	0.0	466.88	1208.34	674.59	24.28	33.3	29.7	66.18	77.25	988.12	353.59	303.44	241.19	173.85	48.18	101.54	121.79	228.13	35.76	162.14	125.24	327.56	206.94	172.65	20.71	90.14	379.04	397.93
PDE6G	111.21	915.51	14.35	18.29	0.0	162.14	363.56	285.03	3.17	2.68	13.03	4.54	20.71	106.63	54.72	39.79	36.01	32.13	29.48	41.22	29.27	25.54	18.97	98.04	45.85	194.36	102.25	64.34	25.35	37.05	217.27	260.38
PGA3	14.24	6.73	998912.34	0.0	0.0	4.35	0.0	0.0	17.64	3.11	4.21	1.04	845824.19	1739208.14	5849977.94	7560235.84	6673442.71	2216726.5	5995.9	2039804.27	5611673.89	3007221.12	875652.15	2617937.91	2.339991475E7	8505707.6	6581567.44	2636147.11	1345768.59	2.276004283E7	7456151.83	134755.94
PIK3CD	1135.2	1295.13	189.02	107.38	0.0	514.56	2032.85	981.29	4.54	10.08	10.88	17.0	101.54	1295.13	483.38	226.54	185.11	214.27	55.49	171.45	194.36	90.14	102.25	167.9	129.69	441.64	169.07	111.99	18.03	111.99	332.14	669.92
PLD4	397.93	500.46	3.89	3.26	0.0	98.73	295.11	447.82	2.2	8.19	24.81	44.25	65.26	265.87	165.57	178.77	81.71	24.46	39.22	81.14	78.34	46.84	67.12	78.89	94.67	285.03	111.99	75.64	20.41	98.04	325.29	612.11
POU3F1	49.91	41.22	4.98	4.82	0.0	24.99	26.28	5.96	0.44	0.21	0.14	0.46	0.34	42.71	11.91	7.82	1.1	2.23	0.87	0.95	3.76	0.42	0.43	1.79	0.31	5.15	4.24	1.19	0.26	0.37	11.91	11.13
PSMA8	11.47	48.18	0.0	0.0	0.0	10.55	49.21	6.21	0.0	0.0	0.0	0.0	1.04	21.01	4.5	0.62	2.39	1.06	0.0	1.19	3.23	0.59	0.27	4.31	2.18	7.82	2.23	3.08	0.75	0.0	4.9	3.47
PTGDS	12589.08	28525.2	2609.3	28.04	0.0	13399.51	24321.43	18304.63	18.16	175.07	258.57	409.15	660.68	8598.28	5147.73	3901.01	4298.64	825.0	309.83	5441.3	1651.0	567.1	2384.37	4181.07	4239.45	21026.65	8305.36	2417.67	3564.78	5112.16	16843.62	25708.25
PTPN7	1477.58	1437.15	54.72	17.51	0.0	723.08	2119.22	961.07	8.19	9.78	7.51	20.26	134.3	1233.75	511.0	182.55	246.28	258.57	64.34	185.11	175.07	112.77	41.22	234.57	172.65	769.69	303.44	283.05	78.89	208.38	616.37	775.05
PTPRC	5147.73	6561.36	115.16	30.78	0.0	1769.57	3742.05	4210.15	5.54	14.89	27.64	50.27	351.14	4972.34	2287.2	651.58	660.68	395.18	371.22	1127.35	624.99	503.95	141.02	629.35	563.18	1651.0	921.88	669.92	373.81	547.75	2032.85	1359.57
RAC2	8840.04	11112.3	329.84	72.01	0.0	4010.71	10733.74	6699.25	48.18	47.17	34.51	105.89	547.75	8840.04	3325.99	1909.85	1709.26	1167.14	896.64	819.3	1111.82	688.78	454.09	2335.28	1259.69	5995.9	3665.02	3257.52	612.11	2133.97	5954.47	4152.18
RASGRP1	406.31	507.46	11.13	12.83	0.0	127.89	267.73	242.88	2.46	4.06	13.62	4.43	37.32	228.13	161.02	64.8	49.21	47.84	27.64	68.55	74.58	46.18	26.67	40.93	54.72	101.54	60.82	54.72	33.3	63.0	75.11	262.2
RLTPR	947.83	1208.34	22.26	21.47	0.0	395.18	3124.78	693.58	11.38	4.31	3.14	14.78	55.1	1023.0	346.29	94.01	155.5	120.94	19.39	49.91	94.67	23.93	17.38	170.25	98.73	507.46	170.25	148.09	39.79	120.1	316.37	371.22
SASH3	3325.99	3039.3	60.82	22.1	0.0	1331.57	3235.01	2573.36	13.93	12.74	12.36	30.78	186.4	2335.28	866.07	511.0	518.15	379.04	126.12	323.03	327.56	181.28	95.34	503.95	406.31	1583.71	674.59	571.05	178.77	400.71	1350.18	1870.53
SCML4	332.14	409.15	11.91	1.51	0.0	83.45	283.05	193.01	0.48	0.56	0.8	4.43	19.53	309.83	156.59	46.18	51.35	46.5	10.79	74.06	56.28	16.88	28.86	103.69	69.52	221.86	53.19	37.05	28.04	88.88	154.42	189.02
SEPT6	3589.58	5872.48	432.53	121.79	307.69	1417.35	2777.33	2255.7	928.3	769.69	409.15	698.41	244.57	3742.05	1498.22	647.07	872.1	1023.0	171.45	693.58	444.72	447.82	316.37	738.29	878.17	1781.89	1191.69	995.0	373.81	921.88	1397.83	1199.98
SIGLEC6	68.55	78.34	41.52	0.49	0.0	50.27	45.53	68.55	1.66	5.45	4.06	0.39	10.31	81.14	101.54	33.54	36.53	9.2	3.2	48.18	20.11	28.65	9.34	59.13	61.25	101.54	78.34	42.11	18.7	46.5	74.58	132.44
SIRPG	612.11	1313.23	6.31	7.51	0.0	231.32	825.0	332.14	0.95	2.61	1.2	6.01	86.43	551.56	287.01	93.35	111.99	153.34	21.16	57.89	69.52	42.41	17.13	137.14	127.0	497.0	173.85	162.14	48.18	303.44	397.93	603.67
SKAP1	836.53	2090.03	58.3	21.16	0.0	414.87	1008.9	444.72	27.05	23.76	10.96	13.83	121.79	503.95	332.14	373.81	144.01	212.78	74.58	289.02	108.9	64.8	62.12	126.12	223.41	429.54	229.72	239.52	223.41	229.72	332.14	525.39
SLA2	318.57	414.87	9.41	5.59	0.0	171.45	283.05	181.28	7.51	9.06	3.32	7.46	39.22	195.72	151.22	63.45	52.08	102.25	21.63	53.19	80.57	24.28	18.84	58.71	61.25	154.42	95.34	87.65	42.41	105.15	125.24	153.34
SLAMF1	486.75	775.05	10.08	7.46	0.0	253.23	497.0	297.17	0.92	0.74	1.17	4.98	30.34	229.72	145.02	58.3	111.21	36.79	20.86	51.71	46.84	27.44	8.13	99.43	98.04	271.48	149.12	138.1	54.72	103.69	239.52	329.84
SLFN12L	211.31	229.72	10.16	1.22	0.0	50.27	172.65	150.17	0.0	3.47	0.0	3.41	38.4	147.06	98.73	41.52	36.53	48.87	14.78	46.5	48.52	26.28	28.45	42.11	43.02	96.68	39.5	28.04	6.01	48.87	55.49	164.42
SNX20	728.11	961.07	31.67	9.7	72.52	285.03	780.44	612.11	1.79	2.12	2.34	9.63	62.12	444.72	229.72	123.5	112.77	93.35	38.4	109.66	103.69	60.39	27.05	96.68	102.25	303.44	163.28	124.37	30.56	110.43	248.0	543.96
SP140	1313.23	1447.15	10.24	37.05	0.0	361.04	1407.55	915.51	1.41	7.69	4.5	14.67	86.43	1081.39	583.07	131.51	180.02	143.01	58.71	139.07	162.14	74.06	25.72	175.07	119.26	500.46	224.97	171.45	19.82	171.45	420.68	376.41
SPOCK2	3235.01	2701.35	141.02	34.02	0.0	633.73	2335.28	2148.82	32.59	49.91	44.89	73.54	414.87	1540.37	555.41	466.88	438.59	299.25	94.01	241.19	295.11	116.78	135.24	379.04	417.77	753.83	397.93	297.17	92.05	314.17	743.43	1313.23
ST8SIA4	381.68	332.14	13.03	10.47	103.69	281.09	198.47	249.73	6.84	5.06	12.83	8.51	41.52	226.54	172.65	78.89	55.1	44.57	41.52	105.89	82.87	78.89	29.48	73.03	73.03	158.79	135.24	132.44	41.81	93.35	140.04	118.43
SUSD3	981.29	1709.26	51.71	15.22	0.0	470.14	1757.34	521.76	3.26	5.77	12.45	6.84	106.63	642.59	397.93	137.14	242.88	123.5	54.72	169.07	136.19	61.25	47.84	221.86	119.26	563.18	279.14	269.6	132.44	177.53	674.59	684.02
TBC1D10C	2090.03	3190.46	41.81	14.45	0.0	954.43	3928.15	1561.89	18.03	32.13	14.89	29.06	115.97	1709.26	743.43	277.2	363.56	395.18	60.39	128.79	212.78	55.1	47.17	301.33	267.73	1369.04	466.88	426.57	132.44	264.03	1066.48	1457.23
TBX21	145.02	135.24	8.92	2.14	0.0	77.25	126.12	109.66	1.14	0.54	1.1	2.56	11.82	74.06	47.84	24.81	18.03	40.64	5.5	17.13	25.17	6.62	6.16	10.71	24.63	58.3	29.91	13.72	0.0	27.64	35.76	81.71
THEMIS	205.5	255.0	2.03	1.6	0.0	72.01	91.41	88.26	0.0	0.31	0.52	1.43	25.91	133.36	105.15	36.53	21.94	22.26	11.55	53.19	31.0	23.25	6.62	16.51	51.35	76.17	36.27	33.3	39.79	69.03	53.95	165.57
TIGIT	728.11	1819.35	11.21	14.35	0.0	229.72	796.86	325.29	1.22	2.18	0.59	7.06	24.81	460.44	237.86	50.27	67.59	96.01	16.03	54.72	75.11	42.11	13.72	93.35	85.22	198.47	153.34	81.14	26.86	90.14	223.41	113.56
TNF	295.11	100.83	1.57	6.16	0.0	78.34	211.31	262.2	0.48	0.0	0.21	2.16	13.83	41.22	53.19	16.15	20.56	12.93	46.84	24.11	14.67	13.72	0.51	35.0	7.51	162.14	50.63	21.32	3.82	9.06	46.5	52.45
TNFAIP8L2	521.76	1015.93	35.76	10.47	0.0	343.89	660.68	703.28	15.8	14.45	19.97	21.32	63.89	307.69	167.9	164.42	86.43	97.36	63.0	144.01	135.24	90.14	42.41	147.06	94.67	373.81	201.25	178.77	80.01	106.63	323.03	346.29
TVP23A	67.59	74.06	11.91	1.25	0.0	57.08	204.07	73.03	7.17	4.7	1.73	5.92	13.62	51.35	49.56	13.83	17.25	15.68	16.39	35.0	27.44	26.1	11.55	34.26	12.83	46.5	24.28	17.9	13.03	10.24	54.33	61.25
UBASH3A	303.44	409.15	7.17	1.68	0.0	153.34	323.03	190.34	1.06	0.47	0.0	2.71	32.13	154.42	115.16	47.84	45.53	58.71	17.64	45.21	49.21	19.25	18.29	31.22	54.33	138.1	67.59	56.28	20.41	71.0	95.34	191.67
USF1	2104.58	2485.67	1051.79	954.43	1331.57	2004.85	3168.41	2224.63	791.35	603.67	536.45	947.83	769.69	1639.59	1350.18	1583.71	974.5	1073.91	934.76	1059.11	1322.37	1059.11	842.36	1059.11	854.13	2119.22	1111.82	1225.22	1096.5	995.0	1529.73	1208.34
VAV1	961.07	1286.18	95.34	8.25	0.0	555.41	1242.34	890.44	11.3	10.16	14.03	22.75	85.82	808.0	356.05	246.28	187.71	127.89	150.17	152.28	167.9	115.16	264.03	187.71	139.07	466.88	193.01	220.32	43.02	108.14	371.22	493.56
WAS	1844.76	2384.37	201.25	19.82	0.0	775.05	2855.44	1561.89	35.0	23.42	27.44	48.18	204.07	1769.57	684.02	460.44	441.64	373.81	182.55	435.55	318.57	201.25	98.04	507.46	297.17	1175.27	591.22	473.41	102.25	384.34	1073.91	1167.14
WDFY4	1073.91	1378.57	46.5	10.47	0.0	346.29	1407.55	866.07	5.59	8.85	7.94	12.93	64.34	1030.12	339.14	173.85	129.69	106.63	53.95	132.44	103.69	74.58	39.5	166.73	78.34	332.14	186.4	75.64	13.12	40.07	262.2	463.65
