	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.R6.A6XG.01B.11R.A336.31	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.IN.7808.01A.11R.2203.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CCL22	175.07	186.4	0.0	2.29	0.87	503.95	97.36	55.1	373.81	10.47	134.3	96.01	53.19	29.7	72.01	20.26	69.03	60.39	127.0	36.27	11.55	1.99	87.65	17.0	42.11	31.22	305.55	54.33	39.5	158.79
CCR4	353.59	379.04	0.36	6.41	0.0	205.5	71.5	32.82	155.5	6.36	111.21	46.18	72.52	22.75	22.75	11.82	29.7	21.63	106.63	17.64	5.41	0.13	9.48	10.96	24.46	31.45	150.17	31.9	31.67	99.43
CCR7	2351.53	3372.43	4.17	17.0	10.79	2090.03	299.25	181.28	1081.39	21.01	376.41	155.5	189.02	105.15	236.21	52.45	59.13	56.68	1119.56	53.95	25.35	1.97	43.63	25.91	115.97	158.79	860.08	202.66	100.13	587.13
CD180	961.07	860.08	1.25	5.5	18.16	723.08	325.29	119.26	743.43	12.36	339.14	148.09	131.51	44.89	232.94	33.54	49.56	37.85	403.5	32.59	49.21	7.22	43.32	31.0	116.78	159.9	435.55	264.03	155.5	320.8
CD19	1857.6	2240.11	1.71	10.31	3.53	4123.49	638.15	164.42	1594.73	6.16	463.65	113.56	127.89	33.3	232.94	10.79	35.0	18.43	698.41	24.46	37.59	4.46	9.56	7.63	122.64	105.89	743.43	285.03	97.36	743.43
CD1C	361.04	629.35	0.68	8.38	3.99	567.1	150.17	53.19	334.46	16.51	141.02	38.4	100.83	69.52	53.95	25.91	101.54	33.54	166.73	20.41	18.43	3.32	11.04	19.11	94.67	39.5	217.27	77.25	48.18	267.73
CD2	2956.17	4736.79	11.73	66.65	8.92	1685.71	860.08	353.59	1697.45	75.64	1030.12	387.02	679.29	454.09	318.57	166.73	260.38	142.01	1277.29	217.27	194.36	34.75	88.88	94.67	571.05	532.74	1340.84	642.59	607.87	928.3
CD247	1259.69	1628.26	13.52	44.57	11.55	1417.35	242.88	144.01	511.0	26.28	253.23	303.44	201.25	137.14	146.03	57.08	84.63	63.0	555.41	67.59	41.22	29.91	40.07	45.85	191.67	139.07	406.31	231.32	244.57	450.94
CD27	2835.7	3901.01	6.26	36.53	19.39	2720.15	941.27	728.11	2664.15	38.12	1044.52	878.17	551.56	231.32	1081.39	84.63	121.79	201.25	1143.1	221.86	97.36	11.04	61.68	34.51	665.29	603.67	2682.69	1304.15	934.76	2240.11
CD28	441.64	559.28	1.99	15.11	1.66	426.57	157.68	60.82	403.5	8.32	190.34	81.71	96.68	30.56	60.82	38.12	36.27	24.11	260.38	19.53	29.91	10.24	27.64	13.52	80.57	73.54	199.85	85.82	59.55	197.09
CD37	15285.81	20170.07	43.32	356.05	217.27	13399.51	4704.07	1844.76	9344.14	99.43	3515.68	1551.09	1233.75	1104.13	1551.09	460.44	890.44	339.14	9088.59	381.68	346.29	130.6	312.0	255.0	1119.56	743.43	6840.04	2417.67	848.22	5219.6
CD3D	2758.13	5995.9	19.82	30.78	22.92	3303.0	1023.0	293.07	2178.83	74.06	1225.22	796.86	521.76	351.14	426.57	112.77	237.86	126.12	1819.35	198.47	148.09	25.91	96.01	95.34	616.37	486.75	2209.26	934.76	1467.37	1721.16
CD3E	4543.8	8778.97	18.97	88.26	23.25	4512.4	1551.09	713.11	3540.14	148.09	1594.73	1127.35	1023.0	679.29	769.69	173.85	358.54	241.19	2777.33	414.87	136.19	77.25	178.77	127.89	1015.93	928.3	1991.0	1313.23	1639.59	1674.06
CD3G	1159.07	1008.9	1.04	7.0	4.39	387.02	262.2	59.13	525.39	33.54	334.46	86.43	149.12	66.65	100.13	47.84	75.64	34.02	432.53	54.72	54.33	8.78	22.1	25.35	153.34	136.19	281.09	141.02	164.42	206.94
CD40LG	366.09	624.99	1.08	4.13	1.85	293.07	106.63	31.22	237.86	9.27	100.83	51.71	47.5	44.57	29.48	24.63	16.75	8.78	262.2	15.34	6.94	7.11	2.01	8.13	81.71	40.64	130.6	63.45	50.98	109.66
CD48	5441.3	9344.14	16.15	92.05	26.47	5147.73	1605.83	743.43	3018.3	54.33	1628.26	728.11	571.05	490.14	872.1	202.66	329.84	206.94	2816.11	148.09	182.55	31.45	92.7	83.45	934.76	532.74	2976.74	1015.93	1397.83	3060.45
CD52	24490.61	50011.46	90.77	400.71	194.36	28328.16	7382.04	2434.5	17078.76	158.79	5147.73	3742.05	1733.13	1909.85	2178.83	463.65	2255.7	624.99	21617.82	438.59	412.0	139.07	193.01	444.72	1977.24	1923.14	20737.16	4639.29	3955.48	16269.83
CD53	7749.1	9808.75	80.57	466.88	172.65	9673.69	3515.68	1059.11	6471.02	211.31	2573.36	1757.34	1467.37	802.41	1096.5	1023.0	629.35	444.72	3847.29	406.31	780.44	183.82	406.31	387.02	1111.82	890.44	4010.71	1639.59	928.3	3768.09
CD6	1242.34	1143.1	1.71	26.67	7.34	1447.15	454.09	183.82	1286.18	46.5	599.49	271.48	293.07	197.09	187.71	60.39	116.78	109.66	934.76	140.04	44.89	15.22	44.57	93.35	279.14	206.94	587.13	271.48	244.57	353.59
CD70	118.43	146.03	2.36	8.58	1.73	152.28	43.94	30.56	149.12	4.58	49.21	64.8	29.06	21.47	19.25	7.94	5.45	14.45	74.58	7.88	21.63	1.64	3.86	4.43	23.08	11.47	125.24	26.67	15.22	109.66
CD72	1167.14	1977.24	22.92	33.78	35.5	3768.09	669.92	142.01	1233.75	38.4	361.04	204.07	130.6	78.89	111.21	42.71	120.1	42.11	1037.29	66.18	92.7	30.56	77.79	49.91	102.25	77.79	669.92	193.01	61.68	624.99
CD79B	5517.27	8363.13	28.45	66.18	8.19	8247.98	1417.35	463.65	2627.46	13.72	854.13	299.25	220.32	166.73	476.71	29.7	100.83	80.01	1498.22	67.12	43.32	7.69	31.22	21.78	305.55	223.41	2032.85	785.88	301.33	2271.4
CEACAM21	314.17	412.0	6.57	2.01	4.58	271.48	103.69	53.57	237.86	10.16	127.89	76.71	58.3	59.55	34.75	27.64	22.75	16.39	215.77	14.03	12.27	6.01	17.38	15.91	70.01	71.5	253.23	100.83	64.34	155.5
CERKL	490.14	791.35	15.0	13.83	23.59	384.34	193.01	71.0	423.61	39.79	389.72	102.97	106.63	51.71	86.43	52.45	97.36	55.1	273.37	53.95	55.49	59.97	54.72	93.35	68.07	64.34	249.73	106.63	83.45	132.44
CHI3L2	376.41	1268.46	5.06	28.65	17.51	1277.29	447.82	348.71	921.88	14.78	323.03	181.28	128.79	90.14	115.97	34.26	88.88	40.93	389.72	16.51	21.78	4.94	31.67	17.13	110.43	46.5	679.29	128.79	71.5	660.68
CLECL1	400.71	429.54	0.0	11.73	11.3	384.34	180.02	76.71	346.29	4.43	320.8	78.89	48.52	32.13	68.07	2.81	18.56	7.34	258.57	5.02	10.47	1.3	6.46	6.57	39.79	32.59	251.48	99.43	83.45	236.21
CORO1A	12853.63	15499.21	193.01	237.86	195.72	24321.43	4736.79	1745.2	9409.14	231.32	2796.65	2417.67	1909.85	1617.0	1685.71	429.54	547.75	738.29	5329.3	612.11	376.41	217.27	426.57	320.8	1991.0	1359.57	7382.04	2835.7	2032.85	8134.41
CR1	327.56	229.72	0.68	24.63	13.62	417.77	142.01	30.78	511.0	3.69	143.01	41.22	64.34	8.13	41.81	24.81	29.48	13.72	186.4	7.22	29.27	2.25	11.38	3.99	27.25	30.78	127.0	37.85	14.45	102.97
CSF2RB	813.63	759.08	21.32	73.03	45.85	1088.92	341.51	215.77	842.36	30.56	406.31	339.14	239.52	154.42	397.93	87.65	137.14	111.21	327.56	74.58	84.04	28.86	85.82	46.5	291.04	297.17	571.05	423.61	209.84	457.25
CSK	4736.79	5403.7	854.13	497.0	414.87	7695.57	2555.58	1111.82	4152.18	1233.75	1639.59	1340.84	1617.0	954.43	1457.23	450.94	830.75	813.63	2664.15	1721.16	514.56	1030.12	796.86	1088.92	1467.37	1066.48	2163.77	1407.55	1066.48	1709.26
CTB-133G6.1	432.53	242.88	0.0	15.11	17.13	231.32	166.73	35.0	441.64	1.1	135.24	12.27	24.81	111.99	41.52	1.97	9.34	3.26	226.54	4.54	0.39	0.64	7.82	1.66	55.49	11.3	120.1	30.56	5.59	110.43
CTD-2370N5.3	281.09	147.06	0.0	0.0	0.0	53.95	75.64	21.63	115.16	0.0	114.36	31.22	37.59	4.58	56.68	12.27	16.03	1.46	120.94	2.97	10.88	0.0	3.72	5.87	0.26	17.9	54.72	19.53	105.15	46.18
CXCR4	8022.41	24321.43	51.35	432.53	138.1	17804.06	3614.55	2573.36	10014.87	301.33	3515.68	2537.92	1950.0	1819.35	902.89	7331.05	1551.09	1340.84	11504.21	406.31	2090.03	1088.92	1977.24	1119.56	1721.16	1794.29	8538.88	1844.76	1769.57	6561.36
CYTIP	1477.58	2485.67	15.34	101.54	28.45	2090.03	1001.93	358.54	2224.63	132.44	1794.29	791.35	753.83	142.01	890.44	251.48	277.2	277.2	1477.58	363.56	327.56	69.03	121.79	182.55	651.58	1378.57	1757.34	1096.5	1322.37	1757.34
DAPP1	830.75	902.89	29.06	16.15	10.24	748.61	316.37	148.09	595.34	68.55	409.15	138.1	159.9	18.97	148.09	154.42	39.79	24.28	242.88	156.59	37.05	150.17	17.9	12.0	67.12	156.59	368.65	164.42	98.04	301.33
DENND2D	2609.3	4123.49	728.11	180.02	90.14	3303.0	1909.85	1369.04	3982.99	703.28	2090.03	928.3	1191.69	379.04	2193.99	2271.4	525.39	579.04	3235.01	1594.73	967.76	1208.34	587.13	842.36	941.27	1340.84	2956.17	1551.09	1674.06	2417.67
DOCK2	1551.09	1594.73	6.26	148.09	87.03	1819.35	780.44	189.02	1721.16	57.89	830.75	283.05	403.5	181.28	395.18	133.36	154.42	90.77	928.3	115.97	109.66	47.84	111.21	88.88	316.37	265.87	748.61	387.02	281.09	497.0
DOK3	1250.98	988.12	65.72	111.21	131.51	2682.69	884.29	426.57	2090.03	96.01	954.43	441.64	356.05	234.57	466.88	140.04	215.77	120.94	1151.06	143.01	157.68	162.14	392.44	149.12	371.22	206.94	974.5	665.29	267.73	848.22
DPPA4	21.63	22.75	0.0	0.0	0.37	29.48	1.6	2.92	20.86	0.0	7.46	5.36	0.0	1.33	3.08	1.97	6.16	0.67	13.93	0.3	2.16	0.0	0.62	0.0	0.33	0.41	5.68	3.72	0.0	2.07
DTX1	518.15	603.67	23.76	22.26	41.81	3146.52	555.41	124.37	1487.87	96.01	301.33	107.38	166.73	248.0	195.72	58.71	236.21	96.01	612.11	63.89	34.26	64.8	60.82	169.07	122.64	125.24	361.04	180.02	127.0	473.41
EBI3	423.61	483.38	5.82	41.81	8.32	808.0	251.48	123.5	708.18	21.47	186.4	281.09	85.82	96.68	73.54	55.1	61.68	65.26	356.05	30.12	23.76	9.56	41.22	49.91	153.34	72.01	441.64	262.2	131.51	497.0
ETS1	4639.29	4869.99	226.54	503.95	591.22	3124.78	1936.53	612.11	4268.94	583.07	1781.89	785.88	1175.27	703.28	684.02	444.72	1340.84	624.99	2133.97	624.99	346.29	406.31	660.68	493.56	872.1	791.35	1208.34	836.53	660.68	1417.35
EVI2A	791.35	2255.7	15.91	97.36	59.97	921.88	384.34	181.28	733.19	36.01	595.34	228.13	190.34	128.79	301.33	141.02	157.68	75.11	466.88	80.01	121.79	35.76	56.68	64.8	161.02	309.83	842.36	339.14	363.56	536.45
EVI2B	2915.45	4704.07	25.17	150.17	130.6	2163.77	1674.06	703.28	3212.66	73.03	2682.69	921.88	669.92	277.2	974.5	356.05	395.18	202.66	2758.13	258.57	332.14	82.29	144.01	162.14	507.46	1073.91	2384.37	1407.55	1143.1	1832.01
FAM159A	450.94	441.64	0.0	5.82	0.0	361.04	162.14	56.68	389.72	2.66	206.94	51.35	49.91	44.89	68.07	9.85	23.93	8.45	480.04	24.63	18.7	0.96	4.28	7.22	46.18	18.56	224.97	94.01	40.36	194.36
FAM65B	1909.85	2178.83	4.94	39.22	12.0	1745.2	511.0	146.03	1233.75	21.78	567.1	75.64	177.53	85.82	191.67	72.52	96.68	56.28	1191.69	63.0	43.32	11.82	59.13	14.78	172.65	128.79	583.07	124.37	64.8	536.45
FCRL4	14.03	29.91	0.0	0.0	0.0	49.56	20.26	3.53	84.63	0.75	36.79	7.22	11.82	0.95	10.16	1.27	3.03	0.09	15.56	1.06	0.89	1.55	0.07	0.0	7.0	5.87	55.1	18.29	8.51	40.36
FGD3	1073.91	1208.34	44.57	77.25	33.3	1175.27	320.8	228.13	854.13	24.99	384.34	107.38	205.5	120.94	198.47	69.03	74.58	52.08	669.92	77.79	61.25	18.56	60.39	38.12	190.34	132.44	595.34	195.72	155.5	381.68
FMNL1	2537.92	3060.45	87.03	387.02	204.07	3955.48	1199.98	563.18	2104.58	167.9	1119.56	633.73	808.0	607.87	693.58	275.28	466.88	346.29	1605.83	334.46	591.22	146.03	406.31	232.94	638.15	454.09	1340.84	591.22	384.34	974.5
FUT7	131.51	100.83	0.0	0.38	0.77	173.85	14.89	6.16	45.85	1.1	7.94	13.72	3.56	6.67	9.2	3.17	3.59	3.63	32.59	2.89	3.11	1.17	3.35	1.68	9.7	9.85	43.94	16.15	15.45	45.21
FYB	1225.22	1467.37	4.98	25.17	24.11	514.56	532.74	165.57	1250.98	49.56	547.75	237.86	320.8	178.77	137.14	143.01	255.0	65.72	753.83	121.79	84.63	48.52	58.71	85.22	209.84	185.11	397.93	208.38	224.97	423.61
GAPT	1081.39	1119.56	1.0	15.11	6.01	432.53	253.23	69.52	463.65	8.38	309.83	36.01	81.14	111.99	73.03	57.08	78.34	18.56	466.88	16.39	53.19	6.73	11.73	26.28	72.01	82.87	423.61	96.01	104.42	279.14
GGA2	3589.58	2997.45	563.18	796.86	921.88	4358.66	2018.8	1037.29	4512.4	607.87	2148.82	909.17	1286.18	860.08	988.12	836.53	733.19	884.29	2133.97	525.39	1350.18	579.04	878.17	802.41	842.36	1286.18	1870.53	1259.69	1159.07	2193.99
GPR174	376.41	460.44	0.42	2.41	2.81	226.54	112.77	14.67	255.0	1.55	145.02	20.71	63.45	8.19	26.28	6.01	14.03	3.53	201.25	20.26	9.7	5.77	8.19	2.23	28.86	38.4	78.34	24.11	19.39	66.18
GZMK	2209.26	4639.29	4.39	28.65	34.02	529.06	293.07	186.4	1199.98	4.9	633.73	193.01	264.03	176.29	76.71	48.18	109.66	52.08	780.44	47.5	58.71	14.67	25.91	14.67	173.85	103.69	679.29	236.21	80.57	612.11
HCLS1	5403.7	5711.87	109.66	941.27	307.69	7642.41	2004.85	748.61	3874.05	161.02	1685.71	1001.93	1015.93	819.3	896.64	460.44	547.75	414.87	2255.7	381.68	316.37	162.14	327.56	638.15	981.29	775.05	2255.7	1313.23	718.08	2018.8
HMHA1	3146.52	3589.58	74.06	205.5	167.9	5791.62	1304.15	540.19	2451.44	358.54	947.83	684.02	775.05	693.58	583.07	361.04	616.37	579.04	1883.54	384.34	224.97	423.61	363.56	417.77	775.05	429.54	1467.37	571.05	414.87	928.3
HVCN1	2627.46	2758.13	27.05	111.21	81.71	1844.76	612.11	221.86	954.43	34.02	423.61	255.0	220.32	249.73	305.55	85.82	218.79	164.42	1225.22	54.72	130.6	45.21	89.51	92.05	248.0	189.02	866.07	379.04	221.86	738.29
ICOS	228.13	397.93	0.96	1.39	0.96	267.73	80.01	26.28	198.47	12.64	90.14	41.52	50.27	13.12	28.65	12.93	6.62	15.11	112.77	18.97	21.94	0.0	15.8	4.1	33.06	31.22	186.4	46.84	16.75	111.99
IKZF1	1388.16	1883.54	6.52	45.53	26.67	1259.69	540.19	195.72	1447.15	30.56	563.18	221.86	316.37	108.9	281.09	69.52	94.01	71.5	769.69	81.14	69.52	20.41	62.12	41.22	264.03	267.73	591.22	361.04	289.02	457.25
IKZF3	830.75	327.56	6.16	16.75	6.89	253.23	361.04	129.69	1001.93	23.42	438.59	107.38	198.47	51.71	162.14	38.95	61.25	19.11	521.76	54.33	33.3	11.3	15.11	38.12	180.02	145.02	307.69	170.25	102.25	307.69
IL16	3349.13	4123.49	33.06	389.72	348.71	2816.11	802.41	503.95	1896.65	45.53	848.22	417.77	476.71	279.14	665.29	107.38	181.28	114.36	1340.84	125.24	91.41	54.33	111.21	78.34	514.56	551.56	1572.76	684.02	518.15	1143.1
IL21R	536.45	518.15	2.39	9.56	2.2	995.0	195.72	51.71	384.34	15.68	106.63	95.34	74.06	36.79	61.68	14.24	13.62	27.64	249.73	29.48	12.83	3.72	22.26	6.73	60.82	39.79	164.42	75.64	32.82	152.28
INPP5D	3742.05	2739.08	78.34	273.37	89.51	4268.94	1909.85	1037.29	4268.94	92.05	1540.37	785.88	1037.29	563.18	872.1	246.28	450.94	260.38	2240.11	473.41	368.65	214.27	166.73	318.57	941.27	551.56	1628.26	718.08	423.61	1331.57
ITGAL	2193.99	2701.35	4.1	26.67	18.16	2739.08	1051.79	366.09	2573.36	53.95	1151.06	293.07	595.34	194.36	389.72	111.21	172.65	149.12	2075.59	228.13	108.9	32.59	130.6	94.67	457.25	346.29	1127.35	563.18	595.34	674.59
ITK	532.74	1159.07	2.29	37.85	6.26	660.68	242.88	47.17	698.41	27.44	356.05	71.5	164.42	37.85	64.34	32.36	56.68	19.39	457.25	62.56	30.12	15.56	28.04	23.25	86.43	119.26	285.03	79.45	63.0	201.25
JAK3	934.76	1583.71	27.44	27.64	23.76	2997.45	769.69	129.69	1757.34	80.57	543.96	212.78	267.73	165.57	212.78	63.45	291.04	51.35	1250.98	155.5	78.89	49.21	172.65	103.69	217.27	146.03	563.18	204.07	118.43	363.56
KB-1980E6.3	5.28	1.64	0.0	3.41	0.0	68.55	11.04	0.0	48.18	0.0	31.67	10.71	3.82	0.0	12.36	1.04	3.59	0.87	20.86	0.0	0.0	0.0	1.43	0.0	2.51	7.82	42.41	6.57	3.53	18.56
KIAA0125	921.88	1001.93	0.0	6.67	1.01	1407.55	180.02	127.0	684.02	8.19	389.72	181.28	34.51	13.12	267.73	11.3	17.0	19.53	587.13	48.87	36.79	3.06	5.02	5.41	103.69	139.07	463.65	450.94	348.71	289.02
KIAA0922	934.76	884.29	55.89	271.48	118.43	1487.87	555.41	86.43	1119.56	59.55	486.75	92.7	206.94	148.09	145.02	72.01	251.48	114.36	591.22	150.17	84.63	59.97	106.63	123.5	127.89	142.01	353.59	173.85	94.67	356.05
KLHL6	698.41	521.76	5.77	38.12	16.15	1477.58	638.15	107.38	1639.59	21.47	457.25	120.94	127.89	34.02	197.09	42.71	68.55	35.0	376.41	63.0	48.52	14.03	34.02	29.06	152.28	149.12	334.46	244.57	115.97	379.04
LAPTM5	15499.21	19214.73	273.37	1051.79	463.65	14461.21	6471.02	2319.15	12160.22	483.38	4671.57	4328.55	4210.15	2502.97	2119.22	2895.31	1950.0	1268.46	7642.41	860.08	1870.53	595.34	1286.18	1295.13	2417.67	2061.24	7130.55	3257.52	2417.67	7803.01
LAT	1697.45	3146.52	1199.98	547.75	447.82	3665.02	651.58	358.54	1397.83	127.0	802.41	432.53	450.94	295.11	343.89	96.68	312.0	143.01	1498.22	190.34	151.22	97.36	229.72	81.71	412.0	275.28	1447.15	647.07	463.65	941.27
LAT2	1674.06	1794.29	31.22	92.05	36.53	2384.37	656.11	217.27	1111.82	43.63	460.44	318.57	273.37	281.09	289.02	167.9	195.72	133.36	684.02	82.29	220.32	70.01	123.5	100.83	255.0	182.55	842.36	332.14	214.27	796.86
LCP1	8363.13	9673.69	56.68	283.05	111.21	8840.04	3768.09	842.36	6652.97	229.72	2485.67	1369.04	1628.26	543.96	947.83	947.83	633.73	579.04	3982.99	476.71	647.07	176.29	450.94	320.8	1191.69	1059.11	2739.08	1127.35	842.36	2855.44
LILRA4	173.85	500.46	0.0	6.52	0.89	314.17	53.95	12.27	74.06	1.39	30.34	27.05	19.39	15.0	7.0	2.41	3.03	6.16	76.17	3.41	0.04	0.0	5.45	27.84	8.85	5.82	54.33	8.38	18.43	67.59
LILRB1	473.41	563.18	11.82	16.63	10.08	1605.83	420.68	120.1	633.73	28.86	283.05	215.77	204.07	109.66	232.94	53.95	97.36	42.41	414.87	50.98	88.88	20.71	78.34	46.84	139.07	129.69	339.14	190.34	164.42	336.79
LIMD2	5112.16	8247.98	283.05	178.77	45.85	12853.63	2609.3	1073.91	4671.57	150.17	1832.01	1066.48	941.27	728.11	896.64	204.07	536.45	457.25	4038.61	314.17	480.04	147.06	423.61	291.04	791.35	543.96	4328.55	1498.22	884.29	4268.94
